CSV,White Plains,Geneva,Tonawanda,Nyack,Johnstown,Yonkers,Flushing,Forest Hills,Lockport,Queens,Bedford,Mamaroneck,Garden City,Cheektowaga,Rye,Oyster Bay,Babylon,West Seneca,Fredonia,Saratoga Springs,Manhattan,Stony Point,Lake Placid,Herkimer,East Hampton,Dunkirk,Hudson,Ossining,Ogdensburg,Albany,Middletown,Crown Point,Newburgh,Jamestown,Harlem,Glens Falls,Stony Brook,Auburn,Southampton,Watkins Glen,Ithaca,Potsdam,Port Washington,Hammondsport,Staten Island,Watertown,Scarsdale,Huntington,Cohoes,Rotterdam
Bedford,5412.8,4361.1,7406.2,2266.9,9819.1,2407.4,4651.5,6452.2,5068.5,3911.5,0,8548.1,9356.9,5579.0,9372.6,1491.2,7721.2,8978.7,7731.1,8249.1,4007.1,3595.3,4273.6,9068.7,7980.0,984.7,8873.9,6666.7,6342.1,9763.9,3753.3,9976.5,4531.6,4052.3,2965.2,455.4,7982.5,7131.6,6697.5,8168.1,7160.3,5713.4,9950.1,7590.4,1084.0,4219.5,5575.0,8774.1,2281.8,123.7
Mamaroneck,3787.9,5421.1,3286.3,5346.5,4879.4,282.9,7436.2,454.6,9714.5,581.9,8548.1,0,6276.3,8061.3,1430.6,9243.1,8154.4,7241.6,6010.6,1702.7,9410.1,2198.8,9028.4,3979.6,4630.5,4628.6,6167.7,8986.6,8210.2,3978.9,2567.9,5483.2,1809.1,2753.0,24.2,6205.9,4245.6,1033.6,1669.5,6355.3,3258.6,594.6,7794.1,733.7,5682.3,3665.3,9737.0,5016.7,7851.6,8093.0
Garden City,6312.5,3174.5,6583.6,533.1,9307.0,4445.6,4897.8,1741.1,686.4,725.5,9356.9,6276.3,0,9556.8,1892.6,9861.3,7147.4,9262.4,7023.0,3059.3,3649.6,2509.4,6790.3,6427.9,2902.2,8590.4,1205.6,7463.3,7701.8,390.6,3613.1,7821.3,3680.2,1864.6,2780.8,8902.8,3698.8,3318.8,4859.4,2698.5,3999.0,3160.8,6110.3,826.9,8301.7,4838.4,9411.6,8711.9,734.1,482.1
Cheektowaga,1237.4,5802.6,2061.7,7447.3,3428.0,2339.7,3726.4,3133.2,891.2,1025.6,5579.0,8061.3,9556.8,0,1559.3,9001.1,629.9,7939.0,7954.4,3571.8,7343.4,5579.3,9958.3,5534.5,6559.4,4026.3,8376.7,5604.4,8379.0,3077.5,1009.0,4194.2,5773.3,5181.3,2243.8,5890.4,6783.4,6627.8,2879.7,6205.3,916.7,1017.7,3362.2,3456.6,8793.2,3366.2,5497.0,9338.0,703.0,959.3
Rye,3898.6,4076.7,2234.1,5052.8,369.7,7460.3,4203.5,2439.3,330.4,4115.4,9372.6,1430.6,1892.6,1559.3,0,8127.7,7350.7,2111.0,6480.4,7912.0,1119.2,7998.5,7808.8,5608.0,2509.9,2429.7,4443.6,7260.5,2071.4,1554.1,8704.2,1546.4,2211.0,5873.9,8125.8,6435.8,646.8,3303.2,5230.2,6999.4,3706.5,989.9,4521.6,5338.9,491.1,6759.3,5361.7,8571.4,6119.1,1576.0
Oyster Bay,6351.5,5851.5,3406.1,9820.2,6133.0,9168.3,8507.9,3321.8,4229.8,9614.2,1491.2,9243.1,9861.3,9001.1,8127.7,0,6311.0,5177.6,5066.4,4711.4,537.2,958.2,448.8,2631.4,720.7,8339.5,4841.3,3455.5,5759.7,1226.7,1078.3,226.9,9051.5,4490.1,2314.5,3253.6,6280.2,5829.9,5815.8,9382.5,4205.5,7022.6,6315.2,902.1,8857.6,3246.8,5348.6,3086.7,868.6,9578.2
Babylon,9254.0,5886.8,1223.2,6718.9,2811.9,2149.5,7175.5,2043.6,2306.2,2673.2,7721.2,8154.4,7147.4,629.9,7350.7,6311.0,0,8286.3,1279.2,1104.9,633.1,1849.3,5921.9,5797.3,2354.2,493.6,5484.5,6238.2,4231.9,2591.3,1321.8,6989.1,9520.1,9224.2,8234.9,4449.8,5729.0,3441.3,4662.1,509.9,5242.9,8896.1,7499.6,4401.7,2728.3,1406.0,217.4,6074.8,2227.3,3778.7
West Seneca,5074.6,9364.8,7571.2,1245.4,6518.1,1046.4,7903.6,8367.0,3479.4,8434.9,8978.7,7241.6,9262.4,7939.0,2111.0,5177.6,8286.3,0,1511.3,9291.3,642.6,6465.1,1871.9,3713.7,8272.7,200.7,3679.4,6158.9,7375.2,2074.9,4971.5,513.5,2.6,7531.1,1805.6,172.8,2167.5,8376.3,546.5,6332.9,9673.8,844.8,1008.5,75.5,364.7,9005.2,5103.7,7176.4,1870.1,261.0
Fredonia,5618.7,8258.1,3937.0,9934.6,1082.2,6321.0,6297.7,7710.7,2996.3,3855.8,7731.1,6010.6,7023.0,7954.4,6480.4,5066.4,1279.2,1511.3,0,3687.6,1384.2,320.9,9553.1,368.3,3039.6,3493.4,1195.9,7661.6,4407.5,4654.0,3168.2,2511.5,3512.2,6172.4,5346.2,6435.1,4083.4,6194.0,7818.0,4284.6,6170.6,5880.7,6026.3,1735.9,6082.0,9167.0,307.3,6835.9,6845.5,96.7
Saratoga Springs,8152.4,8565.2,4668.1,718.5,1956.4,7599.1,3443.6,9572.1,2288.1,8355.0,8249.1,1702.7,3059.3,3571.8,7912.0,4711.4,1104.9,9291.3,3687.6,0,1704.2,9774.9,8880.8,8590.5,6537.3,6020.5,6416.7,8422.8,5057.7,843.9,4900.1,6783.5,7452.6,7071.2,6158.1,3531.1,167.6,1269.4,9304.7,848.1,1606.5,8513.8,2087.1,3086.4,9092.3,8379.4,9176.6,4455.8,5891.2,7517.7
Manhattan,1455.7,522.7,6051.1,3306.4,3397.0,1841.3,6179.7,388.8,8308.2,511.6,4007.1,9410.1,3649.6,7343.4,1119.2,537.2,633.1,642.6,1384.2,1704.2,0,8128.0,6256.6,8205.4,8537.6,7074.1,9822.2,7524.9,2755.8,5666.9,6148.0,6847.9,5527.0,3921.8,5437.7,3748.7,5324.6,8025.6,564.7,4122.9,4105.0,6258.1,3855.0,4717.1,5557.8,579.4,9156.2,4654.2,6306.6,606.7
Stony Point,426.3,9307.7,1584.6,4173.6,2115.3,6732.9,1566.1,6981.3,64.5,2754.5,3595.3,2198.8,2509.4,5579.3,7998.5,958.2,1849.3,6465.1,320.9,9774.9,8128.0,0,9717.1,2250.2,9664.5,7205.3,7457.5,9425.5,3520.8,7417.2,1264.4,5207.0,2762.2,2188.0,399.9,1969.1,61.8,1784.7,2775.9,7009.0,5159.9,3359.4,1312.1,4389.2,8302.8,7207.5,6554.5,2611.9,2745.7,7961.6
Lake Placid,4642.7,2105.6,9922.4,5188.4,1213.5,8969.6,2989.7,8816.2,3748.0,4281.4,4273.6,9028.4,6790.3,9958.3,7808.8,448.8,5921.9,1871.9,9553.1,8880.8,6256.6,9717.1,0,7218.0,6.1,5898.9,5766.0,1570.1,6262.6,4859.5,4209.3,5852.9,5317.6,728.6,2425.1,4867.6,5270.8,6117.0,2027.7,5456.8,3419.9,9605.8,3313.4,5815.0,7642.3,4625.7,8740.7,2304.3,3568.0,3584.4
Herkimer,1517.1,9219.7,9535.8,3903.7,3456.3,2866.8,2079.1,4956.2,234.4,1175.3,9068.7,3979.6,6427.9,5534.5,5608.0,2631.4,5797.3,3713.7,368.3,8590.5,8205.4,2250.2,7218.0,0,1272.3,1612.4,6085.4,1127.4,5456.4,2704.7,2658.5,8993.9,5056.1,6487.1,5831.7,2661.9,5297.9,3137.0,9631.6,9613.2,1647.6,8254.4,6586.4,1312.7,1569.9,7722.9,2401.8,3412.1,65.2,851.3
East Hampton,943.6,6073.4,2179.2,8110.0,1878.2,6376.8,268.4,6908.2,3722.5,4783.8,7980.0,4630.5,2902.2,6559.4,2509.9,720.7,2354.2,8272.7,3039.6,6537.3,8537.6,9664.5,6.1,1272.3,0,7598.5,3658.0,378.9,7840.7,6678.0,5957.0,2665.8,6007.0,5626.0,8688.0,7073.5,8150.4,8166.7,1545.8,6977.2,2966.3,1649.7,8880.7,9037.3,7792.9,9744.2,190.8,623.2,5349.6,3790.1
Dunkirk,5376.9,9925.8,4765.2,424.0,7999.8,7406.1,2693.2,9172.1,9051.3,549.6,984.7,4628.6,8590.4,4026.3,2429.7,8339.5,493.6,200.7,3493.4,6020.5,7074.1,7205.3,5898.9,1612.4,7598.5,0,5308.1,1535.2,7577.9,5856.1,6479.7,1959.0,765.5,9773.4,1401.6,5167.5,4644.4,9202.5,4449.4,3777.2,4296.9,4617.8,5551.5,4740.9,2074.4,8540.7,9186.0,8291.5,1253.4,6534.1
Hudson,7553.8,2365.6,6700.8,8557.9,5788.7,4890.4,7070.3,1947.0,86.5,3162.7,8873.9,6167.7,1205.6,8376.7,4443.6,4841.3,5484.5,3679.4,1195.9,6416.7,9822.2,7457.5,5766.0,6085.4,3658.0,5308.1,0,4597.5,5383.2,3408.9,1683.6,7733.8,8511.8,1998.9,374.6,7693.7,2830.4,9183.0,5727.7,8014.4,7531.0,6047.4,1573.5,4578.7,1189.7,9116.1,31.6,8085.8,7660.8,2634.9
Ossining,9824.0,2026.5,3832.7,6728.3,4404.2,6678.7,7500.4,1039.2,1769.6,3414.0,6666.7,8986.6,7463.3,5604.4,7260.5,3455.5,6238.2,6158.9,7661.6,8422.8,7524.9,9425.5,1570.1,1127.4,378.9,1535.2,4597.5,0,8025.3,7860.6,894.9,7805.8,2190.8,7903.9,2183.0,9743.0,6730.4,5869.4,103.2,1203.9,2327.5,6040.9,5875.0,408.0,5995.5,6205.2,8385.4,7951.9,4540.9,4883.6
Ogdensburg,2065.4,8165.0,3946.3,8608.4,4662.2,1559.5,8069.4,7377.4,826.5,533.2,6342.1,8210.2,7701.8,8379.0,2071.4,5759.7,4231.9,7375.2,4407.5,5057.7,2755.8,3520.8,6262.6,5456.4,7840.7,7577.9,5383.2,8025.3,0,6703.7,1271.2,2528.8,8262.7,6899.4,6965.5,7553.1,4787.3,4661.9,3055.4,4405.5,5146.1,9038.1,2226.0,2594.4,1520.9,1062.0,5944.2,3494.8,2112.7,9946.7
Albany,9389.6,5027.8,314.5,5393.0,5461.8,9126.1,4394.8,9422.7,7066.1,1574.9,9763.9,3978.9,390.6,3077.5,1554.1,1226.7,2591.3,2074.9,4654.0,843.9,5666.9,7417.2,4859.5,2704.7,6678.0,5856.1,3408.9,7860.6,6703.7,0,7309.3,7505.6,8318.8,7854.7,3841.4,7299.5,5194.3,7243.0,1723.2,5811.9,6860.9,2104.4,6098.2,8961.4,8605.2,5991.3,3419.3,9843.5,8708.4,8709.1
Middletown,4157.7,3739.7,2378.2,5897.6,4455.2,516.4,9639.1,8436.1,4404.0,2303.0,3753.3,2567.9,3613.1,1009.0,8704.2,1078.3,1321.8,4971.5,3168.2,4900.1,6148.0,1264.4,4209.3,2658.5,5957.0,6479.7,1683.6,894.9,1271.2,7309.3,0,5639.7,1518.1,8727.3,9037.6,1332.2,7863.9,8360.1,1169.8,5850.1,8482.8,7648.6,885.3,45.6,7360.6,920.1,7219.2,4256.8,8986.2,4370.8
Crown Point,6368.5,6140.0,9132.1,2519.9,6310.1,4206.2,515.7,4255.1,2866.9,7654.4,9976.5,5483.2,7821.3,4194.2,1546.4,226.9,6989.1,513.5,2511.5,6783.5,6847.9,5207.0,5852.9,8993.9,2665.8,1959.0,7733.8,7805.8,2528.8,7505.6,5639.7,0,952.5,1973.3,9076.9,2001.0,5029.6,2460.3,9310.8,5801.6,2097.0,2524.7,3836.6,3542.2,7383.5,9093.6,2338.3,8210.8,2231.0,3954.2
Newburgh,7827.5,8962.0,7954.5,8265.5,6250.0,7884.4,6069.8,2847.2,7920.4,3083.7,4531.6,1809.1,3680.2,5773.3,2211.0,9051.5,9520.1,2.6,3512.2,7452.6,5527.0,2762.2,5317.6,5056.1,6007.0,765.5,8511.8,2190.8,8262.7,8318.8,1518.1,952.5,0,3619.4,750.4,1939.9,980.2,2504.4,2040.5,7866.7,2557.6,5038.2,7069.2,1442.2,3990.6,1978.2,6141.5,1483.0,6037.0,292.8
Jamestown,5767.4,1461.7,8002.0,9413.2,2955.1,8893.7,6038.6,4177.2,6659.1,9893.8,4052.3,2753.0,1864.6,5181.3,5873.9,4490.1,9224.2,7531.1,6172.4,7071.2,3921.8,2188.0,728.6,6487.1,5626.0,9773.4,1998.9,7903.9,6899.4,7854.7,8727.3,1973.3,3619.4,0,8050.7,2978.6,9383.8,1247.8,357.2,5350.6,1712.1,5889.9,2437.1,6580.7,3489.3,225.7,4199.4,3319.4,4049.0,687.3
Harlem,6577.0,1936.8,8164.3,3420.8,8864.4,4571.1,2900.7,5525.9,3861.3,8564.8,2965.2,24.2,2780.8,2243.8,8125.8,2314.5,8234.9,1805.6,5346.2,6158.1,5437.7,399.9,2425.1,5831.7,8688.0,1401.6,374.6,2183.0,6965.5,3841.4,9037.6,9076.9,750.4,8050.7,0,869.7,4309.8,9887.8,5523.9,534.5,5679.2,6756.0,2680.7,7154.8,5216.1,463.8,3157.6,43.1,1451.2,510.1
Glens Falls,2472.4,3242.2,8441.1,5537.6,1712.3,9750.6,3399.8,3474.1,5677.8,9674.0,455.4,6205.9,8902.8,5890.4,6435.8,3253.6,4449.8,172.8,6435.1,3531.1,3748.7,1969.1,4867.6,2661.9,7073.5,5167.5,7693.7,9743.0,7553.1,7299.5,1332.2,2001.0,1939.9,2978.6,869.7,0,4721.9,9486.3,6586.1,873.0,8698.1,302.2,9496.2,1331.6,4417.6,3272.8,4014.2,7064.5,7813.9,8693.3
Stony Brook,7826.2,4823.5,5406.0,9548.5,510.8,5653.3,9725.2,6879.9,3143.2,3638.7,7982.5,4245.6,3698.8,6783.4,646.8,6280.2,5729.0,2167.5,4083.4,167.6,5324.6,61.8,5270.8,5297.9,8150.4,4644.4,2830.4,6730.4,4787.3,5194.3,7863.9,5029.6,980.2,9383.8,4309.8,4721.9,0,2093.7,5631.4,2097.7,1342.6,9336.9,9036.1,4974.8,2152.6,4725.7,5692.8,2510.1,9057.5,4246.0
Auburn,3457.5,7461.6,8702.1,2190.0,4271.4,4189.6,536.5,7737.8,9301.5,8898.8,7131.6,1033.6,3318.8,6627.8,3303.2,5829.9,3441.3,8376.3,6194.0,1269.4,8025.6,1784.7,6117.0,3137.0,8166.7,9202.5,9183.0,5869.4,4661.9,7243.0,8360.1,2460.3,2504.4,1247.8,9887.8,9486.3,2093.7,0,1738.1,3665.4,5198.2,3000.1,5863.5,9598.9,2354.0,5553.1,3145.6,3832.2,4127.7,7346.6
Southampton,3799.4,8980.0,5880.6,9117.4,8114.3,2883.5,8410.0,4626.8,3885.3,5302.6,6697.5,1669.5,4859.4,2879.7,5230.2,5815.8,4662.1,546.5,7818.0,9304.7,564.7,2775.9,2027.7,9631.6,1545.8,4449.4,5727.7,103.2,3055.4,1723.2,1169.8,9310.8,2040.5,357.2,5523.9,6586.1,5631.4,1738.1,0,2296.0,506.3,1833.6,4946.1,6653.8,505.1,532.7,7775.3,8535.9,2073.0,1919.1
Watkins Glen,7314.1,8206.7,344.0,1075.4,2686.4,6928.1,463.0,8956.7,3998.7,4595.0,8168.1,6355.3,2698.5,6205.3,6999.4,9382.5,509.9,6332.9,4284.6,848.1,4122.9,7009.0,5456.8,9613.2,6977.2,3777.2,8014.4,1203.9,4405.5,5811.9,5850.1,5801.6,7866.7,5350.6,534.5,873.0,2097.7,3665.4,2296.0,0,9927.5,2637.5,4310.0,3888.4,9424.5,7448.5,4251.7,9019.4,6066.1,2030.9
Ithaca,1889.1,4481.6,1244.7,1530.2,5474.6,2568.7,2020.7,7748.6,7639.4,9886.6,7160.3,3258.6,3999.0,916.7,3706.5,4205.5,5242.9,9673.8,6170.6,1606.5,4105.0,5159.9,3419.9,1647.6,2966.3,4296.9,7531.0,2327.5,5146.1,6860.9,8482.8,2097.0,2557.6,1712.1,5679.2,8698.1,1342.6,5198.2,506.3,9927.5,0,8895.2,9365.5,3701.4,1799.6,2700.0,9267.1,8345.3,9676.3,8042.2
Potsdam,1485.6,7812.1,1264.2,8589.9,9544.5,8621.6,3959.4,5369.2,6583.1,274.7,5713.4,594.6,3160.8,1017.7,989.9,7022.6,8896.1,844.8,5880.7,8513.8,6258.1,3359.4,9605.8,8254.4,1649.7,4617.8,6047.4,6040.9,9038.1,2104.4,7648.6,2524.7,5038.2,5889.9,6756.0,302.2,9336.9,3000.1,1833.6,2637.5,8895.2,0,6960.6,9582.9,1785.4,9368.9,8228.4,6852.5,4241.2,977.3
Port Washington,1346.9,7868.1,2040.3,6029.4,6367.1,9811.2,6949.7,2588.2,7223.0,3868.5,9950.1,7794.1,6110.3,3362.2,4521.6,6315.2,7499.6,1008.5,6026.3,2087.1,3855.0,1312.1,3313.4,6586.4,8880.7,5551.5,1573.5,5875.0,2226.0,6098.2,885.3,3836.6,7069.2,2437.1,2680.7,9496.2,9036.1,5863.5,4946.1,4310.0,9365.5,6960.6,0,4404.8,155.0,5498.5,7875.3,9352.5,7420.9,5668.7
Hammondsport,189.1,1605.7,3096.1,7154.3,3018.7,5291.1,7065.6,3603.2,8765.8,6510.0,7590.4,733.7,826.9,3456.6,5338.9,902.1,4401.7,75.5,1735.9,3086.4,4717.1,4389.2,5815.0,1312.7,9037.3,4740.9,4578.7,408.0,2594.4,8961.4,45.6,3542.2,1442.2,6580.7,7154.8,1331.6,4974.8,9598.9,6653.8,3888.4,3701.4,9582.9,4404.8,0,1911.2,9651.5,8492.0,5915.3,890.9,9612.1
Staten Island,9633.9,8177.7,5981.4,4487.5,7568.3,6709.2,5643.8,3516.1,3518.1,7422.3,1084.0,5682.3,8301.7,8793.2,491.1,8857.6,2728.3,364.7,6082.0,9092.3,5557.8,8302.8,7642.3,1569.9,7792.9,2074.4,1189.7,5995.5,1520.9,8605.2,7360.6,7383.5,3990.6,3489.3,5216.1,4417.6,2152.6,2354.0,505.1,9424.5,1799.6,1785.4,155.0,1911.2,0,8808.1,2724.6,2008.7,2555.2,3948.6
Watertown,8448.2,187.5,8533.0,3199.2,6568.4,4794.0,7516.6,6277.9,9681.3,276.0,4219.5,3665.3,4838.4,3366.2,6759.3,3246.8,1406.0,9005.2,9167.0,8379.4,579.4,7207.5,4625.7,7722.9,9744.2,8540.7,9116.1,6205.2,1062.0,5991.3,920.1,9093.6,1978.2,225.7,463.8,3272.8,4725.7,5553.1,532.7,7448.5,2700.0,9368.9,5498.5,9651.5,8808.1,0,7375.0,290.0,5616.7,5734.1
Scarsdale,4933.2,2217.6,8146.7,3528.9,3551.6,6550.8,4345.4,4897.9,8941.4,7064.0,5575.0,9737.0,9411.6,5497.0,5361.7,5348.6,217.4,5103.7,307.3,9176.6,9156.2,6554.5,8740.7,2401.8,190.8,9186.0,31.6,8385.4,5944.2,3419.3,7219.2,2338.3,6141.5,4199.4,3157.6,4014.2,5692.8,3145.6,7775.3,4251.7,9267.1,8228.4,7875.3,8492.0,2724.6,7375.0,0,4277.4,6549.6,3981.2
Huntington,5213.8,111.3,1028.0,6490.9,7548.7,1511.1,1209.6,9049.1,1768.0,3583.5,8774.1,5016.7,8711.9,9338.0,8571.4,3086.7,6074.8,7176.4,6835.9,4455.8,4654.2,2611.9,2304.3,3412.1,623.2,8291.5,8085.8,7951.9,3494.8,9843.5,4256.8,8210.8,1483.0,3319.4,43.1,7064.5,2510.1,3832.2,8535.9,9019.4,8345.3,6852.5,9352.5,5915.3,2008.7,290.0,4277.4,0,3768.7,3479.7
Cohoes,6462.8,3892.3,5229.5,4378.6,1988.3,3814.9,8728.4,7293.8,2247.7,132.3,2281.8,7851.6,734.1,703.0,6119.1,868.6,2227.3,1870.1,6845.5,5891.2,6306.6,2745.7,3568.0,65.2,5349.6,1253.4,7660.8,4540.9,2112.7,8708.4,8986.2,2231.0,6037.0,4049.0,1451.2,7813.9,9057.5,4127.7,2073.0,6066.1,9676.3,4241.2,7420.9,890.9,2555.2,5616.7,6549.6,3768.7,0,516.0
Rotterdam,686.7,6039.1,9842.6,9098.7,5012.7,3683.6,1975.1,6461.3,9144.0,1320.7,123.7,8093.0,482.1,959.3,1576.0,9578.2,3778.7,261.0,96.7,7517.7,606.7,7961.6,3584.4,851.3,3790.1,6534.1,2634.9,4883.6,9946.7,8709.1,4370.8,3954.2,292.8,687.3,510.1,8693.3,4246.0,7346.6,1919.1,2030.9,8042.2,977.3,5668.7,9612.1,3948.6,5734.1,3981.2,3479.7,516.0,0
