CSV,Oyster Bay,Manhattan,Middletown,Saratoga Springs,Nyack,Saranac Lake,Bedford,Herkimer,Hudson,Woodstock,East Hampton,Olean,Elmira,Babylon,Watervliet,Rensselaer,Lackawanna,Ogdensburg,North Hempstead,Watkins Glen,Bronx,Newburgh,Port Washington,Eastchester,Harlem,Forest Hills,Albany,New Windsor,New Paltz,Clinton,Chautauqua,Batavia,Oswego,Corning,Dunkirk,Oneonta,Cortland,Stony Brook,Great Neck,Cheektowaga,Sag Harbor,Garden City,Ossining,Southampton,Hempstead,Geneva,Mount Vernon,Auburn,Palmyra,New York City
East Hampton,3380.0,4040.3,1509.6,1902.8,4045.8,8809.8,6817.8,8630.0,7895.9,26.0,0,8336.7,3877.0,2781.4,8553.3,1133.6,806.9,8237.4,2498.3,2925.1,4190.1,1736.1,86.2,7100.7,3736.5,2845.3,3081.2,3195.7,2748.3,3458.9,197.6,341.1,8301.1,1801.9,4949.4,2130.6,5515.1,8446.3,8162.4,6642.8,2828.1,9056.3,1724.4,3649.2,9261.5,1195.6,959.8,8808.3,5932.9,6112.2
Olean,6977.4,4619.1,1203.4,1918.3,6796.4,8897.3,140.3,832.3,39.8,1465.8,8336.7,0,3083.4,7188.7,6090.3,6580.2,6860.7,6671.3,6533.7,7147.0,3804.8,661.2,6389.5,9542.4,2382.8,7609.9,2072.4,5615.3,2245.7,3943.5,2016.3,5005.6,6865.8,532.9,5372.5,4800.0,7337.5,4850.4,856.7,449.8,1321.7,442.4,6873.6,190.0,6438.8,9697.1,9984.6,2905.4,8158.3,8262.2
Elmira,897.7,1815.1,5905.3,1030.9,7752.3,1973.8,740.8,9197.7,3038.6,2808.6,3877.0,3083.4,0,3580.4,9914.6,391.4,3279.5,88.5,6808.9,7685.5,3804.5,6777.2,3111.6,9637.0,2358.2,6229.1,6749.6,4815.8,7795.3,2062.4,4632.9,2662.8,4037.8,2652.4,1449.9,3983.2,2104.2,1574.2,8565.6,3287.0,8091.6,713.6,3701.6,4587.0,7123.3,3701.5,5912.4,2279.7,1224.8,1633.1
Babylon,6994.7,9024.3,8299.7,9719.7,2022.5,2828.8,5180.5,6481.5,4820.2,6705.7,2781.4,7188.7,3580.4,0,8332.7,2324.3,5334.3,9123.9,6596.6,5270.9,356.4,8309.1,5057.6,7815.9,9374.4,4550.4,6356.3,4355.7,2489.1,2948.5,6198.6,3193.5,282.8,5421.0,1095.8,2270.5,1066.5,6172.8,4960.8,6223.1,9988.6,4100.7,8334.1,6657.3,8281.6,9846.7,5034.7,8481.1,8783.7,4965.8
Watervliet,1643.7,9807.2,3272.9,9717.0,7207.9,5471.8,4112.0,829.8,9258.3,369.9,8553.3,6090.3,9914.6,8332.7,0,9641.9,7939.6,6771.4,5335.5,4209.9,3499.8,9090.9,3749.6,4102.8,8259.5,8964.9,8425.8,4131.3,624.6,4399.9,6460.6,2619.6,8635.0,6562.0,2361.1,4593.6,953.0,7622.6,8455.2,3175.2,9358.8,6142.7,9231.9,4420.9,9318.4,9936.0,9891.7,3125.0,7146.4,9937.6
Rensselaer,1482.2,1785.7,8066.8,3757.7,9597.8,9043.7,7775.0,5982.7,358.2,542.2,1133.6,6580.2,391.4,2324.3,9641.9,0,5756.7,2606.5,9575.4,6461.2,6028.9,2971.1,1652.1,4922.0,6559.6,8743.8,4769.7,3317.3,9181.2,955.5,6281.9,4419.6,5.4,185.4,718.8,231.0,1359.9,9484.5,6289.7,2707.5,6106.5,8760.0,6201.9,8454.9,8707.4,9378.6,6166.2,2006.3,485.4,9239.3
Lackawanna,8206.8,2682.8,9809.4,3574.1,3356.7,9821.6,1334.4,1921.1,636.2,7522.4,806.9,6860.7,3279.5,5334.3,7939.6,5756.7,0,1571.5,6574.4,3259.4,1998.0,8734.6,5593.6,5390.7,2514.8,1091.1,5449.8,857.6,8.2,8614.7,4075.2,8674.6,2220.2,8590.8,1715.2,7898.0,4590.6,3762.6,9131.3,7623.7,719.8,8268.5,5973.6,1689.9,5107.7,5594.1,3178.6,3990.7,3079.5,8638.4
Ogdensburg,3049.8,4746.8,4362.2,1320.2,9811.6,9497.5,6442.9,7129.6,8967.8,8885.2,8237.4,6671.3,88.5,9123.9,6771.4,2606.5,1571.5,0,5879.9,720.9,7167.8,1309.9,636.1,5721.6,3017.8,7247.3,4265.4,3932.2,4153.9,8760.9,1851.7,2651.9,3522.6,5885.3,7284.6,7712.9,4371.1,8042.6,608.1,2142.1,1255.5,6329.2,9550.3,3438.9,8220.7,8060.3,6567.8,190.9,5019.9,6839.5
North Hempstead,1273.3,9576.0,5149.3,9382.1,469.8,9842.1,2921.4,4384.9,5579.7,5224.5,2498.3,6533.7,6808.9,6596.6,5335.5,9575.4,6574.4,5879.9,0,324.3,1892.3,1181.1,9618.8,8198.8,4782.3,8518.9,8573.8,1156.4,6348.0,8414.3,6795.5,4361.7,5835.3,9656.8,1242.8,4965.0,4545.9,8652.7,3152.5,1855.3,7884.4,6191.4,7235.7,3249.5,3732.2,8686.9,6267.5,7643.9,8600.8,8839.4
Watkins Glen,4531.4,7616.6,2538.9,3449.0,1042.6,7827.7,7447.4,9044.8,703.3,8988.5,2925.1,7147.0,7685.5,5270.9,4209.9,6461.2,3259.4,720.9,324.3,0,2050.0,7322.0,1366.9,4407.5,6317.6,9582.5,7275.0,3829.8,5612.3,9803.8,7606.0,4295.1,400.8,9554.0,394.2,5909.5,839.5,7127.0,1280.3,4107.1,1269.7,2647.8,6542.1,9426.1,7650.4,1460.0,8834.5,7271.5,7416.8,1260.0
Bronx,5826.6,4109.7,4641.8,6854.4,5944.5,3752.4,1351.2,4686.5,2048.0,7571.5,4190.1,3804.8,3804.5,356.4,3499.8,6028.9,1998.0,7167.8,1892.3,2050.0,0,9207.1,8083.3,1590.1,9940.5,5122.8,1681.5,3348.5,8078.3,1.3,959.7,4987.8,4833.5,7885.9,1707.9,1330.4,6053.3,8281.3,3926.4,3131.2,5288.3,8637.6,3428.7,7244.1,1217.1,1357.2,28.9,761.8,8770.3,8279.6
Newburgh,6120.7,8753.3,7122.8,1369.7,3251.0,7577.4,8921.0,8913.6,2294.2,6689.3,1736.1,661.2,6777.2,8309.1,9090.9,2971.1,8734.6,1309.9,1181.1,7322.0,9207.1,0,4241.7,1954.2,9894.7,2608.8,7420.4,8760.6,5728.3,220.6,4323.1,4255.1,3147.7,2092.9,7723.6,3853.6,3693.1,9341.9,393.6,7193.7,6794.0,4526.4,2084.8,9012.2,2213.5,9049.2,6048.0,3850.5,2610.8,1230.3
Port Washington,9167.4,9518.1,5392.9,6869.0,5165.8,489.3,1878.3,9918.8,6805.6,4486.6,86.2,6389.5,3111.6,5057.6,3749.6,1652.1,5593.6,636.1,9618.8,1366.9,8083.3,4241.7,0,6941.9,6078.9,9585.5,5382.5,1027.5,4463.2,9484.4,4601.3,2758.3,2196.5,4026.0,6835.9,169.2,3019.3,8959.9,9812.5,9395.5,2632.5,8911.0,6458.7,5050.4,4065.7,8683.3,4015.8,9147.2,9380.6,5132.5
Eastchester,5092.8,5928.0,9147.7,5405.7,7410.8,1588.9,3312.9,2844.5,4972.4,6809.6,7100.7,9542.4,9637.0,7815.9,4102.8,4922.0,5390.7,5721.6,8198.8,4407.5,1590.1,1954.2,6941.9,0,8421.9,3574.0,6668.0,9298.3,7698.3,4117.5,5148.3,1269.0,2155.1,201.5,6345.1,624.5,948.8,9836.5,7553.6,4431.0,4932.7,4531.7,526.8,7848.7,4575.9,5672.0,7792.4,5366.8,8590.1,837.1
Harlem,519.7,9861.3,6491.4,9288.5,3052.6,7812.0,1382.3,3267.6,710.6,3055.1,3736.5,2382.8,2358.2,9374.4,8259.5,6559.6,2514.8,3017.8,4782.3,6317.6,9940.5,9894.7,6078.9,8421.9,0,453.5,3292.6,30.1,1410.4,9394.4,3470.5,5981.3,8996.2,3630.2,5186.9,2742.9,6831.5,6999.8,9082.5,130.6,8086.8,3789.3,6080.5,1293.0,2037.8,7009.7,581.3,4340.9,9724.1,2613.4
Forest Hills,5852.4,840.5,9804.2,962.6,8980.8,7709.1,3284.3,7677.9,9417.2,120.2,2845.3,7609.9,6229.1,4550.4,8964.9,8743.8,1091.1,7247.3,8518.9,9582.5,5122.8,2608.8,9585.5,3574.0,453.5,0,2558.6,7471.2,3188.1,2951.7,7398.1,8658.1,9476.4,1551.9,3732.9,8049.6,955.0,972.4,7211.0,4402.0,9728.1,316.9,6466.6,5067.5,4134.1,6949.5,1692.9,7808.4,4465.2,8541.4
Albany,9639.9,7986.3,6417.5,7324.7,3578.4,8055.4,1379.2,1942.1,5564.3,4512.9,3081.2,2072.4,6749.6,6356.3,8425.8,4769.7,5449.8,4265.4,8573.8,7275.0,1681.5,7420.4,5382.5,6668.0,3292.6,2558.6,0,229.1,9044.6,3020.9,501.4,2439.9,872.6,3082.1,2260.7,1875.4,126.6,6076.8,5372.1,6302.8,3682.8,5758.2,4102.5,4394.0,8025.1,6602.5,8758.8,7597.2,598.0,2990.7
New Windsor,2438.3,9815.5,8670.8,7065.6,7601.9,2060.6,3567.1,103.5,5438.2,9864.7,3195.7,5615.3,4815.8,4355.7,4131.3,3317.3,857.6,3932.2,1156.4,3829.8,3348.5,8760.6,1027.5,9298.3,30.1,7471.2,229.1,0,5255.0,6607.9,4908.3,7529.4,8523.7,7350.1,3456.8,1180.6,8035.1,6073.1,2753.8,705.0,7551.6,4623.3,551.6,5171.9,5540.4,1361.9,4834.2,1733.5,493.8,7497.9
New Paltz,8523.5,9750.7,3648.7,8080.1,4086.3,3404.1,2664.2,8936.1,7301.3,9883.7,2748.3,2245.7,7795.3,2489.1,624.6,9181.2,8.2,4153.9,6348.0,5612.3,8078.3,5728.3,4463.2,7698.3,1410.4,3188.1,9044.6,5255.0,0,5782.9,499.1,1406.5,471.8,6128.7,3124.4,2264.3,6504.9,1281.5,7821.3,8332.3,9538.5,7273.8,6919.3,8336.3,6396.3,3222.5,5099.2,7967.0,7954.5,132.8
Clinton,7843.1,8763.4,2351.3,5074.0,3518.6,3010.8,1792.4,7881.1,8663.0,9990.2,3458.9,3943.5,2062.4,2948.5,4399.9,955.5,8614.7,8760.9,8414.3,9803.8,1.3,220.6,9484.4,4117.5,9394.4,2951.7,3020.9,6607.9,5782.9,0,3828.7,6453.2,9718.3,2956.5,8068.2,2390.4,1976.6,3259.1,4624.6,554.1,8529.4,1048.8,3770.4,1908.4,1132.4,9868.8,5272.9,7591.0,7077.3,2290.4
Chautauqua,7023.4,372.0,3577.3,5424.1,7062.1,6957.1,2808.0,7900.0,8862.9,1017.6,197.6,2016.3,4632.9,6198.6,6460.6,6281.9,4075.2,1851.7,6795.5,7606.0,959.7,4323.1,4601.3,5148.3,3470.5,7398.1,501.4,4908.3,499.1,3828.7,0,1436.2,4177.8,5706.3,8177.6,9244.4,9319.6,827.9,7905.2,7359.7,1470.9,3759.1,9371.0,8376.5,1729.7,2571.6,1304.7,2456.0,8001.3,3093.0
Batavia,7352.6,4867.2,4887.6,3487.6,1417.9,6206.7,1349.4,4016.8,8452.8,5591.4,341.1,5005.6,2662.8,3193.5,2619.6,4419.6,8674.6,2651.9,4361.7,4295.1,4987.8,4255.1,2758.3,1269.0,5981.3,8658.1,2439.9,7529.4,1406.5,6453.2,1436.2,0,4085.5,3555.0,3035.1,5514.9,8327.7,1318.8,4211.5,5776.7,4621.8,1351.0,1462.2,8339.7,716.7,2658.8,3964.2,5101.5,1259.9,4260.8
Oswego,2646.0,647.1,1140.2,6418.0,6403.3,1949.8,3488.3,8685.8,1573.1,3793.4,8301.1,6865.8,4037.8,282.8,8635.0,5.4,2220.2,3522.6,5835.3,400.8,4833.5,3147.7,2196.5,2155.1,8996.2,9476.4,872.6,8523.7,471.8,9718.3,4177.8,4085.5,0,1659.0,648.9,8573.4,2403.1,2761.8,5644.2,5408.6,4036.2,1928.4,4114.6,7413.5,2148.9,35.3,5089.1,2730.4,1402.9,1797.6
Corning,4115.5,5970.0,8509.2,6296.6,2022.8,7974.2,7880.3,3055.2,9064.2,8375.0,1801.9,532.9,2652.4,5421.0,6562.0,185.4,8590.8,5885.3,9656.8,9554.0,7885.9,2092.9,4026.0,201.5,3630.2,1551.9,3082.1,7350.1,6128.7,2956.5,5706.3,3555.0,1659.0,0,6962.7,8814.4,5383.7,1006.3,267.2,5242.8,5693.6,7321.4,7645.0,1270.3,1853.4,6825.6,6500.7,4214.2,3441.9,2170.5
Dunkirk,4010.6,2000.8,1358.6,7492.2,6437.0,701.4,4339.1,3307.9,7906.7,9895.9,4949.4,5372.5,1449.9,1095.8,2361.1,718.8,1715.2,7284.6,1242.8,394.2,1707.9,7723.6,6835.9,6345.1,5186.9,3732.9,2260.7,3456.8,3124.4,8068.2,8177.6,3035.1,648.9,6962.7,0,622.6,743.2,1163.9,6756.9,8208.1,10.8,2167.2,9626.1,787.1,4358.9,5241.6,3692.3,8883.7,9053.1,6634.5
Oneonta,4202.6,1862.8,1449.1,9098.3,4145.7,606.2,9932.1,8133.5,6770.3,2249.9,2130.6,4800.0,3983.2,2270.5,4593.6,231.0,7898.0,7712.9,4965.0,5909.5,1330.4,3853.6,169.2,624.5,2742.9,8049.6,1875.4,1180.6,2264.3,2390.4,9244.4,5514.9,8573.4,8814.4,622.6,0,8418.0,7686.4,1805.7,6111.9,5014.6,1616.6,8306.6,4398.7,198.4,7286.0,8365.9,5137.5,4524.7,1163.4
Cortland,8532.5,7584.5,3639.4,6816.5,6996.2,3257.4,9547.5,8640.6,3153.6,1327.1,5515.1,7337.5,2104.2,1066.5,953.0,1359.9,4590.6,4371.1,4545.9,839.5,6053.3,3693.1,3019.3,948.8,6831.5,955.0,126.6,8035.1,6504.9,1976.6,9319.6,8327.7,2403.1,5383.7,743.2,8418.0,0,9669.0,4638.6,855.3,5886.2,2281.6,8410.1,5466.6,2647.5,3694.8,5122.6,5675.3,8699.1,2948.1
Stony Brook,3221.0,6886.9,4587.8,3462.3,7140.1,72.9,2950.1,5710.4,6866.4,1500.3,8446.3,4850.4,1574.2,6172.8,7622.6,9484.5,3762.6,8042.6,8652.7,7127.0,8281.3,9341.9,8959.9,9836.5,6999.8,972.4,6076.8,6073.1,1281.5,3259.1,827.9,1318.8,2761.8,1006.3,1163.9,7686.4,9669.0,0,6718.3,6828.4,9827.9,697.9,4112.5,4537.5,7382.7,1474.7,4443.7,8386.9,5440.6,2004.7
Great Neck,283.4,6268.8,4570.6,5381.3,9837.2,1604.1,8339.4,4512.6,5886.5,2397.6,8162.4,856.7,8565.6,4960.8,8455.2,6289.7,9131.3,608.1,3152.5,1280.3,3926.4,393.6,9812.5,7553.6,9082.5,7211.0,5372.1,2753.8,7821.3,4624.6,7905.2,4211.5,5644.2,267.2,6756.9,1805.7,4638.6,6718.3,0,3527.8,7715.2,5380.7,3673.0,6611.6,6168.6,8847.9,2691.7,6893.7,7585.8,9250.8
Cheektowaga,3286.6,4558.4,339.0,1983.7,7057.2,1024.0,7840.9,751.2,8736.7,1903.9,6642.8,449.8,3287.0,6223.1,3175.2,2707.5,7623.7,2142.1,1855.3,4107.1,3131.2,7193.7,9395.5,4431.0,130.6,4402.0,6302.8,705.0,8332.3,554.1,7359.7,5776.7,5408.6,5242.8,8208.1,6111.9,855.3,6828.4,3527.8,0,1879.4,3068.7,3385.6,2203.3,2896.1,3511.5,6672.6,4903.8,7666.1,1014.3
Sag Harbor,7290.0,4543.8,3539.0,7807.1,9380.3,9319.9,294.4,5201.6,7650.7,4603.5,2828.1,1321.7,8091.6,9988.6,9358.8,6106.5,719.8,1255.5,7884.4,1269.7,5288.3,6794.0,2632.5,4932.7,8086.8,9728.1,3682.8,7551.6,9538.5,8529.4,1470.9,4621.8,4036.2,5693.6,10.8,5014.6,5886.2,9827.9,7715.2,1879.4,0,277.7,4921.5,9615.9,7609.5,8431.6,3340.7,11.5,4985.4,8568.6
Garden City,7951.5,6081.0,4699.6,4887.2,6004.6,379.6,9301.4,1002.5,608.2,8629.2,9056.3,442.4,713.6,4100.7,6142.7,8760.0,8268.5,6329.2,6191.4,2647.8,8637.6,4526.4,8911.0,4531.7,3789.3,316.9,5758.2,4623.3,7273.8,1048.8,3759.1,1351.0,1928.4,7321.4,2167.2,1616.6,2281.6,697.9,5380.7,3068.7,277.7,0,7075.2,2164.4,4015.4,189.2,2169.2,1394.3,6875.7,9295.4
Ossining,3672.2,8350.4,7712.4,6023.6,7869.8,2010.2,9313.1,6497.2,687.0,1379.5,1724.4,6873.6,3701.6,8334.1,9231.9,6201.9,5973.6,9550.3,7235.7,6542.1,3428.7,2084.8,6458.7,526.8,6080.5,6466.6,4102.5,551.6,6919.3,3770.4,9371.0,1462.2,4114.6,7645.0,9626.1,8306.6,8410.1,4112.5,3673.0,3385.6,4921.5,7075.2,0,9413.9,4746.1,961.5,4101.3,1947.2,7917.8,8698.5
Southampton,6419.7,3912.5,563.5,9957.9,1529.4,7249.9,7826.9,1398.0,7403.4,3837.9,3649.2,190.0,4587.0,6657.3,4420.9,8454.9,1689.9,3438.9,3249.5,9426.1,7244.1,9012.2,5050.4,7848.7,1293.0,5067.5,4394.0,5171.9,8336.3,1908.4,8376.5,8339.7,7413.5,1270.3,787.1,4398.7,5466.6,4537.5,6611.6,2203.3,9615.9,2164.4,9413.9,0,4413.9,3428.2,9283.5,637.5,5603.9,2271.5
Hempstead,3026.9,3236.6,9505.6,3459.6,6008.9,6467.8,5198.9,5358.3,4065.5,5946.8,9261.5,6438.8,7123.3,8281.6,9318.4,8707.4,5107.7,8220.7,3732.2,7650.4,1217.1,2213.5,4065.7,4575.9,2037.8,4134.1,8025.1,5540.4,6396.3,1132.4,1729.7,716.7,2148.9,1853.4,4358.9,198.4,2647.5,7382.7,6168.6,2896.1,7609.5,4015.4,4746.1,4413.9,0,7980.8,3884.8,7184.9,1818.5,7615.9
Geneva,2382.2,2347.8,5856.9,4475.3,1983.8,9932.6,5054.6,6052.7,3088.4,4696.8,1195.6,9697.1,3701.5,9846.7,9936.0,9378.6,5594.1,8060.3,8686.9,1460.0,1357.2,9049.2,8683.3,5672.0,7009.7,6949.5,6602.5,1361.9,3222.5,9868.8,2571.6,2658.8,35.3,6825.6,5241.6,7286.0,3694.8,1474.7,8847.9,3511.5,8431.6,189.2,961.5,3428.2,7980.8,0,4931.5,2040.1,39.0,8129.5
Mount Vernon,4959.5,1597.2,3586.6,4988.7,5091.2,8462.9,6001.1,261.4,8934.4,493.6,959.8,9984.6,5912.4,5034.7,9891.7,6166.2,3178.6,6567.8,6267.5,8834.5,28.9,6048.0,4015.8,7792.4,581.3,1692.9,8758.8,4834.2,5099.2,5272.9,1304.7,3964.2,5089.1,6500.7,3692.3,8365.9,5122.6,4443.7,2691.7,6672.6,3340.7,2169.2,4101.3,9283.5,3884.8,4931.5,0,3669.6,5373.5,7116.8
Auburn,5810.3,7104.0,6382.9,8626.3,3342.0,9613.4,4370.6,4024.9,1938.6,6493.5,8808.3,2905.4,2279.7,8481.1,3125.0,2006.3,3990.7,190.9,7643.9,7271.5,761.8,3850.5,9147.2,5366.8,4340.9,7808.4,7597.2,1733.5,7967.0,7591.0,2456.0,5101.5,2730.4,4214.2,8883.7,5137.5,5675.3,8386.9,6893.7,4903.8,11.5,1394.3,1947.2,637.5,7184.9,2040.1,3669.6,0,2549.5,2325.0
Palmyra,6099.5,8699.8,7980.6,9520.4,4989.8,5079.8,7861.0,6405.2,3703.8,3715.5,5932.9,8158.3,1224.8,8783.7,7146.4,485.4,3079.5,5019.9,8600.8,7416.8,8770.3,2610.8,9380.6,8590.1,9724.1,4465.2,598.0,493.8,7954.5,7077.3,8001.3,1259.9,1402.9,3441.9,9053.1,4524.7,8699.1,5440.6,7585.8,7666.1,4985.4,6875.7,7917.8,5603.9,1818.5,39.0,5373.5,2549.5,0,9650.1
New York City,7004.3,2802.4,4257.9,2339.8,633.9,9059.9,275.9,9329.7,5423.5,1161.6,6112.2,8262.2,1633.1,4965.8,9937.6,9239.3,8638.4,6839.5,8839.4,1260.0,8279.6,1230.3,5132.5,837.1,2613.4,8541.4,2990.7,7497.9,132.8,2290.4,3093.0,4260.8,1797.6,2170.5,6634.5,1163.4,2948.1,2004.7,9250.8,1014.3,8568.6,9295.4,8698.5,2271.5,7615.9,8129.5,7116.8,2325.0,9650.1,0
