CSV,Glens Falls,Southampton,Rome,Gloversville,Nyack,Binghamton,Schenectady,Watkins Glen,East Hampton,Tonawanda,Flushing,Peekskill,Johnstown,Ogdensburg,Cooperstown,Great Neck,Poughkeepsie,Cheektowaga,Crown Point,Saratoga Springs,Coney Island,Batavia,Rensselaer,Levittown,Mount Vernon,Potsdam,Lackawanna,Babylon,Staten Island,Fredonia,Stony Point,Saranac Lake,Syracuse,Middletown,East Aurora,Niagara Falls,Oswego,Amsterdam,Brooklyn,Plattsburgh,Mamaroneck,Harlem,Troy,Utica,New Windsor,Bedford,Chautauqua,Oyster Bay,Ithaca
Flushing,2843.7,3452.7,6500.1,3870.7,7333.1,7420.4,1104.6,6069.8,1003.6,5566.3,0,4964.7,8052.6,8759.0,7565.7,7194.1,7415.7,1587.7,6824.3,5363.1,3585.6,9398.4,5275.7,9291.4,2557.7,5892.3,2346.5,4317.6,5592.6,8290.7,160.6,1090.5,5947.1,3788.1,4821.9,6729.1,3293.5,9599.2,328.9,343.9,97.4,2207.3,6082.8,1658.8,598.3,8363.8,2090.8,8750.2,4993.3
Peekskill,113.5,7338.4,5521.6,6064.7,9703.1,9432.4,5047.7,9476.1,2806.0,2689.6,4964.7,0,5322.8,4194.8,8810.3,3731.7,4460.7,5586.7,2385.5,4206.2,7068.1,7731.4,1601.8,2303.4,5560.5,492.3,3921.3,6782.3,4589.4,4182.1,6548.9,4266.5,809.8,8847.0,704.4,2402.1,5913.9,1924.0,6556.3,2740.5,3182.3,4206.1,883.2,7350.8,6594.3,2039.4,3754.8,8609.6,9724.9
Johnstown,3673.7,9347.6,8270.7,4830.0,9951.8,3439.6,8769.0,1957.2,2436.0,8879.7,8052.6,5322.8,0,6479.9,8285.0,5195.3,1929.1,436.3,8786.4,7113.9,5844.8,9795.9,3107.6,3200.8,9540.0,702.0,5994.8,2238.4,2382.4,3769.1,9191.0,6558.1,5689.6,895.0,5194.7,1778.7,4507.4,8457.4,4223.2,3935.8,1738.7,9690.4,9415.0,9913.5,6687.9,7472.7,8410.5,9196.7,9713.3
Ogdensburg,7979.0,8159.1,6056.6,3369.8,1876.5,7713.6,9931.1,3259.4,1933.5,1899.4,8759.0,4194.8,6479.9,0,3991.7,1287.9,5276.5,5990.6,8089.0,676.2,1242.0,3781.2,4474.0,9356.9,93.5,8295.3,1821.0,37.9,5458.5,4656.0,8977.6,2223.0,5607.2,7865.3,3066.1,6553.6,9752.2,8506.8,263.1,9021.1,4403.5,3148.7,5841.2,7242.2,1911.0,5137.4,4740.3,1201.8,7631.6
Cooperstown,9640.7,8987.2,7838.3,1380.7,4222.2,4554.1,5939.0,5211.4,1945.2,2216.7,7565.7,8810.3,8285.0,3991.7,0,7555.7,6737.3,2254.3,3114.9,553.8,6238.7,2215.5,780.8,6902.8,6005.2,2282.9,4990.4,7217.6,2504.3,8544.0,3267.1,8785.1,8806.0,4577.7,6977.2,121.6,3602.9,2020.2,2007.6,7377.5,1429.3,4555.0,6859.0,3480.3,4860.6,3348.8,6446.9,9081.2,1006.0
Great Neck,9832.3,750.1,5264.6,7133.1,8352.8,2044.9,6951.8,4298.4,4967.3,1596.2,7194.1,3731.7,5195.3,1287.9,7555.7,0,4051.1,1446.5,2866.8,6416.4,8163.9,5938.2,5729.2,7282.0,2885.4,469.0,8953.5,6127.8,9743.5,5632.3,7005.0,7087.8,993.4,3985.7,4457.8,9107.6,8074.3,625.5,319.2,3334.9,4135.2,4817.7,4662.0,2945.4,4931.4,6037.9,8296.5,1427.4,6522.0
Poughkeepsie,9710.6,6996.8,93.8,6746.0,4228.0,3450.6,4511.5,1408.1,7609.3,8404.2,7415.7,4460.7,1929.1,5276.5,6737.3,4051.1,0,4787.0,281.7,613.7,3383.9,4584.6,6165.9,8504.8,6413.0,1431.5,9042.0,9553.7,197.8,3932.9,1373.3,3562.9,7118.7,5338.9,3281.2,5923.0,4108.5,3194.5,5126.8,8037.9,7814.4,7837.7,7673.3,5431.4,6972.0,6446.6,3796.6,6643.2,9320.5
Cheektowaga,7552.0,1160.1,5579.8,1534.1,2640.8,6549.9,6933.7,2900.1,2637.6,1608.6,1587.7,5586.7,436.3,5990.6,2254.3,1446.5,4787.0,0,6272.5,9127.1,7122.0,421.1,9558.1,4324.2,9199.9,9878.6,5838.0,7725.6,8609.9,8939.4,3922.3,5678.3,5507.7,6389.9,5997.0,2458.3,1963.7,3162.6,8576.2,54.6,4173.1,1339.3,1735.0,95.8,2197.5,9156.4,7052.1,706.4,3107.2
Crown Point,2427.6,9308.2,6293.3,3806.9,4227.2,9823.7,9883.3,4649.2,7593.3,1808.0,6824.3,2385.5,8786.4,8089.0,3114.9,2866.8,281.7,6272.5,0,3592.7,7551.3,5344.8,7168.4,8965.9,6836.3,5625.9,3649.5,578.4,3303.6,8665.6,7943.6,8922.3,1913.7,2028.2,6725.6,528.0,3436.1,2435.8,8623.1,2852.1,1638.6,836.9,4116.8,2265.1,8462.3,3067.5,2705.2,1292.9,672.5
Saratoga Springs,7046.4,5626.3,1736.4,1196.8,8895.1,8446.1,261.0,6202.2,9640.1,4605.7,5363.1,4206.2,7113.9,676.2,553.8,6416.4,613.7,9127.1,3592.7,0,7422.8,1884.4,9114.2,7624.3,5616.7,9951.6,1216.9,6425.4,5104.5,4648.1,1623.3,8715.4,8278.9,4121.8,4555.4,3800.6,2414.9,5021.5,5254.7,8393.4,2837.3,9091.8,947.7,2504.7,3270.6,2043.8,824.2,7198.1,9083.2
Coney Island,823.5,6066.1,2583.5,5536.4,2239.8,3154.3,4107.3,3784.0,9842.0,8878.1,3585.6,7068.1,5844.8,1242.0,6238.7,8163.9,3383.9,7122.0,7551.3,7422.8,0,4277.5,1395.5,2614.5,218.9,4882.4,2202.4,1094.0,5493.2,1256.4,9336.2,5305.4,7813.1,4285.0,233.7,6559.9,3169.5,3151.3,1644.9,4324.4,6460.1,6559.1,8187.3,7817.1,9653.3,8968.4,1043.0,7534.5,5779.8
Batavia,3507.0,1867.2,9836.4,3860.5,9700.4,4661.4,2435.0,3910.7,9582.6,7839.4,9398.4,7731.4,9795.9,3781.2,2215.5,5938.2,4584.6,421.1,5344.8,1884.4,4277.5,0,2474.5,5670.7,169.7,1525.2,8471.4,4919.0,2068.8,4703.8,9418.9,4404.7,7654.4,5001.9,5490.4,6822.1,2783.4,6853.6,9172.8,2008.2,6474.6,536.0,1277.7,1768.0,7349.2,2212.5,9755.2,2889.7,9801.3
Rensselaer,6026.0,6487.4,9287.5,5297.0,3824.2,3406.4,2463.4,6461.7,4525.2,8488.7,5275.7,1601.8,3107.6,4474.0,780.8,5729.2,6165.9,9558.1,7168.4,9114.2,1395.5,2474.5,0,759.5,9234.0,5325.4,7601.2,9130.4,8082.1,2822.5,72.2,8593.4,681.8,3883.5,4427.9,6014.3,5821.6,8052.9,6462.8,517.6,2464.8,1449.9,1720.6,4866.2,2824.1,1131.6,3913.3,7906.8,3292.8
Levittown,3913.8,5954.9,5116.3,6368.8,7172.0,7233.7,1682.4,7650.5,5814.1,9023.0,9291.4,2303.4,3200.8,9356.9,6902.8,7282.0,8504.8,4324.2,8965.9,7624.3,2614.5,5670.7,759.5,0,3994.0,5911.0,5798.2,7753.3,9420.9,5773.6,5167.9,4756.1,989.9,545.0,8437.8,6303.8,5623.5,6523.1,8447.3,2677.5,1769.0,5542.2,3979.3,5346.2,7253.7,3379.5,7144.2,0.8,6902.2
Mount Vernon,7527.3,7213.6,565.9,6793.3,6375.5,6873.6,2707.5,6589.1,4894.2,6532.0,2557.7,5560.5,9540.0,93.5,6005.2,2885.4,6413.0,9199.9,6836.3,5616.7,218.9,169.7,9234.0,3994.0,0,522.1,3824.5,8387.2,6075.9,3327.7,6878.3,1627.3,6357.7,4537.1,694.2,2609.7,632.4,8905.0,4615.8,4808.4,6638.5,9761.3,6122.7,5045.0,8753.4,6298.7,8391.2,3954.2,3531.9
Potsdam,4571.6,9883.8,7726.8,7662.2,3926.8,5132.3,2124.0,4901.7,815.8,480.5,5892.3,492.3,702.0,8295.3,2282.9,469.0,1431.5,9878.6,5625.9,9951.6,4882.4,1525.2,5325.4,5911.0,522.1,0,1791.1,1589.8,7150.1,1597.1,7092.5,7770.1,3909.7,4168.2,52.4,3201.2,1372.3,7644.1,2683.2,3037.1,4527.2,7705.4,6927.5,8196.5,2888.6,2567.2,1613.9,1629.8,4153.1
Lackawanna,4582.1,6727.4,3043.3,3453.2,617.4,825.2,4365.2,3001.6,3862.0,3947.7,2346.5,3921.3,5994.8,1821.0,4990.4,8953.5,9042.0,5838.0,3649.5,1216.9,2202.4,8471.4,7601.2,5798.2,3824.5,1791.1,0,4118.4,7817.0,5550.8,5006.4,6370.6,8199.1,7706.0,8110.2,1131.5,1749.0,3680.2,8260.9,2419.9,479.4,9768.8,8253.8,8205.4,3626.3,2254.5,8217.2,5860.9,9450.2
Babylon,7490.8,7535.3,7440.6,6749.9,6707.9,871.2,8250.7,1002.0,7909.1,5334.9,4317.6,6782.3,2238.4,37.9,7217.6,6127.8,9553.7,7725.6,578.4,6425.4,1094.0,4919.0,9130.4,7753.3,8387.2,1589.8,4118.4,0,1982.7,3245.6,896.1,3543.8,1664.2,6731.7,9089.8,4107.2,8055.5,1453.2,6863.5,9880.1,5552.9,2448.9,5756.7,9039.3,2358.4,8909.7,8762.3,9290.1,5308.1
Staten Island,5156.0,7071.5,7217.5,6671.4,675.8,641.1,6690.2,9779.8,2748.6,8118.0,5592.6,4589.4,2382.4,5458.5,2504.3,9743.5,197.8,8609.9,3303.6,5104.5,5493.2,2068.8,8082.1,9420.9,6075.9,7150.1,7817.0,1982.7,0,2841.8,1320.6,1046.4,4613.0,8594.8,5726.1,7250.3,6045.3,6910.3,5336.3,8246.4,3929.6,9502.6,1765.8,7165.8,2438.6,9538.0,7392.3,4169.1,1471.1
Fredonia,42.3,8840.5,5116.4,9882.0,1612.2,7068.2,8675.1,265.1,6197.7,8152.3,8290.7,4182.1,3769.1,4656.0,8544.0,5632.3,3932.9,8939.4,8665.6,4648.1,1256.4,4703.8,2822.5,5773.6,3327.7,1597.1,5550.8,3245.6,2841.8,0,1995.1,9429.1,8263.7,9426.1,8082.8,2005.3,2638.3,8657.6,898.1,9379.5,2346.4,9457.0,7504.7,696.5,7238.6,7645.5,1625.6,535.1,6701.3
Stony Point,6060.4,4011.5,1909.0,1355.7,2723.4,1557.0,4203.7,8005.8,5294.3,8568.3,160.6,6548.9,9191.0,8977.6,3267.1,7005.0,1373.3,3922.3,7943.6,1623.3,9336.2,9418.9,72.2,5167.9,6878.3,7092.5,5006.4,896.1,1320.6,1995.1,0,7478.9,6186.3,2656.9,8474.8,1368.3,1755.1,7411.5,5627.5,368.1,5405.2,2528.9,1219.5,7548.7,4958.5,5457.6,5266.1,3526.7,4505.3
Saranac Lake,6472.7,9454.7,9588.6,1638.7,8627.4,3859.6,392.2,1425.4,5911.6,1018.9,1090.5,4266.5,6558.1,2223.0,8785.1,7087.8,3562.9,5678.3,8922.3,8715.4,5305.4,4404.7,8593.4,4756.1,1627.3,7770.1,6370.6,3543.8,1046.4,9429.1,7478.9,0,7554.7,2156.9,3433.8,9281.6,7465.3,4547.2,2678.7,2971.9,7105.8,3989.0,8583.7,6757.8,3362.8,8778.5,6315.5,5544.8,4736.5
Syracuse,5054.7,4818.8,3163.7,3403.0,6995.0,4674.4,3582.7,8822.4,2351.0,9549.7,5947.1,809.8,5689.6,5607.2,8806.0,993.4,7118.7,5507.7,1913.7,8278.9,7813.1,7654.4,681.8,989.9,6357.7,3909.7,8199.1,1664.2,4613.0,8263.7,6186.3,7554.7,0,7511.1,8001.7,1431.9,9966.7,7866.8,5983.3,9191.6,8024.2,671.6,3999.2,9659.9,9392.8,1735.7,5371.3,2013.6,2880.8
Middletown,3743.3,3299.1,8501.1,9028.9,8003.2,5783.4,4993.4,998.8,5469.6,3381.2,3788.1,8847.0,895.0,7865.3,4577.7,3985.7,5338.9,6389.9,2028.2,4121.8,4285.0,5001.9,3883.5,545.0,4537.1,4168.2,7706.0,6731.7,8594.8,9426.1,2656.9,2156.9,7511.1,0,845.7,8777.4,996.8,2964.7,6608.7,8588.3,9368.0,1579.6,3403.2,4748.0,9945.2,519.0,924.3,3512.7,8898.0
East Aurora,6845.7,5831.0,9328.1,9593.9,1357.7,5102.7,6346.5,9681.5,7845.6,9128.5,4821.9,704.4,5194.7,3066.1,6977.2,4457.8,3281.2,5997.0,6725.6,4555.4,233.7,5490.4,4427.9,8437.8,694.2,52.4,8110.2,9089.8,5726.1,8082.8,8474.8,3433.8,8001.7,845.7,0,4148.3,1418.6,5778.1,4346.9,5404.8,4507.3,3278.2,4241.6,8831.9,1295.8,8783.8,7258.5,5474.4,4024.0
Niagara Falls,3203.7,7980.9,2869.6,5795.9,6035.0,9719.3,9522.6,9266.6,701.6,5221.4,6729.1,2402.1,1778.7,6553.6,121.6,9107.6,5923.0,2458.3,528.0,3800.6,6559.9,6822.1,6014.3,6303.8,2609.7,3201.2,1131.5,4107.2,7250.3,2005.3,1368.3,9281.6,1431.9,8777.4,4148.3,0,6420.7,1649.6,1600.0,4530.7,5021.6,6384.0,4145.2,4681.8,4236.6,7264.5,6443.3,271.3,1938.5
Oswego,4024.8,3039.9,6960.7,1775.2,3353.9,3354.7,5223.1,5576.7,1147.4,2406.3,3293.5,5913.9,4507.4,9752.2,3602.9,8074.3,4108.5,1963.7,3436.1,2414.9,3169.5,2783.4,5821.6,5623.5,632.4,1372.3,1749.0,8055.5,6045.3,2638.3,1755.1,7465.3,9966.7,996.8,1418.6,6420.7,0,7362.6,5685.0,7039.0,972.6,7988.2,62.6,292.4,4227.7,2202.5,3880.8,9316.0,8453.2
Amsterdam,504.6,248.2,8138.8,857.5,4874.0,329.6,3391.1,6094.0,2998.4,9235.0,9599.2,1924.0,8457.4,8506.8,2020.2,625.5,3194.5,3162.6,2435.8,5021.5,3151.3,6853.6,8052.9,6523.1,8905.0,7644.1,3680.2,1453.2,6910.3,8657.6,7411.5,4547.2,7866.8,2964.7,5778.1,1649.6,7362.6,0,6067.4,6864.1,1604.6,7763.7,4006.5,2151.0,8981.7,9601.8,8177.8,2757.7,3843.6
Brooklyn,3597.3,2757.9,198.6,1590.1,6736.9,6590.5,5258.4,7567.7,4693.2,3768.3,328.9,6556.3,4223.2,263.1,2007.6,319.2,5126.8,8576.2,8623.1,5254.7,1644.9,9172.8,6462.8,8447.3,4615.8,2683.2,8260.9,6863.5,5336.3,898.1,5627.5,2678.7,5983.3,6608.7,4346.9,1600.0,5685.0,6067.4,0,8046.5,4286.6,2947.0,3998.5,97.8,7290.9,3238.7,5270.6,5865.7,725.7
Plattsburgh,2011.3,1162.0,5101.9,8604.9,8289.2,9611.2,4491.1,5043.8,8408.8,2157.0,343.9,2740.5,3935.8,9021.1,7377.5,3334.9,8037.9,54.6,2852.1,8393.4,4324.4,2008.2,517.6,2677.5,4808.4,3037.1,2419.9,9880.1,8246.4,9379.5,368.1,2971.9,9191.6,8588.3,5404.8,4530.7,7039.0,6864.1,8046.5,0,1240.9,8297.5,9256.7,2233.0,9858.1,7145.8,9440.8,9461.9,2774.9
Mamaroneck,8246.2,4300.0,7018.2,2529.7,4919.9,5324.3,2128.2,7558.9,1770.2,7030.2,97.4,3182.3,1738.7,4403.5,1429.3,4135.2,7814.4,4173.1,1638.6,2837.3,6460.1,6474.6,2464.8,1769.0,6638.5,4527.2,479.4,5552.9,3929.6,2346.4,5405.2,7105.8,8024.2,9368.0,4507.3,5021.6,972.6,1604.6,4286.6,1240.9,0,4397.8,4136.2,7321.9,6256.8,6474.3,2637.1,6237.3,5170.1
Harlem,9066.6,946.4,7127.8,9360.8,4903.1,5356.4,5895.1,7882.7,6897.3,1515.9,2207.3,4206.1,9690.4,3148.7,4555.0,4817.7,7837.7,1339.3,836.9,9091.8,6559.1,536.0,1449.9,5542.2,9761.3,7705.4,9768.8,2448.9,9502.6,9457.0,2528.9,3989.0,671.6,1579.6,3278.2,6384.0,7988.2,7763.7,2947.0,8297.5,4397.8,0,3941.8,3187.8,5771.7,6765.9,4131.5,5211.1,2015.7
Troy,9924.4,425.1,3136.0,4957.8,8184.8,9675.2,3099.0,2389.5,5615.2,8540.2,6082.8,883.2,9415.0,5841.2,6859.0,4662.0,7673.3,1735.0,4116.8,947.7,8187.3,1277.7,1720.6,3979.3,6122.7,6927.5,8253.8,5756.7,1765.8,7504.7,1219.5,8583.7,3999.2,3403.2,4241.6,4145.2,62.6,4006.5,3998.5,9256.7,4136.2,3941.8,0,649.8,5320.7,1074.3,4264.9,1782.4,8438.5
Utica,9496.7,3475.3,9296.6,4661.1,2797.8,8835.0,8159.4,7019.8,7510.3,397.1,1658.8,7350.8,9913.5,7242.2,3480.3,2945.4,5431.4,95.8,2265.1,2504.7,7817.1,1768.0,4866.2,5346.2,5045.0,8196.5,8205.4,9039.3,7165.8,696.5,7548.7,6757.8,9659.9,4748.0,8831.9,4681.8,292.4,2151.0,97.8,2233.0,7321.9,3187.8,649.8,0,6643.5,8184.6,2826.5,9208.8,7837.9
New Windsor,4157.1,4341.5,6165.4,7837.5,7850.6,6490.4,752.3,1649.7,9330.9,4232.3,598.3,6594.3,6687.9,1911.0,4860.6,4931.4,6972.0,2197.5,8462.3,3270.6,9653.3,7349.2,2824.1,7253.7,8753.4,2888.6,3626.3,2358.4,2438.6,7238.6,4958.5,3362.8,9392.8,9945.2,1295.8,4236.6,4227.7,8981.7,7290.9,9858.1,6256.8,5771.7,5320.7,6643.5,0,3309.1,3555.4,9185.8,4479.7
Bedford,501.8,4211.8,4583.6,1077.8,6042.2,3694.1,8678.8,1464.4,7245.5,3402.8,8363.8,2039.4,7472.7,5137.4,3348.8,6037.9,6446.6,9156.4,3067.5,2043.8,8968.4,2212.5,1131.6,3379.5,6298.7,2567.2,2254.5,8909.7,9538.0,7645.5,5457.6,8778.5,1735.7,519.0,8783.8,7264.5,2202.5,9601.8,3238.7,7145.8,6474.3,6765.9,1074.3,8184.6,3309.1,0,6924.9,9228.7,6720.1
Chautauqua,1026.1,6527.5,9452.7,3765.7,7638.6,3528.8,2558.9,4928.7,5998.5,9872.2,2090.8,3754.8,8410.5,4740.3,6446.9,8296.5,3796.6,7052.1,2705.2,824.2,1043.0,9755.2,3913.3,7144.2,8391.2,1613.9,8217.2,8762.3,7392.3,1625.6,5266.1,6315.5,5371.3,924.3,7258.5,6443.3,3880.8,8177.8,5270.6,9440.8,2637.1,4131.5,4264.9,2826.5,3555.4,6924.9,0,8004.6,6158.9
Oyster Bay,5667.7,2852.5,3773.6,1063.8,6811.9,9318.8,8259.5,9124.0,6439.5,9425.9,8750.2,8609.6,9196.7,1201.8,9081.2,1427.4,6643.2,706.4,1292.9,7198.1,7534.5,2889.7,7906.8,0.8,3954.2,1629.8,5860.9,9290.1,4169.1,535.1,3526.7,5544.8,2013.6,3512.7,5474.4,271.3,9316.0,2757.7,5865.7,9461.9,6237.3,5211.1,1782.4,9208.8,9185.8,9228.7,8004.6,0,6218.6
Ithaca,6700.8,6132.2,852.3,368.0,7286.3,5926.4,3796.2,2428.2,8931.5,2779.0,4993.3,9724.9,9713.3,7631.6,1006.0,6522.0,9320.5,3107.2,672.5,9083.2,5779.8,9801.3,3292.8,6902.2,3531.9,4153.1,9450.2,5308.1,1471.1,6701.3,4505.3,4736.5,2880.8,8898.0,4024.0,1938.5,8453.2,3843.6,725.7,2774.9,5170.1,2015.7,8438.5,7837.9,4479.7,6720.1,6158.9,6218.6,0
