CSV,Ilion,Mount Vernon,Hempstead,Glens Falls,Ticonderoga,Johnstown,Manhattan,Troy,Herkimer,Watkins Glen,Palmyra,Port Washington,Bronx,Cooperstown,Rochester,Clinton,Mineola,Dunkirk,Chautauqua,Rensselaer,Cohoes,Massena,Oneida,Plattsburgh,Huntington,Sag Harbor,Potsdam,Saratoga Springs,Lake Placid,Lockport,Niagara Falls,East Aurora,North Hempstead,Albany,Auburn,Garden City,New Paltz,Scarsdale,New York City,Stony Point,Stony Brook,Oneonta,Hyde Park,Nyack,Harlem,White Plains,New Rochelle,Corning,Rome,Ogdensburg
Palmyra,4521.6,4481.5,9932.2,5560.4,3887.3,9802.1,2754.2,2131.9,8616.7,9780.6,0,614.2,5313.6,1385.3,9068.2,2452.2,8647.7,6887.9,4917.9,6526.7,7591.7,4215.9,8837.1,2342.0,7165.4,9244.1,2166.5,1338.0,1870.2,5728.2,9345.8,446.6,909.8,4374.8,6616.2,3239.9,7541.8,9510.6,4478.1,9653.6,3864.7,2351.2,2457.2,3580.7,2650.9,3582.0,4981.0,7866.9,7778.5,7090.0
Port Washington,5406.8,9512.3,6804.3,4238.9,6589.1,7660.2,401.6,5952.5,638.5,3227.9,614.2,0,8176.0,4572.0,1253.1,9067.0,4718.2,8753.2,8802.9,1288.3,484.0,3796.8,4098.1,6369.7,4366.1,480.6,1409.3,4752.0,4672.8,1835.1,3678.9,6784.5,4761.7,410.8,1638.9,1323.2,8491.5,7236.8,8667.1,6964.1,5080.1,501.9,9216.0,4220.6,9177.9,6991.2,7714.3,3901.9,4007.7,2495.8
Bronx,2245.3,3403.6,3005.8,8758.2,3064.7,76.9,1437.8,9452.5,1427.2,6459.0,5313.6,8176.0,0,4857.5,3158.7,7521.1,2710.9,7978.4,9929.6,3893.0,7385.0,4272.2,2667.6,2880.8,8002.8,7683.8,3800.7,2865.1,7964.5,7765.1,8489.3,6348.1,9179.0,9651.7,3483.3,764.5,4587.6,3487.0,9216.9,5928.7,6148.2,1495.1,1156.9,23.7,2989.6,5113.3,313.5,7580.2,4814.6,5439.5
Cooperstown,2718.6,8117.6,7333.9,6798.2,2347.8,101.0,3696.4,9692.2,9457.8,4489.7,1385.3,4572.0,4857.5,0,3739.4,4005.9,7167.4,3445.6,9021.1,7353.0,6249.7,6685.1,5404.7,4704.8,740.9,15.2,8812.8,863.6,7427.2,2880.4,9152.4,5593.6,7665.7,2430.3,6555.7,1325.8,7129.9,7692.7,5135.5,808.1,6459.5,994.7,4715.8,6464.0,2718.7,2283.7,7527.2,7011.6,7233.8,799.4
Rochester,356.6,4687.3,4354.9,1756.9,9559.0,3565.9,349.2,1606.1,5667.6,7838.3,9068.2,1253.1,3158.7,3739.4,0,5010.5,2747.1,5995.3,9717.4,7516.2,4240.2,3098.9,4013.9,9773.9,6213.9,4966.4,2370.3,7124.9,7265.4,5699.1,5689.0,9873.8,1952.7,9357.2,2943.2,5014.7,7576.8,4938.9,5422.5,5927.5,6427.2,7397.6,3917.0,8412.6,8764.5,5860.2,1807.7,7445.1,1527.1,6245.2
Clinton,469.8,7360.8,5819.4,9508.4,2649.8,7919.9,9286.2,1526.5,3444.4,8992.4,2452.2,9067.0,7521.1,4005.9,5010.5,0,3421.5,7707.5,9183.1,9878.2,2555.7,9426.5,3008.7,2289.2,7942.4,4205.0,4673.1,9089.7,9951.6,4011.1,9287.5,727.9,7327.6,8301.9,44.7,2110.4,6799.7,3637.8,5260.2,1824.1,828.6,957.0,8488.4,5749.6,783.6,387.8,2296.8,724.5,1301.1,1610.0
Mineola,4457.8,1699.6,6900.8,9792.3,6851.0,3961.5,1496.8,9095.1,795.8,9213.5,8647.7,4718.2,2710.9,7167.4,2747.1,3421.5,0,834.5,9436.4,9037.0,5674.8,9601.8,3450.1,3887.5,8453.8,8506.4,5358.7,2806.5,1815.1,9974.4,6817.2,9324.4,3379.5,9998.9,5726.6,2079.1,3425.5,9050.2,9727.2,6897.9,5310.9,5944.9,8893.3,4496.7,8103.8,9350.3,6145.8,9760.3,6778.5,1521.9
Dunkirk,9030.4,3876.8,3267.7,4269.1,9852.7,9428.3,3212.5,6583.6,610.8,4912.7,6887.9,8753.2,7978.4,3445.6,5995.3,7707.5,834.5,0,5897.1,4935.3,3954.6,5842.5,7182.8,5230.9,6083.3,9071.7,3469.9,3903.0,518.1,4868.2,9743.9,2157.1,467.7,6671.9,2668.7,1259.8,379.4,8908.9,8555.3,519.8,1039.1,5283.2,4861.6,3908.1,5125.0,4299.9,3331.8,6386.5,8469.5,638.8
Chautauqua,7679.3,2639.0,3281.2,9343.2,8791.7,3638.5,5697.1,8031.4,831.5,7228.1,4917.9,8802.9,9929.6,9021.1,9717.4,9183.1,9436.4,5897.1,0,1287.3,5987.5,7549.2,708.6,2558.2,7284.2,1618.6,3368.9,2045.6,6950.3,4385.7,5918.7,329.9,6208.2,37.7,1702.9,2124.4,1237.4,119.0,4313.7,5141.5,7393.8,1914.4,1299.5,7509.3,5540.1,9869.6,7551.3,3786.9,5312.7,2072.2
Rensselaer,1175.4,6534.8,3752.9,2790.5,9661.1,5501.9,1162.7,3531.5,1986.0,3476.9,6526.7,1288.3,3893.0,7353.0,7516.2,9878.2,9037.0,4935.3,1287.3,0,8962.6,2501.6,4733.7,146.6,8526.6,6913.0,5645.6,6136.3,4215.3,6682.1,9416.2,3308.3,791.3,7280.8,1704.6,7665.0,4371.1,1987.5,9147.6,6200.7,6937.2,7355.8,9072.9,4668.2,6126.3,9567.3,8139.4,3517.3,5324.0,4233.0
Cohoes,6435.7,1476.4,3998.6,7718.3,7654.5,6516.0,2417.0,3182.1,8714.3,7207.2,7591.7,484.0,7385.0,6249.7,4240.2,2555.7,5674.8,3954.6,5987.5,8962.6,0,9228.7,1518.3,2695.5,9550.5,497.8,6517.5,32.4,2333.7,1613.7,8939.3,5563.9,1974.5,1896.5,9875.0,6895.5,9245.7,2871.7,7179.8,3590.6,7120.0,8559.0,4393.9,6606.5,4112.7,6888.7,9866.7,9323.4,1067.1,2355.4
Massena,9164.4,8347.6,7916.5,6900.5,1179.1,5051.9,2333.2,7870.3,3679.7,9447.2,4215.9,3796.8,4272.2,6685.1,3098.9,9426.5,9601.8,5842.5,7549.2,2501.6,9228.7,0,7513.2,605.4,340.8,660.6,4131.8,2630.8,705.5,6024.5,390.4,4920.1,8757.4,948.5,6021.9,4170.1,2180.4,4428.1,857.6,2352.2,7620.8,8613.0,278.3,5322.0,4363.1,8102.3,4693.2,495.3,9429.0,4363.5
Oneida,2831.5,4797.0,9860.9,6709.9,6322.1,372.0,9341.8,4843.4,3788.2,6187.1,8837.1,4098.1,2667.6,5404.7,4013.9,3008.7,3450.1,7182.8,708.6,4733.7,1518.3,7513.2,0,790.0,1298.5,4480.4,9805.1,8792.4,9176.2,911.9,1480.9,95.3,8206.5,4688.0,5435.6,3638.8,236.3,2804.4,2270.7,3852.7,6320.1,6518.9,5706.0,6243.5,4402.0,5330.3,4210.5,3780.1,5427.7,7074.1
Plattsburgh,4317.6,9913.3,965.9,8555.8,9375.3,7321.1,748.0,4513.5,691.3,7668.6,2342.0,6369.7,2880.8,4704.8,9773.9,2289.2,3887.5,5230.9,2558.2,146.6,2695.5,605.4,790.0,0,7381.9,6068.4,3209.2,8113.3,6582.2,2202.2,879.1,5733.1,3316.5,4302.7,4490.5,1746.8,6052.8,6610.7,8105.7,8127.5,2585.7,8000.4,8109.4,3570.1,2526.9,5872.6,2229.3,9887.7,4797.7,5938.4
Huntington,3417.7,2336.6,7735.3,3530.9,5424.7,3180.5,3833.2,7154.3,6967.7,1219.4,7165.4,4366.1,8002.8,740.9,6213.9,7942.4,8453.8,6083.3,7284.2,8526.6,9550.5,340.8,1298.5,7381.9,0,157.4,6921.5,3646.6,3551.8,5221.3,1947.8,856.9,1498.7,8479.9,2034.1,6399.0,5637.0,6015.2,2702.1,905.7,899.3,9321.3,9270.7,2317.8,776.3,2035.9,3610.7,4082.7,9069.7,9723.8
Sag Harbor,5157.5,5473.5,7439.4,8081.3,2186.1,8457.8,6811.1,5977.7,7805.5,2005.5,9244.1,480.6,7683.8,15.2,4966.4,4205.0,8506.4,9071.7,1618.6,6913.0,497.8,660.6,4480.4,6068.4,157.4,0,5747.2,3607.4,9578.5,4906.6,2372.1,5559.2,2832.2,6046.7,2280.3,102.7,6108.8,8198.1,3051.0,331.1,2368.8,4768.2,6528.8,753.2,9374.6,2154.7,7897.1,3888.7,395.7,6523.9
Potsdam,688.7,8471.0,3743.8,2861.6,3999.1,9695.0,2114.5,7772.1,5072.9,4585.4,2166.5,1409.3,3800.7,8812.8,2370.3,4673.1,5358.7,3469.9,3368.9,5645.6,6517.5,4131.8,9805.1,3209.2,6921.5,5747.2,0,8324.7,8944.9,1941.8,6821.4,2465.7,1397.7,9933.3,2568.8,2235.4,5342.8,8896.0,5490.4,8517.4,5867.9,3491.3,7764.1,2916.6,1420.1,9940.5,7106.8,2086.7,4327.0,179.2
Saratoga Springs,1935.1,5182.1,6977.5,2522.2,6110.9,2464.2,3505.5,9113.2,6604.1,714.2,1338.0,4752.0,2865.1,863.6,7124.9,9089.7,2806.5,3903.0,2045.6,6136.3,32.4,2630.8,8792.4,8113.3,3646.6,3607.4,8324.7,0,670.3,9377.8,6739.3,2630.5,6615.5,4237.5,1620.3,3597.9,9300.8,3261.9,6017.2,3578.4,9851.1,8120.8,4495.0,8316.5,5681.1,2501.8,1026.5,1611.9,7750.4,4438.6
Lake Placid,17.2,9099.8,3450.0,2022.0,6118.3,4708.2,9278.3,9722.7,7206.0,486.9,1870.2,4672.8,7964.5,7427.2,7265.4,9951.6,1815.1,518.1,6950.3,4215.3,2333.7,705.5,9176.2,6582.2,3551.8,9578.5,8944.9,670.3,0,5523.1,5498.2,3118.8,7326.7,6827.6,6158.8,9798.9,4012.3,6619.3,416.1,3357.2,4498.7,6307.9,9038.5,3192.4,7335.7,7669.7,8714.7,8963.1,3071.9,8041.1
Lockport,7253.6,7704.6,1077.9,5844.5,1851.4,7996.9,286.7,6871.0,2933.6,2799.5,5728.2,1835.1,7765.1,2880.4,5699.1,4011.1,9974.4,4868.2,4385.7,6682.1,1613.7,6024.5,911.9,2202.2,5221.3,4906.6,1941.8,9377.8,5523.1,0,3891.7,8840.4,8585.8,8002.4,9355.4,9610.9,7780.6,9382.6,1788.1,8838.1,8427.5,7689.9,6414.9,1674.8,9760.6,4178.3,824.8,5698.8,5887.4,2964.8
Niagara Falls,2006.2,4499.6,1162.0,3118.0,5557.6,6901.5,5769.2,7358.2,869.5,8497.3,9345.8,3678.9,8489.3,9152.4,5689.0,9287.5,6817.2,9743.9,5918.7,9416.2,8939.3,390.4,1480.9,879.1,1947.8,2372.1,6821.4,6739.3,5498.2,3891.7,0,7222.4,5574.8,5618.5,3282.6,4440.2,7264.3,6980.7,4368.3,3283.4,3110.7,3353.7,5984.1,3520.0,4695.1,7389.4,4835.9,9350.4,9607.9,2468.5
East Aurora,8016.7,184.5,7318.5,8716.4,3385.3,1453.8,4972.7,3011.2,7620.9,6074.7,446.6,6784.5,6348.1,5593.6,9873.8,727.9,9324.4,2157.1,329.9,3308.3,5563.9,4920.1,95.3,5733.1,856.9,5559.2,2465.7,2630.5,3118.8,8840.4,7222.4,0,7026.8,1786.5,8069.4,9202.0,829.2,6220.3,8328.6,2556.8,6795.2,6005.0,3770.8,5302.0,5714.5,7192.0,8922.9,5417.8,6289.1,6053.5
North Hempstead,307.4,1570.9,1279.3,9631.8,3047.4,6823.6,5147.4,6548.4,9738.3,8261.4,909.8,4761.7,9179.0,7665.7,1952.7,7327.6,3379.5,467.7,6208.2,791.3,1974.5,8757.4,8206.5,3316.5,1498.7,2832.2,1397.7,6615.5,7326.7,8585.8,5574.8,7026.8,0,2209.6,7391.9,8884.3,5619.6,7348.1,1910.1,8888.5,936.2,9823.5,6200.5,6390.0,5436.5,7052.9,5577.3,2208.9,8859.0,4592.2
Albany,1504.3,8982.0,3568.8,4311.0,3305.6,9197.5,4883.5,2560.6,8627.3,7245.6,4374.8,410.8,9651.7,2430.3,9357.2,8301.9,9998.9,6671.9,37.7,7280.8,1896.5,948.5,4688.0,4302.7,8479.9,6046.7,9933.3,4237.5,6827.6,8002.4,5618.5,1786.5,2209.6,0,5768.1,3907.0,1712.1,3007.3,4265.1,856.1,9610.4,7398.9,9896.7,6688.2,4221.8,3128.0,7639.9,8481.4,8489.4,4071.0
Auburn,776.6,8147.0,3841.9,6708.9,2116.0,3914.5,58.2,5879.3,8189.3,8608.0,6616.2,1638.9,3483.3,6555.7,2943.2,44.7,5726.6,2668.7,1702.9,1704.6,9875.0,6021.9,5435.6,4490.5,2034.1,2280.3,2568.8,1620.3,6158.8,9355.4,3282.6,8069.4,7391.9,5768.1,0,2948.6,3575.4,2456.2,4283.4,9513.5,1775.7,1724.0,1969.9,7704.7,6664.9,9814.1,7283.3,9033.3,5123.8,2420.0
Garden City,9364.1,4631.5,515.1,8643.1,9243.6,9635.7,6883.0,8868.3,8482.0,7809.8,3239.9,1323.2,764.5,1325.8,5014.7,2110.4,2079.1,1259.8,2124.4,7665.0,6895.5,4170.1,3638.8,1746.8,6399.0,102.7,2235.4,3597.9,9798.9,9610.9,4440.2,9202.0,8884.3,3907.0,2948.6,0,1606.7,4047.9,1243.5,1916.3,2406.4,4828.8,7553.1,1126.9,5314.7,6222.1,8226.4,9935.4,733.7,2135.2
New Paltz,6056.5,2100.5,3207.5,8987.4,3092.2,4037.7,1726.2,5002.8,8151.3,5022.7,7541.8,8491.5,4587.6,7129.9,7576.8,6799.7,3425.5,379.4,1237.4,4371.1,9245.7,2180.4,236.3,6052.8,5637.0,6108.8,5342.8,9300.8,4012.3,7780.6,7264.3,829.2,5619.6,1712.1,3575.4,1606.7,0,7560.7,1153.7,742.5,2336.1,3831.9,2620.6,538.2,9093.9,1342.2,3521.6,8115.9,1464.8,8757.2
Scarsdale,9822.1,816.9,8184.8,5868.8,1151.4,830.1,8849.6,8863.2,7505.4,1218.6,9510.6,7236.8,3487.0,7692.7,4938.9,3637.8,9050.2,8908.9,119.0,1987.5,2871.7,4428.1,2804.4,6610.7,6015.2,8198.1,8896.0,3261.9,6619.3,9382.6,6980.7,6220.3,7348.1,3007.3,2456.2,4047.9,7560.7,0,553.0,3900.5,5369.2,998.7,4586.1,9828.5,1605.7,1722.0,7938.4,2235.0,6028.3,1651.7
New York City,42.5,2809.7,6763.6,3075.7,6253.8,7362.1,7950.4,1568.6,9910.4,424.5,4478.1,8667.1,9216.9,5135.5,5422.5,5260.2,9727.2,8555.3,4313.7,9147.6,7179.8,857.6,2270.7,8105.7,2702.1,3051.0,5490.4,6017.2,416.1,1788.1,4368.3,8328.6,1910.1,4265.1,4283.4,1243.5,1153.7,553.0,0,6147.8,790.7,591.3,7309.8,9266.3,3808.8,5453.4,1714.2,1629.0,4539.0,9689.1
Stony Point,6490.1,5108.6,9463.8,2201.0,140.1,8602.1,627.7,61.3,9452.9,1336.7,9653.6,6964.1,5928.7,808.1,5927.5,1824.1,6897.9,519.8,5141.5,6200.7,3590.6,2352.2,3852.7,8127.5,905.7,331.1,8517.4,3578.4,3357.2,8838.1,3283.4,2556.8,8888.5,856.1,9513.5,1916.3,742.5,3900.5,6147.8,0,4271.8,1473.5,4523.9,1552.6,9333.5,140.8,3070.1,19.6,8916.1,5916.5
Stony Brook,9482.2,8712.9,2741.6,6999.6,7182.1,107.9,7655.3,4747.7,8988.8,6524.3,3864.7,5080.1,6148.2,6459.5,6427.2,828.6,5310.9,1039.1,7393.8,6937.2,7120.0,7620.8,6320.1,2585.7,899.3,2368.8,5867.9,9851.1,4498.7,8427.5,3110.7,6795.2,936.2,9610.4,1775.7,2406.4,2336.1,5369.2,790.7,4271.8,0,7981.0,818.4,9425.7,2817.9,7405.0,4634.6,5746.3,9007.5,5798.4
Oneonta,556.9,1632.3,9429.2,2415.7,8064.3,9891.6,2932.0,2760.6,2864.1,9623.7,2351.2,501.9,1495.1,994.7,7397.6,957.0,5944.9,5283.2,1914.4,7355.8,8559.0,8613.0,6518.9,8000.4,9321.3,4768.2,3491.3,8120.8,6307.9,7689.9,3353.7,6005.0,9823.5,7398.9,1724.0,4828.8,3831.9,998.7,591.3,1473.5,7981.0,0,5747.1,1867.1,7193.3,6737.8,3735.6,2404.0,8916.8,3144.9
Hyde Park,992.9,195.8,5112.7,9589.1,7149.0,8641.3,7685.7,6335.8,1785.0,9229.7,2457.2,9216.0,1156.9,4715.8,3917.0,8488.4,8893.3,4861.6,1299.5,9072.9,4393.9,278.3,5706.0,8109.4,9270.7,6528.8,7764.1,4495.0,9038.5,6414.9,5984.1,3770.8,6200.5,9896.7,1969.9,7553.1,2620.6,4586.1,7309.8,4523.9,818.4,5747.1,0,3569.8,9207.2,3209.5,9034.5,6656.1,7727.4,8515.1
Nyack,4677.2,7515.7,3928.7,2466.2,491.1,3575.1,6298.6,5780.1,4518.2,9269.8,3580.7,4220.6,23.7,6464.0,8412.6,5749.6,4496.7,3908.1,7509.3,4668.2,6606.5,5322.0,6243.5,3570.1,2317.8,753.2,2916.6,8316.5,3192.4,1674.8,3520.0,5302.0,6390.0,6688.2,7704.7,1126.9,538.2,9828.5,9266.3,1552.6,9425.7,1867.1,3569.8,0,6731.5,2294.1,8958.0,2141.3,570.8,9889.3
Harlem,4593.6,9838.8,8865.8,9702.4,5362.6,6287.0,8191.7,7792.7,3340.7,3572.0,2650.9,9177.9,2989.6,2718.7,8764.5,783.6,8103.8,5125.0,5540.1,6126.3,4112.7,4363.1,4402.0,2526.9,776.3,9374.6,1420.1,5681.1,7335.7,9760.6,4695.1,5714.5,5436.5,4221.8,6664.9,5314.7,9093.9,1605.7,3808.8,9333.5,2817.9,7193.3,9207.2,6731.5,0,2152.4,2515.2,3694.9,8004.0,8708.1
White Plains,9183.3,1737.6,2359.0,2661.5,826.0,6972.5,8310.7,9564.6,6268.5,2520.4,3582.0,6991.2,5113.3,2283.7,5860.2,387.8,9350.3,4299.9,9869.6,9567.3,6888.7,8102.3,5330.3,5872.6,2035.9,2154.7,9940.5,2501.8,7669.7,4178.3,7389.4,7192.0,7052.9,3128.0,9814.1,6222.1,1342.2,1722.0,5453.4,140.8,7405.0,6737.8,3209.5,2294.1,2152.4,0,9494.9,8487.6,2976.3,2449.6
New Rochelle,8379.1,8289.1,9536.2,8165.3,5748.6,9259.0,3746.5,5571.8,9530.3,7401.7,4981.0,7714.3,313.5,7527.2,1807.7,2296.8,6145.8,3331.8,7551.3,8139.4,9866.7,4693.2,4210.5,2229.3,3610.7,7897.1,7106.8,1026.5,8714.7,824.8,4835.9,8922.9,5577.3,7639.9,7283.3,8226.4,3521.6,7938.4,1714.2,3070.1,4634.6,3735.6,9034.5,8958.0,2515.2,9494.9,0,1452.2,1325.4,4217.2
Corning,4349.0,8503.8,7025.5,9653.7,2445.9,3660.6,1770.9,6148.9,9055.8,1632.2,7866.9,3901.9,7580.2,7011.6,7445.1,724.5,9760.3,6386.5,3786.9,3517.3,9323.4,495.3,3780.1,9887.7,4082.7,3888.7,2086.7,1611.9,8963.1,5698.8,9350.4,5417.8,2208.9,8481.4,9033.3,9935.4,8115.9,2235.0,1629.0,19.6,5746.3,2404.0,6656.1,2141.3,3694.9,8487.6,1452.2,0,4506.3,9509.5
Rome,3617.3,973.8,8202.1,6939.2,8443.0,2588.3,3562.3,9160.2,7780.3,522.3,7778.5,4007.7,4814.6,7233.8,1527.1,1301.1,6778.5,8469.5,5312.7,5324.0,1067.1,9429.0,5427.7,4797.7,9069.7,395.7,4327.0,7750.4,3071.9,5887.4,9607.9,6289.1,8859.0,8489.4,5123.8,733.7,1464.8,6028.3,4539.0,8916.1,9007.5,8916.8,7727.4,570.8,8004.0,2976.3,1325.4,4506.3,0,1424.1
Ogdensburg,6884.3,5830.7,2984.2,3.9,8747.3,3661.0,9190.2,5315.4,6290.4,3406.0,7090.0,2495.8,5439.5,799.4,6245.2,1610.0,1521.9,638.8,2072.2,4233.0,2355.4,4363.5,7074.1,5938.4,9723.8,6523.9,179.2,4438.6,8041.1,2964.8,2468.5,6053.5,4592.2,4071.0,2420.0,2135.2,8757.2,1651.7,9689.1,5916.5,5798.4,3144.9,8515.1,9889.3,8708.1,2449.6,4217.2,9509.5,1424.1,0
