CSV,Geneva,Seneca Falls,Sag Harbor,Utica,Babylon,Rye,Stony Point,Rome,Ossining,Cooperstown,Brooklyn,Bedford,Ithaca,Bronx,Nyack,Herkimer,Gloversville,Niagara Falls,Elmira,Kingston,Clinton,Olean,Levittown,Hudson,West Seneca,Forest Hills,Port Washington,Saratoga Springs,Palmyra,Massena,Syracuse,Oneida,Lake Placid,Hempstead,New York City,Binghamton,Troy,Potsdam,Watervliet,Albany,White Plains,Middletown,Oyster Bay,Mamaroneck,Mount Vernon,Queens,Dunkirk,Peekskill,Cohoes,Manhattan
Niagara Falls,9390.8,6938.0,6757.6,6121.8,197.9,5395.4,3131.4,5732.0,1527.9,4845.1,9382.6,4123.6,6413.7,5681.6,7039.4,4979.3,1825.5,0,7836.9,2057.1,3493.1,4736.8,1800.2,7631.0,2659.1,270.5,6137.0,45.6,7253.4,8339.9,8267.2,823.0,9431.6,9569.9,5379.8,4430.0,9783.0,8468.0,1620.1,3078.0,185.3,1284.7,2035.2,4919.7,7268.4,6945.9,2342.7,4528.5,2278.2,8492.3
Elmira,5363.7,7970.3,6685.4,2802.1,3055.1,2644.6,9223.6,7707.8,5407.0,6924.8,7684.4,2684.1,1348.4,2685.2,7021.3,76.8,5197.5,7836.9,0,6954.8,5813.8,9497.5,2358.2,8900.7,5279.4,348.6,1295.0,9925.5,1131.7,6284.4,2482.3,1500.5,6694.0,3159.2,6459.9,4756.9,657.5,111.3,1897.1,5042.9,7009.7,1118.8,8066.1,6893.6,4142.4,8065.9,878.4,8996.8,8628.6,729.9
Kingston,5179.5,4363.4,7318.8,8614.1,4732.1,4786.2,8784.5,148.5,2466.3,2834.2,3978.6,2894.8,2526.7,5132.7,4279.5,586.7,5496.3,2057.1,6954.8,0,8436.1,6666.3,47.5,475.0,3701.7,478.1,1040.3,5234.8,7360.0,2022.2,8953.2,2579.5,4097.5,5787.7,4373.3,1636.3,709.7,9493.7,3094.5,3220.0,7322.5,4008.5,9005.7,4684.4,2901.5,6188.1,2949.4,8242.8,945.6,8529.6
Clinton,5160.9,5223.5,3848.9,7775.1,9269.2,5376.3,8151.3,3561.4,3508.2,6680.3,7574.8,6872.7,6726.5,1648.0,4767.8,7825.0,6400.8,3493.1,5813.8,8436.1,0,7626.9,4277.7,1843.3,5836.0,578.9,9849.7,8496.3,3784.3,9472.5,4629.5,5962.5,3801.7,1551.7,1859.7,6561.9,5472.0,7150.4,2020.6,2014.8,7613.0,571.4,802.7,5474.5,5986.4,1867.1,3416.5,829.9,7644.1,4834.1
Olean,5758.8,1983.9,2923.2,4088.9,3843.9,8830.7,3610.1,2349.9,7428.8,3461.0,3628.7,4292.0,6911.7,2754.7,8024.7,5102.5,4171.8,4736.8,9497.5,6666.3,7626.9,0,4535.7,8759.7,7514.7,7731.7,3698.8,8416.7,4655.9,8206.0,6067.5,8329.4,8243.0,275.5,5071.5,7203.7,21.5,5932.9,3773.3,2156.8,9659.1,3635.9,6802.9,311.0,5789.9,7828.2,4021.9,5599.9,2317.7,9663.4
Levittown,2577.7,8098.7,1795.8,162.6,1160.2,8189.9,573.2,719.2,7941.2,8729.0,2128.8,6502.4,9177.1,5193.7,7543.2,53.7,274.9,1800.2,2358.2,47.5,4277.7,4535.7,0,6962.1,2291.8,9365.9,8646.0,2633.3,9952.2,5509.2,308.0,6919.7,5681.8,7533.8,1593.4,5177.5,49.4,5134.6,2275.2,5322.4,6011.9,7935.3,7908.4,2068.5,8841.4,5015.6,9450.8,8478.8,2237.0,881.7
Hudson,5521.0,216.4,528.8,1607.9,541.0,910.4,705.4,8574.9,2664.0,6544.8,9905.0,3125.3,9131.7,7316.9,9080.4,2652.8,9751.8,7631.0,8900.7,475.0,1843.3,8759.7,6962.1,0,5109.7,6396.4,7614.3,960.7,48.0,7580.4,2994.8,4921.1,4622.6,4488.6,5540.3,5214.1,9966.5,4303.8,3510.8,24.2,621.5,9512.7,4779.5,9035.6,5240.0,8227.2,3509.3,2365.4,8384.8,5040.3
West Seneca,4420.6,4239.7,4108.8,9519.2,6852.8,5818.4,4007.4,3575.2,3674.7,8785.5,1232.0,7486.7,9573.4,9761.5,2824.8,8794.2,8252.4,2659.1,5279.4,3701.7,5836.0,7514.7,2291.8,5109.7,0,6599.8,5088.3,4800.2,6437.4,7510.5,8292.0,4287.5,1543.7,1896.5,4745.9,7468.8,4090.6,9944.4,9486.4,4409.0,7836.5,4926.7,5981.5,1262.7,4764.2,8695.3,4246.6,392.8,1805.3,6103.5
Forest Hills,7558.5,9236.2,208.0,4797.5,6098.9,2460.7,4506.5,2112.5,8281.9,5418.0,5756.1,7344.0,2334.7,8116.1,4195.0,4504.3,9727.2,270.5,348.6,478.1,578.9,7731.7,9365.9,6396.4,6599.8,0,145.2,9224.8,1626.6,2179.9,4484.6,9262.1,9353.0,9222.4,435.1,9310.1,2230.2,9094.5,9186.4,4316.9,838.3,3414.8,915.6,5469.8,7083.9,6461.9,1077.2,4962.2,3155.3,4848.8
Port Washington,6267.9,2894.7,4938.0,4511.5,6018.1,693.3,615.5,4468.3,4657.2,1767.0,6960.9,7705.9,1042.7,6841.0,5962.1,8935.1,26.7,6137.0,1295.0,1040.3,9849.7,3698.8,8646.0,7614.3,5088.3,145.2,0,9459.2,5756.9,7826.9,2642.1,813.9,8115.4,9377.7,4904.8,7019.0,645.1,7037.7,9937.5,3241.1,37.7,901.8,9966.8,2799.8,3895.8,5339.0,8840.6,4152.1,2738.1,2780.9
Saratoga Springs,3010.8,5736.2,8510.9,1808.7,8208.7,3399.8,1192.3,6540.3,76.6,9273.6,5813.2,3382.1,7049.8,7971.1,462.3,9455.9,6572.9,45.6,9925.5,5234.8,8496.3,8416.7,2633.3,960.7,4800.2,9224.8,9459.2,0,8381.7,3753.7,6716.5,2166.5,964.1,8249.8,3994.1,1450.0,4552.2,9199.0,7910.9,6113.9,4444.6,5101.1,6630.7,5457.5,4560.0,148.8,4886.5,7870.1,1073.6,7247.0
Palmyra,3919.0,7267.7,2359.4,4187.7,4733.6,4164.6,2220.1,9263.3,2614.2,7702.0,9657.8,6109.8,3451.1,8939.8,8231.1,830.6,3862.3,7253.4,1131.7,7360.0,3784.3,4655.9,9952.2,48.0,6437.4,1626.6,5756.9,8381.7,0,5887.2,1520.1,3032.7,1383.6,5888.1,3233.4,8245.9,6304.2,9982.0,7210.9,6348.8,1713.4,8511.4,5683.7,8063.1,2830.9,5731.8,2193.2,670.9,3560.1,5788.9
Massena,401.1,7933.4,8979.1,5965.1,964.7,2121.2,4700.5,9335.4,5234.1,6195.9,9623.1,633.4,5439.3,9399.0,5225.0,3922.6,9554.2,8339.9,6284.4,2022.2,9472.5,8206.0,5509.2,7580.4,7510.5,2179.9,7826.9,3753.7,5887.2,0,4720.8,7978.3,7599.5,627.5,5385.4,3975.5,9874.8,7833.6,1103.2,5149.9,3524.0,5064.0,14.9,862.4,3321.1,1312.7,6308.0,2381.2,4214.3,8959.8
Syracuse,8257.5,2810.8,9733.5,9021.4,8136.3,2299.6,1489.7,2746.3,8310.0,4248.4,6442.1,2917.0,2045.6,9180.0,2116.5,627.6,1887.3,8267.2,2482.3,8953.2,4629.5,6067.5,308.0,2994.8,8292.0,4484.6,2642.1,6716.5,1520.1,4720.8,0,4043.3,1250.5,430.0,2738.3,9097.5,2444.0,6442.8,2945.4,7299.2,6478.8,3124.4,4010.9,1595.5,928.5,181.7,2668.6,516.8,6.4,3234.5
Oneida,9765.3,7986.8,6292.7,4734.8,93.8,3500.3,14.1,8749.6,7742.3,6532.4,8659.1,7599.6,445.9,8216.8,6616.2,9021.5,6774.9,823.0,1500.5,2579.5,5962.5,8329.4,6919.7,4921.1,4287.5,9262.1,813.9,2166.5,3032.7,7978.3,4043.3,0,7662.5,7121.1,3266.7,4506.7,1562.4,8542.5,4147.1,9870.6,1853.5,2352.3,2309.4,4750.3,6896.7,3158.0,1043.0,4301.7,2385.0,7105.7
Lake Placid,1167.4,9484.3,1608.5,2356.5,8550.3,6905.3,3781.2,2208.2,1534.6,5592.4,4614.1,4201.1,3766.2,2246.8,2325.5,2228.0,1190.9,9431.6,6694.0,4097.5,3801.7,8243.0,5681.8,4622.6,1543.7,9353.0,8115.4,964.1,1383.6,7599.5,1250.5,7662.5,0,6648.9,8473.7,4581.2,5803.8,249.3,687.3,9372.0,3496.6,5888.9,7307.3,6177.4,400.0,4651.1,3665.9,812.1,7117.5,1108.5
Hempstead,2708.9,7434.1,205.1,9781.1,8422.5,7756.8,8429.3,5672.9,1071.6,4007.1,3075.6,9088.3,6978.3,3540.0,8475.7,3927.4,5800.4,9569.9,3159.2,5787.7,1551.7,275.5,7533.8,4488.6,1896.5,9222.4,9377.7,8249.8,5888.1,627.5,430.0,7121.1,6648.9,0,3932.0,1913.1,4151.9,7637.9,5039.4,1374.8,4210.7,8878.2,390.6,4236.0,3711.6,1728.2,84.2,7130.8,1532.1,5709.6
New York City,1506.1,7004.0,1681.7,2161.0,3504.1,3468.8,8756.7,9209.9,5435.7,5490.4,4280.8,5704.3,6941.6,6338.4,634.7,4199.7,3223.5,5379.8,6459.9,4373.3,1859.7,5071.5,1593.4,5540.3,4745.9,435.1,4904.8,3994.1,3233.4,5385.4,2738.3,3266.7,8473.7,3932.0,0,1115.7,7635.2,2658.1,4517.0,1278.1,5191.5,2136.1,6879.7,6753.7,8621.3,6372.9,5861.9,1167.7,3249.2,4633.0
Binghamton,8824.0,2091.0,4362.3,1754.3,4651.7,9752.0,3931.9,5154.0,9641.3,2151.4,2923.8,358.6,8175.8,6577.8,7457.7,9721.0,1780.2,4430.0,4756.9,1636.3,6561.9,7203.7,5177.5,5214.1,7468.8,9310.1,7019.0,1450.0,8245.9,3975.5,9097.5,4506.7,4581.2,1913.1,1115.7,0,4088.3,7808.5,5263.7,4271.0,6489.1,9561.9,3453.9,6234.9,9311.7,6694.6,1873.3,1881.7,4171.4,678.2
Troy,5825.9,4800.6,6146.4,3348.5,5806.3,1140.2,3072.0,9820.2,7102.3,2363.8,3970.1,2883.1,7472.6,5844.8,4675.3,218.6,8216.3,9783.0,657.5,709.7,5472.0,21.5,49.4,9966.5,4090.6,2230.2,645.1,4552.2,6304.2,9874.8,2444.0,1562.4,5803.8,4151.9,7635.2,4088.3,0,6556.4,8281.7,9089.9,4517.8,6742.5,859.9,7452.8,3555.8,4710.3,4085.1,2749.5,2307.4,2393.3
Potsdam,3024.0,6926.6,604.7,2458.0,3100.1,9856.4,4110.0,2113.1,9970.5,8227.6,7049.0,486.6,1203.5,1785.5,2136.0,9987.2,7641.1,8468.0,111.3,9493.7,7150.4,5932.9,5134.6,4303.8,9944.4,9094.5,7037.7,9199.0,9982.0,7833.6,6442.8,8542.5,249.3,7637.9,2658.1,7808.5,6556.4,0,2432.4,4742.2,4218.5,6449.7,2416.1,1194.0,2897.9,1412.5,7437.8,8968.9,9836.4,8648.0
Watervliet,9186.6,1136.5,4583.3,7877.7,2115.9,1883.3,1619.5,3833.1,6539.7,1963.1,8765.3,7536.1,3541.3,1918.7,693.2,8189.5,5760.7,1620.1,1897.1,3094.5,2020.6,3773.3,2275.2,3510.8,9486.4,9186.4,9937.5,7910.9,7210.9,1103.2,2945.4,4147.1,687.3,5039.4,4517.0,5263.7,8281.7,2432.4,0,9888.2,7739.8,6864.3,4485.6,2914.7,2059.8,6200.8,5347.2,2220.2,4170.3,1405.0
Albany,8547.2,6735.1,7486.3,4332.0,1454.7,6141.6,5444.5,3036.5,9502.3,1094.6,6456.3,1821.6,3209.9,3401.6,242.4,2855.6,6487.6,3078.0,5042.9,3220.0,2014.8,2156.8,5322.4,24.2,4409.0,4316.9,3241.1,6113.9,6348.8,5149.9,7299.2,9870.6,9372.0,1374.8,1278.1,4271.0,9089.9,4742.2,9888.2,0,1964.0,1892.9,7565.0,540.5,147.3,8144.0,9821.4,3703.1,235.3,8333.4
White Plains,4918.5,3125.1,5395.2,1132.2,5290.5,767.5,3928.2,1141.6,4668.2,2762.2,3228.3,8350.6,9154.0,1138.1,8076.3,7233.3,4947.8,185.3,7009.7,7322.5,7613.0,9659.1,6011.9,621.5,7836.5,838.3,37.7,4444.6,1713.4,3524.0,6478.8,1853.5,3496.6,4210.7,5191.5,6489.1,4517.8,4218.5,7739.8,1964.0,0,9393.7,4314.7,7400.4,6707.2,3870.3,6124.4,4619.2,3348.4,6995.1
Middletown,8486.5,1081.3,7795.5,9336.9,9434.4,4496.7,2741.3,4164.0,7350.7,1447.8,2976.2,1682.3,7757.3,876.1,1131.8,3180.2,349.6,1284.7,1118.8,4008.5,571.4,3635.9,7935.3,9512.7,4926.7,3414.8,901.8,5101.1,8511.4,5064.0,3124.4,2352.3,5888.9,8878.2,2136.1,9561.9,6742.5,6449.7,6864.3,1892.9,9393.7,0,1789.1,623.1,2886.5,5614.6,4890.8,7823.4,7001.4,4409.8
Oyster Bay,8508.1,6824.9,3188.1,8881.8,7423.1,9172.5,9589.6,8172.3,3686.2,6687.6,1834.4,5567.9,5622.4,4152.0,7129.0,4231.4,2792.6,2035.2,8066.1,9005.7,802.7,6802.9,7908.4,4779.5,5981.5,915.6,9966.8,6630.7,5683.7,14.9,4010.9,2309.4,7307.3,390.6,6879.7,3453.9,859.9,2416.1,4485.6,7565.0,4314.7,1789.1,0,8383.5,5282.9,5666.1,4538.4,9381.1,7570.3,278.5
Mamaroneck,3036.3,131.4,8117.0,6511.7,3728.9,9970.9,8033.3,7737.1,8407.5,9752.5,4968.2,5986.7,4571.6,8563.9,9589.4,5319.4,1411.8,4919.7,6893.6,4684.4,5474.5,311.0,2068.5,9035.6,1262.7,5469.8,2799.8,5457.5,8063.1,862.4,1595.5,4750.3,6177.4,4236.0,6753.7,6234.9,7452.8,1194.0,2914.7,540.5,7400.4,623.1,8383.5,0,8570.2,8672.3,1590.5,8552.0,806.3,2536.2
Mount Vernon,5836.6,5280.4,7601.9,3394.5,9644.8,5483.1,6802.8,6040.4,9952.7,1131.3,6603.9,119.7,5809.0,1983.0,6444.5,7173.2,2759.3,7268.4,4142.4,2901.5,5986.4,5789.9,8841.4,5240.0,4764.2,7083.9,3895.8,4560.0,2830.9,3321.1,928.5,6896.7,400.0,3711.6,8621.3,9311.7,3555.8,2897.9,2059.8,147.3,6707.2,2886.5,5282.9,8570.2,0,7888.4,2154.2,9689.0,2796.5,1543.3
Queens,2938.9,1309.1,8231.7,4296.2,5172.2,8772.5,6611.7,621.7,6563.5,2612.5,2855.7,5403.3,2873.4,8459.6,299.3,4232.7,8789.4,6945.9,8065.9,6188.1,1867.1,7828.2,5015.6,8227.2,8695.3,6461.9,5339.0,148.8,5731.8,1312.7,181.7,3158.0,4651.1,1728.2,6372.9,6694.6,4710.3,1412.5,6200.8,8144.0,3870.3,5614.6,5666.1,8672.3,7888.4,0,8158.2,8991.3,7925.4,4677.7
Dunkirk,4870.1,7593.2,5861.4,9224.0,5857.0,4083.9,7427.1,1112.4,3324.2,4629.7,4953.3,6440.3,7777.7,6835.3,1957.3,7117.3,2482.6,2342.7,878.4,2949.4,3416.5,4021.9,9450.8,3509.3,4246.6,1077.2,8840.6,4886.5,2193.2,6308.0,2668.6,1043.0,3665.9,84.2,5861.9,1873.3,4085.1,7437.8,5347.2,9821.4,6124.4,4890.8,4538.4,1590.5,2154.2,8158.2,0,1845.5,8236.6,753.8
Peekskill,9821.8,9348.3,1007.1,8328.7,6794.0,487.1,7139.1,4462.5,2546.2,9552.6,7078.7,4451.6,8731.1,5791.8,173.6,5302.0,5393.6,4528.5,8996.8,8242.8,829.9,5599.9,8478.8,2365.4,392.8,4962.2,4152.1,7870.1,670.9,2381.2,516.8,4301.7,812.1,7130.8,1167.7,1881.7,2749.5,8968.9,2220.2,3703.1,4619.2,7823.4,9381.1,8552.0,9689.0,8991.3,1845.5,0,4763.1,5370.2
Cohoes,6083.3,8939.6,1512.0,8855.5,380.9,7141.5,322.3,8640.8,7018.9,1263.0,1594.5,2412.6,5473.0,355.6,3310.7,9228.4,7006.6,2278.2,8628.6,945.6,7644.1,2317.7,2237.0,8384.8,1805.3,3155.3,2738.1,1073.6,3560.1,4214.3,6.4,2385.0,7117.5,1532.1,3249.2,4171.4,2307.4,9836.4,4170.3,235.3,3348.4,7001.4,7570.3,806.3,2796.5,7925.4,8236.6,4763.1,0,8649.0
Manhattan,970.1,7860.9,1218.7,7519.2,896.2,5782.0,2878.1,7205.1,8120.9,6100.0,2861.0,9448.4,6474.6,6240.5,5707.4,1226.3,7370.0,8492.3,729.9,8529.6,4834.1,9663.4,881.7,5040.3,6103.5,4848.8,2780.9,7247.0,5788.9,8959.8,3234.5,7105.7,1108.5,5709.6,4633.0,678.2,2393.3,8648.0,1405.0,8333.4,6995.1,4409.8,278.5,2536.2,1543.3,4677.7,753.8,5370.2,8649.0,0
