CSV,Oneida,Oneonta,Potsdam,Poughkeepsie,Harlem,Tarrytown,Watkins Glen,Gloversville,North Hempstead,Herkimer,Woodstock,Manhattan,Buffalo,Forest Hills,New York City,Scarsdale,Rochester,Jamestown,Corning,Hyde Park,Rotterdam,Rye,Yonkers,Watertown,Ithaca,Troy,Elmira,Mount Vernon,Babylon,Southampton,Nyack,Lockport,Great Neck,Cooperstown,Port Washington,Stony Brook,Clinton,Sag Harbor,Eastchester,Hammondsport,Lake Placid,Bedford,Schenectady,Middletown,Rensselaer,Saratoga Springs,Levittown,Lackawanna,Amsterdam,Oyster Bay
Woodstock,8033.6,5469.2,2467.6,4914.4,9708.4,8198.8,523.3,3388.6,8507.6,5967.0,0,6080.2,4576.5,6595.0,1244.4,6851.6,434.1,868.9,1343.0,2.3,5177.8,8867.9,1407.2,6340.4,5503.4,3763.7,4868.4,8881.7,5231.3,759.3,5551.0,4627.8,7691.0,3121.7,5182.7,1586.0,926.8,583.9,4573.0,5278.9,2890.0,5673.7,203.3,4262.5,3608.5,2159.5,6123.8,8213.5,6219.9,1216.0
Manhattan,5593.6,1517.7,2381.6,136.2,4585.4,5495.6,2276.1,7422.6,3851.3,7141.5,6080.2,0,3198.3,6730.2,1272.0,3409.3,2724.0,6357.1,8204.8,2935.0,363.5,9438.9,9925.4,9360.3,6509.8,3733.7,3654.5,6326.7,3764.5,2102.8,2009.0,6468.1,4440.1,4089.1,694.5,9672.8,7060.4,710.8,1959.4,8355.7,6406.3,4300.2,5642.5,660.4,9273.4,4854.6,7261.3,6557.4,7818.2,6902.1
Buffalo,7836.8,2523.5,85.7,8004.2,979.7,4172.7,3221.4,4331.9,6264.4,4148.8,4576.5,3198.3,0,7307.5,3651.4,6166.0,8280.9,8143.8,8322.6,3842.8,3142.9,5267.9,6911.1,8550.7,1148.5,3395.6,4044.8,8912.6,7022.2,8313.6,4818.8,2540.5,1253.5,4236.9,8814.2,9834.5,4329.7,6197.7,9783.0,3357.0,1919.0,2154.5,1999.8,6993.3,7359.6,3607.9,2875.9,807.5,215.3,320.2
Forest Hills,3683.8,3680.5,8340.4,4444.6,4122.4,3963.1,5697.7,2836.4,8022.8,5646.6,6595.0,6730.2,7307.5,0,3111.1,627.4,4784.2,9418.5,7259.9,9743.5,8275.7,3850.4,9778.7,1318.9,9839.5,4104.2,4900.3,789.2,150.5,4408.4,9485.8,4024.0,8058.5,5619.3,1815.7,7497.8,7597.8,4450.6,9455.6,769.1,6294.3,2459.0,5797.2,3685.8,691.5,2978.2,630.7,4535.6,7142.9,4823.4
New York City,4851.6,5834.9,6430.9,8208.9,7761.8,8449.1,3654.3,9946.8,6792.3,5871.7,1244.4,1272.0,3651.4,3111.1,0,571.5,194.4,3387.1,6393.3,5162.2,6385.5,7466.3,3597.0,3975.6,5034.3,9316.9,8987.0,386.6,1404.4,6947.9,8766.3,4341.4,1601.4,1859.3,120.5,9861.6,3672.3,6292.7,3152.1,1810.8,8323.9,7969.1,8168.7,279.4,9383.0,8098.5,5932.7,2424.4,6190.1,3155.3
Scarsdale,6797.0,2239.2,3235.4,6763.6,5382.6,3031.8,912.7,1346.7,183.4,2596.1,6851.6,3409.3,6166.0,627.4,571.5,0,9857.4,978.5,2154.0,2838.2,6791.4,8690.1,9325.2,7461.4,5969.1,3633.8,9413.6,9087.7,7568.3,2034.7,5959.4,6536.7,7812.1,533.9,8196.2,8562.5,177.8,2840.3,4420.1,4284.6,1235.8,8686.3,6894.3,3466.2,6490.3,8811.8,738.1,7600.5,1719.2,780.6
Rochester,9516.9,8469.0,721.7,31.5,5964.7,9832.5,2027.3,5889.8,3196.5,4603.7,434.1,2724.0,8280.9,4784.2,194.4,9857.4,0,3719.6,5469.0,8172.0,7532.4,1031.4,3604.2,9447.1,3786.9,8632.8,7221.0,2736.6,4886.8,9152.7,2869.4,34.7,5797.1,8959.9,1369.7,3666.1,9944.9,4977.6,8737.7,6312.6,8045.9,5292.9,5755.1,2136.2,8619.5,6565.9,8855.4,9866.7,1260.1,925.1
Jamestown,7574.6,210.7,1318.6,8376.4,6376.3,7836.1,3726.6,6869.7,208.3,647.4,868.9,6357.1,8143.8,9418.5,3387.1,978.5,3719.6,0,4398.4,64.1,8722.9,5717.8,5392.1,1645.8,7218.7,2082.4,2098.5,5987.8,1589.0,842.0,6190.0,9199.2,1226.6,5793.7,3001.7,5453.8,7789.5,5895.2,968.4,4807.4,1120.2,2087.2,720.0,2995.8,2429.5,6828.7,2091.2,2634.3,3536.1,1503.5
Corning,4300.5,6080.9,2234.3,8380.5,7538.8,794.7,5035.1,131.3,2965.3,1582.5,1343.0,8204.8,8322.6,7259.9,6393.3,2154.0,5469.0,4398.4,0,9787.2,5726.4,4568.0,395.3,9998.2,2384.0,5456.1,9411.0,1490.3,4780.9,2339.2,2117.5,6054.5,4807.8,5867.7,6907.4,2177.8,4899.8,8265.5,9177.8,5166.6,5105.2,285.2,4668.6,1521.9,4988.2,4996.0,3724.1,9002.5,4235.4,3617.0
Hyde Park,4130.4,7569.5,9741.4,7088.3,2203.3,6882.9,1466.3,7312.0,1095.7,7025.2,2.3,2935.0,3842.8,9743.5,5162.2,2838.2,8172.0,64.1,9787.2,0,7126.9,3495.4,3065.0,9511.9,5807.1,9425.0,2987.3,6145.1,3623.2,7801.8,7179.0,6090.3,8383.8,5534.8,6652.9,4992.0,1391.7,7361.7,6355.6,539.4,8517.6,9052.7,6303.1,1247.3,1136.4,4932.8,6955.3,1133.6,6641.1,1564.3
Rotterdam,977.1,4108.1,2078.8,1238.4,6686.8,549.1,7614.4,1989.2,5484.5,9395.8,5177.8,363.5,3142.9,8275.7,6385.5,6791.4,7532.4,8722.9,5726.4,7126.9,0,1030.6,8360.9,7782.2,3616.6,9294.6,2865.9,4340.5,3510.4,1679.9,4194.8,5214.7,2749.7,3500.9,3048.9,9787.8,6962.8,5276.2,1766.7,8600.7,7114.3,5764.5,7744.8,8278.9,5446.0,2248.2,3446.1,8251.7,1770.4,6296.2
Rye,9143.6,5361.3,9979.8,6838.7,7466.7,5416.6,3990.4,1578.4,5637.6,9989.0,8867.9,9438.9,5267.9,3850.4,7466.3,8690.1,1031.4,5717.8,4568.0,3495.4,1030.6,0,5895.7,2167.7,440.1,7693.8,2033.8,5486.9,1372.0,5498.8,7846.2,4382.8,9322.7,7235.2,4699.8,3171.9,1765.6,8515.0,9783.4,6168.6,500.3,2900.5,2285.1,9485.0,4356.1,2772.9,8028.2,7299.2,9564.0,6.7
Yonkers,4189.8,749.1,1710.6,5796.2,4455.6,841.5,2339.7,9224.8,4069.0,6519.5,1407.2,9925.4,6911.1,9778.7,3597.0,9325.2,3604.2,5392.1,395.3,3065.0,8360.9,5895.7,0,3842.9,1335.5,9161.1,9985.2,6128.6,4374.2,9344.6,6946.8,9729.7,870.1,9038.6,4347.9,4306.6,7660.4,3861.3,2200.7,1416.5,953.0,5576.0,5068.2,5982.6,731.4,3778.6,1183.3,605.8,8966.7,1487.7
Watertown,9710.7,1742.1,5968.9,9204.1,9103.4,5013.7,4987.2,7819.2,7456.2,1691.9,6340.4,9360.3,8550.7,1318.9,3975.6,7461.4,9447.1,1645.8,9998.2,9511.9,7782.2,2167.7,3842.9,0,8010.4,8566.2,2378.7,5245.8,1733.6,365.9,1203.8,7911.4,2088.6,5896.1,2140.9,8738.0,4334.6,6750.7,9688.0,2668.6,1828.8,6034.4,3604.3,8377.3,4740.3,710.5,7549.6,3507.1,4856.3,8483.9
Ithaca,2799.3,1002.0,7291.7,4559.4,6022.5,3871.7,7193.4,2485.1,1791.5,5898.7,5503.4,6509.8,1148.5,9839.5,5034.3,5969.1,3786.9,7218.7,2384.0,5807.1,3616.6,440.1,1335.5,8010.4,0,9600.5,8887.3,4256.8,1739.9,9158.6,6539.3,8309.8,8488.5,3458.1,622.6,4423.8,4651.0,428.2,1797.4,9974.1,4005.7,2452.4,9936.8,8976.3,6655.2,9540.8,4142.1,3170.3,7094.2,6465.4
Troy,600.8,706.3,8961.0,3031.2,3160.9,1048.8,6930.0,3835.2,6407.8,7794.6,3763.7,3733.7,3395.6,4104.2,9316.9,3633.8,8632.8,2082.4,5456.1,9425.0,9294.6,7693.8,9161.1,8566.2,9600.5,0,8100.9,5870.4,932.6,4827.5,8973.0,1621.7,4166.3,4897.4,1844.4,4224.6,5484.3,9769.2,9957.1,5476.6,7599.4,2823.1,1859.5,6885.4,3970.1,2690.6,9675.8,2653.0,6623.1,3506.8
Elmira,6904.9,6779.0,8703.2,7080.6,4418.2,2170.3,7161.2,4464.1,9435.2,3522.2,4868.4,3654.5,4044.8,4900.3,8987.0,9413.6,7221.0,2098.5,9411.0,2987.3,2865.9,2033.8,9985.2,2378.7,8887.3,8100.9,0,7730.9,8620.3,704.5,4394.6,4790.6,3383.5,6354.7,9064.3,2522.2,7737.6,9649.8,7262.4,5158.7,1701.0,1622.1,8599.2,4321.6,562.3,1972.9,5016.9,8613.1,8207.4,1425.1
Mount Vernon,1635.7,552.1,4432.1,3338.4,4029.1,428.5,4142.8,5813.1,8015.7,8440.3,8881.7,6326.7,8912.6,789.2,386.6,9087.7,2736.6,5987.8,1490.3,6145.1,4340.5,5486.9,6128.6,5245.8,4256.8,5870.4,7730.9,0,784.7,5699.3,5000.3,8006.5,6698.6,8506.0,5612.9,2302.3,1946.8,1806.0,5283.7,4159.5,2915.0,1693.6,5186.1,8428.2,3450.8,5136.9,2461.0,1504.4,902.6,9856.8
Babylon,855.5,2289.2,2596.9,6076.1,8196.8,1584.6,2341.0,527.4,5024.4,2746.1,5231.3,3764.5,7022.2,150.5,1404.4,7568.3,4886.8,1589.0,4780.9,3623.2,3510.4,1372.0,4374.2,1733.6,1739.9,932.6,8620.3,784.7,0,5707.8,3379.7,6032.9,2414.1,4152.9,267.8,5082.7,9122.9,4413.2,8558.4,5004.5,2221.0,1114.4,7572.2,9145.0,1884.6,258.0,3177.1,4085.2,6301.4,6045.4
Southampton,9124.4,69.7,2030.6,7895.8,4363.0,5083.8,3450.6,6663.0,77.6,9322.2,759.3,2102.8,8313.6,4408.4,6947.9,2034.7,9152.7,842.0,2339.2,7801.8,1679.9,5498.8,9344.6,365.9,9158.6,4827.5,704.5,5699.3,5707.8,0,2347.8,1034.2,13.3,1569.7,9436.0,1524.0,1892.5,3488.5,9002.8,5970.0,2377.6,2790.7,9993.4,47.7,6853.7,4396.6,7574.7,3107.9,8715.3,2741.1
Nyack,1568.0,9191.2,2937.2,1131.9,2669.2,7341.0,982.8,7617.0,6827.7,46.2,5551.0,2009.0,4818.8,9485.8,8766.3,5959.4,2869.4,6190.0,2117.5,7179.0,4194.8,7846.2,6946.8,1203.8,6539.3,8973.0,4394.6,5000.3,3379.7,2347.8,0,4338.6,6038.4,7654.2,2396.9,4663.7,160.9,5014.6,1319.3,3393.5,7593.8,8699.2,9828.6,6818.4,9928.1,6307.6,4986.4,1709.4,4678.5,2073.8
Lockport,1905.8,7353.3,223.7,8102.9,5596.9,5377.5,1191.0,4145.1,7757.3,718.9,4627.8,6468.1,2540.5,4024.0,4341.4,6536.7,34.7,9199.2,6054.5,6090.3,5214.7,4382.8,9729.7,7911.4,8309.8,1621.7,4790.6,8006.5,6032.9,1034.2,4338.6,0,4315.6,7009.6,1364.1,5017.5,6520.1,7487.4,7970.5,9363.1,5308.2,7658.7,9747.8,8190.5,8938.8,431.2,6534.9,7546.7,5196.4,7668.0
Great Neck,6423.5,907.6,7120.4,9051.7,9673.7,5146.8,9434.9,8407.2,4262.9,4508.3,7691.0,4440.1,1253.5,8058.5,1601.4,7812.1,5797.1,1226.6,4807.8,8383.8,2749.7,9322.7,870.1,2088.6,8488.5,4166.3,3383.5,6698.6,2414.1,13.3,6038.4,4315.6,0,3247.1,6002.8,2585.6,6912.3,635.0,101.1,9384.6,5368.7,6113.6,8980.1,9138.1,3525.5,380.6,818.0,8139.7,4220.9,9453.8
Cooperstown,2867.6,7870.3,4561.5,3398.9,9375.8,1967.2,6005.4,2384.4,8050.8,4346.6,3121.7,4089.1,4236.9,5619.3,1859.3,533.9,8959.9,5793.7,5867.7,5534.8,3500.9,7235.2,9038.6,5896.1,3458.1,4897.4,6354.7,8506.0,4152.9,1569.7,7654.2,7009.6,3247.1,0,6008.8,172.0,1756.6,8696.8,9879.4,4689.6,2462.8,4682.2,121.0,6246.7,3390.9,2058.3,1890.7,4628.8,283.7,2388.4
Port Washington,4581.6,4101.9,689.5,4522.5,3980.1,1770.2,9889.0,5821.2,7363.9,9588.8,5182.7,694.5,8814.2,1815.7,120.5,8196.2,1369.7,3001.7,6907.4,6652.9,3048.9,4699.8,4347.9,2140.9,622.6,1844.4,9064.3,5612.9,267.8,9436.0,2396.9,1364.1,6002.8,6008.8,0,8051.5,3359.7,1363.7,1182.5,2585.8,7346.6,1443.0,6074.2,1588.3,1153.6,7871.6,2118.7,5006.4,2564.5,2788.7
Stony Brook,8601.9,6853.9,4484.5,7896.4,1355.8,3283.7,5246.0,5056.6,1177.3,9952.5,1586.0,9672.8,9834.5,7497.8,9861.6,8562.5,3666.1,5453.8,2177.8,4992.0,9787.8,3171.9,4306.6,8738.0,4423.8,4224.6,2522.2,2302.3,5082.7,1524.0,4663.7,5017.5,2585.6,172.0,8051.5,0,3082.1,261.4,257.0,2408.9,1600.1,9919.5,2041.4,8537.1,9427.1,8104.8,6988.7,8712.9,7939.2,2680.0
Clinton,2998.5,6422.6,2572.4,1060.1,1463.0,6116.4,1486.7,5341.2,962.0,8063.6,926.8,7060.4,4329.7,7597.8,3672.3,177.8,9944.9,7789.5,4899.8,1391.7,6962.8,1765.6,7660.4,4334.6,4651.0,5484.3,7737.6,1946.8,9122.9,1892.5,160.9,6520.1,6912.3,1756.6,3359.7,3082.1,0,3325.6,5356.3,5361.2,6046.9,4737.2,7448.0,4679.8,4411.3,7516.0,2815.5,3264.5,6720.1,5364.5
Sag Harbor,1569.6,8722.5,9498.7,1396.5,2449.8,1460.4,5385.6,1576.7,328.7,118.3,583.9,710.8,6197.7,4450.6,6292.7,2840.3,4977.6,5895.2,8265.5,7361.7,5276.2,8515.0,3861.3,6750.7,428.2,9769.2,9649.8,1806.0,4413.2,3488.5,5014.6,7487.4,635.0,8696.8,1363.7,261.4,3325.6,0,9691.1,523.1,5382.1,7181.7,1739.1,7073.7,124.8,915.6,5669.4,1632.4,1531.9,9423.1
Eastchester,3854.7,325.6,6557.0,1193.9,488.3,7189.2,1889.7,6010.5,488.4,2093.4,4573.0,1959.4,9783.0,9455.6,3152.1,4420.1,8737.7,968.4,9177.8,6355.6,1766.7,9783.4,2200.7,9688.0,1797.4,9957.1,7262.4,5283.7,8558.4,9002.8,1319.3,7970.5,101.1,9879.4,1182.5,257.0,5356.3,9691.1,0,661.8,2993.7,6305.4,7072.5,2560.1,5869.1,7322.3,9397.5,6573.8,9810.7,9258.5
Hammondsport,5070.2,5915.1,8829.0,7100.3,3556.1,2398.3,9471.6,7773.8,6031.8,3844.9,5278.9,8355.7,3357.0,769.1,1810.8,4284.6,6312.6,4807.4,5166.6,539.4,8600.7,6168.6,1416.5,2668.6,9974.1,5476.6,5158.7,4159.5,5004.5,5970.0,3393.5,9363.1,9384.6,4689.6,2585.8,2408.9,5361.2,523.1,661.8,0,6885.6,5164.0,1675.4,628.7,6773.4,2040.2,6217.3,6535.3,1670.4,741.6
Lake Placid,5000.1,5916.5,4481.1,3020.5,220.2,967.3,7235.6,7737.3,9109.1,6435.7,2890.0,6406.3,1919.0,6294.3,8323.9,1235.8,8045.9,1120.2,5105.2,8517.6,7114.3,500.3,953.0,1828.8,4005.7,7599.4,1701.0,2915.0,2221.0,2377.6,7593.8,5308.2,5368.7,2462.8,7346.6,1600.1,6046.9,5382.1,2993.7,6885.6,0,7431.3,8004.3,314.1,7387.5,422.3,6602.7,8925.5,493.4,3481.7
Bedford,8374.3,875.3,9441.4,7611.7,9606.7,5517.4,6222.5,1216.3,6531.5,4388.1,5673.7,4300.2,2154.5,2459.0,7969.1,8686.3,5292.9,2087.2,285.2,9052.7,5764.5,2900.5,5576.0,6034.4,2452.4,2823.1,1622.1,1693.6,1114.4,2790.7,8699.2,7658.7,6113.6,4682.2,1443.0,9919.5,4737.2,7181.7,6305.4,5164.0,7431.3,0,6528.3,225.2,946.6,8760.7,5449.1,7908.3,1910.4,1565.3
Schenectady,866.7,9300.2,8454.4,923.8,9308.9,2900.6,6450.5,9524.8,1149.5,9263.2,203.3,5642.5,1999.8,5797.2,8168.7,6894.3,5755.1,720.0,4668.6,6303.1,7744.8,2285.1,5068.2,3604.3,9936.8,1859.5,8599.2,5186.1,7572.2,9993.4,9828.6,9747.8,8980.1,121.0,6074.2,2041.4,7448.0,1739.1,7072.5,1675.4,8004.3,6528.3,0,4792.3,9870.0,998.2,2961.2,8965.9,8066.6,2404.5
Middletown,5597.9,4360.3,630.9,9500.9,3928.4,9752.7,3658.2,5983.7,8348.6,2964.4,4262.5,660.4,6993.3,3685.8,279.4,3466.2,2136.2,2995.8,1521.9,1247.3,8278.9,9485.0,5982.6,8377.3,8976.3,6885.4,4321.6,8428.2,9145.0,47.7,6818.4,8190.5,9138.1,6246.7,1588.3,8537.1,4679.8,7073.7,2560.1,628.7,314.1,225.2,4792.3,0,5984.7,6453.5,547.2,6992.1,8153.4,4248.3
Rensselaer,4437.5,2596.3,184.7,9056.3,3937.0,8228.9,9746.9,7930.7,2841.2,8630.6,3608.5,9273.4,7359.6,691.5,9383.0,6490.3,8619.5,2429.5,4988.2,1136.4,5446.0,4356.1,731.4,4740.3,6655.2,3970.1,562.3,3450.8,1884.6,6853.7,9928.1,8938.8,3525.5,3390.9,1153.6,9427.1,4411.3,124.8,5869.1,6773.4,7387.5,946.6,9870.0,5984.7,0,5930.3,7578.2,9069.0,5427.9,7489.4
Saratoga Springs,6494.3,4745.6,7278.4,6172.2,9330.8,163.3,8591.3,5812.8,9392.6,5107.2,2159.5,4854.6,3607.9,2978.2,8098.5,8811.8,6565.9,6828.7,4996.0,4932.8,2248.2,2772.9,3778.6,710.5,9540.8,2690.6,1972.9,5136.9,258.0,4396.6,6307.6,431.2,380.6,2058.3,7871.6,8104.8,7516.0,915.6,7322.3,2040.2,422.3,8760.7,998.2,6453.5,5930.3,0,9332.7,6576.1,5156.9,1368.5
Levittown,8360.3,7750.7,1095.2,5715.9,7205.6,1867.9,222.5,415.0,3230.3,7431.8,6123.8,7261.3,2875.9,630.7,5932.7,738.1,8855.4,2091.2,3724.1,6955.3,3446.1,8028.2,1183.3,7549.6,4142.1,9675.8,5016.9,2461.0,3177.1,7574.7,4986.4,6534.9,818.0,1890.7,2118.7,6988.7,2815.5,5669.4,9397.5,6217.3,6602.7,5449.1,2961.2,547.2,7578.2,9332.7,0,9172.0,5339.4,8112.3
Lackawanna,8074.1,7552.0,9381.1,1521.0,1141.7,5367.6,6747.6,5667.1,8888.5,9871.3,8213.5,6557.4,807.5,4535.6,2424.4,7600.5,9866.7,2634.3,9002.5,1133.6,8251.7,7299.2,605.8,3507.1,3170.3,2653.0,8613.1,1504.4,4085.2,3107.9,1709.4,7546.7,8139.7,4628.8,5006.4,8712.9,3264.5,1632.4,6573.8,6535.3,8925.5,7908.3,8965.9,6992.1,9069.0,6576.1,9172.0,0,8255.6,3258.8
Amsterdam,2215.8,8148.5,3804.1,3476.4,5776.8,1489.9,6981.3,951.2,3799.9,5701.5,6219.9,7818.2,215.3,7142.9,6190.1,1719.2,1260.1,3536.1,4235.4,6641.1,1770.4,9564.0,8966.7,4856.3,7094.2,6623.1,8207.4,902.6,6301.4,8715.3,4678.5,5196.4,4220.9,283.7,2564.5,7939.2,6720.1,1531.9,9810.7,1670.4,493.4,1910.4,8066.6,8153.4,5427.9,5156.9,5339.4,8255.6,0,8718.0
Oyster Bay,7329.5,9461.5,8112.9,5721.2,5326.4,3386.2,2484.2,8743.7,2148.1,3163.3,1216.0,6902.1,320.2,4823.4,3155.3,780.6,925.1,1503.5,3617.0,1564.3,6296.2,6.7,1487.7,8483.9,6465.4,3506.8,1425.1,9856.8,6045.4,2741.1,2073.8,7668.0,9453.8,2388.4,2788.7,2680.0,5364.5,9423.1,9258.5,741.6,3481.7,1565.3,2404.5,4248.3,7489.4,1368.5,8112.3,3258.8,8718.0,0
