CSV,Lockport,Cortland,Garden City,Hammondsport,Glens Falls,Nyack,Buffalo,White Plains,Flushing,Amsterdam,Saratoga Springs,Scarsdale,Dunkirk,Stony Point,Brooklyn,Queens,Hyde Park,Hempstead,Stony Brook,Ithaca,Batavia,Manhattan,Eastchester,Albany,Babylon,Herkimer,New Windsor,Oneida,Southampton,Mineola,Ogdensburg,New Rochelle,Chautauqua,West Seneca,Yonkers,Oswego,Cooperstown,Elmira,Levittown,New York City,Ticonderoga,Plattsburgh,Forest Hills,Ilion,Lake Placid,Utica,Binghamton,Bronx,North Hempstead
Manhattan,884.0,334.0,7854.3,9774.8,3545.3,45.7,1858.1,7344.0,1417.5,6693.7,5319.8,5039.3,2002.8,361.4,8936.5,1376.6,1608.6,345.9,327.2,1280.5,4920.8,0,4927.9,9418.0,2438.3,4144.7,3.8,1253.1,7970.2,9260.4,3422.0,8643.3,3481.1,3786.7,5974.6,6612.8,6061.4,6583.0,3822.0,8723.6,4698.5,8468.9,2397.5,7544.6,7571.8,7484.5,7984.1,6133.2,5744.7
Eastchester,158.5,5898.9,237.1,4452.6,9894.9,3472.8,3161.9,8812.3,757.0,7965.8,9224.9,559.4,4447.0,2240.4,6988.4,2138.4,3442.3,1014.7,1047.5,9830.6,3821.1,4927.9,0,4674.3,206.9,5118.4,7767.1,6098.3,7489.2,3486.5,2339.7,7646.1,614.1,2801.2,6978.1,2548.9,6300.5,4679.3,5655.9,4560.3,757.7,9811.7,4202.8,3514.1,9190.2,1925.8,3441.2,5827.9,3600.4
Albany,8810.0,9162.4,3167.4,713.0,3604.8,1364.2,284.3,990.1,5215.2,7181.5,2944.5,9533.3,7141.6,7316.3,8708.2,2512.8,8219.5,5346.2,5619.7,9273.6,2398.4,9418.0,4674.3,0,1066.1,7919.8,2127.3,5160.5,24.8,1802.7,5360.6,9111.8,1250.1,2309.8,7058.1,3590.1,2414.4,7302.5,4477.6,648.4,6344.8,4055.8,2112.6,2565.8,5607.1,1647.8,116.2,2441.6,4392.2
Babylon,8986.6,751.1,5146.3,4740.1,1588.6,4071.0,9885.4,8576.3,1309.3,3625.2,6467.9,7752.7,6046.8,7054.8,9158.6,3251.5,3663.9,4326.2,8658.3,9897.5,8105.5,2438.3,206.9,1066.1,0,226.1,7124.6,6919.0,6222.2,4203.8,339.6,5572.5,9106.1,5501.3,2995.2,3408.4,2448.2,5623.9,6105.2,3675.1,531.0,1359.9,2738.9,5445.6,890.1,476.0,1329.1,4652.6,2485.0
Herkimer,1573.4,9158.1,9370.5,4608.3,2758.6,834.2,1523.8,9671.5,582.7,535.9,1647.6,4364.0,9664.1,3908.2,3226.0,1221.5,8399.3,8652.4,495.0,9060.8,1847.5,4144.7,5118.4,7919.8,226.1,0,1633.0,7969.8,9004.8,9232.4,1036.3,2410.7,2208.2,7560.7,900.8,7985.9,5062.1,2899.2,7446.2,9545.2,79.2,7578.0,9526.5,5733.9,9455.9,6548.5,3482.1,4874.7,4648.3
New Windsor,9970.3,3206.5,8375.1,4428.1,9307.7,3534.2,7396.5,6463.2,1733.1,3685.1,8733.6,7273.6,1726.1,2911.0,5033.7,8416.7,7704.8,9730.3,9805.2,761.4,6496.7,3.8,7767.1,2127.3,7124.6,1633.0,0,3380.7,2378.7,590.0,3940.7,4022.6,1821.5,4372.4,2271.6,1804.7,3948.1,3055.7,8008.6,6353.4,2482.6,104.3,5389.8,2467.9,3110.0,2389.5,1885.4,2659.2,6365.5
Oneida,510.1,2657.2,3986.6,7917.2,2612.9,8055.7,4139.2,4435.9,8353.6,7195.5,5123.9,3124.8,2016.0,7185.1,4568.9,2672.4,1909.4,1362.6,5844.9,2855.0,2696.4,1253.1,6098.3,5160.5,6919.0,7969.8,3380.7,0,5750.1,3045.0,6187.4,7157.9,925.1,7070.8,7789.0,6035.6,1305.5,3806.6,7550.5,9663.7,9212.7,3459.4,6482.1,5900.1,8481.3,2941.7,125.3,5009.1,7186.7
Southampton,1916.0,1764.5,7752.1,2597.2,4723.4,1504.9,3059.0,8053.7,7132.5,5922.8,4659.9,7630.9,1295.9,2846.1,1811.2,7430.2,4498.2,9851.4,5684.3,2105.9,8102.2,7970.2,7489.2,24.8,6222.2,9004.8,2378.7,5750.1,0,9290.2,9214.5,1154.2,7631.5,4026.3,6829.2,3963.6,5358.7,7067.4,2956.7,7080.1,9810.7,1768.4,1493.7,1714.3,5529.3,6563.1,5829.4,1964.0,9423.3
Mineola,9451.9,7191.1,7457.8,6192.5,2906.1,5738.9,4054.1,6445.4,8619.3,331.1,3417.4,7259.6,8830.0,1107.5,7652.5,4722.5,4992.8,2538.9,707.1,6835.5,9441.3,9260.4,3486.5,1802.7,4203.8,9232.4,590.0,3045.0,9290.2,0,7808.8,1724.8,8979.6,9896.1,5244.8,8933.5,2654.0,8843.8,2445.7,2915.5,3894.9,2461.7,8341.5,5363.1,2803.3,4212.8,6446.2,8155.5,248.0
Ogdensburg,4033.8,5798.4,2909.6,9582.2,906.9,7141.1,18.0,2395.0,9702.3,4695.8,2701.6,2875.5,653.9,9905.2,3885.3,1456.1,7571.9,9353.9,6682.0,6640.2,8762.9,3422.0,2339.7,5360.6,339.6,1036.3,3940.7,6187.4,9214.5,7808.8,0,9814.5,6933.5,4486.7,4650.4,8613.2,6284.6,1815.6,8025.8,2909.2,1718.2,4100.9,4499.2,5896.7,2943.9,6430.4,6012.1,8695.9,9013.1
New Rochelle,9115.3,648.5,8329.1,3861.6,6333.9,7857.8,4409.4,6368.0,3069.1,9080.3,728.8,3775.8,2878.7,5023.1,9207.1,3462.0,452.3,9646.2,4843.3,9658.7,4272.0,8643.3,7646.1,9111.8,5572.5,2410.7,4022.6,7157.9,1154.2,1724.8,9814.5,0,3145.3,1867.9,127.4,2093.1,859.1,639.9,1479.0,2253.7,5172.1,6374.0,4330.2,1045.4,5159.2,1642.0,179.4,6770.4,1908.9
Chautauqua,8471.5,2510.5,3198.9,8706.4,1405.6,3403.8,6077.1,6872.7,6494.8,4050.7,9633.3,8149.5,2727.5,4230.7,4077.7,9960.4,4552.3,7446.5,216.1,7553.8,5853.1,3481.1,614.1,1250.1,9106.1,2208.2,1821.5,925.1,7631.5,8979.6,6933.5,3145.3,0,7688.4,7057.1,4984.8,5485.4,5993.6,5968.5,1654.7,2674.3,7666.0,2143.7,3987.3,289.6,2350.5,838.2,3038.5,3374.5
West Seneca,7758.0,4418.1,3295.3,4184.4,7239.8,1815.5,1870.4,3623.5,4840.9,9567.5,5074.9,343.4,9652.5,7657.0,436.9,5363.6,8422.9,721.7,4575.2,6243.7,8834.6,3786.7,2801.2,2309.8,5501.3,7560.7,4372.4,7070.8,4026.3,9896.1,4486.7,1867.9,7688.4,0,9123.8,7187.5,2019.6,5456.8,5047.9,9846.3,7426.5,8954.0,2724.9,4475.9,5375.1,5449.8,1741.4,5248.6,1043.6
Yonkers,6575.0,8056.2,9476.4,2275.2,2981.3,3159.1,7878.4,3327.7,752.4,3497.3,2582.2,6324.3,2123.9,4382.2,9176.5,425.7,5932.4,6560.7,7175.5,3000.4,3080.5,5974.6,6978.1,7058.1,2995.2,900.8,2271.6,7789.0,6829.2,5244.8,4650.4,127.4,7057.1,9123.8,0,9779.1,8260.6,3389.3,986.7,6563.5,2730.7,450.8,7958.9,612.1,1968.2,6616.4,2539.2,3427.5,4714.3
Oswego,3657.5,5595.4,3499.8,6321.2,3916.6,9302.3,94.1,994.9,5420.4,2379.0,9427.4,8101.7,6099.9,6045.6,4955.9,8948.8,7035.7,2067.2,2926.7,9349.8,4764.1,6612.8,2548.9,3590.1,3408.4,7985.9,1804.7,6035.6,3963.6,8933.5,8613.2,2093.1,4984.8,7187.5,9779.1,0,4982.2,454.0,185.0,254.7,2253.6,6756.7,2357.2,3413.5,659.7,2141.2,2800.8,2640.3,4389.3
Cooperstown,449.8,4739.4,8057.9,5345.3,7536.2,9553.8,7302.7,2722.5,8794.0,3230.7,1275.8,5256.9,5787.0,4969.3,6543.5,5201.4,1898.2,676.0,5877.7,5690.6,9076.8,6061.4,6300.5,2414.4,2448.2,5062.1,3948.1,1305.5,5358.7,2654.0,6284.6,859.1,5485.4,2019.6,8260.6,4982.2,0,2982.9,675.0,4413.5,9879.8,4190.9,7820.9,3287.0,2133.2,3548.8,4913.7,5392.0,7782.9
Elmira,7718.8,415.8,4773.2,7085.6,6613.4,4429.1,1052.4,4143.0,7191.8,6669.8,931.9,2751.8,5538.1,6375.2,2452.3,9725.2,4524.8,881.5,2251.5,8890.2,7759.0,6583.0,4679.3,7302.5,5623.9,2899.2,3055.7,3806.6,7067.4,8843.8,1815.6,639.9,5993.6,5456.8,3389.3,454.0,2982.9,0,2694.3,8177.2,8879.2,6219.2,9978.0,9836.3,3002.9,5681.0,4607.2,7949.5,7927.7
Levittown,2777.0,4782.3,3720.8,7401.1,720.0,5074.7,2093.6,5012.9,4566.5,948.7,6681.6,2378.0,39.7,5042.2,2818.1,4872.8,1531.5,164.9,9346.2,7679.5,250.6,3822.0,5655.9,4477.6,6105.2,7446.2,8008.6,7550.5,2956.7,2445.7,8025.8,1479.0,5968.5,5047.9,986.7,185.0,675.0,2694.3,0,3472.3,2867.0,4786.7,3967.2,5890.0,8509.3,4943.9,9602.8,61.0,9071.9
New York City,9293.6,6070.4,9635.8,3526.2,1710.5,5819.1,2576.1,4876.6,2146.2,6632.5,5324.5,3334.2,4249.3,3298.4,2029.0,8593.0,3964.7,9815.0,9563.7,6000.3,2223.5,8723.6,4560.3,648.4,3675.1,9545.2,6353.4,9663.7,7080.1,2915.5,2909.2,2253.7,1654.7,9846.3,6563.5,254.7,4413.5,8177.2,3472.3,0,6027.2,3582.1,9639.8,3997.5,3346.3,5299.4,7377.2,6518.1,1228.1
Ticonderoga,3643.4,793.3,4457.9,9433.0,6875.8,889.6,3126.1,8507.2,1856.6,1239.5,9820.1,9446.7,1311.6,7258.5,2560.1,1574.7,5297.0,4528.9,6774.4,1258.3,4205.3,4698.5,757.7,6344.8,531.0,79.2,2482.6,9212.7,9810.7,3894.9,1718.2,5172.1,2674.3,7426.5,2730.7,2253.6,9879.8,8879.2,2867.0,6027.2,0,7613.3,7912.6,9908.6,4718.4,2229.5,9723.3,5138.1,6776.8
Plattsburgh,644.5,3258.1,6702.4,33.1,3159.6,2518.3,7819.5,8620.5,8916.1,3569.1,4320.1,4843.0,557.5,4766.8,7041.6,5899.7,2414.7,7785.2,3818.2,9519.4,1858.3,8468.9,9811.7,4055.8,1359.9,7578.0,104.3,3459.4,1768.4,2461.7,4100.9,6374.0,7666.0,8954.0,450.8,6756.7,4190.9,6219.2,4786.7,3582.1,7613.3,0,6234.0,3196.4,2404.4,2194.6,2980.2,7121.5,8462.9
Forest Hills,159.2,4293.7,5887.7,4971.4,2980.5,5151.5,6643.0,9973.9,9785.7,8887.7,3784.1,8518.9,7578.4,6167.2,8346.8,2897.2,1565.5,422.5,2015.8,9633.6,7551.1,2397.5,4202.8,2112.6,2738.9,9526.5,5389.8,6482.1,1493.7,8341.5,4499.2,4330.2,2143.7,2724.9,7958.9,2357.2,7820.9,9978.0,3967.2,9639.8,7912.6,6234.0,0,3059.7,2797.0,708.6,9771.5,2937.9,4016.9
Ilion,2807.6,5248.0,9223.2,2225.1,5209.7,6301.0,1361.2,4489.2,9313.1,9858.0,1810.3,3543.1,3116.3,4599.5,9661.7,6722.2,873.1,5882.1,1565.1,8525.4,3176.6,7544.6,3514.1,2565.8,5445.6,5733.9,2467.9,5900.1,1714.3,5363.1,5896.7,1045.4,3987.3,4475.9,612.1,3413.5,3287.0,9836.3,5890.0,3997.5,9908.6,3196.4,3059.7,0,819.1,9684.3,8335.3,6800.1,3509.0
Lake Placid,385.4,5891.4,2222.2,3974.5,1516.4,4022.2,9237.5,699.5,6529.9,6987.7,6622.5,2671.6,6159.4,2097.7,7392.7,3853.2,1864.3,9815.5,1089.0,5238.8,9634.7,7571.8,9190.2,5607.1,890.1,9455.9,3110.0,8481.3,5529.3,2803.3,2943.9,5159.2,289.6,5375.1,1968.2,659.7,2133.2,3002.9,8509.3,3346.3,4718.4,2404.4,2797.0,819.1,0,2911.1,8974.6,8009.8,8404.2
Utica,4657.0,8533.3,2454.2,6977.4,8755.8,6058.5,3691.4,5625.3,9825.4,3650.0,8366.6,2390.8,3518.0,2263.0,1074.7,3498.0,5902.4,7252.1,5414.8,1595.6,7742.8,7484.5,1925.8,1647.8,476.0,6548.5,2389.5,2941.7,6563.1,4212.8,6430.4,1642.0,2350.5,5449.8,6616.4,2141.2,3548.8,5681.0,4943.9,5299.4,2229.5,2194.6,708.6,9684.3,2911.1,0,7013.2,2323.3,1166.3
Binghamton,8703.4,2386.7,5910.6,9038.7,9115.2,5997.0,2031.6,9800.8,7254.1,7359.3,1451.7,658.3,1433.0,9677.6,8683.4,2280.9,3393.9,6976.9,3607.4,7388.8,6644.5,7984.1,3441.2,116.2,1329.1,3482.1,1885.4,125.3,5829.4,6446.2,6012.1,179.4,838.2,1741.4,2539.2,2800.8,4913.7,4607.2,9602.8,7377.2,9723.3,2980.2,9771.5,8335.3,8974.6,7013.2,0,856.6,1506.0
Bronx,5306.2,2147.0,8335.8,1786.2,4195.7,143.5,8288.1,1060.5,7991.0,7010.0,9866.0,3281.2,6445.2,3071.1,815.6,4858.9,9809.4,2811.8,421.4,696.7,103.6,6133.2,5827.9,2441.6,4652.6,4874.7,2659.2,5009.1,1964.0,8155.5,8695.9,6770.4,3038.5,5248.6,3427.5,2640.3,5392.0,7949.5,61.0,6518.1,5138.1,7121.5,2937.9,6800.1,8009.8,2323.3,856.6,0,8818.7
North Hempstead,911.1,6732.5,3208.7,9802.8,9558.9,9298.0,4084.2,2791.9,3685.3,6274.8,1286.7,5870.6,6821.7,4471.7,9352.7,4139.5,474.2,3996.2,5810.6,6695.4,6563.0,5744.7,3600.4,4392.2,2485.0,4648.3,6365.5,7186.7,9423.3,248.0,9013.1,1908.9,3374.5,1043.6,4714.3,4389.3,7782.9,7927.7,9071.9,1228.1,6776.8,8462.9,4016.9,3509.0,8404.2,1166.3,1506.0,8818.7,0
