CSV,Schenectady,Rensselaer,Hyde Park,Ilion,Troy,Sag Harbor,Middletown,Peekskill,Rotterdam,New Rochelle,Port Washington,Harlem,Watertown,Fredonia,Rome,Scarsdale,Flushing,Rochester,Potsdam,New York City,Hudson,Stony Brook,Plattsburgh,Huntington,Albany,Cheektowaga,Hammondsport,Queens,Newburgh,Kingston,East Aurora,Oyster Bay,Olean,Levittown,Jamestown,Auburn,Seneca Falls,Coney Island,Utica,Ogdensburg,Tonawanda,Lockport,Rye,Ossining,Beacon,Manhattan,Cortland,Watervliet,Oneonta
Port Washington,9563.9,5514.0,8920.8,5426.2,6029.3,1470.4,1848.2,1086.7,388.5,6872.4,0,5593.3,4440.1,8470.8,6370.1,7794.9,7801.6,2070.3,8157.5,7836.1,8857.4,9414.7,1795.3,1859.0,596.7,3509.6,6827.8,8233.1,8225.6,874.8,4942.7,3831.9,369.6,2826.4,2783.7,2121.5,6916.4,9911.4,3683.1,4582.7,8834.4,3345.1,4382.5,5142.7,1207.8,4083.3,5090.9,9034.8,8157.9
Harlem,787.7,6270.2,5821.7,1184.5,2812.9,865.8,5646.3,3783.9,4485.9,1300.5,5593.3,0,4283.7,6267.7,4790.0,2717.5,2904.4,3171.6,6301.4,4386.6,5146.6,532.0,6447.1,6095.6,2885.7,3526.0,3880.0,6286.8,819.3,1300.4,7020.9,4099.2,6107.1,6183.3,6527.8,7896.4,4337.6,7946.9,3940.2,5802.9,4854.2,7418.9,9177.5,8693.8,6500.1,2212.2,1183.7,4261.5,6623.6
Watertown,7061.8,6933.0,3525.7,6128.3,2336.4,9425.7,8953.9,1926.9,3021.6,2905.8,4440.1,4283.7,0,4614.8,2475.8,887.9,6526.0,8935.4,7433.5,4985.3,871.7,727.9,5784.3,51.0,953.9,9483.5,1113.3,7391.7,1951.9,9027.0,4538.4,1337.2,4079.6,1541.0,3998.4,2020.9,2438.0,3511.0,4660.3,5359.6,8642.2,3088.1,3523.3,4762.9,3171.3,6774.1,1071.9,2779.8,9045.5
Fredonia,8160.6,9238.6,7251.3,1792.8,6814.1,2089.1,8947.1,3861.5,6711.1,5164.2,8470.8,6267.7,4614.8,0,1758.0,9751.7,5200.2,3267.2,7450.6,2978.0,3332.1,8468.3,5989.9,4280.6,6356.7,4815.1,8450.3,295.7,1752.6,67.2,9605.6,2459.0,8446.6,3525.9,3434.2,9923.4,4698.8,28.4,8710.1,876.4,1108.7,2357.4,3401.4,2275.3,296.4,1199.7,8810.6,957.2,641.0
Rome,1853.5,4063.2,1670.3,37.8,6030.2,4467.4,3458.2,5613.0,3486.4,2180.2,6370.1,4790.0,2475.8,1758.0,0,4439.1,3458.4,4880.9,5243.9,528.1,1071.0,6600.9,5327.6,8485.5,3198.2,345.7,101.9,7397.4,9804.6,9278.5,3217.7,3358.8,3544.1,5917.9,3043.2,6439.3,1002.3,9245.3,3195.5,7343.5,2842.2,8864.0,8478.1,1099.7,5760.2,8396.0,1926.2,8362.2,7268.9
Scarsdale,5022.3,6319.6,1904.7,8071.2,5173.1,2423.4,1564.2,2133.9,3865.4,1951.8,7794.9,2717.5,887.9,9751.7,4439.1,0,8673.2,8608.7,1242.7,183.0,1370.3,5910.8,2210.3,7221.1,3316.0,5301.7,7190.0,7188.7,9210.5,1990.8,1310.2,2464.8,7791.7,4777.0,9606.6,9518.7,8303.4,3593.1,734.2,8134.6,4632.7,8969.4,5557.8,4274.4,4623.8,2014.2,6144.2,2008.2,3411.2
Flushing,2031.1,1074.6,5093.2,844.0,4837.9,683.0,6367.8,2707.5,9878.8,7752.4,7801.6,2904.4,6526.0,5200.2,3458.4,8673.2,0,378.8,1213.9,9777.0,3879.3,654.4,6052.1,7675.7,3195.3,8880.2,3579.7,6932.4,3159.2,2370.8,845.7,4472.8,3799.2,5425.8,706.7,7057.8,4554.6,2887.8,8642.8,3466.2,8769.1,4783.7,3585.8,8014.7,4173.5,8129.0,8790.4,3737.3,7538.8
Rochester,4897.9,4112.0,1293.1,6804.2,4917.9,4449.9,5914.6,9502.3,7647.4,5899.1,2070.3,3171.6,8935.4,3267.2,4880.9,8608.7,378.8,0,9997.8,5436.4,560.2,2541.0,7646.4,4207.1,5203.8,6116.8,6103.7,3911.8,4688.7,7718.3,2644.4,2089.0,4120.5,1769.5,77.8,1315.5,5420.1,291.5,3830.4,2249.6,673.0,2217.6,2899.0,67.0,9577.3,1534.0,2135.2,6969.3,9632.1
Potsdam,7663.6,3967.3,2073.7,6258.3,2379.9,8859.2,7272.0,2537.6,4432.6,8919.4,8157.5,6301.4,7433.5,7450.6,5243.9,1242.7,1213.9,9997.8,0,5203.6,9682.5,5304.3,3841.4,4408.2,8929.8,962.5,3802.6,7768.3,6363.8,5020.9,865.9,2893.3,3859.6,4192.5,387.8,1991.0,2206.1,7204.2,4966.5,9201.8,8888.9,8568.6,6036.6,8875.9,4233.0,5418.6,300.8,408.9,4456.9
New York City,4599.7,6816.0,35.9,2084.6,9293.3,8720.6,6961.3,1666.5,4976.1,2625.5,7836.1,4386.6,4985.3,2978.0,528.1,183.0,9777.0,5436.4,5203.6,0,6496.8,7400.3,3974.5,9989.9,505.5,9401.1,9899.5,3952.3,4980.4,7056.2,5196.8,9837.9,2187.6,8363.7,1797.3,4109.2,5177.7,3771.4,9211.3,7807.9,3030.8,2545.9,6626.4,6407.0,5348.0,3089.8,6780.8,8129.1,4435.7
Hudson,6128.2,9824.8,2614.9,8158.5,2080.2,6079.2,705.7,9666.1,9087.3,5004.7,8857.4,5146.6,871.7,3332.1,1071.0,1370.3,3879.3,560.2,9682.5,6496.8,0,3552.4,6509.0,8490.9,3648.8,3302.5,9520.6,2929.9,1819.1,5847.6,7835.2,3906.3,1375.4,6997.7,4237.2,9678.6,7564.0,3811.5,3272.3,5684.2,9333.5,3901.0,5959.0,4701.7,6877.3,4754.1,3631.5,4235.8,9277.4
Stony Brook,3486.0,6127.2,3570.8,495.8,2067.8,7478.3,168.2,472.3,4414.9,597.2,9414.7,532.0,727.9,8468.3,6600.9,5910.8,654.4,2541.0,5304.3,7400.3,3552.4,0,2670.4,275.9,3173.6,7390.5,3174.3,7322.4,788.7,5269.6,5309.2,4030.3,4267.7,7370.2,9433.3,8269.8,7359.6,1138.7,1147.7,3886.2,3937.3,9661.9,6923.6,3691.9,3174.2,5543.5,8049.0,4464.9,4830.4
Plattsburgh,5577.2,7516.7,1038.6,5053.3,2991.0,9342.6,6237.1,1918.3,293.1,3576.4,1795.3,6447.1,5784.3,5989.9,5327.6,2210.3,6052.1,7646.4,3841.4,3974.5,6509.0,2670.4,0,6988.6,6294.7,4842.5,6073.9,2191.6,9451.9,8658.0,1474.1,8718.0,5097.5,7183.3,4616.5,1684.8,5004.5,4542.8,1112.2,7302.8,9723.4,9634.1,1200.9,4808.4,6875.5,3589.6,6922.2,5677.1,5232.0
Huntington,5604.9,2337.1,5672.7,6076.8,2413.8,5888.6,6649.9,9313.5,6319.4,9569.0,1859.0,6095.6,51.0,4280.6,8485.5,7221.1,7675.7,4207.1,4408.2,9989.9,8490.9,275.9,6988.6,0,1405.4,8924.9,4919.4,6488.1,7905.9,3075.0,1879.7,9946.9,6270.4,8891.8,5950.2,2359.8,2467.5,5033.3,9997.3,8370.5,9083.4,3136.7,9007.0,5360.1,289.6,2644.2,2271.3,605.6,4784.7
Albany,5150.2,9269.5,6691.4,3945.0,2658.1,5353.7,6776.9,5890.4,1120.8,3546.6,596.7,2885.7,953.9,6356.7,3198.2,3316.0,3195.3,5203.8,8929.8,505.5,3648.8,3173.6,6294.7,1405.4,0,2289.1,218.1,5575.5,7551.7,9168.0,5886.6,6246.9,4218.8,305.1,7626.6,5501.9,3587.7,9199.6,4472.1,5353.8,7521.9,5693.6,5402.8,3648.5,8112.3,5831.4,8156.9,9324.5,2637.4
Cheektowaga,8661.0,3403.5,8974.4,2007.7,5976.2,3727.1,3143.2,2580.2,1915.8,9162.9,3509.6,3526.0,9483.5,4815.1,345.7,5301.7,8880.2,6116.8,962.5,9401.1,3302.5,7390.5,4842.5,8924.9,2289.1,0,700.7,4110.2,5339.9,2688.4,9834.0,6193.8,2002.0,3648.3,3794.3,2291.5,2749.7,47.2,2509.6,654.7,7059.0,266.4,6495.8,986.8,3409.9,2896.4,5195.3,1911.2,7661.7
Hammondsport,1325.3,7776.8,3844.8,2279.9,9323.3,5034.9,3000.8,7783.2,5580.6,4562.1,6827.8,3880.0,1113.3,8450.3,101.9,7190.0,3579.7,6103.7,3802.6,9899.5,9520.6,3174.3,6073.9,4919.4,218.1,700.7,0,8702.0,4914.6,1374.8,8769.5,3212.6,3822.6,7004.5,5988.9,8927.5,464.5,5448.7,1791.3,3338.4,1301.8,736.6,3998.0,2911.7,9975.0,2628.2,4458.4,4876.5,4152.4
Queens,6161.6,6172.5,9243.1,8931.8,6516.5,5478.9,4998.1,198.2,5288.5,3271.5,8233.1,6286.8,7391.7,295.7,7397.4,7188.7,6932.4,3911.8,7768.3,3952.3,2929.9,7322.4,2191.6,6488.1,5575.5,4110.2,8702.0,0,7643.2,7680.8,968.7,5764.7,3307.9,5836.8,4823.8,978.4,3486.7,4975.0,4965.6,5650.2,4606.6,134.0,6424.0,6351.9,5060.1,7814.8,7814.1,775.5,3815.6
Newburgh,2122.5,9400.0,5055.8,5393.2,7796.3,9313.6,9575.9,0.1,2967.6,1866.3,8225.6,819.3,1951.9,1752.6,9804.6,9210.5,3159.2,4688.7,6363.8,4980.4,1819.1,788.7,9451.9,7905.9,7551.7,5339.9,4914.6,7643.2,0,7821.0,5703.8,38.1,733.6,6050.8,3988.6,4206.0,5107.7,7507.4,472.2,7060.3,3918.8,1137.8,5132.7,3693.1,9786.4,7590.2,8778.7,3190.9,1750.8
Kingston,2097.8,4222.0,7872.7,4839.7,5567.0,8375.8,8426.6,5692.4,5878.1,5893.4,874.8,1300.4,9027.0,67.2,9278.5,1990.8,2370.8,7718.3,5020.9,7056.2,5847.6,5269.6,8658.0,3075.0,9168.0,2688.4,1374.8,7680.8,7821.0,0,7634.8,5888.1,4744.8,487.6,6343.7,562.3,6738.2,6951.2,3846.0,8614.0,8068.6,1651.6,15.1,6588.0,7183.2,3002.3,2401.7,8392.4,630.1
East Aurora,7621.0,1538.1,5361.3,84.7,451.0,2213.7,9023.1,600.3,8463.1,9791.6,4942.7,7020.9,4538.4,9605.6,3217.7,1310.2,845.7,2644.4,865.9,5196.8,7835.2,5309.2,1474.1,1879.7,5886.6,9834.0,8769.5,968.7,5703.8,7634.8,0,4436.8,6600.2,3867.9,4820.4,3141.0,9390.2,816.9,8162.4,8386.2,8221.3,7520.2,1738.0,5578.8,2393.2,9076.7,9489.9,7741.5,2328.5
Oyster Bay,1541.6,1058.1,5200.6,80.4,4093.4,5263.6,9896.2,1837.7,8478.6,516.1,3831.9,4099.2,1337.2,2459.0,3358.8,2464.8,4472.8,2089.0,2893.3,9837.9,3906.3,4030.3,8718.0,9946.9,6246.9,6193.8,3212.6,5764.7,38.1,5888.1,4436.8,0,8306.7,6250.7,9336.3,5221.4,4716.6,8664.4,9552.6,1724.3,2493.6,7440.5,5422.3,784.8,5084.4,1550.2,7369.0,1597.9,616.1
Olean,6628.0,7580.5,1913.2,2344.9,3991.0,3043.1,2131.0,5852.2,5858.6,3300.9,369.6,6107.1,4079.6,8446.6,3544.1,7791.7,3799.2,4120.5,3859.6,2187.6,1375.4,4267.7,5097.5,6270.4,4218.8,2002.0,3822.6,3307.9,733.6,4744.8,6600.2,8306.7,0,6565.2,5096.5,8061.1,3133.5,7001.0,6747.3,1576.2,4681.0,8164.2,2449.0,6505.5,1408.2,8545.4,193.7,7731.3,380.8
Levittown,9986.6,909.0,5216.3,7068.6,8851.5,9763.8,1796.0,9548.4,801.7,8284.5,2826.4,6183.3,1541.0,3525.9,5917.9,4777.0,5425.8,1769.5,4192.5,8363.7,6997.7,7370.2,7183.3,8891.8,305.1,3648.3,7004.5,5836.8,6050.8,487.6,3867.9,6250.7,6565.2,0,3398.6,596.2,7125.3,6556.4,6960.7,4981.2,7687.2,6080.0,5111.5,1404.8,6319.3,6870.2,1235.1,9535.5,1665.6
Jamestown,8948.3,6411.5,3784.8,117.1,9724.0,3652.9,1058.9,2076.2,3356.1,4969.8,2783.7,6527.8,3998.4,3434.2,3043.2,9606.6,706.7,77.8,387.8,1797.3,4237.2,9433.3,4616.5,5950.2,7626.6,3794.3,5988.9,4823.8,3988.6,6343.7,4820.4,9336.3,5096.5,3398.6,0,2035.4,1869.5,6624.1,555.9,5671.8,9398.4,3111.3,5206.3,990.7,3822.0,2224.9,582.3,2445.3,6635.6
Auburn,1823.0,239.3,4950.2,5769.7,8611.0,6389.3,6557.3,6029.2,7646.2,680.5,2121.5,7896.4,2020.9,9923.4,6439.3,9518.7,7057.8,1315.5,1991.0,4109.2,9678.6,8269.8,1684.8,2359.8,5501.9,2291.5,8927.5,978.4,4206.0,562.3,3141.0,5221.4,8061.1,596.2,2035.4,0,9837.7,3234.0,6824.5,2581.1,8978.0,4833.9,1477.2,2921.0,5460.4,5870.7,6338.6,7122.1,3705.8
Seneca Falls,4918.3,1859.3,455.3,6690.3,9231.4,2562.4,3804.2,5489.1,1014.4,8060.9,6916.4,4337.6,2438.0,4698.8,1002.3,8303.4,4554.6,5420.1,2206.1,5177.7,7564.0,7359.6,5004.5,2467.5,3587.7,2749.7,464.5,3486.7,5107.7,6738.2,9390.2,4716.6,3133.5,7125.3,1869.5,9837.7,0,1283.5,1107.6,7901.0,9446.1,2379.0,2162.6,9595.4,3760.7,4286.1,2794.0,5435.3,5145.1
Coney Island,9209.1,9800.2,7712.8,9169.0,3573.3,6929.4,2469.9,7640.3,7726.8,3363.0,9911.4,7946.9,3511.0,28.4,9245.3,3593.1,2887.8,291.5,7204.2,3771.4,3811.5,1138.7,4542.8,5033.3,9199.6,47.2,5448.7,4975.0,7507.4,6951.2,816.9,8664.4,7001.0,6556.4,6624.1,3234.0,1283.5,0,1986.9,3077.8,6548.8,707.4,533.2,9768.7,951.2,5420.3,1427.2,3362.2,5964.5
Utica,8591.8,9678.3,9468.1,4043.4,901.7,7937.1,7355.9,4694.7,113.7,2180.6,3683.1,3940.2,4660.3,8710.1,3195.5,734.2,8642.8,3830.4,4966.5,9211.3,3272.3,1147.7,1112.2,9997.3,4472.1,2509.6,1791.3,4965.6,472.2,3846.0,8162.4,9552.6,6747.3,6960.7,555.9,6824.5,1107.6,1986.9,0,7046.9,6266.7,6091.6,8778.6,526.4,8706.6,1055.2,1547.2,6152.6,5664.5
Ogdensburg,2098.2,6348.5,9637.0,5343.0,8094.7,5278.3,4329.6,1140.7,1518.0,8152.2,4582.7,5802.9,5359.6,876.4,7343.5,8134.6,3466.2,2249.6,9201.8,7807.9,5684.2,3886.2,7302.8,8370.5,5353.8,654.7,3338.4,5650.2,7060.3,8614.0,8386.2,1724.3,1576.2,4981.2,5671.8,2581.1,7901.0,3077.8,7046.9,0,1723.3,92.2,9554.3,8571.3,2532.2,2146.7,2487.9,7335.6,6786.3
Tonawanda,7339.2,3931.6,9424.2,775.8,2374.0,2024.6,5077.5,16.9,2607.0,2938.4,8834.4,4854.2,8642.2,1108.7,2842.2,4632.7,8769.1,673.0,8888.9,3030.8,9333.5,3937.3,9723.4,9083.4,7521.9,7059.0,1301.8,4606.6,3918.8,8068.6,8221.3,2493.6,4681.0,7687.2,9398.4,8978.0,9446.1,6548.8,6266.7,1723.3,0,9296.5,7946.7,4428.7,6914.0,6288.5,3456.6,9871.4,9121.3
Lockport,5786.9,2954.5,4951.5,8889.5,8625.1,9608.7,376.4,3347.2,482.4,3129.0,3345.1,7418.9,3088.1,2357.4,8864.0,8969.4,4783.7,2217.6,8568.6,2545.9,3901.0,9661.9,9634.1,3136.7,5693.6,266.4,736.6,134.0,1137.8,1651.6,7520.2,7440.5,8164.2,6080.0,3111.3,4833.9,2379.0,707.4,6091.6,92.2,9296.5,0,2108.9,9378.4,7742.8,8140.7,4196.2,516.5,169.7
Rye,1864.9,969.7,6148.9,2743.1,2957.1,9308.1,5058.9,4156.9,44.0,4242.7,4382.5,9177.5,3523.3,3401.4,8478.1,5557.8,3585.8,2899.0,6036.6,6626.4,5959.0,6923.6,1200.9,9007.0,5402.8,6495.8,3998.0,6424.0,5132.7,15.1,1738.0,5422.3,2449.0,5111.5,5206.3,1477.2,2162.6,533.2,8778.6,9554.3,7946.7,2108.9,0,3738.1,6228.7,2151.5,9078.9,6210.9,8585.3
Ossining,3245.5,1689.8,2340.2,8970.0,8380.8,7109.1,9775.1,6682.1,396.6,3937.9,5142.7,8693.8,4762.9,2275.3,1099.7,4274.4,8014.7,67.0,8875.9,6407.0,4701.7,3691.9,4808.4,5360.1,3648.5,986.8,2911.7,6351.9,3693.1,6588.0,5578.8,784.8,6505.5,1404.8,990.7,2921.0,9595.4,9768.7,526.4,8571.3,4428.7,9378.4,3738.1,0,4206.7,5759.9,6817.7,9109.1,3230.8
Beacon,8036.1,9498.6,9436.1,3731.3,6010.5,9187.1,1454.0,343.4,5784.2,5414.6,1207.8,6500.1,3171.3,296.4,5760.2,4623.8,4173.5,9577.3,4233.0,5348.0,6877.3,3174.2,6875.5,289.6,8112.3,3409.9,9975.0,5060.1,9786.4,7183.2,2393.2,5084.4,1408.2,6319.3,3822.0,5460.4,3760.7,951.2,8706.6,2532.2,6914.0,7742.8,6228.7,4206.7,0,5705.5,8398.6,9453.6,750.8
Manhattan,8765.3,5024.5,1339.1,4626.7,2459.9,2888.8,4838.0,772.3,9299.7,9601.6,4083.3,2212.2,6774.1,1199.7,8396.0,2014.2,8129.0,1534.0,5418.6,3089.8,4754.1,5543.5,3589.6,2644.2,5831.4,2896.4,2628.2,7814.8,7590.2,3002.3,9076.7,1550.2,8545.4,6870.2,2224.9,5870.7,4286.1,5420.3,1055.2,2146.7,6288.5,8140.7,2151.5,5759.9,5705.5,0,9303.7,218.3,1781.9
Cortland,9436.8,7638.8,4208.0,1478.7,7701.2,527.0,2626.5,4316.5,501.0,5561.3,5090.9,1183.7,1071.9,8810.6,1926.2,6144.2,8790.4,2135.2,300.8,6780.8,3631.5,8049.0,6922.2,2271.3,8156.9,5195.3,4458.4,7814.1,8778.7,2401.7,9489.9,7369.0,193.7,1235.1,582.3,6338.6,2794.0,1427.2,1547.2,2487.9,3456.6,4196.2,9078.9,6817.7,8398.6,9303.7,0,3934.7,5753.2
Watervliet,1733.4,3361.6,5259.3,4026.8,8356.0,8308.7,5730.4,1297.0,665.6,3002.2,9034.8,4261.5,2779.8,957.2,8362.2,2008.2,3737.3,6969.3,408.9,8129.1,4235.8,4464.9,5677.1,605.6,9324.5,1911.2,4876.5,775.5,3190.9,8392.4,7741.5,1597.9,7731.3,9535.5,2445.3,7122.1,5435.3,3362.2,6152.6,7335.6,9871.4,516.5,6210.9,9109.1,9453.6,218.3,3934.7,0,8916.5
Oneonta,1438.6,4947.0,3545.9,7837.4,2932.7,4891.4,6341.0,6671.0,9874.9,8350.8,8157.9,6623.6,9045.5,641.0,7268.9,3411.2,7538.8,9632.1,4456.9,4435.7,9277.4,4830.4,5232.0,4784.7,2637.4,7661.7,4152.4,3815.6,1750.8,630.1,2328.5,616.1,380.8,1665.6,6635.6,3705.8,5145.1,5964.5,5664.5,6786.3,9121.3,169.7,8585.3,3230.8,750.8,1781.9,5753.2,8916.5,0
