CSV,Harlem,Cohoes,Forest Hills,Poughkeepsie,Palmyra,Manhattan,Woodstock,Jamestown,Garden City,Corning,Oneida,Rye,Buffalo,Amsterdam,Hammondsport,Sag Harbor,Ticonderoga,Herkimer,Lackawanna,Cooperstown,Ithaca,Mount Vernon,Stony Point,Batavia,Stony Brook,Rotterdam,Fredonia,Geneva,Saratoga Springs,Schenectady,Rome,Port Washington,Watertown,Seneca Falls,Southampton,Eastchester,Troy,Cheektowaga,Yonkers,Johnstown,New York City,Lake Placid,Hempstead,Elmira,Chautauqua,Bedford,Hudson,West Seneca,Ossining,Hyde Park
Cooperstown,1235.8,3061.8,1256.7,7503.9,9382.5,5721.1,1539.4,5146.3,587.9,5194.1,9713.5,2204.5,2924.4,5667.3,3412.3,1736.7,4266.0,8203.7,1350.0,0,7029.5,7379.5,2783.9,8136.3,3805.3,7816.1,4979.7,3426.9,7238.2,8841.9,2202.1,5731.6,3144.4,9288.2,3111.3,1360.4,2890.6,349.2,8569.7,623.7,8397.4,332.4,4132.3,9639.6,8895.9,8740.5,4141.6,2396.4,5711.4,236.6
Ithaca,9664.0,9631.5,56.0,5058.3,2713.7,5299.9,9507.7,7476.6,8137.4,8615.4,5574.8,7885.0,2452.7,1106.3,4569.8,8000.8,6156.8,7729.3,6056.4,7029.5,0,5301.5,7267.8,3597.7,5045.0,1362.2,7650.0,3055.9,9711.3,4235.5,8317.9,2021.2,4349.5,3670.7,8541.0,9471.7,374.5,5813.5,4760.5,9828.4,2343.0,4665.7,9690.3,3387.6,978.7,1582.1,447.1,6864.5,660.8,684.1
Mount Vernon,4668.3,9774.3,6341.4,8112.1,5233.0,9260.3,9683.6,9386.9,9584.5,8569.1,5193.8,5866.5,3373.2,1652.7,1717.5,3898.6,8294.5,7258.8,7388.7,7379.5,5301.5,0,1367.2,7298.2,7252.8,8965.3,9460.2,7622.2,8944.8,679.3,4099.2,3423.6,6381.4,6986.8,984.6,1576.9,80.7,3542.1,7492.0,4401.4,8224.7,2075.5,5694.3,7760.6,8765.3,9316.6,6815.7,6976.9,6157.6,9049.5
Stony Point,1593.8,1989.4,7989.9,9153.4,7726.8,7908.9,7832.5,4882.8,2924.7,3262.6,110.2,5079.4,4289.2,1044.7,8622.5,7381.6,3924.7,9489.8,346.3,2783.9,7267.8,1367.2,0,821.2,9459.1,2553.9,5895.7,3902.5,3903.2,3448.7,5822.1,7777.6,7471.4,4157.9,2809.5,690.9,3637.5,9276.4,6454.4,8927.7,9842.2,3241.5,2700.0,6233.8,6523.2,5280.5,5963.3,2771.5,9036.7,1835.6
Batavia,5005.8,5085.5,4113.3,1187.6,4091.2,9292.6,3903.1,1090.7,9987.5,9601.4,8139.4,8215.2,8931.4,6365.1,117.1,8356.3,3066.4,645.7,6594.5,8136.3,3597.7,7298.2,821.2,0,8969.5,4596.3,1477.8,4853.7,7265.6,6566.9,1818.6,6509.8,3524.9,4871.3,9497.5,6336.3,9714.0,2640.8,8882.3,7299.2,6475.1,2612.5,6210.2,1179.0,4545.6,3396.3,1420.9,3128.2,1035.5,7415.4
Stony Brook,9682.7,8786.3,5335.4,587.8,6631.6,22.9,1717.8,5042.0,2885.7,7050.8,3855.9,580.9,8245.8,5433.4,2601.3,7606.7,9106.6,6126.7,4137.6,3805.3,5045.0,7252.8,9459.1,8969.5,0,4933.9,6641.3,1560.5,6883.5,2129.4,7322.6,4143.2,3059.1,8831.4,699.7,3274.4,1867.7,5487.9,1026.0,7319.7,7971.6,9528.2,8353.1,5660.4,2295.0,5780.5,8576.5,3331.1,9819.7,3983.1
Rotterdam,2022.8,1256.3,6708.5,1926.3,7136.4,6821.5,7250.3,3711.5,9276.9,6091.4,536.4,4146.4,8718.7,5013.9,7458.2,4908.2,7734.3,691.7,1171.8,7816.1,1362.2,8965.3,2553.9,4596.3,4933.9,0,4862.8,6921.2,2903.9,4583.0,9054.3,702.0,7293.9,3535.8,5396.2,6513.9,3955.4,1909.7,4992.8,1229.8,6081.1,2859.5,2655.6,3545.0,408.4,2628.0,4270.6,947.3,9534.6,1857.3
Fredonia,7959.3,2.8,2458.3,6110.4,5512.5,4225.0,1126.0,3190.2,857.1,9849.5,8506.5,7127.3,7951.3,2281.6,2273.6,5482.4,135.2,6864.2,570.1,4979.7,7650.0,9460.2,5895.7,1477.8,6641.3,4862.8,0,5313.4,9065.5,7026.3,5526.1,9003.4,1501.3,4466.4,8872.4,3392.9,3023.0,4357.5,8932.6,2511.2,5191.7,612.0,2817.8,2598.0,4623.6,8459.2,9989.4,4872.5,3590.9,5976.6
Geneva,8252.9,2660.2,7957.0,3257.4,2710.0,5948.4,2912.0,1006.6,3396.6,3152.7,8651.9,9999.0,5720.1,5756.5,3482.6,8730.8,843.5,5375.7,869.4,3426.9,3055.9,7622.2,3902.5,4853.7,1560.5,6921.2,5313.4,0,9142.4,8158.8,513.4,6144.5,1787.2,1655.5,699.0,7265.3,3265.7,3663.4,9402.1,7103.3,73.6,6776.1,6664.3,6734.2,8620.3,5996.7,5368.8,9640.5,1596.2,4415.7
Saratoga Springs,3583.4,875.9,2006.5,7968.8,4949.6,8763.9,9267.4,6620.1,8996.4,901.6,1379.9,3134.7,5537.6,8110.9,8448.5,9155.5,3885.2,8994.1,9264.0,7238.2,9711.3,8944.8,3903.2,7265.6,6883.5,2903.9,9065.5,9142.4,0,9250.5,1481.9,5312.0,8331.4,5616.3,2499.8,1102.7,5475.7,9347.6,3009.2,797.1,6080.7,8804.4,3273.8,9837.6,9275.8,1069.1,8278.0,9398.0,5914.0,9975.6
Schenectady,5828.6,3854.7,1796.5,118.7,5500.6,1251.2,5718.5,7963.8,7408.7,273.5,8533.2,8104.6,3844.6,3331.8,8789.8,3320.5,4043.5,4788.2,1048.4,8841.9,4235.5,679.3,3448.7,6566.9,2129.4,4583.0,7026.3,8158.8,9250.5,0,750.4,9703.5,4510.6,2848.3,212.7,2779.2,5061.0,6311.4,6327.7,493.3,4302.4,7394.2,2898.5,4240.1,2905.4,1355.8,7045.2,3479.3,1935.6,4477.4
Rome,3938.8,1046.1,6117.5,5178.1,8640.5,7425.0,4404.5,2710.5,8701.5,9982.1,9694.0,4245.6,878.1,4786.9,9141.4,4627.7,4877.2,5934.2,9854.6,2202.1,8317.9,4099.2,5822.1,1818.6,7322.6,9054.3,5526.1,513.4,1481.9,750.4,0,2138.9,3523.7,1588.2,7928.7,4916.6,2037.1,2407.4,6111.9,4078.0,8593.6,2332.4,4475.7,8469.0,8879.6,899.1,7309.0,5446.1,7327.8,8047.8
Port Washington,5550.3,7184.3,2430.5,6750.4,3552.7,9959.2,9522.5,2759.9,4791.5,2716.2,2534.5,2976.5,7226.0,8868.2,8342.3,5808.8,2695.1,8661.4,2361.2,5731.6,2021.2,3423.6,7777.6,6509.8,4143.2,702.0,9003.4,6144.5,5312.0,9703.5,2138.9,0,2874.0,6426.6,128.3,1635.0,843.0,2477.2,7015.2,6331.6,8300.5,1073.0,5844.4,9933.3,1609.0,9456.0,6299.6,8916.9,4233.1,2415.4
Watertown,3090.0,729.6,4785.4,9472.6,8621.9,5041.2,5229.8,974.1,1443.6,6619.1,5998.1,1598.8,2790.9,8403.9,1396.4,1050.1,6228.0,5470.7,3642.2,3144.4,4349.5,6381.4,7471.4,3524.9,3059.1,7293.9,1501.3,1787.2,8331.4,4510.6,3523.7,2874.0,0,375.7,9410.2,4982.8,1124.6,698.2,6300.7,4064.8,9060.4,5111.7,3619.9,6110.5,9785.2,2032.8,6732.2,9738.1,9835.3,769.2
Seneca Falls,241.7,4941.2,8058.2,1815.5,8924.2,4093.4,7222.2,9464.4,2224.6,5079.3,598.1,1825.3,6089.2,9465.4,4556.1,5931.4,7945.3,388.7,5921.2,9288.2,3670.7,6986.8,4157.9,4871.3,8831.4,3535.8,4466.4,1655.5,5616.3,2848.3,1588.2,6426.6,375.7,0,3888.0,292.4,8296.1,4600.1,5285.4,8927.6,8137.3,4805.5,3289.5,850.3,3212.3,3248.7,1798.5,4175.9,9693.0,4048.2
Southampton,4553.7,4336.1,8345.7,9891.8,5801.2,5690.5,8823.2,4655.6,5401.8,7650.2,1777.8,1334.5,9994.8,3445.9,4069.5,4447.5,6836.9,4921.6,9849.0,3111.3,8541.0,984.6,2809.5,9497.5,699.7,5396.2,8872.4,699.0,2499.8,212.7,7928.7,128.3,9410.2,3888.0,0,1345.2,4158.2,8227.8,9379.1,3176.3,7947.4,8361.7,7579.3,2103.3,324.2,7923.8,8647.8,9082.0,6002.3,9002.8
Eastchester,85.4,7633.0,3040.9,7709.3,9115.0,7564.9,3184.5,9488.7,370.3,7753.3,3668.8,7764.3,9623.0,6329.2,9002.9,1495.2,783.8,3207.6,7357.7,1360.4,9471.7,1576.9,690.9,6336.3,3274.4,6513.9,3392.9,7265.3,1102.7,2779.2,4916.6,1635.0,4982.8,292.4,1345.2,0,869.8,4403.9,7940.2,958.3,7486.9,1819.3,2278.9,2708.7,9114.0,6310.3,6866.6,3736.3,7413.7,7668.4
Troy,8756.8,7521.8,5809.9,5712.2,6169.0,5642.5,9880.1,4295.4,7487.3,654.6,7048.7,5307.5,8951.8,8546.7,8939.3,9858.5,7030.6,7825.8,8.6,2890.6,374.5,80.7,3637.5,9714.0,1867.7,3955.4,3023.0,3265.7,5475.7,5061.0,2037.1,843.0,1124.6,8296.1,4158.2,869.8,0,9961.6,1328.0,9076.6,1983.7,4558.4,5721.4,2312.0,6919.6,9972.8,7320.0,7577.8,1221.5,9362.4
Cheektowaga,411.0,5470.5,6187.4,5161.5,5172.0,4851.1,8584.4,9822.1,9445.4,6170.8,8158.0,5863.1,8061.1,8350.7,2375.0,983.9,5767.3,2773.1,1939.6,349.2,5813.5,3542.1,9276.4,2640.8,5487.9,1909.7,4357.5,3663.4,9347.6,6311.4,2407.4,2477.2,698.2,4600.1,8227.8,4403.9,9961.6,0,5705.1,6293.7,662.4,8675.0,2344.8,1452.4,1082.5,7231.3,7211.2,6748.9,7540.3,2746.7
Yonkers,6226.5,5907.0,8914.1,7430.5,2890.1,8835.8,9882.1,5857.4,6884.5,1272.4,4454.2,3823.3,5638.9,4658.5,6959.1,6060.1,9594.6,7096.1,1983.6,8569.7,4760.5,7492.0,6454.4,8882.3,1026.0,4992.8,8932.6,9402.1,3009.2,6327.7,6111.9,7015.2,6300.7,5285.4,9379.1,7940.2,1328.0,5705.1,0,9470.2,779.7,4593.2,6010.0,8114.8,7091.8,8894.7,8233.1,2033.4,3108.0,8701.6
Johnstown,1630.2,4594.8,4018.8,7353.2,5772.9,6976.6,1630.3,3639.5,7988.2,2544.4,2476.7,2908.0,1777.4,2584.7,8129.3,4710.7,2989.0,1142.4,3637.9,623.7,9828.4,4401.4,8927.7,7299.2,7319.7,1229.8,2511.2,7103.3,797.1,493.3,4078.0,6331.6,4064.8,8927.6,3176.3,958.3,9076.6,6293.7,9470.2,0,2220.3,3190.9,9904.2,4605.2,8100.1,5921.9,6619.3,5792.0,1830.9,9231.5
New York City,5783.2,2546.1,1223.4,8161.5,1682.6,7882.4,9789.3,1886.4,5262.0,2372.4,3847.1,9853.8,4599.8,7473.0,7797.8,7770.3,6117.1,3881.2,861.7,8397.4,2343.0,8224.7,9842.2,6475.1,7971.6,6081.1,5191.7,73.6,6080.7,4302.4,8593.6,8300.5,9060.4,8137.3,7947.4,7486.9,1983.7,662.4,779.7,2220.3,0,1014.3,9079.9,9364.5,3722.3,3344.9,8860.4,5364.7,7749.7,3858.5
Lake Placid,9972.9,3202.1,2314.5,8376.9,2014.7,1592.0,3391.5,2806.2,6530.7,7392.9,487.9,8781.2,4213.1,2219.8,5281.5,6806.4,5999.7,7136.1,9097.2,332.4,4665.7,2075.5,3241.5,2612.5,9528.2,2859.5,612.0,6776.1,8804.4,7394.2,2332.4,1073.0,5111.7,4805.5,8361.7,1819.3,4558.4,8675.0,4593.2,3190.9,1014.3,0,8656.7,2686.6,4755.4,7671.2,981.7,1537.4,6704.9,3878.7
Hempstead,5270.7,3294.7,4687.3,3639.4,4848.1,3515.7,7591.3,7373.5,7935.8,8464.2,4397.9,5436.6,7007.3,5550.1,177.8,4234.4,9754.3,7156.7,7644.7,4132.3,9690.3,5694.3,2700.0,6210.2,8353.1,2655.6,2817.8,6664.3,3273.8,2898.5,4475.7,5844.4,3619.9,3289.5,7579.3,2278.9,5721.4,2344.8,6010.0,9904.2,9079.9,8656.7,0,4210.7,7554.0,9778.5,7061.4,1991.0,40.5,4984.4
Elmira,6206.2,52.1,2297.2,168.7,4671.7,5673.3,7960.3,7863.9,3610.9,2695.3,9223.1,9134.2,13.2,2846.3,330.9,5675.3,9575.8,6785.9,6471.1,9639.6,3387.6,7760.6,6233.8,1179.0,5660.4,3545.0,2598.0,6734.2,9837.6,4240.1,8469.0,9933.3,6110.5,850.3,2103.3,2708.7,2312.0,1452.4,8114.8,4605.2,9364.5,2686.6,4210.7,0,6663.8,5894.5,4186.9,8720.2,6744.0,7739.5
Chautauqua,5971.6,2953.6,9128.8,2488.8,3539.2,196.1,490.7,6749.0,1002.0,9263.5,5983.9,9183.0,9078.1,6373.6,649.5,2966.2,4280.5,6739.4,9188.7,8895.9,978.7,8765.3,6523.2,4545.6,2295.0,408.4,4623.6,8620.3,9275.8,2905.4,8879.6,1609.0,9785.2,3212.3,324.2,9114.0,6919.6,1082.5,7091.8,8100.1,3722.3,4755.4,7554.0,6663.8,0,4071.0,969.9,128.6,7610.2,9738.3
Bedford,3735.1,4696.6,267.8,309.7,7532.3,7546.4,8131.3,9308.1,6596.0,4476.2,7993.6,488.3,2204.1,4073.0,4449.4,9246.3,4051.0,5830.7,8209.4,8740.5,1582.1,9316.6,5280.5,3396.3,5780.5,2628.0,8459.2,5996.7,1069.1,1355.8,899.1,9456.0,2032.8,3248.7,7923.8,6310.3,9972.8,7231.3,8894.7,5921.9,3344.9,7671.2,9778.5,5894.5,4071.0,0,6084.1,4721.3,8059.4,6751.5
Hudson,6691.9,2660.0,6601.1,5489.3,8951.1,8625.4,1105.6,4329.9,2236.4,7623.9,3573.7,9324.2,9946.7,371.0,164.7,295.2,8760.4,8030.6,3504.2,4141.6,447.1,6815.7,5963.3,1420.9,8576.5,4270.6,9989.4,5368.8,8278.0,7045.2,7309.0,6299.6,6732.2,1798.5,8647.8,6866.6,7320.0,7211.2,8233.1,6619.3,8860.4,981.7,7061.4,4186.9,969.9,6084.1,0,8901.7,4388.9,3417.4
West Seneca,1821.1,3132.6,8984.8,3703.9,4416.1,7638.3,3999.9,8725.0,8388.5,1988.9,3625.4,3774.6,4722.6,5376.6,1201.7,91.4,7033.0,6053.4,1497.5,2396.4,6864.5,6976.9,2771.5,3128.2,3331.1,947.3,4872.5,9640.5,9398.0,3479.3,5446.1,8916.9,9738.1,4175.9,9082.0,3736.3,7577.8,6748.9,2033.4,5792.0,5364.7,1537.4,1991.0,8720.2,128.6,4721.3,8901.7,0,8758.8,7983.0
Ossining,4962.3,5942.8,3979.9,443.5,3117.1,7687.9,6152.7,7061.1,9676.1,6333.2,4691.4,8730.9,1804.2,9081.8,2605.7,2451.2,320.2,9902.5,5322.2,5711.4,660.8,6157.6,9036.7,1035.5,9819.7,9534.6,3590.9,1596.2,5914.0,1935.6,7327.8,4233.1,9835.3,9693.0,6002.3,7413.7,1221.5,7540.3,3108.0,1830.9,7749.7,6704.9,40.5,6744.0,7610.2,8059.4,4388.9,8758.8,0,7396.9
Hyde Park,393.0,3613.8,499.0,6929.7,8437.8,8727.3,4671.3,5264.1,5787.6,5398.4,9885.3,443.7,4658.8,9399.9,9820.0,595.2,6627.7,452.3,283.2,236.6,684.1,9049.5,1835.6,7415.4,3983.1,1857.3,5976.6,4415.7,9975.6,4477.4,8047.8,2415.4,769.2,4048.2,9002.8,7668.4,9362.4,2746.7,8701.6,9231.5,3858.5,3878.7,4984.4,7739.5,9738.3,6751.5,3417.4,7983.0,7396.9,0
