CSV,Herkimer,Buffalo,Ticonderoga,Rotterdam,Stony Brook,Poughkeepsie,Batavia,Cooperstown,Dunkirk,Beacon,Levittown,Newburgh,Watkins Glen,New Rochelle,Harlem,Clinton,Oyster Bay,Bedford,Watervliet,Olean,Ilion,New Paltz,Palmyra,Saratoga Springs,Troy,Hudson,Lockport,Gloversville,Chautauqua,Jamestown,Elmira,Rome,White Plains,Corning,Plattsburgh,Queens,Garden City,Staten Island,Johnstown,Niagara Falls,Sag Harbor,Ithaca,Ossining,Mineola,New York City,Coney Island,Auburn,Oswego,Lackawanna,Rensselaer
Levittown,8605.0,5735.6,5233.0,2643.4,5411.5,46.5,8239.6,6305.7,4062.4,2840.7,0,7501.9,8989.6,4824.1,4088.1,502.8,8143.8,6036.4,3991.2,1867.8,6056.1,4464.9,7296.6,1253.9,1255.0,9108.8,5300.5,9911.4,287.2,5799.6,6291.4,1221.4,7535.2,3753.3,727.3,6514.2,857.6,4777.3,9257.1,2355.4,7247.8,8524.3,5576.8,2930.8,2535.8,8223.5,8134.8,3897.3,1911.4,6815.7
Newburgh,7706.6,5520.5,3496.6,9185.4,6233.7,4573.6,5973.4,2022.7,2904.7,45.1,7501.9,0,6287.7,562.6,6623.2,5002.8,5309.1,539.8,7809.4,1314.7,3364.5,8025.8,4749.1,1311.1,8846.8,6242.3,2160.2,9191.7,2909.3,37.3,4051.1,8509.1,9219.0,2964.1,7991.8,4042.8,3157.0,3509.7,3174.8,2898.8,5289.3,6089.0,520.9,3983.9,3894.0,1342.6,2019.6,8181.2,9057.0,2717.3
Watkins Glen,2120.2,6812.1,8617.2,8232.6,953.2,1677.9,6736.1,8425.3,1023.3,2973.0,8989.6,6287.7,0,8983.2,5252.7,8838.1,4946.2,7161.9,2432.5,5562.3,7564.3,1927.7,3188.7,7741.9,3042.4,7442.6,2613.4,3939.8,5211.6,3097.7,5653.5,3225.6,3282.3,5769.1,308.5,754.9,1275.7,6010.9,6992.2,8370.1,9078.4,3747.8,7191.8,6933.8,1559.8,2137.2,2487.2,2066.2,1048.9,5976.4
New Rochelle,6077.8,9639.4,2983.8,1218.5,3495.3,7456.7,9441.4,6437.7,7675.8,2562.2,4824.1,562.6,8983.2,0,4830.1,1007.9,6285.6,8960.8,5001.9,6800.9,877.1,2391.1,1490.2,4494.3,85.9,1676.9,702.2,6938.0,4750.2,579.9,5647.1,471.2,562.9,9551.8,8208.4,8398.7,1382.5,2353.4,6133.6,1602.2,2787.2,4173.3,729.3,879.0,4616.4,2999.5,7505.7,9618.3,4248.9,7026.0
Harlem,9119.9,722.5,1123.8,2827.9,4526.8,5306.5,715.9,2256.1,1820.0,4534.7,4088.1,6623.2,5252.7,4830.1,0,5015.5,7077.3,4690.8,27.4,7908.2,6249.8,8180.7,3631.5,4051.6,1454.2,2499.1,8919.4,5309.8,734.7,9821.4,4247.4,9459.9,4833.0,5061.4,3374.1,6858.4,5121.5,5754.8,228.2,1670.5,9323.5,8833.5,6619.2,839.8,5703.5,8409.0,8560.4,3325.5,3666.0,2647.5
Clinton,2614.1,6032.4,7722.7,8376.9,23.4,8886.2,2592.3,766.8,3369.4,4800.0,502.8,5002.8,8838.1,1007.9,5015.5,0,2579.2,2559.7,2332.9,5041.3,6637.1,7110.2,478.4,419.5,6140.0,1497.2,4470.9,5292.5,9967.7,5594.4,3675.6,2918.1,9733.0,8457.9,2171.3,7933.2,5996.5,7172.1,2466.8,3943.3,3992.2,7410.7,4705.4,6683.7,5931.7,3340.7,77.7,8428.9,2540.9,89.7
Oyster Bay,84.3,6612.8,5937.4,5565.7,3831.9,6595.5,6189.6,567.5,7837.6,3578.7,8143.8,5309.1,4946.2,6285.6,7077.3,2579.2,0,9921.6,2005.2,820.0,1767.0,8408.4,8020.6,1699.6,9156.5,3395.5,5085.7,9717.6,7345.3,2957.2,1242.0,8369.0,7910.3,8027.9,8644.4,2338.5,6204.2,5281.0,4899.1,6188.6,7895.8,5377.5,6205.4,7016.0,4527.9,3504.7,2799.7,7675.0,3812.7,7643.8
Bedford,3135.1,9185.8,2445.3,9526.5,7083.4,8487.8,5870.8,8385.5,1622.0,605.7,6036.4,539.8,7161.9,8960.8,4690.8,2559.7,9921.6,0,9357.8,54.6,586.9,2666.0,5456.2,5265.3,2012.4,6605.7,2698.9,6337.2,5125.1,2237.6,1368.3,4317.3,9642.8,7679.1,8952.3,5893.8,5492.2,3001.9,5072.2,2332.6,6941.8,2627.0,1419.8,1887.4,6355.6,8581.7,5647.3,6711.6,2600.2,2733.6
Watervliet,5832.7,3900.0,7588.5,9588.3,9485.2,3048.1,1359.1,3674.4,4240.4,9936.7,3991.2,7809.4,2432.5,5001.9,27.4,2332.9,2005.2,9357.8,0,852.2,3594.5,1089.1,2707.4,8689.4,5419.8,9528.3,5052.7,2649.5,4738.1,2343.0,9732.8,6352.3,9647.9,4356.6,5816.4,1877.2,711.6,861.1,5896.2,2015.5,8691.0,637.2,1735.7,5361.9,7925.5,2772.6,6575.4,657.9,4810.2,9526.8
Olean,7000.5,9815.9,4543.0,2270.4,3482.6,1379.3,5030.5,4936.5,2256.2,6751.4,1867.8,1314.7,5562.3,6800.9,7908.2,5041.3,820.0,54.6,852.2,0,9425.3,8748.4,9173.5,5801.9,5376.8,356.1,6147.5,9823.9,2249.7,6672.1,8919.0,3425.3,9322.2,9980.2,6914.6,7326.2,4996.2,1177.1,2386.9,5908.1,6835.0,4090.9,1870.0,7436.8,990.7,2741.0,5832.9,6044.0,1761.1,9616.1
Ilion,2046.1,6570.3,291.4,8974.1,5790.4,940.4,2378.1,3809.9,8828.7,7512.4,6056.1,3364.5,7564.3,877.1,6249.8,6637.1,1767.0,586.9,3594.5,9425.3,0,7806.7,8351.0,5068.6,6491.7,4629.1,1659.8,7710.0,7165.8,1184.8,426.3,3040.3,4784.1,4389.0,861.8,9832.0,717.3,3181.4,2317.8,2261.6,8636.0,8891.9,801.7,7376.7,9901.8,9247.3,1271.4,1822.3,6694.7,2866.5
New Paltz,9161.9,5684.9,5336.9,6403.2,1241.2,5404.7,498.4,3468.2,4790.0,3446.7,4464.9,8025.8,1927.7,2391.1,8180.7,7110.2,8408.4,2666.0,1089.1,8748.4,7806.7,0,4552.4,724.0,1938.3,2672.5,7549.5,5007.1,1589.0,7512.3,1313.3,269.2,481.6,4951.3,7703.8,1359.6,9932.8,2978.0,3350.5,341.5,5507.1,6688.6,5458.5,5988.6,302.9,1630.0,8032.8,8037.6,2575.2,4338.2
Palmyra,1512.7,4247.9,3698.8,4822.0,4816.5,8820.7,5889.1,7930.6,1792.9,9982.8,7296.6,4749.1,3188.7,1490.2,3631.5,478.4,8020.6,5456.2,2707.4,9173.5,8351.0,4552.4,0,7132.2,3455.8,853.6,9373.8,4921.5,1200.5,7493.4,2336.9,1778.7,6472.3,62.5,5705.4,9827.0,261.4,6231.4,5439.8,2265.4,1914.6,2639.7,8298.8,9718.7,7193.6,2383.9,5089.5,6264.8,7868.5,6406.3
Saratoga Springs,3274.5,4742.4,7079.0,7029.4,5127.3,8190.4,4024.7,9318.2,3754.4,6583.4,1253.9,1311.1,7741.9,4494.3,4051.6,419.5,1699.6,5265.3,8689.4,5801.9,5068.6,724.0,7132.2,0,9171.4,1034.5,9253.8,8441.5,7915.9,3756.0,6200.7,4224.9,8889.0,1440.2,2872.7,8312.3,7689.1,7307.1,5387.9,5536.9,4896.5,4461.3,4283.8,8583.8,7185.8,2498.2,8696.0,9465.8,6719.1,1198.7
Troy,9160.7,6002.2,5781.9,43.0,1022.7,4981.3,6969.4,8931.0,2735.1,1305.1,1255.0,8846.8,3042.4,85.9,1454.2,6140.0,9156.5,2012.4,5419.8,5376.8,6491.7,1938.3,3455.8,9171.4,0,4594.6,6035.1,6590.4,5142.1,3796.6,9506.6,484.0,5610.4,4459.2,1162.9,3034.0,4384.2,6807.2,7554.7,2236.1,7112.4,5150.0,2948.3,5406.4,2567.5,980.6,7930.4,264.5,7585.4,8765.0
Hudson,1658.6,2238.1,6754.9,4012.1,3460.2,928.7,8210.6,1233.6,843.8,9583.4,9108.8,6242.3,7442.6,1676.9,2499.1,1497.2,3395.5,6605.7,9528.3,356.1,4629.1,2672.5,853.6,1034.5,4594.6,0,5128.1,7561.4,2882.7,1748.0,2326.2,2705.9,4492.2,8130.4,2616.0,6556.0,1457.2,883.1,4644.3,8959.8,1215.6,203.1,2569.4,2167.7,2448.0,6703.9,2301.2,3867.8,8870.8,6605.4
Lockport,2407.8,4312.4,352.9,7773.1,8165.9,5542.5,2985.2,805.9,6839.7,7680.2,5300.5,2160.2,2613.4,702.2,8919.4,4470.9,5085.7,2698.9,5052.7,6147.5,1659.8,7549.5,9373.8,9253.8,6035.1,5128.1,0,2576.7,104.9,658.8,9838.4,1606.1,327.7,5015.8,8467.9,1437.9,2910.5,4471.1,2670.0,9519.3,8748.7,2241.9,441.4,8830.3,5459.4,1467.9,5495.2,226.7,5857.7,8458.2
Gloversville,3377.8,2414.8,9176.5,6815.1,4617.2,9712.3,1864.2,2315.8,9401.6,4061.2,9911.4,9191.7,3939.8,6938.0,5309.8,5292.5,9717.6,6337.2,2649.5,9823.9,7710.0,5007.1,4921.5,8441.5,6590.4,7561.4,2576.7,0,7133.1,8657.7,7175.5,3962.5,2195.9,2117.2,6181.9,8550.9,3594.9,6095.8,2329.5,6113.5,4847.2,6113.9,4315.6,2277.0,4074.4,8410.8,8137.6,791.2,3855.4,7222.7
Chautauqua,5474.2,5520.9,2411.3,5125.9,1782.4,153.6,2428.5,5796.0,5464.6,6430.5,287.2,2909.3,5211.6,4750.2,734.7,9967.7,7345.3,5125.1,4738.1,2249.7,7165.8,1589.0,1200.5,7915.9,5142.1,2882.7,104.9,7133.1,0,9937.6,8477.4,5445.3,7691.0,6617.6,6617.2,1987.3,3023.4,25.1,9985.1,8608.0,1937.6,701.4,5213.2,5209.2,8325.5,7894.7,8177.5,8216.4,9067.0,4484.5
Jamestown,1441.0,2558.8,3094.8,5647.4,7067.0,1028.7,443.4,6217.5,1887.6,5701.2,5799.6,37.3,3097.7,579.9,9821.4,5594.4,2957.2,2237.6,2343.0,6672.1,1184.8,7512.3,7493.4,3756.0,3796.6,1748.0,658.8,8657.7,9937.6,0,545.7,5488.7,3632.6,3538.0,6101.8,6939.2,564.9,9293.3,3245.2,3419.1,4421.6,9879.8,5161.2,960.0,4562.6,7686.8,2306.0,4820.1,5584.2,6801.1
Elmira,196.1,9284.1,3297.2,7404.8,4865.1,6763.5,7361.4,3640.8,5808.6,9125.3,6291.4,4051.1,5653.5,5647.1,4247.4,3675.6,1242.0,1368.3,9732.8,8919.0,426.3,1313.3,2336.9,6200.7,9506.6,2326.2,9838.4,7175.5,8477.4,545.7,0,2730.8,8166.1,1906.8,2664.8,821.6,3130.9,8508.7,9156.0,2939.8,6678.9,8649.4,5027.2,3872.6,5249.0,7772.8,9203.8,5262.1,5702.3,2159.1
Rome,4446.2,4733.6,7607.1,3321.1,3404.6,3029.6,7339.9,1831.0,378.2,931.2,1221.4,8509.1,3225.6,471.2,9459.9,2918.1,8369.0,4317.3,6352.3,3425.3,3040.3,269.2,1778.7,4224.9,484.0,2705.9,1606.1,3962.5,5445.3,5488.7,2730.8,0,9271.0,4807.0,1675.4,5060.0,4480.1,3524.5,3224.6,5674.7,7931.7,6515.1,8839.2,7786.5,4848.4,2649.1,2329.4,1790.4,3535.3,6687.6
White Plains,8537.7,8316.1,8297.7,3680.9,3428.3,4533.3,114.9,5426.1,1301.1,1317.0,7535.2,9219.0,3282.3,562.9,4833.0,9733.0,7910.3,9642.8,9647.9,9322.2,4784.1,481.6,6472.3,8889.0,5610.4,4492.2,327.7,2195.9,7691.0,3632.6,8166.1,9271.0,0,5719.8,8735.2,812.0,5785.6,2302.2,352.0,5581.0,2487.0,3582.1,4746.6,9018.1,8227.0,260.6,1458.2,957.0,4255.4,6532.4
Corning,20.9,8855.6,5933.9,172.3,9484.2,6506.0,7602.0,2352.7,7555.4,2180.7,3753.3,2964.1,5769.1,9551.8,5061.4,8457.9,8027.9,7679.1,4356.6,9980.2,4389.0,4951.3,62.5,1440.2,4459.2,8130.4,5015.8,2117.2,6617.6,3538.0,1906.8,4807.0,5719.8,0,2108.0,270.7,7345.8,3170.9,2324.2,3532.2,1540.5,4867.4,5236.9,6377.7,752.4,9389.7,3415.2,5886.2,3073.1,2769.8
Plattsburgh,2211.2,8405.7,4634.0,3429.9,376.7,3832.1,7317.6,228.3,9894.6,7723.6,727.3,7991.8,308.5,8208.4,3374.1,2171.3,8644.4,8952.3,5816.4,6914.6,861.8,7703.8,5705.4,2872.7,1162.9,2616.0,8467.9,6181.9,6617.2,6101.8,2664.8,1675.4,8735.2,2108.0,0,1420.8,1042.1,1234.1,8484.5,8749.8,3047.1,2255.5,5874.2,1241.5,6912.0,7282.3,1625.4,365.5,7321.1,5841.7
Queens,1635.6,4069.6,6659.3,430.7,1169.5,6196.1,3646.6,7758.7,2824.5,245.3,6514.2,4042.8,754.9,8398.7,6858.4,7933.2,2338.5,5893.8,1877.2,7326.2,9832.0,1359.6,9827.0,8312.3,3034.0,6556.0,1437.9,8550.9,1987.3,6939.2,821.6,5060.0,812.0,270.7,1420.8,0,3973.7,1754.5,2312.9,3600.0,9133.7,4537.7,6593.1,4383.1,4482.1,6395.5,1371.5,1245.5,1442.5,9096.6
Garden City,6398.4,6974.3,4488.3,1779.9,351.6,2014.3,5859.9,134.7,3335.4,3335.1,857.6,3157.0,1275.7,1382.5,5121.5,5996.5,6204.2,5492.2,711.6,4996.2,717.3,9932.8,261.4,7689.1,4384.2,1457.2,2910.5,3594.9,3023.4,564.9,3130.9,4480.1,5785.6,7345.8,1042.1,3973.7,0,3081.7,6216.8,9028.9,5395.1,1854.3,2141.5,7450.0,424.4,7693.4,7244.8,9138.3,3645.9,8430.4
Staten Island,1170.1,5521.2,9928.2,4579.2,4401.3,893.0,3181.1,2461.3,6584.8,3437.9,4777.3,3509.7,6010.9,2353.4,5754.8,7172.1,5281.0,3001.9,861.1,1177.1,3181.4,2978.0,6231.4,7307.1,6807.2,883.1,4471.1,6095.8,25.1,9293.3,8508.7,3524.5,2302.2,3170.9,1234.1,1754.5,3081.7,0,3208.2,5677.1,1257.5,8591.8,8132.5,2760.2,712.1,778.5,4624.8,1514.6,7521.2,4503.8
Johnstown,5974.2,565.7,6126.0,9937.4,5243.5,5575.8,9494.3,4304.3,8026.9,9777.3,9257.1,3174.8,6992.2,6133.6,228.2,2466.8,4899.1,5072.2,5896.2,2386.9,2317.8,3350.5,5439.8,5387.9,7554.7,4644.3,2670.0,2329.5,9985.1,3245.2,9156.0,3224.6,352.0,2324.2,8484.5,2312.9,6216.8,3208.2,0,6838.2,4140.1,6619.1,2422.9,93.4,2155.4,7334.4,959.6,4847.7,9909.7,2575.0
Niagara Falls,9861.3,8978.1,5024.6,568.4,2350.2,3525.8,2313.0,4561.5,5875.8,2693.3,2355.4,2898.8,8370.1,1602.2,1670.5,3943.3,6188.6,2332.6,2015.5,5908.1,2261.6,341.5,2265.4,5536.9,2236.1,8959.8,9519.3,6113.5,8608.0,3419.1,2939.8,5674.7,5581.0,3532.2,8749.8,3600.0,9028.9,5677.1,6838.2,0,815.6,5416.5,3800.9,6250.0,7047.2,8276.4,2933.3,881.5,9269.3,235.9
Sag Harbor,1482.2,5002.7,5108.5,1164.4,218.1,4275.8,3537.5,88.6,6310.2,5970.6,7247.8,5289.3,9078.4,2787.2,9323.5,3992.2,7895.8,6941.8,8691.0,6835.0,8636.0,5507.1,1914.6,4896.5,7112.4,1215.6,8748.7,4847.2,1937.6,4421.6,6678.9,7931.7,2487.0,1540.5,3047.1,9133.7,5395.1,1257.5,4140.1,815.6,0,4269.3,2840.2,8105.4,2636.3,8522.3,6196.5,2165.1,7569.5,3009.5
Ithaca,8683.4,6636.9,6673.4,3270.2,6398.2,582.1,6322.1,9390.7,1966.8,7341.3,8524.3,6089.0,3747.8,4173.3,8833.5,7410.7,5377.5,2627.0,637.2,4090.9,8891.9,6688.6,2639.7,4461.3,5150.0,203.1,2241.9,6113.9,701.4,9879.8,8649.4,6515.1,3582.1,4867.4,2255.5,4537.7,1854.3,8591.8,6619.1,5416.5,4269.3,0,4422.6,4630.7,7957.0,1266.6,1582.2,8225.0,6840.7,5452.2
Ossining,3707.6,5785.0,7403.3,572.7,6173.0,6747.3,193.6,79.4,7830.2,9784.4,5576.8,520.9,7191.8,729.3,6619.2,4705.4,6205.4,1419.8,1735.7,1870.0,801.7,5458.5,8298.8,4283.8,2948.3,2569.4,441.4,4315.6,5213.2,5161.2,5027.2,8839.2,4746.6,5236.9,5874.2,6593.1,2141.5,8132.5,2422.9,3800.9,2840.2,4422.6,0,1631.7,2290.0,8017.6,788.3,6689.0,4803.1,7094.4
Mineola,44.5,4388.0,834.9,5666.5,5278.8,7346.1,6411.4,3429.0,3789.1,9944.7,2930.8,3983.9,6933.8,879.0,839.8,6683.7,7016.0,1887.4,5361.9,7436.8,7376.7,5988.6,9718.7,8583.8,5406.4,2167.7,8830.3,2277.0,5209.2,960.0,3872.6,7786.5,9018.1,6377.7,1241.5,4383.1,7450.0,2760.2,93.4,6250.0,8105.4,4630.7,1631.7,0,1353.6,7012.8,492.8,5306.2,804.6,4076.6
New York City,3809.8,9466.0,5491.8,754.0,5716.2,3589.6,4198.5,8864.6,2268.1,1911.5,2535.8,3894.0,1559.8,4616.4,5703.5,5931.7,4527.9,6355.6,7925.5,990.7,9901.8,302.9,7193.6,7185.8,2567.5,2448.0,5459.4,4074.4,8325.5,4562.6,5249.0,4848.4,8227.0,752.4,6912.0,4482.1,424.4,712.1,2155.4,7047.2,2636.3,7957.0,2290.0,1353.6,0,9672.3,4519.9,281.3,8464.1,5272.2
Coney Island,2677.1,2093.8,5072.0,5779.9,5786.5,5750.3,5737.6,5777.7,2551.3,282.0,8223.5,1342.6,2137.2,2999.5,8409.0,3340.7,3504.7,8581.7,2772.6,2741.0,9247.3,1630.0,2383.9,2498.2,980.6,6703.9,1467.9,8410.8,7894.7,7686.8,7772.8,2649.1,260.6,9389.7,7282.3,6395.5,7693.4,778.5,7334.4,8276.4,8522.3,1266.6,8017.6,7012.8,9672.3,0,1010.5,6910.8,7400.4,8702.0
Auburn,9944.3,9165.5,2812.1,9857.3,7213.7,1501.9,4769.1,3028.9,6346.2,4255.8,8134.8,2019.6,2487.2,7505.7,8560.4,77.7,2799.7,5647.3,6575.4,5832.9,1271.4,8032.8,5089.5,8696.0,7930.4,2301.2,5495.2,8137.6,8177.5,2306.0,9203.8,2329.4,1458.2,3415.2,1625.4,1371.5,7244.8,4624.8,959.6,2933.3,6196.5,1582.2,788.3,492.8,4519.9,1010.5,0,3839.5,1106.3,9425.6
Oswego,9976.8,4396.0,2792.2,4372.8,6426.6,9555.0,4392.3,5951.8,5275.7,4185.3,3897.3,8181.2,2066.2,9618.3,3325.5,8428.9,7675.0,6711.6,657.9,6044.0,1822.3,8037.6,6264.8,9465.8,264.5,3867.8,226.7,791.2,8216.4,4820.1,5262.1,1790.4,957.0,5886.2,365.5,1245.5,9138.3,1514.6,4847.7,881.5,2165.1,8225.0,6689.0,5306.2,281.3,6910.8,3839.5,0,1246.9,4876.4
Lackawanna,8815.1,6190.6,4940.9,2727.5,3546.7,9528.5,251.4,2319.3,9688.6,5376.6,1911.4,9057.0,1048.9,4248.9,3666.0,2540.9,3812.7,2600.2,4810.2,1761.1,6694.7,2575.2,7868.5,6719.1,7585.4,8870.8,5857.7,3855.4,9067.0,5584.2,5702.3,3535.3,4255.4,3073.1,7321.1,1442.5,3645.9,7521.2,9909.7,9269.3,7569.5,6840.7,4803.1,804.6,8464.1,7400.4,1106.3,1246.9,0,8626.0
Rensselaer,3094.3,9884.8,8199.3,1164.7,7447.5,9532.3,9060.4,6054.9,9486.5,3315.6,6815.7,2717.3,5976.4,7026.0,2647.5,89.7,7643.8,2733.6,9526.8,9616.1,2866.5,4338.2,6406.3,1198.7,8765.0,6605.4,8458.2,7222.7,4484.5,6801.1,2159.1,6687.6,6532.4,2769.8,5841.7,9096.6,8430.4,4503.8,2575.0,235.9,3009.5,5452.2,7094.4,4076.6,5272.2,8702.0,9425.6,4876.4,8626.0,0
