CSV,White Plains,Palmyra,Hempstead,Ilion,Nyack,Oneonta,Oyster Bay,Ithaca,Ogdensburg,Batavia,Mamaroneck,Yonkers,Johnstown,Bedford,Gloversville,New Windsor,Watkins Glen,Cortland,Stony Point,Harlem,Mineola,Albany,Great Neck,Eastchester,Coney Island,Tarrytown,Potsdam,Auburn,Staten Island,Geneva,Rochester,Cheektowaga,Sag Harbor,Syracuse,West Seneca,Lake Placid,Woodstock,Utica,Elmira,Tonawanda,Fredonia,Dunkirk,Scarsdale,Garden City,Massena,Cohoes,Clinton,Beacon,New Paltz
Mamaroneck,9160.9,133.7,4754.1,4529.3,8452.5,2117.0,5864.1,1977.7,6950.5,4403.5,0,8668.3,8638.4,9214.0,8093.3,3953.6,1182.5,1189.3,1728.0,7564.5,1866.7,6284.6,6227.2,4676.0,1810.1,636.9,9743.4,927.3,1772.0,1045.3,9394.5,8310.7,5733.8,442.7,2726.9,6625.3,9040.4,2539.2,6162.6,9978.9,5785.3,978.8,680.6,1932.7,4340.1,3086.3,1842.8,8634.7,7317.3
Yonkers,6017.8,3305.5,9377.0,1221.5,1999.5,7179.6,3122.2,3446.5,398.1,4383.9,8668.3,0,9102.7,2983.5,6107.5,9015.2,8249.1,621.1,1414.4,2852.9,8757.9,3825.4,5422.2,6099.1,7969.4,783.6,6070.8,4105.1,9618.6,8055.4,2348.2,2363.8,7005.4,6799.7,3128.5,587.1,4215.3,3323.7,6664.9,7979.6,1861.1,4381.4,6672.4,2020.0,3299.7,2314.6,360.9,5255.9,893.7
Johnstown,6139.3,217.1,9365.2,1946.0,272.1,8095.4,7157.8,1384.1,2113.1,8304.5,8638.4,9102.7,0,9227.3,3840.3,5494.7,3578.3,3700.4,3149.8,7094.1,5140.4,2460.2,5274.8,6719.0,744.9,1271.6,259.0,1140.4,3846.6,2068.6,909.3,6044.1,2419.9,6583.4,8071.1,2722.3,2514.1,7647.4,8532.6,6929.9,5790.7,4118.6,2681.9,3814.2,6280.2,288.5,398.8,2874.1,940.3
Bedford,7335.2,6132.7,872.9,1908.4,6524.0,1460.6,5292.7,2831.5,99.6,1955.5,9214.0,2983.5,9227.3,0,6350.8,6590.3,6452.6,3679.1,849.3,272.9,5436.5,9792.0,3183.4,5023.7,9196.3,4976.5,3350.8,5089.6,2883.3,850.2,6000.7,3596.5,1131.0,5509.5,7068.3,8582.0,6540.3,123.4,5438.5,2300.9,2853.4,835.1,6286.7,2972.3,780.5,2800.6,783.8,1719.0,5856.0
Gloversville,7046.4,7076.7,5734.6,8362.1,4943.9,9940.6,9087.1,4633.8,9380.6,4340.6,8093.3,6107.5,3840.3,6350.8,0,1484.2,8607.0,5257.6,7372.7,5381.8,7573.9,3645.0,7783.8,8079.9,9370.4,4353.9,7574.7,5162.3,7610.2,2943.5,4060.5,7316.1,1599.1,8476.5,7877.5,1717.3,2237.0,2435.8,5744.2,7422.9,2385.3,3348.4,8388.1,9293.2,4629.4,6356.5,5406.6,2596.3,6233.1
New Windsor,3732.5,1989.6,7814.1,6156.1,9435.5,9785.6,8862.5,9147.8,5691.6,5425.7,3953.6,9015.2,5494.7,6590.3,1484.2,0,5843.4,2330.1,1159.6,8222.3,7998.9,6294.6,7817.4,3992.4,1139.8,1084.1,3036.9,3983.7,2013.2,5870.9,942.2,5758.9,7597.2,6656.9,6673.8,9296.5,4606.1,8819.2,4319.6,9667.4,3712.1,7327.0,8381.1,4599.0,3893.9,553.4,431.6,1328.3,1358.7
Watkins Glen,4004.6,8972.5,9665.1,6090.7,5769.1,5333.3,2125.5,3536.4,6480.1,2798.9,1182.5,8249.1,3578.3,6452.6,8607.0,5843.4,0,606.5,8055.5,1183.7,4924.5,9804.9,3720.2,4648.4,8120.7,4185.6,2534.2,1352.3,1543.9,5641.4,7815.1,4271.7,3093.1,2178.8,9448.4,4175.1,7466.9,2899.4,8089.7,6530.6,4267.1,120.3,4799.7,2252.2,7265.1,3560.7,121.2,3557.9,8197.2
Cortland,7581.6,3745.6,4149.5,1247.3,1457.1,4594.6,5038.8,9132.8,757.7,8302.1,1189.3,621.1,3700.4,3679.1,5257.6,2330.1,606.5,0,4986.6,1322.6,1352.4,3607.1,4158.5,1488.3,5209.2,8112.9,6996.6,1562.2,5103.6,8408.7,1028.0,4897.6,8594.2,6408.4,4977.1,4772.3,8010.8,5404.7,6200.0,9985.9,4367.3,9654.2,4765.2,2076.7,1225.2,3962.0,4453.6,2203.9,3755.3
Stony Point,4669.5,9139.2,4337.8,4223.4,2778.3,5980.4,8995.0,6782.6,8514.1,8276.6,1728.0,1414.4,3149.8,849.3,7372.7,1159.6,8055.5,4986.6,0,6443.4,185.5,8369.9,8828.9,1922.7,2850.4,2100.3,8692.7,4601.7,6891.1,828.6,5358.4,2275.0,3366.9,5100.7,8127.7,3079.4,7070.4,2026.9,1782.0,6462.2,8763.3,1908.2,7713.7,6218.5,7636.2,1466.8,2056.8,9930.4,4572.3
Harlem,7980.3,9887.5,3634.7,5447.0,5546.9,7071.4,374.8,3289.3,2842.7,5405.0,7564.5,2852.9,7094.1,272.9,5381.8,8222.3,1183.7,1322.6,6443.4,0,8286.3,2956.9,2847.4,5199.9,1476.7,3274.3,6572.0,2459.6,6509.4,848.7,968.7,2492.7,7210.6,9517.3,4347.3,3317.9,5427.2,767.6,7101.4,5711.3,9804.8,7457.8,5850.0,203.4,857.1,7425.4,7349.3,8555.1,5609.3
Mineola,9794.3,5929.3,7384.5,4603.8,5053.1,2379.1,4791.8,6355.3,8721.4,6392.3,1866.7,8757.9,5140.4,5436.5,7573.9,7998.9,4924.5,1352.4,185.5,8286.3,0,5225.6,5727.0,5274.3,8414.5,6878.4,8517.0,2023.0,3681.9,6049.9,2877.7,1236.1,820.3,4784.3,1507.9,4273.4,8721.3,3965.6,6190.7,66.8,7105.9,3271.8,6367.0,7245.3,9781.7,7162.0,1061.3,702.4,6486.7
Albany,9656.2,4984.4,6830.6,7276.7,1811.3,2948.6,1215.3,7710.2,8466.5,1231.0,6284.6,3825.4,2460.2,9792.0,3645.0,6294.6,9804.9,3607.1,8369.9,2956.9,5225.6,0,1007.0,1356.0,220.1,3454.1,1521.6,9746.1,6515.3,6331.3,473.5,4967.2,7407.0,2845.7,6205.8,8149.2,7857.5,9084.0,5950.4,992.8,968.8,1902.2,4156.2,5128.3,6470.3,363.8,4244.4,9381.3,3075.7
Great Neck,2210.6,6514.8,1310.1,6225.3,4585.6,6110.1,5683.1,4629.6,2262.4,2452.8,6227.2,5422.2,5274.8,3183.4,7783.8,7817.4,3720.2,4158.5,8828.9,2847.4,5727.0,1007.0,0,2312.9,9311.2,9078.2,1119.6,7097.2,5474.8,141.2,3189.6,1021.0,8439.4,5633.8,8062.1,6775.6,5974.6,7050.2,3282.6,1599.5,3002.3,9387.2,5623.6,8287.0,9143.5,2095.3,4092.3,3801.5,8924.8
Eastchester,7080.4,3476.7,8637.5,352.2,2900.2,1629.5,4268.5,338.7,1297.9,6886.9,4676.0,6099.1,6719.0,5023.7,8079.9,3992.4,4648.4,1488.3,1922.7,5199.9,5274.3,1356.0,2312.9,0,8327.5,785.8,1523.5,8540.5,2290.1,875.8,4127.1,1526.1,4875.2,4301.4,5616.3,8311.3,6013.6,910.7,3848.0,6248.3,9526.4,6263.4,2082.3,176.2,1439.2,5938.6,6321.3,4326.6,297.9
Coney Island,8902.4,6350.3,7176.9,5912.3,4970.6,1447.6,2689.6,6668.9,9874.1,1549.2,1810.1,7969.4,744.9,9196.3,9370.4,1139.8,8120.7,5209.2,2850.4,1476.7,8414.5,220.1,9311.2,8327.5,0,6680.8,1784.6,6074.4,5569.3,4061.4,297.1,6727.3,7419.1,2922.9,5584.3,8927.0,5538.3,8154.9,7755.6,6711.9,2596.5,7913.2,2172.0,6062.1,7602.5,9378.7,527.2,2264.6,9468.5
Tarrytown,3309.1,5712.7,9200.1,2910.2,1105.3,687.7,5065.9,9828.1,8096.0,8966.6,636.9,783.6,1271.6,4976.5,4353.9,1084.1,4185.6,8112.9,2100.3,3274.3,6878.4,3454.1,9078.2,785.8,6680.8,0,2048.1,1729.9,6707.9,2740.2,3754.8,6733.4,752.8,9376.8,5163.4,3297.1,8011.2,513.2,3403.8,6497.8,6594.2,8298.5,8672.6,462.5,1299.2,798.1,3216.3,2863.7,8568.3
Potsdam,2265.3,3144.9,19.5,6479.1,2529.4,8651.1,8100.1,2211.6,4374.1,1723.3,9743.4,6070.8,259.0,3350.8,7574.7,3036.9,2534.2,6996.6,8692.7,6572.0,8517.0,1521.6,1119.6,1523.5,1784.6,2048.1,0,3735.2,3992.6,8256.4,3480.6,6397.0,3492.3,4827.9,1288.4,532.8,6769.2,5566.8,578.7,981.2,8892.5,1126.7,6817.5,7781.6,9808.7,4016.0,9081.4,8106.8,30.2
Auburn,7048.6,1668.3,7509.1,9663.2,8433.0,6824.7,5997.4,1071.6,6617.6,8929.6,927.3,4105.1,1140.4,5089.6,5162.3,3983.7,1352.3,1562.2,4601.7,2459.6,2023.0,9746.1,7097.2,8540.5,6074.4,1729.9,3735.2,0,8512.7,8843.7,9070.8,5582.2,893.0,7644.1,8988.0,8389.0,7912.8,3805.6,2203.4,8280.4,6726.3,5748.8,5147.4,1116.5,2056.1,2932.9,9376.4,6323.7,6393.8
Staten Island,3722.4,6561.6,7642.7,507.8,4162.0,8314.9,4317.3,206.8,9089.2,4159.8,1772.0,9618.6,3846.6,2883.3,7610.2,2013.2,1543.9,5103.6,6891.1,6509.4,3681.9,6515.3,5474.8,2290.1,5569.3,6707.9,3992.6,8512.7,0,6826.4,9141.9,7468.9,8081.1,1189.1,8584.7,6863.4,3933.6,8640.3,9923.7,1807.8,8385.5,1352.0,7019.8,2518.4,2274.9,9389.0,5062.4,8094.2,8186.8
Geneva,2006.4,8348.5,1473.8,9294.3,6690.4,276.8,4401.5,7698.5,4234.8,4721.7,1045.3,8055.4,2068.6,850.2,2943.5,5870.9,5641.4,8408.7,828.6,848.7,6049.9,6331.3,141.2,875.8,4061.4,2740.2,8256.4,8843.7,6826.4,0,998.0,2102.2,9341.6,3360.6,6228.7,5908.3,5359.5,1834.0,1801.0,4948.7,8555.7,2158.0,721.3,6750.6,1739.3,6891.0,889.3,1951.5,5962.7
Rochester,2226.9,3856.5,7716.0,843.4,3112.4,4534.3,1216.3,3465.3,1570.3,2450.1,9394.5,2348.2,909.3,6000.7,4060.5,942.2,7815.1,1028.0,5358.4,968.7,2877.7,473.5,3189.6,4127.1,297.1,3754.8,3480.6,9070.8,9141.9,998.0,0,4748.5,4851.1,9129.9,6567.4,4402.8,1861.4,8876.0,5864.5,6241.7,9045.3,8788.8,2920.0,8750.6,64.3,5228.5,8462.9,4193.9,2760.7
Cheektowaga,3612.1,2547.0,7381.1,1217.9,3597.2,3492.9,8766.1,7895.5,4521.4,3823.4,8310.7,2363.8,6044.1,3596.5,7316.1,5758.9,4271.7,4897.6,2275.0,2492.7,1236.1,4967.2,1021.0,1526.1,6727.3,6733.4,6397.0,5582.2,7468.9,2102.2,4748.5,0,5874.0,2161.3,9092.5,940.7,3537.9,5772.2,2010.6,6814.0,6773.7,3394.2,8064.1,8134.6,7535.4,4219.7,7522.2,2818.1,8650.8
Sag Harbor,9827.8,8022.3,8610.1,5707.3,4758.0,1956.2,8579.6,4463.3,9577.3,1504.3,5733.8,7005.4,2419.9,1131.0,1599.1,7597.2,3093.1,8594.2,3366.9,7210.6,820.3,7407.0,8439.4,4875.2,7419.1,752.8,3492.3,893.0,8081.1,9341.6,4851.1,5874.0,0,4342.7,1999.8,3221.9,4348.1,3499.9,9970.4,4155.6,563.6,6036.0,176.8,4132.2,8419.0,9019.3,8969.1,2889.7,3665.2
Syracuse,9826.2,1281.3,4474.5,3849.6,9094.7,1345.0,8895.2,4939.1,3245.5,9723.9,442.7,6799.7,6583.4,5509.5,8476.5,6656.9,2178.8,6408.4,5100.7,9517.3,4784.3,2845.7,5633.8,4301.4,2922.9,9376.8,4827.9,7644.1,1189.1,3360.6,9129.9,2161.3,4342.7,0,5198.5,4289.1,6356.0,9651.0,3607.3,8013.0,2514.3,8041.5,7475.1,3682.9,9614.1,5154.4,813.4,9957.8,2343.5
West Seneca,6448.8,6385.7,3105.9,3736.8,4001.9,6254.4,812.6,1342.1,3814.6,8096.4,2726.9,3128.5,8071.1,7068.3,7877.5,6673.8,9448.4,4977.1,8127.7,4347.3,1507.9,6205.8,8062.1,5616.3,5584.3,5163.4,1288.4,8988.0,8584.7,6228.7,6567.4,9092.5,1999.8,5198.5,0,7128.2,2103.3,7395.9,8073.1,6723.0,9749.6,793.0,2857.1,6886.8,6689.2,5828.7,8675.6,8454.9,5358.2
Lake Placid,6525.2,5046.0,1132.4,7369.6,8945.6,5966.6,1621.4,5321.6,6823.0,7326.8,6625.3,587.1,2722.3,8582.0,1717.3,9296.5,4175.1,4772.3,3079.4,3317.9,4273.4,8149.2,6775.6,8311.3,8927.0,3297.1,532.8,8389.0,6863.4,5908.3,4402.8,940.7,3221.9,4289.1,7128.2,0,876.5,3727.2,9930.6,5336.1,2438.5,8962.9,568.1,9788.3,4769.6,6290.1,2160.9,7039.9,3781.0
Woodstock,4247.3,3282.7,2206.8,3444.5,386.9,2095.6,3542.0,5440.8,4183.8,7193.2,9040.4,4215.3,2514.1,6540.3,2237.0,4606.1,7466.9,8010.8,7070.4,5427.2,8721.3,7857.5,5974.6,6013.6,5538.3,8011.2,6769.2,7912.8,3933.6,5359.5,1861.4,3537.9,4348.1,6356.0,2103.3,876.5,0,517.5,5783.7,9558.0,4358.7,9679.2,2224.8,4457.9,5459.1,1019.0,6340.9,2519.3,4701.5
Utica,4246.7,4173.7,7098.0,2239.6,422.6,2682.9,1224.6,8122.6,7804.9,9091.9,2539.2,3323.7,7647.4,123.4,2435.8,8819.2,2899.4,5404.7,2026.9,767.6,3965.6,9084.0,7050.2,910.7,8154.9,513.2,5566.8,3805.6,8640.3,1834.0,8876.0,5772.2,3499.9,9651.0,7395.9,3727.2,517.5,0,2190.7,1033.5,3588.1,4662.1,5496.8,4691.2,1581.3,4924.9,6245.4,5956.8,7387.8
Elmira,8949.3,6957.3,5686.1,9343.2,5022.1,7747.4,6949.7,2993.4,6367.7,5953.6,6162.6,6664.9,8532.6,5438.5,5744.2,4319.6,8089.7,6200.0,1782.0,7101.4,6190.7,5950.4,3282.6,3848.0,7755.6,3403.8,578.7,2203.4,9923.7,1801.0,5864.5,2010.6,9970.4,3607.3,8073.1,9930.6,5783.7,2190.7,0,7191.2,5980.3,9494.9,367.1,657.9,2834.4,6430.2,7171.7,2788.9,6771.2
Tonawanda,4085.0,562.7,178.3,7445.5,8531.3,3267.4,5112.1,8748.5,1686.5,4336.7,9978.9,7979.6,6929.9,2300.9,7422.9,9667.4,6530.6,9985.9,6462.2,5711.3,66.8,992.8,1599.5,6248.3,6711.9,6497.8,981.2,8280.4,1807.8,4948.7,6241.7,6814.0,4155.6,8013.0,6723.0,5336.1,9558.0,1033.5,7191.2,0,2869.9,1828.2,8312.9,5846.4,2331.6,1784.8,7925.1,505.3,7777.6
Fredonia,5773.4,1729.8,9516.4,4635.7,8296.1,7526.6,3547.9,4168.4,5885.9,5439.1,5785.3,1861.1,5790.7,2853.4,2385.3,3712.1,4267.1,4367.3,8763.3,9804.8,7105.9,968.8,3002.3,9526.4,2596.5,6594.2,8892.5,6726.3,8385.5,8555.7,9045.3,6773.7,563.6,2514.3,9749.6,2438.5,4358.7,3588.1,5980.3,2869.9,0,1953.2,9073.7,667.1,1568.9,5095.8,8715.3,986.2,6819.4
Dunkirk,6569.8,8479.0,5015.9,7870.5,573.2,2175.4,6570.9,1232.1,3445.9,2318.5,978.8,4381.4,4118.6,835.1,3348.4,7327.0,120.3,9654.2,1908.2,7457.8,3271.8,1902.2,9387.2,6263.4,7913.2,8298.5,1126.7,5748.8,1352.0,2158.0,8788.8,3394.2,6036.0,8041.5,793.0,8962.9,9679.2,4662.1,9494.9,1828.2,1953.2,0,113.3,4467.4,4417.2,5021.5,5393.9,8213.6,9976.4
Scarsdale,139.1,9407.0,9795.8,5341.4,2238.1,1620.6,9068.6,376.2,510.8,8577.6,680.6,6672.4,2681.9,6286.7,8388.1,8381.1,4799.7,4765.2,7713.7,5850.0,6367.0,4156.2,5623.6,2082.3,2172.0,8672.6,6817.5,5147.4,7019.8,721.3,2920.0,8064.1,176.8,7475.1,2857.1,568.1,2224.8,5496.8,367.1,8312.9,9073.7,113.3,0,8658.4,5213.9,8836.4,787.9,1101.0,2075.4
Garden City,8082.2,7910.6,8132.8,1262.3,7110.2,6505.0,6755.2,5927.7,7165.6,7296.9,1932.7,2020.0,3814.2,2972.3,9293.2,4599.0,2252.2,2076.7,6218.5,203.4,7245.3,5128.3,8287.0,176.2,6062.1,462.5,7781.6,1116.5,2518.4,6750.6,8750.6,8134.6,4132.2,3682.9,6886.8,9788.3,4457.9,4691.2,657.9,5846.4,667.1,4467.4,8658.4,0,881.3,4650.0,2670.8,6851.3,7916.7
Massena,8557.9,692.6,8886.8,5855.4,3692.4,6942.6,1296.7,6758.5,7982.1,7529.7,4340.1,3299.7,6280.2,780.5,4629.4,3893.9,7265.1,1225.2,7636.2,857.1,9781.7,6470.3,9143.5,1439.2,7602.5,1299.2,9808.7,2056.1,2274.9,1739.3,64.3,7535.4,8419.0,9614.1,6689.2,4769.6,5459.1,1581.3,2834.4,2331.6,1568.9,4417.2,5213.9,881.3,0,3423.8,1041.1,5638.1,8618.7
Cohoes,7608.4,733.9,4628.8,7302.7,8327.0,1455.2,5646.9,4676.5,5412.0,6189.7,3086.3,2314.6,288.5,2800.6,6356.5,553.4,3560.7,3962.0,1466.8,7425.4,7162.0,363.8,2095.3,5938.6,9378.7,798.1,4016.0,2932.9,9389.0,6891.0,5228.5,4219.7,9019.3,5154.4,5828.7,6290.1,1019.0,4924.9,6430.2,1784.8,5095.8,5021.5,8836.4,4650.0,3423.8,0,5856.5,204.8,669.3
Clinton,5896.8,6317.1,4917.0,4991.3,8189.3,9677.5,7158.0,3049.0,7266.1,1854.9,1842.8,360.9,398.8,783.8,5406.6,431.6,121.2,4453.6,2056.8,7349.3,1061.3,4244.4,4092.3,6321.3,527.2,3216.3,9081.4,9376.4,5062.4,889.3,8462.9,7522.2,8969.1,813.4,8675.6,2160.9,6340.9,6245.4,7171.7,7925.1,8715.3,5393.9,787.9,2670.8,1041.1,5856.5,0,164.2,9464.4
Beacon,8575.4,1828.6,990.2,8439.2,1044.6,3936.3,2221.0,4309.5,3488.4,3329.7,8634.7,5255.9,2874.1,1719.0,2596.3,1328.3,3557.9,2203.9,9930.4,8555.1,702.4,9381.3,3801.5,4326.6,2264.6,2863.7,8106.8,6323.7,8094.2,1951.5,4193.9,2818.1,2889.7,9957.8,8454.9,7039.9,2519.3,5956.8,2788.9,505.3,986.2,8213.6,1101.0,6851.3,5638.1,204.8,164.2,0,1806.5
New Paltz,7695.8,2618.9,4633.4,1831.4,5802.7,4170.1,3472.2,2116.9,5198.8,8464.0,7317.3,893.7,940.3,5856.0,6233.1,1358.7,8197.2,3755.3,4572.3,5609.3,6486.7,3075.7,8924.8,297.9,9468.5,8568.3,30.2,6393.8,8186.8,5962.7,2760.7,8650.8,3665.2,2343.5,5358.2,3781.0,4701.5,7387.8,6771.2,7777.6,6819.4,9976.4,2075.4,7916.7,8618.7,669.3,9464.4,1806.5,0
