CSV,Mount Vernon,Herkimer,Ithaca,Hyde Park,Saranac Lake,East Hampton,Ossining,Utica,New Paltz,Saratoga Springs,Oyster Bay,Great Neck,Johnstown,Hudson,Nyack,Lake Placid,Watertown,Tonawanda,Chautauqua,Harlem,Clinton,Manhattan,Oneonta,Mamaroneck,Ogdensburg,Beacon,Rotterdam,Mineola,Plattsburgh,White Plains,Yonkers,Southampton,Dunkirk,Massena,Lockport,Glens Falls,Queens,Scarsdale,Babylon,East Aurora,Oneida,Niagara Falls,Rome,Cohoes,Elmira,Bedford,Rensselaer,West Seneca,Geneva
Tonawanda,333.8,9541.6,6608.3,3541.5,786.7,5932.1,3935.4,8998.7,4115.1,6010.1,1211.8,3240.2,4505.8,7684.4,8985.0,7849.4,2971.6,0,7986.0,5331.5,1368.2,7896.7,1545.6,6804.2,1008.7,1994.7,3608.1,8353.4,3955.8,4593.4,1938.4,3958.1,5635.0,1843.0,6646.4,7495.8,4901.9,4915.9,4395.6,2235.8,8398.4,6262.0,3249.2,4446.8,6011.9,9357.5,4001.6,1178.8,668.3
Chautauqua,5216.5,3406.9,138.1,1745.1,9270.4,7146.4,938.8,7605.4,4658.4,7711.3,6205.6,9497.4,1390.9,4366.6,2468.5,5115.6,5783.4,7986.0,0,3235.6,6665.7,1601.5,7569.5,4143.0,3858.6,1184.6,9157.6,9437.8,8182.1,7214.0,2430.6,3169.5,366.3,2537.5,8272.7,8837.1,8289.8,757.5,2262.5,8083.7,1234.1,1610.7,6033.4,6796.9,480.7,8052.3,349.2,8642.0,3608.3
Harlem,3995.1,3786.3,1956.5,4578.1,3574.2,6143.2,4983.5,3425.9,1150.1,8626.8,1180.2,5364.8,8689.7,2510.2,124.2,4545.3,7931.6,5331.5,3235.6,0,314.6,1028.3,4104.1,3273.0,5717.0,986.1,5811.0,6657.1,6703.7,3845.5,4603.7,8092.5,3331.1,6329.0,9252.5,8442.9,8109.6,1740.1,3993.4,9582.2,4876.9,3604.8,5080.6,4648.9,2152.0,1719.9,4690.3,800.1,4501.8
Clinton,13.3,9030.8,2230.5,2794.4,4751.6,5521.3,6497.3,6336.5,3281.8,7110.4,6968.2,2784.6,6550.5,303.3,7675.8,8188.5,3405.5,1368.2,6665.7,314.6,0,7131.3,7159.7,8303.9,3724.0,5101.1,6758.4,5571.7,4845.3,933.9,6554.9,9034.9,2008.9,4213.3,3207.8,2127.7,1907.8,3864.8,9165.5,5305.2,4215.4,6934.5,1058.9,2689.7,3182.0,7825.6,3548.0,1451.4,243.7
Manhattan,2648.8,8671.5,2299.2,8354.8,8225.6,1777.5,4055.4,5931.5,5644.7,8147.6,4739.9,3714.2,4144.7,638.9,4497.4,8875.0,1690.2,7896.7,1601.5,1028.3,7131.3,0,4688.9,5441.3,5822.1,6602.6,1457.4,9399.2,8726.3,6464.7,8419.0,349.8,226.4,2596.4,4106.0,5757.4,9544.5,8156.8,3091.2,5905.7,9811.7,8840.3,2571.6,7560.4,4909.1,789.3,976.4,6009.0,695.9
Oneonta,1021.5,6187.5,9301.8,8989.0,7711.1,6124.6,4653.4,3221.6,8802.7,665.7,8970.6,4338.7,9333.7,2301.0,8254.3,6430.1,3780.9,1545.6,7569.5,4104.1,7159.7,4688.9,0,9887.9,3244.3,2780.6,8639.9,9319.9,8236.7,5747.2,5649.3,7367.4,4149.9,1400.1,3007.7,4353.1,8142.5,9823.8,1226.2,6954.2,4552.1,4036.2,3315.9,4461.0,9455.6,545.9,6708.0,368.9,5010.3
Mamaroneck,3938.3,4450.1,2381.1,7227.4,7289.0,4081.4,6771.9,7282.9,9461.9,680.1,2088.4,1019.3,7537.6,6768.4,791.1,104.2,2154.9,6804.2,4143.0,3273.0,8303.9,5441.3,9887.9,0,4179.4,8538.8,1052.2,7999.1,1654.8,2560.9,8901.9,9561.3,7336.5,2630.5,8630.6,204.1,9223.7,3888.6,2283.9,7916.3,4112.9,3500.0,6051.6,2859.8,5898.0,9038.7,7405.5,8353.6,4923.4
Ogdensburg,1775.7,7544.4,1085.8,9472.7,126.1,1829.0,4544.5,8036.9,9219.4,6872.0,5631.2,8320.8,6896.0,5234.3,6835.1,555.1,2544.7,1008.7,3858.6,5717.0,3724.0,5822.1,3244.3,4179.4,0,2870.6,9417.1,8245.2,2505.2,5113.2,4151.7,3419.7,505.7,8840.2,4275.0,467.4,1458.8,3109.8,507.8,6094.2,1194.8,1918.4,6884.4,9385.5,2046.1,8487.3,3915.0,2597.4,6034.9
Beacon,6883.6,4129.1,9036.5,1633.3,9106.8,4391.9,5020.5,8284.3,759.6,8223.8,8745.7,8503.9,1843.8,9909.7,1668.1,6084.2,247.0,1994.7,1184.6,986.1,5101.1,6602.6,2780.6,8538.8,2870.6,0,4380.8,3574.7,3709.9,9890.7,2740.7,4713.4,923.0,5842.6,9220.3,6266.2,1962.0,2614.7,7876.7,9950.2,8944.1,8147.8,2662.7,4385.3,4829.9,2623.7,6692.4,9309.6,8398.1
Rotterdam,1362.8,8538.0,5223.5,8004.8,5911.7,4096.3,9820.1,826.3,3674.0,8007.8,2428.3,3832.6,1319.4,9411.3,7787.1,1167.1,8785.4,3608.1,9157.6,5811.0,6758.4,1457.4,8639.9,1052.2,9417.1,4380.8,0,7862.3,7754.6,9205.2,648.6,4876.2,1591.6,7382.5,9960.8,9315.5,488.4,5694.1,2783.9,1425.0,5142.8,3071.6,8851.7,280.4,2573.8,6666.9,1119.6,3340.4,5401.2
Mineola,408.1,7731.1,3211.7,4980.4,8607.2,7829.8,6987.1,712.3,4039.8,6794.3,8949.9,8733.0,8369.4,1018.4,8529.3,5236.0,8701.4,8353.4,9437.8,6657.1,5571.7,9399.2,9319.9,7999.1,8245.2,3574.7,7862.3,0,6852.8,4732.8,8378.2,3288.2,6715.3,8459.2,1891.3,9133.0,3551.3,6297.5,5703.9,2941.5,5615.0,1529.2,2250.7,4337.1,573.0,6853.7,4612.2,7737.0,8386.8
Plattsburgh,2408.1,8589.3,4032.2,8149.4,7689.5,4542.3,3126.9,8864.9,1270.4,5048.0,6633.9,5731.3,1806.3,5980.9,117.6,4810.7,3169.4,3955.8,8182.1,6703.7,4845.3,8726.3,8236.7,1654.8,2505.2,3709.9,7754.6,6852.8,0,1410.5,2687.0,4372.0,576.4,2881.3,8226.9,4101.7,9583.9,2766.9,7018.7,2187.4,2689.8,5560.2,3002.1,9597.9,2080.9,5920.2,5117.4,390.3,9039.9
White Plains,1963.5,782.1,6812.2,9059.2,7691.8,7212.0,8864.8,6644.4,6757.2,2928.5,9047.0,5565.4,8934.6,284.7,427.7,4564.4,340.6,4593.4,7214.0,3845.5,933.9,6464.7,5747.2,2560.9,5113.2,9890.7,9205.2,4732.8,1410.5,0,9051.0,6106.0,1508.5,6148.9,4763.4,1216.1,1795.2,8978.9,1705.1,6008.9,4283.9,7764.3,1742.1,5129.0,6682.7,5905.8,9851.3,7101.4,6248.1
Yonkers,8058.8,7602.5,8430.3,6271.3,8988.1,3468.4,8576.9,661.3,7629.3,1936.8,1572.9,388.9,5908.9,6104.9,9511.6,6589.2,4274.9,1938.4,2430.6,4603.7,6554.9,8419.0,5649.3,8901.9,4151.7,2740.7,648.6,8378.2,2687.0,9051.0,0,5975.1,3346.0,3222.0,729.0,9201.4,3654.6,5.4,8088.4,1882.6,8894.5,2539.6,5461.6,7992.8,278.7,8507.6,7448.1,1634.5,7856.4
Southampton,2411.4,7096.1,298.7,2223.6,2018.6,1349.6,2703.5,2457.0,3682.9,4750.5,6969.0,7229.2,2910.4,4253.1,8563.2,5094.2,2280.2,3958.1,3169.5,8092.5,9034.9,349.8,7367.4,9561.3,3419.7,4713.4,4876.2,3288.2,4372.0,6106.0,5975.1,0,6108.9,5484.0,3714.8,6828.6,296.1,3023.7,3932.8,9570.1,5481.8,278.4,7656.6,4331.7,3317.1,5424.8,4200.9,4680.6,8060.5
Dunkirk,5034.0,9114.0,81.6,2114.8,295.4,2663.7,1709.7,3887.9,8344.2,6392.9,6586.7,9483.1,9255.1,4437.4,9801.0,568.0,461.0,5635.0,366.3,3331.1,2008.9,226.4,4149.9,7336.5,505.7,923.0,1591.6,6715.3,576.4,1508.5,3346.0,6108.9,0,4296.9,4130.7,5550.7,3745.3,5641.2,2462.0,6902.4,117.9,1611.3,3163.1,5999.5,3797.9,7308.0,1546.3,753.6,482.2
Massena,3045.3,2677.3,3446.6,2595.5,3460.1,7807.8,7758.4,2036.4,2706.2,8467.1,2282.9,7056.1,8632.9,8678.2,8739.8,5697.7,3951.5,1843.0,2537.5,6329.0,4213.3,2596.4,1400.1,2630.5,8840.2,5842.6,7382.5,8459.2,2881.3,6148.9,3222.0,5484.0,4296.9,0,1640.3,8377.7,1437.7,132.1,4733.0,911.0,2446.1,57.0,1111.2,5865.5,3693.2,4266.9,3065.1,5613.4,4748.6
Lockport,4728.0,5247.4,1524.1,6426.9,7950.2,6854.0,8597.4,786.5,4320.6,9975.5,4992.7,8316.0,5664.5,3973.7,9761.0,2743.0,406.6,6646.4,8272.7,9252.5,3207.8,4106.0,3007.7,8630.6,4275.0,9220.3,9960.8,1891.3,8226.9,4763.4,729.0,3714.8,4130.7,1640.3,0,8665.5,7688.7,1831.9,9585.6,8259.7,6768.5,8595.6,4623.3,3136.2,8685.7,4136.1,4834.2,3248.9,8013.8
Glens Falls,4009.7,33.7,3250.8,9986.1,1450.4,946.7,7095.0,7180.8,6280.1,8135.9,1060.7,4718.8,7368.6,2802.7,4671.6,8606.5,8451.7,7495.8,8837.1,8442.9,2127.7,5757.4,4353.1,204.1,467.4,6266.2,9315.5,9133.0,4101.7,1216.1,9201.4,6828.6,5550.7,8377.7,8665.5,0,5678.1,8352.6,1446.5,984.7,1547.7,5297.0,5270.1,166.7,1835.0,1276.4,4723.1,651.4,7752.6
Queens,6311.4,7136.2,3672.4,3315.0,1375.9,1424.7,9762.4,8893.7,5030.7,5840.1,6891.7,2262.9,8981.0,9827.0,8761.1,7463.8,6396.2,4901.9,8289.8,8109.6,1907.8,9544.5,8142.5,9223.7,1458.8,1962.0,488.4,3551.3,9583.9,1795.2,3654.6,296.1,3745.3,1437.7,7688.7,5678.1,0,3339.9,1299.1,124.9,5881.1,4833.5,3059.5,2843.8,7173.2,7639.2,4665.7,8694.9,2917.1
Scarsdale,4449.7,8529.2,6942.2,9921.7,7338.7,8414.5,9599.6,8719.8,4298.8,7464.4,6073.3,5112.8,3313.6,3601.8,4194.1,9950.5,8615.8,4915.9,757.5,1740.1,3864.8,8156.8,9823.8,3888.6,3109.8,2614.7,5694.1,6297.5,2766.9,8978.9,5.4,3023.7,5641.2,132.1,1831.9,8352.6,3339.9,0,111.6,9563.4,6106.5,3394.0,8395.4,6006.0,6987.2,9789.0,8714.9,533.2,615.4
Babylon,7980.4,6673.9,6597.3,8301.1,5554.8,556.5,26.9,8989.8,2993.0,5213.3,2999.7,2517.8,2546.1,6464.0,9751.5,3617.2,5759.3,4395.6,2262.5,3993.4,9165.5,3091.2,1226.2,2283.9,507.8,7876.7,2783.9,5703.9,7018.7,1705.1,8088.4,3932.8,2462.0,4733.0,9585.6,1446.5,1299.1,111.6,0,1530.7,1173.8,9040.5,4995.3,1279.0,6798.0,3231.4,5893.8,1859.4,1043.2
East Aurora,7854.5,6186.0,829.6,4776.9,6596.4,3079.2,4827.2,8824.6,5654.9,7142.6,9526.4,7359.9,4973.4,7263.2,8205.8,8798.6,5100.4,2235.8,8083.7,9582.2,5305.2,5905.7,6954.2,7916.3,6094.2,9950.2,1425.0,2941.5,2187.4,6008.9,1882.6,9570.1,6902.4,911.0,8259.7,984.7,124.9,9563.4,1530.7,0,9909.4,2649.7,794.3,3651.4,9789.8,5331.0,9663.8,2577.5,3928.2
Oneida,1248.1,6496.5,3949.9,9985.3,6585.4,7337.7,8096.3,8195.4,6550.0,5706.5,9293.3,9362.0,5241.2,5903.9,8831.8,4126.9,5378.7,8398.4,1234.1,4876.9,4215.4,9811.7,4552.1,4112.9,1194.8,8944.1,5142.8,5615.0,2689.8,4283.9,8894.5,5481.8,117.9,2446.1,6768.5,1547.7,5881.1,6106.5,1173.8,9909.4,0,4001.4,5642.6,3895.2,9030.0,5119.3,8828.2,8112.5,4902.7
Niagara Falls,8507.8,5838.4,8875.6,1707.2,7686.2,6303.4,703.4,9662.6,7515.6,9681.0,7640.4,4644.9,3509.9,9338.7,3505.4,7031.6,193.3,6262.0,1610.7,3604.8,6934.5,8840.3,4036.2,3500.0,1918.4,8147.8,3071.6,1529.2,5560.2,7764.3,2539.6,278.4,1611.3,57.0,8595.6,5297.0,4833.5,3394.0,9040.5,2649.7,4001.4,0,1728.8,8406.7,6769.4,3046.2,8687.2,9648.1,9648.5
Rome,684.0,9206.2,6867.9,2069.9,5627.0,4995.0,7941.7,5460.5,9542.3,5679.9,3604.0,584.9,6381.4,6150.5,6002.8,7144.1,9582.8,3249.2,6033.4,5080.6,1058.9,2571.6,3315.9,6051.6,6884.4,2662.7,8851.7,2250.7,3002.1,1742.1,5461.6,7656.6,3163.1,1111.2,4623.3,5270.1,3059.5,8395.4,4995.3,794.3,5642.6,1728.8,0,2812.3,1490.7,4888.5,9998.8,8.6,3720.0
Cohoes,2429.0,2366.9,2172.3,6942.6,2860.3,750.0,8869.0,2154.5,3905.0,7150.8,8747.0,9171.6,384.9,5562.2,9148.5,1733.4,3564.7,4446.8,6796.9,4648.9,2689.7,7560.4,4461.0,2859.8,9385.5,4385.3,280.4,4337.1,9597.9,5129.0,7992.8,4331.7,5999.5,5865.5,3136.2,166.7,2843.8,6006.0,1279.0,3651.4,3895.2,8406.7,2812.3,0,5471.5,1054.1,3534.2,4071.1,7650.5
Elmira,8646.5,696.7,7216.1,304.6,2835.1,9145.6,6438.2,1807.7,6578.3,6695.8,5182.5,6444.6,4099.7,7153.2,4679.2,696.9,6544.7,6011.9,480.7,2152.0,3182.0,4909.1,9455.6,5898.0,2046.1,4829.9,2573.8,573.0,2080.9,6682.7,278.7,3317.1,3797.9,3693.2,8685.7,1835.0,7173.2,6987.2,6798.0,9789.8,9030.0,6769.4,1490.7,5471.5,0,3439.1,8891.7,351.3,2197.7
Bedford,5971.8,7633.5,7541.1,242.4,8519.4,880.6,2406.8,5909.1,75.5,9196.8,6621.4,3194.3,173.6,597.7,6651.6,2625.9,4222.7,9357.5,8052.3,1719.9,7825.6,789.3,545.9,9038.7,8487.3,2623.7,6666.9,6853.7,5920.2,5905.8,8507.6,5424.8,7308.0,4266.9,4136.1,1276.4,7639.2,9789.0,3231.4,5331.0,5119.3,3046.2,4888.5,1054.1,3439.1,0,1204.5,9010.0,8472.5
Rensselaer,4352.1,8295.7,502.3,3063.0,2693.4,6356.7,455.1,5711.0,3949.5,6089.5,3535.6,5279.6,5545.4,8091.3,3357.4,2506.5,5479.4,4001.6,349.2,4690.3,3548.0,976.4,6708.0,7405.5,3915.0,6692.4,1119.6,4612.2,5117.4,9851.3,7448.1,4200.9,1546.3,3065.1,4834.2,4723.1,4665.7,8714.9,5893.8,9663.8,8828.2,8687.2,9998.8,3534.2,8891.7,1204.5,0,9916.8,4315.4
West Seneca,3174.3,221.5,3696.6,8402.3,1853.0,7033.4,5839.3,1215.4,173.8,6876.2,9206.0,1822.9,2967.0,1601.4,5424.0,3598.3,2311.2,1178.8,8642.0,800.1,1451.4,6009.0,368.9,8353.6,2597.4,9309.6,3340.4,7737.0,390.3,7101.4,1634.5,4680.6,753.6,5613.4,3248.9,651.4,8694.9,533.2,1859.4,2577.5,8112.5,9648.1,8.6,4071.1,351.3,9010.0,9916.8,0,2215.3
Geneva,7839.5,7735.1,2438.2,5487.1,896.2,1661.3,3626.8,9259.9,2450.4,7815.5,9508.3,1001.8,438.9,7739.8,5461.5,8799.0,4483.8,668.3,3608.3,4501.8,243.7,695.9,5010.3,4923.4,6034.9,8398.1,5401.2,8386.8,9039.9,6248.1,7856.4,8060.5,482.2,4748.6,8013.8,7752.6,2917.1,615.4,1043.2,3928.2,4902.7,9648.5,3720.0,7650.5,2197.7,8472.5,4315.4,2215.3,0
