CSV,Cohoes,Oswego,Ticonderoga,Cheektowaga,Saratoga Springs,Saranac Lake,Sag Harbor,White Plains,Oyster Bay,Hempstead,Jamestown,Mineola,Cooperstown,East Hampton,Mamaroneck,Newburgh,Forest Hills,Bronx,Levittown,Herkimer,Manhattan,Schenectady,Chautauqua,Flushing,Kingston,Corning,Batavia,Brooklyn,Niagara Falls,Cortland,Middletown,Olean,Queens,Clinton,Huntington,Babylon,Lake Placid,Seneca Falls,New Rochelle,Port Washington,West Seneca,Plattsburgh,Peekskill,Tonawanda,Ithaca,Crown Point,Bedford,Buffalo,Poughkeepsie,North Hempstead
Jamestown,5673.4,8049.2,3341.4,8419.7,9037.4,5951.9,9693.6,5201.4,7599.6,1766.0,0,2093.7,6625.8,5581.8,5181.8,9768.8,335.6,9381.7,8806.8,5821.4,4359.7,8553.3,8077.2,7454.1,9922.2,6789.0,5046.7,1116.7,1617.5,827.8,8933.6,825.2,1568.8,311.0,7958.9,608.8,6682.6,2776.2,6357.1,3934.2,9139.6,5090.5,506.1,132.5,5610.7,460.6,65.6,1480.0,7239.8,8746.7
Mineola,9909.1,3591.7,2083.5,9236.5,2258.1,1857.1,6916.0,6832.7,7537.5,2196.7,2093.7,0,7998.8,6188.8,2872.5,4281.7,8608.8,5910.7,2579.9,5422.1,8795.1,3010.4,5260.1,1189.4,1418.6,5542.3,3112.1,2356.0,7830.0,2609.3,8526.1,6673.6,259.2,4887.4,8949.9,5473.4,5932.5,2210.9,7312.9,4758.5,2431.3,880.1,5247.3,2584.5,7461.0,8621.3,2687.8,951.8,4381.1,1020.4
Cooperstown,4549.2,9224.7,8059.9,3292.8,4007.3,8153.0,3016.4,414.6,8521.0,6424.9,6625.8,7998.8,0,9931.7,7584.4,3805.6,2856.8,7970.6,6233.7,5107.0,6252.5,3945.3,2603.9,4013.2,2653.4,7024.0,2183.9,6734.2,1141.3,2299.2,9789.5,2854.7,4614.2,4733.3,8596.6,8436.0,8405.0,2038.8,71.9,6278.2,6775.8,4697.1,3765.9,912.9,7907.7,5303.4,8087.8,6699.3,6141.9,4101.7
East Hampton,5665.5,6666.1,1063.6,3575.5,7567.4,2990.2,7996.6,1850.4,5496.6,8788.4,5581.8,6188.8,9931.7,0,4681.1,4288.6,3390.4,198.2,8545.2,5962.5,5384.1,9215.9,127.7,7411.8,8452.2,7938.6,6594.9,3375.1,6981.0,5506.5,7951.9,7336.6,237.9,5981.3,7421.4,2414.5,2875.9,1820.0,3611.4,6443.9,2122.4,2713.6,5101.2,5145.7,3633.8,7991.0,8890.3,1374.1,8289.4,2110.8
Mamaroneck,8362.0,6139.2,8832.5,6645.9,1289.1,2005.1,2176.2,8382.6,1036.7,3077.1,5181.8,2872.5,7584.4,4681.1,0,1902.1,4573.7,6615.7,7226.9,2286.6,5476.9,9544.7,2502.7,1778.7,6931.7,7554.2,2386.3,5867.0,3446.3,6057.5,1338.8,414.3,7842.4,9931.9,7288.3,5279.6,6486.3,1734.0,5564.4,7188.8,3977.7,4850.4,3879.6,192.9,1216.8,9987.9,892.3,1888.4,1055.1,2598.4
Newburgh,6204.4,8452.8,2177.0,9256.6,5218.6,1640.2,8754.3,5083.6,7213.0,8695.7,9768.8,4281.7,3805.6,4288.6,1902.1,0,613.0,6639.0,4118.6,6230.1,6171.3,7385.0,3465.3,5027.5,4119.7,9175.5,5966.4,2094.5,8839.9,9309.4,8406.0,7896.6,8056.1,8194.1,6844.2,6682.4,7909.3,8649.8,378.3,780.4,3691.3,384.5,6774.5,8479.5,3510.6,1270.8,3148.2,5395.1,5073.6,7003.7
Forest Hills,5144.0,5993.4,8028.3,9589.1,9286.0,8778.8,8243.2,7882.2,5720.4,1469.3,335.6,8608.8,2856.8,3390.4,4573.7,613.0,0,6466.1,1932.6,5414.2,555.8,533.0,4488.0,9692.0,956.1,4031.0,5974.7,6915.2,9350.5,768.6,6633.8,3232.8,1333.6,1641.0,3184.1,8900.8,6706.6,3525.0,5035.2,662.6,7008.6,7858.2,160.7,296.4,9509.5,3862.3,6187.1,2431.7,5144.1,3335.0
Bronx,5819.8,5242.6,4614.8,2417.5,7655.0,7469.2,7468.5,8833.0,4579.4,4541.2,9381.7,5910.7,7970.6,198.2,6615.7,6639.0,6466.1,0,222.5,1045.5,5397.3,2718.8,2393.8,2371.5,2986.9,3290.4,9509.4,9805.6,6198.7,5465.8,3350.8,7851.8,7913.1,7653.9,132.9,1354.3,1081.6,8910.7,4841.5,4256.0,18.6,9993.2,7525.9,3386.1,5596.6,2621.9,8109.9,6358.0,8141.7,2086.4
Levittown,9782.1,4194.1,4464.7,6246.8,1748.4,7507.8,3703.8,6443.6,7976.8,6253.8,8806.8,2579.9,6233.7,8545.2,7226.9,4118.6,1932.6,222.5,0,7432.3,2508.0,416.4,229.0,7445.4,3437.0,5002.2,4094.2,6421.5,449.6,9604.1,5308.8,1980.0,3480.3,4751.6,1302.8,9254.7,8723.2,4329.1,1765.7,7236.4,1387.1,7401.3,9319.8,8778.0,6246.5,2656.6,1556.5,1727.2,576.6,4586.2
Herkimer,6863.3,5439.1,9656.3,4245.3,1545.3,9824.6,7152.0,6075.3,7591.2,5959.9,5821.4,5422.1,5107.0,5962.5,2286.6,6230.1,5414.2,1045.5,7432.3,0,5593.4,4935.2,8085.8,5375.2,4157.1,9653.3,9255.6,7741.2,2695.0,8816.8,8360.8,7222.0,4802.4,4615.4,240.1,8253.9,1445.4,1866.4,6324.0,5857.3,3044.3,8189.0,8752.6,7524.0,6791.3,7287.3,9885.6,3646.1,6314.6,6192.7
Manhattan,9348.2,7714.5,2985.9,1107.9,3391.9,6052.8,7787.0,9546.9,2225.5,5728.9,4359.7,8795.1,6252.5,5384.1,5476.9,6171.3,555.8,5397.3,2508.0,5593.4,0,4327.7,1430.4,1560.6,2951.4,5931.9,3322.6,7220.7,4798.9,9260.7,485.8,6592.8,3270.3,837.0,3140.5,7789.1,6618.5,6832.4,309.5,4930.1,3263.6,2245.5,269.7,8972.5,3950.0,7930.7,1081.8,90.0,4248.5,7240.4
Schenectady,6831.1,6294.9,7516.1,9834.6,1325.6,7837.1,6024.1,4339.6,3818.5,6454.9,8553.3,3010.4,3945.3,9215.9,9544.7,7385.0,533.0,2718.8,416.4,4935.2,4327.7,0,4105.9,4204.9,6339.1,6436.9,9273.3,6662.2,3652.9,424.9,4019.7,4352.0,234.2,2933.3,8288.0,9873.7,8244.2,7252.3,7082.7,6264.3,4944.2,5280.6,1923.4,6152.8,1219.5,2580.3,9294.2,2882.4,9065.6,9066.5
Chautauqua,3874.6,10.5,2832.6,1427.0,2755.1,687.4,4793.1,9281.8,3850.3,8272.5,8077.2,5260.1,2603.9,127.7,2502.7,3465.3,4488.0,2393.8,229.0,8085.8,1430.4,4105.9,0,6054.6,1539.8,2332.1,8772.2,2336.9,4561.9,4931.3,8671.5,6568.3,2781.4,9126.4,833.5,5924.2,7374.2,4433.8,8609.6,2777.5,9699.6,9821.1,6508.9,8842.1,3277.2,9446.0,7355.3,5804.5,7732.8,923.5
Flushing,9866.1,2464.4,8544.1,9598.8,1387.3,9650.3,797.8,5613.5,1432.0,9585.5,7454.1,1189.4,4013.2,7411.8,1778.7,5027.5,9692.0,2371.5,7445.4,5375.2,1560.6,4204.9,6054.6,0,6938.1,8868.1,1081.7,8356.7,6982.8,6211.2,6622.2,5741.4,2817.5,5090.8,9107.4,1157.0,3604.4,3803.2,2237.2,7674.6,7702.9,6707.4,2485.7,7012.4,5930.1,6198.4,555.3,4565.2,5648.4,7882.0
Kingston,7589.6,8366.8,9752.8,4554.3,7682.4,7757.7,3580.4,6654.3,9765.4,3240.1,9922.2,1418.6,2653.4,8452.2,6931.7,4119.7,956.1,2986.9,3437.0,4157.1,2951.4,6339.1,1539.8,6938.1,0,1623.6,6620.8,5703.9,6655.7,5909.0,3603.8,1210.5,9360.1,7503.2,4934.0,8286.2,5194.0,7004.7,2882.2,8182.9,1577.0,6408.5,6895.2,3724.1,7681.9,2266.9,8017.7,494.3,2662.4,721.4
Corning,174.0,7140.7,6414.1,1062.4,4682.2,1146.6,6491.2,5108.6,5055.7,1469.8,6789.0,5542.3,7024.0,7938.6,7554.2,9175.5,4031.0,3290.4,5002.2,9653.3,5931.9,6436.9,2332.1,8868.1,1623.6,0,198.6,513.2,6093.3,8898.8,1793.1,5725.2,5440.3,363.6,4470.2,7708.5,5614.8,8771.1,7827.8,8935.0,2190.4,7207.0,3321.4,2161.1,8451.1,6771.7,5994.4,2857.9,9625.2,4534.3
Batavia,4526.5,2652.4,3907.9,0.1,7912.3,8529.9,5095.8,2378.7,5673.6,1389.5,5046.7,3112.1,2183.9,6594.9,2386.3,5966.4,5974.7,9509.4,4094.2,9255.6,3322.6,9273.3,8772.2,1081.7,6620.8,198.6,0,440.6,306.5,8957.2,8990.1,7998.1,7216.8,8886.2,8082.2,377.9,2509.1,7685.2,5583.8,9125.9,9289.4,56.0,5607.3,2666.4,7160.2,7433.9,7192.3,135.2,2437.7,4481.3
Brooklyn,3262.3,2708.8,4971.1,2708.9,5984.1,8289.8,9643.7,9075.6,561.7,3385.8,1116.7,2356.0,6734.2,3375.1,5867.0,2094.5,6915.2,9805.6,6421.5,7741.2,7220.7,6662.2,2336.9,8356.7,5703.9,513.2,440.6,0,4214.8,4399.4,7481.5,6614.3,3478.6,9522.5,2900.4,9800.1,7392.6,9129.0,2215.4,3286.7,2603.8,9417.2,2077.7,7626.2,4731.8,2776.5,5238.7,3894.7,8980.0,2808.9
Niagara Falls,3116.4,8898.3,8710.0,3757.2,6326.2,6713.3,6848.6,9770.2,6071.3,9690.0,1617.5,7830.0,1141.3,6981.0,3446.3,8839.9,9350.5,6198.7,449.6,2695.0,4798.9,3652.9,4561.9,6982.8,6655.7,6093.3,306.5,4214.8,0,5592.3,6455.5,5187.9,7866.2,495.0,3526.5,4771.5,3695.1,5381.4,4566.4,1720.2,1151.1,5710.1,1106.5,222.8,9922.0,6570.0,9302.8,1491.4,8330.0,2494.6
Cortland,9453.1,1599.7,8429.3,3362.8,566.5,4425.8,7673.0,6649.3,2786.1,8058.3,827.8,2609.3,2299.2,5506.5,6057.5,9309.4,768.6,5465.8,9604.1,8816.8,9260.7,424.9,4931.3,6211.2,5909.0,8898.8,8957.2,4399.4,5592.3,0,7428.8,3949.0,1029.4,6106.9,755.0,3215.0,8873.0,7116.5,9105.4,8078.2,864.2,3450.8,522.9,4771.7,6843.3,5810.9,6476.2,8594.1,2349.8,7803.1
Middletown,178.5,8176.5,1737.4,5346.5,1339.2,4185.3,2077.8,1572.9,5261.4,2780.8,8933.6,8526.1,9789.5,7951.9,1338.8,8406.0,6633.8,3350.8,5308.8,8360.8,485.8,4019.7,8671.5,6622.2,3603.8,1793.1,8990.1,7481.5,6455.5,7428.8,0,5331.9,1562.7,8700.5,8059.7,9883.0,8807.6,8552.8,4589.0,3498.7,964.9,6602.4,9033.0,4608.4,8855.8,7916.2,2830.1,9013.6,1581.6,1604.9
Olean,6260.2,6104.2,1599.2,9574.3,3653.8,9919.2,6117.0,9243.3,1346.4,8135.0,825.2,6673.6,2854.7,7336.6,414.3,7896.6,3232.8,7851.8,1980.0,7222.0,6592.8,4352.0,6568.3,5741.4,1210.5,5725.2,7998.1,6614.3,5187.9,3949.0,5331.9,0,1764.7,9246.4,984.2,3522.9,7970.8,925.8,9944.8,9486.6,2098.4,3307.3,4928.5,6862.3,9605.4,9024.5,7508.0,7028.5,2739.6,2304.8
Queens,7766.1,6384.6,9797.5,8232.4,8502.7,8626.9,5722.6,2302.4,1315.4,8375.2,1568.8,259.2,4614.2,237.9,7842.4,8056.1,1333.6,7913.1,3480.3,4802.4,3270.3,234.2,2781.4,2817.5,9360.1,5440.3,7216.8,3478.6,7866.2,1029.4,1562.7,1764.7,0,4420.5,2272.7,5203.4,2332.4,3075.3,4461.0,802.7,7881.3,5852.6,4357.7,2216.3,8673.7,216.4,7148.3,8679.3,578.5,7423.6
Clinton,3793.5,8349.2,8265.2,2599.8,9187.0,7177.9,7249.8,4129.8,9343.5,3758.0,311.0,4887.4,4733.3,5981.3,9931.9,8194.1,1641.0,7653.9,4751.6,4615.4,837.0,2933.3,9126.4,5090.8,7503.2,363.6,8886.2,9522.5,495.0,6106.9,8700.5,9246.4,4420.5,0,4702.0,9308.9,9219.4,9950.8,4543.4,3533.4,6220.4,5067.5,6550.8,1951.2,1739.1,4552.6,3825.8,3904.1,2369.4,3902.3
Huntington,7910.9,102.0,1262.8,7443.8,1000.0,6139.7,6594.4,7007.8,1715.5,5889.2,7958.9,8949.9,8596.6,7421.4,7288.3,6844.2,3184.1,132.9,1302.8,240.1,3140.5,8288.0,833.5,9107.4,4934.0,4470.2,8082.2,2900.4,3526.5,755.0,8059.7,984.2,2272.7,4702.0,0,7770.0,3763.1,7514.9,7445.8,81.8,4450.1,3573.1,1130.7,522.1,2765.9,5829.3,2254.5,3963.2,6482.9,6120.8
Babylon,5626.2,5464.6,6580.4,3195.0,5504.9,2889.4,248.2,5624.8,9362.2,9939.0,608.8,5473.4,8436.0,2414.5,5279.6,6682.4,8900.8,1354.3,9254.7,8253.9,7789.1,9873.7,5924.2,1157.0,8286.2,7708.5,377.9,9800.1,4771.5,3215.0,9883.0,3522.9,5203.4,9308.9,7770.0,0,1664.0,8059.1,5783.3,2047.2,1203.1,5936.7,6549.0,5960.2,9582.8,4430.7,2397.5,8418.0,9826.7,910.8
Lake Placid,3576.2,4819.0,8296.6,4141.0,5235.8,3074.7,7174.9,8226.5,5368.2,882.2,6682.6,5932.5,8405.0,2875.9,6486.3,7909.3,6706.6,1081.6,8723.2,1445.4,6618.5,8244.2,7374.2,3604.4,5194.0,5614.8,2509.1,7392.6,3695.1,8873.0,8807.6,7970.8,2332.4,9219.4,3763.1,1664.0,0,5621.7,209.6,5666.4,2774.0,6588.3,320.1,1276.3,3218.2,2486.3,765.0,8206.9,3697.8,2244.5
Seneca Falls,6691.4,9317.9,1294.9,4481.5,9206.7,4254.9,854.6,7230.8,1118.4,4562.9,2776.2,2210.9,2038.8,1820.0,1734.0,8649.8,3525.0,8910.7,4329.1,1866.4,6832.4,7252.3,4433.8,3803.2,7004.7,8771.1,7685.2,9129.0,5381.4,7116.5,8552.8,925.8,3075.3,9950.8,7514.9,8059.1,5621.7,0,7596.1,5042.9,9152.5,1907.5,1756.6,8171.7,4487.6,6855.3,618.0,6017.1,2301.5,5225.0
New Rochelle,5616.3,4640.0,938.0,6419.7,7640.8,3243.8,925.7,5529.6,1171.6,8407.9,6357.1,7312.9,71.9,3611.4,5564.4,378.3,5035.2,4841.5,1765.7,6324.0,309.5,7082.7,8609.6,2237.2,2882.2,7827.8,5583.8,2215.4,4566.4,9105.4,4589.0,9944.8,4461.0,4543.4,7445.8,5783.3,209.6,7596.1,0,2194.3,1743.0,1760.6,794.8,3303.1,7206.2,4031.9,2450.8,8853.7,5020.3,2600.6
Port Washington,907.1,9823.4,7477.3,9183.1,522.7,5192.1,184.9,8072.5,9375.7,5880.3,3934.2,4758.5,6278.2,6443.9,7188.8,780.4,662.6,4256.0,7236.4,5857.3,4930.1,6264.3,2777.5,7674.6,8182.9,8935.0,9125.9,3286.7,1720.2,8078.2,3498.7,9486.6,802.7,3533.4,81.8,2047.2,5666.4,5042.9,2194.3,0,4090.0,4685.6,7033.8,6275.4,5490.9,4338.0,5579.3,8859.3,3114.8,8531.9
West Seneca,8946.0,6298.1,9519.3,8882.2,472.6,7141.2,8582.0,8587.0,155.0,8280.5,9139.6,2431.3,6775.8,2122.4,3977.7,3691.3,7008.6,18.6,1387.1,3044.3,3263.6,4944.2,9699.6,7702.9,1577.0,2190.4,9289.4,2603.8,1151.1,864.2,964.9,2098.4,7881.3,6220.4,4450.1,1203.1,2774.0,9152.5,1743.0,4090.0,0,6091.5,7812.9,1391.5,6143.7,5420.4,3366.3,4806.3,5080.4,955.7
Plattsburgh,1466.3,6648.1,2378.2,1818.3,9893.0,6519.4,469.0,2436.2,3032.3,2867.3,5090.5,880.1,4697.1,2713.6,4850.4,384.5,7858.2,9993.2,7401.3,8189.0,2245.5,5280.6,9821.1,6707.4,6408.5,7207.0,56.0,9417.2,5710.1,3450.8,6602.4,3307.3,5852.6,5067.5,3573.1,5936.7,6588.3,1907.5,1760.6,4685.6,6091.5,0,343.4,988.3,2668.3,7634.6,3895.8,9940.6,2226.8,6106.5
Peekskill,7944.2,5032.4,2120.7,8746.0,290.9,4484.6,8797.6,4948.2,7555.9,9212.1,506.1,5247.3,3765.9,5101.2,3879.6,6774.5,160.7,7525.9,9319.8,8752.6,269.7,1923.4,6508.9,2485.7,6895.2,3321.4,5607.3,2077.7,1106.5,522.9,9033.0,4928.5,4357.7,6550.8,1130.7,6549.0,320.1,1756.6,794.8,7033.8,7812.9,343.4,0,6198.9,4732.9,3072.3,9974.9,7879.4,9761.1,6961.2
Tonawanda,7228.1,9670.5,2936.5,2735.9,5042.6,9972.3,8260.7,9643.2,1151.2,4944.7,132.5,2584.5,912.9,5145.7,192.9,8479.5,296.4,3386.1,8778.0,7524.0,8972.5,6152.8,8842.1,7012.4,3724.1,2161.1,2666.4,7626.2,222.8,4771.7,4608.4,6862.3,2216.3,1951.2,522.1,5960.2,1276.3,8171.7,3303.1,6275.4,1391.5,988.3,6198.9,0,704.6,3927.3,9192.7,5667.6,235.5,2475.6
Ithaca,7051.8,4087.3,5938.5,501.9,7347.0,7702.6,1253.7,8997.0,772.7,6967.9,5610.7,7461.0,7907.7,3633.8,1216.8,3510.6,9509.5,5596.6,6246.5,6791.3,3950.0,1219.5,3277.2,5930.1,7681.9,8451.1,7160.2,4731.8,9922.0,6843.3,8855.8,9605.4,8673.7,1739.1,2765.9,9582.8,3218.2,4487.6,7206.2,5490.9,6143.7,2668.3,4732.9,704.6,0,4590.4,1214.1,1743.1,1123.4,9222.0
Crown Point,472.1,9826.0,4992.0,8496.4,5225.5,7001.5,1741.1,6138.2,1553.3,8394.5,460.6,8621.3,5303.4,7991.0,9987.9,1270.8,3862.3,2621.9,2656.6,7287.3,7930.7,2580.3,9446.0,6198.4,2266.9,6771.7,7433.9,2776.5,6570.0,5810.9,7916.2,9024.5,216.4,4552.6,5829.3,4430.7,2486.3,6855.3,4031.9,4338.0,5420.4,7634.6,3072.3,3927.3,4590.4,0,7514.2,9010.3,6248.7,9833.1
Bedford,3794.1,3282.3,6533.5,9643.1,9619.6,1096.2,8971.8,93.2,3930.2,1194.1,65.6,2687.8,8087.8,8890.3,892.3,3148.2,6187.1,8109.9,1556.5,9885.6,1081.8,9294.2,7355.3,555.3,8017.7,5994.4,7192.3,5238.7,9302.8,6476.2,2830.1,7508.0,7148.3,3825.8,2254.5,2397.5,765.0,618.0,2450.8,5579.3,3366.3,3895.8,9974.9,9192.7,1214.1,7514.2,0,9369.1,7763.1,7040.7
Buffalo,3227.2,6634.9,6904.1,7909.5,8700.4,6923.5,4412.3,5268.5,7239.0,4512.9,1480.0,951.8,6699.3,1374.1,1888.4,5395.1,2431.7,6358.0,1727.2,3646.1,90.0,2882.4,5804.5,4565.2,494.3,2857.9,135.2,3894.7,1491.4,8594.1,9013.6,7028.5,8679.3,3904.1,3963.2,8418.0,8206.9,6017.1,8853.7,8859.3,4806.3,9940.6,7879.4,5667.6,1743.1,9010.3,9369.1,0,5293.1,5401.1
Poughkeepsie,7987.4,8118.0,3896.2,6590.0,6463.6,8800.5,6011.4,3978.3,4740.1,7246.0,7239.8,4381.1,6141.9,8289.4,1055.1,5073.6,5144.1,8141.7,576.6,6314.6,4248.5,9065.6,7732.8,5648.4,2662.4,9625.2,2437.7,8980.0,8330.0,2349.8,1581.6,2739.6,578.5,2369.4,6482.9,9826.7,3697.8,2301.5,5020.3,3114.8,5080.4,2226.8,9761.1,235.5,1123.4,6248.7,7763.1,5293.1,0,7235.7
North Hempstead,6337.9,2353.0,5311.7,6547.4,5665.8,2777.0,2392.7,184.5,8852.0,8749.7,8746.7,1020.4,4101.7,2110.8,2598.4,7003.7,3335.0,2086.4,4586.2,6192.7,7240.4,9066.5,923.5,7882.0,721.4,4534.3,4481.3,2808.9,2494.6,7803.1,1604.9,2304.8,7423.6,3902.3,6120.8,910.8,2244.5,5225.0,2600.6,8531.9,955.7,6106.5,6961.2,2475.6,9222.0,9833.1,7040.7,5401.1,7235.7,0
