CSV,Staten Island,East Aurora,Stony Point,Buffalo,Troy,Syracuse,Coney Island,Beacon,Saratoga Springs,Elmira,Harlem,Oneonta,Yonkers,New Windsor,Huntington,Hyde Park,Herkimer,Newburgh,Olean,Brooklyn,Southampton,Cortland,Nyack,Ossining,Poughkeepsie,Ilion,Glens Falls,Watertown,Lake Placid,Utica,Jamestown,Great Neck,Rotterdam,Watervliet,Middletown,Manhattan,Eastchester,Plattsburgh,Niagara Falls,Mamaroneck,Tarrytown,Oyster Bay,Lackawanna,Peekskill,Rensselaer,Clinton,Ogdensburg,Potsdam,Mineola,Crown Point
Harlem,810.9,9640.2,8607.3,5500.5,720.3,5343.4,4149.7,2982.7,9441.4,4738.3,0,501.3,5232.0,1305.6,3601.1,9512.0,5297.8,9994.6,6718.2,9641.5,6301.6,9205.1,3700.9,5051.1,7445.3,7791.7,3116.3,3028.6,7934.7,6978.8,1083.2,8948.3,4059.6,2972.1,5762.5,8919.6,2433.0,4257.3,7302.7,5834.9,6363.3,5726.8,4380.7,2592.4,6318.2,1640.0,4968.2,3710.0,1481.5,4174.5
Oneonta,2119.4,5257.7,140.7,4231.5,4314.8,9663.3,7452.7,346.4,3861.3,2675.5,501.3,0,9499.7,6667.7,6704.9,636.0,3777.1,2973.1,9811.3,6359.7,6988.9,7326.4,7747.3,5691.1,4727.8,8143.0,361.1,9442.3,6570.6,6646.3,5870.2,5366.9,4838.0,7347.0,6394.9,7140.4,543.7,2659.9,7303.6,4600.0,6470.0,5826.7,1727.2,9621.1,6794.4,6761.6,399.7,6127.5,5559.3,5288.2
Yonkers,4689.2,6319.3,7743.9,4854.3,1547.1,7433.6,4203.4,8062.7,5038.3,9114.0,5232.0,9499.7,0,802.7,285.3,199.1,4153.3,2.0,6071.7,951.2,3301.4,7022.0,9173.9,9718.9,3587.2,2700.9,211.2,6049.5,7518.6,2439.9,4863.0,8800.8,6805.8,6350.4,9524.3,5619.9,2517.8,687.1,2627.7,8310.3,2258.4,6824.0,504.3,1959.9,3751.0,8167.8,3562.8,946.1,4428.2,8160.4
New Windsor,7964.2,5642.1,193.0,919.1,5794.2,1540.3,9996.8,9536.7,813.5,4081.6,1305.6,6667.7,802.7,0,1230.6,3324.1,6955.2,6225.1,7536.0,5486.4,6397.7,2510.3,6657.3,9450.4,4294.6,7632.9,7732.0,62.0,9071.8,7957.6,3030.1,281.6,2484.7,8954.6,2702.0,7487.0,4739.6,5078.4,7991.4,8906.5,1415.0,6001.3,805.6,4090.7,6278.9,9861.1,4837.7,9863.2,3924.9,1252.3
Huntington,4481.3,6544.2,6677.5,7388.7,4808.6,4014.4,970.3,6372.7,281.0,2427.9,3601.1,6704.9,285.3,1230.6,0,9798.5,1934.2,9110.6,9209.9,3704.5,1427.0,8647.1,6199.4,553.8,1812.9,228.5,4554.3,4198.9,7883.5,9956.5,8264.5,536.2,9390.1,756.1,5992.0,239.0,7452.9,4891.4,935.0,9811.4,1174.3,757.5,1243.0,9970.4,4402.4,9391.3,3724.0,24.4,4444.5,7295.4
Hyde Park,8407.9,517.6,7040.3,7355.6,5929.3,3447.3,4087.4,5241.2,6847.2,7227.0,9512.0,636.0,199.1,3324.1,9798.5,0,3931.4,8313.0,7385.0,8853.8,3433.4,3007.2,3707.0,1088.1,4708.0,964.9,2648.5,2623.9,8243.6,8585.3,5972.8,9530.8,7124.4,7629.2,8360.8,4588.1,416.0,4688.6,3935.0,6772.4,3263.4,2024.2,1672.2,1258.2,3282.6,1747.9,6317.0,4405.9,4969.3,9069.9
Herkimer,447.8,8924.7,2872.3,8344.1,9244.9,8393.0,5729.3,2731.6,4495.4,6554.2,5297.8,3777.1,4153.3,6955.2,1934.2,3931.4,0,1442.3,8717.9,5519.2,6657.6,7162.7,6272.0,2887.1,9125.9,507.0,8790.4,8919.8,7999.2,1509.0,7745.4,6740.6,963.9,5628.8,538.8,9694.7,3293.0,4593.9,4330.6,1969.9,8960.3,7711.3,3847.7,7652.5,8055.4,4496.3,3888.9,7873.0,9956.1,8111.5
Newburgh,3082.3,8534.7,500.0,5335.3,9834.6,5987.5,4550.5,361.0,4354.3,5063.1,9994.6,2973.1,2.0,6225.1,9110.6,8313.0,1442.3,0,410.3,7558.3,9569.1,8821.9,9930.0,9901.2,397.4,9149.4,8963.2,9413.0,1566.2,2022.1,2379.6,2839.6,4036.8,6663.9,5374.6,9078.5,684.6,3593.3,9861.5,6603.6,4083.9,4849.5,9600.4,81.6,8604.5,5931.1,187.4,3223.9,2654.5,4014.1
Olean,9626.1,6576.4,9431.1,9391.7,9700.5,7195.8,3464.5,5097.2,5509.3,1272.0,6718.2,9811.3,6071.7,7536.0,9209.9,7385.0,8717.9,410.3,0,6614.5,2535.7,6885.7,1978.3,1713.4,9128.0,7836.5,9376.0,9483.1,5033.3,3136.2,5158.7,7026.3,350.4,9619.2,9422.7,2140.4,1945.1,4928.6,4371.3,9623.0,9036.0,269.7,3821.3,7393.1,508.1,6957.7,6219.5,9841.4,2859.7,7003.3
Brooklyn,4790.6,5397.3,9901.4,2445.0,4595.4,5522.8,4716.3,9355.4,5907.9,5878.8,9641.5,6359.7,951.2,5486.4,3704.5,8853.8,5519.2,7558.3,6614.5,0,5678.7,8660.9,9521.1,7144.6,6318.4,8045.7,5700.3,9913.5,6269.7,9649.5,7720.8,5692.7,5111.6,7552.4,1424.1,6167.4,2163.3,757.9,4328.6,5867.9,2499.1,8196.9,6437.7,6611.3,4247.2,4685.6,6646.4,5088.8,1888.6,2061.6
Southampton,7391.3,4369.6,559.6,3112.6,9431.8,1253.3,2732.2,3861.1,1967.9,1914.4,6301.6,6988.9,3301.4,6397.7,1427.0,3433.4,6657.6,9569.1,2535.7,5678.7,0,3276.9,9337.6,2365.8,8645.8,6262.1,3667.9,5210.8,9738.5,7845.1,5505.1,3269.0,1336.8,7592.5,1932.0,7610.9,4897.8,3300.3,5548.2,5360.3,3345.4,221.9,1394.2,954.9,6485.0,1105.5,423.8,1188.7,2355.7,4078.2
Cortland,5811.0,76.7,3316.9,340.6,9991.9,63.3,5785.4,6650.0,5053.9,2412.8,9205.1,7326.4,7022.0,2510.3,8647.1,3007.2,7162.7,8821.9,6885.7,8660.9,3276.9,0,3350.6,6642.2,3647.1,9228.6,3634.1,2005.1,1969.7,1894.9,992.9,3604.3,6100.1,1992.2,121.9,6318.7,7053.7,8826.5,5993.0,6118.0,1652.4,9072.6,9364.0,2391.1,5625.1,9721.1,173.2,4275.2,2294.5,2198.8
Nyack,6597.8,2044.6,57.4,9232.3,6140.5,6141.5,1122.8,7806.2,4603.7,5799.9,3700.9,7747.3,9173.9,6657.3,6199.4,3707.0,6272.0,9930.0,1978.3,9521.1,9337.6,3350.6,0,4117.1,9773.0,9516.7,7048.3,5306.0,8471.0,6353.9,1236.2,5937.6,6483.0,2340.2,4458.9,6326.2,7393.4,2651.4,2669.4,7971.0,5837.1,8278.3,7354.5,1869.4,5389.8,1755.2,3954.0,282.8,2419.4,3667.5
Ossining,1551.1,4190.8,2293.6,3742.7,6829.3,3250.1,6774.4,1080.7,7936.0,9809.9,5051.1,5691.1,9718.9,9450.4,553.8,1088.1,2887.1,9901.2,1713.4,7144.6,2365.8,6642.2,4117.1,0,6125.9,6851.5,2997.7,5734.3,675.4,8631.4,4854.9,1914.1,6525.2,6872.8,3699.6,3031.4,7568.8,2409.4,3832.5,8841.3,4572.0,8869.9,1469.0,9532.4,7188.5,9647.5,8274.8,8779.9,4651.8,1312.2
Poughkeepsie,1840.2,5573.6,6563.0,930.4,86.4,4721.5,9456.1,4483.3,4970.0,9017.2,7445.3,4727.8,3587.2,4294.6,1812.9,4708.0,9125.9,397.4,9128.0,6318.4,8645.8,3647.1,9773.0,6125.9,0,5315.6,194.7,4145.7,3172.0,8393.7,4533.6,3042.2,3502.8,8897.6,8543.4,3861.5,7429.8,3093.0,2212.9,2574.3,4824.1,17.9,9623.4,1238.0,5653.9,3429.8,7607.1,2868.7,9519.2,4726.3
Ilion,6468.7,890.1,657.1,2148.8,9482.5,7230.9,1632.9,1116.7,8407.5,4427.2,7791.7,8143.0,2700.9,7632.9,228.5,964.9,507.0,9149.4,7836.5,8045.7,6262.1,9228.6,9516.7,6851.5,5315.6,0,5941.3,925.7,7.0,7783.1,2778.0,2776.8,3595.4,1387.1,6148.6,1916.6,3583.0,3536.3,8631.1,5998.3,3416.0,6079.3,2515.4,5474.0,5142.7,2216.7,2830.9,5168.8,1447.5,8136.8
Glens Falls,3153.9,568.4,9698.1,5090.7,8926.0,6224.5,8769.7,7595.0,126.0,3719.0,3116.3,361.1,211.2,7732.0,4554.3,2648.5,8790.4,8963.2,9376.0,5700.3,3667.9,3634.1,7048.3,2997.7,194.7,5941.3,0,2893.6,1892.9,1529.4,1758.1,786.3,8362.3,9735.6,2768.4,4450.8,5025.5,1608.8,6625.0,7985.8,3597.2,8774.0,8463.5,3372.8,5726.7,7698.2,7522.5,8780.4,3662.9,7978.1
Watertown,2299.8,779.8,3959.6,1434.4,6641.5,2419.0,1203.1,8487.3,2328.4,6672.5,3028.6,9442.3,6049.5,62.0,4198.9,2623.9,8919.8,9413.0,9483.1,9913.5,5210.8,2005.1,5306.0,5734.3,4145.7,925.7,2893.6,0,7739.4,3437.1,9348.7,287.5,7239.6,9378.3,1521.8,3731.2,4164.1,6915.2,6196.6,135.9,9738.4,9566.7,3245.8,2904.2,8882.5,5658.4,7554.7,3283.3,252.5,2610.7
Lake Placid,3469.1,2571.0,9583.7,3678.0,8007.2,120.3,1042.9,6060.6,7132.6,4519.3,7934.7,6570.6,7518.6,9071.8,7883.5,8243.6,7999.2,1566.2,5033.3,6269.7,9738.5,1969.7,8471.0,675.4,3172.0,7.0,1892.9,7739.4,0,5108.5,861.7,8474.2,2258.1,2277.5,1509.8,8885.4,3021.4,1659.5,9095.7,5316.7,2379.9,9711.1,7982.4,4961.2,793.0,5130.3,8437.7,7231.6,8211.8,6269.4
Utica,7171.8,7537.6,6817.9,5138.8,6475.8,6202.9,2417.6,6336.1,1458.8,2340.3,6978.8,6646.3,2439.9,7957.6,9956.5,8585.3,1509.0,2022.1,3136.2,9649.5,7845.1,1894.9,6353.9,8631.4,8393.7,7783.1,1529.4,3437.1,5108.5,0,5751.4,9560.2,3616.7,7316.2,9890.2,1221.9,4152.0,1716.1,4732.2,8357.9,7861.0,878.4,3068.1,3344.6,3881.5,4985.4,2127.2,894.1,5576.7,5428.0
Jamestown,9409.8,6659.1,5776.2,6408.1,6804.5,3925.7,2149.6,188.5,3142.3,5919.8,1083.2,5870.2,4863.0,3030.1,8264.5,5972.8,7745.4,2379.6,5158.7,7720.8,5505.1,992.9,1236.2,4854.9,4533.6,2778.0,1758.1,9348.7,861.7,5751.4,0,9878.9,5286.0,2345.9,9837.6,2915.6,9349.4,184.4,6012.1,1365.3,9838.3,8639.5,3336.9,2975.0,4296.9,647.4,9776.5,9006.2,7960.8,7581.8
Great Neck,6536.9,7214.6,2633.7,9520.1,2383.3,220.9,7222.1,3945.8,7115.5,6320.8,8948.3,5366.9,8800.8,281.6,536.2,9530.8,6740.6,2839.6,7026.3,5692.7,3269.0,3604.3,5937.6,1914.1,3042.2,2776.8,786.3,287.5,8474.2,9560.2,9878.9,0,3355.9,3209.9,6251.4,9334.7,933.8,7249.8,5346.4,1190.3,7594.6,464.1,152.5,5070.0,4963.2,2339.2,8781.3,3870.9,3199.1,8990.8
Rotterdam,2686.4,9063.1,5054.3,6071.1,7695.9,7941.0,8699.5,4098.1,9554.1,1848.4,4059.6,4838.0,6805.8,2484.7,9390.1,7124.4,963.9,4036.8,350.4,5111.6,1336.8,6100.1,6483.0,6525.2,3502.8,3595.4,8362.3,7239.6,2258.1,3616.7,5286.0,3355.9,0,7968.8,7680.4,2414.8,1474.7,8816.2,3407.1,6431.7,2854.8,8133.6,3968.7,5213.7,1696.0,6338.1,9617.9,8233.0,7575.6,3002.3
Watervliet,774.9,19.7,9208.8,1062.8,4169.8,6955.8,9160.9,1476.5,9232.7,5701.7,2972.1,7347.0,6350.4,8954.6,756.1,7629.2,5628.8,6663.9,9619.2,7552.4,7592.5,1992.2,2340.2,6872.8,8897.6,1387.1,9735.6,9378.3,2277.5,7316.2,2345.9,3209.9,7968.8,0,8102.1,3411.6,1774.0,3836.7,3529.9,1220.8,4529.3,6120.9,6717.8,5818.9,7163.9,9419.7,1531.3,923.7,8310.2,5036.2
Middletown,7916.6,5705.4,6097.4,607.0,3737.7,2370.9,7990.0,2392.0,9050.7,2615.5,5762.5,6394.9,9524.3,2702.0,5992.0,8360.8,538.8,5374.6,9422.7,1424.1,1932.0,121.9,4458.9,3699.6,8543.4,6148.6,2768.4,1521.8,1509.8,9890.2,9837.6,6251.4,7680.4,8102.1,0,354.4,5884.5,1215.7,4958.1,3005.0,809.0,2429.8,4542.3,1356.0,1639.8,1591.4,7446.5,5948.0,8859.4,1955.3
Manhattan,2108.9,4983.2,6824.6,2242.1,166.0,3710.8,2147.8,6553.2,2798.2,7049.1,8919.6,7140.4,5619.9,7487.0,239.0,4588.1,9694.7,9078.5,2140.4,6167.4,7610.9,6318.7,6326.2,3031.4,3861.5,1916.6,4450.8,3731.2,8885.4,1221.9,2915.6,9334.7,2414.8,3411.6,354.4,0,838.3,8728.3,1792.5,3557.5,3696.9,1924.9,1296.1,7876.2,3904.5,4813.6,2471.5,1665.1,740.5,7041.0
Eastchester,3618.0,1427.5,5754.0,4326.4,253.0,4660.3,8448.9,5568.9,933.2,7624.5,2433.0,543.7,2517.8,4739.6,7452.9,416.0,3293.0,684.6,1945.1,2163.3,4897.8,7053.7,7393.4,7568.8,7429.8,3583.0,5025.5,4164.1,3021.4,4152.0,9349.4,933.8,1474.7,1774.0,5884.5,838.3,0,9323.5,8570.6,464.2,2891.4,1081.4,8724.6,2775.9,4626.5,9602.4,5617.7,7607.7,1189.0,1036.6
Plattsburgh,8179.7,1276.7,5166.5,6291.3,1125.7,510.7,5469.8,8178.8,9578.4,6548.8,4257.3,2659.9,687.1,5078.4,4891.4,4688.6,4593.9,3593.3,4928.6,757.9,3300.3,8826.5,2651.4,2409.4,3093.0,3536.3,1608.8,6915.2,1659.5,1716.1,184.4,7249.8,8816.2,3836.7,1215.7,8728.3,9323.5,0,3705.2,7698.9,1717.8,5229.2,8823.2,231.6,5793.8,7299.1,6170.7,2450.9,8869.3,2420.2
Niagara Falls,4963.7,7524.6,6491.4,6957.6,4269.5,4693.3,8971.6,9292.2,9550.7,1420.0,7302.7,7303.6,2627.7,7991.4,935.0,3935.0,4330.6,9861.5,4371.3,4328.6,5548.2,5993.0,2669.4,3832.5,2212.9,8631.1,6625.0,6196.6,9095.7,4732.2,6012.1,5346.4,3407.1,3529.9,4958.1,1792.5,8570.6,3705.2,0,5600.8,8038.5,1650.6,2196.8,3235.3,7322.0,7844.0,7479.9,53.7,2653.0,805.8
Mamaroneck,5489.2,9427.9,5309.6,1979.5,7980.4,7447.7,1802.1,8049.9,4201.1,2346.6,5834.9,4600.0,8310.3,8906.5,9811.4,6772.4,1969.9,6603.6,9623.0,5867.9,5360.3,6118.0,7971.0,8841.3,2574.3,5998.3,7985.8,135.9,5316.7,8357.9,1365.3,1190.3,6431.7,1220.8,3005.0,3557.5,464.2,7698.9,5600.8,0,3714.2,388.5,6930.1,1256.4,3479.0,4671.2,2816.1,7483.1,9745.3,5122.7
Tarrytown,64.3,616.5,6579.2,794.1,2242.9,250.7,2825.6,5353.1,2882.3,1317.4,6363.3,6470.0,2258.4,1415.0,1174.3,3263.4,8960.3,4083.9,9036.0,2499.1,3345.4,1652.4,5837.1,4572.0,4824.1,3416.0,3597.2,9738.4,2379.9,7861.0,9838.3,7594.6,2854.8,4529.3,809.0,3696.9,2891.4,1717.8,8038.5,3714.2,0,5802.1,5633.1,7362.5,1110.9,6330.7,3443.9,2358.1,8906.7,684.1
Oyster Bay,9875.9,8061.7,1063.6,9819.4,9616.4,6428.9,6633.9,3276.2,7267.3,5475.9,5726.8,5826.7,6824.0,6001.3,757.5,2024.2,7711.3,4849.5,269.7,8196.9,221.9,9072.6,8278.3,8869.9,17.9,6079.3,8774.0,9566.7,9711.1,878.4,8639.5,464.1,8133.6,6120.9,2429.8,1924.9,1081.4,5229.2,1650.6,388.5,5802.1,0,8486.5,2124.9,9793.6,4722.7,3113.2,835.5,4342.8,7186.6
Lackawanna,9639.6,5755.7,9663.9,6547.5,5024.6,5237.1,102.8,60.9,9781.7,8591.2,4380.7,1727.2,504.3,805.6,1243.0,1672.2,3847.7,9600.4,3821.3,6437.7,1394.2,9364.0,7354.5,1469.0,9623.4,2515.4,8463.5,3245.8,7982.4,3068.1,3336.9,152.5,3968.7,6717.8,4542.3,1296.1,8724.6,8823.2,2196.8,6930.1,5633.1,8486.5,0,6921.7,9651.0,7009.7,4565.2,7007.6,3562.5,9203.4
Peekskill,2121.3,4335.8,9141.8,5766.9,8415.6,8763.1,7016.8,3139.7,2744.4,3422.0,2592.4,9621.1,1959.9,4090.7,9970.4,1258.2,7652.5,81.6,7393.1,6611.3,954.9,2391.1,1869.4,9532.4,1238.0,5474.0,3372.8,2904.2,4961.2,3344.6,2975.0,5070.0,5213.7,5818.9,1356.0,7876.2,2775.9,231.6,3235.3,1256.4,7362.5,2124.9,6921.7,0,5708.0,9536.8,7753.1,2853.9,371.3,3015.1
Rensselaer,687.7,7813.7,7080.8,6130.8,7661.1,5501.6,4150.7,5402.9,7204.3,7866.3,6318.2,6794.4,3751.0,6278.9,4402.4,3282.6,8055.4,8604.5,508.1,4247.2,6485.0,5625.1,5389.8,7188.5,5653.9,5142.7,5726.7,8882.5,793.0,3881.5,4296.9,4963.2,1696.0,7163.9,1639.8,3904.5,4626.5,5793.8,7322.0,3479.0,1110.9,9793.6,9651.0,5708.0,0,9946.8,8697.3,4538.1,3100.2,9610.8
Clinton,9619.6,4767.3,448.7,8168.4,6704.3,3300.2,4707.3,7157.5,923.2,8545.5,1640.0,6761.6,8167.8,9861.1,9391.3,1747.9,4496.3,5931.1,6957.7,4685.6,1105.5,9721.1,1755.2,9647.5,3429.8,2216.7,7698.2,5658.4,5130.3,4985.4,647.4,2339.2,6338.1,9419.7,1591.4,4813.6,9602.4,7299.1,7844.0,4671.2,6330.7,4722.7,7009.7,9536.8,9946.8,0,2341.1,7345.3,1893.5,2190.7
Ogdensburg,4850.9,726.6,1504.0,5901.3,15.5,7337.5,8714.6,2369.1,7709.4,9128.5,4968.2,399.7,3562.8,4837.7,3724.0,6317.0,3888.9,187.4,6219.5,6646.4,423.8,173.2,3954.0,8274.8,7607.1,2830.9,7522.5,7554.7,8437.7,2127.2,9776.5,8781.3,9617.9,1531.3,7446.5,2471.5,5617.7,6170.7,7479.9,2816.1,3443.9,3113.2,4565.2,7753.1,8697.3,2341.1,0,8987.4,4625.4,362.0
Potsdam,1878.2,3240.0,3567.4,477.8,5627.1,733.3,1763.4,9993.7,631.9,7402.4,3710.0,6127.5,946.1,9863.2,24.4,4405.9,7873.0,3223.9,9841.4,5088.8,1188.7,4275.2,282.8,8779.9,2868.7,5168.8,8780.4,3283.3,7231.6,894.1,9006.2,3870.9,8233.0,923.7,5948.0,1665.1,7607.7,2450.9,53.7,7483.1,2358.1,835.5,7007.6,2853.9,4538.1,7345.3,8987.4,0,818.0,7930.2
Mineola,3570.2,7547.5,3505.0,1763.1,2591.6,5215.8,7872.2,2481.8,9066.3,9097.0,1481.5,5559.3,4428.2,3924.9,4444.5,4969.3,9956.1,2654.5,2859.7,1888.6,2355.7,2294.5,2419.4,4651.8,9519.2,1447.5,3662.9,252.5,8211.8,5576.7,7960.8,3199.1,7575.6,8310.2,8859.4,740.5,1189.0,8869.3,2653.0,9745.3,8906.7,4342.8,3562.5,371.3,3100.2,1893.5,4625.4,818.0,0,6273.8
Crown Point,7610.4,3872.6,9334.6,1119.3,4826.2,3936.9,5438.4,738.4,2306.1,6378.8,4174.5,5288.2,8160.4,1252.3,7295.4,9069.9,8111.5,4014.1,7003.3,2061.6,4078.2,2198.8,3667.5,1312.2,4726.3,8136.8,7978.1,2610.7,6269.4,5428.0,7581.8,8990.8,3002.3,5036.2,1955.3,7041.0,1036.6,2420.2,805.8,5122.7,684.1,7186.6,9203.4,3015.1,9610.8,2190.7,362.0,7930.2,6273.8,0
