CSV,Newburgh,Ogdensburg,Rome,Scarsdale,East Hampton,Saranac Lake,Oneonta,Utica,Queens,Brooklyn,Great Neck,Massena,Cohoes,Johnstown,New Rochelle,Dunkirk,Fredonia,Amsterdam,Rochester,Watertown,Staten Island,Clinton,Beacon,Nyack,Flushing,Mineola,Oyster Bay,East Aurora,White Plains,Rensselaer,Corning,Babylon,Hammondsport,New Paltz,Manhattan,Crown Point,Mount Vernon,Watkins Glen,Niagara Falls,Rotterdam,Mamaroneck,Ticonderoga,Glens Falls,Binghamton,Lockport,Stony Brook,Cheektowaga,Rye,Watervliet
Flushing,7444.2,7890.7,4284.1,8913.2,5821.0,5498.3,3412.5,2117.7,8041.0,4962.1,4920.4,4621.5,8457.7,8738.1,5496.9,4131.9,2946.3,4860.3,4809.7,7565.2,2673.0,6220.6,171.2,5317.0,0,1336.6,8720.5,4070.1,3451.9,7459.5,1731.7,973.8,2531.1,788.1,1488.3,3178.5,5276.5,4392.5,3242.6,53.3,9597.8,5203.3,892.0,7722.0,1473.9,5999.5,7972.3,8270.3,8774.1
Mineola,8205.6,4173.5,1148.7,1682.5,9947.7,7854.0,5044.5,3443.1,1619.6,8149.1,6024.0,5923.1,9749.5,151.6,940.1,3999.1,5774.8,8529.9,7375.2,2746.5,9338.2,2376.6,1491.2,4527.6,1336.6,0,957.5,4308.2,1243.7,2094.5,9582.4,2068.7,2954.6,8012.7,6724.4,5816.7,6882.2,1415.7,4350.7,2879.8,5355.2,2679.4,8686.8,3881.3,7870.7,9976.4,2762.6,7533.5,2059.1
Oyster Bay,2826.7,1441.8,4123.6,3002.8,4124.7,5535.8,7653.7,3638.4,3456.4,6395.1,6357.5,5883.8,2906.6,2224.6,3507.1,1435.4,6436.1,9724.4,846.6,8768.0,4445.5,1531.8,3386.4,6980.5,8720.5,957.5,0,7.4,8088.8,8184.9,2830.4,7672.5,1990.6,7747.2,9683.5,9497.5,7886.3,2185.7,8379.8,9182.7,5916.3,5517.8,9379.3,211.9,7901.9,5460.8,1749.4,4715.7,9612.3
East Aurora,1381.4,2749.8,7279.0,8589.8,3937.5,1548.0,7248.6,3259.7,3777.6,2835.4,5884.7,7736.1,9268.0,8933.3,5711.4,416.5,5619.3,3604.8,9558.8,4468.9,7344.7,8622.8,6292.3,9986.5,4070.1,4308.2,7.4,0,6325.4,6929.7,7848.7,1800.8,2485.8,8568.6,4733.6,2519.3,4342.1,111.1,226.6,2847.1,7153.4,3828.5,5995.2,32.4,9868.2,7640.7,227.3,6078.0,7504.4
White Plains,8964.6,1801.1,3447.2,6450.1,5683.7,7293.7,8372.2,1494.4,3372.9,2690.3,3661.4,1633.6,5466.6,5141.3,3620.4,8485.8,4893.4,8629.7,1763.1,2331.7,3293.0,5055.6,4912.0,9168.0,3451.9,1243.7,8088.8,6325.4,0,9175.7,3477.7,7045.4,5849.0,376.5,4925.5,8278.3,3286.1,2403.4,1912.0,9974.4,4605.6,581.6,4076.4,6809.2,6364.6,8393.4,2185.3,6692.9,7197.7
Rensselaer,5122.7,3146.3,6945.0,4558.5,7338.5,8180.6,883.2,9933.8,5412.8,1254.1,506.6,1659.2,4536.6,4138.4,8352.5,5753.5,6799.1,5630.4,279.0,5800.0,6556.3,6253.4,3502.5,2237.2,7459.5,2094.5,8184.9,6929.7,9175.7,0,3101.0,7714.5,9589.7,9574.5,7853.8,8784.9,4402.8,5982.2,3156.6,728.2,2684.6,5966.5,9228.9,1180.9,3731.8,6971.9,6714.1,9535.8,3339.1
Corning,6272.4,5498.8,7249.0,8922.9,2183.2,7824.3,8900.2,8073.2,1240.8,9774.8,3553.3,923.9,9384.7,972.3,690.2,4479.8,2240.9,5738.5,8960.5,5170.8,4326.5,6661.4,8345.2,3546.7,1731.7,9582.4,2830.4,7848.7,3477.7,3101.0,0,6123.9,3206.9,8267.6,1538.3,3914.3,9201.6,6126.2,51.4,5226.5,1034.4,3526.6,2240.6,9999.8,543.1,2991.4,6718.5,1043.6,8449.6
Babylon,6762.6,6632.2,7252.0,4435.2,2451.4,4126.2,2878.9,1110.3,9551.3,519.7,553.9,5563.5,3341.7,6812.2,9094.8,8682.4,8702.9,8107.7,9816.1,6002.0,7017.4,440.9,7692.3,8945.1,973.8,2068.7,7672.5,1800.8,7045.4,7714.5,6123.9,0,2186.9,3554.6,310.1,5398.3,3854.0,925.5,4815.4,7187.2,2396.2,6193.1,4193.6,6717.6,6573.2,3326.9,5469.6,3811.6,4765.4
Hammondsport,4247.0,270.2,6734.7,3118.3,7731.8,5699.7,3728.6,3335.9,2768.2,4980.1,4542.2,7610.6,5956.6,6704.9,3244.7,3320.8,8531.3,4132.8,4000.5,1355.2,3299.9,782.7,5964.4,2626.3,2531.1,2954.6,1990.6,2485.8,5849.0,9589.7,3206.9,2186.9,0,678.6,4714.6,4293.6,7143.8,92.7,9488.1,6527.4,9659.8,4711.5,8022.5,3655.8,9547.9,4917.6,4730.6,2767.1,7649.8
New Paltz,6752.9,9210.1,34.8,8586.8,1501.1,4278.9,5347.9,233.9,6500.6,8505.4,1574.6,9759.1,7256.2,1100.4,8628.3,5863.7,5438.1,1140.6,3485.9,1056.0,1281.1,6515.6,4391.7,9134.3,788.1,8012.7,7747.2,8568.6,376.5,9574.5,8267.6,3554.6,678.6,0,4433.1,7108.6,6952.2,2739.5,4076.7,2664.5,6044.5,2501.6,5337.4,5679.2,2098.0,1291.9,264.8,4149.2,4694.6
Manhattan,1293.8,2552.0,7299.2,4373.2,4548.2,8562.8,795.0,9090.7,9116.7,4559.9,2777.0,3168.5,8881.0,9832.7,7233.4,9411.0,4211.2,621.1,1557.5,7062.8,3746.7,782.6,1451.3,492.1,1488.3,6724.4,9683.5,4733.6,4925.5,7853.8,1538.3,310.1,4714.6,4433.1,0,4341.6,6699.8,1722.6,5823.7,9423.3,7225.2,9537.3,8773.4,6106.9,3399.6,5274.9,1706.8,3855.9,4804.4
Crown Point,3709.6,3253.8,6893.1,9415.1,3110.0,914.2,8914.9,8679.6,5889.5,1697.4,9699.5,9066.9,1594.3,2545.6,5911.5,7719.4,1717.1,1144.5,4160.3,1687.7,3231.9,5153.4,3129.8,7217.5,3178.5,5816.7,9497.5,2519.3,8278.3,8784.9,3914.3,5398.3,4293.6,7108.6,4341.6,0,1676.8,4148.5,3654.8,1949.9,9703.8,4034.9,2275.6,5857.7,4780.8,4045.1,1442.7,5794.7,6454.1
Mount Vernon,7426.9,6821.5,845.8,44.4,6111.3,6977.5,832.5,8838.9,7442.5,1645.6,8586.5,2270.9,2818.7,4370.5,2058.9,358.0,4304.5,3715.7,4692.3,8637.3,7068.6,1544.5,7856.2,5666.3,5276.5,6882.2,7886.3,4342.1,3286.1,4402.8,9201.6,3854.0,7143.8,6952.2,6699.8,1676.8,0,9451.8,7086.1,9379.9,73.1,8858.1,6082.9,7830.6,6111.2,8575.6,5633.5,8937.1,1057.5
Watkins Glen,1788.4,7784.3,8613.6,2829.4,7300.8,6261.8,582.0,4058.3,6710.9,8103.8,2626.1,227.8,8877.5,7946.2,94.2,9713.3,4246.8,1813.1,3129.6,5886.1,1530.7,3912.6,4401.5,8168.9,4392.5,1415.7,2185.7,111.1,2403.4,5982.2,6126.2,925.5,92.7,2739.5,1722.6,4148.5,9451.8,0,5133.5,8609.7,2447.1,8048.2,3521.6,9248.9,1641.5,8044.6,8544.3,3346.5,291.3
Niagara Falls,7778.9,7360.8,8551.0,3643.9,4164.0,9223.4,2588.4,3034.1,240.8,1344.8,1515.8,5378.3,6096.5,8491.6,2935.7,776.5,4563.9,7198.9,2858.6,1702.1,8349.5,4838.3,4507.9,8422.8,3242.6,4350.7,8379.8,226.6,1912.0,3156.6,51.4,4815.4,9488.1,4076.7,5823.7,3654.8,7086.1,5133.5,0,3269.8,3424.0,7094.3,8391.9,9853.7,70.7,5335.8,3506.0,5014.4,1575.5
Rotterdam,7404.6,3984.4,6855.3,3199.3,9667.9,9612.6,1409.4,7377.8,5628.1,3642.6,7641.7,6689.9,6276.1,2845.8,565.1,580.2,6343.7,5851.6,5798.0,8244.4,8617.6,3284.1,4826.9,7291.6,53.3,2879.8,9182.7,2847.1,9974.4,728.2,5226.5,7187.2,6527.4,2664.5,9423.3,1949.9,9379.9,8609.7,3269.8,0,8295.0,1153.4,9662.4,8158.8,4416.0,6603.7,872.9,7155.2,9396.1
Mamaroneck,6452.8,9272.6,3053.0,5078.7,9720.5,7430.6,5267.5,2655.1,3732.7,5907.4,9713.8,598.9,3991.0,7005.0,4882.7,7989.1,7573.0,3276.7,2202.2,7308.6,7761.9,1258.8,9118.0,5530.6,9597.8,5355.2,5916.3,7153.4,4605.6,2684.6,1034.4,2396.2,9659.8,6044.5,7225.2,9703.8,73.1,2447.1,3424.0,8295.0,0,9481.8,6014.1,2544.9,9377.5,2356.4,5271.1,4504.6,2058.1
Ticonderoga,1875.6,6393.2,3424.7,8611.0,4713.0,6438.8,2316.1,4384.9,262.3,3025.5,5899.2,7241.2,754.4,1111.8,2923.4,4451.9,2844.8,1408.6,2005.4,3713.5,7424.4,7069.4,7841.2,9933.0,5203.3,2679.4,5517.8,3828.5,581.6,5966.5,3526.6,6193.1,4711.5,2501.6,9537.3,4034.9,8858.1,8048.2,7094.3,1153.4,9481.8,0,4391.3,876.3,151.2,2143.6,3434.4,3695.5,9969.2
Glens Falls,8810.1,3249.0,9917.1,1445.3,3997.7,4017.2,5977.0,591.3,6055.5,844.9,2406.8,8136.8,5308.6,4230.6,7714.3,2051.2,5169.5,7382.0,2479.9,4609.1,5296.0,4878.5,5778.6,1194.9,892.0,8686.8,9379.3,5995.2,4076.4,9228.9,2240.6,4193.6,8022.5,5337.4,8773.4,2275.6,6082.9,3521.6,8391.9,9662.4,6014.1,4391.3,0,938.5,5402.1,5304.7,9560.1,1761.0,8263.8
Binghamton,4621.0,1755.9,8988.7,7569.6,2022.0,4668.8,8826.5,7704.1,1038.2,1868.0,4602.3,9426.8,5732.0,346.8,5082.0,4267.2,198.4,7033.7,4116.6,8220.2,5566.4,2079.3,1973.5,5788.7,7722.0,3881.3,211.9,32.4,6809.2,1180.9,9999.8,6717.6,3655.8,5679.2,6106.9,5857.7,7830.6,9248.9,9853.7,8158.8,2544.9,876.3,938.5,0,8833.1,162.1,7301.4,1406.8,4928.1
Lockport,955.2,3780.0,2534.5,8574.1,1998.6,8216.3,9644.6,1508.8,8042.7,5182.2,9415.3,7935.4,4414.2,9374.1,4221.2,5750.9,4416.5,7587.6,8694.2,6629.9,3579.0,3912.0,379.2,5454.3,1473.9,7870.7,7901.9,9868.2,6364.6,3731.8,543.1,6573.2,9547.9,2098.0,3399.6,4780.8,6111.2,1641.5,70.7,4416.0,9377.5,151.2,5402.1,8833.1,0,1976.1,6058.8,8616.1,5974.0
Stony Brook,1828.6,6137.4,3856.2,2719.7,4847.4,296.9,7643.7,9024.6,3951.2,5833.2,3733.4,8354.4,7609.2,719.7,9331.2,888.1,2545.3,6931.1,758.1,4962.8,6309.9,9983.8,6761.2,4413.4,5999.5,9976.4,5460.8,7640.7,8393.4,6971.9,2991.4,3326.9,4917.6,1291.9,5274.9,4045.1,8575.6,8044.6,5335.8,6603.7,2356.4,2143.6,5304.7,162.1,1976.1,0,7330.5,4743.9,7744.2
Cheektowaga,3848.8,1605.9,6430.5,6925.4,4185.9,4753.5,5293.1,385.7,6527.8,1854.9,4213.3,9436.5,9342.8,9612.1,7669.1,9282.5,1748.2,1616.2,3098.6,9664.7,7546.9,2672.7,2670.5,905.2,7972.3,2762.6,1749.4,227.3,2185.3,6714.1,6718.5,5469.6,4730.6,264.8,1706.8,1442.7,5633.5,8544.3,3506.0,872.9,5271.1,3434.4,9560.1,7301.4,6058.8,7330.5,0,6332.9,461.4
Rye,9469.0,5213.7,2693.1,3489.3,7196.7,5119.8,4803.7,9315.3,2457.6,7124.7,9704.9,4048.5,6972.7,369.1,4113.6,3563.6,1323.1,4022.6,4423.9,6989.4,7457.6,9490.9,3352.6,4350.3,8270.3,7533.5,4715.7,6078.0,6692.9,9535.8,1043.6,3811.6,2767.1,4149.2,3855.9,5794.7,8937.1,3346.5,5014.4,7155.2,4504.6,3695.5,1761.0,1406.8,8616.1,4743.9,6332.9,0,8175.4
Watervliet,6849.4,3784.9,5489.1,3760.8,1598.0,7784.0,6108.0,9375.4,183.0,2247.6,5486.9,2957.0,9196.2,7799.7,2341.2,360.6,6683.7,1786.4,8765.3,4204.2,8460.7,1615.2,8453.3,5080.5,8774.1,2059.1,9612.3,7504.4,7197.7,3339.1,8449.6,4765.4,7649.8,4694.6,4804.4,6454.1,1057.5,291.3,1575.5,9396.1,2058.1,9969.2,8263.8,4928.1,5974.0,7744.2,461.4,8175.4,0
