CSV,North Hempstead,Syracuse,Coney Island,Yonkers,Newburgh,Mineola,Huntington,Southampton,Crown Point,Watkins Glen,Hempstead,Staten Island,Ossining,Watervliet,Peekskill,Dunkirk,Scarsdale,Flushing,Tonawanda,Sag Harbor,Port Washington,East Hampton,Oneida,New Rochelle,Oneonta,Seneca Falls,Oyster Bay,Buffalo,Hyde Park,Troy,Utica,Batavia,Corning,Amsterdam,Beacon,New York City,Mamaroneck,Hammondsport,New Windsor,West Seneca,Bronx,Cohoes,Garden City,Cheektowaga,Olean,Saranac Lake,Lake Placid,Plattsburgh,Great Neck,Rensselaer
Hempstead,2598.6,2582.7,4426.1,295.7,9114.5,68.3,4684.5,9576.5,7795.3,3642.2,0,6890.1,9191.1,2503.6,1408.0,5950.8,3471.7,6009.3,5333.3,6792.8,3696.7,740.8,3825.3,7303.7,6094.9,2650.4,2885.8,7352.9,8870.9,7211.3,8643.9,2165.6,8414.7,215.3,6491.4,5823.0,9191.0,71.3,3966.3,8582.2,8550.4,1132.6,8402.5,6962.2,8301.7,481.5,8105.7,5834.7,8857.3,5344.1
Staten Island,4663.4,7541.4,2978.9,4065.0,8254.7,9024.4,6631.9,3039.1,3679.4,5040.6,6890.1,0,678.9,4953.5,5664.7,3932.5,5872.4,9508.2,5363.9,42.5,2462.3,5864.4,9906.9,1989.3,2034.9,4085.7,4220.5,5334.7,6445.9,5866.5,740.2,4913.1,6609.0,3797.7,3856.8,2813.0,1975.6,1072.7,9883.6,1877.9,4106.5,7112.9,6201.8,268.0,1190.2,3865.3,2988.5,2164.7,807.7,7366.9
Ossining,8108.8,758.9,8207.7,7644.7,3367.5,5204.2,4636.4,725.2,9511.3,1555.9,9191.1,678.9,0,8162.0,9964.9,9190.6,9109.0,3689.8,4491.8,6581.6,8442.0,8217.2,5583.6,5244.9,1496.0,9261.5,7862.6,7370.5,8865.6,2201.0,2548.6,924.5,4529.3,3420.9,8586.1,4965.5,1697.3,5589.6,6020.4,4229.9,9385.9,3206.1,4639.8,8280.3,8945.4,348.3,5569.8,7524.0,6854.7,6507.5
Watervliet,5538.5,6252.3,1803.4,3995.0,3738.5,8141.3,7763.1,9153.8,9372.6,2161.8,2503.6,4953.5,8162.0,0,6429.6,5635.5,3236.5,172.6,7603.7,4749.7,4822.0,9644.8,9199.8,9875.6,5882.2,8186.8,1821.9,5663.0,6287.7,2164.5,9808.8,7576.8,4008.2,6460.0,3040.1,7813.4,5484.0,6846.5,7534.9,8522.7,5601.2,5489.3,1341.3,7771.5,6316.2,8126.4,6216.1,8746.4,2464.8,7282.0
Peekskill,7774.7,6950.1,3309.1,3887.5,8912.1,1388.8,4018.3,7133.0,5420.6,1298.9,1408.0,5664.7,9964.9,6429.6,0,5038.0,3452.5,88.3,1090.5,2178.8,8288.2,8378.2,2393.0,3459.2,3761.2,7185.9,2335.4,7918.8,2336.4,1657.0,6872.5,464.5,864.5,5466.0,1244.4,3542.5,8892.1,5556.3,3837.7,71.2,4839.6,1380.4,8151.3,3526.5,8368.2,9491.5,9823.8,4163.5,4272.2,3195.6
Dunkirk,3058.6,1581.8,4168.5,8351.3,9060.2,8411.3,8446.8,4726.2,8910.8,7581.9,5950.8,3932.5,9190.6,5635.5,5038.0,0,6088.7,4438.4,7311.4,3821.6,6070.2,4909.3,1744.1,2772.2,9126.0,1711.7,2931.6,1999.5,1383.6,6176.9,2341.1,4656.0,9898.4,999.4,4076.9,7935.4,8367.0,1209.9,3571.3,4922.2,6834.4,4784.7,8142.7,542.5,478.6,2586.9,7438.4,3748.4,3840.0,5532.0
Scarsdale,9991.0,3443.2,8851.1,3754.6,3108.2,2460.3,9999.7,4896.2,6898.5,4236.8,3471.7,5872.4,9109.0,3236.5,3452.5,6088.7,0,4025.9,2994.0,4347.0,4434.9,7373.6,426.3,6928.8,5936.9,3164.8,8767.5,2811.1,4992.1,8661.4,7219.7,6842.2,6017.5,8233.1,1446.5,6438.5,7099.3,2353.2,9036.6,5802.0,2946.1,2182.1,4591.2,6641.0,4250.2,7922.1,7628.2,2537.3,2916.5,5028.1
Flushing,6932.2,6497.8,7283.1,7090.8,5108.3,6255.1,2870.6,7235.3,5431.1,4703.7,6009.3,9508.2,3689.8,172.6,88.3,4438.4,4025.9,0,491.7,3688.9,3595.0,2426.2,8383.8,4025.5,9208.9,3389.4,8799.1,1752.2,7895.8,8741.8,2279.7,3687.7,4005.2,8332.1,4705.1,1985.9,1861.6,2750.4,8989.2,7679.2,1449.9,3644.7,3583.9,1723.1,2416.4,2309.1,9836.2,7588.4,9105.7,7442.6
Tonawanda,7607.8,3966.8,5760.1,8096.1,724.4,9556.8,8576.3,9355.4,118.9,2246.5,5333.3,5363.9,4491.8,7603.7,1090.5,7311.4,2994.0,491.7,0,2860.4,3461.3,6035.4,514.6,2992.9,9915.4,1863.8,1548.3,5931.3,5986.1,4940.4,2272.7,7203.3,2596.7,6824.8,7635.5,7933.7,5161.7,1636.9,2220.6,4309.9,790.6,3603.4,7942.3,703.6,7177.0,6032.0,9675.9,6128.2,9855.3,9361.3
Sag Harbor,8642.3,1222.4,3611.4,9981.8,4750.8,3893.0,2669.9,799.4,8019.8,4743.7,6792.8,42.5,6581.6,4749.7,2178.8,3821.6,4347.0,3688.9,2860.4,0,5715.0,6249.6,485.1,8386.9,281.7,2324.3,8818.4,6055.3,3202.9,2496.0,8225.5,2235.0,3896.2,1376.8,1267.0,7294.4,8339.4,4559.3,6877.4,3119.6,4266.1,6868.8,1599.3,7299.3,5121.1,9045.7,1248.2,4745.2,2465.6,3826.1
Port Washington,307.8,2019.6,7315.1,8850.9,9304.0,5763.1,7805.4,5418.3,4933.1,3716.5,3696.7,2462.3,8442.0,4822.0,8288.2,6070.2,4434.9,3595.0,3461.3,5715.0,0,8827.7,3791.9,1938.7,6683.1,5137.6,7299.9,7402.7,3517.5,7991.4,4290.8,8876.4,6965.3,5427.4,7031.4,5623.4,7967.2,3583.7,3961.0,7137.5,5396.3,844.0,1277.6,7932.5,6190.9,9304.9,437.9,5974.9,6529.9,6120.0
East Hampton,1150.5,8483.1,3548.1,9132.6,4028.1,2665.3,1605.1,6357.5,2782.6,2328.3,740.8,5864.4,8217.2,9644.8,8378.2,4909.3,7373.6,2426.2,6035.4,6249.6,8827.7,0,7626.4,2656.0,3003.8,21.9,4494.8,1800.2,1734.5,9832.0,2903.3,4099.2,6147.8,2644.8,9768.0,3234.7,6671.9,7151.0,7510.0,9708.8,8962.2,2851.9,3759.7,7950.9,7179.8,5639.4,316.1,5871.0,5086.4,837.3
Oneida,7520.4,6731.6,848.0,523.2,7154.4,6597.0,3077.6,4293.0,6600.8,3784.0,3825.3,9906.9,5583.6,9199.8,2393.0,1744.1,426.3,8383.8,514.6,485.1,3791.9,7626.4,0,3572.2,6324.5,7863.6,6077.3,8813.2,759.4,7295.8,8879.7,8014.4,7344.1,3054.3,3294.3,5662.8,1811.6,2376.6,2483.0,9002.7,811.8,5069.8,6543.5,3624.4,1031.8,4469.4,6778.7,6517.0,6855.4,8008.2
New Rochelle,4917.6,1780.7,9634.9,4303.0,8392.7,9806.1,7244.2,6864.3,9371.5,8910.7,7303.7,1989.3,5244.9,9875.6,3459.2,2772.2,6928.8,4025.5,2992.9,8386.9,1938.7,2656.0,3572.2,0,1606.0,6865.6,5557.5,9763.6,8124.5,1869.4,6497.6,6319.5,2628.6,9982.2,9872.0,131.1,4670.9,9715.5,1072.1,4323.4,697.5,1999.4,9547.3,3020.9,2960.3,5567.5,1754.7,3330.6,7215.9,7634.8
Oneonta,98.1,8320.6,9115.7,2344.3,7052.9,9459.9,4947.2,6139.1,4803.4,9662.4,6094.9,2034.9,1496.0,5882.2,3761.2,9126.0,5936.9,9208.9,9915.4,281.7,6683.1,3003.8,6324.5,1606.0,0,4354.7,4063.4,5190.5,4852.3,7031.7,3361.6,7444.3,7728.6,9120.9,4036.9,4616.6,355.1,8149.5,7591.8,4635.4,5417.3,4506.7,6403.6,5729.7,7148.5,9466.5,2956.2,8683.4,629.3,5877.8
Seneca Falls,1418.1,220.0,798.5,2384.9,3036.5,7131.0,8394.1,2159.3,9464.4,4992.5,2650.4,4085.7,9261.5,8186.8,7185.9,1711.7,3164.8,3389.4,1863.8,2324.3,5137.6,21.9,7863.6,6865.6,4354.7,0,2039.6,5204.7,9199.4,6869.0,8635.8,9174.8,5650.5,6101.8,5456.6,9515.1,3707.8,586.8,3604.0,2987.1,9259.1,3891.3,2054.4,8248.4,204.2,4121.3,6950.4,3825.2,2805.4,7695.5
Oyster Bay,6409.1,840.0,4594.0,8133.7,2142.5,7972.9,1284.6,3918.5,2891.1,4756.1,2885.8,4220.5,7862.6,1821.9,2335.4,2931.6,8767.5,8799.1,1548.3,8818.4,7299.9,4494.8,6077.3,5557.5,4063.4,2039.6,0,5120.1,5410.4,1060.6,7861.0,9534.2,3145.3,6151.5,8633.6,968.1,4266.4,109.7,5774.7,44.7,1043.5,5513.1,6803.3,6557.7,1927.0,4731.8,8205.0,3884.7,8155.2,7388.0
Buffalo,3988.2,969.4,3970.8,2387.3,2019.7,9047.6,5588.7,6922.4,4095.0,4289.6,7352.9,5334.7,7370.5,5663.0,7918.8,1999.5,2811.1,1752.2,5931.3,6055.3,7402.7,1800.2,8813.2,9763.6,5190.5,5204.7,5120.1,0,3114.1,9686.3,107.2,8414.6,231.7,8773.6,4441.4,6745.1,9690.4,6543.6,6711.7,4274.5,6516.3,5026.1,2997.9,4882.4,3856.5,4165.3,6524.5,1225.8,6187.0,7042.6
Hyde Park,4276.8,1745.3,9293.5,9166.0,2215.0,3122.2,7299.1,4271.1,117.8,7987.0,8870.9,6445.9,8865.6,6287.7,2336.4,1383.6,4992.1,7895.8,5986.1,3202.9,3517.5,1734.5,759.4,8124.5,4852.3,9199.4,5410.4,3114.1,0,2825.2,1536.8,3823.3,8179.0,8646.6,990.1,2390.2,2853.9,8711.1,5604.8,8190.9,4017.3,2237.6,2440.0,6519.8,76.6,3738.0,3254.3,2449.0,8231.6,5403.5
Troy,9478.6,4586.4,9363.7,7895.3,8543.6,9139.9,1608.5,3066.7,7821.9,5772.8,7211.3,5866.5,2201.0,2164.5,1657.0,6176.9,8661.4,8741.8,4940.4,2496.0,7991.4,9832.0,7295.8,1869.4,7031.7,6869.0,1060.6,9686.3,2825.2,0,5207.8,1604.5,359.6,2915.5,6072.9,5988.4,7038.1,3395.4,7921.2,8938.4,7349.2,3220.9,7816.1,1791.3,7247.5,9844.3,1950.0,8057.3,8021.1,5941.8
Utica,5287.7,7689.3,2846.3,5786.7,3900.4,5680.1,7188.4,1798.2,7478.1,9559.1,8643.9,740.2,2548.6,9808.8,6872.5,2341.1,7219.7,2279.7,2272.7,8225.5,4290.8,2903.3,8879.7,6497.6,3361.6,8635.8,7861.0,107.2,1536.8,5207.8,0,3659.6,7859.5,8699.4,3122.4,2836.7,4850.0,9855.8,1982.9,2835.3,7976.0,4252.7,9806.5,1291.8,5640.9,5836.1,2836.3,4829.6,3730.8,1082.1
Batavia,8865.7,7832.5,670.2,2857.5,3011.4,9977.6,7243.9,2850.2,6907.3,7186.5,2165.6,4913.1,924.5,7576.8,464.5,4656.0,6842.2,3687.7,7203.3,2235.0,8876.4,4099.2,8014.4,6319.5,7444.3,9174.8,9534.2,8414.6,3823.3,1604.5,3659.6,0,8216.7,8470.4,5205.4,1783.1,2235.9,7572.7,5532.6,1486.7,7883.9,9941.7,8966.6,7023.3,9534.0,1803.0,6895.4,3029.3,1868.9,8120.4
Corning,2541.0,7247.8,7007.8,7544.9,4617.8,2122.5,5548.5,4443.9,9330.1,6715.0,8414.7,6609.0,4529.3,4008.2,864.5,9898.4,6017.5,4005.2,2596.7,3896.2,6965.3,6147.8,7344.1,2628.6,7728.6,5650.5,3145.3,231.7,8179.0,359.6,7859.5,8216.7,0,9514.4,7463.4,9620.2,1079.5,1298.2,961.9,8397.7,2249.2,9155.2,3099.7,9657.7,9681.6,8435.7,6659.7,5486.8,4572.9,1826.4
Amsterdam,5070.8,8963.6,6725.9,9939.0,3146.8,4248.2,8461.0,7761.2,4762.2,7933.4,215.3,3797.7,3420.9,6460.0,5466.0,999.4,8233.1,8332.1,6824.8,1376.8,5427.4,2644.8,3054.3,9982.2,9120.9,6101.8,6151.5,8773.6,8646.6,2915.5,8699.4,8470.4,9514.4,0,2596.6,8184.8,1852.6,6230.5,7960.5,6503.1,7066.0,3143.5,5427.8,998.1,5821.6,7645.1,1768.0,274.8,3704.6,3786.1
Beacon,9381.2,5208.1,6044.4,2177.1,2193.9,1170.0,6761.4,2958.4,5241.9,6335.4,6491.4,3856.8,8586.1,3040.1,1244.4,4076.9,1446.5,4705.1,7635.5,1267.0,7031.4,9768.0,3294.3,9872.0,4036.9,5456.6,8633.6,4441.4,990.1,6072.9,3122.4,5205.4,7463.4,2596.6,0,5907.0,834.9,6870.7,7176.2,6375.3,3126.3,992.9,1701.6,1222.2,3294.5,4525.0,6667.8,6458.7,2196.8,940.0
New York City,2693.9,2220.9,9453.7,2667.5,438.0,227.8,7720.8,4719.0,8754.2,1355.1,5823.0,2813.0,4965.5,7813.4,3542.5,7935.4,6438.5,1985.9,7933.7,7294.4,5623.4,3234.7,5662.8,131.1,4616.6,9515.1,968.1,6745.1,2390.2,5988.4,2836.7,1783.1,9620.2,8184.8,5907.0,0,5840.2,9743.0,9003.4,6242.8,8169.3,4072.1,4885.6,5577.3,9366.9,7356.3,9644.5,2691.0,4087.9,4861.2
Mamaroneck,3065.5,9319.7,7021.5,3471.9,5941.2,9965.1,5363.5,3476.8,9764.9,7604.3,9191.0,1975.6,1697.3,5484.0,8892.1,8367.0,7099.3,1861.6,5161.7,8339.4,7967.2,6671.9,1811.6,4670.9,355.1,3707.8,4266.4,9690.4,2853.9,7038.1,4850.0,2235.9,1079.5,1852.6,834.9,5840.2,0,2185.4,7865.4,2601.3,4130.1,1514.1,3483.3,3853.2,9632.1,2389.8,962.1,498.0,8474.1,1988.3
Hammondsport,7052.5,9077.0,7311.8,7034.7,7560.9,7581.5,6759.3,3263.1,6865.8,6790.0,71.3,1072.7,5589.6,6846.5,5556.3,1209.9,2353.2,2750.4,1636.9,4559.3,3583.7,7151.0,2376.6,9715.5,8149.5,586.8,109.7,6543.6,8711.1,3395.4,9855.8,7572.7,1298.2,6230.5,6870.7,9743.0,2185.4,0,2703.9,4056.1,3827.3,5687.4,188.7,9543.7,7584.5,9351.1,4548.1,2245.8,8842.2,3843.8
New Windsor,5110.4,7031.6,6238.7,2684.6,1538.3,5745.4,425.3,899.6,7588.1,931.7,3966.3,9883.6,6020.4,7534.9,3837.7,3571.3,9036.6,8989.2,2220.6,6877.4,3961.0,7510.0,2483.0,1072.1,7591.8,3604.0,5774.7,6711.7,5604.8,7921.2,1982.9,5532.6,961.9,7960.5,7176.2,9003.4,7865.4,2703.9,0,7357.0,8169.0,1170.1,4304.8,6742.8,3649.6,6900.5,4535.0,2514.8,1225.7,2930.0
West Seneca,8564.2,9868.2,9540.0,3344.8,7593.4,6717.9,2463.0,1200.0,8496.2,2779.7,8582.2,1877.9,4229.9,8522.7,71.2,4922.2,5802.0,7679.2,4309.9,3119.6,7137.5,9708.8,9002.7,4323.4,4635.4,2987.1,44.7,4274.5,8190.9,8938.4,2835.3,1486.7,8397.7,6503.1,6375.3,6242.8,2601.3,4056.1,7357.0,0,4267.9,876.1,1821.0,3130.6,4470.2,4246.7,838.4,1007.0,672.6,6011.9
Bronx,7494.4,6196.7,2238.4,5209.1,8688.8,2796.8,5352.2,2149.7,6858.6,7280.7,8550.4,4106.5,9385.9,5601.2,4839.6,6834.4,2946.1,1449.9,790.6,4266.1,5396.3,8962.2,811.8,697.5,5417.3,9259.1,1043.5,6516.3,4017.3,7349.2,7976.0,7883.9,2249.2,7066.0,3126.3,8169.3,4130.1,3827.3,8169.0,4267.9,0,1304.7,2963.9,2196.5,7330.3,1709.1,7656.8,5146.6,6084.9,3437.4
Cohoes,1354.0,8072.1,3184.8,1906.6,4920.6,5802.9,1393.0,4319.7,4123.6,7949.3,1132.6,7112.9,3206.1,5489.3,1380.4,4784.7,2182.1,3644.7,3603.4,6868.8,844.0,2851.9,5069.8,1999.4,4506.7,3891.3,5513.1,5026.1,2237.6,3220.9,4252.7,9941.7,9155.2,3143.5,992.9,4072.1,1514.1,5687.4,1170.1,876.1,1304.7,0,4152.3,6331.7,7938.8,5578.7,2109.6,2920.5,1121.1,1742.4
Garden City,1980.4,7921.8,4203.3,6799.9,4363.2,2708.7,6253.9,7377.1,3524.1,9790.0,8402.5,6201.8,4639.8,1341.3,8151.3,8142.7,4591.2,3583.9,7942.3,1599.3,1277.6,3759.7,6543.5,9547.3,6403.6,2054.4,6803.3,2997.9,2440.0,7816.1,9806.5,8966.6,3099.7,5427.8,1701.6,4885.6,3483.3,188.7,4304.8,1821.0,2963.9,4152.3,0,7438.7,1029.4,3266.8,8097.5,9268.3,8325.6,3001.7
Cheektowaga,4712.1,3582.8,6310.3,2227.2,3128.8,981.0,1305.1,3968.2,9461.7,2882.8,6962.2,268.0,8280.3,7771.5,3526.5,542.5,6641.0,1723.1,703.6,7299.3,7932.5,7950.9,3624.4,3020.9,5729.7,8248.4,6557.7,4882.4,6519.8,1791.3,1291.8,7023.3,9657.7,998.1,1222.2,5577.3,3853.2,9543.7,6742.8,3130.6,2196.5,6331.7,7438.7,0,7828.0,6500.5,7336.1,2403.8,8746.1,6111.8
Olean,6381.1,9620.7,9877.9,4202.5,8602.6,7083.1,9591.0,4802.4,7693.0,6411.8,8301.7,1190.2,8945.4,6316.2,8368.2,478.6,4250.2,2416.4,7177.0,5121.1,6190.9,7179.8,1031.8,2960.3,7148.5,204.2,1927.0,3856.5,76.6,7247.5,5640.9,9534.0,9681.6,5821.6,3294.5,9366.9,9632.1,7584.5,3649.6,4470.2,7330.3,7938.8,1029.4,7828.0,0,9612.1,656.3,5345.4,7111.7,5098.6
Saranac Lake,4508.5,7445.6,3709.8,6567.6,8765.0,1970.9,5794.3,2873.5,2080.4,5042.9,481.5,3865.3,348.3,8126.4,9491.5,2586.9,7922.1,2309.1,6032.0,9045.7,9304.9,5639.4,4469.4,5567.5,9466.5,4121.3,4731.8,4165.3,3738.0,9844.3,5836.1,1803.0,8435.7,7645.1,4525.0,7356.3,2389.8,9351.1,6900.5,4246.7,1709.1,5578.7,3266.8,6500.5,9612.1,0,625.5,8963.4,1488.2,3735.2
Lake Placid,4289.5,8508.1,3971.5,5529.1,8878.1,8819.4,7608.3,8049.3,1893.1,7707.7,8105.7,2988.5,5569.8,6216.1,9823.8,7438.4,7628.2,9836.2,9675.9,1248.2,437.9,316.1,6778.7,1754.7,2956.2,6950.4,8205.0,6524.5,3254.3,1950.0,2836.3,6895.4,6659.7,1768.0,6667.8,9644.5,962.1,4548.1,4535.0,838.4,7656.8,2109.6,8097.5,7336.1,656.3,625.5,0,5269.8,2560.1,2324.9
Plattsburgh,3139.1,8529.7,2268.1,9729.8,7287.7,8127.6,1917.2,6827.3,6149.1,298.9,5834.7,2164.7,7524.0,8746.4,4163.5,3748.4,2537.3,7588.4,6128.2,4745.2,5974.9,5871.0,6517.0,3330.6,8683.4,3825.2,3884.7,1225.8,2449.0,8057.3,4829.6,3029.3,5486.8,274.8,6458.7,2691.0,498.0,2245.8,2514.8,1007.0,5146.6,2920.5,9268.3,2403.8,5345.4,8963.4,5269.8,0,5233.4,909.8
Great Neck,5820.5,9356.3,9436.0,1058.4,8797.8,7877.5,7410.7,9992.5,6405.6,3194.4,8857.3,807.7,6854.7,2464.8,4272.2,3840.0,2916.5,9105.7,9855.3,2465.6,6529.9,5086.4,6855.4,7215.9,629.3,2805.4,8155.2,6187.0,8231.6,8021.1,3730.8,1868.9,4572.9,3704.6,2196.8,4087.9,8474.1,8842.2,1225.7,672.6,6084.9,1121.1,8325.6,8746.1,7111.7,1488.2,2560.1,5233.4,0,3756.4
Rensselaer,9081.7,1738.9,5599.5,5040.1,7583.8,2363.3,2401.7,2419.6,5766.4,3316.1,5344.1,7366.9,6507.5,7282.0,3195.6,5532.0,5028.1,7442.6,9361.3,3826.1,6120.0,837.3,8008.2,7634.8,5877.8,7695.5,7388.0,7042.6,5403.5,5941.8,1082.1,8120.4,1826.4,3786.1,940.0,4861.2,1988.3,3843.8,2930.0,6011.9,3437.4,1742.4,3001.7,6111.8,5098.6,3735.2,2324.9,909.8,3756.4,0
