CSV,Clinton,Garden City,Gloversville,Brooklyn,Rotterdam,Rye,Levittown,Manhattan,Hudson,Saratoga Springs,Jamestown,Nyack,Ossining,Plattsburgh,North Hempstead,Ogdensburg,Watkins Glen,Oyster Bay,Lake Placid,Hammondsport,Oneida,Watertown,Potsdam,Amsterdam,Bedford,Seneca Falls,Ilion,Auburn,Utica,Dunkirk,Peekskill,Crown Point,Johnstown,Stony Point,Bronx,Cortland,Rome,Staten Island,Rensselaer,Tonawanda,Forest Hills,Glens Falls,New York City,Great Neck,Oswego,Eastchester,Newburgh,Palmyra,Oneonta
Jamestown,5486.0,4637.8,2407.0,1969.7,3073.2,7564.8,4798.3,8899.5,9855.3,3082.7,0,5858.8,1251.2,9586.5,2596.2,8601.2,2392.0,6883.9,8014.3,3352.5,1198.4,4055.0,4189.4,4546.3,9207.8,9302.0,8721.8,7422.7,251.5,6405.9,8841.8,7007.2,1674.8,2007.8,3427.4,6905.6,8539.0,7043.0,6802.4,750.9,4605.1,501.6,9641.9,2388.1,34.7,520.3,4401.8,5592.9,2170.8
Nyack,4930.8,3574.1,3004.0,4985.9,5600.9,1051.8,1759.2,2991.2,5015.9,2910.6,5858.8,0,1615.3,684.3,8670.3,9081.7,9352.4,8040.9,1512.5,2036.9,6875.1,5422.8,5343.9,9081.1,8054.5,6639.1,6719.8,2945.9,2633.0,191.3,2615.7,2833.9,879.7,9517.7,2681.1,5758.9,2998.9,2546.5,8437.4,7111.8,3629.9,4885.0,4639.2,9091.5,4507.8,7713.6,6541.8,7873.6,7534.5
Ossining,4051.2,4920.3,5486.7,3328.7,7816.6,394.5,7096.1,9879.7,6772.2,3081.9,1251.2,1615.3,0,5841.1,5018.7,2359.4,3975.6,8808.0,8994.4,5261.1,7198.4,6184.2,735.5,5688.9,7202.4,6783.6,1164.1,3843.3,9457.3,730.7,6197.3,5722.5,7312.3,8839.5,1909.8,846.8,7139.8,5616.2,8440.2,3464.2,9874.6,5729.0,837.3,8810.0,2716.0,5125.9,7079.2,9056.9,2621.1
Plattsburgh,648.9,7437.3,1265.5,6767.1,8841.7,8959.0,5297.7,7714.2,9888.3,7740.0,9586.5,684.3,5841.1,0,3345.7,7475.3,1525.1,3432.2,6348.3,6346.8,1994.6,920.7,9114.7,7314.4,6898.4,8808.4,4574.2,6892.2,9344.5,239.9,1441.6,5615.9,3630.7,2473.5,7324.1,8744.8,9113.4,7954.8,753.8,7467.3,575.5,5036.5,470.4,6472.3,387.7,2262.6,1791.5,2508.7,2516.3
North Hempstead,1521.8,5024.0,6930.2,8506.0,5965.3,3256.8,7293.9,4563.3,640.1,5610.9,2596.2,8670.3,5018.7,3345.7,0,5373.6,2771.3,7207.3,8742.3,2087.7,706.6,5553.4,8221.9,7007.9,3849.7,8142.1,1848.0,8388.4,2081.2,7803.1,3654.8,9403.8,9913.6,3565.7,683.2,1176.1,5192.2,7455.6,6443.2,9215.4,8971.0,5214.0,3430.3,6320.5,808.4,2194.6,5615.1,7388.9,2591.6
Ogdensburg,4605.3,2641.3,5505.1,1889.0,8624.5,7193.4,5290.2,1671.3,7307.8,8112.9,8601.2,9081.7,2359.4,7475.3,5373.6,0,9919.5,5443.8,9173.8,8835.1,1691.7,2658.3,4271.5,9420.0,2975.9,4431.8,5002.0,3854.3,6993.3,7573.2,7991.9,7530.3,8858.1,9613.2,6136.6,7519.4,3422.6,1774.3,8913.0,9854.0,6432.2,1043.7,5485.4,5147.4,3359.7,8464.5,3139.4,1268.2,1963.1
Watkins Glen,7855.6,1295.3,9321.8,5655.0,1879.1,7908.9,3390.8,9451.0,7811.2,7407.9,2392.0,9352.4,3975.6,1525.1,2771.3,9919.5,0,5313.1,5280.2,1881.6,530.3,3829.7,4401.2,6426.4,3614.0,8421.6,600.8,3110.0,7293.7,8556.0,4640.5,4452.4,397.2,3260.8,8644.4,7130.5,534.0,6849.8,4842.6,7662.2,3010.7,1913.0,992.0,9870.4,9843.7,590.1,6023.0,6320.1,2789.4
Oyster Bay,6879.5,7610.7,229.4,9188.4,3640.3,8022.9,1696.4,7993.0,1761.0,4039.1,6883.9,8040.9,8808.0,3432.2,7207.3,5443.8,5313.1,0,9998.8,6987.7,1996.4,6104.3,5220.0,3904.9,3161.0,3035.3,3311.2,524.0,2869.4,930.7,5047.1,3675.8,4369.5,9324.2,5713.5,1644.8,976.4,3822.1,5359.8,1264.7,6833.5,982.6,2457.5,7283.9,2121.2,5979.4,124.0,3692.2,1818.7
Lake Placid,4953.2,5770.7,9540.0,3438.3,9316.9,6297.9,8647.1,5955.4,2919.1,6502.8,8014.3,1512.5,8994.4,6348.3,8742.3,9173.8,5280.2,9998.8,0,7621.9,7034.8,8164.7,6280.2,6595.2,7562.4,2705.3,9557.9,8985.2,8974.2,2151.4,2137.6,8877.1,9483.6,3232.8,642.8,3464.8,3708.9,1109.8,876.9,2713.9,9513.6,844.2,5706.1,930.9,1509.6,6332.5,496.6,7199.3,6494.2
Hammondsport,5647.9,6328.8,1447.3,6172.3,3676.0,4852.4,4810.0,7943.3,3194.0,2008.6,3352.5,2036.9,5261.1,6346.8,2087.7,8835.1,1881.6,6987.7,7621.9,0,9443.0,7755.8,1117.5,7484.8,2609.4,3938.3,9763.0,8662.6,9858.2,1128.8,3469.7,8832.3,9271.4,1754.5,7785.2,6254.2,3329.4,9361.5,2954.3,6319.3,2015.1,5994.9,1605.2,2212.3,6498.6,2816.7,9985.3,36.8,1651.3
Oneida,7683.3,7752.1,5621.9,65.8,9180.6,1511.2,2802.6,5872.8,1617.1,4809.4,1198.4,6875.1,7198.4,1994.6,706.6,1691.7,530.3,1996.4,7034.8,9443.0,0,3335.1,3902.6,7040.4,1915.2,3963.2,4630.0,5210.2,6673.1,9847.1,3161.7,2056.9,8063.3,3833.5,1763.1,116.1,6920.9,6263.9,6383.4,9623.8,5220.7,7677.6,7390.5,983.5,7790.6,1889.3,5643.2,449.3,3714.2
Watertown,7288.9,8449.4,4667.5,8587.7,1280.5,1708.9,3535.3,7759.3,8882.1,4525.2,4055.0,5422.8,6184.2,920.7,5553.4,2658.3,3829.7,6104.3,8164.7,7755.8,3335.1,0,2139.3,9473.0,1720.6,2409.1,263.6,206.9,1888.2,8443.1,439.4,8013.7,1642.5,5057.8,9211.1,8884.8,7147.3,3259.1,2705.0,2325.2,9182.3,1693.1,4481.4,3337.2,8880.2,275.8,5630.5,9890.0,1582.5
Potsdam,4639.3,1002.7,3013.6,6544.0,5514.5,9173.5,4372.5,7161.9,2549.2,5740.3,4189.4,5343.9,735.5,9114.7,8221.9,4271.5,4401.2,5220.0,6280.2,1117.5,3902.6,2139.3,0,377.6,9426.0,3655.8,2476.9,3471.9,5113.3,284.7,7859.1,622.7,7064.2,432.3,1410.6,9883.6,9463.5,2680.1,8957.2,1969.2,8952.8,9904.5,3680.4,217.2,4370.6,7755.3,8636.0,3844.6,5056.6
Amsterdam,7109.4,1694.7,9943.4,4277.8,8609.6,9773.4,9466.9,1884.9,3970.7,6783.4,4546.3,9081.1,5688.9,7314.4,7007.9,9420.0,6426.4,3904.9,6595.2,7484.8,7040.4,9473.0,377.6,0,6773.4,4469.8,9358.6,5301.9,4261.4,7909.2,9353.4,9806.6,4879.6,8834.9,6460.7,5495.4,4686.4,4785.9,3108.2,533.2,569.9,3985.9,2654.6,3620.5,43.8,7513.0,8234.7,7257.8,397.5
Bedford,4752.9,3558.6,8892.2,8466.2,7559.8,4083.4,7100.1,8691.4,1065.7,7548.1,9207.8,8054.5,7202.4,6898.4,3849.7,2975.9,3614.0,3161.0,7562.4,2609.4,1915.2,1720.6,9426.0,6773.4,0,811.3,8034.0,6705.2,4890.4,498.8,364.1,2116.1,1718.3,741.7,6551.8,8870.8,2900.5,1091.4,1034.4,9798.2,620.4,8429.4,3784.8,2750.2,3342.3,1819.5,5988.1,4379.1,2451.7
Seneca Falls,3256.5,975.7,9163.1,4533.9,3453.6,2974.1,6338.1,4338.6,8407.7,1938.6,9302.0,6639.1,6783.6,8808.4,8142.1,4431.8,8421.6,3035.3,2705.3,3938.3,3963.2,2409.1,3655.8,4469.8,811.3,0,8465.2,8209.9,7393.6,4762.8,2390.1,7726.7,4623.7,2367.6,7544.4,7327.3,6590.2,3648.3,1578.3,5306.4,5666.8,8486.2,1547.4,840.0,2166.1,4085.8,7044.5,4829.3,1872.1
Ilion,9568.7,9128.4,5782.0,996.9,6437.2,17.2,7470.3,5915.9,6899.7,9214.0,8721.8,6719.8,1164.1,4574.2,1848.0,5002.0,600.8,3311.2,9557.9,9763.0,4630.0,263.6,2476.9,9358.6,8034.0,8465.2,0,2524.1,4787.8,5553.0,4073.5,3576.6,5017.7,4059.7,2360.8,2748.5,5515.9,8260.7,7295.0,5587.9,7760.2,9826.1,5118.1,8437.9,5218.4,9080.4,4057.8,1711.1,9184.7
Auburn,6976.7,1168.5,1329.5,2629.1,6303.4,1869.8,2930.8,7707.1,3804.5,3661.2,7422.7,2945.9,3843.3,6892.2,8388.4,3854.3,3110.0,524.0,8985.2,8662.6,5210.2,206.9,3471.9,5301.9,6705.2,8209.9,2524.1,0,3608.8,2392.6,8198.7,820.3,6764.5,3500.2,5481.7,2083.6,1392.8,991.6,1041.4,826.4,8353.9,2785.4,9619.8,2830.7,4964.5,7166.1,7892.3,587.4,2873.8
Utica,7000.2,6467.6,1626.2,3270.8,1358.2,735.8,2526.2,5827.8,9018.4,7553.1,251.5,2633.0,9457.3,9344.5,2081.2,6993.3,7293.7,2869.4,8974.2,9858.2,6673.1,1888.2,5113.3,4261.4,4890.4,7393.6,4787.8,3608.8,0,7607.3,5395.4,3864.4,1541.3,6072.4,3933.1,1212.7,3034.1,3251.6,9334.6,3751.9,2945.0,611.6,9768.9,2234.6,5332.8,6027.5,1007.5,3336.0,4898.6
Dunkirk,7854.5,1419.1,7039.9,7925.4,1067.7,111.1,2047.5,6763.2,6051.3,4118.9,6405.9,191.3,730.7,239.9,7803.1,7573.2,8556.0,930.7,2151.4,1128.8,9847.1,8443.1,284.7,7909.2,498.8,4762.8,5553.0,2392.6,7607.3,0,2715.3,2960.5,6890.0,9676.2,193.0,8778.1,1815.5,5954.7,6688.8,7540.5,1790.8,6514.3,6548.3,8519.9,284.3,3568.6,6160.7,1887.2,249.6
Peekskill,1920.5,7509.0,4129.9,5152.6,3880.9,2456.8,1750.4,1857.0,4495.6,7285.8,8841.8,2615.7,6197.3,1441.6,3654.8,7991.9,4640.5,5047.1,2137.6,3469.7,3161.7,439.4,7859.1,9353.4,364.1,2390.1,4073.5,8198.7,5395.4,2715.3,0,8793.1,9326.1,8211.2,9764.2,358.8,1094.4,8989.9,4939.0,5233.2,2689.3,8817.5,9333.7,864.6,7483.6,9131.8,7532.2,2060.2,1785.7
Crown Point,2680.9,9170.8,7734.5,6011.1,7425.5,7382.6,6491.9,196.2,3479.2,3887.3,7007.2,2833.9,5722.5,5615.9,9403.8,7530.3,4452.4,3675.8,8877.1,8832.3,2056.9,8013.7,622.7,9806.6,2116.1,7726.7,3576.6,820.3,3864.4,2960.5,8793.1,0,2309.7,9079.8,9774.4,8255.0,4485.5,444.9,2096.5,6092.1,537.2,4523.8,5294.8,9884.4,272.2,2786.4,1965.4,950.2,2180.2
Johnstown,215.3,7439.4,3676.8,4714.2,1691.0,4738.0,6339.0,2797.8,3103.1,1942.6,1674.8,879.7,7312.3,3630.7,9913.6,8858.1,397.2,4369.5,9483.6,9271.4,8063.3,1642.5,7064.2,4879.6,1718.3,4623.7,5017.7,6764.5,1541.3,6890.0,9326.1,2309.7,0,9960.8,7839.4,2775.8,7515.8,1853.5,7861.7,9487.4,7952.1,7821.9,5413.3,4683.8,3842.5,5599.0,7274.0,3765.6,5502.3
Stony Point,8892.6,8007.7,3560.7,9369.4,2555.1,176.9,8884.9,9442.2,3090.9,3031.3,2007.8,9517.7,8839.5,2473.5,3565.7,9613.2,3260.8,9324.2,3232.8,1754.5,3833.5,5057.8,432.3,8834.9,741.7,2367.6,4059.7,3500.2,6072.4,9676.2,8211.2,9079.8,9960.8,0,6240.5,4403.0,1219.8,3086.5,1743.4,4626.5,7483.4,7204.4,5421.4,2470.7,2025.0,1448.7,7878.3,8143.8,3052.7
Bronx,7357.9,4841.1,7607.9,6521.8,833.2,5536.6,2162.5,8689.0,3213.4,2654.7,3427.4,2681.1,1909.8,7324.1,683.2,6136.6,8644.4,5713.5,642.8,7785.2,1763.1,9211.1,1410.6,6460.7,6551.8,7544.4,2360.8,5481.7,3933.1,193.0,9764.2,9774.4,7839.4,6240.5,0,4319.1,1247.9,8141.6,8462.1,5026.4,1795.2,7763.9,244.9,6414.6,5320.7,6131.2,3206.1,6752.6,5626.2
Cortland,5959.3,7486.2,1645.4,6365.6,550.5,8090.9,6459.3,2169.3,6721.5,5476.8,6905.6,5758.9,846.8,8744.8,1176.1,7519.4,7130.5,1644.8,3464.8,6254.2,116.1,8884.8,9883.6,5495.4,8870.8,7327.3,2748.5,2083.6,1212.7,8778.1,358.8,8255.0,2775.8,4403.0,4319.1,0,4011.7,7313.0,6557.1,8719.9,8129.8,9593.6,2801.4,777.3,805.1,4939.2,8264.3,967.8,4267.6
Rome,5847.2,1517.4,799.0,3604.3,8246.9,2656.5,905.4,3417.9,9494.2,1886.3,8539.0,2998.9,7139.8,9113.4,5192.2,3422.6,534.0,976.4,3708.9,3329.4,6920.9,7147.3,9463.5,4686.4,2900.5,6590.2,5515.9,1392.8,3034.1,1815.5,1094.4,4485.5,7515.8,1219.8,1247.9,4011.7,0,9983.9,1432.2,503.7,3359.5,6484.0,8529.2,8916.2,3971.9,4485.1,756.5,4509.1,7581.2
Staten Island,916.9,5593.7,576.8,4018.9,1942.1,4436.0,9728.9,7764.3,6529.7,3620.0,7043.0,2546.5,5616.2,7954.8,7455.6,1774.3,6849.8,3822.1,1109.8,9361.5,6263.9,3259.1,2680.1,4785.9,1091.4,3648.3,8260.7,991.6,3251.6,5954.7,8989.9,444.9,1853.5,3086.5,8141.6,7313.0,9983.9,0,8621.6,7207.9,8210.3,524.9,5197.5,9160.8,4140.8,6160.4,9296.0,953.9,5423.2
Rensselaer,3594.1,3595.1,5608.0,5349.1,6663.6,5330.0,4153.7,819.5,269.6,2124.9,6802.4,8437.4,8440.2,753.8,6443.2,8913.0,4842.6,5359.8,876.9,2954.3,6383.4,2705.0,8957.2,3108.2,1034.4,1578.3,7295.0,1041.4,9334.6,6688.8,4939.0,2096.5,7861.7,1743.4,8462.1,6557.1,1432.2,8621.6,0,4005.6,278.4,4927.1,1473.3,8783.4,7305.9,9151.7,9915.0,3217.2,514.4
Tonawanda,1432.4,119.9,5273.7,6423.6,7423.2,4739.6,2814.4,166.6,8223.0,7117.8,750.9,7111.8,3464.2,7467.3,9215.4,9854.0,7662.2,1264.7,2713.9,6319.3,9623.8,2325.2,1969.2,533.2,9798.2,5306.4,5587.9,826.4,3751.9,7540.5,5233.2,6092.1,9487.4,4626.5,5026.4,8719.9,503.7,7207.9,4005.6,0,1442.7,6625.4,9339.9,540.4,6159.3,8295.2,5012.5,1920.0,4677.4
Forest Hills,8821.8,3163.1,8339.9,3996.1,1033.3,1324.2,2430.5,154.8,51.3,4995.2,4605.1,3629.9,9874.6,575.5,8971.0,6432.2,3010.7,6833.5,9513.6,2015.1,5220.7,9182.3,8952.8,569.9,620.4,5666.8,7760.2,8353.9,2945.0,1790.8,2689.3,537.2,7952.1,7483.4,1795.2,8129.8,3359.5,8210.3,278.4,1442.7,0,8170.7,3018.1,4764.8,9675.3,360.6,2225.0,4004.6,1103.2
Glens Falls,9528.1,7915.1,5994.7,4037.0,9652.4,5021.6,7177.2,1678.6,9733.0,404.3,501.6,4885.0,5729.0,5036.5,5214.0,1043.7,1913.0,982.6,844.2,5994.9,7677.6,1693.1,9904.5,3985.9,8429.4,8486.2,9826.1,2785.4,611.6,6514.3,8817.5,4523.8,7821.9,7204.4,7763.9,9593.6,6484.0,524.9,4927.1,6625.4,8170.7,0,5473.0,2188.6,4590.4,4734.0,7505.7,2948.4,5568.2
New York City,7937.9,5156.8,410.3,744.1,2834.5,1986.3,4148.4,2767.7,8827.5,8780.8,9641.9,4639.2,837.3,470.4,3430.3,5485.4,992.0,2457.5,5706.1,1605.2,7390.5,4481.4,3680.4,2654.6,3784.8,1547.4,5118.1,9619.8,9768.9,6548.3,9333.7,5294.8,5413.3,5421.4,244.9,2801.4,8529.2,5197.5,1473.3,9339.9,3018.1,5473.0,0,3154.9,7219.3,9362.8,4700.5,76.2,6579.6
Great Neck,9565.8,4531.9,4615.5,154.1,2781.8,3897.7,543.2,4707.6,4218.1,104.0,2388.1,9091.5,8810.0,6472.3,6320.5,5147.4,9870.4,7283.9,930.9,2212.3,983.5,3337.2,217.2,3620.5,2750.2,840.0,8437.9,2830.7,2234.6,8519.9,864.6,9884.4,4683.8,2470.7,6414.6,777.3,8916.2,9160.8,8783.4,540.4,4764.8,2188.6,3154.9,0,7421.0,6818.1,7838.9,4177.0,9538.3
Oswego,6747.8,5562.1,539.0,9333.1,3844.1,5396.8,5435.4,3157.6,2122.0,6224.0,34.7,4507.8,2716.0,387.7,808.4,3359.7,9843.7,2121.2,1509.6,6498.6,7790.6,8880.2,4370.6,43.8,3342.3,2166.1,5218.4,4964.5,5332.8,284.3,7483.6,272.2,3842.5,2025.0,5320.7,805.1,3971.9,4140.8,7305.9,6159.3,9675.3,4590.4,7219.3,7421.0,0,3619.8,8431.9,2247.7,2783.1
Eastchester,6504.0,3102.8,5685.4,270.9,948.2,4020.0,6225.2,1419.7,464.5,3686.4,520.3,7713.6,5125.9,2262.6,2194.6,8464.5,590.1,5979.4,6332.5,2816.7,1889.3,275.8,7755.3,7513.0,1819.5,4085.8,9080.4,7166.1,6027.5,3568.6,9131.8,2786.4,5599.0,1448.7,6131.2,4939.2,4485.1,6160.4,9151.7,8295.2,360.6,4734.0,9362.8,6818.1,3619.8,0,9857.6,9411.8,1946.9
Newburgh,1762.8,2363.9,5120.5,8325.4,8988.2,4340.8,7416.6,9866.9,1075.1,750.3,4401.8,6541.8,7079.2,1791.5,5615.1,3139.4,6023.0,124.0,496.6,9985.3,5643.2,5630.5,8636.0,8234.7,5988.1,7044.5,4057.8,7892.3,1007.5,6160.7,7532.2,1965.4,7274.0,7878.3,3206.1,8264.3,756.5,9296.0,9915.0,5012.5,2225.0,7505.7,4700.5,7838.9,8431.9,9857.6,0,7264.2,8957.3
Palmyra,7224.2,323.9,1424.7,3171.9,9490.8,7570.7,9747.3,3995.7,3011.1,4833.9,5592.9,7873.6,9056.9,2508.7,7388.9,1268.2,6320.1,3692.2,7199.3,36.8,449.3,9890.0,3844.6,7257.8,4379.1,4829.3,1711.1,587.4,3336.0,1887.2,2060.2,950.2,3765.6,8143.8,6752.6,967.8,4509.1,953.9,3217.2,1920.0,4004.6,2948.4,76.2,4177.0,2247.7,9411.8,7264.2,0,5319.6
Oneonta,4559.4,5460.4,953.0,2430.1,945.7,2746.0,7841.7,1947.1,9592.0,100.7,2170.8,7534.5,2621.1,2516.3,2591.6,1963.1,2789.4,1818.7,6494.2,1651.3,3714.2,1582.5,5056.6,397.5,2451.7,1872.1,9184.7,2873.8,4898.6,249.6,1785.7,2180.2,5502.3,3052.7,5626.2,4267.6,7581.2,5423.2,514.4,4677.4,1103.2,5568.2,6579.6,9538.3,2783.1,1946.9,8957.3,5319.6,0
