CSV,Babylon,Ilion,Middletown,Scarsdale,Yonkers,Oyster Bay,Cortland,Elmira,Ogdensburg,Rensselaer,North Hempstead,Fredonia,Peekskill,Rotterdam,Eastchester,Ithaca,Port Washington,Plattsburgh,New Rochelle,Nyack,Hudson,Woodstock,Watkins Glen,Auburn,Rye,Brooklyn,Syracuse,Manhattan,Batavia,Poughkeepsie,West Seneca,Clinton,Potsdam,New York City,Harlem,Stony Brook,Stony Point,Forest Hills,Herkimer,Lake Placid,Southampton,New Windsor,Troy,Hammondsport,Great Neck,Beacon,Saranac Lake,Oswego,Corning,Oneida
Plattsburgh,9535.0,2086.2,1440.9,9292.0,1364.0,7755.9,3188.1,5190.3,9002.6,9676.4,5693.6,8865.9,1062.3,3992.4,9623.5,6536.0,417.5,0,1004.0,540.6,6477.8,7221.9,4989.3,2568.5,1037.7,8198.0,2758.3,6127.3,4625.2,9872.1,7479.8,3161.2,519.9,639.2,5110.3,5922.3,6903.1,3053.1,7483.0,7648.6,6476.7,8549.3,5394.7,4248.0,6628.5,8109.1,3387.2,5925.4,2167.4,392.4
New Rochelle,3977.7,4196.5,2326.6,6594.5,9639.6,98.8,2635.2,3578.8,4046.6,4887.0,4878.0,9019.2,256.8,2389.5,48.1,7212.0,2381.1,1004.0,0,5755.4,7635.7,2779.2,4445.2,514.3,2012.3,3250.5,2714.3,4146.2,5706.4,2888.6,8334.9,6919.3,2252.4,9792.3,6348.4,6190.7,6386.3,2501.4,6006.4,2569.3,4526.1,7027.4,9671.1,3728.1,44.6,2382.5,3878.8,3273.9,4618.0,3210.8
Nyack,3403.0,4081.6,9476.9,4925.6,2692.2,3073.6,5777.0,4588.2,2170.3,9859.4,8220.6,1308.7,2373.5,2158.0,101.0,518.7,1618.1,540.6,5755.4,0,1905.3,1341.7,3536.2,4627.3,9384.1,2368.4,2401.9,6592.0,80.1,5830.8,173.6,4528.4,1884.9,5394.8,1557.3,7264.1,2946.3,6770.6,2.5,3368.7,6559.3,781.2,5626.9,7289.5,7301.8,7513.9,7390.8,8542.1,5069.2,3864.3
Hudson,8645.4,1171.5,7369.6,8412.4,1086.9,9548.6,6932.3,9327.0,5792.0,7506.3,1754.4,7242.7,3175.0,9023.0,7873.9,1220.5,812.0,6477.8,7635.7,1905.3,0,8123.8,4021.9,4659.3,5690.6,9825.7,2367.5,3772.5,1765.6,9315.0,429.1,928.0,4444.6,8753.9,9571.8,6886.7,7121.3,243.4,4947.1,5042.0,9460.2,9587.1,9113.5,9750.5,5085.7,3192.1,2968.5,906.2,2104.2,9227.0
Woodstock,1437.3,7245.3,4880.5,5640.8,2239.0,5228.8,6182.7,5343.6,331.2,1046.4,1296.1,145.0,6819.5,5796.2,7526.2,5638.6,7132.9,7221.9,2779.2,1341.7,8123.8,0,3249.1,6958.9,3873.1,2482.8,9305.8,8436.9,8441.9,5170.5,2335.6,2195.2,926.5,2692.9,5282.4,805.8,343.5,5519.6,1608.7,7586.1,837.4,1999.3,8386.1,2573.8,7994.1,4492.5,9056.3,9904.9,6797.0,3725.8
Watkins Glen,635.8,5572.4,430.2,5000.5,1972.4,685.8,836.9,1935.5,8363.3,7911.2,6203.8,2453.2,79.8,671.4,6262.6,6186.7,6697.4,4989.3,4445.2,3536.2,4021.9,3249.1,0,7398.4,4616.8,6126.5,8404.5,857.2,4406.1,4204.2,6828.9,8237.8,8304.8,1409.0,4982.1,1662.7,2829.2,4542.0,9948.2,3794.6,2547.1,6747.1,9999.1,1398.3,2020.3,4027.1,444.9,7714.2,1512.9,2691.5
Auburn,1523.2,5769.6,4034.4,6319.0,1207.2,505.1,8183.4,9476.0,3344.9,779.5,8544.5,2117.4,9114.5,5052.7,2987.8,6773.8,8587.8,2568.5,514.3,4627.3,4659.3,6958.9,7398.4,0,3883.9,4417.9,5943.9,285.4,9293.7,8712.2,4019.4,2142.9,3133.2,3064.5,4910.3,9032.5,4991.4,9037.4,3736.5,7744.0,4893.0,7617.1,92.4,8431.4,206.2,1402.8,801.4,219.0,494.9,6230.8
Rye,7492.8,3076.6,2016.1,4239.3,880.4,2586.6,2971.0,3666.3,4049.6,7530.5,2592.8,6141.3,6856.6,1774.7,5568.6,1543.9,6820.2,1037.7,2012.3,9384.1,5690.6,3873.1,4616.8,3883.9,0,7941.1,4531.1,5966.9,7018.8,2399.9,4199.9,125.3,6613.6,3312.7,3369.3,9271.0,168.4,1151.8,9016.9,49.4,2554.2,8827.6,1906.6,2186.7,8628.9,8306.0,428.1,837.9,5053.1,5264.8
Brooklyn,756.6,1795.6,5474.2,8837.4,1919.9,3903.6,7506.2,5341.6,5567.2,8302.0,9181.6,9974.5,8851.0,7688.0,2280.1,7242.1,5725.8,8198.0,3250.5,2368.4,9825.7,2482.8,6126.5,4417.9,7941.1,0,5372.4,70.5,3978.8,6967.5,7785.5,7620.2,3335.7,2362.9,6809.1,4367.9,6916.1,5939.6,361.8,6327.7,6183.1,8403.5,948.4,6845.0,6891.2,5045.2,5079.5,2664.7,3843.3,9805.6
Syracuse,8326.0,5491.3,8277.8,9186.4,128.0,8100.8,5893.5,8193.2,9454.4,6551.4,1894.1,2328.3,1173.3,1983.6,7808.1,9345.6,3364.9,2758.3,2714.3,2401.9,2367.5,9305.8,8404.5,5943.9,4531.1,5372.4,0,522.4,6602.2,6461.4,7614.1,3240.3,1133.2,7072.4,4403.0,6253.7,6505.8,5911.2,8082.1,4090.0,8253.3,5767.5,1665.7,5073.9,3086.3,6988.7,3210.4,2238.2,6120.4,6593.6
Manhattan,1368.9,7550.9,1944.5,5206.6,2500.4,1243.2,5295.5,2487.0,3046.4,7498.3,6315.5,6443.5,7539.0,4546.5,2934.4,9717.4,2190.3,6127.3,4146.2,6592.0,3772.5,8436.9,857.2,285.4,5966.9,70.5,522.4,0,449.6,8929.4,2371.9,4302.1,1002.3,8880.9,1604.0,7848.8,3462.6,528.6,2327.1,323.3,673.0,3999.2,7392.1,7626.6,9215.5,8841.0,3960.3,3359.6,3998.7,1136.6
Batavia,8893.5,7819.1,3172.4,4048.9,4936.3,80.9,5074.6,9877.5,8901.2,8245.4,421.8,8103.1,9982.5,6799.7,7673.9,2428.6,9613.2,4625.2,5706.4,80.1,1765.6,8441.9,4406.1,9293.7,7018.8,3978.8,6602.2,449.6,0,574.8,7194.2,3251.6,721.6,2260.1,2939.4,8365.5,3310.7,6790.3,7067.5,7635.1,7405.7,7674.9,2810.9,443.4,3059.5,3512.6,2382.9,3163.8,3676.4,8254.4
Poughkeepsie,2566.5,4894.8,9383.6,8306.2,8874.3,5353.6,9010.2,3766.5,6118.5,3699.7,1371.5,450.8,6571.8,8344.2,2944.1,4269.5,9084.0,9872.1,2888.6,5830.8,9315.0,5170.5,4204.2,8712.2,2399.9,6967.5,6461.4,8929.4,574.8,0,5582.0,4151.1,2973.9,8536.8,1599.7,6046.5,907.9,6224.5,5464.3,8771.2,8087.3,387.2,2778.1,6055.3,8019.4,652.0,7934.5,3994.3,862.6,1186.4
West Seneca,3279.1,991.9,5360.6,5150.5,9731.8,7834.1,8003.4,3852.6,6128.8,4650.0,7510.1,1207.6,6986.3,4976.9,5382.4,3915.7,6095.4,7479.8,8334.9,173.6,429.1,2335.6,6828.9,4019.4,4199.9,7785.5,7614.1,2371.9,7194.2,5582.0,0,6286.1,341.0,4092.6,4110.8,6439.1,189.6,3164.6,6458.1,8204.4,6721.8,4986.0,1922.6,127.2,4699.4,3324.9,5010.2,356.7,9486.0,2922.6
Clinton,5932.4,2317.2,7818.1,5506.6,1693.6,5176.2,1112.1,5076.3,9858.3,6935.1,8070.6,3835.0,8801.7,7370.1,2091.9,2978.9,5496.3,3161.2,6919.3,4528.4,928.0,2195.2,8237.8,2142.9,125.3,7620.2,3240.3,4302.1,3251.6,4151.1,6286.1,0,9563.5,4295.4,4264.3,7486.6,4412.6,6081.4,9439.8,5006.4,2906.3,7027.3,7733.8,7631.1,2070.4,6610.0,9323.8,4081.1,6185.8,8965.6
Potsdam,2959.6,5658.5,2809.0,2653.8,3429.5,5488.1,955.8,8584.0,2467.6,2146.0,5076.2,9314.3,2344.1,8363.7,6825.9,8054.3,8207.6,519.9,2252.4,1884.9,4444.6,926.5,8304.8,3133.2,6613.6,3335.7,1133.2,1002.3,721.6,2973.9,341.0,9563.5,0,4293.5,3385.3,5384.3,4049.8,3671.5,1627.4,5419.3,3549.1,4772.2,1866.2,6552.2,9733.1,9801.7,1867.9,7593.4,9420.4,1500.5
New York City,9193.6,562.0,3755.1,6983.9,1750.9,4480.7,7984.0,1034.0,6150.9,2321.0,7881.7,5671.1,3775.6,6855.4,379.0,3193.3,8996.3,639.2,9792.3,5394.8,8753.9,2692.9,1409.0,3064.5,3312.7,2362.9,7072.4,8880.9,2260.1,8536.8,4092.6,4295.4,4293.5,0,6224.7,6684.7,4767.0,8282.1,4673.7,2292.8,765.3,8084.7,3440.5,6460.6,7845.0,6361.0,6451.9,4422.0,8468.8,25.6
Harlem,1075.9,5227.1,9719.3,8785.0,4449.5,7713.8,9415.3,6208.0,6113.9,4980.9,9164.6,6698.8,6335.0,6324.4,5129.7,1851.5,861.9,5110.3,6348.4,1557.3,9571.8,5282.4,4982.1,4910.3,3369.3,6809.1,4403.0,1604.0,2939.4,1599.7,4110.8,4264.3,3385.3,6224.7,0,6073.0,9407.2,7816.9,4586.9,5590.0,2340.6,9090.1,4352.7,1661.9,42.1,7812.9,5354.4,730.8,2711.4,2051.1
Stony Brook,680.4,6144.3,8107.2,6327.9,1470.9,8929.3,5690.1,7418.7,8561.3,7886.7,2817.1,549.3,3181.2,2552.1,9705.0,7620.0,5124.1,5922.3,6190.7,7264.1,6886.7,805.8,1662.7,9032.5,9271.0,4367.9,6253.7,7848.8,8365.5,6046.5,6439.1,7486.6,5384.3,6684.7,6073.0,0,4585.1,4708.0,9127.6,9530.4,9534.4,424.3,4102.4,1440.4,8361.9,4113.2,2826.9,6499.2,7574.3,2435.4
Stony Point,9113.2,7795.5,6950.8,98.9,2869.5,1077.2,6636.5,1269.6,6513.6,3262.8,1015.6,8655.7,2085.9,4613.4,841.0,2577.6,9842.1,6903.1,6386.3,2946.3,7121.3,343.5,2829.2,4991.4,168.4,6916.1,6505.8,3462.6,3310.7,907.9,189.6,4412.6,4049.8,4767.0,9407.2,4585.1,0,4314.7,7068.9,2873.0,2456.2,3457.1,1785.3,5817.6,5470.4,4130.5,2706.1,129.9,6590.4,2876.2
Forest Hills,1321.3,4534.9,871.5,7424.9,2904.3,5984.6,4332.6,3230.1,6998.9,6850.0,5529.5,11.6,9192.8,2450.2,953.0,5626.1,9355.0,3053.1,2501.4,6770.6,243.4,5519.6,4542.0,9037.4,1151.8,5939.6,5911.2,528.6,6790.3,6224.5,3164.6,6081.4,3671.5,8282.1,7816.9,4708.0,4314.7,0,6818.0,5836.5,2036.0,4132.5,7047.8,47.0,4779.9,4553.0,4556.3,1724.0,2401.1,5106.3
Herkimer,2802.9,4934.4,2479.8,3185.7,3246.6,2243.4,9279.5,3752.3,7313.1,1526.4,710.0,6790.1,2503.1,5970.6,7044.6,9761.9,1887.3,7483.0,6006.4,2.5,4947.1,1608.7,9948.2,3736.5,9016.9,361.8,8082.1,2327.1,7067.5,5464.3,6458.1,9439.8,1627.4,4673.7,4586.9,9127.6,7068.9,6818.0,0,344.3,4680.1,5016.9,2103.3,1625.7,3033.7,3242.3,5764.3,7273.9,1485.5,4895.5
Lake Placid,349.5,7984.7,8923.8,436.4,4736.7,559.3,3694.3,8715.7,2388.1,564.1,7147.5,5897.3,9759.1,3984.1,7027.5,2822.4,203.6,7648.6,2569.3,3368.7,5042.0,7586.1,3794.6,7744.0,49.4,6327.7,4090.0,323.3,7635.1,8771.2,8204.4,5006.4,5419.3,2292.8,5590.0,9530.4,2873.0,5836.5,344.3,0,2697.3,5193.9,8317.3,5894.8,1773.2,736.2,9399.7,4872.6,3566.1,4213.1
Southampton,2508.7,4074.7,338.5,3048.1,180.1,5839.7,2595.8,4331.8,2751.8,4866.5,3622.6,4579.8,3698.7,3011.0,9630.4,6923.1,6998.5,6476.7,4526.1,6559.3,9460.2,837.4,2547.1,4893.0,2554.2,6183.1,8253.3,673.0,7405.7,8087.3,6721.8,2906.3,3549.1,765.3,2340.6,9534.4,2456.2,2036.0,4680.1,2697.3,0,8093.4,1720.3,391.3,4013.0,1049.7,9795.8,8870.3,7982.9,4099.7
New Windsor,1459.8,7751.0,1287.5,6375.8,9150.3,4942.4,552.2,1913.0,9259.3,5428.3,610.0,698.4,1308.8,1566.0,637.5,797.6,3718.5,8549.3,7027.4,781.2,9587.1,1999.3,6747.1,7617.1,8827.6,8403.5,5767.5,3999.2,7674.9,387.2,4986.0,7027.3,4772.2,8084.7,9090.1,424.3,3457.1,4132.5,5016.9,5193.9,8093.4,0,4847.3,8127.8,4066.4,674.5,7226.8,9320.5,4372.3,6017.7
Troy,7365.3,8986.6,3224.3,7641.9,11.4,2032.3,4404.5,8857.3,9175.4,6308.1,988.6,5796.3,6209.8,855.2,3977.6,2542.4,5144.7,5394.7,9671.1,5626.9,9113.5,8386.1,9999.1,92.4,1906.6,948.4,1665.7,7392.1,2810.9,2778.1,1922.6,7733.8,1866.2,3440.5,4352.7,4102.4,1785.3,7047.8,2103.3,8317.3,1720.3,4847.3,0,2470.0,3690.3,2758.2,5859.9,3515.6,3437.0,5241.1
Hammondsport,8166.4,8821.4,1923.7,1609.9,6286.5,2358.2,2183.8,4465.8,7735.8,9305.9,9128.7,2904.2,2560.2,4262.1,9794.2,2731.9,1072.5,4248.0,3728.1,7289.5,9750.5,2573.8,1398.3,8431.4,2186.7,6845.0,5073.9,7626.6,443.4,6055.3,127.2,7631.1,6552.2,6460.6,1661.9,1440.4,5817.6,47.0,1625.7,5894.8,391.3,8127.8,2470.0,0,6609.5,2043.3,2105.0,278.2,6374.3,3830.1
Great Neck,7428.9,7169.1,3890.6,2760.9,7850.1,7781.5,5877.2,2708.8,9985.3,1055.3,1433.4,368.6,4068.0,6628.0,7899.3,2687.2,1109.3,6628.5,44.6,7301.8,5085.7,7994.1,2020.3,206.2,8628.9,6891.2,3086.3,9215.5,3059.5,8019.4,4699.4,2070.4,9733.1,7845.0,42.1,8361.9,5470.4,4779.9,3033.7,1773.2,4013.0,4066.4,3690.3,6609.5,0,7314.6,3592.9,266.6,1703.7,9277.5
Beacon,8920.6,7853.6,8973.4,3154.3,715.4,8555.8,1450.6,1525.1,3301.5,2884.8,3918.7,6463.3,5265.5,1324.0,318.5,1159.1,2145.3,8109.1,2382.5,7513.9,3192.1,4492.5,4027.1,1402.8,8306.0,5045.2,6988.7,8841.0,3512.6,652.0,3324.9,6610.0,9801.7,6361.0,7812.9,4113.2,4130.5,4553.0,3242.3,736.2,1049.7,674.5,2758.2,2043.3,7314.6,0,7694.4,7439.8,4708.4,5139.6
Saranac Lake,5983.3,4171.2,7655.4,385.6,9535.9,5110.7,8845.4,3631.7,5313.2,6110.4,5583.9,8183.8,8746.6,3418.1,4226.2,5070.5,4393.2,3387.2,3878.8,7390.8,2968.5,9056.3,444.9,801.4,428.1,5079.5,3210.4,3960.3,2382.9,7934.5,5010.2,9323.8,1867.9,6451.9,5354.4,2826.9,2706.1,4556.3,5764.3,9399.7,9795.8,7226.8,5859.9,2105.0,3592.9,7694.4,0,6185.5,7825.8,3299.3
Oswego,6105.8,7242.3,3556.1,4301.1,4523.4,9329.5,6284.2,1495.0,5085.4,6720.9,6902.0,5775.8,3483.3,4935.9,6948.8,4281.0,6734.2,5925.4,3273.9,8542.1,906.2,9904.9,7714.2,219.0,837.9,2664.7,2238.2,3359.6,3163.8,3994.3,356.7,4081.1,7593.4,4422.0,730.8,6499.2,129.9,1724.0,7273.9,4872.6,8870.3,9320.5,3515.6,278.2,266.6,7439.8,6185.5,0,2381.4,2471.5
Corning,7089.4,7294.3,8743.4,1621.2,6312.7,7086.1,9373.6,2917.8,9387.3,9680.0,5167.7,3545.4,8148.9,3981.3,8391.8,5617.3,5748.9,2167.4,4618.0,5069.2,2104.2,6797.0,1512.9,494.9,5053.1,3843.3,6120.4,3998.7,3676.4,862.6,9486.0,6185.8,9420.4,8468.8,2711.4,7574.3,6590.4,2401.1,1485.5,3566.1,7982.9,4372.3,3437.0,6374.3,1703.7,4708.4,7825.8,2381.4,0,3352.3
Oneida,2533.3,9666.7,3628.9,8682.7,2028.1,2670.9,2488.7,717.8,571.1,5700.8,4000.7,2803.5,5797.6,3671.1,1691.1,9348.3,6756.4,392.4,3210.8,3864.3,9227.0,3725.8,2691.5,6230.8,5264.8,9805.6,6593.6,1136.6,8254.4,1186.4,2922.6,8965.6,1500.5,25.6,2051.1,2435.4,2876.2,5106.3,4895.5,4213.1,4099.7,6017.7,5241.1,3830.1,9277.5,5139.6,3299.3,2471.5,3352.3,0
