CSV,Ilion,Newburgh,Bronx,Mount Vernon,Rensselaer,Bedford,Crown Point,Fredonia,Troy,Seneca Falls,Kingston,Manhattan,Plattsburgh,Stony Brook,Lake Placid,Niagara Falls,Dunkirk,Lackawanna,Lockport,Cooperstown,Massena,Auburn,Gloversville,Hyde Park,North Hempstead,Rochester,Ogdensburg,Hudson,Rome,Mineola,White Plains,Huntington,Johnstown,Buffalo,Ithaca,Great Neck,Chautauqua,Tonawanda,Nyack,Coney Island,New Windsor,Cortland,Glens Falls,New York City,Utica,New Paltz,Batavia,Stony Point,Mamaroneck
Manhattan,8199.6,8562.4,3324.6,5204.7,5108.1,9628.6,462.8,8206.9,3104.0,2078.9,7009.3,0,2560.2,5372.0,9553.5,5043.2,7318.9,2027.5,6100.5,1062.3,3191.2,5642.1,1986.8,2159.0,2093.3,5762.7,3196.2,1741.6,6401.7,620.7,254.3,1960.7,7702.9,3871.7,1937.8,2090.3,1794.3,7039.5,7626.3,5794.6,6766.5,9943.5,2303.9,75.0,7638.9,339.5,4620.5,9537.4,4466.7
Plattsburgh,3350.3,3185.8,8999.6,7783.7,4230.2,7924.3,3801.3,7362.1,6162.0,3412.3,8081.9,2560.2,0,1425.6,7780.6,4754.5,4199.0,9799.2,8137.9,6259.3,9325.5,9445.1,2452.0,3419.2,601.9,4678.9,9441.1,9733.3,8297.5,5175.7,2552.2,5490.8,1061.7,274.8,9663.1,8836.8,9889.6,236.9,5466.0,1539.7,9502.5,2905.3,3140.3,5530.2,1296.3,3717.1,195.5,6457.9,9163.4
Stony Brook,5381.1,7383.2,6693.5,9595.8,4203.6,3580.8,1330.1,1977.2,872.8,6012.4,2307.5,5372.0,1425.6,0,7415.2,1014.2,9103.5,793.5,2366.3,25.2,814.3,6984.2,3819.2,438.2,8357.0,2466.4,2475.6,6694.4,7952.9,2789.4,9794.3,3475.3,6588.6,151.0,5681.2,6444.8,2052.1,8270.5,9134.4,2731.6,930.5,6474.4,3582.9,5860.6,2455.3,2112.3,716.7,2278.3,9350.4
Lake Placid,6915.9,3482.2,730.1,7050.8,5743.3,4846.6,7855.4,4639.4,3545.2,7644.7,3745.7,9553.5,7780.6,7415.2,0,3891.8,4505.1,4942.7,9619.0,5686.0,5607.9,8119.3,9006.8,8108.2,4871.9,4845.2,1540.5,6815.0,5795.5,392.5,4278.1,155.5,8276.7,8943.5,5527.2,9401.2,3966.6,4091.9,817.5,5352.0,9138.1,2210.3,6047.1,2221.5,1619.1,778.5,932.9,7591.7,7194.7
Niagara Falls,5079.3,6431.0,4231.5,2784.0,933.5,9890.5,7524.2,8019.8,6890.5,5966.2,1235.3,5043.2,4754.5,1014.2,3891.8,0,8746.3,5774.4,497.5,4114.0,7815.4,202.8,8513.2,5673.7,82.1,1118.4,2187.3,8511.1,8822.4,9157.3,8655.8,3054.8,8401.7,7064.0,5883.8,4495.3,8907.5,8587.3,3085.3,2027.2,7758.7,5376.5,8495.3,7856.6,6997.6,5170.7,975.0,8984.5,3050.2
Dunkirk,4121.4,5241.7,6206.8,4904.1,5544.2,7102.0,2758.6,7883.5,3704.1,1140.2,5468.3,7318.9,4199.0,9103.5,4505.1,8746.3,0,4405.4,7302.1,7698.3,487.3,5001.4,3523.3,9971.8,4771.6,1846.3,678.1,9801.3,279.3,6461.0,4385.8,3082.4,2374.3,5688.2,3359.7,5519.4,9210.3,6575.0,6001.8,2663.7,3628.7,5737.1,3762.9,3025.7,7569.4,1112.4,2472.5,8783.7,9683.7
Lackawanna,8323.6,4772.3,1889.5,3932.2,669.5,2863.9,5169.6,9931.1,6020.8,731.0,8799.1,2027.5,9799.2,793.5,4942.7,5774.4,4405.4,0,4139.7,4971.2,9904.8,8216.8,3361.0,3887.7,4319.8,6973.7,8301.5,7703.4,2623.9,6772.8,5137.2,4099.8,5219.2,4993.2,2922.6,2095.8,2519.3,488.5,302.2,8755.7,9932.4,9748.8,1520.4,4336.7,5813.3,3353.2,2960.6,2571.3,382.0
Lockport,8589.6,8893.3,8747.9,4901.1,4548.3,4528.1,6244.9,7036.8,6837.8,5013.0,8103.4,6100.5,8137.9,2366.3,9619.0,497.5,7302.1,4139.7,0,647.8,8337.8,3451.2,6588.8,2365.4,8192.0,620.1,5420.8,6615.7,4965.0,7064.8,6929.7,200.6,2184.2,8180.5,6743.1,3489.6,4807.0,2305.9,9613.3,329.4,3740.5,5469.4,2316.3,8597.1,8333.8,7459.4,1180.0,7586.5,8297.4
Cooperstown,2094.2,9004.0,5833.1,1983.4,9812.9,4101.3,6649.4,4932.3,2348.5,4965.8,262.3,1062.3,6259.3,25.2,5686.0,4114.0,7698.3,4971.2,647.8,0,7599.7,1424.0,0.5,6454.1,4465.9,1464.7,5299.4,4043.3,6658.4,7019.7,9227.7,1106.7,2467.3,6671.3,4245.0,1331.8,2676.0,3533.3,1478.0,3898.5,9089.0,3024.4,5332.7,3757.5,9350.3,3167.7,7018.5,383.9,6870.0
Massena,8254.8,8388.8,16.0,922.3,2108.3,6967.5,9311.7,1851.3,8408.4,8218.9,7965.3,3191.2,9325.5,814.3,5607.9,7815.4,487.3,9904.8,8337.8,7599.7,0,1136.0,7312.8,5477.6,6447.0,1146.8,6276.8,8186.6,7318.0,6133.7,9972.1,8501.2,2909.9,7388.8,4645.3,5699.2,5610.4,1313.9,4162.8,3552.9,6030.7,2661.4,1490.0,5533.4,5414.8,3647.1,7975.9,6854.0,1933.2
Auburn,2749.3,4907.0,2438.6,3395.4,118.2,8460.8,8290.3,2834.4,7330.9,7761.6,4867.5,5642.1,9445.1,6984.2,8119.3,202.8,5001.4,8216.8,3451.2,1424.0,1136.0,0,7097.9,6930.9,7921.3,1074.4,6445.4,67.9,9877.6,553.1,8004.0,9741.6,8716.7,9002.2,3928.5,8664.6,6793.7,5200.8,7413.1,6300.5,5983.3,7637.8,6516.0,8867.6,1515.5,9492.5,890.8,8320.7,8362.3
Gloversville,7016.1,9587.5,237.7,8754.5,6836.8,8717.9,5164.4,409.2,2809.1,6658.7,5907.7,1986.8,2452.0,3819.2,9006.8,8513.2,3523.3,3361.0,6588.8,0.5,7312.8,7097.9,0,1616.6,602.5,3280.4,1088.6,237.5,5131.5,4330.8,3945.3,1306.7,3483.9,6542.6,1562.2,3479.2,7477.7,6269.3,8024.1,2665.9,5496.8,7116.8,3837.0,183.9,146.5,9338.6,5957.3,1309.5,3714.9
Hyde Park,8902.1,9299.2,5755.4,9286.2,2424.8,6514.0,7925.8,1841.3,1209.1,5060.6,9376.5,2159.0,3419.2,438.2,8108.2,5673.7,9971.8,3887.7,2365.4,6454.1,5477.6,6930.9,1616.6,0,5120.8,3513.4,2419.5,7799.1,1966.8,5159.9,3422.5,3321.7,256.9,2187.6,2161.9,4783.7,9437.0,7926.7,5209.9,6167.4,7280.0,9514.0,3607.1,9226.2,2869.3,3258.0,6847.3,6930.6,6064.0
North Hempstead,2710.7,7427.4,7746.6,5400.6,9868.3,3791.1,9022.4,3521.6,8530.7,8195.7,9225.1,2093.3,601.9,8357.0,4871.9,82.1,4771.6,4319.8,8192.0,4465.9,6447.0,7921.3,602.5,5120.8,0,8765.9,8147.4,4592.2,4554.0,693.9,7178.3,9510.1,3804.5,9734.4,9838.8,7351.2,511.1,4591.1,3539.4,3422.7,1379.8,2704.3,4614.9,5147.7,608.8,1285.0,1424.9,5998.1,6829.6
Rochester,6351.7,390.6,3888.8,2688.7,5416.4,4329.7,386.1,9692.1,1857.1,4615.8,6136.3,5762.7,4678.9,2466.4,4845.2,1118.4,1846.3,6973.7,620.1,1464.7,1146.8,1074.4,3280.4,3513.4,8765.9,0,1552.3,7431.3,8910.1,4172.2,3133.2,7413.6,4909.3,5552.9,1921.5,6202.9,2384.7,6228.8,5748.6,3393.5,8577.7,2850.2,2886.6,1716.0,1725.1,6512.4,3154.5,4158.4,4433.1
Ogdensburg,1744.2,5255.2,7922.4,4494.1,5941.0,4570.9,9646.9,4268.2,335.0,3284.5,6368.4,3196.2,9441.1,2475.6,1540.5,2187.3,678.1,8301.5,5420.8,5299.4,6276.8,6445.4,1088.6,2419.5,8147.4,1552.3,0,5754.3,5470.3,4335.7,8838.0,6757.7,5497.0,1302.7,806.5,7026.1,2567.5,5832.2,1410.4,945.6,6963.2,1166.0,1544.0,7861.3,3965.4,5037.2,1341.2,6915.1,1068.2
Hudson,2901.4,3827.4,3184.3,8508.4,9502.3,388.2,3760.0,4595.2,760.6,5918.8,855.8,1741.6,9733.3,6694.4,6815.0,8511.1,9801.3,7703.4,6615.7,4043.3,8186.6,67.9,237.5,7799.1,4592.2,7431.3,5754.3,0,6045.7,6181.0,3264.8,7706.1,4066.2,6426.7,7628.5,5155.7,2629.5,8267.8,268.7,478.9,3910.6,9913.4,9681.0,9654.4,1409.6,1157.7,3960.4,6162.8,2174.9
Rome,752.8,906.7,4405.9,8888.4,1582.1,274.0,4988.1,1383.1,3849.0,3156.3,9805.8,6401.7,8297.5,7952.9,5795.5,8822.4,279.3,2623.9,4965.0,6658.4,7318.0,9877.6,5131.5,1966.8,4554.0,8910.1,5470.3,6045.7,0,1361.3,535.3,3324.0,2419.6,8198.5,3883.5,5678.0,8177.4,5182.4,3326.2,5932.5,9106.4,3772.2,8587.8,3202.0,6670.6,4518.8,8362.5,4957.5,7439.9
Mineola,5735.8,3342.6,9449.8,7071.8,700.9,9047.0,4326.3,1803.8,2771.5,4197.7,3459.9,620.7,5175.7,2789.4,392.5,9157.3,6461.0,6772.8,7064.8,7019.7,6133.7,553.1,4330.8,5159.9,693.9,4172.2,4335.7,6181.0,1361.3,0,2387.6,4914.6,6054.9,6566.0,4353.3,7948.0,733.2,5282.3,935.8,2864.5,5941.9,4964.0,5204.2,1445.1,3978.6,1884.9,2427.6,5584.6,2915.4
White Plains,5160.7,9007.2,9561.8,7138.6,6322.3,7631.9,6212.6,8181.6,1091.5,9756.2,3350.9,254.3,2552.2,9794.3,4278.1,8655.8,4385.8,5137.2,6929.7,9227.7,9972.1,8004.0,3945.3,3422.5,7178.3,3133.2,8838.0,3264.8,535.3,2387.6,0,664.6,9345.4,4111.8,9195.0,7863.6,9919.9,6234.7,9280.3,6364.8,3930.7,1513.9,7774.0,4637.2,5559.3,4247.0,4697.4,9815.4,1840.7
Huntington,4726.0,3167.1,3746.8,9949.2,4036.2,5843.1,6259.1,4066.0,5392.2,9219.6,7265.7,1960.7,5490.8,3475.3,155.5,3054.8,3082.4,4099.8,200.6,1106.7,8501.2,9741.6,1306.7,3321.7,9510.1,7413.6,6757.7,7706.1,3324.0,4914.6,664.6,0,8715.3,1897.1,9721.8,571.3,5454.4,7482.9,5775.7,5114.8,9803.0,5818.3,1575.5,3803.0,3717.0,2352.2,8363.3,1705.4,9754.7
Johnstown,741.5,2032.0,5062.2,2901.2,1395.0,4586.8,1779.0,2774.2,5223.5,3152.9,1651.0,7702.9,1061.7,6588.6,8276.7,8401.7,2374.3,5219.2,2184.2,2467.3,2909.9,8716.7,3483.9,256.9,3804.5,4909.3,5497.0,4066.2,2419.6,6054.9,9345.4,8715.3,0,3665.8,9944.3,8520.1,2449.1,7395.0,2192.9,5592.9,7744.9,1980.7,8688.0,3267.8,8712.4,8631.0,3095.4,5017.2,5770.8
Buffalo,5278.4,6586.0,1099.7,8461.1,817.8,3132.0,5631.9,9180.3,3251.1,9451.9,1380.3,3871.7,274.8,151.0,8943.5,7064.0,5688.2,4993.2,8180.5,6671.3,7388.8,9002.2,6542.6,2187.6,9734.4,5552.9,1302.7,6426.7,8198.5,6566.0,4111.8,1897.1,3665.8,0,7891.0,8564.6,3710.3,5665.8,4296.9,5054.9,7989.8,5562.0,9230.4,8557.2,4800.5,1494.0,3555.4,4295.5,6057.4
Ithaca,2573.4,3953.2,9332.8,6209.3,4037.4,8370.2,2204.7,183.3,1580.3,6378.9,2485.0,1937.8,9663.1,5681.2,5527.2,5883.8,3359.7,2922.6,6743.1,4245.0,4645.3,3928.5,1562.2,2161.9,9838.8,1921.5,806.5,7628.5,3883.5,4353.3,9195.0,9721.8,9944.3,7891.0,0,4950.9,1201.7,5510.9,3498.6,3892.9,4150.6,8535.4,9884.8,1661.4,5839.0,9048.2,2773.0,9762.2,1438.8
Great Neck,5422.4,1970.7,460.0,9820.5,581.4,6155.8,8422.0,2434.8,634.2,8299.9,6847.1,2090.3,8836.8,6444.8,9401.2,4495.3,5519.4,2095.8,3489.6,1331.8,5699.2,8664.6,3479.2,4783.7,7351.2,6202.9,7026.1,5155.7,5678.0,7948.0,7863.6,571.3,8520.1,8564.6,4950.9,0,4957.7,1806.4,5311.9,8343.8,3016.0,4519.0,708.9,7510.2,2379.0,958.4,329.7,6247.3,7665.8
Chautauqua,1105.1,4584.7,3977.5,1315.5,6501.8,8570.7,5197.8,3814.2,8031.7,9722.6,694.7,1794.3,9889.6,2052.1,3966.6,8907.5,9210.3,2519.3,4807.0,2676.0,5610.4,6793.7,7477.7,9437.0,511.1,2384.7,2567.5,2629.5,8177.4,733.2,9919.9,5454.4,2449.1,3710.3,1201.7,4957.7,0,8488.7,411.9,267.1,7357.3,5591.4,8488.4,8708.7,4058.9,3412.8,2585.8,2179.3,4899.7
Tonawanda,8138.1,6323.9,5757.3,3742.7,561.7,8822.5,5263.9,1951.1,6590.6,8941.9,2023.6,7039.5,236.9,8270.5,4091.9,8587.3,6575.0,488.5,2305.9,3533.3,1313.9,5200.8,6269.3,7926.7,4591.1,6228.8,5832.2,8267.8,5182.4,5282.3,6234.7,7482.9,7395.0,5665.8,5510.9,1806.4,8488.7,0,855.3,6741.4,1031.2,6328.3,2482.7,586.3,3382.5,8671.5,4999.4,2321.2,4010.6
Nyack,9039.3,3820.0,8142.3,50.7,2587.3,3876.5,437.7,3645.0,5830.5,9843.6,7861.2,7626.3,5466.0,9134.4,817.5,3085.3,6001.8,302.2,9613.3,1478.0,4162.8,7413.1,8024.1,5209.9,3539.4,5748.6,1410.4,268.7,3326.2,935.8,9280.3,5775.7,2192.9,4296.9,3498.6,5311.9,411.9,855.3,0,7573.4,3437.2,9635.8,286.8,44.6,9589.6,1330.6,2162.7,7412.9,2627.9
Coney Island,3483.2,4513.7,9427.3,7965.8,4248.8,753.5,4182.3,8438.9,648.9,7572.6,6373.3,5794.6,1539.7,2731.6,5352.0,2027.2,2663.7,8755.7,329.4,3898.5,3552.9,6300.5,2665.9,6167.4,3422.7,3393.5,945.6,478.9,5932.5,2864.5,6364.8,5114.8,5592.9,5054.9,3892.9,8343.8,267.1,6741.4,7573.4,0,5934.2,7991.7,9864.5,843.1,4112.4,6531.5,9728.3,7429.3,148.8
New Windsor,3642.3,7386.2,5736.0,3856.0,9952.2,3138.5,1826.7,9268.8,9374.3,755.3,5359.6,6766.5,9502.5,930.5,9138.1,7758.7,3628.7,9932.4,3740.5,9089.0,6030.7,5983.3,5496.8,7280.0,1379.8,8577.7,6963.2,3910.6,9106.4,5941.9,3930.7,9803.0,7744.9,7989.8,4150.6,3016.0,7357.3,1031.2,3437.2,5934.2,0,7148.4,663.8,1652.3,8622.6,4056.6,1719.9,6852.4,2507.3
Cortland,5011.6,7627.1,2065.7,9100.2,4497.7,7346.5,7525.6,5412.9,9110.1,8904.2,2500.7,9943.5,2905.3,6474.4,2210.3,5376.5,5737.1,9748.8,5469.4,3024.4,2661.4,7637.8,7116.8,9514.0,2704.3,2850.2,1166.0,9913.4,3772.2,4964.0,1513.9,5818.3,1980.7,5562.0,8535.4,4519.0,5591.4,6328.3,9635.8,7991.7,7148.4,0,5445.4,5586.1,9997.1,1537.7,1988.1,8101.9,942.2
Glens Falls,6168.4,1357.1,620.0,2213.5,5568.0,4175.3,9069.8,8747.6,9645.6,7438.3,6853.2,2303.9,3140.3,3582.9,6047.1,8495.3,3762.9,1520.4,2316.3,5332.7,1490.0,6516.0,3837.0,3607.1,4614.9,2886.6,1544.0,9681.0,8587.8,5204.2,7774.0,1575.5,8688.0,9230.4,9884.8,708.9,8488.4,2482.7,286.8,9864.5,663.8,5445.4,0,7335.2,5867.2,7790.5,3037.7,9931.4,4280.4
New York City,6944.9,6818.8,8792.8,7305.7,9417.3,1639.0,5685.7,5229.6,9811.5,8811.0,9342.8,75.0,5530.2,5860.6,2221.5,7856.6,3025.7,4336.7,8597.1,3757.5,5533.4,8867.6,183.9,9226.2,5147.7,1716.0,7861.3,9654.4,3202.0,1445.1,4637.2,3803.0,3267.8,8557.2,1661.4,7510.2,8708.7,586.3,44.6,843.1,1652.3,5586.1,7335.2,0,1927.8,6174.0,4890.4,7485.9,5078.7
Utica,6506.5,4517.3,8861.4,9983.1,8170.7,9303.4,7408.4,2858.8,2052.3,7603.8,6676.8,7638.9,1296.3,2455.3,1619.1,6997.6,7569.4,5813.3,8333.8,9350.3,5414.8,1515.5,146.5,2869.3,608.8,1725.1,3965.4,1409.6,6670.6,3978.6,5559.3,3717.0,8712.4,4800.5,5839.0,2379.0,4058.9,3382.5,9589.6,4112.4,8622.6,9997.1,5867.2,1927.8,0,661.2,754.6,3761.3,931.7
New Paltz,8299.7,8183.0,3920.8,3023.2,7820.1,7905.2,3559.7,2183.3,7691.3,1634.1,6320.3,339.5,3717.1,2112.3,778.5,5170.7,1112.4,3353.2,7459.4,3167.7,3647.1,9492.5,9338.6,3258.0,1285.0,6512.4,5037.2,1157.7,4518.8,1884.9,4247.0,2352.2,8631.0,1494.0,9048.2,958.4,3412.8,8671.5,1330.6,6531.5,4056.6,1537.7,7790.5,6174.0,661.2,0,9842.7,2446.8,5212.7
Batavia,6055.3,387.1,7473.1,9413.6,4992.8,6623.5,4014.5,982.6,3012.9,5780.3,4891.4,4620.5,195.5,716.7,932.9,975.0,2472.5,2960.6,1180.0,7018.5,7975.9,890.8,5957.3,6847.3,1424.9,3154.5,1341.2,3960.4,8362.5,2427.6,4697.4,8363.3,3095.4,3555.4,2773.0,329.7,2585.8,4999.4,2162.7,9728.3,1719.9,1988.1,3037.7,4890.4,754.6,9842.7,0,4064.2,1723.8
Stony Point,2530.8,1094.2,3831.7,9404.8,18.9,7355.0,7509.7,206.5,7230.8,8355.5,6156.8,9537.4,6457.9,2278.3,7591.7,8984.5,8783.7,2571.3,7586.5,383.9,6854.0,8320.7,1309.5,6930.6,5998.1,4158.4,6915.1,6162.8,4957.5,5584.6,9815.4,1705.4,5017.2,4295.5,9762.2,6247.3,2179.3,2321.2,7412.9,7429.3,6852.4,8101.9,9931.4,7485.9,3761.3,2446.8,4064.2,0,9554.1
Mamaroneck,6150.9,9176.9,7130.4,6242.2,304.4,1874.2,3888.1,1189.1,192.7,8367.6,1489.7,4466.7,9163.4,9350.4,7194.7,3050.2,9683.7,382.0,8297.4,6870.0,1933.2,8362.3,3714.9,6064.0,6829.6,4433.1,1068.2,2174.9,7439.9,2915.4,1840.7,9754.7,5770.8,6057.4,1438.8,7665.8,4899.7,4010.6,2627.9,148.8,2507.3,942.2,4280.4,5078.7,931.7,5212.7,1723.8,9554.1,0
