CSV,Herkimer,Rochester,Johnstown,Lackawanna,Bronx,East Aurora,Binghamton,Rotterdam,Southampton,Brooklyn,Lockport,Glens Falls,Cohoes,Ithaca,Seneca Falls,Cheektowaga,Geneva,Huntington,Saratoga Springs,Babylon,Great Neck,Crown Point,Oneonta,Flushing,Syracuse,Jamestown,New Windsor,Troy,Hammondsport,East Hampton,Chautauqua,Gloversville,Bedford,Lake Placid,Yonkers,Palmyra,Manhattan,Clinton,Batavia,Massena,White Plains,Harlem,Oyster Bay,New Paltz,North Hempstead,Rye,Watkins Glen,Rensselaer,Potsdam
Syracuse,1738.0,9892.8,663.1,2981.0,4401.4,2431.5,7809.3,7606.7,651.5,4520.0,7138.5,5890.8,2657.5,3758.1,6137.8,4587.4,5574.7,6179.8,4247.4,5036.6,4937.2,3532.0,9142.0,9330.7,0,1283.5,727.1,6967.9,4639.3,4754.6,2911.8,7871.8,5995.7,556.2,4348.9,6497.2,5349.8,4950.8,7966.5,714.0,7398.1,5458.2,9415.1,3904.4,6047.5,1359.2,973.0,4718.2,976.2
Jamestown,7521.4,5466.9,1574.5,7468.5,8150.7,3777.1,9824.6,6621.6,7300.4,5454.8,5635.4,5417.6,4716.1,1550.7,3949.4,6916.4,9283.2,530.7,5207.8,6173.8,7450.5,7150.2,4461.9,4685.3,1283.5,0,2662.1,4137.0,4369.5,2233.5,2096.6,3639.9,2101.8,3304.5,2130.4,8895.8,6809.2,7353.1,4702.6,5049.8,6950.5,7956.7,8876.8,4805.9,7890.5,8069.4,3943.7,3313.6,2816.4
New Windsor,3263.3,9848.8,7151.8,4883.7,8709.9,6770.3,5871.5,9514.9,6886.2,2839.9,4187.8,4425.1,4405.6,160.5,8495.2,6772.2,2408.4,1024.7,5846.7,7667.0,8062.2,9418.7,4271.0,7178.1,727.1,2662.1,0,4467.4,4679.6,4584.8,1401.0,234.4,4105.2,5360.4,5810.7,5508.8,7970.5,700.7,3327.8,4319.6,4573.7,1857.3,8612.3,7461.1,5280.0,4969.5,2227.5,2573.6,9359.7
Troy,9196.9,1351.3,5050.9,9376.2,1796.4,2070.3,1197.2,3674.0,7160.5,9896.4,475.9,3958.1,6332.8,3902.3,4899.6,7202.0,273.8,3672.9,2957.4,719.8,217.3,4388.0,1561.0,3199.4,6967.9,4137.0,4467.4,0,6664.9,6978.3,6242.0,9149.5,346.2,5555.4,6882.3,8540.2,3403.0,6779.1,8686.2,3283.7,5138.9,3939.7,7790.0,8195.4,6205.9,6640.8,7384.7,1080.2,9082.7
Hammondsport,7883.0,6568.7,7093.2,1365.0,3269.3,6678.8,8191.4,9732.2,9816.8,3717.0,9181.6,5011.8,8031.0,5331.9,4573.3,2202.0,6256.1,6208.1,3816.8,908.9,8146.9,6072.7,9357.6,905.9,4639.3,4369.5,4679.6,6664.9,0,3622.4,5697.8,5193.1,9156.6,45.7,732.1,8831.4,4586.0,6562.9,9421.1,9698.2,3858.1,6376.5,3058.4,1420.3,5813.5,8692.5,6103.1,5611.4,372.6
East Hampton,1690.7,7283.8,3075.6,3559.1,6205.0,5733.0,2319.2,3508.6,5507.3,5286.0,7578.0,4723.3,7984.9,5410.5,6751.6,6841.4,2055.0,2312.4,7218.8,264.7,2646.3,101.6,4435.8,2218.5,4754.6,2233.5,4584.8,6978.3,3622.4,0,7412.5,5379.8,6715.4,9745.0,8265.9,3198.7,3635.3,1553.6,3352.6,3772.9,7738.4,9018.9,887.4,1154.8,266.7,3580.2,4433.5,1980.2,6449.5
Chautauqua,7973.8,2384.4,346.3,6631.9,492.0,7807.9,368.2,4928.6,1153.8,5231.1,7293.5,5318.6,6052.8,3158.1,2209.5,9056.0,5075.5,663.3,910.0,3248.4,436.5,8459.0,4350.1,8280.3,2911.8,2096.6,1401.0,6242.0,5697.8,7412.5,0,6648.8,2015.9,2752.1,5740.7,3963.5,7484.0,4980.8,2294.5,1346.4,1571.7,8299.8,7178.9,9323.2,8672.2,2000.4,3689.3,2847.2,2448.9
Gloversville,4557.2,6440.3,4964.2,1166.3,920.8,3184.4,5317.6,5094.3,7063.3,7334.1,9596.7,3988.5,6139.7,21.7,8642.5,582.4,9.1,7199.6,2140.7,8600.7,6599.2,2089.4,9060.5,5260.9,7871.8,3639.9,234.4,9149.5,5193.1,5379.8,6648.8,0,8144.4,4680.3,5839.7,1801.1,7033.3,8229.0,5821.9,4541.9,4595.1,9236.5,4588.7,8382.4,4947.1,5428.2,5591.3,8749.2,8707.9
Bedford,7752.1,3743.2,6093.0,166.3,4626.8,9633.5,321.0,9871.2,8605.9,3675.4,2975.2,8597.3,7361.7,6325.6,1532.4,4404.6,3980.7,6567.1,6521.9,4951.2,9307.8,6861.3,7111.3,8381.1,5995.7,2101.8,4105.2,346.2,9156.6,6715.4,2015.9,8144.4,0,221.0,8083.7,8816.1,9485.6,6928.9,3334.4,4639.4,5010.9,885.6,8191.1,7655.9,1977.2,6221.9,9425.4,2018.9,7660.3
Lake Placid,2826.3,1513.5,4012.9,5157.9,3789.2,5659.8,3366.3,633.1,5416.4,6962.1,2375.9,5942.3,1065.5,2719.7,8824.4,5416.9,6777.1,9505.4,7968.4,5100.1,2545.5,4660.8,768.8,7654.8,556.2,3304.5,5360.4,5555.4,45.7,9745.0,2752.1,4680.3,221.0,0,2858.3,6892.5,9960.9,5436.4,9110.6,246.2,5790.3,3683.3,9896.5,3798.1,4560.1,8672.4,7295.0,2715.6,6624.5
Yonkers,6170.2,8673.1,1170.4,6816.2,5455.0,9537.3,9738.9,1272.6,3009.8,1847.3,4457.2,7399.7,9714.4,810.8,5697.3,8653.5,2017.7,1663.6,7987.3,3775.5,774.8,9161.3,9778.2,834.3,4348.9,2130.4,5810.7,6882.3,732.1,8265.9,5740.7,5839.7,8083.7,2858.3,0,9751.3,3451.4,675.5,3458.7,9165.1,2363.6,9799.8,3287.8,8201.7,1864.6,3013.1,9497.6,5772.8,2920.9
Palmyra,1760.1,5007.2,1975.3,6779.8,8951.9,7158.6,4651.0,5208.5,3999.6,1689.0,4075.1,3600.5,1172.1,4048.3,6639.8,9205.1,6317.3,2816.2,687.2,2072.0,5320.7,4920.1,2523.7,3139.7,6497.2,8895.8,5508.8,8540.2,8831.4,3198.7,3963.5,1801.1,8816.1,6892.5,9751.3,0,9805.3,1539.2,34.7,967.9,3515.8,7315.5,700.1,5972.4,6945.5,1632.6,6226.5,6553.1,4869.1
Manhattan,4801.2,160.8,1526.2,5741.1,5601.5,8745.4,4029.5,780.3,4760.0,6564.4,5228.6,530.6,6234.9,7546.0,9234.8,1442.8,4463.9,3632.3,971.6,3403.3,7173.4,422.7,9793.6,9052.2,5349.8,6809.2,7970.5,3403.0,4586.0,3635.3,7484.0,7033.3,9485.6,9960.9,3451.4,9805.3,0,1082.9,1869.6,226.8,3458.3,3368.9,5289.0,5328.4,6890.1,5668.5,7235.6,5607.2,5848.5
Clinton,2547.9,5893.9,5573.4,8566.0,7967.4,1637.9,5339.8,4157.5,6829.0,1672.7,8361.3,7204.4,3193.5,6069.0,5809.8,7088.9,4320.6,3251.1,1748.4,1964.0,6823.9,8707.1,3213.3,3002.4,4950.8,7353.1,700.7,6779.1,6562.9,1553.6,4980.8,8229.0,6928.9,5436.4,675.5,1539.2,1082.9,0,1918.2,7588.5,5114.0,438.3,7547.4,4865.2,464.2,7733.0,3984.5,8137.6,5435.3
Batavia,1082.0,9667.4,3792.0,394.4,7969.1,4179.8,589.6,2580.4,7827.8,7617.1,9242.8,6370.9,7894.8,6278.1,24.7,7364.4,2742.2,6038.0,3030.8,814.4,4329.5,93.3,5664.2,2277.7,7966.5,4702.6,3327.8,8686.2,9421.1,3352.6,2294.5,5821.9,3334.4,9110.6,3458.7,34.7,1869.6,1918.2,0,602.2,8426.1,3863.1,6994.7,6964.2,7148.7,1975.7,7666.8,773.8,9494.4
Massena,7505.8,4114.1,2074.2,2117.3,3838.1,2686.5,9619.6,156.4,8324.9,918.4,4162.2,4158.6,6307.0,6123.1,4382.6,249.9,9528.3,1128.3,8489.3,9302.5,6751.2,1963.0,9743.9,9648.5,714.0,5049.8,4319.6,3283.7,9698.2,3772.9,1346.4,4541.9,4639.4,246.2,9165.1,967.9,226.8,7588.5,602.2,0,2187.1,295.4,7971.7,14.0,4385.8,2982.6,8566.8,4033.4,9981.6
White Plains,8523.8,2507.3,8169.0,8395.2,4509.3,6217.9,1145.7,4648.5,7928.3,75.4,4797.7,5894.7,7020.2,9609.1,7305.4,2167.2,9803.7,3977.8,1583.1,8619.8,6158.5,5131.3,7996.6,392.2,7398.1,6950.5,4573.7,5138.9,3858.1,7738.4,1571.7,4595.1,5010.9,5790.3,2363.6,3515.8,3458.3,5114.0,8426.1,2187.1,0,8091.5,9191.9,7535.4,1922.9,369.1,3696.7,3969.0,67.0
Harlem,3207.5,8.7,806.9,5660.2,1100.4,2833.7,2761.1,9340.7,9130.9,1882.2,3702.7,3643.6,7714.3,9935.2,5720.8,2126.2,1389.8,8766.7,3130.6,1130.1,8418.7,9668.0,9961.2,8446.4,5458.2,7956.7,1857.3,3939.7,6376.5,9018.9,8299.8,9236.5,885.6,3683.3,9799.8,7315.5,3368.9,438.3,3863.1,295.4,8091.5,0,5873.1,1461.8,1062.9,6323.6,2846.2,7505.9,5665.9
Oyster Bay,4387.4,8031.6,289.1,8509.0,84.8,1937.4,4001.7,1044.2,5162.6,1701.0,8048.9,2576.2,7458.2,1219.1,8371.3,221.6,4288.6,4356.6,3516.5,2792.1,7751.8,6730.3,9602.8,2462.3,9415.1,8876.8,8612.3,7790.0,3058.4,887.4,7178.9,4588.7,8191.1,9896.5,3287.8,700.1,5289.0,7547.4,6994.7,7971.7,9191.9,5873.1,0,2129.3,9722.5,3027.3,4268.3,3312.4,2773.7
New Paltz,5797.2,2613.3,7740.7,7242.2,1469.3,2026.9,9555.7,9760.9,9580.3,4826.0,7381.5,8597.4,9196.1,2205.0,1892.3,9829.5,12.3,9118.7,9606.0,2598.6,3985.3,2257.1,8044.6,6197.9,3904.4,4805.9,7461.1,8195.4,1420.3,1154.8,9323.2,8382.4,7655.9,3798.1,8201.7,5972.4,5328.4,4865.2,6964.2,14.0,7535.4,1461.8,2129.3,0,442.8,1783.3,1524.9,1571.5,9004.2
North Hempstead,7783.8,6993.7,5238.0,6052.3,2489.9,4247.2,1699.0,5827.2,4985.8,6455.6,1959.9,6162.0,967.7,4291.8,4731.3,2391.5,8244.1,8363.2,7537.1,3476.2,6014.6,7544.8,7078.5,1837.7,6047.5,7890.5,5280.0,6205.9,5813.5,266.7,8672.2,4947.1,1977.2,4560.1,1864.6,6945.5,6890.1,464.2,7148.7,4385.8,1922.9,1062.9,9722.5,442.8,0,4350.0,400.1,9731.4,2226.5
Rye,6315.0,632.2,2030.4,5440.7,9453.1,3676.9,1345.3,628.8,8750.5,6666.7,1702.6,5579.8,6434.2,8215.2,6463.9,3987.0,4427.0,5109.8,883.4,1158.2,4081.8,5420.6,9994.1,2871.9,1359.2,8069.4,4969.5,6640.8,8692.5,3580.2,2000.4,5428.2,6221.9,8672.4,3013.1,1632.6,5668.5,7733.0,1975.7,2982.6,369.1,6323.6,3027.3,1783.3,4350.0,0,6656.2,517.2,9981.5
Watkins Glen,7939.6,6640.3,8022.4,844.9,7429.5,5812.4,2284.8,4748.7,4124.3,671.6,3022.9,2949.8,1838.1,8374.9,8793.0,9411.3,1468.2,483.1,4370.4,6912.6,1818.7,8144.7,2317.5,1065.4,973.0,3943.7,2227.5,7384.7,6103.1,4433.5,3689.3,5591.3,9425.4,7295.0,9497.6,6226.5,7235.6,3984.5,7666.8,8566.8,3696.7,2846.2,4268.3,1524.9,400.1,6656.2,0,5460.4,9590.1
Rensselaer,1960.0,6481.9,3965.0,3360.0,6811.9,4661.8,3521.6,7301.0,7753.6,636.7,3702.4,8849.7,5618.6,7971.9,2276.0,7376.2,4549.8,8082.3,1008.7,8051.2,545.6,1341.6,5491.8,7647.8,4718.2,3313.6,2573.6,1080.2,5611.4,1980.2,2847.2,8749.2,2018.9,2715.6,5772.8,6553.1,5607.2,8137.6,773.8,4033.4,3969.0,7505.9,3312.4,1571.5,9731.4,517.2,5460.4,0,3935.6
Potsdam,9179.1,4286.3,7119.8,718.8,899.1,3649.6,9140.2,9747.8,3706.7,8822.0,7144.3,6727.3,7065.4,3703.0,63.9,9475.8,7428.5,1113.8,4124.2,6148.3,3096.5,4972.5,4812.2,3925.8,976.2,2816.4,9359.7,9082.7,372.6,6449.5,2448.9,8707.9,7660.3,6624.5,2920.9,4869.1,5848.5,5435.3,9494.4,9981.6,67.0,5665.9,2773.7,9004.2,2226.5,9981.5,9590.1,3935.6,0
