CSV,Garden City,Saratoga Springs,Troy,Yonkers,Ossining,Middletown,Mineola,Herkimer,Sag Harbor,Auburn,Stony Brook,Rome,Watertown,Cheektowaga,Clinton,Johnstown,Saranac Lake,Tarrytown,Crown Point,Ogdensburg,Dunkirk,Oswego,Rensselaer,Hammondsport,Port Washington,Schenectady,New Windsor,Amsterdam,Tonawanda,Olean,Queens,Kingston,Huntington,Brooklyn,Seneca Falls,Lockport,Forest Hills,Poughkeepsie,New York City,Syracuse,Oyster Bay,Oneonta,Coney Island,Rochester,Batavia,Gloversville,Mount Vernon,Southampton,Bedford,Bronx
Stony Brook,5804.6,7560.2,2993.7,219.3,6189.7,4078.6,5300.4,8231.9,4419.5,9909.1,0,9997.0,204.2,5448.3,6576.6,9878.9,2578.1,6190.2,3519.1,540.3,2775.6,3146.5,7229.4,7541.9,8911.2,647.4,294.7,6055.2,5714.6,9693.3,1640.3,9218.4,4638.7,9232.1,4267.7,3480.4,5883.1,7270.9,2127.4,2218.6,2329.3,3299.8,6580.0,314.6,9299.8,8221.1,9698.4,6016.2,7429.5,4938.3
Rome,2008.4,4234.3,8886.7,1172.7,8259.7,6762.2,956.0,2581.8,9896.6,6294.8,9997.0,0,7566.3,1940.6,3883.8,3814.8,6762.5,5139.5,7584.3,8952.3,5549.1,4076.9,109.8,275.8,7148.4,9609.4,8361.2,4791.7,8166.2,4261.4,5714.5,1914.0,5315.2,6272.6,2570.6,7863.0,666.8,3549.9,7891.1,458.4,8914.1,9550.6,1102.6,8082.2,6786.4,2827.0,2483.8,7828.4,4470.0,1363.6
Watertown,5611.3,8092.9,8904.3,8356.6,7375.2,5456.1,1845.6,4534.8,6134.2,448.7,204.2,7566.3,0,1614.8,9855.8,4148.8,3799.6,4648.2,6433.7,2861.0,7513.0,8160.2,3215.1,5540.0,6145.6,1844.1,2295.0,3254.8,7986.1,2327.1,9202.9,5557.1,9667.1,9317.2,1541.6,593.8,5824.6,3452.2,4673.0,494.4,1531.6,1527.4,1940.7,5408.5,810.4,8515.5,20.4,6579.1,5679.8,4225.3
Cheektowaga,1910.4,9329.8,5266.3,9257.3,8163.2,8837.2,8680.3,7287.2,6912.5,1833.6,5448.3,1940.6,1614.8,0,8981.4,7509.4,9951.3,397.7,8400.9,4209.4,3255.5,4198.6,6067.9,7804.3,6740.2,1765.3,9045.2,7752.9,870.1,1398.8,6678.1,5396.1,1425.9,3703.8,4330.8,5104.8,1505.4,326.3,2119.6,9762.9,1546.0,2740.4,2605.5,7657.5,1501.5,5742.2,1394.8,823.7,3635.3,8788.5
Clinton,8775.0,3597.8,2295.8,9998.1,6888.9,8955.4,6684.8,9658.7,4249.5,3357.3,6576.6,3883.8,9855.8,8981.4,0,5071.9,6520.2,2894.1,4181.8,781.7,1477.5,5089.1,1453.6,4899.0,8187.2,1688.2,4285.1,2876.1,5104.7,9607.9,1360.7,7210.1,8966.6,5512.9,1367.6,1507.3,3290.9,4413.1,5105.5,4317.4,3537.0,8102.7,1683.0,4985.8,5512.5,797.5,7302.8,5806.7,5088.9,4147.3
Johnstown,1742.4,6715.5,627.1,434.4,4652.3,2396.2,3474.8,4155.9,9574.9,7175.1,9878.9,3814.8,4148.8,7509.4,5071.9,0,2274.7,4549.2,7785.6,3088.1,1381.7,157.5,6859.5,2697.9,1319.5,3449.0,2643.1,4601.0,6405.4,8036.7,9204.8,4049.0,7565.4,2488.5,2381.5,8990.2,7187.5,4304.1,69.9,578.5,6531.2,9345.3,5750.2,569.1,8194.8,3382.1,5800.8,9578.0,4734.1,1261.5
Saranac Lake,7870.6,1208.8,3094.6,7064.1,2175.4,8538.6,5156.8,8271.1,8351.2,9025.7,2578.1,6762.5,3799.6,9951.3,6520.2,2274.7,0,9299.6,299.3,3341.4,7198.1,1080.2,1406.3,2478.0,3472.4,319.8,2639.3,5199.8,6861.5,840.0,9633.8,9492.2,2838.7,5584.6,6557.1,1732.3,5859.8,6898.3,3723.9,9061.1,9655.8,6830.2,438.3,7893.5,6225.8,2678.9,5622.2,8482.5,612.8,3582.5
Tarrytown,1771.9,6192.8,2116.6,1190.0,2509.2,5778.6,2498.3,447.8,5652.5,4135.8,6190.2,5139.5,4648.2,397.7,2894.1,4549.2,9299.6,0,6955.4,7666.0,2169.5,7649.9,9405.5,1944.3,383.9,2855.2,4666.5,5335.8,58.0,5971.6,8733.4,3228.9,1777.2,4509.8,3719.3,9339.2,1437.8,5004.2,463.0,1466.0,9717.6,7009.5,232.9,5370.4,8640.3,718.5,7851.4,9783.5,699.6,6430.4
Crown Point,8850.2,5250.7,6732.4,9515.9,7050.3,15.1,3170.8,8982.6,1408.9,520.8,3519.1,7584.3,6433.7,8400.9,4181.8,7785.6,299.3,6955.4,0,7498.4,844.0,9743.5,4635.9,2034.0,8224.8,1505.7,1877.4,5782.3,4405.6,1079.4,2011.6,894.8,4590.6,6597.8,9741.2,5639.8,9892.1,560.8,2322.9,7085.8,5318.5,5572.8,1135.6,1174.3,416.0,4726.3,4519.8,8292.6,1687.8,8590.5
Ogdensburg,8683.6,8397.2,8382.8,7214.9,8169.4,7060.9,6360.6,5175.3,4972.3,2147.1,540.3,8952.3,2861.0,4209.4,781.7,3088.1,3341.4,7666.0,7498.4,0,9863.5,1691.7,6884.4,7933.6,7997.5,3853.8,4982.5,101.1,8564.9,3402.8,8349.2,7458.1,5087.2,5809.2,7274.4,4948.9,524.8,7652.7,4870.1,3119.4,6969.6,9884.8,1147.9,9615.2,2777.0,895.5,318.9,5327.1,5333.4,4592.9
Dunkirk,6436.8,5752.2,3951.8,3282.3,5799.8,8333.3,3517.8,2991.7,5853.2,1088.5,2775.6,5549.1,7513.0,3255.5,1477.5,1381.7,7198.1,2169.5,844.0,9863.5,0,1596.7,4156.7,8785.6,5880.1,7578.7,5561.5,1851.1,9598.4,7046.8,3000.2,1088.9,3678.6,4076.3,3708.8,3044.8,2650.3,7385.6,2263.0,4977.0,3819.6,6951.2,1328.3,5252.1,8365.3,2305.1,8350.9,4173.6,1142.2,3333.3
Oswego,9971.5,5951.7,3234.2,5637.4,6960.4,9790.3,8710.5,3624.1,2975.7,7802.9,3146.5,4076.9,8160.2,4198.6,5089.1,157.5,1080.2,7649.9,9743.5,1691.7,1596.7,0,9605.2,2409.0,2563.3,5697.0,4873.7,5789.7,7331.4,7310.3,3413.2,3034.7,5545.9,7656.6,4295.0,2404.9,2498.8,3076.0,1558.4,4397.0,8799.3,8248.9,2024.6,1635.9,7008.1,1543.9,3231.0,3720.6,3941.7,5965.6
Rensselaer,8779.6,7971.6,4272.9,9023.3,5620.6,2081.3,4211.6,253.8,7598.6,9540.9,7229.4,109.8,3215.1,6067.9,1453.6,6859.5,1406.3,9405.5,4635.9,6884.4,4156.7,9605.2,0,7965.3,5685.9,1917.1,8698.2,7811.8,7615.4,4235.0,677.3,1263.1,4897.5,4289.8,8392.9,1417.5,6883.7,1525.1,7006.9,8238.8,9532.1,2652.1,8162.8,5211.7,683.4,5011.5,6419.9,8268.9,8471.4,6002.4
Hammondsport,7284.4,999.3,4103.9,172.5,132.0,931.9,3844.0,1603.5,4122.9,6689.5,7541.9,275.8,5540.0,7804.3,4899.0,2697.9,2478.0,1944.3,2034.0,7933.6,8785.6,2409.0,7965.3,0,1905.9,2484.0,5653.3,4936.2,4876.5,749.2,229.2,2279.9,5141.6,7876.2,5132.2,7877.8,9053.0,1451.7,4150.5,3536.5,4688.6,790.8,5514.8,8952.1,5170.4,6553.1,6093.5,6780.9,8673.6,1077.0
Port Washington,9742.8,4309.5,363.5,5755.8,2751.1,4383.9,1550.5,5163.8,4628.6,4811.8,8911.2,7148.4,6145.6,6740.2,8187.2,1319.5,3472.4,383.9,8224.8,7997.5,5880.1,2563.3,5685.9,1905.9,0,6518.5,2553.1,6872.6,8506.5,5349.6,5904.6,7521.3,1214.5,874.4,8224.9,7574.3,1557.0,847.9,7052.5,7715.9,9320.8,9937.7,2358.0,2362.4,9956.5,5086.6,4362.4,3873.0,3461.8,2614.7
Schenectady,3303.5,867.7,2450.1,9347.8,9146.5,4401.7,634.2,1892.2,8812.5,3774.5,647.4,9609.4,1844.1,1765.3,1688.2,3449.0,319.8,2855.2,1505.7,3853.8,7578.7,5697.0,1917.1,2484.0,6518.5,0,6187.0,4849.5,7898.6,2996.5,4283.1,5739.0,2796.2,3918.7,9147.6,2780.3,9536.1,1575.8,5174.9,1424.8,3459.3,1943.5,6996.5,1826.1,5342.8,5292.8,5705.5,45.4,799.7,981.5
New Windsor,8018.4,380.8,6120.4,5285.8,2462.2,9775.0,8597.6,581.0,3772.4,5217.2,294.7,8361.2,2295.0,9045.2,4285.1,2643.1,2639.3,4666.5,1877.4,4982.5,5561.5,4873.7,8698.2,5653.3,2553.1,6187.0,0,6536.3,9097.1,6241.9,5370.3,237.0,320.8,116.0,3811.6,1450.1,9580.2,6126.4,6234.9,2150.5,2675.7,6324.6,3234.3,648.6,5240.4,4366.9,2337.1,2774.4,9644.2,174.8
Amsterdam,6775.9,4356.2,3083.1,8637.1,7159.5,5558.6,4375.4,6415.4,2549.8,1407.2,6055.2,4791.7,3254.8,7752.9,2876.1,4601.0,5199.8,5335.8,5782.3,101.1,1851.1,5789.7,7811.8,4936.2,6872.6,4849.5,6536.3,0,1612.1,8789.1,4432.9,9197.1,7629.4,7866.3,6897.7,5719.8,8170.1,6034.4,4469.0,273.8,7393.7,2009.9,6680.8,39.0,9196.3,4217.9,817.9,1785.2,5443.7,3233.4
Tonawanda,858.8,9367.8,1509.4,5448.8,1864.4,4163.6,1215.7,5489.6,3911.6,8492.4,5714.6,8166.2,7986.1,870.1,5104.7,6405.4,6861.5,58.0,4405.6,8564.9,9598.4,7331.4,7615.4,4876.5,8506.5,7898.6,9097.1,1612.1,0,7213.5,7679.2,8340.1,7053.8,6699.7,7712.0,2671.5,7655.4,4711.2,9494.7,9765.8,323.6,3710.0,9292.1,1725.1,9644.9,9482.5,8548.0,6298.9,6425.7,1563.4
Olean,8592.7,1805.4,7188.9,6806.3,1345.1,8505.5,9827.5,474.0,2727.9,3266.9,9693.3,4261.4,2327.1,1398.8,9607.9,8036.7,840.0,5971.6,1079.4,3402.8,7046.8,7310.3,4235.0,749.2,5349.6,2996.5,6241.9,8789.1,7213.5,0,2110.2,7924.3,8889.6,2093.7,7066.9,8355.9,2890.7,1110.8,2136.0,345.4,8943.6,8161.3,7806.9,5969.0,121.8,6116.0,4595.6,2395.2,9149.4,1702.8
Queens,2893.5,2120.7,4236.6,3593.2,9485.9,530.5,3983.2,9557.1,5647.6,2680.9,1640.3,5714.5,9202.9,6678.1,1360.7,9204.8,9633.8,8733.4,2011.6,8349.2,3000.2,3413.2,677.3,229.2,5904.6,4283.1,5370.3,4432.9,7679.2,2110.2,0,3136.1,3769.4,2553.9,433.8,2006.3,7671.6,3219.3,9114.9,8800.8,8548.2,2884.4,4187.4,6516.8,1706.2,8575.7,6611.5,5352.2,6991.0,8943.3
Kingston,5470.4,7868.8,6062.6,2587.9,3893.5,6130.8,5312.4,1431.5,7983.6,6132.9,9218.4,1914.0,5557.1,5396.1,7210.1,4049.0,9492.2,3228.9,894.8,7458.1,1088.9,3034.7,1263.1,2279.9,7521.3,5739.0,237.0,9197.1,8340.1,7924.3,3136.1,0,521.3,1054.6,216.3,3381.4,3554.2,8702.0,7696.4,3074.8,8119.4,4923.8,9647.4,9002.3,2454.1,2781.7,3575.8,9898.3,187.3,6283.0
Huntington,9071.4,4333.0,505.8,2028.9,3702.3,4961.7,9958.7,7559.0,4782.4,4552.5,4638.7,5315.2,9667.1,1425.9,8966.6,7565.4,2838.7,1777.2,4590.6,5087.2,3678.6,5545.9,4897.5,5141.6,1214.5,2796.2,320.8,7629.4,7053.8,8889.6,3769.4,521.3,0,6411.8,5895.0,7481.7,2405.1,7298.9,3142.9,1686.8,6361.0,8517.5,2766.2,6706.2,1529.3,2051.8,5887.6,6475.7,911.0,356.1
Brooklyn,2309.0,5619.2,4293.7,1642.8,1627.8,5122.3,6969.1,5744.5,6477.5,1696.7,9232.1,6272.6,9317.2,3703.8,5512.9,2488.5,5584.6,4509.8,6597.8,5809.2,4076.3,7656.6,4289.8,7876.2,874.4,3918.7,116.0,7866.3,6699.7,2093.7,2553.9,1054.6,6411.8,0,130.7,9954.1,4520.7,1369.1,442.9,9057.7,3914.3,8464.1,4465.0,600.7,4966.6,4209.3,3605.5,2808.9,9371.1,4179.3
Seneca Falls,3274.2,1715.2,835.6,862.5,7452.9,8884.4,8939.5,5032.1,9870.8,6616.3,4267.7,2570.6,1541.6,4330.8,1367.6,2381.5,6557.1,3719.3,9741.2,7274.4,3708.8,4295.0,8392.9,5132.2,8224.9,9147.6,3811.6,6897.7,7712.0,7066.9,433.8,216.3,5895.0,130.7,0,7335.9,9076.1,4131.5,1693.3,1026.1,766.0,728.9,5556.0,9844.7,3733.7,1192.1,2550.6,6592.1,9896.2,8482.4
Lockport,9816.1,4030.3,929.7,5298.9,8973.4,3808.8,8406.3,7738.3,7392.4,9538.4,3480.4,7863.0,593.8,5104.8,1507.3,8990.2,1732.3,9339.2,5639.8,4948.9,3044.8,2404.9,1417.5,7877.8,7574.3,2780.3,1450.1,5719.8,2671.5,8355.9,2006.3,3381.4,7481.7,9954.1,7335.9,0,7367.0,10.8,8275.8,1215.9,4077.5,1180.3,6739.2,8477.9,4404.1,2017.1,4767.5,1674.8,9778.1,2226.2
Forest Hills,6960.6,5447.1,7716.3,1750.2,73.1,5734.5,983.7,3083.8,420.8,2775.4,5883.1,666.8,5824.6,1505.4,3290.9,7187.5,5859.8,1437.8,9892.1,524.8,2650.3,2498.8,6883.7,9053.0,1557.0,9536.1,9580.2,8170.1,7655.4,2890.7,7671.6,3554.2,2405.1,4520.7,9076.1,7367.0,0,3176.4,7643.5,2754.0,8806.6,7706.4,5332.4,1470.7,5149.5,8700.1,5636.4,4756.0,1421.7,9187.4
Poughkeepsie,6799.0,616.3,5381.8,818.9,622.5,5460.0,7410.2,6243.9,9615.1,5834.0,7270.9,3549.9,3452.2,326.3,4413.1,4304.1,6898.3,5004.2,560.8,7652.7,7385.6,3076.0,1525.1,1451.7,847.9,1575.8,6126.4,6034.4,4711.2,1110.8,3219.3,8702.0,7298.9,1369.1,4131.5,10.8,3176.4,0,1715.0,4576.0,4672.6,6623.4,8427.4,5035.6,8721.1,8624.1,1353.3,2231.4,7643.1,6344.0
New York City,381.3,3000.5,1941.6,6459.4,3879.4,9844.6,2584.0,6204.3,3210.1,3308.1,2127.4,7891.1,4673.0,2119.6,5105.5,69.9,3723.9,463.0,2322.9,4870.1,2263.0,1558.4,7006.9,4150.5,7052.5,5174.9,6234.9,4469.0,9494.7,2136.0,9114.9,7696.4,3142.9,442.9,1693.3,8275.8,7643.5,1715.0,0,513.6,497.2,6841.5,8221.3,4426.2,1893.5,7530.9,8562.6,1344.8,418.5,6342.5
Syracuse,2228.5,9291.5,6621.5,423.1,1471.9,54.6,9672.8,3323.8,1422.4,2043.8,2218.6,458.4,494.4,9762.9,4317.4,578.5,9061.1,1466.0,7085.8,3119.4,4977.0,4397.0,8238.8,3536.5,7715.9,1424.8,2150.5,273.8,9765.8,345.4,8800.8,3074.8,1686.8,9057.7,1026.1,1215.9,2754.0,4576.0,513.6,0,6275.4,9517.5,3983.8,5638.1,6976.6,1722.9,1155.5,7588.9,6853.1,7540.6
Oyster Bay,8022.8,860.0,1447.9,129.3,8036.0,5860.4,330.8,6491.3,7753.2,9067.2,2329.3,8914.1,1531.6,1546.0,3537.0,6531.2,9655.8,9717.6,5318.5,6969.6,3819.6,8799.3,9532.1,4688.6,9320.8,3459.3,2675.7,7393.7,323.6,8943.6,8548.2,8119.4,6361.0,3914.3,766.0,4077.5,8806.6,4672.6,497.2,6275.4,0,1406.5,3275.5,1925.6,9193.4,2357.5,4551.7,6699.1,1975.7,9839.1
Oneonta,549.0,5817.2,9121.7,4247.2,9418.5,8440.9,1566.6,5077.7,1129.5,9123.4,3299.8,9550.6,1527.4,2740.4,8102.7,9345.3,6830.2,7009.5,5572.8,9884.8,6951.2,8248.9,2652.1,790.8,9937.7,1943.5,6324.6,2009.9,3710.0,8161.3,2884.4,4923.8,8517.5,8464.1,728.9,1180.3,7706.4,6623.4,6841.5,9517.5,1406.5,0,8052.6,6305.5,5136.6,5726.6,6340.9,1263.7,8077.2,8144.8
Coney Island,6666.1,9172.7,9252.2,8734.8,7381.1,6378.5,5758.5,2057.9,8147.5,3465.9,6580.0,1102.6,1940.7,2605.5,1683.0,5750.2,438.3,232.9,1135.6,1147.9,1328.3,2024.6,8162.8,5514.8,2358.0,6996.5,3234.3,6680.8,9292.1,7806.9,4187.4,9647.4,2766.2,4465.0,5556.0,6739.2,5332.4,8427.4,8221.3,3983.8,3275.5,8052.6,0,4643.8,776.5,4723.9,4008.8,7289.6,2659.9,3875.7
Rochester,7147.4,9273.9,9123.9,8004.7,8471.2,2002.7,3231.7,2439.7,5611.5,6743.6,314.6,8082.2,5408.5,7657.5,4985.8,569.1,7893.5,5370.4,1174.3,9615.2,5252.1,1635.9,5211.7,8952.1,2362.4,1826.1,648.6,39.0,1725.1,5969.0,6516.8,9002.3,6706.2,600.7,9844.7,8477.9,1470.7,5035.6,4426.2,5638.1,1925.6,6305.5,4643.8,0,6306.0,6883.0,6639.2,3970.0,2166.9,8684.0
Batavia,8946.2,9463.6,1544.7,4739.4,8503.9,3359.0,7372.6,6854.1,3413.7,6046.9,9299.8,6786.4,810.4,1501.5,5512.5,8194.8,6225.8,8640.3,416.0,2777.0,8365.3,7008.1,683.4,5170.4,9956.5,5342.8,5240.4,9196.3,9644.9,121.8,1706.2,2454.1,1529.3,4966.6,3733.7,4404.1,5149.5,8721.1,1893.5,6976.6,9193.4,5136.6,776.5,6306.0,0,8472.6,4640.2,3443.7,234.0,5026.3
Gloversville,7698.3,829.4,9735.0,69.0,7263.5,8512.1,2075.1,4064.2,2021.5,2547.5,8221.1,2827.0,8515.5,5742.2,797.5,3382.1,2678.9,718.5,4726.3,895.5,2305.1,1543.9,5011.5,6553.1,5086.6,5292.8,4366.9,4217.9,9482.5,6116.0,8575.7,2781.7,2051.8,4209.3,1192.1,2017.1,8700.1,8624.1,7530.9,1722.9,2357.5,5726.6,4723.9,6883.0,8472.6,0,2098.3,5222.4,8554.9,2038.0
Mount Vernon,6513.5,5682.3,9195.3,4933.1,9089.8,4259.2,1635.8,99.1,2234.3,295.7,9698.4,2483.8,20.4,1394.8,7302.8,5800.8,5622.2,7851.4,4519.8,318.9,8350.9,3231.0,6419.9,6093.5,4362.4,5705.5,2337.1,817.9,8548.0,4595.6,6611.5,3575.8,5887.6,3605.5,2550.6,4767.5,5636.4,1353.3,8562.6,1155.5,4551.7,6340.9,4008.8,6639.2,4640.2,2098.3,0,8801.3,1747.9,9970.9
Southampton,4497.1,5663.6,3988.3,6974.9,4847.4,4546.0,9061.2,857.0,3569.2,4430.6,6016.2,7828.4,6579.1,823.7,5806.7,9578.0,8482.5,9783.5,8292.6,5327.1,4173.6,3720.6,8268.9,6780.9,3873.0,45.4,2774.4,1785.2,6298.9,2395.2,5352.2,9898.3,6475.7,2808.9,6592.1,1674.8,4756.0,2231.4,1344.8,7588.9,6699.1,1263.7,7289.6,3970.0,3443.7,5222.4,8801.3,0,8423.5,4750.5
Bedford,1528.5,2223.8,6530.2,7121.1,6521.6,6201.1,6780.7,409.0,9166.5,3866.4,7429.5,4470.0,5679.8,3635.3,5088.9,4734.1,612.8,699.6,1687.8,5333.4,1142.2,3941.7,8471.4,8673.6,3461.8,799.7,9644.2,5443.7,6425.7,9149.4,6991.0,187.3,911.0,9371.1,9896.2,9778.1,1421.7,7643.1,418.5,6853.1,1975.7,8077.2,2659.9,2166.9,234.0,8554.9,1747.9,8423.5,0,848.5
Bronx,7906.6,4120.9,5148.2,3708.4,2416.6,3084.3,1492.3,6856.7,6079.8,6387.8,4938.3,1363.6,4225.3,8788.5,4147.3,1261.5,3582.5,6430.4,8590.5,4592.9,3333.3,5965.6,6002.4,1077.0,2614.7,981.5,174.8,3233.4,1563.4,1702.8,8943.3,6283.0,356.1,4179.3,8482.4,2226.2,9187.4,6344.0,6342.5,7540.6,9839.1,8144.8,3875.7,8684.0,5026.3,2038.0,9970.9,4750.5,848.5,0
