CSV,Syracuse,Dunkirk,Cheektowaga,Schenectady,Huntington,Binghamton,Glens Falls,Yonkers,Lackawanna,Seneca Falls,Sag Harbor,Herkimer,Bronx,Kingston,Harlem,Manhattan,Niagara Falls,Lockport,Elmira,Coney Island,Oneida,Clinton,Massena,New Rochelle,Ossining,Bedford,Hudson,Troy,Geneva,Levittown,Peekskill,Chautauqua,Plattsburgh,Port Washington,Corning,Watertown,Lake Placid,Gloversville,Stony Point,Hempstead,Olean,Oneonta,New Windsor,Potsdam,Staten Island,New Paltz,Forest Hills,Middletown,Fredonia,Brooklyn
Clinton,2900.9,9914.5,9191.8,4000.4,7707.4,4485.6,1126.3,10.7,4166.9,5378.6,643.2,3678.8,8105.5,6812.2,835.6,8310.0,5842.8,8790.8,7341.2,7860.1,1560.3,0,8293.2,7532.8,809.9,6086.9,9924.2,419.4,5372.9,2237.5,4616.4,6322.9,8863.2,8519.2,2543.0,5513.2,8511.8,1318.8,8514.8,2120.4,4243.9,3632.3,8176.1,5992.3,9407.1,9820.6,7179.9,3339.4,4109.4,104.1
Massena,4670.6,4303.2,8094.2,4520.4,3334.6,5637.9,4923.5,7470.9,8610.3,2414.8,2757.4,6520.8,7867.8,1087.1,1841.1,4611.3,3746.9,9716.3,9093.0,4085.1,2831.8,8293.2,0,8423.1,4107.4,1310.9,8603.2,7067.6,4499.5,4211.4,2541.0,2751.9,2838.3,5639.4,7627.8,1183.2,6255.6,7241.3,6358.4,4137.3,2657.3,4782.6,3716.3,8569.8,2930.3,9853.1,9474.0,4719.8,3483.0,2748.0
New Rochelle,7329.1,2812.6,4563.2,1744.7,1670.7,7057.1,3802.2,1802.3,8759.1,4509.1,9498.2,3789.3,482.4,9119.3,2382.6,9472.0,4221.9,7346.2,8314.1,1152.1,3162.6,7532.8,8423.1,0,9034.7,682.1,2992.2,9325.0,8121.7,750.6,6003.0,277.4,2017.7,9602.7,2506.8,1398.6,8640.4,3542.4,7496.0,3706.8,6777.3,8901.1,1386.7,2481.4,2922.1,4648.5,5926.8,7382.8,7854.5,7038.6
Ossining,5515.2,6193.6,9051.3,887.4,4380.0,9561.2,8824.4,6816.8,6362.3,2091.9,3683.3,9591.8,2788.4,3906.0,1954.9,5729.2,3876.2,3032.6,5663.2,4623.3,2057.9,809.9,4107.4,9034.7,0,129.4,7345.5,6480.6,6828.0,840.3,6758.6,6954.0,7580.4,3430.9,2786.2,6955.3,3462.4,9030.3,5119.9,4171.1,2873.1,8363.0,8619.8,7844.1,9009.7,5428.3,8474.0,3868.9,112.7,5851.3
Bedford,2379.8,5231.9,7847.8,7571.0,4359.4,1459.3,113.9,9954.0,7907.2,3114.4,1053.9,6722.5,7800.8,455.9,1171.0,1806.6,2528.5,249.1,494.4,9682.9,8131.9,6086.9,1310.9,682.1,129.4,0,7857.6,4208.8,6439.4,2869.8,6518.0,1026.8,5742.0,4359.0,3232.8,3009.9,5160.0,4180.0,2592.8,792.9,4784.1,1514.1,8928.3,4039.6,250.6,8304.1,4475.1,6443.8,5344.3,3065.3
Hudson,1665.5,9764.3,1356.8,9189.9,8709.6,2053.8,5999.9,8250.5,4911.3,2466.9,8230.4,5841.5,8833.6,6730.0,4394.5,5659.1,7305.6,5245.8,2539.9,4848.9,5744.4,9924.2,8603.2,2992.2,7345.5,7857.6,0,6495.2,2899.8,2384.8,561.0,4684.3,9851.4,5407.2,556.6,6340.6,6859.5,5139.1,5817.9,852.8,6214.9,1178.1,7340.2,8641.4,7120.7,2148.4,1759.3,460.9,5875.4,7450.3
Troy,137.6,7683.2,1881.5,7871.9,2544.6,4504.7,4279.9,7371.2,1860.5,7636.3,3124.5,5345.7,8701.6,2627.6,5648.0,1558.9,7723.8,2762.3,5591.4,9164.4,1653.0,419.4,7067.6,9325.0,6480.6,4208.8,6495.2,0,8482.3,1564.5,3711.2,9425.1,1511.6,921.1,5783.4,1942.4,8362.6,2843.2,8970.5,537.3,2903.4,9862.5,5668.6,7427.6,6897.6,8636.7,3910.0,6254.2,884.5,2528.2
Geneva,6175.1,1986.2,2072.7,1030.4,500.2,9776.0,3883.9,1097.4,781.5,3229.4,9686.9,4710.1,5580.7,6013.3,8391.6,2528.7,5329.2,522.3,5041.7,3052.2,8.5,5372.9,4499.5,8121.7,6828.0,6439.4,2899.8,8482.3,0,1008.8,2419.3,259.7,7546.4,6539.6,6190.6,1496.6,4884.3,6408.6,7349.7,3900.3,4224.6,5119.0,2951.4,1000.1,6540.8,1151.0,229.0,6747.7,1470.7,5857.4
Levittown,6137.9,1100.3,4696.5,4604.6,294.6,1224.1,4019.1,5090.2,4976.6,4570.6,759.3,8061.7,9785.0,96.2,1034.5,38.2,1921.6,5550.8,6386.0,4258.3,4334.1,2237.5,4211.4,750.6,840.3,2869.8,2384.8,1564.5,1008.8,0,3836.4,3179.5,6916.4,4189.7,5194.3,8210.8,2243.2,7748.3,4644.4,1221.5,5094.3,8798.4,3103.9,1499.9,3917.2,7376.1,2554.2,2583.4,9886.0,1245.6
Peekskill,4041.9,1165.2,6076.9,6796.8,5274.1,7391.4,2353.4,166.7,4964.2,7365.9,2397.9,5716.5,7859.0,5367.8,6293.4,3663.6,1779.9,7973.5,5833.1,4562.3,3777.5,4616.4,2541.0,6003.0,6758.6,6518.0,561.0,3711.2,2419.3,3836.4,0,2829.8,8633.8,6824.4,9119.0,7556.2,6672.1,8555.0,2714.9,798.8,5028.0,9892.2,9591.2,1205.6,2833.2,3873.7,3251.6,287.3,2746.6,7781.6
Chautauqua,7142.7,4791.5,9610.1,3321.7,4079.0,8424.0,8085.1,5402.7,1822.7,8517.9,5193.4,8519.9,8937.4,7017.4,6315.6,6976.5,2178.7,8449.1,2260.6,9190.9,6605.0,6322.9,2751.9,277.4,6954.0,1026.8,4684.3,9425.1,259.7,3179.5,2829.8,0,4221.8,9668.3,527.9,5829.0,5041.6,6771.3,5824.4,3327.7,1464.8,6607.0,5091.7,7865.5,3573.9,9471.5,4303.0,3691.1,1658.7,6128.2
Plattsburgh,6857.7,4315.5,9470.7,7236.5,5110.6,9242.3,8836.5,3766.9,130.5,6199.2,5947.1,4377.7,6300.1,9298.4,9646.3,6740.4,324.3,5208.7,4474.6,1019.8,187.5,8863.2,2838.3,2017.7,7580.4,5742.0,9851.4,1511.6,7546.4,6916.4,8633.8,4221.8,0,8455.3,6076.5,1289.3,1435.5,8657.5,4171.6,1448.2,8122.3,8115.3,7856.9,4843.4,3679.6,7246.0,1586.2,2395.3,5651.6,9655.6
Port Washington,6752.3,1268.3,9876.6,3038.9,1044.6,5193.8,2475.3,303.2,3355.3,7396.6,5791.9,9543.2,8204.8,6033.1,4413.7,3561.3,2529.3,6992.8,6572.8,2458.3,9924.9,8519.2,5639.4,9602.7,3430.9,4359.0,5407.2,921.1,6539.6,4189.7,6824.4,9668.3,8455.3,0,2804.7,5297.3,7396.2,8211.5,9481.7,3690.1,7933.0,6290.7,6716.8,3520.1,7839.3,1109.4,1667.7,5085.7,5097.3,1513.9
Corning,3954.2,2717.2,8937.1,100.0,3492.1,2868.1,285.1,9995.8,8602.7,8066.2,4448.7,2336.8,3742.6,4715.2,9635.3,3500.2,3213.2,7554.7,2461.2,4935.1,5568.3,2543.0,7627.8,2506.8,2786.2,3232.8,556.6,5783.4,6190.6,5194.3,9119.0,527.9,6076.5,2804.7,0,9999.0,5821.2,883.7,785.9,9818.8,2342.1,9493.3,3782.7,1020.5,4349.8,6410.9,5418.5,4395.4,7401.7,8101.7
Watertown,5578.0,4387.9,8722.8,3041.2,4187.8,6203.5,1767.5,7215.3,6810.1,3512.4,528.7,7741.4,2466.3,6846.1,1407.9,9536.9,4194.9,7093.7,430.8,5102.7,6035.1,5513.2,1183.2,1398.6,6955.3,3009.9,6340.6,1942.4,1496.6,8210.8,7556.2,5829.0,1289.3,5297.3,9999.0,0,8574.4,8620.9,372.7,1051.8,6280.9,4968.6,2660.8,5483.9,562.1,7077.6,5537.6,1822.6,2735.9,571.5
Lake Placid,4858.0,1191.7,9651.2,6355.4,7101.9,9880.8,69.2,4796.5,1681.0,4508.0,892.4,8532.3,6523.7,955.1,3798.8,4864.1,9070.1,1815.4,6744.1,7127.1,553.5,8511.8,6255.6,8640.4,3462.4,5160.0,6859.5,8362.6,4884.3,2243.2,6672.1,5041.6,1435.5,7396.2,5821.2,8574.4,0,7884.5,5870.6,5735.2,3714.5,2666.4,8336.2,2175.0,3412.6,5156.2,6389.8,213.4,6298.2,2744.1
Gloversville,663.1,1732.3,3544.0,4330.9,2384.2,1934.2,576.0,6779.6,3535.1,636.1,876.3,7619.4,8070.4,7670.0,2623.6,7668.3,6931.4,7091.8,2891.0,5928.4,7737.0,1318.8,7241.3,3542.4,9030.3,4180.0,5139.1,2843.2,6408.6,7748.3,8555.0,6771.3,8657.5,8211.5,883.7,8620.9,7884.5,0,9744.1,1660.0,8803.2,2780.5,1564.9,1157.7,9369.7,6528.5,2585.6,6371.4,334.7,4390.6
Stony Point,1273.9,448.4,4114.0,4548.3,5580.6,5609.7,3049.3,3896.8,2234.5,673.7,1431.6,7955.8,9585.4,5865.0,2085.5,6511.8,572.1,1622.8,9163.9,6688.6,2673.9,8514.8,6358.4,7496.0,5119.9,2592.8,5817.9,8970.5,7349.7,4644.4,2714.9,5824.4,4171.6,9481.7,785.9,372.7,5870.6,9744.1,0,7863.3,8181.8,3783.5,6233.2,8016.3,9642.9,8923.5,1249.2,6368.6,3494.0,8342.9
Hempstead,9235.4,4711.3,1218.2,3625.4,8778.3,7032.0,4461.5,959.4,6535.6,1523.0,9305.0,2617.5,2389.4,8857.2,9953.5,6552.6,4368.3,4874.2,8533.3,673.8,729.8,2120.4,4137.3,3706.8,4171.1,792.9,852.8,537.3,3900.3,1221.5,798.8,3327.7,1448.2,3690.1,9818.8,1051.8,5735.2,1660.0,7863.3,0,5687.6,8913.7,4913.5,987.8,3172.0,4861.8,6193.1,4187.7,3427.1,921.8
Olean,858.6,9571.7,2540.2,5605.7,8303.9,8787.1,6949.4,1202.1,8737.7,5373.3,8153.0,2515.7,4715.5,4054.3,3081.0,7845.0,1076.3,8821.7,8577.9,8160.7,7565.1,4243.9,2657.3,6777.3,2873.1,4784.1,6214.9,2903.4,4224.6,5094.3,5028.0,1464.8,8122.3,7933.0,2342.1,6280.9,3714.5,8803.2,8181.8,5687.6,0,3096.2,8703.9,9694.8,975.4,438.2,6089.5,355.0,3975.9,4502.5
Oneonta,1797.7,8122.2,5858.6,214.0,5824.7,3414.7,6123.5,5010.3,8145.7,5610.8,3790.3,7464.8,3023.0,2258.5,5043.1,1868.5,9897.7,852.3,2986.8,4701.3,2405.3,3632.3,4782.6,8901.1,8363.0,1514.1,1178.1,9862.5,5119.0,8798.4,9892.2,6607.0,8115.3,6290.7,9493.3,4968.6,2666.4,2780.5,3783.5,8913.7,3096.2,0,9700.1,8307.8,8389.4,9966.1,3769.7,2339.5,8965.2,1718.7
New Windsor,4139.6,9346.5,2639.4,7581.6,8444.5,8549.1,2808.6,4334.7,414.6,8112.6,4853.2,7167.8,7061.4,4405.3,7601.1,4507.6,6057.9,856.9,7303.0,5321.0,3057.4,8176.1,3716.3,1386.7,8619.8,8928.3,7340.2,5668.6,2951.4,3103.9,9591.2,5091.7,7856.9,6716.8,3782.7,2660.8,8336.2,1564.9,6233.2,4913.5,8703.9,9700.1,0,2165.6,1101.9,1583.3,9346.7,294.3,7206.2,3276.0
Potsdam,1745.5,889.3,2716.2,3724.3,3680.4,8980.3,3032.0,2119.6,6671.3,2407.0,4375.6,6594.0,5797.8,4464.3,7863.1,5153.9,5132.8,4133.5,3525.7,5203.6,7170.4,5992.3,8569.8,2481.4,7844.1,4039.6,8641.4,7427.6,1000.1,1499.9,1205.6,7865.5,4843.4,3520.1,1020.5,5483.9,2175.0,1157.7,8016.3,987.8,9694.8,8307.8,2165.6,0,223.8,6279.5,6670.0,7471.0,3848.3,4709.6
Staten Island,4580.4,8123.9,3156.8,6494.6,6641.6,2798.5,5705.3,4472.1,5968.6,78.9,597.8,2356.0,3001.8,1496.3,7654.9,7641.2,7427.5,7495.8,6468.0,2930.1,5160.3,9407.1,2930.3,2922.1,9009.7,250.6,7120.7,6897.6,6540.8,3917.2,2833.2,3573.9,3679.6,7839.3,4349.8,562.1,3412.6,9369.7,9642.9,3172.0,975.4,8389.4,1101.9,223.8,0,4674.4,3008.2,1896.8,684.8,5054.5
New Paltz,8170.2,3429.8,593.2,919.4,7413.5,4406.1,7615.9,33.5,6509.9,107.1,3902.2,7122.6,3646.0,3636.2,3856.7,6922.5,323.5,3400.2,648.7,3041.6,9987.2,9820.6,9853.1,4648.5,5428.3,8304.1,2148.4,8636.7,1151.0,7376.1,3873.7,9471.5,7246.0,1109.4,6410.9,7077.6,5156.2,6528.5,8923.5,4861.8,438.2,9966.1,1583.3,6279.5,4674.4,0,6120.6,6502.0,6677.8,2524.8
Forest Hills,1559.2,7968.3,3977.9,6775.3,3429.2,5215.1,4685.7,6090.4,3546.7,3513.3,4283.3,575.0,181.0,7257.6,6096.6,1152.9,4320.0,5212.8,2385.0,4944.9,5307.0,7179.9,9474.0,5926.8,8474.0,4475.1,1759.3,3910.0,229.0,2554.2,3251.6,4303.0,1586.2,1667.7,5418.5,5537.6,6389.8,2585.6,1249.2,6193.1,6089.5,3769.7,9346.7,6670.0,3008.2,6120.6,0,8465.1,598.9,110.5
Middletown,245.1,9387.2,7148.4,1828.6,9818.4,4430.9,7019.4,4352.7,206.1,6026.3,7508.9,5793.1,4832.9,5405.5,9021.2,6946.9,948.5,1733.9,8025.4,7600.9,4836.7,3339.4,4719.8,7382.8,3868.9,6443.8,460.9,6254.2,6747.7,2583.4,287.3,3691.1,2395.3,5085.7,4395.4,1822.6,213.4,6371.4,6368.6,4187.7,355.0,2339.5,294.3,7471.0,1896.8,6502.0,8465.1,0,6995.6,6392.6
Fredonia,7056.7,4479.1,5099.0,2605.9,6969.9,9298.3,6236.1,8898.6,1890.1,8951.6,6757.9,7573.0,3820.3,5950.9,8359.7,5914.9,9338.2,5536.7,6641.1,9111.8,612.2,4109.4,3483.0,7854.5,112.7,5344.3,5875.4,884.5,1470.7,9886.0,2746.6,1658.7,5651.6,5097.3,7401.7,2735.9,6298.2,334.7,3494.0,3427.1,3975.9,8965.2,7206.2,3848.3,684.8,6677.8,598.9,6995.6,0,9816.6
Brooklyn,5897.5,4370.2,3153.5,6083.0,1780.4,4003.7,5568.4,5073.6,2004.4,1215.9,3197.5,5849.1,1547.2,7524.5,11.6,6024.5,780.5,6132.7,4151.9,3417.6,4995.5,104.1,2748.0,7038.6,5851.3,3065.3,7450.3,2528.2,5857.4,1245.6,7781.6,6128.2,9655.6,1513.9,8101.7,571.5,2744.1,4390.6,8342.9,921.8,4502.5,1718.7,3276.0,4709.6,5054.5,2524.8,110.5,6392.6,9816.6,0
