CSV,Ilion,Scarsdale,Auburn,Buffalo,Seneca Falls,Chautauqua,Manhattan,Oneonta,Crown Point,Saranac Lake,Brooklyn,Rensselaer,White Plains,Rome,Ogdensburg,Amsterdam,Ticonderoga,Ossining,Cooperstown,Port Washington,Lake Placid,Woodstock,Nyack,Newburgh,Lockport,North Hempstead,Watervliet,Glens Falls,Rye,Middletown,Forest Hills,Stony Brook,Potsdam,Hyde Park,Mineola,East Hampton,Cortland,Hammondsport,Watertown,Clinton,Hudson,Corning,Plattsburgh,Cohoes,Bronx,Herkimer,Beacon,New Windsor,New Rochelle,Geneva
Cortland,7563.0,3615.6,1202.1,5489.0,8896.9,6593.2,9170.4,3998.0,3467.5,5365.7,4940.3,6071.9,2425.0,2519.6,957.6,496.1,1794.7,312.6,1462.4,2663.0,1875.2,2853.4,6411.2,4092.7,6929.2,2772.1,5817.4,3751.3,3110.1,3205.7,6457.6,1127.0,4762.9,9832.4,2204.7,7644.3,0,7194.7,160.1,2967.4,8241.5,9523.4,7122.7,4677.4,359.6,307.3,7956.7,8506.5,1317.3,48.1
Hammondsport,5071.4,6189.5,3474.8,8807.5,6121.9,2355.7,336.7,3799.3,8124.0,3464.9,6543.6,6362.0,507.9,4126.9,8392.9,3004.5,6216.5,9914.3,8397.7,6098.0,1347.5,8629.9,7510.6,855.6,1833.3,6387.5,9167.1,2036.4,6449.3,7439.3,2727.5,6511.8,8339.5,5967.0,5550.2,6223.4,7194.7,0,4215.4,8150.4,1563.2,9139.8,1466.9,601.5,4370.8,6688.9,2038.5,6038.2,1335.5,1244.7
Watertown,3028.6,5313.2,7649.3,6876.6,7600.5,8255.1,1445.4,7468.9,593.2,7546.4,5911.6,2123.5,1114.2,8183.0,6123.9,4848.8,7979.9,3820.5,9117.2,3898.2,891.3,1198.8,4954.9,7097.8,3545.5,4510.4,9411.5,4952.9,1716.6,5613.2,43.9,2250.2,668.1,9865.6,8572.0,1612.4,160.1,4215.4,0,6013.2,4631.4,6399.9,2185.8,5246.1,9904.5,3775.6,318.9,3731.0,2169.9,7756.2
Clinton,4823.3,8028.0,9080.9,5808.5,8632.2,4281.3,1569.3,4753.0,8217.5,3845.8,860.0,6410.4,7972.6,8318.9,8985.3,7695.0,5423.1,8738.4,3526.9,1802.5,4498.4,6054.4,8269.5,6191.4,2304.8,1144.0,4885.0,8596.5,684.6,4590.6,8913.9,5658.3,2980.2,3664.8,1404.6,7359.7,2967.4,8150.4,6013.2,0,8647.4,2114.6,523.7,903.5,4853.2,5481.1,4479.4,8083.3,8426.3,2585.8
Hudson,7150.8,3759.1,789.4,541.0,6232.6,428.7,9013.6,3517.1,8213.2,4196.9,6183.4,5565.0,3026.2,3014.2,643.2,5992.0,4550.8,9881.8,3124.2,6599.7,8728.2,6224.7,8023.4,3787.9,2610.9,5824.8,3172.5,9772.2,8162.2,4763.9,7866.0,503.7,9079.7,1186.3,7661.8,3125.4,8241.5,1563.2,4631.4,8647.4,0,387.0,2972.1,6066.6,5640.8,140.3,3675.3,7767.6,2310.6,2616.3
Corning,6920.9,346.5,1194.9,5848.6,4289.4,4930.3,5435.6,807.8,7631.9,5743.5,2136.5,5809.6,7749.4,7042.7,3474.5,9958.3,4557.5,1051.8,8913.0,1746.4,2578.4,73.8,1920.6,6154.6,1541.1,785.3,5785.6,4979.9,7472.4,3719.1,2109.5,7417.9,3321.8,2982.9,1702.8,9567.3,9523.4,9139.8,6399.9,2114.6,387.0,0,6017.2,1700.6,4577.7,1900.6,4531.1,5910.9,6674.1,6597.6
Plattsburgh,1113.6,2538.6,2565.1,2026.3,6088.6,1937.7,6075.2,4430.2,6396.8,7415.2,797.5,1433.7,3585.1,5176.7,5655.3,3781.8,1900.4,1782.1,1798.2,782.7,5959.6,2033.0,4095.2,9197.8,9463.6,7326.6,4418.2,6693.5,417.8,8950.2,55.4,2171.9,1785.7,1671.5,1547.8,3591.6,7122.7,1466.9,2185.8,523.7,2972.1,6017.2,0,3429.6,1842.9,3221.4,5245.5,1414.8,9167.3,5310.0
Cohoes,8.2,7811.9,5778.3,7527.8,1987.3,3905.6,5634.3,1341.5,8846.5,7933.3,2165.5,6307.7,5086.2,4166.4,783.1,6792.9,3255.7,4965.8,8497.2,8770.9,8946.8,9639.4,9206.6,5388.9,4981.2,6272.9,4938.6,8754.2,9829.9,2329.9,7453.7,5129.1,8985.8,8295.8,7055.3,1826.4,4677.4,601.5,5246.1,903.5,6066.6,1700.6,3429.6,0,3298.1,159.0,5037.9,4026.5,6336.4,6761.3
Bronx,9983.7,1911.7,1327.8,8420.8,1045.5,6731.2,6998.3,715.7,8739.2,385.5,2653.9,8079.9,5278.1,6120.4,2326.3,18.9,6394.6,9706.8,208.2,8041.1,871.9,4572.4,7878.5,5232.6,8354.7,2246.3,1789.9,6257.5,9078.3,2244.5,5006.9,238.6,1523.4,8929.2,924.0,6260.2,359.6,4370.8,9904.5,4853.2,5640.8,4577.7,1842.9,3298.1,0,7243.5,7080.5,6960.8,2143.7,6893.0
Herkimer,7859.9,726.3,4166.6,7549.0,8189.5,6308.0,5849.4,5206.0,300.7,5361.5,8531.6,13.7,7102.3,9665.2,1757.3,2161.9,4996.8,8456.0,3190.6,250.9,6497.7,2086.2,1462.1,8132.8,3929.5,7889.1,3540.0,9283.7,8855.1,1527.8,425.6,4758.8,4338.9,4946.0,7455.6,4094.5,307.3,6688.9,3775.6,5481.1,140.3,1900.6,3221.4,159.0,7243.5,0,1754.0,4835.0,1402.3,5128.4
Beacon,8051.7,7155.6,8389.6,626.5,9590.4,213.6,3978.6,5438.0,9708.1,2095.9,6277.5,1911.1,3434.5,4094.1,9651.6,5577.6,5569.0,8640.9,5536.4,4165.3,3585.7,475.2,8920.8,5984.6,6106.6,8847.2,3773.1,5090.9,1965.9,5916.9,2423.2,7372.4,5941.2,7185.9,5951.7,6515.8,7956.7,2038.5,318.9,4479.4,3675.3,4531.1,5245.5,5037.9,7080.5,1754.0,0,4666.8,2924.7,5492.5
New Windsor,8600.0,5436.0,3606.2,9283.3,6593.9,9491.9,5380.6,6513.4,3380.5,1943.3,3489.1,9396.2,4822.7,1493.1,9288.0,7313.8,3451.2,5770.9,2955.3,3967.1,5930.3,510.6,5682.7,717.0,6734.4,3557.8,4721.1,2868.9,4062.7,7486.5,5892.0,4980.4,5137.1,3521.0,6943.6,257.2,8506.5,6038.2,3731.0,8083.3,7767.6,5910.9,1414.8,4026.5,6960.8,4835.0,4666.8,0,525.4,2028.5
New Rochelle,315.9,524.4,3588.6,2291.8,4163.8,4485.9,6097.7,9255.8,8179.0,3011.6,8934.4,5169.3,6918.9,6423.9,5698.8,3222.1,7974.5,536.1,271.6,6159.6,8106.7,6874.7,8079.2,3093.2,7683.5,2945.1,3495.3,4229.1,4315.0,8379.1,3662.5,9567.2,6395.6,4944.3,7641.7,9732.4,1317.3,1335.5,2169.9,8426.3,2310.6,6674.1,9167.3,6336.4,2143.7,1402.3,2924.7,525.4,0,7851.7
Geneva,7604.6,9781.3,1757.7,7861.7,1427.8,8789.5,9907.6,5974.2,1443.7,2748.7,4029.7,6535.5,3586.3,4374.0,8730.4,2901.6,3497.4,9490.8,4061.5,1305.6,5886.8,3873.0,5784.8,6245.0,396.0,8465.5,8147.4,4784.8,7777.5,2493.0,8238.2,9006.1,1491.6,8838.4,8065.8,1229.7,48.1,1244.7,7756.2,2585.8,2616.3,6597.6,5310.0,6761.3,6893.0,5128.4,5492.5,2028.5,7851.7,0
