CSV,Massena,Watkins Glen,Saranac Lake,Oneonta,Eastchester,Geneva,Ticonderoga,Nyack,Cohoes,Hempstead,Gloversville,Stony Point,Hudson,Syracuse,Garden City,Glens Falls,Plattsburgh,Cheektowaga,Southampton,Auburn,Poughkeepsie,Coney Island,Newburgh,Olean,Corning,Schenectady,Utica,Kingston,Lockport,Oyster Bay,New Paltz,Batavia,Clinton,Lake Placid,Watertown,Levittown,Amsterdam,Rochester,Port Washington,Forest Hills,Ithaca,Woodstock,Watervliet,New Windsor,Hyde Park,Rensselaer,Tonawanda,Huntington,Mineola,Brooklyn
Gloversville,7039.2,8543.8,4713.7,763.3,5425.1,7494.0,6835.7,950.2,3081.6,2288.6,0,3176.5,7879.2,7696.6,6311.8,2958.3,787.9,5959.9,3033.4,3075.3,8325.3,477.4,7820.5,2246.4,6276.7,8031.5,9568.6,3961.0,3121.7,9607.3,3374.3,9881.6,5870.5,7586.8,8351.8,1472.0,776.6,2388.9,5224.0,1218.3,6229.6,8918.2,3228.8,2231.0,5929.7,5058.5,3601.1,1746.0,267.4,8012.0
Stony Point,7436.7,7389.3,6299.1,7406.4,262.4,8049.7,8615.7,9300.6,7167.7,7610.9,3176.5,0,6025.7,6574.8,3642.2,2263.4,7102.3,8321.6,1223.0,4490.5,8637.0,1465.1,9046.3,8928.5,3498.6,3594.5,5939.3,9127.7,7537.7,9445.6,5109.7,6885.3,8845.9,8269.4,7389.2,188.5,6770.1,3370.4,3117.9,2509.1,8781.0,6044.9,1586.1,8261.2,8425.5,3224.3,8354.3,6227.9,3597.6,3174.7
Hudson,2340.9,6473.9,1921.8,7289.3,4251.9,340.0,1773.7,2747.6,415.4,9127.8,7879.2,6025.7,0,2922.6,5590.6,4818.0,3086.3,9306.4,1967.6,1497.9,6831.1,1344.6,4190.1,9824.8,3252.1,1456.2,3643.6,4488.7,3325.3,5280.6,4229.9,8732.8,1450.2,2437.9,693.4,1574.9,5343.6,7820.4,37.5,1768.7,1030.1,5488.1,4474.5,18.0,3740.6,8055.5,7718.3,8198.4,3015.2,9577.2
Syracuse,5971.1,3685.9,2577.9,8379.5,9917.7,6252.9,8901.7,3286.6,2752.0,223.8,7696.6,6574.8,2922.6,0,5681.8,4340.8,793.3,421.6,7163.9,8794.4,7759.1,7373.9,7196.0,5352.1,8552.2,7083.0,7461.2,4872.2,6415.3,2801.0,4903.2,1314.0,6017.3,609.6,720.1,7932.4,1160.5,6872.1,9899.8,3800.4,2901.6,7338.7,7394.8,5208.1,9855.0,2924.6,7049.3,4330.8,9168.7,6632.1
Garden City,8760.4,585.3,5493.0,6118.9,2701.4,8023.7,3391.3,3898.8,7366.2,8224.8,6311.8,3642.2,5590.6,5681.8,0,8819.6,5300.1,3379.9,8709.4,2247.8,1935.1,2022.8,5114.3,7699.6,9668.2,217.6,8408.9,3327.4,8099.3,1559.3,7754.1,8016.2,6112.4,7774.5,571.2,5038.2,6100.2,5371.8,4299.5,409.0,2094.1,9727.2,9452.5,3372.8,2289.8,9106.6,1312.5,2403.3,5210.4,7611.4
Glens Falls,6084.6,1018.4,4682.6,9145.6,8719.9,9801.5,8653.8,3694.5,6184.0,4112.6,2958.3,2263.4,4818.0,4340.8,8819.6,0,6276.6,7344.3,6148.2,4202.3,1598.0,4804.8,1202.4,128.6,5349.1,4581.6,6043.8,3179.6,855.7,1740.1,5817.7,8070.5,6765.5,7059.0,5454.9,4898.8,4752.8,6545.3,3877.7,9615.4,5159.8,9822.4,6888.6,9269.0,8250.9,9721.3,5319.8,3150.4,6831.7,7756.2
Plattsburgh,2009.2,1612.5,9808.8,6226.8,4592.8,6689.3,7046.1,235.1,7185.3,8500.6,787.9,7102.3,3086.3,793.3,5300.1,6276.6,0,9180.0,5011.1,8667.5,552.0,4972.4,1984.0,9016.9,2665.3,7211.3,5042.9,3002.0,9918.8,9947.5,5404.1,9055.7,4508.5,1486.2,6140.4,1682.4,3311.7,3826.2,1235.4,405.8,4449.1,3219.7,13.6,5012.6,9627.2,7648.2,8502.0,634.3,7877.4,3139.8
Cheektowaga,7379.7,8841.6,8222.2,4459.0,5887.1,4934.8,118.0,9726.8,7675.7,2449.5,5959.9,8321.6,9306.4,421.6,3379.9,7344.3,9180.0,0,8181.5,3178.8,3665.9,2933.4,8934.0,5754.9,6442.3,3849.8,2909.1,6185.8,8101.4,6616.7,3834.0,8487.0,473.5,473.6,7540.0,1410.8,4873.8,4787.3,7770.4,794.4,350.2,3444.8,7515.7,8016.7,1230.5,6217.8,9681.5,1472.5,7025.2,6365.4
Southampton,8478.3,9184.6,4265.4,7679.7,6034.1,6671.0,8221.6,4602.1,3063.3,2171.9,3033.4,1223.0,1967.6,7163.9,8709.4,6148.2,5011.1,8181.5,0,9801.0,4992.9,1665.7,3452.8,4514.8,7952.1,9530.2,8161.5,3317.5,7708.8,1339.5,474.3,3993.7,7184.6,3234.8,1795.0,5397.9,4163.0,4677.7,1031.9,518.9,5513.4,6031.2,5950.5,5862.7,820.9,2393.3,7832.4,4975.9,2019.3,4711.3
Auburn,7280.4,2144.6,2576.9,2809.3,6745.6,3186.7,8921.2,8708.6,2734.1,2853.5,3075.3,4490.5,1497.9,8794.4,2247.8,4202.3,8667.5,3178.8,9801.0,0,2171.2,9102.4,7920.2,9787.1,4987.5,1932.8,3131.6,2617.7,4353.1,7826.8,9660.0,3968.8,6677.1,9637.5,7398.8,6214.6,2790.0,4618.0,4131.9,388.5,2965.0,3640.6,1006.7,8571.2,1069.9,1906.0,4276.7,409.9,8277.8,1421.2
Poughkeepsie,3203.8,939.8,5299.5,9194.1,3526.1,4440.8,9100.7,4340.4,333.3,3905.4,8325.3,8637.0,6831.1,7759.1,1935.1,1598.0,552.0,3665.9,4992.9,2171.2,0,3545.0,2414.1,461.3,2219.6,6152.2,3434.7,9826.8,7966.3,7927.1,8749.2,4996.6,8409.8,630.0,130.3,9936.8,6929.5,7230.5,4037.2,6580.6,5326.6,4805.6,6750.0,5999.4,4004.9,8196.9,4667.1,4328.2,3063.5,3195.6
Coney Island,6492.6,5706.4,5472.8,3169.6,1996.8,2561.9,2525.5,5583.3,3308.9,8833.9,477.4,1465.1,1344.6,7373.9,2022.8,4804.8,4972.4,2933.4,1665.7,9102.4,3545.0,0,2989.3,927.3,8820.2,9568.4,3602.0,2889.3,3251.1,9179.4,4879.1,431.9,1757.5,682.6,6159.3,750.1,2073.3,2725.2,5041.8,895.2,1035.4,5709.4,5423.6,2417.1,1744.6,2273.7,7980.2,6641.0,9253.6,6013.5
Newburgh,9255.2,1694.8,3356.9,3313.6,4313.6,407.7,6541.0,3145.3,6271.0,5722.8,7820.5,9046.3,4190.1,7196.0,5114.3,1202.4,1984.0,8934.0,3452.8,7920.2,2414.1,2989.3,0,5276.1,1493.8,670.4,8427.3,4196.6,3165.2,1173.3,5283.2,8076.5,5129.8,7953.0,6199.1,9779.1,7255.4,450.5,9383.5,463.7,5700.6,3799.3,8597.3,4793.8,2062.2,7723.8,4492.1,9111.7,1378.2,7617.8
Olean,6504.5,3883.5,8005.6,9561.5,2539.0,5392.4,7503.7,2886.9,2243.6,7365.3,2246.4,8928.5,9824.8,5352.1,7699.6,128.6,9016.9,5754.9,4514.8,9787.1,461.3,927.3,5276.1,0,6590.3,8712.6,3276.9,8931.9,2175.9,3530.3,373.1,9.1,926.7,2061.5,3956.4,2621.2,9415.3,4909.9,386.0,4753.1,2294.2,3669.0,5743.4,1612.1,5573.7,1476.8,2821.5,9968.1,3707.8,929.1
Corning,7499.1,4320.4,5502.4,9566.9,1050.0,1683.0,1503.2,3954.3,2094.8,992.3,6276.7,3498.6,3252.1,8552.2,9668.2,5349.1,2665.3,6442.3,7952.1,4987.5,2219.6,8820.2,1493.8,6590.3,0,423.7,4204.1,9533.0,4801.7,7169.9,2191.9,9750.1,2311.0,8579.6,9931.6,8294.8,3339.7,4419.4,6695.8,9957.4,6955.6,6041.4,7996.9,1503.1,9485.1,6490.8,6673.8,3753.7,370.4,4134.7
Schenectady,4308.5,1356.5,1118.6,3302.4,680.6,933.5,1434.7,4106.0,9030.8,6502.3,8031.5,3594.5,1456.2,7083.0,217.6,4581.6,7211.3,3849.8,9530.2,1932.8,6152.2,9568.4,670.4,8712.6,423.7,0,227.3,5319.6,8701.5,5675.5,1527.4,4364.2,1359.0,4248.6,9361.7,9327.4,3935.0,4381.3,7324.7,1938.9,4446.8,7994.9,3676.2,7532.6,4954.3,5642.1,6483.2,8312.2,4539.0,2435.9
Utica,6447.9,3350.6,8669.9,4033.9,8535.7,5457.5,3529.4,8797.2,9500.9,8984.3,9568.6,5939.3,3643.6,7461.2,8408.9,6043.8,5042.9,2909.1,8161.5,3131.6,3434.7,3602.0,8427.3,3276.9,4204.1,227.3,0,9521.3,2885.4,1941.0,4025.9,4892.2,836.9,4238.1,6877.0,1178.2,9908.7,5430.9,7623.5,5491.2,1922.8,3303.5,9515.5,9369.7,2050.4,2003.5,9927.8,8288.5,4539.9,701.0
Kingston,4475.2,5637.0,9593.2,6598.7,4637.4,4828.5,6107.1,9458.6,7003.6,266.8,3961.0,9127.7,4488.7,4872.2,3327.4,3179.6,3002.0,6185.8,3317.5,2617.7,9826.8,2889.3,4196.6,8931.9,9533.0,5319.6,9521.3,0,6696.8,7215.2,7069.7,6441.1,7826.1,6006.6,6007.9,9218.6,1495.3,4564.6,7661.3,4758.1,9687.0,8217.4,642.6,8847.7,1870.8,4971.0,7057.6,8341.8,2515.9,4114.6
Lockport,9572.9,1018.5,6996.1,7644.9,5203.6,293.2,7034.9,8529.1,6942.0,3724.6,3121.7,7537.7,3325.3,6415.3,8099.3,855.7,9918.8,8101.4,7708.8,4353.1,7966.3,3251.1,3165.2,2175.9,4801.7,8701.5,2885.4,6696.8,0,3324.6,9387.6,2818.6,4226.2,4939.4,8546.3,596.9,4240.5,282.8,319.3,7270.2,2341.6,6634.2,96.8,235.2,6600.6,8754.4,4215.3,9053.7,7859.0,4599.9
Oyster Bay,6690.9,4958.5,854.5,3941.8,3512.0,3191.6,4759.4,3911.3,6383.9,4722.9,9607.3,9445.6,5280.6,2801.0,1559.3,1740.1,9947.5,6616.7,1339.5,7826.8,7927.1,9179.4,1173.3,3530.3,7169.9,5675.5,1941.0,7215.2,3324.6,0,8835.8,5627.1,6249.7,5574.5,7865.1,5904.0,7026.4,3047.0,8838.4,2720.5,9052.6,1356.9,8251.1,7169.6,7761.8,2090.8,6792.7,1762.2,4531.6,5893.0
New Paltz,4409.3,6967.7,9771.8,8290.0,7287.9,1876.0,661.8,8666.8,7372.7,5642.6,3374.3,5109.7,4229.9,4903.2,7754.1,5817.7,5404.1,3834.0,474.3,9660.0,8749.2,4879.1,5283.2,373.1,2191.9,1527.4,4025.9,7069.7,9387.6,8835.8,0,2457.3,5670.8,3124.2,7576.4,6833.2,4149.1,6497.4,6695.6,6676.4,1468.9,3464.0,5437.3,238.7,9473.3,6539.4,4877.6,5279.8,5865.8,9845.7
Batavia,3476.8,3984.5,4209.6,2867.4,42.5,1515.9,9486.3,7688.1,9980.1,362.9,9881.6,6885.3,8732.8,1314.0,8016.2,8070.5,9055.7,8487.0,3993.7,3968.8,4996.6,431.9,8076.5,9.1,9750.1,4364.2,4892.2,6441.1,2818.6,5627.1,2457.3,0,4441.9,5006.0,4723.1,9997.5,6750.9,2517.5,8560.6,378.2,4774.5,7953.2,7442.7,2056.5,8441.0,629.2,4767.6,2721.7,7191.8,3530.1
Clinton,5835.6,6313.5,1298.5,6465.8,4788.0,4126.6,3985.5,7022.1,2506.1,4637.6,5870.5,8845.9,1450.2,6017.3,6112.4,6765.5,4508.5,473.5,7184.6,6677.1,8409.8,1757.5,5129.8,926.7,2311.0,1359.0,836.9,7826.1,4226.2,6249.7,5670.8,4441.9,0,9041.8,7396.6,3720.3,5505.1,8149.0,419.9,908.3,7002.2,213.2,9134.1,8184.5,4113.4,8066.9,704.1,328.2,113.6,2770.9
Lake Placid,5019.3,3289.9,5262.4,7938.2,1045.3,2530.7,8129.7,3566.2,5241.6,9643.4,7586.8,8269.4,2437.9,609.6,7774.5,7059.0,1486.2,473.6,3234.8,9637.5,630.0,682.6,7953.0,2061.5,8579.6,4248.6,4238.1,6006.6,4939.4,5574.5,3124.2,5006.0,9041.8,0,4133.3,3561.8,4661.7,1710.2,4170.1,7964.8,197.3,464.4,2446.5,3034.8,2546.7,270.4,7585.4,1890.8,3093.4,4534.3
Watertown,7604.1,6554.0,3509.2,4401.1,8096.2,5128.0,1800.9,3368.1,2797.0,1096.5,8351.8,7389.2,693.4,720.1,571.2,5454.9,6140.4,7540.0,1795.0,7398.8,130.3,6159.3,6199.1,3956.4,9931.6,9361.7,6877.0,6007.9,8546.3,7865.1,7576.4,4723.1,7396.6,4133.3,0,1149.3,7934.1,4045.0,15.9,7277.4,8392.7,2067.2,6460.7,4465.7,3572.2,1159.5,6590.8,9858.9,2039.2,2299.2
Levittown,4644.9,3172.9,5117.3,5599.1,5774.7,9993.9,1984.6,8432.9,5266.4,5113.2,1472.0,188.5,1574.9,7932.4,5038.2,4898.8,1682.4,1410.8,5397.9,6214.6,9936.8,750.1,9779.1,2621.2,8294.8,9327.4,1178.2,9218.6,596.9,5904.0,6833.2,9997.5,3720.3,3561.8,1149.3,0,3796.2,4482.5,6832.4,610.0,8625.1,4896.5,2624.9,8005.9,8916.1,6447.3,9699.3,8380.2,14.5,7240.4
Amsterdam,1451.2,6593.9,4661.6,5657.3,7373.8,4611.3,1588.5,5011.8,550.4,6179.9,776.6,6770.1,5343.6,1160.5,6100.2,4752.8,3311.7,4873.8,4163.0,2790.0,6929.5,2073.3,7255.4,9415.3,3339.7,3935.0,9908.7,1495.3,4240.5,7026.4,4149.1,6750.9,5505.1,4661.7,7934.1,3796.2,0,6290.8,3484.3,1481.5,8426.0,1955.6,6525.3,7483.4,3822.8,1252.0,1745.1,5552.7,6505.7,3893.8
Rochester,4784.5,2401.7,1208.6,7392.7,6743.5,1062.0,294.5,5389.4,5414.1,608.2,2388.9,3370.4,7820.4,6872.1,5371.8,6545.3,3826.2,4787.3,4677.7,4618.0,7230.5,2725.2,450.5,4909.9,4419.4,4381.3,5430.9,4564.6,282.8,3047.0,6497.4,2517.5,8149.0,1710.2,4045.0,4482.5,6290.8,0,3732.5,4948.3,6960.7,3277.2,5479.3,1098.0,6964.5,8946.0,7912.6,7582.6,4138.9,7858.5
Port Washington,3454.7,5091.0,4521.9,6071.2,660.8,4071.0,180.6,9369.2,4655.4,8889.9,5224.0,3117.9,37.5,9899.8,4299.5,3877.7,1235.4,7770.4,1031.9,4131.9,4037.2,5041.8,9383.5,386.0,6695.8,7324.7,7623.5,7661.3,319.3,8838.4,6695.6,8560.6,419.9,4170.1,15.9,6832.4,3484.3,3732.5,0,4501.4,9244.1,7170.9,7018.7,6134.3,73.4,6446.1,3289.5,7397.7,8437.1,9940.6
Forest Hills,7099.6,8481.0,1352.8,2180.8,558.3,349.0,4463.8,3141.4,5013.6,9428.2,1218.3,2509.1,1768.7,3800.4,409.0,9615.4,405.8,794.4,518.9,388.5,6580.6,895.2,463.7,4753.1,9957.4,1938.9,5491.2,4758.1,7270.2,2720.5,6676.4,378.2,908.3,7964.8,7277.4,610.0,1481.5,4948.3,4501.4,0,3062.5,5760.3,1776.1,4290.9,6162.3,2978.2,4212.9,4009.8,7432.0,6855.5
Ithaca,9298.7,766.7,2240.0,1190.0,6694.6,6211.8,4887.4,2617.8,912.3,7994.2,6229.6,8781.0,1030.1,2901.6,2094.1,5159.8,4449.1,350.2,5513.4,2965.0,5326.6,1035.4,5700.6,2294.2,6955.6,4446.8,1922.8,9687.0,2341.6,9052.6,1468.9,4774.5,7002.2,197.3,8392.7,8625.1,8426.0,6960.7,9244.1,3062.5,0,7994.1,7651.7,3811.6,7136.0,540.8,2486.0,3641.1,3874.7,9353.7
Woodstock,2480.4,2517.8,1449.6,6356.1,2034.3,2054.8,7230.9,8047.8,6631.3,8527.6,8918.2,6044.9,5488.1,7338.7,9727.2,9822.4,3219.7,3444.8,6031.2,3640.6,4805.6,5709.4,3799.3,3669.0,6041.4,7994.9,3303.5,8217.4,6634.2,1356.9,3464.0,7953.2,213.2,464.4,2067.2,4896.5,1955.6,3277.2,7170.9,5760.3,7994.1,0,3646.2,9646.8,6717.4,1479.5,3403.9,2437.6,4191.3,3351.9
Watervliet,2303.6,5540.8,3454.2,2510.8,507.5,7196.4,9564.1,9625.1,1093.7,5034.4,3228.8,1586.1,4474.5,7394.8,9452.5,6888.6,13.6,7515.7,5950.5,1006.7,6750.0,5423.6,8597.3,5743.4,7996.9,3676.2,9515.5,642.6,96.8,8251.1,5437.3,7442.7,9134.1,2446.5,6460.7,2624.9,6525.3,5479.3,7018.7,1776.1,7651.7,3646.2,0,4281.1,7148.8,5121.9,8387.3,5645.7,4607.9,9460.3
New Windsor,4759.9,5764.5,7233.8,3359.2,4840.8,7472.2,2994.1,1485.3,7629.0,1563.5,2231.0,8261.2,18.0,5208.1,3372.8,9269.0,5012.6,8016.7,5862.7,8571.2,5999.4,2417.1,4793.8,1612.1,1503.1,7532.6,9369.7,8847.7,235.2,7169.6,238.7,2056.5,8184.5,3034.8,4465.7,8005.9,7483.4,1098.0,6134.3,4290.9,3811.6,9646.8,4281.1,0,5681.5,9117.1,4173.1,6299.4,6569.2,4793.4
Hyde Park,7322.0,6371.8,7753.4,9188.3,8168.2,4092.2,347.4,8790.3,5663.2,9574.4,5929.7,8425.5,3740.6,9855.0,2289.8,8250.9,9627.2,1230.5,820.9,1069.9,4004.9,1744.6,2062.2,5573.7,9485.1,4954.3,2050.4,1870.8,6600.6,7761.8,9473.3,8441.0,4113.4,2546.7,3572.2,8916.1,3822.8,6964.5,73.4,6162.3,7136.0,6717.4,7148.8,5681.5,0,5209.9,3030.7,7297.8,405.2,9783.4
Rensselaer,6952.9,1883.4,234.9,144.5,636.8,5723.3,6364.9,7943.8,4769.7,8422.9,5058.5,3224.3,8055.5,2924.6,9106.6,9721.3,7648.2,6217.8,2393.3,1906.0,8196.9,2273.7,7723.8,1476.8,6490.8,5642.1,2003.5,4971.0,8754.4,2090.8,6539.4,629.2,8066.9,270.4,1159.5,6447.3,1252.0,8946.0,6446.1,2978.2,540.8,1479.5,5121.9,9117.1,5209.9,0,6284.2,6469.9,273.7,1919.1
Tonawanda,8916.2,6289.5,6251.8,5116.6,2197.1,318.5,6787.3,24.5,7402.4,3202.5,3601.1,8354.3,7718.3,7049.3,1312.5,5319.8,8502.0,9681.5,7832.4,4276.7,4667.1,7980.2,4492.1,2821.5,6673.8,6483.2,9927.8,7057.6,4215.3,6792.7,4877.6,4767.6,704.1,7585.4,6590.8,9699.3,1745.1,7912.6,3289.5,4212.9,2486.0,3403.9,8387.3,4173.1,3030.7,6284.2,0,4251.6,3723.0,737.7
Huntington,1834.1,5754.5,2939.4,631.6,3355.9,9584.1,4013.6,4704.5,1000.7,3094.3,1746.0,6227.9,8198.4,4330.8,2403.3,3150.4,634.3,1472.5,4975.9,409.9,4328.2,6641.0,9111.7,9968.1,3753.7,8312.2,8288.5,8341.8,9053.7,1762.2,5279.8,2721.7,328.2,1890.8,9858.9,8380.2,5552.7,7582.6,7397.7,4009.8,3641.1,2437.6,5645.7,6299.4,7297.8,6469.9,4251.6,0,6780.4,218.1
Mineola,9013.1,9162.2,6290.0,4013.0,1519.1,7750.2,9508.4,602.5,4989.4,3598.3,267.4,3597.6,3015.2,9168.7,5210.4,6831.7,7877.4,7025.2,2019.3,8277.8,3063.5,9253.6,1378.2,3707.8,370.4,4539.0,4539.9,2515.9,7859.0,4531.6,5865.8,7191.8,113.6,3093.4,2039.2,14.5,6505.7,4138.9,8437.1,7432.0,3874.7,4191.3,4607.9,6569.2,405.2,273.7,3723.0,6780.4,0,3867.2
Brooklyn,3278.5,3095.9,6558.2,4716.8,5678.5,8081.7,2303.1,7981.2,1251.0,3237.6,8012.0,3174.7,9577.2,6632.1,7611.4,7756.2,3139.8,6365.4,4711.3,1421.2,3195.6,6013.5,7617.8,929.1,4134.7,2435.9,701.0,4114.6,4599.9,5893.0,9845.7,3530.1,2770.9,4534.3,2299.2,7240.4,3893.8,7858.5,9940.6,6855.5,9353.7,3351.9,9460.3,4793.4,9783.4,1919.1,737.7,218.1,3867.2,0
