CSV,Southampton,Batavia,Massena,Stony Point,Bedford,Dunkirk,Nyack,Garden City,Cheektowaga,Fredonia,New Windsor,Kingston,Mamaroneck,East Hampton,Lake Placid,Seneca Falls,Queens,Cortland,Rye,Plattsburgh,Eastchester,Flushing,Cohoes,Tarrytown,Middletown,Huntington,Olean,Watertown,Hempstead,Oneida,Hudson,Rensselaer,Ossining,Saranac Lake,Bronx,Great Neck,Sag Harbor,Staten Island,Syracuse,Hyde Park,Albany,Harlem,Rochester,Palmyra,Tonawanda,Lackawanna,Buffalo,Poughkeepsie,Oneonta,New York City
Queens,2304.9,33.3,2122.6,5883.9,2776.4,744.4,4967.6,4664.6,6899.6,4566.6,5201.4,7685.7,6458.7,7816.1,736.7,5293.9,0,2022.6,8024.8,9661.2,9684.0,7330.7,2616.8,4709.9,2485.2,4546.6,5281.5,6114.0,1508.7,4015.3,2902.4,7536.3,958.3,9549.7,3068.5,2019.0,5079.4,9727.3,4606.8,7609.6,9144.6,2259.1,7892.8,3704.4,1294.7,3293.3,3920.0,185.4,6686.4,4216.2
Cortland,9390.3,3210.0,1472.4,6302.0,2756.1,4440.2,7884.0,1267.4,91.5,9008.6,8520.1,5818.8,7312.9,3260.9,1054.8,4499.0,2022.6,0,4258.1,2692.5,120.5,661.6,3006.1,4514.6,1596.2,2841.5,3128.7,8831.1,3586.5,7131.5,233.2,5935.6,3103.7,8319.2,2746.8,5038.6,6533.9,5310.7,9166.6,866.4,3485.6,138.3,7920.5,2197.1,1228.5,9711.9,5644.7,5059.7,2669.6,5830.2
Rye,6478.1,7671.2,4864.0,4791.0,6529.6,2268.8,3655.7,9727.6,2593.5,7780.8,7608.5,3163.6,5686.3,2210.9,7206.0,8068.9,8024.8,4258.1,0,56.7,5736.3,1723.6,9244.6,454.6,8322.1,9943.0,3577.6,1644.3,2917.1,4056.4,109.0,8854.1,2794.9,4907.4,2621.3,9555.8,764.6,456.4,1797.7,1626.3,7071.9,8544.8,6834.6,4457.1,8066.2,3079.2,9255.9,3345.2,1568.4,7575.3
Plattsburgh,1724.4,5214.8,8215.3,9223.7,7743.9,4833.3,2329.0,171.5,3857.6,973.9,3740.0,5584.3,8259.0,1933.4,8412.3,7962.1,9661.2,2692.5,56.7,0,6576.4,5389.6,4935.3,601.5,1609.9,2655.6,4798.3,505.4,179.6,2843.3,9485.7,6393.2,6423.7,4751.9,3849.7,7378.1,8353.6,5688.7,7521.8,3271.2,9057.9,555.7,8140.8,5098.5,5311.1,3481.2,4753.1,7095.8,6897.9,3988.6
Eastchester,5874.1,8432.6,9116.0,9442.7,828.4,3506.5,3485.9,9436.4,7157.2,9753.6,4863.9,1183.8,6442.4,2472.1,2769.5,2716.0,9684.0,120.5,5736.3,6576.4,0,2376.9,9931.0,7754.0,2213.2,9633.0,59.0,6284.5,7829.9,4782.1,1139.0,5941.1,7721.9,6751.1,7877.7,5978.4,3819.1,1424.5,3556.8,3935.6,1869.7,8981.5,4129.1,8666.0,3906.4,5968.3,5565.3,1757.7,8203.7,9787.9
Flushing,7518.9,6145.6,6688.5,8509.6,6135.2,9043.4,5047.9,3447.1,2322.1,9369.8,1229.7,3236.5,8831.5,2398.4,6144.9,2226.4,7330.7,661.6,1723.6,5389.6,2376.9,0,530.3,2986.2,7262.7,9687.8,4354.7,6950.5,7633.7,2311.2,9899.5,5353.9,8543.5,7745.7,1178.6,5507.7,8667.2,2927.8,3356.4,3770.9,4820.6,9254.1,4164.0,6889.5,3967.0,363.8,5757.8,2140.5,893.6,1715.7
Cohoes,7797.1,1636.3,1966.1,2401.5,1524.1,1702.4,862.3,416.1,9518.4,761.7,7243.9,5080.2,6378.1,5482.9,708.8,9021.7,2616.8,3006.1,9244.6,4935.3,9931.0,530.3,0,3580.0,6233.6,5032.9,7605.4,6174.3,4038.6,8556.8,8871.8,6697.3,7899.8,1427.2,5931.8,7182.9,5081.1,9939.3,5052.8,8547.5,2040.9,6203.9,4000.7,4143.1,9179.9,3366.6,6209.3,5023.4,2857.1,9680.5
Tarrytown,6595.1,621.4,7290.2,9890.7,8286.4,5598.1,1346.6,5286.4,5290.7,3506.7,9773.6,4282.0,4135.9,7194.6,899.8,3196.5,4709.9,4514.6,454.6,601.5,7754.0,2986.2,3580.0,0,112.9,2217.3,6598.7,4185.4,5541.8,3010.7,283.3,1857.3,35.8,6631.1,252.1,1719.2,8214.2,5665.9,2496.8,6312.3,493.2,7373.9,6775.4,7926.0,7156.2,8687.9,6869.5,1208.8,8566.1,9796.3
Middletown,170.0,2335.7,9251.9,1575.4,3291.4,7904.2,3030.3,468.8,1171.8,3426.5,3950.2,6445.5,8249.6,617.7,419.2,2588.2,2485.2,1596.2,8322.1,1609.9,2213.2,7262.7,6233.6,112.9,0,7060.9,2202.7,4008.2,361.2,8985.0,7835.9,5602.9,7676.4,1922.5,6615.3,7098.3,9281.3,5203.2,6064.3,9981.0,4201.1,6146.1,7346.5,8832.0,2281.3,5712.8,593.0,8783.9,3478.1,3541.3
Huntington,4549.6,3472.4,3625.7,7042.1,894.6,8007.4,4889.3,8777.5,2131.9,6854.6,2636.2,8390.8,8481.2,5555.5,4123.8,188.8,4546.6,2841.5,9943.0,2655.6,9633.0,9687.8,5032.9,2217.3,7060.9,0,8076.0,6322.0,3819.2,9679.6,9500.3,3812.5,4769.3,510.7,6782.5,5551.8,8854.8,523.0,1026.0,9722.1,278.5,4791.3,985.3,1813.9,2034.6,8307.6,9664.6,7273.2,1531.8,2047.6
Olean,7475.5,8703.0,282.6,7733.4,4689.5,4777.3,6783.2,723.3,6556.1,2183.4,7929.8,7015.0,9052.2,2514.6,6806.1,7665.6,5281.5,3128.7,3577.6,4798.3,59.0,4354.7,7605.4,6598.7,2202.7,8076.0,0,1254.0,4990.6,1214.2,4941.8,9762.6,678.3,7585.8,4428.6,3167.5,5261.3,9478.8,3774.4,3409.9,3986.1,5997.3,8145.3,189.2,131.1,2091.8,6209.8,8384.8,2668.6,4253.6
Watertown,9607.6,2042.0,8559.9,9155.1,4817.7,4407.9,1422.4,1503.0,5427.9,5111.3,2248.4,1133.3,9350.0,1512.2,1201.1,7944.3,6114.0,8831.1,1644.3,505.4,6284.5,6950.5,6174.3,4185.4,4008.2,6322.0,1254.0,0,1774.6,6538.8,7190.2,7593.5,6297.7,952.2,8271.7,5089.5,4475.2,4173.1,6153.9,3131.5,7737.8,6291.3,7435.4,3041.4,7727.0,6155.9,1904.4,3880.6,1189.3,9100.0
Hempstead,6812.0,2865.9,9094.9,2007.3,2811.6,1739.9,7318.6,4851.3,917.7,5574.7,1498.1,7775.1,4414.2,2331.7,9290.7,1134.5,1508.7,3586.5,2917.1,179.6,7829.9,7633.7,4038.6,5541.8,361.2,3819.2,4990.6,1774.6,0,1876.8,3358.8,7219.3,1450.6,4163.5,4298.5,5875.0,6685.5,9523.3,7079.6,6600.7,4096.0,8188.5,9889.5,8509.4,2642.5,5427.8,911.5,4247.6,1728.8,5698.2
Oneida,9626.2,9142.5,9868.2,1920.6,7217.4,1363.3,3506.6,7733.5,8919.9,3692.9,6611.1,3368.8,3093.1,6530.9,8746.1,3761.6,4015.3,7131.5,4056.4,2843.3,4782.1,2311.2,8556.8,3010.7,8985.0,9679.6,1214.2,6538.8,1876.8,0,882.4,5790.9,3890.6,7189.3,2626.7,7712.1,7387.2,6935.3,5714.9,3931.7,469.3,8294.3,9767.1,3297.9,5280.6,6308.6,7191.9,2656.4,8351.1,752.3
Hudson,9429.2,3534.8,4042.8,9117.6,9200.5,5031.5,8317.3,8954.0,7918.8,2507.1,5048.1,684.1,6971.2,5746.5,9714.3,5569.3,2902.4,233.2,109.0,9485.7,1139.0,9899.5,8871.8,283.3,7835.9,9500.3,4941.8,7190.2,3358.8,882.4,0,120.4,6182.8,1636.6,2145.6,1256.9,2009.9,1280.2,877.8,7858.3,2172.4,4710.4,7351.8,2632.0,1669.2,8335.7,7629.0,7667.1,8870.6,2246.7
Rensselaer,2176.7,5387.8,5285.7,8249.9,9932.6,8350.4,2384.8,5069.0,1798.7,9871.0,5424.8,7816.7,1624.0,5696.9,6116.4,7129.2,7536.3,5935.6,8854.1,6393.2,5941.1,5353.9,6697.3,1857.3,5602.9,3812.5,9762.6,7593.5,7219.3,5790.9,120.4,0,7139.5,7277.2,8436.0,3992.1,7801.3,1630.1,8935.4,1392.5,7510.5,8346.0,8374.5,5270.7,2360.8,8449.9,644.8,8852.3,1497.2,2782.7
Ossining,6147.9,9127.4,5247.2,7487.6,7779.5,7530.2,5152.3,1347.9,5249.0,9802.9,97.0,8396.4,8733.1,3496.9,1661.1,8498.7,958.3,3103.7,2794.9,6423.7,7721.9,8543.5,7899.8,35.8,7676.4,4769.3,678.3,6297.7,1450.6,3890.6,6182.8,7139.5,0,4465.7,7915.9,5398.4,1594.3,8443.1,874.0,8381.1,8270.3,9191.0,8371.3,2510.0,9287.2,1820.1,3853.0,7999.4,1341.3,4400.1
Saranac Lake,6996.0,594.5,1205.2,2719.3,322.5,7511.0,5990.5,2539.3,2939.8,914.2,1504.6,8014.3,1951.5,5196.6,6203.5,7380.0,9549.7,8319.2,4907.4,4751.9,6751.1,7745.7,1427.2,6631.1,1922.5,510.7,7585.8,952.2,4163.5,7189.3,1636.6,7277.2,4465.7,0,2288.2,6065.6,2309.4,6677.6,412.2,5902.9,3143.6,2236.2,6412.8,9743.2,518.9,7364.2,9659.0,5805.5,2992.3,7124.5
Bronx,4240.2,7250.2,1856.7,6169.0,1110.4,1688.9,2288.5,5732.6,1282.1,1202.7,6373.8,9965.1,9708.8,173.3,123.9,4215.7,3068.5,2746.8,2621.3,3849.7,7877.7,1178.6,5931.8,252.1,6615.3,6782.5,4428.6,8271.7,4298.5,2626.7,2145.6,8436.0,7915.9,2288.2,0,4775.1,9674.9,4669.0,8092.5,9186.4,1806.0,9245.6,5973.6,8458.5,1648.3,7422.3,8966.3,3674.7,533.0,5078.4
Great Neck,6180.7,112.6,823.0,77.1,5465.8,310.3,73.7,2146.6,275.3,2075.9,5918.3,9362.5,1496.3,4343.0,334.0,6337.5,2019.0,5038.6,9555.8,7378.1,5978.4,5507.7,7182.9,1719.2,7098.3,5551.8,3167.5,5089.5,5875.0,7712.1,1256.9,3992.1,5398.4,6065.6,4775.1,0,6372.2,7390.5,4229.8,205.6,2011.0,1241.5,3654.1,9382.1,850.6,5972.6,1705.4,9632.7,1449.0,9879.0
Sag Harbor,6776.1,9875.3,6097.2,2293.0,6243.4,441.4,7176.6,7876.0,6794.0,2589.3,3921.7,5952.8,1956.4,9035.6,2811.5,7153.0,5079.4,6533.9,764.6,8353.6,3819.1,8667.2,5081.1,8214.2,9281.3,8854.8,5261.3,4475.2,6685.5,7387.2,2009.9,7801.3,1594.3,2309.4,9674.9,6372.2,0,7787.5,5738.7,3393.1,8333.1,1978.8,687.5,535.2,515.2,9333.4,9400.2,2198.9,6371.5,8032.2
Staten Island,9790.6,3393.8,8610.6,408.8,55.1,9500.2,2121.9,6105.6,6119.1,8740.2,1155.2,2731.5,8902.2,566.6,9611.8,6002.9,9727.3,5310.7,456.4,5688.7,1424.5,2927.8,9939.3,5665.9,5203.2,523.0,9478.8,4173.1,9523.3,6935.3,1280.2,1630.1,8443.1,6677.6,4669.0,7390.5,7787.5,0,2675.3,4427.8,5326.5,1114.6,4975.7,495.1,327.3,8113.5,7339.8,4441.6,8209.8,1735.6
Syracuse,6237.0,2325.8,2780.9,5979.6,4524.2,363.6,2734.1,2867.2,2616.7,3179.5,7349.8,1321.8,7127.5,3100.4,1855.3,741.5,4606.8,9166.6,1797.7,7521.8,3556.8,3356.4,5052.8,2496.8,6064.3,1026.0,3774.4,6153.9,7079.6,5714.9,877.8,8935.4,874.0,412.2,8092.5,4229.8,5738.7,2675.3,0,1686.4,7158.8,9442.8,4932.4,1761.7,8887.7,3390.8,5038.4,7624.0,6687.1,1296.8
Hyde Park,393.8,6846.9,4695.0,4625.8,7670.9,2384.6,8145.6,5270.2,5289.8,4719.1,7440.8,286.3,7129.6,523.2,9104.4,671.2,7609.6,866.4,1626.3,3271.2,3935.6,3770.9,8547.5,6312.3,9981.0,9722.1,3409.9,3131.5,6600.7,3931.7,7858.3,1392.5,8381.1,5902.9,9186.4,205.6,3393.1,4427.8,1686.4,0,9504.5,7312.7,2075.1,1630.5,3228.0,9604.7,8123.7,7326.1,5500.2,8466.5
Albany,776.5,9895.9,131.7,2367.7,2713.2,8347.1,9487.8,78.0,1216.7,9799.7,1593.7,5897.9,7996.8,8953.1,8756.1,5446.7,9144.6,3485.6,7071.9,9057.9,1869.7,4820.6,2040.9,493.2,4201.1,278.5,3986.1,7737.8,4096.0,469.3,2172.4,7510.5,8270.3,3143.6,1806.0,2011.0,8333.1,5326.5,7158.8,9504.5,0,5378.6,5413.9,9827.2,4976.4,1528.7,1031.0,8772.6,4612.8,1688.8
Harlem,3604.3,1167.2,4015.8,6629.7,7188.5,1703.6,900.7,3598.3,7362.2,1705.5,3852.2,4670.0,7344.5,7145.9,3654.5,9311.7,2259.1,138.3,8544.8,555.7,8981.5,9254.1,6203.9,7373.9,6146.1,4791.3,5997.3,6291.3,8188.5,8294.3,4710.4,8346.0,9191.0,2236.2,9245.6,1241.5,1978.8,1114.6,9442.8,7312.7,5378.6,0,7559.7,8743.7,7180.9,9313.6,3865.4,4392.5,5227.7,8329.4
Rochester,9783.7,9654.6,2308.3,2113.7,4788.0,7089.6,4119.5,5877.2,1851.5,1323.3,8633.2,4605.6,3427.2,2212.8,1936.7,668.2,7892.8,7920.5,6834.6,8140.8,4129.1,4164.0,4000.7,6775.4,7346.5,985.3,8145.3,7435.4,9889.5,9767.1,7351.8,8374.5,8371.3,6412.8,5973.6,3654.1,687.5,4975.7,4932.4,2075.1,5413.9,7559.7,0,4791.9,1297.3,2880.7,4772.5,1326.5,7312.5,8317.4
Palmyra,8120.4,225.4,6535.6,9029.3,5463.1,1544.5,1990.9,3571.9,611.5,3457.7,5191.3,5080.8,4999.6,3058.4,5666.0,7288.8,3704.4,2197.1,4457.1,5098.5,8666.0,6889.5,4143.1,7926.0,8832.0,1813.9,189.2,3041.4,8509.4,3297.9,2632.0,5270.7,2510.0,9743.2,8458.5,9382.1,535.2,495.1,1761.7,1630.5,9827.2,8743.7,4791.9,0,1858.6,1968.8,4614.7,4465.4,5144.4,9977.8
Tonawanda,8802.6,3535.5,9249.3,667.2,8273.6,4802.7,5161.9,3496.3,8472.4,4346.3,1146.8,8462.4,7866.3,9519.1,3707.6,2970.4,1294.7,1228.5,8066.2,5311.1,3906.4,3967.0,9179.9,7156.2,2281.3,2034.6,131.1,7727.0,2642.5,5280.6,1669.2,2360.8,9287.2,518.9,1648.3,850.6,515.2,327.3,8887.7,3228.0,4976.4,7180.9,1297.3,1858.6,0,9946.2,6670.1,3189.1,623.2,3683.7
Lackawanna,2123.7,8288.6,8912.8,5225.6,4898.6,6573.7,7531.9,2566.1,3893.7,3789.0,6663.0,2142.2,657.8,9672.7,5742.3,4208.5,3293.3,9711.9,3079.2,3481.2,5968.3,363.8,3366.6,8687.9,5712.8,8307.6,2091.8,6155.9,5427.8,6308.6,8335.7,8449.9,1820.1,7364.2,7422.3,5972.6,9333.4,8113.5,3390.8,9604.7,1528.7,9313.6,2880.7,1968.8,9946.2,0,9169.2,3329.9,4617.5,2268.5
Buffalo,7785.7,2285.0,5585.9,1663.7,7010.2,7395.0,9217.6,9755.5,7957.5,1558.7,7795.0,5965.8,841.3,17.8,1486.7,3137.2,3920.0,5644.7,9255.9,4753.1,5565.3,5757.8,6209.3,6869.5,593.0,9664.6,6209.8,1904.4,911.5,7191.9,7629.0,644.8,3853.0,9659.0,8966.3,1705.4,9400.2,7339.8,5038.4,8123.7,1031.0,3865.4,4772.5,4614.7,6670.1,9169.2,0,9760.7,3329.6,7254.6
Poughkeepsie,6406.6,325.3,9062.1,5545.0,59.3,9778.0,5774.4,9217.3,7265.9,9089.8,7252.0,6963.2,2517.9,9398.9,1809.5,7289.6,185.4,5059.7,3345.2,7095.8,1757.7,2140.5,5023.4,1208.8,8783.9,7273.2,8384.8,3880.6,4247.6,2656.4,7667.1,8852.3,7999.4,5805.5,3674.7,9632.7,2198.9,4441.6,7624.0,7326.1,8772.6,4392.5,1326.5,4465.4,3189.1,3329.9,9760.7,0,3582.9,1554.3
Oneonta,9098.5,1728.1,6221.2,7556.1,9204.6,1529.9,7499.3,688.8,8983.0,9878.0,1430.0,8579.8,7226.6,1354.7,3646.5,1164.0,6686.4,2669.6,1568.4,6897.9,8203.7,893.6,2857.1,8566.1,3478.1,1531.8,2668.6,1189.3,1728.8,8351.1,8870.6,1497.2,1341.3,2992.3,533.0,1449.0,6371.5,8209.8,6687.1,5500.2,4612.8,5227.7,7312.5,5144.4,623.2,4617.5,3329.6,3582.9,0,7633.1
New York City,6413.5,820.8,2304.1,6257.7,1263.4,3695.5,1394.6,2110.3,1671.0,2975.5,9642.4,1296.1,9954.4,6389.4,1174.4,774.0,4216.2,5830.2,7575.3,3988.6,9787.9,1715.7,9680.5,9796.3,3541.3,2047.6,4253.6,9100.0,5698.2,752.3,2246.7,2782.7,4400.1,7124.5,5078.4,9879.0,8032.2,1735.6,1296.8,8466.5,1688.8,8329.4,8317.4,9977.8,3683.7,2268.5,7254.6,1554.3,7633.1,0
