CSV,Woodstock,Oneonta,Johnstown,New Windsor,Babylon,Watervliet,Schenectady,Kingston,Middletown,Watertown,Saratoga Springs,Gloversville,Binghamton,Bedford,Rensselaer,Niagara Falls,Lake Placid,Elmira,Glens Falls,Fredonia,Bronx,Hempstead,Jamestown,Sag Harbor,Peekskill,North Hempstead,Ogdensburg,West Seneca,Corning,Batavia,Ticonderoga,Cooperstown,Newburgh,Ithaca,Mount Vernon,Watkins Glen,Oswego,Seneca Falls,Rochester,Oneida,Cortland,Brooklyn,Nyack,Great Neck,Tarrytown,Rye,Beacon,Dunkirk,Stony Brook,Lackawanna
Saratoga Springs,526.5,1139.6,4077.9,3296.3,3161.7,6259.5,1524.1,4526.5,4896.5,238.9,0,5240.0,5550.0,1532.2,3259.2,8159.2,2656.0,8287.5,5402.9,3567.9,2508.8,7352.6,742.4,4754.5,7808.2,479.6,6778.0,4326.0,7911.7,5718.1,3294.0,1378.7,6960.7,9981.6,3764.9,8717.8,7604.0,528.9,2642.5,2582.1,135.0,7889.0,5295.9,891.1,7751.9,3719.1,9874.2,278.4,7021.2,5439.4
Gloversville,4632.9,2554.5,449.3,3958.8,241.3,2896.7,2252.6,2472.4,1716.1,8245.2,5240.0,0,1358.7,8587.8,3619.7,6340.6,9772.6,7648.2,8676.1,1851.4,397.7,1975.4,2556.0,3144.6,5271.8,4003.2,1172.5,9948.6,4168.7,9955.5,7015.0,2500.1,8627.9,239.4,9606.8,5528.0,5547.1,6018.1,255.3,2390.0,9026.7,2337.0,7252.3,6915.3,3331.5,4904.2,9314.8,1837.9,9442.3,1997.6
Binghamton,9189.1,4519.2,9735.1,5734.8,5677.8,7734.4,3778.0,9162.6,21.0,5530.9,5550.0,1358.7,0,53.3,3693.7,4517.7,1326.4,5243.4,1986.4,5734.4,5445.1,2757.7,508.1,121.7,6366.5,3070.4,475.2,2000.7,6683.9,6962.3,9380.5,8350.4,5226.5,5565.5,8424.3,6780.9,4904.7,2968.5,3521.9,3153.0,1418.4,2071.9,3779.6,7861.2,547.0,2723.4,3513.3,3135.1,9652.3,1325.4
Bedford,3667.4,3706.0,3580.8,9077.2,6546.8,9126.8,6036.4,4670.7,2439.7,8184.0,1532.2,8587.8,53.3,0,3353.8,8727.6,6593.8,9315.4,4899.3,7708.5,9586.5,7737.9,5182.5,653.0,4745.4,9432.7,2778.1,2474.3,5142.3,2886.1,9334.1,4898.2,3392.0,4540.5,2434.5,1741.9,7437.4,9287.4,5224.2,9433.1,7508.0,2917.2,2194.5,4204.9,4128.7,5760.3,3632.8,5887.0,4585.2,5621.2
Rensselaer,9884.8,3478.3,811.9,922.9,8330.3,7962.1,7617.8,2746.6,1492.7,9844.2,3259.2,3619.7,3693.7,3353.8,0,2943.7,3601.4,2626.7,466.4,4345.7,9226.1,5529.5,5353.2,4884.7,5381.3,3365.6,8737.9,5537.6,7595.1,2348.7,8938.8,6465.7,386.5,1679.2,5012.7,4728.7,8072.5,2957.5,3325.0,1818.3,1142.1,4542.8,7768.9,7829.4,1568.2,1448.2,3791.9,6440.9,3675.2,3726.3
Niagara Falls,1590.0,6944.8,6691.0,6472.5,6008.2,6756.7,2528.9,3250.9,4701.9,1639.5,8159.2,6340.6,4517.7,8727.6,2943.7,0,3125.5,5954.8,7685.4,3244.7,5806.9,9908.5,3963.7,4204.7,5027.3,5347.7,43.1,9320.4,657.0,2228.8,9493.6,3473.1,9888.3,5631.2,328.8,2577.7,9632.7,3378.5,6434.1,6188.9,6269.2,690.2,1049.2,3849.2,1533.5,2437.0,1119.8,932.8,9638.9,3764.7
Lake Placid,31.0,7292.7,2564.2,5362.4,9838.6,451.8,2851.5,7758.1,2700.9,6177.9,2656.0,9772.6,1326.4,6593.8,3601.4,3125.5,0,9696.4,7428.7,5613.2,8756.3,8680.5,3355.9,3501.9,5997.4,9147.4,5213.8,7576.3,4574.7,8962.9,6700.2,6801.0,6733.9,2261.8,9647.1,7004.8,6475.5,9735.6,5596.2,1142.3,5775.0,599.7,7635.6,499.8,7410.4,8569.1,543.0,6206.3,7830.2,3459.4
Elmira,9054.0,1789.3,3095.2,9584.6,4999.6,6053.1,9319.0,9514.0,5688.2,1844.7,8287.5,7648.2,5243.4,9315.4,2626.7,5954.8,9696.4,0,3130.9,8029.1,7348.7,421.9,1073.3,3383.0,1701.2,8658.8,8874.1,963.7,505.0,7594.0,8422.4,5001.9,7430.4,6308.0,1343.7,3703.8,4885.9,1558.4,1529.0,300.2,9821.4,1788.1,1465.1,8121.8,9350.9,7980.0,4190.0,1413.9,2473.4,5464.1
Glens Falls,4173.1,8484.9,3892.6,9409.5,8257.7,769.6,9541.9,6618.7,4401.0,7966.4,5402.9,8676.1,1986.4,4899.3,466.4,7685.4,7428.7,3130.9,0,8211.5,8349.2,7449.8,3192.0,9815.5,1697.3,601.6,5352.1,4563.4,938.2,5800.9,4113.3,5397.8,2592.6,3571.9,2763.6,8432.7,7003.9,6839.0,6945.4,940.4,262.9,8751.0,5961.0,3956.4,3012.3,1942.2,1409.7,4912.5,8701.1,9499.2
Fredonia,7697.4,3375.7,7337.1,107.0,3478.9,5398.3,4822.5,3689.4,5190.8,2621.1,3567.9,1851.4,5734.4,7708.5,4345.7,3244.7,5613.2,8029.1,8211.5,0,6883.7,947.4,2428.5,3775.3,1725.7,9101.3,4564.6,363.3,7071.8,7499.4,4266.8,1755.7,1846.9,5372.3,3809.5,1182.6,7343.8,2376.5,2714.6,1654.4,1018.8,8786.4,8280.0,1989.3,7025.7,9365.1,5428.6,3160.4,543.8,1883.7
Bronx,753.9,6659.9,7813.5,995.8,3004.0,8377.5,2307.8,2736.7,7436.8,5245.5,2508.8,397.7,5445.1,9586.5,9226.1,5806.9,8756.3,7348.7,8349.2,6883.7,0,5700.5,219.6,3846.1,8468.4,2219.9,2961.1,3568.3,1369.5,4596.8,9033.4,6371.1,8515.9,1878.1,3830.0,5012.2,744.1,4520.3,8156.7,9824.4,1843.0,7602.7,7076.7,882.8,8306.8,5394.4,7649.6,5306.6,9809.3,5786.1
Hempstead,7798.9,8022.2,5784.3,9736.3,7971.5,8030.9,6631.6,3128.2,1713.8,4438.9,7352.6,1975.4,2757.7,7737.9,5529.5,9908.5,8680.5,421.9,7449.8,947.4,5700.5,0,1931.3,8822.3,9027.2,6683.1,1370.3,314.9,5428.4,2906.9,5211.7,6721.0,278.6,3.2,227.2,9687.0,1124.8,4980.5,8781.7,6839.1,9340.9,7990.5,626.6,3127.6,7739.3,4904.1,3790.1,1753.9,8544.3,7886.3
Jamestown,9337.4,8867.6,1834.4,6548.7,5885.8,4443.5,3212.4,608.9,7431.5,3022.0,742.4,2556.0,508.1,5182.5,5353.2,3963.7,3355.9,1073.3,3192.0,2428.5,219.6,1931.3,0,8595.9,6191.5,1251.1,2490.6,9719.2,2919.1,7010.2,1202.6,459.1,6156.1,2426.4,9116.9,7597.8,6757.9,4040.4,8961.3,9302.2,3844.4,1870.2,7617.9,423.2,4739.6,2186.5,1104.4,4654.9,2598.1,7282.3
Sag Harbor,4274.9,1836.3,4860.2,1699.8,6000.1,1433.4,9464.2,3464.4,9264.0,3139.1,4754.5,3144.6,121.7,653.0,4884.7,4204.7,3501.9,3383.0,9815.5,3775.3,3846.1,8822.3,8595.9,0,6191.7,8104.3,4669.6,6632.4,8287.0,4382.8,866.3,6165.9,1780.9,6059.3,1749.5,7354.8,625.6,265.3,1066.3,9293.6,3036.1,4672.7,8116.1,5406.5,5767.0,5859.4,3905.3,7746.2,9579.6,7743.9
Peekskill,6948.1,1751.8,8587.5,2539.4,5416.4,8006.1,3585.6,1019.8,4101.6,6677.3,7808.2,5271.8,6366.5,4745.4,5381.3,5027.3,5997.4,1701.2,1697.3,1725.7,8468.4,9027.2,6191.5,6191.7,0,6451.1,2836.3,3253.5,3505.1,8534.6,9746.8,1076.8,4489.3,7997.2,1846.0,7837.6,239.5,6949.1,3735.7,5093.7,9841.6,5465.5,8787.5,4896.4,7703.7,8319.5,5247.2,6372.5,3240.7,7611.7
North Hempstead,2671.5,381.1,5568.1,1094.1,8760.2,7644.3,5365.8,2004.3,8188.1,3518.5,479.6,4003.2,3070.4,9432.7,3365.6,5347.7,9147.4,8658.8,601.6,9101.3,2219.9,6683.1,1251.1,8104.3,6451.1,0,4959.5,8055.5,1760.9,827.8,1100.7,9336.4,9274.0,2054.7,3111.6,1208.8,3383.3,5778.8,3037.5,3704.6,6547.1,5237.4,6109.4,3045.9,8707.0,5809.7,9129.3,7450.5,429.2,516.6
Ogdensburg,8328.6,8751.7,4353.3,4799.3,5430.8,5794.7,5423.4,1925.3,1451.6,1646.0,6778.0,1172.5,475.2,2778.1,8737.9,43.1,5213.8,8874.1,5352.1,4564.6,2961.1,1370.3,2490.6,4669.6,2836.3,4959.5,0,7413.4,2539.2,5374.0,2526.4,3618.2,1963.4,515.8,9533.4,3308.1,866.8,6359.3,2467.4,5535.9,7373.4,5432.2,7571.7,7036.2,5971.3,3000.2,2559.5,788.8,5398.5,9136.1
West Seneca,6651.9,9966.1,7719.0,1763.0,9299.0,1022.4,8093.3,2100.7,5098.7,5819.6,4326.0,9948.6,2000.7,2474.3,5537.6,9320.4,7576.3,963.7,4563.4,363.3,3568.3,314.9,9719.2,6632.4,3253.5,8055.5,7413.4,0,7454.6,9635.5,2842.8,7131.6,5660.4,3283.0,6334.1,7.5,2441.6,7353.2,5659.3,7776.0,6898.9,9268.7,5783.5,521.5,815.3,6067.0,9887.3,6270.3,8310.1,8195.8
Corning,8321.7,453.5,7032.1,4685.1,7948.8,1476.7,863.8,5730.8,3392.6,4601.9,7911.7,4168.7,6683.9,5142.3,7595.1,657.0,4574.7,505.0,938.2,7071.8,1369.5,5428.4,2919.1,8287.0,3505.1,1760.9,2539.2,7454.6,0,4619.1,9035.4,5642.2,594.6,6167.3,1564.8,6829.0,2847.3,3828.8,4808.0,9945.4,2048.4,7234.7,9094.5,2616.0,1944.6,7786.3,7233.9,4533.4,915.0,2230.8
Batavia,1119.4,1407.1,7545.5,1209.8,4137.7,1151.7,9349.5,9911.4,3581.9,8401.6,5718.1,9955.5,6962.3,2886.1,2348.7,2228.8,8962.9,7594.0,5800.9,7499.4,4596.8,2906.9,7010.2,4382.8,8534.6,827.8,5374.0,9635.5,4619.1,0,2080.5,4947.0,3441.9,6194.3,3632.2,1459.1,1844.6,9197.4,4549.8,7699.5,4217.1,1426.5,6381.7,357.8,1508.5,4902.3,5916.6,6261.4,6256.0,325.1
Ticonderoga,3320.4,7726.2,2519.8,3226.3,1387.1,1439.4,8462.0,2697.1,1389.3,9720.4,3294.0,7015.0,9380.5,9334.1,8938.8,9493.6,6700.2,8422.4,4113.3,4266.8,9033.4,5211.7,1202.6,866.3,9746.8,1100.7,2526.4,2842.8,9035.4,2080.5,0,3206.1,4312.6,344.8,2118.6,8574.7,2982.4,5918.4,7896.1,5098.0,9329.5,9474.9,9364.5,8264.0,7997.8,3888.5,2962.2,1449.1,8843.5,3587.7
Cooperstown,9459.0,6232.5,6675.3,329.6,6347.5,7277.2,1303.1,1216.5,6895.2,9799.9,1378.7,2500.1,8350.4,4898.2,6465.7,3473.1,6801.0,5001.9,5397.8,1755.7,6371.1,6721.0,459.1,6165.9,1076.8,9336.4,3618.2,7131.6,5642.2,4947.0,3206.1,0,5811.6,4979.1,9648.0,7956.0,3008.0,7005.8,3700.1,213.6,5024.9,3203.9,9386.3,642.0,1826.7,9828.6,877.7,9352.3,9619.7,7264.8
Newburgh,1657.4,2026.6,2535.5,3958.5,947.1,8631.0,9651.6,4684.5,7887.5,1249.8,6960.7,8627.9,5226.5,3392.0,386.5,9888.3,6733.9,7430.4,2592.6,1846.9,8515.9,278.6,6156.1,1780.9,4489.3,9274.0,1963.4,5660.4,594.6,3441.9,4312.6,5811.6,0,5690.0,3669.6,9937.9,8137.3,3660.9,4914.6,8928.7,6716.5,5248.6,2731.9,8204.5,4516.8,2796.0,7503.0,5388.5,4628.6,3914.7
Ithaca,9166.0,3249.9,8489.2,4354.6,3251.0,9481.2,3539.5,6974.1,3829.3,3531.1,9981.6,239.4,5565.5,4540.5,1679.2,5631.2,2261.8,6308.0,3571.9,5372.3,1878.1,3.2,2426.4,6059.3,7997.2,2054.7,515.8,3283.0,6167.3,6194.3,344.8,4979.1,5690.0,0,5261.0,4046.0,3180.8,1888.3,9655.1,5683.6,4151.6,8171.7,7343.2,2901.2,3015.8,5377.9,8532.0,3059.4,668.9,2128.0
Mount Vernon,7349.0,9934.9,8014.1,4597.0,273.4,1001.5,9812.8,6239.5,2755.8,1746.2,3764.9,9606.8,8424.3,2434.5,5012.7,328.8,9647.1,1343.7,2763.6,3809.5,3830.0,227.2,9116.9,1749.5,1846.0,3111.6,9533.4,6334.1,1564.8,3632.2,2118.6,9648.0,3669.6,5261.0,0,5102.6,9471.1,5858.2,4658.2,2498.5,2400.9,4268.1,4763.2,991.5,7360.0,8243.1,8918.5,8800.6,2962.8,9672.8
Watkins Glen,9639.3,1353.4,5468.6,6746.0,9504.3,8395.2,3757.3,2284.5,1270.1,7776.5,8717.8,5528.0,6780.9,1741.9,4728.7,2577.7,7004.8,3703.8,8432.7,1182.6,5012.2,9687.0,7597.8,7354.8,7837.6,1208.8,3308.1,7.5,6829.0,1459.1,8574.7,7956.0,9937.9,4046.0,5102.6,0,5482.4,6724.6,4348.8,5386.4,4217.5,1853.6,3895.7,1193.9,2105.6,8283.7,5474.1,2676.9,8805.1,9843.9
Oswego,8237.2,1791.6,8579.1,7650.8,2768.4,3415.3,301.5,4707.3,784.7,189.3,7604.0,5547.1,4904.7,7437.4,8072.5,9632.7,6475.5,4885.9,7003.9,7343.8,744.1,1124.8,6757.9,625.6,239.5,3383.3,866.8,2441.6,2847.3,1844.6,2982.4,3008.0,8137.3,3180.8,9471.1,5482.4,0,2470.6,2280.7,4948.7,8668.2,6128.2,8036.2,8980.7,6777.2,4835.9,2559.4,9273.9,5051.9,1550.9
Seneca Falls,893.3,2907.6,2347.2,6278.1,5073.1,1886.2,5966.7,699.1,800.0,7444.5,528.9,6018.1,2968.5,9287.4,2957.5,3378.5,9735.6,1558.4,6839.0,2376.5,4520.3,4980.5,4040.4,265.3,6949.1,5778.8,6359.3,7353.2,3828.8,9197.4,5918.4,7005.8,3660.9,1888.3,5858.2,6724.6,2470.6,0,7509.6,6000.3,1125.8,8917.2,4130.0,9599.1,3603.7,1164.8,1680.8,3186.1,5437.7,3549.0
Rochester,2887.9,256.9,9007.8,5668.1,7016.2,9822.5,7522.7,4218.1,3862.3,1147.7,2642.5,255.3,3521.9,5224.2,3325.0,6434.1,5596.2,1529.0,6945.4,2714.6,8156.7,8781.7,8961.3,1066.3,3735.7,3037.5,2467.4,5659.3,4808.0,4549.8,7896.1,3700.1,4914.6,9655.1,4658.2,4348.8,2280.7,7509.6,0,1937.8,2699.2,6873.3,697.2,277.9,3304.5,8698.7,5995.3,1030.1,214.5,3265.2
Oneida,2830.4,8872.1,2294.7,2837.5,8389.3,4466.3,8608.7,484.0,3572.7,7197.4,2582.1,2390.0,3153.0,9433.1,1818.3,6188.9,1142.3,300.2,940.4,1654.4,9824.4,6839.1,9302.2,9293.6,5093.7,3704.6,5535.9,7776.0,9945.4,7699.5,5098.0,213.6,8928.7,5683.6,2498.5,5386.4,4948.7,6000.3,1937.8,0,7438.5,8425.3,4693.8,7179.4,382.5,6331.0,1462.4,5216.1,2804.0,5367.9
Cortland,4070.0,6522.6,8855.9,2280.0,9970.8,5340.2,5449.7,9371.9,2722.9,6342.7,135.0,9026.7,1418.4,7508.0,1142.1,6269.2,5775.0,9821.4,262.9,1018.8,1843.0,9340.9,3844.4,3036.1,9841.6,6547.1,7373.4,6898.9,2048.4,4217.1,9329.5,5024.9,6716.5,4151.6,2400.9,4217.5,8668.2,1125.8,2699.2,7438.5,0,6213.1,9072.5,3739.5,9122.2,9056.3,3595.9,6611.9,4315.0,4610.2
Brooklyn,132.1,32.5,7788.6,4416.6,8957.2,9643.9,5786.4,9284.9,3963.1,5038.9,7889.0,2337.0,2071.9,2917.2,4542.8,690.2,599.7,1788.1,8751.0,8786.4,7602.7,7990.5,1870.2,4672.7,5465.5,5237.4,5432.2,9268.7,7234.7,1426.5,9474.9,3203.9,5248.6,8171.7,4268.1,1853.6,6128.2,8917.2,6873.3,8425.3,6213.1,0,573.2,1686.3,9919.9,490.0,2305.8,1294.2,3755.3,6138.1
Nyack,5335.7,1155.5,8493.4,9496.8,8675.0,3213.6,1573.2,220.9,2609.3,81.2,5295.9,7252.3,3779.6,2194.5,7768.9,1049.2,7635.6,1465.1,5961.0,8280.0,7076.7,626.6,7617.9,8116.1,8787.5,6109.4,7571.7,5783.5,9094.5,6381.7,9364.5,9386.3,2731.9,7343.2,4763.2,3895.7,8036.2,4130.0,697.2,4693.8,9072.5,573.2,0,4977.3,5250.4,3039.4,4449.4,4063.8,9422.5,2732.5
Great Neck,718.4,489.7,8242.8,9278.4,5555.0,9017.3,6857.2,4038.1,7036.9,2702.9,891.1,6915.3,7861.2,4204.9,7829.4,3849.2,499.8,8121.8,3956.4,1989.3,882.8,3127.6,423.2,5406.5,4896.4,3045.9,7036.2,521.5,2616.0,357.8,8264.0,642.0,8204.5,2901.2,991.5,1193.9,8980.7,9599.1,277.9,7179.4,3739.5,1686.3,4977.3,0,6991.1,3788.7,4440.4,3722.0,6029.1,1926.2
Tarrytown,7932.9,8462.6,9064.5,8374.4,767.1,3350.3,1555.7,8533.9,4589.3,4563.9,7751.9,3331.5,547.0,4128.7,1568.2,1533.5,7410.4,9350.9,3012.3,7025.7,8306.8,7739.3,4739.6,5767.0,7703.7,8707.0,5971.3,815.3,1944.6,1508.5,7997.8,1826.7,4516.8,3015.8,7360.0,2105.6,6777.2,3603.7,3304.5,382.5,9122.2,9919.9,5250.4,6991.1,0,7636.7,2338.8,3206.2,9839.8,4038.6
Rye,4363.2,8027.0,8057.7,8261.6,5373.0,3152.4,2590.6,3205.6,2414.6,5840.3,3719.1,4904.2,2723.4,5760.3,1448.2,2437.0,8569.1,7980.0,1942.2,9365.1,5394.4,4904.1,2186.5,5859.4,8319.5,5809.7,3000.2,6067.0,7786.3,4902.3,3888.5,9828.6,2796.0,5377.9,8243.1,8283.7,4835.9,1164.8,8698.7,6331.0,9056.3,490.0,3039.4,3788.7,7636.7,0,8060.1,4195.2,6519.9,8907.3
Beacon,6864.8,3582.4,5836.3,71.7,8710.6,4752.0,2864.4,4583.3,6665.2,1056.3,9874.2,9314.8,3513.3,3632.8,3791.9,1119.8,543.0,4190.0,1409.7,5428.6,7649.6,3790.1,1104.4,3905.3,5247.2,9129.3,2559.5,9887.3,7233.9,5916.6,2962.2,877.7,7503.0,8532.0,8918.5,5474.1,2559.4,1680.8,5995.3,1462.4,3595.9,2305.8,4449.4,4440.4,2338.8,8060.1,0,9047.6,7994.4,4883.3
Dunkirk,4531.5,3845.8,5272.2,3851.7,3928.1,2153.6,1562.8,6099.9,5474.7,1503.9,278.4,1837.9,3135.1,5887.0,6440.9,932.8,6206.3,1413.9,4912.5,3160.4,5306.6,1753.9,4654.9,7746.2,6372.5,7450.5,788.8,6270.3,4533.4,6261.4,1449.1,9352.3,5388.5,3059.4,8800.6,2676.9,9273.9,3186.1,1030.1,5216.1,6611.9,1294.2,4063.8,3722.0,3206.2,4195.2,9047.6,0,8155.2,6220.3
Stony Brook,8192.2,1365.2,2943.5,7892.2,2695.5,5767.6,6507.4,5593.1,8690.5,1166.9,7021.2,9442.3,9652.3,4585.2,3675.2,9638.9,7830.2,2473.4,8701.1,543.8,9809.3,8544.3,2598.1,9579.6,3240.7,429.2,5398.5,8310.1,915.0,6256.0,8843.5,9619.7,4628.6,668.9,2962.8,8805.1,5051.9,5437.7,214.5,2804.0,4315.0,3755.3,9422.5,6029.1,9839.8,6519.9,7994.4,8155.2,0,753.8
Lackawanna,6432.0,4394.2,7975.0,7718.5,2300.8,6167.9,9341.1,8847.5,3931.5,2091.7,5439.4,1997.6,1325.4,5621.2,3726.3,3764.7,3459.4,5464.1,9499.2,1883.7,5786.1,7886.3,7282.3,7743.9,7611.7,516.6,9136.1,8195.8,2230.8,325.1,3587.7,7264.8,3914.7,2128.0,9672.8,9843.9,1550.9,3549.0,3265.2,5367.9,4610.2,6138.1,2732.5,1926.2,4038.6,8907.3,4883.3,6220.3,753.8,0
