CSV,Newburgh,Ithaca,Port Washington,Nyack,Cohoes,Rotterdam,Coney Island,Cooperstown,Hammondsport,Flushing,Batavia,Mamaroneck,Elmira,Hudson,Rome,Beacon,Saranac Lake,West Seneca,Scarsdale,Middletown,Stony Brook,Lake Placid,Syracuse,New Windsor,Olean,Clinton,Great Neck,Queens,Brooklyn,Albany,Mineola,Rochester,Peekskill,New Paltz,New Rochelle,Oneonta,Johnstown,East Aurora,Auburn,Kingston,Glens Falls,Schenectady,Ossining,Plattsburgh,Binghamton,Rye,Palmyra,Buffalo,Corning
Rome,9614.8,8675.5,770.8,8708.1,4834.6,6534.5,850.3,3596.0,598.0,8066.2,8899.4,1389.9,6118.9,7344.6,0,25.6,6919.0,750.6,6114.4,8913.0,0.8,9204.0,1386.2,4073.0,684.1,1362.7,8236.1,8121.6,4786.1,3590.2,3753.9,9587.7,2747.1,1270.7,9954.9,191.1,5965.1,4756.2,4948.2,6683.7,56.4,5552.0,759.1,5701.2,3073.3,5689.3,9672.6,5067.1,3670.0
Beacon,9820.2,2030.8,1290.4,4171.1,280.2,6328.0,1981.1,787.3,8780.0,3893.3,6891.8,4976.2,7064.1,3870.9,25.6,0,1930.5,2754.5,9839.6,3426.1,3843.0,2833.4,9164.4,4398.4,7813.8,377.5,6359.0,4241.2,7895.4,4094.4,2867.0,6694.6,5869.1,1471.9,5794.3,5065.1,1241.7,9590.6,7897.3,8058.7,1934.3,9680.0,4908.4,9024.3,9269.0,9222.4,9662.8,128.5,4445.6
Saranac Lake,6875.1,3630.2,2477.6,1817.7,4980.9,8561.0,9922.2,7372.6,767.3,2565.6,9172.8,7691.2,7610.1,3937.9,6919.0,1930.5,0,9612.2,1210.5,7939.3,6906.9,9232.9,9134.0,7012.6,744.3,3576.8,5147.4,5623.7,2025.7,9032.5,4593.9,5138.4,1179.2,9271.4,6267.8,6842.1,1467.9,6967.2,1083.0,7210.1,1246.1,5321.8,3136.8,2429.6,483.4,7948.7,2721.2,6128.8,127.8
West Seneca,1658.6,3108.9,6914.0,7163.3,7308.7,1699.2,5945.1,5722.3,3691.3,1882.9,8079.9,1470.9,5375.0,7685.6,750.6,2754.5,9612.2,0,2852.9,8802.8,5793.6,1769.5,6701.4,7712.4,4217.9,8916.5,3046.6,7610.4,3994.2,786.0,7592.9,7999.1,3334.4,3902.4,3321.8,5172.8,1941.4,769.9,3352.0,8254.9,7604.4,4401.9,69.3,375.1,5116.3,523.2,6710.1,6699.0,1646.9
Scarsdale,5299.5,6981.2,7159.0,1030.0,9338.7,7549.9,2725.4,1449.6,9047.6,4171.5,9534.6,7292.2,6177.2,2033.3,6114.4,9839.6,1210.5,2852.9,0,399.8,9996.2,9998.4,882.9,599.8,5326.6,1344.2,22.0,1467.3,2905.3,8602.3,615.6,7069.2,8182.8,2470.4,861.4,1571.9,2503.5,6663.8,3333.1,2557.3,9177.1,6325.4,8073.2,8601.4,5341.0,7163.4,9968.8,7624.3,4093.7
Middletown,3356.0,833.9,6233.6,9992.0,5062.0,2129.4,954.5,6689.0,1383.3,628.4,8776.7,104.5,263.4,227.6,8913.0,3426.1,7939.3,8802.8,399.8,0,893.3,4016.7,5604.3,5579.0,1472.4,373.6,2094.9,4430.7,9667.3,3008.8,9942.0,4770.7,1887.6,2666.5,8869.4,4013.0,9959.2,2063.0,5336.8,3236.4,4202.3,3096.7,6634.7,3316.3,5839.7,7594.6,1349.3,7156.3,8356.3
Stony Brook,7424.3,7545.2,6400.5,6810.0,3267.5,2871.7,5416.3,8977.3,1229.7,4883.6,5027.0,406.0,1518.0,7935.7,0.8,3843.0,6906.9,5793.6,9996.2,893.3,0,2496.9,9165.3,3951.4,7382.3,9103.2,8663.3,7300.9,5139.7,141.4,2509.7,3872.2,5023.0,9347.4,4991.2,7845.1,1439.7,4925.6,9637.7,8819.1,4393.9,1479.6,1134.6,1257.1,7138.8,1520.2,7841.2,6457.8,6430.3
Lake Placid,4889.6,5436.1,1010.5,5940.0,9422.8,3852.8,1805.0,4927.3,4456.3,6658.2,9301.0,2958.3,522.9,5789.1,9204.0,2833.4,9232.9,1769.5,9998.4,4016.7,2496.9,0,8340.6,7434.6,4309.4,4580.2,2953.6,3826.1,7081.5,5231.7,3035.8,6624.0,7797.6,6604.1,8780.7,7189.9,8498.2,8867.0,5638.0,9017.0,6744.4,3960.1,9384.0,7059.2,7675.3,6447.7,7831.6,4734.2,1709.0
Syracuse,7326.3,6102.3,3512.6,119.8,994.3,5117.0,5794.5,6134.4,1245.1,4282.9,1780.7,6568.4,2734.9,2665.9,1386.2,9164.4,9134.0,6701.4,882.9,5604.3,9165.3,8340.6,0,5427.0,8766.0,2928.1,1483.6,4443.9,8097.0,1170.6,642.5,2719.4,8358.7,4915.3,2550.3,9025.8,5578.0,2183.1,137.4,195.3,7487.0,8373.8,4730.4,5704.4,2919.5,7925.8,4476.4,8791.4,8689.4
New Windsor,7590.3,11.6,1268.5,9424.6,4665.4,4210.1,7658.0,800.4,3184.3,6582.4,2500.4,9876.3,3944.4,9731.4,4073.0,4398.4,7012.6,7712.4,599.8,5579.0,3951.4,7434.6,5427.0,0,3120.1,1359.9,8798.2,2432.3,242.3,8775.2,674.0,2643.8,7139.3,4873.8,7752.9,233.2,8881.3,2493.0,4594.2,3214.2,607.2,8300.0,8152.6,3045.1,5288.6,1095.7,4208.8,1096.0,2796.9
Olean,4554.6,2533.9,8812.2,6768.2,378.5,3539.5,2292.0,1938.6,4685.8,2113.0,151.2,2685.6,5053.5,1843.9,684.1,7813.8,744.3,4217.9,5326.6,1472.4,7382.3,4309.4,8766.0,3120.1,0,9877.2,7556.4,3462.9,1303.6,3893.5,8063.1,774.9,485.8,2830.2,9367.5,6108.2,400.3,3250.0,3913.7,9800.3,7837.1,2117.1,6443.2,1756.8,1734.0,2913.5,6046.5,7793.4,6205.1
Clinton,6244.0,6421.4,6003.6,7676.8,6546.5,4770.1,5404.5,8021.7,8568.7,7374.6,2780.5,4798.9,7372.7,845.1,1362.7,377.5,3576.8,8916.5,1344.2,373.6,9103.2,4580.2,2928.1,1359.9,9877.2,0,5785.7,7954.9,8252.0,5641.6,7746.2,4047.6,1665.0,7602.1,3627.9,4254.9,1489.6,9256.0,348.4,4748.3,6767.2,8476.0,7505.3,9584.2,7047.8,5754.8,7558.2,6751.5,9778.6
Great Neck,6068.6,3827.4,3482.7,8726.8,6782.9,9877.5,1224.3,6770.6,710.0,5977.8,5777.4,5468.5,1400.3,8218.9,8236.1,6359.0,5147.4,3046.6,22.0,2094.9,8663.3,2953.6,1483.6,8798.2,7556.4,5785.7,0,8750.7,9148.5,7305.0,1931.9,8375.4,9140.0,3905.5,3094.4,9730.9,9164.6,5410.7,5391.4,4164.2,5517.3,7855.5,6813.2,8847.7,5069.0,6316.0,9332.3,8765.5,313.5
Queens,2760.8,1270.4,3466.7,4312.9,5443.6,2636.2,8311.3,2027.6,5912.7,279.2,4102.9,2380.9,39.0,8227.0,8121.6,4241.2,5623.7,7610.4,1467.3,4430.7,7300.9,3826.1,4443.9,2432.3,3462.9,7954.9,8750.7,0,133.5,7634.3,2751.1,584.8,9039.4,6564.5,1636.7,7749.7,505.7,4387.5,9566.8,2989.6,3457.2,7072.9,8225.5,3847.4,2176.7,412.3,5024.8,7502.8,5710.0
Brooklyn,3962.2,7775.5,5024.9,2515.6,2672.8,3185.7,3112.8,4475.5,4239.0,9138.7,3054.4,617.6,7582.8,6000.4,4786.1,7895.4,2025.7,3994.2,2905.3,9667.3,5139.7,7081.5,8097.0,242.3,1303.6,8252.0,9148.5,133.5,0,2391.2,3651.6,3081.9,5637.5,1633.0,5838.3,5289.5,886.3,7384.0,6696.6,7247.4,4755.6,2107.0,5387.6,9372.2,7840.3,4024.8,4895.3,8150.5,2104.2
Albany,2765.6,8533.2,6494.9,791.8,1997.1,2651.1,9282.1,4053.4,2431.4,4206.4,8402.8,1734.2,1344.5,6581.0,3590.2,4094.4,9032.5,786.0,8602.3,3008.8,141.4,5231.7,1170.6,8775.2,3893.5,5641.6,7305.0,7634.3,2391.2,0,1263.5,128.0,2869.3,4994.4,3756.0,8704.6,3295.7,733.2,5557.0,659.7,8879.2,9537.4,3456.9,37.1,6042.0,3763.8,5540.1,1309.9,8564.3
Mineola,4398.6,9979.7,8437.4,7485.1,8989.9,4986.7,7678.1,21.8,76.0,7770.9,1488.8,9980.8,63.9,2394.2,3753.9,2867.0,4593.9,7592.9,615.6,9942.0,2509.7,3035.8,642.5,674.0,8063.1,7746.2,1931.9,2751.1,3651.6,1263.5,0,6275.4,6214.1,8096.5,3596.8,3679.9,8056.1,1978.5,9490.6,6030.4,8342.4,9897.5,4493.2,4780.8,1345.2,9626.3,9068.5,6254.2,7640.4
Rochester,7679.5,5944.3,1918.3,4762.9,4823.1,3739.9,5534.5,5949.8,7146.7,1214.8,8730.2,9285.8,4904.7,3141.4,9587.7,6694.6,5138.4,7999.1,7069.2,4770.7,3872.2,6624.0,2719.4,2643.8,774.9,4047.6,8375.4,584.8,3081.9,128.0,6275.4,0,4994.9,5323.3,2755.0,958.6,1764.0,3331.2,6662.2,5803.3,6084.2,1674.4,963.3,8286.2,9215.8,7638.1,7101.6,8323.3,5164.2
Peekskill,1638.1,9741.4,1501.4,9582.8,533.9,9804.8,3658.3,1697.5,6828.2,2296.0,3810.0,5567.4,8624.6,9338.8,2747.1,5869.1,1179.2,3334.4,8182.8,1887.6,5023.0,7797.6,8358.7,7139.3,485.8,1665.0,9140.0,9039.4,5637.5,2869.3,6214.1,4994.9,0,5113.4,457.1,5948.3,8188.5,8240.7,7327.4,4112.3,328.6,947.1,7646.3,4669.7,1967.0,9338.0,4766.7,9942.8,5514.0
New Paltz,6024.9,23.1,1553.0,9795.7,5664.1,519.7,5736.1,4869.8,5442.7,495.7,8359.9,9807.7,9843.0,8325.2,1270.7,1471.9,9271.4,3902.4,2470.4,2666.5,9347.4,6604.1,4915.3,4873.8,2830.2,7602.1,3905.5,6564.5,1633.0,4994.4,8096.5,5323.3,5113.4,0,202.2,2618.5,8309.6,2376.1,3024.3,3587.9,9444.7,8886.0,3731.0,4973.6,1815.7,5224.8,1626.3,233.5,4581.3
New Rochelle,8429.4,1700.9,6645.1,4772.5,8683.9,3381.8,4803.8,4475.4,3306.5,5516.1,5021.5,2280.8,2508.9,1393.8,9954.9,5794.3,6267.8,3321.8,861.4,8869.4,4991.2,8780.7,2550.3,7752.9,9367.5,3627.9,3094.4,1636.7,5838.3,3756.0,3596.8,2755.0,457.1,202.2,0,1924.1,856.7,5521.3,9424.3,4859.9,4567.0,6165.1,8801.4,48.4,1289.0,727.6,9375.7,6549.8,9012.3
Oneonta,4143.5,4618.8,8069.1,7941.7,492.2,4882.0,1194.9,1036.7,368.5,6502.3,8167.6,3198.5,2670.5,9615.7,191.1,5065.1,6842.1,5172.8,1571.9,4013.0,7845.1,7189.9,9025.8,233.2,6108.2,4254.9,9730.9,7749.7,5289.5,8704.6,3679.9,958.6,5948.3,2618.5,1924.1,0,3768.6,2345.3,3728.2,5515.7,648.6,8041.7,3573.1,3126.1,9936.0,2066.9,4279.9,9007.9,5209.8
Johnstown,44.3,2657.8,7410.8,2404.3,6794.2,2045.2,4608.3,7484.2,4453.2,7056.2,7448.3,6692.6,8035.4,5055.6,5965.1,1241.7,1467.9,1941.4,2503.5,9959.2,1439.7,8498.2,5578.0,8881.3,400.3,1489.6,9164.6,505.7,886.3,3295.7,8056.1,1764.0,8188.5,8309.6,856.7,3768.6,0,8728.4,7209.2,1449.0,4069.6,2848.2,3935.8,3849.0,6690.8,2668.6,3957.0,1816.1,6846.0
East Aurora,5596.7,4847.3,1425.5,2536.0,3464.3,435.4,540.1,7499.1,2158.2,2750.1,8389.4,401.0,6495.3,3497.2,4756.2,9590.6,6967.2,769.9,6663.8,2063.0,4925.6,8867.0,2183.1,2493.0,3250.0,9256.0,5410.7,4387.5,7384.0,733.2,1978.5,3331.2,8240.7,2376.1,5521.3,2345.3,8728.4,0,7526.6,6633.0,3708.3,3201.2,3474.0,9095.2,4377.3,8376.2,1713.3,4051.0,636.5
Auburn,5071.0,3000.1,6098.7,7535.7,4430.0,8837.7,3373.7,411.9,8301.8,1845.2,4277.0,8776.4,9068.6,3144.8,4948.2,7897.3,1083.0,3352.0,3333.1,5336.8,9637.7,5638.0,137.4,4594.2,3913.7,348.4,5391.4,9566.8,6696.6,5557.0,9490.6,6662.2,7327.4,3024.3,9424.3,3728.2,7209.2,7526.6,0,292.4,5026.7,3393.2,496.2,2156.5,5945.0,1593.6,2045.0,6398.5,7390.7
Kingston,8606.3,7749.1,770.1,5030.3,2339.1,1697.4,4966.4,6595.8,7064.0,6782.3,9973.7,1554.0,6898.1,5733.4,6683.7,8058.7,7210.1,8254.9,2557.3,3236.4,8819.1,9017.0,195.3,3214.2,9800.3,4748.3,4164.2,2989.6,7247.4,659.7,6030.4,5803.3,4112.3,3587.9,4859.9,5515.7,1449.0,6633.0,292.4,0,5265.4,3893.9,9169.7,12.0,4048.3,9549.6,7194.3,9534.8,7749.5
Glens Falls,5809.8,6710.8,1353.3,8086.4,4402.6,2826.6,652.7,5402.5,4842.3,2605.7,6149.8,7909.4,5010.0,2484.6,56.4,1934.3,1246.1,7604.4,9177.1,4202.3,4393.9,6744.4,7487.0,607.2,7837.1,6767.2,5517.3,3457.2,4755.6,8879.2,8342.4,6084.2,328.6,9444.7,4567.0,648.6,4069.6,3708.3,5026.7,5265.4,0,3581.3,4533.2,8125.9,7060.4,4451.7,5153.1,33.3,7035.6
Schenectady,4322.0,9639.3,286.4,8830.4,6363.0,1149.3,5669.3,9017.6,2209.7,6145.0,6238.2,7243.9,5654.9,5052.2,5552.0,9680.0,5321.8,4401.9,6325.4,3096.7,1479.6,3960.1,8373.8,8300.0,2117.1,8476.0,7855.5,7072.9,2107.0,9537.4,9897.5,1674.4,947.1,8886.0,6165.1,8041.7,2848.2,3201.2,3393.2,3893.9,3581.3,0,4951.7,9292.8,8501.4,8343.5,9037.5,9531.5,9051.9
Ossining,3339.8,9691.5,8869.6,4947.6,6364.9,6380.2,3467.4,6338.4,2283.2,3783.2,533.0,2083.5,5233.2,8678.9,759.1,4908.4,3136.8,69.3,8073.2,6634.7,1134.6,9384.0,4730.4,8152.6,6443.2,7505.3,6813.2,8225.5,5387.6,3456.9,4493.2,963.3,7646.3,3731.0,8801.4,3573.1,3935.8,3474.0,496.2,9169.7,4533.2,4951.7,0,9503.4,5669.2,8781.3,4499.9,6745.3,2985.3
Plattsburgh,894.3,3123.1,8339.8,8968.6,4874.3,4907.3,7968.0,3993.3,5210.7,34.4,7174.0,3842.8,6909.0,1658.1,5701.2,9024.3,2429.6,375.1,8601.4,3316.3,1257.1,7059.2,5704.4,3045.1,1756.8,9584.2,8847.7,3847.4,9372.2,37.1,4780.8,8286.2,4669.7,4973.6,48.4,3126.1,3849.0,9095.2,2156.5,12.0,8125.9,9292.8,9503.4,0,304.3,4328.9,9033.5,448.5,1995.2
Binghamton,3672.3,409.3,5673.8,8373.0,8464.5,223.0,4745.3,1063.0,9598.8,1920.5,3255.9,4600.7,2366.1,7188.7,3073.3,9269.0,483.4,5116.3,5341.0,5839.7,7138.8,7675.3,2919.5,5288.6,1734.0,7047.8,5069.0,2176.7,7840.3,6042.0,1345.2,9215.8,1967.0,1815.7,1289.0,9936.0,6690.8,4377.3,5945.0,4048.3,7060.4,8501.4,5669.2,304.3,0,3957.5,3826.8,2500.1,2331.7
Rye,2445.3,3216.2,9533.6,2079.8,6029.8,3245.4,4216.3,2689.4,4431.2,7653.0,232.4,1040.1,8716.2,6445.7,5689.3,9222.4,7948.7,523.2,7163.4,7594.6,1520.2,6447.7,7925.8,1095.7,2913.5,5754.8,6316.0,412.3,4024.8,3763.8,9626.3,7638.1,9338.0,5224.8,727.6,2066.9,2668.6,8376.2,1593.6,9549.6,4451.7,8343.5,8781.3,4328.9,3957.5,0,8411.4,8472.6,4538.1
Palmyra,474.7,6538.8,3787.0,7561.9,2406.4,8522.6,9496.6,9408.8,3246.6,9986.5,6966.9,5424.2,1252.4,7817.8,9672.6,9662.8,2721.2,6710.1,9968.8,1349.3,7841.2,7831.6,4476.4,4208.8,6046.5,7558.2,9332.3,5024.8,4895.3,5540.1,9068.5,7101.6,4766.7,1626.3,9375.7,4279.9,3957.0,1713.3,2045.0,7194.3,5153.1,9037.5,4499.9,9033.5,3826.8,8411.4,0,9130.7,5579.3
Buffalo,3344.0,66.6,4288.6,9086.6,434.4,8190.3,3303.9,4669.9,5972.7,9186.3,5538.1,9218.6,1566.9,9517.3,5067.1,128.5,6128.8,6699.0,7624.3,7156.3,6457.8,4734.2,8791.4,1096.0,7793.4,6751.5,8765.5,7502.8,8150.5,1309.9,6254.2,8323.3,9942.8,233.5,6549.8,9007.9,1816.1,4051.0,6398.5,9534.8,33.3,9531.5,6745.3,448.5,2500.1,8472.6,9130.7,0,5450.9
Corning,941.7,6167.8,807.6,2825.3,2759.3,5126.6,5376.9,9882.8,2879.0,7257.2,4296.2,7631.9,3240.6,3681.7,3670.0,4445.6,127.8,1646.9,4093.7,8356.3,6430.3,1709.0,8689.4,2796.9,6205.1,9778.6,313.5,5710.0,2104.2,8564.3,7640.4,5164.2,5514.0,4581.3,9012.3,5209.8,6846.0,636.5,7390.7,7749.5,7035.6,9051.9,2985.3,1995.2,2331.7,4538.1,5579.3,5450.9,0
