CSV,Mamaroneck,Saratoga Springs,Herkimer,Glens Falls,Olean,Hempstead,Poughkeepsie,Elmira,New Windsor,Rotterdam,Crown Point,Cooperstown,Babylon,Rochester,Clinton,Bedford,Mineola,Woodstock,Tarrytown,Watertown,Newburgh,Buffalo,Tonawanda,Potsdam,Staten Island,New Paltz,Queens,Yonkers,Corning,Ithaca,Cohoes,Watervliet,Peekskill,Lackawanna,Johnstown,Garden City,Lockport,Rye,Chautauqua,Oneida,Middletown,Hudson,Troy,Port Washington,Ticonderoga,Stony Brook,Watkins Glen,Gloversville,Forest Hills
Crown Point,378.2,4389.6,6831.5,7722.7,4341.1,6696.0,2771.6,8498.7,3560.4,7894.5,0,6571.0,3822.8,5355.2,3912.0,6382.5,8554.4,4102.9,9768.9,9048.7,9115.0,3350.6,5846.2,9985.9,5405.1,8576.1,257.6,3294.7,3668.2,6052.9,4028.2,3447.8,3872.3,4630.5,3934.1,1814.9,3993.0,1276.9,8309.9,5413.0,1976.6,5806.1,2467.4,3286.4,2574.2,3155.5,434.1,5248.7,3024.8
Cooperstown,657.1,1784.4,4414.2,8826.1,1286.9,3996.1,8706.8,8740.7,3177.6,5026.6,6571.0,0,5560.0,7347.3,4383.6,6695.5,3060.9,3323.6,7527.7,6673.1,4272.4,1556.9,4838.4,9500.5,4018.1,3922.0,8654.6,488.0,2138.1,1361.7,362.4,5238.8,5219.0,9100.4,4432.9,4789.2,2969.2,7517.2,2690.4,4657.4,1220.6,8315.1,9624.2,9948.4,4908.0,3215.6,7514.5,2117.8,7438.0
Babylon,7648.9,3738.9,9345.5,2386.6,5815.0,9975.5,9478.7,3057.5,4318.0,4160.0,3822.8,5560.0,0,3853.2,2156.1,687.1,9041.6,116.6,3707.7,3597.2,6615.5,7537.6,3765.5,416.6,3626.6,5706.1,3676.4,2916.9,6009.0,8283.3,5515.1,7082.8,1126.4,5735.9,3693.3,1720.7,319.4,4051.9,4048.8,6707.8,7828.4,9359.3,7799.5,6488.7,7969.5,1908.6,6665.6,7454.1,1234.1
Rochester,5735.8,5090.7,9623.1,2378.2,3937.6,4184.8,9206.7,6844.8,7252.1,249.0,5355.2,7347.3,3853.2,0,5959.9,2704.2,1612.2,7480.4,6698.0,6025.0,9585.7,7724.2,5448.6,3845.3,6956.9,7169.2,4100.3,9499.9,6759.3,5783.6,8621.4,8498.5,8667.6,9545.2,9886.1,6663.7,788.0,5583.5,6705.2,1648.0,1989.1,9956.6,7188.9,2540.5,6755.5,8192.1,4182.4,1560.5,6257.3
Clinton,259.3,2327.0,2298.9,3786.1,2485.3,4508.8,3741.4,1198.6,6323.0,9164.3,3912.0,4383.6,2156.1,5959.9,0,7720.0,6969.3,8805.1,9584.6,8502.1,3932.9,9710.3,9248.7,8531.1,9783.1,127.4,8083.7,5233.6,620.2,9847.7,4965.3,6080.0,3635.9,3059.8,3612.1,2105.6,5801.9,8364.3,4146.0,4133.1,2943.7,3424.7,6195.0,8962.6,2042.8,2692.7,7311.5,576.7,3614.4
Bedford,1671.0,8545.4,4863.1,5388.1,405.4,3452.6,3804.2,5892.3,4424.7,4717.7,6382.5,6695.5,687.1,2704.2,7720.0,0,423.4,4935.3,1904.7,3852.7,1249.2,6929.9,6853.6,2447.2,4338.9,5795.0,6607.9,3723.7,3846.2,5573.2,4640.5,6633.5,3264.7,8524.2,9188.3,1333.2,4101.6,5453.3,9700.9,6646.4,7942.6,8320.8,2492.3,6583.6,3936.5,9047.4,1073.7,4454.4,3493.9
Mineola,4212.2,8423.2,2318.2,9747.5,5509.6,4678.9,236.8,7254.6,3340.3,5691.3,8554.4,3060.9,9041.6,1612.2,6969.3,423.4,0,7984.4,8485.1,5268.7,7600.7,246.7,383.8,1573.9,1347.3,1581.4,4327.4,8328.0,2124.6,9544.8,481.8,8021.5,5822.5,310.1,6812.8,2169.5,6266.7,7401.0,5838.9,8553.7,1961.5,9778.3,3224.1,5309.2,3346.4,3131.8,723.5,5257.4,3197.8
Woodstock,1479.9,2838.6,8664.6,5400.2,8315.6,1613.7,1565.2,6504.7,1885.3,539.2,4102.9,3323.6,116.6,7480.4,8805.1,4935.3,7984.4,0,6390.7,7937.5,1759.3,9848.4,6606.1,5615.8,2816.7,2158.2,9016.8,5032.8,6930.1,7885.7,7236.5,6887.5,8817.1,751.2,224.3,2868.4,1612.0,9101.8,5878.8,5213.5,6029.8,222.5,9074.2,8009.9,9362.9,4918.1,7940.5,3451.3,9811.8
Tarrytown,2234.8,1951.3,9496.3,5227.0,5392.8,7696.2,8645.6,1363.3,1055.1,13.1,9768.9,7527.7,3707.7,6698.0,9584.6,1904.7,8485.1,6390.7,0,7829.5,1622.9,2734.5,5915.7,9011.3,3786.4,6336.1,8780.1,6174.0,737.1,7634.2,5883.9,5472.5,5410.7,8855.4,7543.6,7741.6,3490.2,9221.9,3990.1,2976.3,4620.7,1367.9,5684.1,3670.1,881.9,8179.9,1625.9,7158.6,7083.3
Watertown,9188.0,3627.5,762.7,1822.4,3168.6,637.2,340.8,1776.9,1488.6,5436.2,9048.7,6673.1,3597.2,6025.0,8502.1,3852.7,5268.7,7937.5,7829.5,0,3129.4,6528.7,4310.3,2910.9,5487.4,3196.2,277.7,6253.3,9830.4,7674.1,188.9,5364.0,4136.0,3978.2,6131.4,6300.8,3448.8,5167.0,5493.1,9004.6,6175.9,4766.7,6789.3,1775.3,6504.3,6433.5,862.5,4748.0,7638.9
Newburgh,7675.3,1093.5,9603.6,3700.8,2151.8,8232.6,8445.8,7397.3,8999.9,1395.7,9115.0,4272.4,6615.5,9585.7,3932.9,1249.2,7600.7,1759.3,1622.9,3129.4,0,529.4,9727.4,7564.0,8565.3,7475.0,9517.4,9716.1,3181.2,247.7,2876.7,1938.8,6619.7,6011.2,8744.2,121.0,7896.6,504.6,3047.1,1222.3,4963.5,1662.2,7952.2,8118.5,8155.1,5720.4,6052.3,900.4,3304.6
Buffalo,7570.5,7039.6,4624.3,100.7,1392.5,6809.3,50.7,89.8,9809.7,7008.4,3350.6,1556.9,7537.6,7724.2,9710.3,6929.9,246.7,9848.4,2734.5,6528.7,529.4,0,7875.4,5288.5,4050.4,5589.1,9770.4,9470.3,9467.0,7911.0,8580.4,8778.3,8659.3,1700.8,6363.3,5416.1,8403.1,612.1,7351.8,1251.9,4714.1,8542.8,3564.1,8922.6,9562.3,4957.1,4745.7,4206.4,7869.5
Tonawanda,8447.6,4519.0,9437.1,588.2,1349.4,1531.2,2031.6,6672.0,7644.2,751.7,5846.2,4838.4,3765.5,5448.6,9248.7,6853.6,383.8,6606.1,5915.7,4310.3,9727.4,7875.4,0,9485.7,9142.4,5385.5,8242.3,3918.8,7072.9,2019.8,9796.4,8446.3,6786.3,1402.2,1160.1,8501.9,5506.4,6187.3,5052.5,9362.8,3121.7,7195.7,1591.1,2971.1,536.7,4305.7,5515.6,8167.1,7979.0
Potsdam,1623.5,9568.7,2731.2,7687.4,506.2,1571.4,7190.9,5897.2,8904.9,3586.0,9985.9,9500.5,416.6,3845.3,8531.1,2447.2,1573.9,5615.8,9011.3,2910.9,7564.0,5288.5,9485.7,0,5878.3,4384.1,8854.1,776.3,6292.1,835.7,3437.9,1878.6,3614.0,8794.3,568.6,4759.4,7733.4,8190.1,8828.7,4895.8,8924.9,1915.7,6773.4,6925.9,8938.8,1040.1,9107.9,6475.5,7808.9
Staten Island,6827.6,8909.9,4056.9,2543.8,3358.9,4694.0,7998.7,3646.0,1262.8,5639.3,5405.1,4018.1,3626.6,6956.9,9783.1,4338.9,1347.3,2816.7,3786.4,5487.4,8565.3,4050.4,9142.4,5878.3,0,2061.0,183.7,1757.3,9177.3,1099.2,1261.9,1911.0,8270.3,4602.6,7194.2,8760.3,4461.9,3506.2,9364.9,9998.4,7906.9,8603.7,2116.7,8553.1,5637.8,4746.6,2202.2,8884.3,9779.3
New Paltz,9500.0,1236.4,899.9,5555.6,2568.3,9864.0,2279.0,5365.2,7223.4,8821.3,8576.1,3922.0,5706.1,7169.2,127.4,5795.0,1581.4,2158.2,6336.1,3196.2,7475.0,5589.1,5385.5,4384.1,2061.0,0,6721.9,6786.8,208.9,2375.6,2504.0,3922.2,7838.4,8489.1,6198.3,5434.9,3981.3,2558.8,4106.2,6991.8,2015.3,8042.7,5268.1,141.3,1525.1,9650.1,9678.8,4539.9,6871.5
Queens,7656.2,6482.4,5306.1,8698.2,2722.5,6195.8,183.1,9530.6,3713.1,1076.4,257.6,8654.6,3676.4,4100.3,8083.7,6607.9,4327.4,9016.8,8780.1,277.7,9517.4,9770.4,8242.3,8854.1,183.7,6721.9,0,5787.9,7967.7,29.2,2568.0,5698.8,2938.9,7731.1,8297.9,3915.8,3204.5,3694.9,5994.8,646.5,907.1,4116.6,1723.5,6084.6,110.8,2912.6,4810.3,3492.0,973.8
Yonkers,8180.1,6737.4,3423.0,6832.4,4246.8,6883.4,6927.9,1900.0,7944.2,321.4,3294.7,488.0,2916.9,9499.9,5233.6,3723.7,8328.0,5032.8,6174.0,6253.3,9716.1,9470.3,3918.8,776.3,1757.3,6786.8,5787.9,0,3621.9,7343.4,7606.0,6132.5,6709.2,1704.6,3994.4,5426.3,8001.4,3963.6,5652.3,3517.8,4099.7,8217.1,5378.9,8372.0,2320.7,9331.0,4728.1,6596.7,8428.8
Corning,8962.5,2460.6,7108.2,8298.9,6590.8,315.2,8338.8,889.6,7500.2,2199.7,3668.2,2138.1,6009.0,6759.3,620.2,3846.2,2124.6,6930.1,737.1,9830.4,3181.2,9467.0,7072.9,6292.1,9177.3,208.9,7967.7,3621.9,0,7070.2,9309.1,4769.4,816.8,2022.2,7173.9,9555.0,6193.6,5551.5,8969.8,8511.3,7601.6,6100.0,8533.7,1716.2,9931.3,2135.3,7495.7,8145.6,1721.2
Ithaca,7003.0,2012.7,9640.9,6216.7,3996.6,9769.9,303.2,6229.3,6419.9,8172.8,6052.9,1361.7,8283.3,5783.6,9847.7,5573.2,9544.8,7885.7,7634.2,7674.1,247.7,7911.0,2019.8,835.7,1099.2,2375.6,29.2,7343.4,7070.2,0,3994.9,1032.5,2236.4,5913.8,7112.0,4872.7,591.8,9849.3,7807.2,8699.8,398.7,8339.6,3779.5,9092.0,6875.5,1605.5,9341.9,8449.5,1921.2
Cohoes,951.4,7880.3,3571.2,2157.4,6231.2,6796.5,626.1,7218.4,314.4,9902.8,4028.2,362.4,5515.1,8621.4,4965.3,4640.5,481.8,7236.5,5883.9,188.9,2876.7,8580.4,9796.4,3437.9,1261.9,2504.0,2568.0,7606.0,9309.1,3994.9,0,4572.2,4032.9,6312.0,792.2,1047.5,8306.8,6612.1,5784.4,3568.2,4671.9,5281.6,8474.7,8796.1,9233.6,375.0,9333.5,941.1,3660.3
Watervliet,4457.8,8505.5,2648.5,9863.7,6691.5,8167.0,173.9,1685.0,1219.2,4613.2,3447.8,5238.8,7082.8,8498.5,6080.0,6633.5,8021.5,6887.5,5472.5,5364.0,1938.8,8778.3,8446.3,1878.6,1911.0,3922.2,5698.8,6132.5,4769.4,1032.5,4572.2,0,9091.9,711.5,3217.0,5513.7,4870.9,5250.5,625.8,2640.2,4825.7,8226.1,2118.3,517.9,2979.9,3470.0,8353.0,7608.8,4955.5
Peekskill,6188.0,6676.4,9438.0,7787.1,3044.1,9252.3,7380.6,3530.6,2850.9,5494.4,3872.3,5219.0,1126.4,8667.6,3635.9,3264.7,5822.5,8817.1,5410.7,4136.0,6619.7,8659.3,6786.3,3614.0,8270.3,7838.4,2938.9,6709.2,816.8,2236.4,4032.9,9091.9,0,1152.6,6266.0,524.4,7407.0,9309.9,2511.8,1373.0,4465.1,7384.4,1248.4,1655.4,2958.6,9254.8,2757.0,4367.0,4826.8
Lackawanna,3467.7,77.9,1528.1,6100.4,5785.7,2017.0,8307.2,1854.9,5307.4,4952.4,4630.5,9100.4,5735.9,9545.2,3059.8,8524.2,310.1,751.2,8855.4,3978.2,6011.2,1700.8,1402.2,8794.3,4602.6,8489.1,7731.1,1704.6,2022.2,5913.8,6312.0,711.5,1152.6,0,3379.7,9231.9,4739.5,9933.1,9406.5,2739.8,6492.1,5819.4,4225.4,5391.5,8172.3,9366.2,150.7,4658.4,2386.3
Johnstown,9163.3,3845.7,5860.3,6466.6,8219.0,2859.4,2148.2,8104.4,5717.6,13.7,3934.1,4432.9,3693.3,9886.1,3612.1,9188.3,6812.8,224.3,7543.6,6131.4,8744.2,6363.3,1160.1,568.6,7194.2,6198.3,8297.9,3994.4,7173.9,7112.0,792.2,3217.0,6266.0,3379.7,0,4700.3,3154.5,7316.5,6623.2,4437.5,6597.8,987.3,6266.8,5061.0,6064.6,3281.4,2331.8,6399.6,9110.9
Garden City,9189.6,7987.9,4563.7,4802.7,4381.8,5720.1,8598.3,8384.4,8504.2,1557.1,1814.9,4789.2,1720.7,6663.7,2105.6,1333.2,2169.5,2868.4,7741.6,6300.8,121.0,5416.1,8501.9,4759.4,8760.3,5434.9,3915.8,5426.3,9555.0,4872.7,1047.5,5513.7,524.4,9231.9,4700.3,0,6268.6,1064.7,5105.7,1720.8,3918.2,2342.8,7835.4,2875.7,4611.1,2742.5,751.0,5121.8,8028.7
Lockport,9588.1,8161.5,284.2,7810.3,2711.2,7530.4,2445.6,1638.4,2544.8,2464.2,3993.0,2969.2,319.4,788.0,5801.9,4101.6,6266.7,1612.0,3490.2,3448.8,7896.6,8403.1,5506.4,7733.4,4461.9,3981.3,3204.5,8001.4,6193.6,591.8,8306.8,4870.9,7407.0,4739.5,3154.5,6268.6,0,322.1,6037.8,7559.8,9103.9,6891.3,2373.9,4555.3,9527.9,5917.6,9709.6,1175.6,1998.4
Rye,181.7,611.9,5645.7,9155.1,7680.1,8831.7,7602.3,3801.8,6877.3,8986.7,1276.9,7517.2,4051.9,5583.5,8364.3,5453.3,7401.0,9101.8,9221.9,5167.0,504.6,612.1,6187.3,8190.1,3506.2,2558.8,3694.9,3963.6,5551.5,9849.3,6612.1,5250.5,9309.9,9933.1,7316.5,1064.7,322.1,0,8416.2,8420.0,3740.8,7852.6,5124.0,1738.9,8004.1,7114.2,6959.4,6168.4,3065.3
Chautauqua,4689.5,8608.3,1055.2,2914.2,6110.0,10000.0,146.7,8242.0,1993.1,1829.9,8309.9,2690.4,4048.8,6705.2,4146.0,9700.9,5838.9,5878.8,3990.1,5493.1,3047.1,7351.8,5052.5,8828.7,9364.9,4106.2,5994.8,5652.3,8969.8,7807.2,5784.4,625.8,2511.8,9406.5,6623.2,5105.7,6037.8,8416.2,0,6989.8,8222.4,7152.5,1685.7,8367.3,2437.4,5634.6,5536.2,7888.3,7162.9
Oneida,6726.7,5038.4,4602.4,5896.8,3497.4,6308.5,4543.1,4809.5,3635.5,4607.9,5413.0,4657.4,6707.8,1648.0,4133.1,6646.4,8553.7,5213.5,2976.3,9004.6,1222.3,1251.9,9362.8,4895.8,9998.4,6991.8,646.5,3517.8,8511.3,8699.8,3568.2,2640.2,1373.0,2739.8,4437.5,1720.8,7559.8,8420.0,6989.8,0,5140.5,8318.6,2051.0,7114.9,2064.4,2692.6,2075.4,8195.5,9773.8
Middletown,8140.2,8169.3,3402.6,6431.6,2669.1,9593.0,3200.0,4623.0,3012.2,4570.4,1976.6,1220.6,7828.4,1989.1,2943.7,7942.6,1961.5,6029.8,4620.7,6175.9,4963.5,4714.1,3121.7,8924.9,7906.9,2015.3,907.1,4099.7,7601.6,398.7,4671.9,4825.7,4465.1,6492.1,6597.8,3918.2,9103.9,3740.8,8222.4,5140.5,0,7277.2,9194.2,5487.5,7265.6,3991.9,9670.9,7536.9,7473.6
Hudson,7685.5,865.1,4864.7,3415.2,4846.2,8686.5,4888.5,1174.4,7384.9,7158.7,5806.1,8315.1,9359.3,9956.6,3424.7,8320.8,9778.3,222.5,1367.9,4766.7,1662.2,8542.8,7195.7,1915.7,8603.7,8042.7,4116.6,8217.1,6100.0,8339.6,5281.6,8226.1,7384.4,5819.4,987.3,2342.8,6891.3,7852.6,7152.5,8318.6,7277.2,0,1536.5,5712.9,5156.9,2625.6,2625.5,2799.3,5691.1
Troy,8089.2,6246.4,1011.6,5104.7,1564.3,6964.5,1627.1,5034.5,9434.6,8607.3,2467.4,9624.2,7799.5,7188.9,6195.0,2492.3,3224.1,9074.2,5684.1,6789.3,7952.2,3564.1,1591.1,6773.4,2116.7,5268.1,1723.5,5378.9,8533.7,3779.5,8474.7,2118.3,1248.4,4225.4,6266.8,7835.4,2373.9,5124.0,1685.7,2051.0,9194.2,1536.5,0,8051.7,3338.2,4406.0,2497.0,4310.0,4146.5
Port Washington,3726.3,1258.7,4965.1,7321.8,6309.6,4256.7,4871.6,2746.3,3246.8,8989.6,3286.4,9948.4,6488.7,2540.5,8962.6,6583.6,5309.2,8009.9,3670.1,1775.3,8118.5,8922.6,2971.1,6925.9,8553.1,141.3,6084.6,8372.0,1716.2,9092.0,8796.1,517.9,1655.4,5391.5,5061.0,2875.7,4555.3,1738.9,8367.3,7114.9,5487.5,5712.9,8051.7,0,8720.4,5478.5,3502.5,8325.5,926.6
Ticonderoga,4069.7,2139.8,438.0,4556.7,1204.3,1700.1,2546.5,748.8,9555.9,1134.0,2574.2,4908.0,7969.5,6755.5,2042.8,3936.5,3346.4,9362.9,881.9,6504.3,8155.1,9562.3,536.7,8938.8,5637.8,1525.1,110.8,2320.7,9931.3,6875.5,9233.6,2979.9,2958.6,8172.3,6064.6,4611.1,9527.9,8004.1,2437.4,2064.4,7265.6,5156.9,3338.2,8720.4,0,8791.0,609.8,6434.3,4496.7
Stony Brook,2365.4,7790.1,9666.0,2113.8,3319.3,333.4,3859.2,4517.2,8746.8,9890.0,3155.5,3215.6,1908.6,8192.1,2692.7,9047.4,3131.8,4918.1,8179.9,6433.5,5720.4,4957.1,4305.7,1040.1,4746.6,9650.1,2912.6,9331.0,2135.3,1605.5,375.0,3470.0,9254.8,9366.2,3281.4,2742.5,5917.6,7114.2,5634.6,2692.6,3991.9,2625.6,4406.0,5478.5,8791.0,0,8636.0,9687.5,4924.0
Watkins Glen,897.3,3612.5,6421.2,3232.9,7333.7,6782.5,9990.3,5653.2,3230.8,4694.7,434.1,7514.5,6665.6,4182.4,7311.5,1073.7,723.5,7940.5,1625.9,862.5,6052.3,4745.7,5515.6,9107.9,2202.2,9678.8,4810.3,4728.1,7495.7,9341.9,9333.5,8353.0,2757.0,150.7,2331.8,751.0,9709.6,6959.4,5536.2,2075.4,9670.9,2625.5,2497.0,3502.5,609.8,8636.0,0,406.7,9779.2
Gloversville,6459.8,2656.2,1322.9,8434.7,7668.9,11.9,6710.9,1011.8,9505.4,4665.8,5248.7,2117.8,7454.1,1560.5,576.7,4454.4,5257.4,3451.3,7158.6,4748.0,900.4,4206.4,8167.1,6475.5,8884.3,4539.9,3492.0,6596.7,8145.6,8449.5,941.1,7608.8,4367.0,4658.4,6399.6,5121.8,1175.6,6168.4,7888.3,8195.5,7536.9,2799.3,4310.0,8325.5,6434.3,9687.5,406.7,0,2173.2
Forest Hills,2412.6,198.5,1535.8,6873.1,826.4,4026.8,9672.0,7061.0,6498.8,7849.0,3024.8,7438.0,1234.1,6257.3,3614.4,3493.9,3197.8,9811.8,7083.3,7638.9,3304.6,7869.5,7979.0,7808.9,9779.3,6871.5,973.8,8428.8,1721.2,1921.2,3660.3,4955.5,4826.8,2386.3,9110.9,8028.7,1998.4,3065.3,7162.9,9773.8,7473.6,5691.1,4146.5,926.6,4496.7,4924.0,9779.2,2173.2,0
