CSV,Clinton,Brooklyn,Ossining,Middletown,Chautauqua,Harlem,Hudson,East Aurora,New Paltz,Albany,New Windsor,Ogdensburg,Corning,Hempstead,Tonawanda,Dunkirk,Potsdam,Saratoga Springs,Kingston,Buffalo,Fredonia,Cooperstown,Rensselaer,Sag Harbor,Rye,Tarrytown,Stony Brook,East Hampton,Massena,Gloversville,Coney Island,Schenectady,Johnstown,Forest Hills,Yonkers,New Rochelle,Newburgh,Crown Point,Mamaroneck,Manhattan,Elmira,Flushing,New York City,Amsterdam,White Plains,Scarsdale,West Seneca,Auburn,Babylon,Cohoes
New Windsor,3002.1,5575.6,5105.7,6943.1,3200.8,8639.6,7998.9,9026.0,7579.9,6781.2,0,2672.7,7539.6,5760.5,6953.6,7889.8,7450.8,5797.0,8700.1,3934.2,9709.1,5250.7,8213.5,5551.8,2026.1,9990.4,9781.7,3845.0,7668.5,7196.3,9767.4,1528.2,8071.7,6300.6,2972.2,5864.1,4972.1,2579.6,5275.5,9765.0,752.8,630.6,2436.0,4247.7,6175.9,7268.6,7992.9,5416.9,1555.2,6849.8
Ogdensburg,2943.9,380.2,868.9,1480.7,851.0,4822.0,4814.4,9731.8,6565.5,886.3,2672.7,0,4400.1,3956.9,2344.5,7485.0,8628.8,9941.6,9596.8,7378.7,3128.5,5111.7,9482.0,3840.0,7958.6,3288.1,9698.9,3167.8,3258.5,7516.7,5445.4,7267.9,7423.8,824.3,572.1,8915.7,1766.8,5818.9,9009.7,4722.0,8198.3,5765.4,5638.3,5347.3,777.0,1867.2,2323.2,40.6,2906.5,8989.2
Corning,6036.3,7944.7,671.6,3989.8,7972.7,3512.1,8219.2,5464.2,7418.2,5957.6,7539.6,4400.1,0,4676.1,4161.2,6415.8,5579.3,1591.0,9613.9,6741.9,8438.7,5355.3,9164.9,3959.2,3200.2,8003.6,447.4,8539.6,732.8,9460.7,5093.1,6092.3,858.6,2321.9,7604.3,5070.8,9347.1,3453.0,7531.9,5350.1,4668.1,1775.7,9977.0,4083.0,3323.0,3578.3,6170.4,3135.1,6872.5,5973.8
Hempstead,363.9,2286.9,1708.9,6243.5,6638.6,8050.1,7185.1,5846.0,3957.8,8828.5,5760.5,3956.9,4676.1,0,239.4,3151.5,6768.5,1847.9,6848.2,3716.4,9758.1,7250.4,1838.8,5456.3,1590.0,1224.8,529.6,3652.3,8827.8,6815.5,2529.2,4355.6,1458.5,968.0,7447.7,2834.7,2142.4,8249.0,3519.7,3055.6,6398.4,4023.2,6829.9,6453.4,2497.5,6320.6,1142.3,1209.3,2501.8,7715.2
Tonawanda,5527.1,2206.1,9165.9,9577.2,9213.6,479.9,8884.8,9884.9,9148.5,1126.4,6953.6,2344.5,4161.2,239.4,0,9972.9,7095.6,4950.5,7764.0,8752.1,6067.1,4836.7,9769.4,8578.2,6835.0,7669.7,2489.4,7453.2,7533.5,300.7,9601.6,3332.6,3982.0,9090.2,2128.6,8566.8,9266.8,5981.1,3176.8,8834.1,9630.2,5814.0,9730.2,2780.8,8380.5,3709.1,3993.0,1487.9,8054.7,5241.8
Dunkirk,9227.9,6728.2,6590.6,2042.2,7531.6,3981.4,1478.3,5758.0,9505.4,3565.0,7889.8,7485.0,6415.8,3151.5,9972.9,0,8383.9,6241.9,367.7,2459.5,7407.6,9108.7,1132.3,6857.1,1153.3,1432.7,3115.5,2529.9,9312.0,8009.1,3736.1,8500.0,9048.1,6548.5,7204.7,2153.8,7153.0,7317.5,2886.7,5406.6,5754.3,6127.8,6067.5,5316.1,5137.1,6098.6,6128.8,8363.1,6065.2,1909.9
Potsdam,6180.1,6345.2,2037.3,2312.5,5695.6,6110.9,4926.4,6313.6,7423.4,8514.0,7450.8,8628.8,5579.3,6768.5,7095.6,8383.9,0,226.8,5843.2,6381.5,3068.5,3473.2,9394.8,7665.0,3686.8,2153.7,8529.1,2242.1,3746.9,9162.5,3318.8,2167.0,4589.1,7317.1,7800.8,3456.2,6615.6,7273.1,9888.3,1329.4,6940.1,8231.6,4419.7,3340.1,5139.4,517.5,2105.5,1125.1,6416.6,4130.1
Saratoga Springs,6808.6,6328.2,187.9,390.9,2951.2,2297.3,9550.2,8160.8,6163.9,6147.7,5797.0,9941.6,1591.0,1847.9,4950.5,6241.9,226.8,0,6081.0,1758.0,495.3,8639.0,9535.0,6421.0,7093.4,8279.5,2786.2,462.2,7783.0,6425.4,83.2,6770.3,7782.7,5082.3,8346.4,2411.6,3590.1,3571.9,240.8,6858.1,4341.3,3532.3,6587.9,2728.6,6248.6,723.0,8763.6,7064.5,6327.9,444.7
Kingston,772.2,7604.7,9920.9,5052.1,3845.9,3719.3,3738.5,8530.0,4482.6,914.0,8700.1,9596.8,9613.9,6848.2,7764.0,367.7,5843.2,6081.0,0,954.7,4920.6,3233.3,3134.9,6766.0,530.2,4251.7,7889.2,7680.4,2449.0,4088.3,2395.0,4299.9,2707.8,9365.4,5998.5,5101.6,5904.6,1412.3,9858.9,2629.9,1678.6,1120.2,1683.7,9907.1,9498.4,1467.8,643.5,3863.9,7562.0,8157.6
Buffalo,8226.0,1818.9,5893.3,2247.3,249.1,9211.2,5915.7,9725.6,6053.4,9859.5,3934.2,7378.7,6741.9,3716.4,8752.1,2459.5,6381.5,1758.0,954.7,0,2081.7,4870.2,7890.5,1192.7,303.1,4590.6,1000.9,9102.2,638.6,4464.1,1929.5,9464.9,1739.4,1983.1,3668.3,4357.0,2521.0,4783.5,8252.3,3229.7,9882.7,7527.4,6906.4,3457.0,6330.1,1428.9,6059.4,3788.7,6552.8,8816.6
Fredonia,6564.4,313.8,9821.8,275.6,6108.9,1787.0,1650.9,9175.6,6689.8,4005.5,9709.1,3128.5,8438.7,9758.1,6067.1,7407.6,3068.5,495.3,4920.6,2081.7,0,8719.2,2753.4,4053.3,1415.3,7494.1,9204.9,8432.7,2454.6,4774.5,5333.2,1142.2,1189.6,1575.5,3139.0,2106.7,2975.6,5650.2,3420.2,6547.5,2816.0,9168.0,56.7,7655.1,6638.3,3096.8,956.3,1996.4,2805.6,3713.7
Cooperstown,90.9,9808.8,9732.2,1842.8,5011.0,9996.4,443.3,1076.2,1155.9,662.3,5250.7,5111.7,5355.3,7250.4,4836.7,9108.7,3473.2,8639.0,3233.3,4870.2,8719.2,0,4559.2,9292.3,2624.1,9249.8,3588.4,2318.8,4850.5,3753.5,4049.7,4650.7,6014.8,2775.2,4800.6,8356.6,1824.7,9986.4,509.9,8417.0,1905.6,3220.8,9634.5,5227.0,1364.8,1384.1,1991.5,7881.4,1527.8,797.4
Rensselaer,4024.5,3885.4,1443.0,3216.2,4443.5,4821.7,9845.1,2614.8,3247.9,2083.2,8213.5,9482.0,9164.9,1838.8,9769.4,1132.3,9394.8,9535.0,3134.9,7890.5,2753.4,4559.2,0,916.2,5551.3,3190.5,6179.3,4559.0,8070.4,7032.0,2133.0,901.9,1559.7,5006.5,4148.7,4027.0,8355.1,9782.5,6472.0,1865.2,3073.3,5008.3,1694.6,4194.0,7297.2,3091.2,1206.0,3183.9,623.9,8835.2
Sag Harbor,8248.0,50.7,4140.5,3702.5,4630.0,3986.5,2748.9,1744.4,2443.2,3470.2,5551.8,3840.0,3959.2,5456.3,8578.2,6857.1,7665.0,6421.0,6766.0,1192.7,4053.3,9292.3,916.2,0,8466.6,6100.9,8603.1,7443.9,1231.4,1743.5,5426.3,3238.6,3677.4,4286.3,4042.0,7012.8,675.5,3091.0,8801.9,831.4,3484.0,3251.0,771.7,8836.8,3955.7,3672.1,3985.1,7187.5,34.5,1320.6
Rye,420.7,7353.3,7074.1,2060.1,2507.7,5077.3,6455.9,2182.1,5165.6,8728.3,2026.1,7958.6,3200.2,1590.0,6835.0,1153.3,3686.8,7093.4,530.2,303.1,1415.3,2624.1,5551.3,8466.6,0,2033.5,1847.8,3471.8,7358.6,9709.3,9255.1,8270.6,8381.7,4732.4,3259.1,9613.3,2588.5,5994.8,8017.9,687.3,5502.1,1446.4,3221.5,9165.1,3287.6,1017.1,9086.6,7421.0,2917.4,4004.8
Tarrytown,6609.8,5511.5,4083.3,5694.3,953.5,3691.6,5429.4,7202.9,3002.2,4545.2,9990.4,3288.1,8003.6,1224.8,7669.7,1432.7,2153.7,8279.5,4251.7,4590.6,7494.1,9249.8,3190.5,6100.9,2033.5,0,1795.2,8503.3,1657.8,2010.4,779.4,9109.4,6146.9,4271.7,4441.7,4049.1,3758.3,9802.2,7880.3,8445.0,8269.9,6420.1,8909.8,5660.6,4157.2,6904.1,6048.2,8498.9,9922.2,6025.4
Stony Brook,7666.4,5102.7,1251.4,969.1,1878.6,8465.8,286.9,3488.0,1622.2,3963.5,9781.7,9698.9,447.4,529.6,2489.4,3115.5,8529.1,2786.2,7889.2,1000.9,9204.9,3588.4,6179.3,8603.1,1847.8,1795.2,0,1543.0,9614.3,2049.9,977.9,859.0,9656.6,3835.6,3073.8,6385.8,4012.5,6617.6,4078.7,8484.1,5431.4,8898.1,8113.5,6229.7,9375.0,2652.7,7591.9,8638.3,8348.6,9362.3
East Hampton,5085.4,1933.6,8318.8,6784.5,822.0,1151.0,7168.6,4349.5,8970.7,2673.9,3845.0,3167.8,8539.6,3652.3,7453.2,2529.9,2242.1,462.2,7680.4,9102.2,8432.7,2318.8,4559.0,7443.9,3471.8,8503.3,1543.0,0,6356.8,7558.3,2457.8,7947.4,6615.0,4130.0,801.1,6467.7,7013.4,3380.7,1949.6,5534.5,1709.5,6793.1,7510.4,5880.7,4832.3,1451.6,8296.0,9021.3,1289.9,6474.7
Massena,6529.8,2824.4,2629.2,2808.4,9493.7,5702.9,551.4,9673.1,2984.9,3981.1,7668.5,3258.5,732.8,8827.8,7533.5,9312.0,3746.9,7783.0,2449.0,638.6,2454.6,4850.5,8070.4,1231.4,7358.6,1657.8,9614.3,6356.8,0,7416.9,7739.6,703.2,4663.2,8730.9,1227.1,4544.1,3274.9,3745.6,8642.4,4550.3,9915.7,900.4,9489.8,8242.3,3065.5,9767.5,7258.0,8876.6,1452.7,5985.3
Gloversville,4094.6,2520.7,2563.5,5967.7,3023.0,3851.4,8224.9,254.5,6096.0,3371.1,7196.3,7516.7,9460.7,6815.5,300.7,8009.1,9162.5,6425.4,4088.3,4464.1,4774.5,3753.5,7032.0,1743.5,9709.3,2010.4,2049.9,7558.3,7416.9,0,8658.0,4379.9,6112.5,710.9,7055.2,4151.4,2057.6,1216.1,7073.0,39.8,7198.0,3329.7,1366.9,5088.3,4708.8,2638.5,9754.2,9738.6,1732.6,3465.9
Coney Island,6060.6,3338.0,2255.2,6197.4,2315.0,9210.3,2665.1,1621.5,5352.2,1430.0,9767.4,5445.4,5093.1,2529.2,9601.6,3736.1,3318.8,83.2,2395.0,1929.5,5333.2,4049.7,2133.0,5426.3,9255.1,779.4,977.9,2457.8,7739.6,8658.0,0,1945.0,8590.9,2204.4,3424.6,4759.1,3257.6,7423.7,5082.2,3898.9,1151.1,8952.7,2287.4,8165.0,7688.8,4716.6,4442.5,1750.1,4203.7,2505.4
Schenectady,7020.9,5083.9,7930.1,5312.2,3458.0,3934.8,452.0,2345.9,1253.4,6540.2,1528.2,7267.9,6092.3,4355.6,3332.6,8500.0,2167.0,6770.3,4299.9,9464.9,1142.2,4650.7,901.9,3238.6,8270.6,9109.4,859.0,7947.4,703.2,4379.9,1945.0,0,9873.4,6779.6,2388.8,4245.8,5047.0,9310.3,1356.3,7418.3,8442.2,9133.5,6314.9,5782.8,6662.8,7379.2,5154.4,4511.6,2728.0,3195.1
Johnstown,7275.7,9342.9,8453.3,7617.2,5130.3,7657.6,6794.5,5328.6,2219.0,3744.5,8071.7,7423.8,858.6,1458.5,3982.0,9048.1,4589.1,7782.7,2707.8,1739.4,1189.6,6014.8,1559.7,3677.4,8381.7,6146.9,9656.6,6615.0,4663.2,6112.5,8590.9,9873.4,0,8079.9,4318.4,5547.5,7752.8,8000.1,1295.9,1647.1,9978.4,4645.8,2326.2,7923.8,6034.0,2912.7,4919.1,303.5,3692.5,3307.7
Forest Hills,1830.9,6162.6,649.7,3761.1,7843.7,1132.2,4655.4,3369.4,4623.5,5473.1,6300.6,824.3,2321.9,968.0,9090.2,6548.5,7317.1,5082.3,9365.4,1983.1,1575.5,2775.2,5006.5,4286.3,4732.4,4271.7,3835.6,4130.0,8730.9,710.9,2204.4,6779.6,8079.9,0,8959.4,8845.8,8699.3,4375.6,8303.1,8025.0,5327.5,1078.7,3954.5,8396.3,4482.2,6405.3,5232.3,2134.4,3657.8,1231.8
Yonkers,6616.8,9970.9,7801.5,3498.8,9683.8,8221.1,827.3,1992.1,3452.3,688.4,2972.2,572.1,7604.3,7447.7,2128.6,7204.7,7800.8,8346.4,5998.5,3668.3,3139.0,4800.6,4148.7,4042.0,3259.1,4441.7,3073.8,801.1,1227.1,7055.2,3424.6,2388.8,4318.4,8959.4,0,9163.4,1697.2,4741.9,9442.7,1743.3,7181.2,8091.3,2053.8,1170.0,1559.6,1159.3,5543.6,7608.3,7395.6,7811.8
New Rochelle,3320.5,192.9,3665.8,240.5,4644.6,4313.5,5961.4,5121.7,4954.9,6145.4,5864.1,8915.7,5070.8,2834.7,8566.8,2153.8,3456.2,2411.6,5101.6,4357.0,2106.7,8356.6,4027.0,7012.8,9613.3,4049.1,6385.8,6467.7,4544.1,4151.4,4759.1,4245.8,5547.5,8845.8,9163.4,0,8638.6,6863.6,6511.2,5800.3,6950.6,7432.4,120.3,1121.2,1134.2,8311.8,1780.5,4484.7,6673.7,6631.4
Newburgh,3119.9,785.7,8038.4,555.1,2838.6,3885.8,8049.2,1406.3,9520.0,6949.5,4972.1,1766.8,9347.1,2142.4,9266.8,7153.0,6615.6,3590.1,5904.6,2521.0,2975.6,1824.7,8355.1,675.5,2588.5,3758.3,4012.5,7013.4,3274.9,2057.6,3257.6,5047.0,7752.8,8699.3,1697.2,8638.6,0,190.3,8745.9,9088.8,2260.7,7201.2,2647.9,1022.4,2199.0,8689.7,4116.3,6972.5,4466.7,4615.0
Crown Point,7758.4,1727.5,5781.8,3634.1,3299.2,5811.0,446.4,4790.7,2137.7,6255.5,2579.6,5818.9,3453.0,8249.0,5981.1,7317.5,7273.1,3571.9,1412.3,4783.5,5650.2,9986.4,9782.5,3091.0,5994.8,9802.2,6617.6,3380.7,3745.6,1216.1,7423.7,9310.3,8000.1,4375.6,4741.9,6863.6,190.3,0,6651.0,2335.8,3726.8,897.1,5457.4,6522.5,2213.2,8037.5,7475.1,5728.3,7821.7,3293.5
Mamaroneck,6048.6,7277.5,6947.2,5099.7,8734.9,5236.3,5782.0,9357.5,7375.4,4810.0,5275.5,9009.7,7531.9,3519.7,3176.8,2886.7,9888.3,240.8,9858.9,8252.3,3420.2,509.9,6472.0,8801.9,8017.9,7880.3,4078.7,1949.6,8642.4,7073.0,5082.2,1356.3,1295.9,8303.1,9442.7,6511.2,8745.9,6651.0,0,7428.6,8410.8,4331.4,566.0,8182.7,4909.2,8326.4,7117.7,2453.5,7891.3,6508.3
Manhattan,7438.9,1832.2,6032.0,5609.2,2228.0,5859.6,4348.6,8245.0,4921.3,7883.2,9765.0,4722.0,5350.1,3055.6,8834.1,5406.6,1329.4,6858.1,2629.9,3229.7,6547.5,8417.0,1865.2,831.4,687.3,8445.0,8484.1,5534.5,4550.3,39.8,3898.9,7418.3,1647.1,8025.0,1743.3,5800.3,9088.8,2335.8,7428.6,0,7518.4,9614.9,4444.8,7520.3,5285.6,5635.4,571.3,888.9,4142.4,6692.2
Elmira,5699.2,7698.2,7815.6,9364.0,4211.6,5855.1,1270.6,1160.3,1961.1,3955.3,752.8,8198.3,4668.1,6398.4,9630.2,5754.3,6940.1,4341.3,1678.6,9882.7,2816.0,1905.6,3073.3,3484.0,5502.1,8269.9,5431.4,1709.5,9915.7,7198.0,1151.1,8442.2,9978.4,5327.5,7181.2,6950.6,2260.7,3726.8,8410.8,7518.4,0,4257.5,3907.4,7229.0,1770.5,3309.3,9780.8,2347.9,1372.6,6875.6
Flushing,1396.3,4848.5,46.1,8790.0,5112.8,1200.5,8561.5,2518.7,4030.6,4196.4,630.6,5765.4,1775.7,4023.2,5814.0,6127.8,8231.6,3532.3,1120.2,7527.4,9168.0,3220.8,5008.3,3251.0,1446.4,6420.1,8898.1,6793.1,900.4,3329.7,8952.7,9133.5,4645.8,1078.7,8091.3,7432.4,7201.2,897.1,4331.4,9614.9,4257.5,0,702.0,1091.4,6804.1,5812.5,5010.0,5088.7,6326.7,2707.7
New York City,9530.8,5338.8,8146.2,8531.3,6884.8,5228.6,3489.9,313.0,6923.0,6718.9,2436.0,5638.3,9977.0,6829.9,9730.2,6067.5,4419.7,6587.9,1683.7,6906.4,56.7,9634.5,1694.6,771.7,3221.5,8909.8,8113.5,7510.4,9489.8,1366.9,2287.4,6314.9,2326.2,3954.5,2053.8,120.3,2647.9,5457.4,566.0,4444.8,3907.4,702.0,0,7694.9,6581.8,7328.9,3823.0,8054.0,1718.8,7749.5
Amsterdam,2828.5,1186.8,5162.4,1740.6,9113.1,6277.3,7702.1,2765.0,6726.4,8807.8,4247.7,5347.3,4083.0,6453.4,2780.8,5316.1,3340.1,2728.6,9907.1,3457.0,7655.1,5227.0,4194.0,8836.8,9165.1,5660.6,6229.7,5880.7,8242.3,5088.3,8165.0,5782.8,7923.8,8396.3,1170.0,1121.2,1022.4,6522.5,8182.7,7520.3,7229.0,1091.4,7694.9,0,2480.7,6472.5,4818.4,1067.9,1463.4,3539.8
White Plains,6953.3,8023.0,5670.1,237.7,8520.2,632.2,5405.7,3564.5,5029.7,2934.1,6175.9,777.0,3323.0,2497.5,8380.5,5137.1,5139.4,6248.6,9498.4,6330.1,6638.3,1364.8,7297.2,3955.7,3287.6,4157.2,9375.0,4832.3,3065.5,4708.8,7688.8,6662.8,6034.0,4482.2,1559.6,1134.2,2199.0,2213.2,4909.2,5285.6,1770.5,6804.1,6581.8,2480.7,0,108.6,462.8,6696.4,4122.9,6254.2
Scarsdale,1286.0,8769.7,3471.1,8601.0,672.7,4426.0,821.6,6900.5,1419.1,4750.2,7268.6,1867.2,3578.3,6320.6,3709.1,6098.6,517.5,723.0,1467.8,1428.9,3096.8,1384.1,3091.2,3672.1,1017.1,6904.1,2652.7,1451.6,9767.5,2638.5,4716.6,7379.2,2912.7,6405.3,1159.3,8311.8,8689.7,8037.5,8326.4,5635.4,3309.3,5812.5,7328.9,6472.5,108.6,0,3778.2,9817.2,1730.5,2456.0
West Seneca,7990.0,1003.8,7740.6,6993.4,7545.1,9355.3,1128.4,5196.8,890.9,3155.0,7992.9,2323.2,6170.4,1142.3,3993.0,6128.8,2105.5,8763.6,643.5,6059.4,956.3,1991.5,1206.0,3985.1,9086.6,6048.2,7591.9,8296.0,7258.0,9754.2,4442.5,5154.4,4919.1,5232.3,5543.6,1780.5,4116.3,7475.1,7117.7,571.3,9780.8,5010.0,3823.0,4818.4,462.8,3778.2,0,5049.6,8650.6,3672.3
Auburn,3932.7,9257.5,2353.1,7257.0,1251.8,6571.5,6638.9,9472.1,12.8,1079.2,5416.9,40.6,3135.1,1209.3,1487.9,8363.1,1125.1,7064.5,3863.9,3788.7,1996.4,7881.4,3183.9,7187.5,7421.0,8498.9,8638.3,9021.3,8876.6,9738.6,1750.1,4511.6,303.5,2134.4,7608.3,4484.7,6972.5,5728.3,2453.5,888.9,2347.9,5088.7,8054.0,1067.9,6696.4,9817.2,5049.6,0,467.4,3915.4
Babylon,6461.4,7672.1,1035.7,274.9,1025.5,281.5,9546.0,4472.9,6174.3,6728.0,1555.2,2906.5,6872.5,2501.8,8054.7,6065.2,6416.6,6327.9,7562.0,6552.8,2805.6,1527.8,623.9,34.5,2917.4,9922.2,8348.6,1289.9,1452.7,1732.6,4203.7,2728.0,3692.5,3657.8,7395.6,6673.7,4466.7,7821.7,7891.3,4142.4,1372.6,6326.7,1718.8,1463.4,4122.9,1730.5,8650.6,467.4,0,6615.2
Cohoes,4477.1,243.9,2991.3,5837.1,5227.8,1363.6,19.1,3959.3,2635.6,6221.6,6849.8,8989.2,5973.8,7715.2,5241.8,1909.9,4130.1,444.7,8157.6,8816.6,3713.7,797.4,8835.2,1320.6,4004.8,6025.4,9362.3,6474.7,5985.3,3465.9,2505.4,3195.1,3307.7,1231.8,7811.8,6631.4,4615.0,3293.5,6508.3,6692.2,6875.6,2707.7,7749.5,3539.8,6254.2,2456.0,3672.3,3915.4,6615.2,0
