CSV,Olean,Cortland,Hudson,Saratoga Springs,Crown Point,Mount Vernon,Forest Hills,Lackawanna,Lake Placid,Ossining,Amsterdam,Rochester,Cohoes,Queens,Oneonta,Clinton,Elmira,Oswego,Saranac Lake,Batavia,Chautauqua,Massena,Buffalo,Seneca Falls,Tarrytown,Manhattan,Harlem,Rye,Scarsdale,Johnstown,Sag Harbor,Corning,Hammondsport,Poughkeepsie,Mamaroneck,Potsdam,Rensselaer,Rome,Brooklyn,East Hampton,Watervliet,West Seneca,Hyde Park,Lockport,New Windsor,Watkins Glen,Oneida,Ogdensburg,Troy
Amsterdam,1611.2,8254.4,7218.7,1748.2,4415.1,448.0,7939.9,5785.2,4787.7,6820.5,0,7351.1,954.8,8750.0,1343.0,1593.4,364.0,305.7,4067.4,5509.9,4368.8,6267.7,3853.6,9565.8,8413.6,7175.8,3837.6,1628.3,4468.6,4925.0,4076.5,2793.2,2771.8,6391.8,6420.8,3051.8,4505.2,9746.0,9613.7,4826.5,7427.7,1754.9,5485.5,2979.8,3565.8,4897.1,1238.7,2956.5,1615.7
Rochester,5718.1,9797.5,6141.6,7579.0,4212.0,1989.1,5675.4,730.3,7434.5,5924.1,7351.1,0,4302.8,19.1,7554.3,9725.1,6936.7,9765.8,9923.4,8344.4,9981.0,900.2,9063.8,4923.5,543.1,8421.5,5325.5,6373.0,2056.1,7192.1,5011.3,4983.9,4334.0,919.5,1519.6,8716.1,7206.9,8490.3,1225.5,4687.2,685.5,9515.6,1479.7,7531.2,7310.2,7166.0,2142.9,3326.9,2831.7
Cohoes,962.4,8929.7,6927.1,9120.4,2108.2,5104.6,2226.8,7732.5,4074.8,1778.9,954.8,4302.8,0,4012.6,2728.8,7742.8,1879.6,2264.6,9309.9,385.2,7710.1,6690.8,6505.8,35.3,8575.0,4602.0,3149.1,6816.0,4261.2,4613.4,4113.0,458.6,9312.0,4421.4,8037.5,5178.4,5754.0,1053.4,3665.9,3080.2,4633.3,1547.8,9543.2,4028.2,4170.7,1687.7,7580.2,5243.0,7699.2
Queens,7460.5,2306.7,2848.5,8412.4,8870.1,6487.1,271.0,812.6,5039.2,9148.6,8750.0,19.1,4012.6,0,625.7,6667.6,9732.7,3375.2,1771.0,317.7,1237.0,5245.4,3007.2,8471.4,924.3,393.0,7866.5,5562.0,6102.1,4376.4,872.2,5189.4,4168.4,8610.8,7217.8,4835.6,839.6,5282.3,4277.0,17.3,6358.0,452.6,2518.4,4951.3,6758.8,507.5,3842.9,5764.2,7346.8
Oneonta,5394.2,5969.4,5640.8,759.1,1218.0,7455.9,4007.3,1510.2,9436.7,3290.0,1343.0,7554.3,2728.8,625.7,0,8584.8,1253.4,8211.4,9305.0,9282.7,9797.8,8257.1,1839.8,2846.3,6270.4,2966.0,8511.2,7540.8,4149.2,4231.0,9853.3,3510.7,6846.6,2006.5,7947.0,9670.5,7565.0,1158.4,8457.2,375.0,602.6,5953.2,9983.5,557.8,1693.2,4039.4,7368.3,884.6,6238.2
Clinton,4831.9,2082.7,7950.5,4353.9,5299.0,4520.0,1817.9,7975.5,3404.3,5003.6,1593.4,9725.1,7742.8,6667.6,8584.8,0,552.9,3249.7,2014.1,7579.5,6789.6,9635.9,4390.6,5483.3,7592.9,1228.7,9197.8,2285.4,8214.0,3122.0,8868.5,3654.5,5719.0,885.7,7550.2,9260.3,3472.8,5250.4,406.8,3718.0,2040.8,8372.2,5952.3,8248.2,5386.4,5971.5,4921.9,2106.5,9013.8
Elmira,9406.2,4863.0,4497.9,2984.2,8355.7,8396.7,9162.2,8382.6,1656.2,3082.8,364.0,6936.7,1879.6,9732.7,1253.4,552.9,0,1101.1,3638.1,7848.2,3032.5,6672.6,8541.6,2887.5,2968.9,8597.3,2259.1,9682.4,8160.8,4959.2,4328.1,9281.8,785.4,8485.6,2816.7,4261.8,7413.6,4196.0,8227.8,6630.1,6237.4,8791.0,8245.4,6904.6,2524.6,6828.2,7690.5,8021.6,1884.6
Oswego,7897.4,602.2,2583.3,6318.3,8378.2,2562.2,7750.7,5823.1,7960.3,1610.1,305.7,9765.8,2264.6,3375.2,8211.4,3249.7,1101.1,0,7802.7,4479.7,6111.4,5879.8,2927.1,4201.2,4294.1,5748.4,8725.6,3388.7,9908.1,6251.9,7747.1,3121.0,7570.3,8884.4,8783.8,2173.2,9.1,6245.1,9895.2,2922.1,2962.4,4975.6,2731.2,2773.6,7887.5,7114.4,297.6,4231.3,277.6
Saranac Lake,1140.4,1359.5,9849.2,7735.5,6147.1,2115.9,216.5,4774.0,2202.7,1823.9,4067.4,9923.4,9309.9,1771.0,9305.0,2014.1,3638.1,7802.7,0,2805.3,7430.2,7761.3,835.7,642.8,3448.7,6900.1,290.9,2618.4,7508.4,6174.4,2992.1,4048.6,2319.9,8462.3,7847.8,5396.8,8444.1,3954.1,7403.8,3110.6,2067.2,6547.6,80.1,1121.8,3891.0,9464.9,267.3,4525.9,503.1
Batavia,4551.9,7193.7,3371.3,7147.5,3772.2,9115.4,9086.9,8518.6,1211.4,3986.4,5509.9,8344.4,385.2,317.7,9282.7,7579.5,7848.2,4479.7,2805.3,0,7055.5,7535.1,1738.1,7645.0,8433.5,4548.9,4172.0,220.9,7929.2,6423.1,2921.8,3375.9,9550.7,4305.8,562.5,9668.8,4886.5,3888.7,3339.1,51.6,2612.0,4718.7,6298.8,3163.5,959.5,6439.2,8589.2,1581.9,912.0
Chautauqua,8838.3,9587.2,8674.9,3984.9,8930.9,6075.1,2235.0,1866.0,153.4,3414.0,4368.8,9981.0,7710.1,1237.0,9797.8,6789.6,3032.5,6111.4,7430.2,7055.5,0,402.8,2788.7,3637.2,5084.2,2600.3,1451.4,5551.4,1774.3,7918.3,9273.2,7260.4,1209.7,9022.3,3858.0,6183.1,7999.8,8577.1,3672.9,1982.0,7072.9,9080.3,7189.6,6544.0,3394.5,1504.6,4718.9,9219.5,9810.4
Massena,5138.4,2049.2,7829.7,3574.3,4501.1,8902.1,5079.1,6154.3,258.6,9958.0,6267.7,900.2,6690.8,5245.4,8257.1,9635.9,6672.6,5879.8,7761.3,7535.1,402.8,0,4924.9,1483.2,9473.6,8166.7,6811.1,2091.8,3887.1,5354.0,8729.9,9766.6,4283.5,6191.3,5452.2,2800.7,867.2,8865.3,7916.6,5494.6,3830.5,2521.0,2000.8,666.4,3718.5,4128.5,2125.1,4425.2,1122.9
Buffalo,4492.0,3201.4,7654.7,6013.6,1691.6,1006.9,3760.0,4580.0,4258.4,5869.3,3853.6,9063.8,6505.8,3007.2,1839.8,4390.6,8541.6,2927.1,835.7,1738.1,2788.7,4924.9,0,4891.7,9287.7,5103.4,4676.3,2689.2,1565.3,8481.0,7389.0,2145.0,1352.0,7765.3,2577.6,3850.1,8555.4,5485.9,5777.5,902.1,5047.3,1157.6,1850.0,6348.3,1522.2,19.9,9333.9,9110.1,1616.2
Seneca Falls,9651.0,2841.3,7894.8,4776.6,3266.2,2125.8,6556.0,471.8,6780.7,5540.1,9565.8,4923.5,35.3,8471.4,2846.3,5483.3,2887.5,4201.2,642.8,7645.0,3637.2,1483.2,4891.7,0,7005.9,8408.5,5145.4,4104.2,5585.0,2200.3,7544.8,1320.1,5390.6,3869.7,1460.2,8532.4,5236.9,1629.0,2451.4,3080.4,5721.6,8628.6,1014.4,2645.7,99.1,4179.6,5756.5,6305.0,6987.7
Tarrytown,2034.8,3849.3,7984.7,2795.0,8666.5,6249.3,8140.5,1441.5,7737.5,2392.4,8413.6,543.1,8575.0,924.3,6270.4,7592.9,2968.9,4294.1,3448.7,8433.5,5084.2,9473.6,9287.7,7005.9,0,6583.4,5272.7,3186.5,4968.7,8976.6,7898.5,5402.5,9559.8,3653.0,371.0,9767.0,8796.2,6631.4,5870.8,8863.0,7430.9,9303.9,7174.0,2693.5,2649.8,7479.3,1077.6,2335.8,2156.1
Manhattan,2068.7,7440.1,5187.8,1808.7,395.4,8043.4,2970.9,7462.4,6121.8,1259.9,7175.8,8421.5,4602.0,393.0,2966.0,1228.7,8597.3,5748.4,6900.1,4548.9,2600.3,8166.7,5103.4,8408.5,6583.4,0,5499.6,3228.8,1401.2,8988.4,3834.6,9751.2,1420.3,8287.6,9392.2,5568.7,5556.0,7269.3,9947.3,7844.3,1803.5,7943.0,9810.9,5331.9,3767.1,5786.6,2183.4,7157.1,9075.7
Harlem,3501.7,1757.0,4247.6,144.4,4866.0,1875.7,4548.8,9100.6,8792.5,5372.1,3837.6,5325.5,3149.1,7866.5,8511.2,9197.8,2259.1,8725.6,290.9,4172.0,1451.4,6811.1,4676.3,5145.4,5272.7,5499.6,0,3269.0,6760.9,696.5,9061.9,7677.6,7820.3,1741.1,9604.3,5752.4,5606.7,3115.5,5983.9,6930.5,3317.7,1882.7,8382.2,1873.8,6387.8,2412.5,4321.5,7657.8,7155.7
Rye,9687.4,2247.7,8776.6,7962.7,7784.5,1465.1,890.2,5468.4,779.2,8292.1,1628.3,6373.0,6816.0,5562.0,7540.8,2285.4,9682.4,3388.7,2618.4,220.9,5551.4,2091.8,2689.2,4104.2,3186.5,3228.8,3269.0,0,3811.8,6889.2,5774.2,6429.4,6095.4,7636.9,7609.9,4798.2,4308.5,7633.6,4506.9,8743.1,6495.1,5395.1,3333.8,5796.2,3011.0,8122.1,3227.5,1142.1,9876.9
Scarsdale,9105.8,8341.2,8254.2,8090.3,2802.8,3419.9,8127.7,3228.3,6632.3,7975.9,4468.6,2056.1,4261.2,6102.1,4149.2,8214.0,8160.8,9908.1,7508.4,7929.2,1774.3,3887.1,1565.3,5585.0,4968.7,1401.2,6760.9,3811.8,0,4107.8,3601.4,4219.3,9570.5,2844.7,4272.5,3862.2,4478.7,1351.5,1896.5,367.7,4191.1,7367.9,6016.3,8531.4,7279.8,1563.8,9410.1,1756.9,4253.3
Johnstown,760.4,3448.8,3262.6,5546.9,3766.7,582.9,1954.8,2889.6,8651.6,1473.0,4925.0,7192.1,4613.4,4376.4,4231.0,3122.0,4959.2,6251.9,6174.4,6423.1,7918.3,5354.0,8481.0,2200.3,8976.6,8988.4,696.5,6889.2,4107.8,0,2948.3,548.4,4653.6,6193.8,6278.1,1527.9,6112.3,915.7,4931.0,6230.8,5575.1,6282.7,8238.6,7193.0,8568.8,563.8,5936.4,5734.5,9343.2
Sag Harbor,2141.1,5992.5,6459.6,2256.5,2621.4,5998.6,6342.7,9575.9,5843.0,604.3,4076.5,5011.3,4113.0,872.2,9853.3,8868.5,4328.1,7747.1,2992.1,2921.8,9273.2,8729.9,7389.0,7544.8,7898.5,3834.6,9061.9,5774.2,3601.4,2948.3,0,9791.9,1769.9,7160.1,203.1,1149.1,7904.8,3764.9,1487.1,1574.4,5660.3,4437.9,2827.2,3554.4,2962.7,166.1,7481.0,1842.7,3265.2
Corning,975.1,9839.8,1602.4,6361.8,1398.3,3615.6,3640.7,2882.8,9789.6,4196.4,2793.2,4983.9,458.6,5189.4,3510.7,3654.5,9281.8,3121.0,4048.6,3375.9,7260.4,9766.6,2145.0,1320.1,5402.5,9751.2,7677.6,6429.4,4219.3,548.4,9791.9,0,5399.5,6748.4,9817.0,8527.6,32.9,6708.6,901.5,7657.7,2374.1,5376.7,1084.6,2685.6,9667.0,7434.6,9409.7,4805.3,9505.1
Hammondsport,2762.8,6029.6,6177.3,4020.2,4252.4,8814.4,2604.4,2474.1,9122.1,8907.7,2771.8,4334.0,9312.0,4168.4,6846.6,5719.0,785.4,7570.3,2319.9,9550.7,1209.7,4283.5,1352.0,5390.6,9559.8,1420.3,7820.3,6095.4,9570.5,4653.6,1769.9,5399.5,0,5138.6,8499.5,5468.9,1989.7,8133.8,9071.7,295.0,2128.0,1653.8,2455.3,6098.8,3019.3,4223.2,9030.1,5575.9,5804.9
Poughkeepsie,7376.3,4554.7,3293.9,6055.5,472.1,5101.1,1030.2,7450.1,2221.9,1261.2,6391.8,919.5,4421.4,8610.8,2006.5,885.7,8485.6,8884.4,8462.3,4305.8,9022.3,6191.3,7765.3,3869.7,3653.0,8287.6,1741.1,7636.9,2844.7,6193.8,7160.1,6748.4,5138.6,0,7545.9,6453.6,240.9,8613.1,3355.6,8464.3,4040.3,1368.9,1825.7,4101.8,1476.2,837.7,1806.7,1693.9,802.4
Mamaroneck,8088.4,2710.4,6354.4,4009.6,7586.4,8854.9,8623.1,9082.3,7550.9,3038.9,6420.8,1519.6,8037.5,7217.8,7947.0,7550.2,2816.7,8783.8,7847.8,562.5,3858.0,5452.2,2577.6,1460.2,371.0,9392.2,9604.3,7609.9,4272.5,6278.1,203.1,9817.0,8499.5,7545.9,0,632.0,4656.5,2457.3,8485.1,9214.2,8348.1,7610.8,1394.4,4617.4,8909.2,4714.8,8638.6,836.8,4026.0
Potsdam,5678.4,7182.8,2044.1,5926.8,6878.5,6540.6,984.8,3419.2,8921.5,3182.4,3051.8,8716.1,5178.4,4835.6,9670.5,9260.3,4261.8,2173.2,5396.8,9668.8,6183.1,2800.7,3850.1,8532.4,9767.0,5568.7,5752.4,4798.2,3862.2,1527.9,1149.1,8527.6,5468.9,6453.6,632.0,0,5980.3,2050.4,2044.8,6168.5,1196.2,7387.5,7978.5,5623.7,2154.6,9552.6,1443.4,9255.0,6219.8
Rensselaer,6224.4,1808.8,1917.4,7742.5,2789.3,374.7,5971.6,4158.8,9688.8,4630.7,4505.2,7206.9,5754.0,839.6,7565.0,3472.8,7413.6,9.1,8444.1,4886.5,7999.8,867.2,8555.4,5236.9,8796.2,5556.0,5606.7,4308.5,4478.7,6112.3,7904.8,32.9,1989.7,240.9,4656.5,5980.3,0,3246.3,1476.8,4861.6,5942.1,7543.9,1269.0,9784.6,8154.1,7918.4,344.0,4249.7,7254.6
Rome,7290.7,2878.6,5231.0,8651.5,7535.4,3000.2,8531.9,6484.7,4604.6,2602.5,9746.0,8490.3,1053.4,5282.3,1158.4,5250.4,4196.0,6245.1,3954.1,3888.7,8577.1,8865.3,5485.9,1629.0,6631.4,7269.3,3115.5,7633.6,1351.5,915.7,3764.9,6708.6,8133.8,8613.1,2457.3,2050.4,3246.3,0,6046.2,4978.3,8738.4,6249.8,4431.5,6313.8,9186.0,5982.5,250.0,1139.5,2854.7
Brooklyn,880.7,4414.4,4271.8,4339.1,9339.9,8512.7,4187.1,7090.6,487.3,2587.8,9613.7,1225.5,3665.9,4277.0,8457.2,406.8,8227.8,9895.2,7403.8,3339.1,3672.9,7916.6,5777.5,2451.4,5870.8,9947.3,5983.9,4506.9,1896.5,4931.0,1487.1,901.5,9071.7,3355.6,8485.1,2044.8,1476.8,6046.2,0,8102.9,8415.0,3879.6,8108.9,3156.8,5081.1,9364.2,2490.0,9628.9,6530.3
East Hampton,9419.3,8443.9,8738.6,512.5,4442.3,781.0,4556.7,2818.0,8734.2,9196.6,4826.5,4687.2,3080.2,17.3,375.0,3718.0,6630.1,2922.1,3110.6,51.6,1982.0,5494.6,902.1,3080.4,8863.0,7844.3,6930.5,8743.1,367.7,6230.8,1574.4,7657.7,295.0,8464.3,9214.2,6168.5,4861.6,4978.3,8102.9,0,9727.2,1261.1,1030.8,2347.3,2326.3,3538.0,9515.3,1372.5,7405.7
Watervliet,3124.0,5459.6,2628.1,8568.3,419.4,7336.7,1058.6,8727.9,5974.9,7026.0,7427.7,685.5,4633.3,6358.0,602.6,2040.8,6237.4,2962.4,2067.2,2612.0,7072.9,3830.5,5047.3,5721.6,7430.9,1803.5,3317.7,6495.1,4191.1,5575.1,5660.3,2374.1,2128.0,4040.3,8348.1,1196.2,5942.1,8738.4,8415.0,9727.2,0,9304.0,921.6,9674.6,4816.2,1342.6,8013.2,9690.2,7542.0
West Seneca,4150.2,1577.8,1379.5,1089.1,9454.9,1665.9,234.9,4913.1,1907.9,7686.8,1754.9,9515.6,1547.8,452.6,5953.2,8372.2,8791.0,4975.6,6547.6,4718.7,9080.3,2521.0,1157.6,8628.6,9303.9,7943.0,1882.7,5395.1,7367.9,6282.7,4437.9,5376.7,1653.8,1368.9,7610.8,7387.5,7543.9,6249.8,3879.6,1261.1,9304.0,0,5680.9,4281.0,5259.8,3124.2,8427.4,8876.4,3152.7
Hyde Park,8041.3,6145.6,888.9,8877.7,3407.3,2356.4,8704.4,8613.3,2423.1,8850.5,5485.5,1479.7,9543.2,2518.4,9983.5,5952.3,8245.4,2731.2,80.1,6298.8,7189.6,2000.8,1850.0,1014.4,7174.0,9810.9,8382.2,3333.8,6016.3,8238.6,2827.2,1084.6,2455.3,1825.7,1394.4,7978.5,1269.0,4431.5,8108.9,1030.8,921.6,5680.9,0,166.3,4729.6,8728.3,7933.7,1054.4,6159.9
Lockport,3749.2,1315.0,4976.0,3053.7,5447.9,8633.4,8697.0,9439.2,1048.9,476.3,2979.8,7531.2,4028.2,4951.3,557.8,8248.2,6904.6,2773.6,1121.8,3163.5,6544.0,666.4,6348.3,2645.7,2693.5,5331.9,1873.8,5796.2,8531.4,7193.0,3554.4,2685.6,6098.8,4101.8,4617.4,5623.7,9784.6,6313.8,3156.8,2347.3,9674.6,4281.0,166.3,0,5477.0,756.0,1464.1,1646.3,9202.1
New Windsor,4120.5,319.8,9046.1,4929.5,4418.5,2697.6,1218.3,1013.4,8325.9,1031.5,3565.8,7310.2,4170.7,6758.8,1693.2,5386.4,2524.6,7887.5,3891.0,959.5,3394.5,3718.5,1522.2,99.1,2649.8,3767.1,6387.8,3011.0,7279.8,8568.8,2962.7,9667.0,3019.3,1476.2,8909.2,2154.6,8154.1,9186.0,5081.1,2326.3,4816.2,5259.8,4729.6,5477.0,0,4141.8,2907.6,6521.2,6304.4
Watkins Glen,8920.8,9049.8,9525.0,391.4,6770.2,8962.1,349.9,832.5,7092.9,7549.9,4897.1,7166.0,1687.7,507.5,4039.4,5971.5,6828.2,7114.4,9464.9,6439.2,1504.6,4128.5,19.9,4179.6,7479.3,5786.6,2412.5,8122.1,1563.8,563.8,166.1,7434.6,4223.2,837.7,4714.8,9552.6,7918.4,5982.5,9364.2,3538.0,1342.6,3124.2,8728.3,756.0,4141.8,0,1146.0,5483.1,884.2
Oneida,8903.1,6164.3,90.7,1621.5,232.6,4260.2,988.0,2120.5,789.7,369.0,1238.7,2142.9,7580.2,3842.9,7368.3,4921.9,7690.5,297.6,267.3,8589.2,4718.9,2125.1,9333.9,5756.5,1077.6,2183.4,4321.5,3227.5,9410.1,5936.4,7481.0,9409.7,9030.1,1806.7,8638.6,1443.4,344.0,250.0,2490.0,9515.3,8013.2,8427.4,7933.7,1464.1,2907.6,1146.0,0,9447.5,7491.3
Ogdensburg,6096.6,7456.0,9593.3,8393.8,3846.6,8077.4,4179.9,6103.7,5188.5,3206.9,2956.5,3326.9,5243.0,5764.2,884.6,2106.5,8021.6,4231.3,4525.9,1581.9,9219.5,4425.2,9110.1,6305.0,2335.8,7157.1,7657.8,1142.1,1756.9,5734.5,1842.7,4805.3,5575.9,1693.9,836.8,9255.0,4249.7,1139.5,9628.9,1372.5,9690.2,8876.4,1054.4,1646.3,6521.2,5483.1,9447.5,0,4509.0
Troy,5429.5,2289.0,8432.8,27.9,3583.1,9820.4,2154.7,9139.1,5375.0,1502.4,1615.7,2831.7,7699.2,7346.8,6238.2,9013.8,1884.6,277.6,503.1,912.0,9810.4,1122.9,1616.2,6987.7,2156.1,9075.7,7155.7,9876.9,4253.3,9343.2,3265.2,9505.1,5804.9,802.4,4026.0,6219.8,7254.6,2854.7,6530.3,7405.7,7542.0,3152.7,6159.9,9202.1,6304.4,884.2,7491.3,4509.0,0
