CSV,Johnstown,Elmira,Stony Point,Buffalo,New Rochelle,Ticonderoga,Flushing,Saratoga Springs,Levittown,Sag Harbor,Potsdam,Bedford,East Aurora,Staten Island,White Plains,Queens,Syracuse,Jamestown,Rochester,Corning,Harlem,Crown Point,Scarsdale,Hudson,Rensselaer,Manhattan,Ossining,Oneonta,Bronx,Brooklyn,Coney Island,Ilion,Albany,Niagara Falls,Gloversville,Ogdensburg,Plattsburgh,Fredonia,Watertown,Great Neck,Mineola,North Hempstead,Herkimer,Cheektowaga,Beacon,Saranac Lake,Woodstock,Stony Brook,New Windsor,Cortland
Brooklyn,9399.7,1668.2,8411.8,5876.2,8677.1,3253.1,4851.2,7043.2,784.7,5279.7,8945.9,4834.0,3778.5,8979.4,4393.2,871.3,9120.2,8745.4,868.2,9385.2,8184.4,9497.8,7759.7,5105.7,1974.8,1389.4,2741.3,4137.9,393.6,0,515.0,9192.5,2905.9,7111.0,781.6,3778.1,7065.4,3847.6,9445.6,2092.6,6974.9,2138.9,6726.3,9442.4,1868.1,4439.7,3783.3,3152.6,4721.4,7721.1
Coney Island,4046.8,8135.6,248.9,210.7,4672.1,4668.2,6919.1,4015.3,214.5,1582.0,7111.6,6010.8,507.4,8754.5,8335.7,5747.7,4165.0,4404.7,4970.3,4149.8,158.3,4250.5,532.1,6510.0,9152.9,9545.8,9547.5,3550.7,2430.3,515.0,0,6919.9,2106.9,6137.6,3132.1,1939.8,4134.6,5809.3,8976.1,7215.1,115.7,4858.6,2708.1,1015.7,887.3,5530.6,6586.5,4614.8,6686.8,6946.6
Ilion,493.2,6320.7,9925.4,5115.8,2207.7,3858.4,4034.3,6578.2,5552.7,1660.8,8942.6,2808.8,3180.9,4042.4,4670.8,2450.3,2265.9,277.0,4213.1,4995.5,4323.6,8129.1,5781.7,8987.5,9791.0,3329.6,7624.8,9765.4,2517.1,9192.5,6919.9,0,3013.7,4273.3,3564.6,7743.3,4005.1,7169.4,7033.8,1858.1,741.3,6203.2,85.2,7829.6,4493.0,7044.0,5015.4,6990.6,7184.9,9990.8
Albany,8672.5,1455.9,4865.8,7947.5,438.7,9532.4,4848.7,4265.1,8816.4,1503.3,6844.4,7030.3,3697.3,2922.8,700.3,173.6,6343.3,920.3,5168.9,7349.7,3392.0,7033.4,2489.9,2660.0,141.2,3096.3,1918.5,8254.8,5411.6,2905.9,2106.9,3013.7,0,6786.6,2052.4,9097.3,824.5,558.7,5496.6,3321.2,5621.6,486.2,6972.6,9041.6,6937.2,1151.5,7708.8,1384.2,1487.0,3817.9
Niagara Falls,350.6,8115.1,1411.8,8688.0,5339.4,1779.4,7253.1,39.8,4157.7,1861.2,5823.7,351.8,2463.5,1353.1,8505.3,2532.6,7609.5,4281.1,1948.8,9201.3,6472.6,9209.2,5126.3,4268.0,2419.7,9064.7,4892.0,9774.4,8763.5,7111.0,6137.6,4273.3,6786.6,0,8934.8,1461.4,4857.7,4889.1,7980.9,1089.1,6898.7,4535.0,2909.2,3074.6,9805.8,3351.3,7454.9,1823.0,6814.0,8180.5
Gloversville,6191.4,6620.9,6150.2,3155.8,7365.9,6165.5,9999.9,488.4,3140.9,4942.8,1170.0,9039.6,640.2,3288.5,9419.5,9349.7,5716.0,3011.6,5498.7,9177.6,7716.7,7272.6,6360.9,9140.9,4987.3,7832.5,2534.7,1880.9,2416.0,781.6,3132.1,3564.6,2052.4,8934.8,0,1655.8,9131.5,9364.0,6134.7,4849.3,904.9,7825.8,1645.2,6117.0,9009.5,18.0,5048.0,2817.4,712.7,9967.9
Ogdensburg,2608.2,8135.3,9719.9,2262.0,5698.9,6838.9,9759.8,451.2,1967.7,7220.1,8227.4,2877.9,9748.7,1602.9,7340.8,1969.4,8449.0,2087.9,7091.4,6346.3,9225.7,1006.0,1278.2,1364.2,8966.4,3242.0,8710.2,7707.4,4314.1,3778.1,1939.8,7743.3,9097.3,1461.4,1655.8,0,8736.0,3638.2,3059.1,4548.1,393.2,3888.1,4650.1,8611.8,2271.8,5151.1,1685.1,4281.5,3325.8,3265.6
Plattsburgh,3527.4,3291.4,3385.3,369.6,862.9,4889.6,933.0,2806.8,9784.2,9687.5,1516.1,3445.1,1631.2,2976.2,4526.6,5265.6,9440.7,200.9,8610.2,3612.5,1584.5,5132.4,7863.3,8359.0,3339.2,7052.5,2207.8,8395.3,114.3,7065.4,4134.6,4005.1,824.5,4857.7,9131.5,8736.0,0,4769.8,4516.4,5997.6,7566.8,7106.4,1615.0,6607.1,3320.3,1277.3,587.1,4040.1,5175.6,962.5
Fredonia,3911.2,1396.8,9667.4,4389.4,6998.4,4649.2,9482.6,2611.2,5824.7,1229.7,5566.4,7802.8,7358.2,8246.3,1661.5,9573.2,9266.3,1300.6,4484.4,8547.0,4313.1,6540.8,1520.5,4070.9,7017.7,6168.0,818.8,4019.3,6672.1,3847.6,5809.3,7169.4,558.7,4889.1,9364.0,3638.2,4769.8,0,9575.5,595.6,9180.9,2615.5,2129.9,5462.6,4828.4,9957.7,5918.9,794.8,2627.9,3224.4
Watertown,812.8,1359.9,7894.4,2169.6,90.3,8255.8,3556.3,3205.6,2251.6,7028.5,1087.2,4081.7,3311.7,3407.0,5839.0,8144.9,7505.3,5402.8,2143.3,5445.4,6538.8,242.8,5523.0,364.3,7681.0,1803.8,326.0,2623.6,7554.2,9445.6,8976.1,7033.8,5496.6,7980.9,6134.7,3059.1,4516.4,9575.5,0,8132.9,6660.2,3431.0,8705.2,1047.7,3648.0,7846.8,8008.0,3942.1,2658.7,6597.1
Great Neck,9575.2,1392.5,6101.2,8691.3,9191.7,4162.4,7744.1,7734.5,9565.1,1709.0,6582.5,118.0,9981.4,3968.3,4309.7,2964.5,5308.6,426.1,4437.1,2029.3,8721.4,2585.9,9027.2,4583.1,1739.9,1616.9,6713.6,7015.5,2922.1,2092.6,7215.1,1858.1,3321.2,1089.1,4849.3,4548.1,5997.6,595.6,8132.9,0,9258.4,3755.2,106.9,8263.4,575.0,4414.1,1394.1,6611.4,684.5,2283.2
Mineola,2969.3,3530.1,7855.4,5532.1,3074.5,1953.6,8429.5,9411.6,6046.4,2028.4,7651.1,8210.7,8640.0,3879.9,9192.4,3949.9,7408.7,8133.8,7281.2,8523.9,5380.9,190.7,8884.0,7931.5,103.1,6231.7,2381.0,7352.8,4958.0,6974.9,115.7,741.3,5621.6,6898.7,904.9,393.2,7566.8,9180.9,6660.2,9258.4,0,8374.7,6765.2,1922.8,166.8,5420.4,6421.6,9318.6,1579.1,2884.9
North Hempstead,8221.9,778.3,8222.4,1564.5,5366.1,3863.8,8438.6,9351.6,3332.5,493.4,328.5,7129.7,6317.8,2776.3,690.5,171.3,4761.8,5479.1,7199.7,7585.4,4347.4,7654.9,717.3,1602.8,2764.4,2604.0,8586.2,4589.4,7422.6,2138.9,4858.6,6203.2,486.2,4535.0,7825.8,3888.1,7106.4,2615.5,3431.0,3755.2,8374.7,0,256.4,7135.7,7566.4,8574.2,594.2,3843.7,1237.2,4893.0
Herkimer,7887.4,3066.4,5428.8,3114.2,7537.8,5545.2,323.5,4523.6,6268.5,4363.3,9830.6,732.1,9374.6,4675.1,7945.1,1050.3,2580.7,9219.4,9889.5,4636.8,221.0,134.5,7614.9,3539.5,5964.6,8901.2,140.2,4352.9,1347.2,6726.3,2708.1,85.2,6972.6,2909.2,1645.2,4650.1,1615.0,2129.9,8705.2,106.9,6765.2,256.4,0,9142.4,160.1,6720.5,3859.7,3086.4,3475.4,9427.2
Cheektowaga,7021.9,5119.9,7186.8,4732.5,482.9,3410.2,6103.8,845.3,9589.3,3334.5,142.7,352.6,6313.3,671.1,2746.3,9185.5,2228.0,7595.2,4553.3,7311.1,385.3,8532.9,1967.5,1968.7,1706.5,9676.8,787.5,8838.0,5775.0,9442.4,1015.7,7829.6,9041.6,3074.6,6117.0,8611.8,6607.1,5462.6,1047.7,8263.4,1922.8,7135.7,9142.4,0,1726.0,7101.6,3379.9,281.1,2040.0,3160.5
Beacon,9950.0,6679.7,3765.5,1657.3,7056.1,8950.8,9631.5,2869.3,9965.4,7533.4,5336.2,5380.7,4848.9,1832.0,1150.5,4071.8,9009.0,3311.5,3438.4,2988.5,5102.1,8140.8,8493.6,7522.2,2516.0,1933.4,5290.7,3714.6,5869.2,1868.1,887.3,4493.0,6937.2,9805.8,9009.5,2271.8,3320.3,4828.4,3648.0,575.0,166.8,7566.4,160.1,1726.0,0,1965.2,3588.7,9837.5,1199.0,162.3
Saranac Lake,4280.5,2359.6,7598.2,9438.3,4717.9,35.9,7803.2,3141.1,9175.5,6516.1,9505.4,1794.0,8054.8,9405.1,8854.5,1673.7,2436.6,593.2,5878.4,6014.7,6202.5,4529.8,3010.2,9699.2,898.7,1117.7,5543.6,4618.4,9295.1,4439.7,5530.6,7044.0,1151.5,3351.3,18.0,5151.1,1277.3,9957.7,7846.8,4414.1,5420.4,8574.2,6720.5,7101.6,1965.2,0,7010.4,3741.8,7507.7,9305.0
Woodstock,1975.4,1056.6,9362.7,2743.7,2133.4,9332.0,8521.9,5230.6,346.0,8380.9,9073.0,9520.2,4235.7,9443.0,7511.0,4311.8,1917.5,7236.3,9446.4,9810.2,5295.7,6149.0,7580.8,4158.8,8850.0,4297.9,8440.9,1723.4,3640.6,3783.3,6586.5,5015.4,7708.8,7454.9,5048.0,1685.1,587.1,5918.9,8008.0,1394.1,6421.6,594.2,3859.7,3379.9,3588.7,7010.4,0,9780.6,9292.4,2077.9
Stony Brook,2319.9,3755.6,4712.0,1643.8,5441.9,7924.6,409.2,5096.2,3445.3,7911.3,4388.6,163.5,3334.8,6125.8,4865.6,7067.2,8072.2,3299.1,7480.1,2198.8,9377.3,3233.1,7893.6,1113.6,4199.3,7875.5,8421.0,9869.7,6849.5,3152.6,4614.8,6990.6,1384.2,1823.0,2817.4,4281.5,4040.1,794.8,3942.1,6611.4,9318.6,3843.7,3086.4,281.1,9837.5,3741.8,9780.6,0,7609.2,8443.4
New Windsor,8451.7,706.8,5236.2,1280.4,5131.2,5085.8,5397.7,7101.1,4914.4,1002.4,6790.1,2055.5,5025.2,8179.9,5430.5,1783.5,9675.4,677.3,8793.7,7850.8,5215.2,5074.1,6771.9,4149.0,7439.7,4441.1,520.2,6258.3,5247.3,4721.4,6686.8,7184.9,1487.0,6814.0,712.7,3325.8,5175.6,2627.9,2658.7,684.5,1579.1,1237.2,3475.4,2040.0,1199.0,7507.7,9292.4,7609.2,0,9009.9
Cortland,4427.0,9618.6,1224.1,6733.5,5722.3,7922.5,1342.8,2669.3,7338.8,7343.9,6254.0,7851.7,6254.1,1913.1,8418.4,2784.3,5859.7,821.5,2461.6,7760.6,2771.6,1212.3,7463.0,2496.1,7497.6,2399.5,2781.7,4995.4,4603.8,7721.1,6946.6,9990.8,3817.9,8180.5,9967.9,3265.6,962.5,3224.4,6597.1,2283.2,2884.9,4893.0,9427.2,3160.5,162.3,9305.0,2077.9,8443.4,9009.9,0
