CSV,Hammondsport,New Windsor,Seneca Falls,Rochester,Sag Harbor,Schenectady,Oneida,Port Washington,Niagara Falls,Tonawanda,Kingston,Corning,Oswego,Lake Placid,Mamaroneck,Southampton,Beacon,Queens,Palmyra,Glens Falls,Watkins Glen,Garden City,Batavia,Hudson,Potsdam,Clinton,Scarsdale,Forest Hills,Levittown,Great Neck,Yonkers,Manhattan,Mount Vernon,Binghamton,Rensselaer,Middletown,Stony Point,Crown Point,Hempstead,Elmira,Mineola,Babylon,Stony Brook,Herkimer,Chautauqua,New York City,Saratoga Springs,Poughkeepsie,White Plains,Syracuse
Kingston,6419.0,8954.6,951.9,1949.3,3081.3,7789.6,2840.4,9223.5,2139.2,6713.2,0,9787.4,3753.5,3774.6,6268.9,7800.0,6398.0,9271.8,355.9,6238.0,1407.5,2681.2,9030.4,8070.8,854.5,5042.3,45.2,9389.5,5886.4,3306.7,6625.6,1933.5,6242.0,7105.8,29.0,7244.3,9129.0,6066.5,5791.3,7550.9,5265.5,5539.1,9735.4,2633.1,4345.3,4713.0,3756.3,4959.6,3707.1,7731.4
Corning,7237.8,5545.6,4981.0,2101.3,7406.7,5948.5,2351.1,5321.3,9648.4,3910.3,9787.4,0,7556.4,3482.5,2279.6,3695.9,1437.3,6675.8,6933.3,9879.1,1414.7,9690.5,230.1,2214.3,9770.3,5438.4,5010.8,9365.5,8338.3,935.0,603.7,3757.9,4766.8,2321.4,5869.2,648.6,5650.1,4357.1,8036.4,3906.0,9851.3,9313.6,2290.0,9191.4,165.2,7253.2,2468.0,1763.1,5457.7,4021.6
Oswego,3508.0,6340.0,8675.4,7679.3,4909.2,3679.0,7613.8,6339.5,6445.9,132.5,3753.5,7556.4,0,5937.5,8473.2,1363.2,3084.4,5309.1,6113.4,8015.6,4155.0,7394.8,2471.5,2332.2,2563.0,6138.0,2962.0,1481.7,5770.4,4232.6,6368.4,1723.2,973.0,9041.6,8391.7,1798.3,5718.7,5421.3,4683.1,7023.2,3858.0,9650.8,538.5,428.3,6647.0,7298.2,5753.3,43.6,293.6,2735.9
Lake Placid,8301.9,1008.8,5283.6,6890.9,932.7,4897.6,9326.5,7021.0,4096.2,8790.9,3774.6,3482.5,5937.5,0,9027.2,5065.1,9561.6,5212.7,3746.1,7815.0,9794.5,5690.4,2706.9,1559.0,8124.3,8403.8,3309.4,8592.5,6464.3,1102.6,1126.9,4261.9,5935.7,5879.9,2175.2,1659.4,2450.1,2129.2,3592.0,2955.9,9822.0,2762.0,6986.8,294.7,9947.7,7662.1,3427.1,1402.7,8047.7,8094.3
Mamaroneck,6651.1,6828.8,5297.5,6846.7,4462.9,8453.4,7497.2,2193.1,2736.1,7723.3,6268.9,2279.6,8473.2,9027.2,0,3115.6,6283.3,9617.9,5965.0,5726.8,2918.2,5606.0,8638.4,7521.7,1079.2,582.3,8745.6,1668.9,2341.6,6247.2,9512.1,8207.0,3104.9,5945.4,5763.6,9165.9,6835.9,2347.1,3607.5,2984.2,4141.3,9649.2,4274.5,1163.5,7474.1,2788.4,5423.7,507.1,4157.4,9757.8
Southampton,1732.9,8997.9,6235.3,2356.8,2164.8,8026.7,3724.4,3119.1,7230.7,7715.4,7800.0,3695.9,1363.2,5065.1,3115.6,0,3675.5,1733.2,5286.4,8362.1,8797.9,690.6,719.6,1256.8,6959.5,6410.1,5371.2,1176.4,3178.0,6123.8,3651.8,5663.1,6897.8,5034.5,2461.8,7769.7,2757.3,2524.2,3001.3,4793.7,6483.0,9226.2,6473.0,89.7,6381.7,9828.0,7642.7,9207.1,5105.9,6142.5
Beacon,3082.4,8072.9,9803.3,9410.2,7837.2,798.4,5765.5,8260.2,212.4,3851.5,6398.0,1437.3,3084.4,9561.6,6283.3,3675.5,0,5543.8,5958.6,4791.3,5023.9,6534.2,409.4,7957.3,1593.2,2616.3,3258.6,3322.6,2066.4,5191.2,5152.4,7348.8,6309.2,4914.8,3367.8,5417.6,2038.8,9280.0,1244.3,8134.5,2370.7,4162.4,9612.3,372.5,3142.1,1137.6,6588.8,8563.0,4406.2,1248.3
Queens,2764.0,400.1,8515.0,6506.1,7417.5,6200.5,7358.5,1446.7,971.4,8912.3,9271.8,6675.8,5309.1,5212.7,9617.9,1733.2,5543.8,0,650.0,595.6,336.7,3478.5,5629.3,4597.1,5666.0,3710.7,7062.6,2937.3,7994.8,1438.6,4602.1,7398.6,2251.3,5670.4,7046.8,4411.9,8078.2,5434.6,1964.2,3912.8,8124.9,4360.7,6648.7,6261.8,8380.0,4810.0,4974.8,8721.4,5389.5,5288.2
Palmyra,299.2,5609.4,9754.1,4034.9,7235.4,8469.3,664.3,9182.9,6506.3,1005.5,355.9,6933.3,6113.4,3746.1,5965.0,5286.4,5958.6,650.0,0,2495.6,7142.5,6591.0,2627.1,228.1,7890.5,2213.1,984.4,741.3,4490.4,5345.1,8509.6,9762.8,1472.5,1158.1,2342.6,7711.2,174.7,8276.7,5407.4,2105.4,803.1,2044.5,1972.3,8397.8,7481.7,3670.3,3174.9,4093.1,9689.2,4432.4
Glens Falls,5940.3,9662.6,7172.7,1143.9,3787.8,8066.7,462.9,1345.9,9298.3,6841.3,6238.0,9879.1,8015.6,7815.0,5726.8,8362.1,4791.3,595.6,2495.6,0,5252.4,3348.5,2211.0,8288.7,3639.4,9184.4,3461.0,9219.0,6756.5,8210.0,2004.0,7132.5,3407.5,3329.4,3383.5,5038.4,3751.3,5655.9,6326.9,303.3,8844.9,6832.4,6423.2,4692.6,9671.5,5162.2,7367.5,182.4,385.1,6867.9
Watkins Glen,176.6,9101.2,1361.1,592.5,9640.6,8432.0,2694.8,726.6,883.9,2637.1,1407.5,1414.7,4155.0,9794.5,2918.2,8797.9,5023.9,336.7,7142.5,5252.4,0,2697.5,4459.2,8908.8,5227.8,6068.9,3158.0,8465.3,7185.0,3362.2,1707.7,436.6,6506.4,9409.9,8588.1,7324.2,4558.3,8904.3,4611.1,1591.0,9879.6,8066.5,2226.8,2177.0,8225.3,1858.9,8217.3,2255.9,2748.4,6007.4
Garden City,5926.7,2525.5,184.1,6336.1,1713.2,162.1,3487.6,8078.6,9415.9,1793.3,2681.2,9690.5,7394.8,5690.4,5606.0,690.6,6534.2,3478.5,6591.0,3348.5,2697.5,0,5986.9,3382.0,103.2,3492.6,112.5,8290.9,243.7,3022.4,4078.4,318.6,7515.3,5139.8,1048.0,3870.8,782.1,8904.2,5932.0,4660.5,5064.8,3274.9,1620.8,9411.9,5057.2,7716.9,1179.0,8600.1,6553.5,6042.1
Batavia,9411.6,4143.9,6752.8,1029.6,5775.5,8981.0,6020.4,8087.6,7661.0,1277.1,9030.4,230.1,2471.5,2706.9,8638.4,719.6,409.4,5629.3,2627.1,2211.0,4459.2,5986.9,0,2819.0,2828.3,5336.6,2230.9,6713.4,3658.8,5845.9,2070.5,2995.0,7869.9,3279.4,5300.4,2282.9,6196.5,6617.2,4645.5,420.6,436.9,954.7,3564.1,8190.8,288.3,6237.9,1914.7,406.4,756.7,50.2
Hudson,727.5,5034.1,519.4,5136.3,8550.7,1739.8,475.7,7183.3,5759.3,4607.0,8070.8,2214.3,2332.2,1559.0,7521.7,1256.8,7957.3,4597.1,228.1,8288.7,8908.8,3382.0,2819.0,0,4405.3,6340.3,1563.6,5810.3,9181.7,4747.1,7974.5,8610.2,7794.6,4755.6,5615.1,8317.6,4696.7,1378.7,7554.1,5725.7,4117.2,7187.3,5311.9,7428.4,5539.4,7569.8,3707.6,1930.6,6191.9,886.7
Potsdam,1996.0,5138.0,2166.8,1503.8,1624.6,7263.1,9052.5,1490.5,8519.7,9820.2,854.5,9770.3,2563.0,8124.3,1079.2,6959.5,1593.2,5666.0,7890.5,3639.4,5227.8,103.2,2828.3,4405.3,0,2050.6,2481.6,2741.7,6470.5,751.9,4901.6,6363.5,6299.3,3290.9,4862.7,9442.7,5497.1,6788.8,6137.9,5369.9,6807.6,1023.8,5057.9,9234.7,4566.1,5024.8,6.7,6544.2,8965.6,3971.1
Clinton,4009.1,8188.3,5469.0,3243.5,5896.4,2596.8,1044.5,3644.2,8779.3,9674.8,5042.3,5438.4,6138.0,8403.8,582.3,6410.1,2616.3,3710.7,2213.1,9184.4,6068.9,3492.6,5336.6,6340.3,2050.6,0,750.3,5744.8,5264.8,4774.0,3449.8,653.6,7577.1,6275.8,1169.2,7130.6,4574.1,1534.0,1863.7,7048.9,8435.2,2913.3,8228.7,5889.0,9997.1,5328.3,7856.2,3674.5,1891.3,3235.8
Scarsdale,7703.0,7121.0,2918.6,5671.4,5791.4,4763.8,2882.9,5647.1,8195.1,8006.4,45.2,5010.8,2962.0,3309.4,8745.6,5371.2,3258.6,7062.6,984.4,3461.0,3158.0,112.5,2230.9,1563.6,2481.6,750.3,0,8661.7,748.8,315.5,8702.9,8657.9,7739.8,5525.6,5275.5,2604.1,1009.9,7868.2,7508.7,8235.2,9378.4,1581.3,3543.0,7073.4,6559.4,4673.3,3671.8,6313.2,99.1,5918.8
Forest Hills,4120.1,5390.0,6273.2,6222.3,5429.1,5756.8,7332.3,4245.0,1836.0,2336.4,9389.5,9365.5,1481.7,8592.5,1668.9,1176.4,3322.6,2937.3,741.3,9219.0,8465.3,8290.9,6713.4,5810.3,2741.7,5744.8,8661.7,0,843.6,4349.0,1492.5,2325.9,6911.9,8773.7,1295.2,4521.3,4173.4,6969.4,3755.8,8545.3,4304.0,3823.1,437.0,3003.0,7526.2,4965.7,9739.7,9270.2,7721.8,4870.9
Levittown,9466.3,5211.9,1869.1,2354.7,4229.5,74.6,9544.4,4489.4,4297.1,2636.7,5886.4,8338.3,5770.4,6464.3,2341.6,3178.0,2066.4,7994.8,4490.4,6756.5,7185.0,243.7,3658.8,9181.7,6470.5,5264.8,748.8,843.6,0,9228.2,8192.3,5455.5,659.5,9099.9,3012.7,7863.4,7813.3,7002.4,2055.6,9335.8,6362.8,1814.4,5959.5,8335.4,8219.1,2313.4,1094.3,6707.8,6935.6,8164.8
Great Neck,5500.5,2600.5,6200.7,7078.4,9527.9,337.9,4964.9,5990.2,1934.7,2836.8,3306.7,935.0,4232.6,1102.6,6247.2,6123.8,5191.2,1438.6,5345.1,8210.0,3362.2,3022.4,5845.9,4747.1,751.9,4774.0,315.5,4349.0,9228.2,0,6277.2,2775.0,4394.5,3311.5,7808.5,9562.7,2179.8,6850.0,2927.1,6184.9,3383.8,665.7,9609.7,4255.9,9254.1,5645.5,6361.4,9241.1,4835.4,485.4
Yonkers,2078.8,8248.5,3796.3,5799.4,1673.9,7575.6,1647.4,354.2,2190.3,5643.7,6625.6,603.7,6368.4,1126.9,9512.1,3651.8,5152.4,4602.1,8509.6,2004.0,1707.7,4078.4,2070.5,7974.5,4901.6,3449.8,8702.9,1492.5,8192.3,6277.2,0,7001.5,1002.8,1538.5,689.3,6478.1,6703.7,7477.9,3439.8,2325.2,2658.4,8705.0,6793.1,9282.8,2329.7,2030.1,1509.0,2644.1,7034.9,392.1
Manhattan,1295.0,6829.4,9612.5,2685.5,9819.4,1880.1,5957.0,2283.8,8069.5,6048.6,1933.5,3757.9,1723.2,4261.9,8207.0,5663.1,7348.8,7398.6,9762.8,7132.5,436.6,318.6,2995.0,8610.2,6363.5,653.6,8657.9,2325.9,5455.5,2775.0,7001.5,0,3814.9,8389.4,2831.2,1168.2,2235.6,8552.9,6776.0,843.9,6510.2,9505.5,7867.6,3929.4,1947.0,3103.7,3262.6,9429.3,1570.0,7998.4
Mount Vernon,2235.2,233.0,5289.3,4927.2,9633.3,8452.2,409.9,6455.5,2152.6,2678.1,6242.0,4766.8,973.0,5935.7,3104.9,6897.8,6309.2,2251.3,1472.5,3407.5,6506.4,7515.3,7869.9,7794.6,6299.3,7577.1,7739.8,6911.9,659.5,4394.5,1002.8,3814.9,0,8657.7,7060.2,8088.6,9944.1,2546.4,4325.9,6534.6,9885.7,1328.5,5391.4,404.0,7950.3,3837.2,7221.2,1582.6,8153.9,1802.5
Binghamton,7847.3,4029.5,5092.8,8502.9,8876.5,6944.8,2495.4,4509.4,634.2,4363.2,7105.8,2321.4,9041.6,5879.9,5945.4,5034.5,4914.8,5670.4,1158.1,3329.4,9409.9,5139.8,3279.4,4755.6,3290.9,6275.8,5525.6,8773.7,9099.9,3311.5,1538.5,8389.4,8657.7,0,6817.2,8515.3,869.9,272.4,6499.8,4409.9,172.4,7575.9,3188.2,8600.0,8872.3,4681.9,7402.9,8060.1,3840.2,4974.0
Rensselaer,4220.3,1957.0,3370.8,8034.9,678.3,879.0,3516.0,4682.9,8353.9,355.8,29.0,5869.2,8391.7,2175.2,5763.6,2461.8,3367.8,7046.8,2342.6,3383.5,8588.1,1048.0,5300.4,5615.1,4862.7,1169.2,5275.5,1295.2,3012.7,7808.5,689.3,2831.2,7060.2,6817.2,0,7885.0,7382.3,1945.7,9778.5,8564.2,5375.8,5395.8,9367.2,2335.8,8370.0,1930.5,4140.1,9079.6,6452.4,7618.6
Middletown,7865.9,5649.2,4447.6,9660.8,4759.2,2461.2,8742.2,2814.3,2939.8,88.7,7244.3,648.6,1798.3,1659.4,9165.9,7769.7,5417.6,4411.9,7711.2,5038.4,7324.2,3870.8,2282.9,8317.6,9442.7,7130.6,2604.1,4521.3,7863.4,9562.7,6478.1,1168.2,8088.6,8515.3,7885.0,0,5338.2,2326.7,9631.0,2227.4,5357.6,7066.1,1220.7,5301.3,2648.5,9396.1,8033.1,3686.6,8033.0,9417.0
Stony Point,4264.8,1066.1,2944.9,8200.7,5882.7,1262.8,296.1,1002.2,651.0,4670.4,9129.0,5650.1,5718.7,2450.1,6835.9,2757.3,2038.8,8078.2,174.7,3751.3,4558.3,782.1,6196.5,4696.7,5497.1,4574.1,1009.9,4173.4,7813.3,2179.8,6703.7,2235.6,9944.1,869.9,7382.3,5338.2,0,4335.4,2340.4,2527.2,7487.4,8020.2,5019.1,515.3,848.2,9305.3,2350.0,5744.3,5099.8,2249.6
Crown Point,4434.2,9224.1,3253.4,2277.3,4807.4,8923.5,359.9,8652.9,2790.9,770.9,6066.5,4357.1,5421.3,2129.2,2347.1,2524.2,9280.0,5434.6,8276.7,5655.9,8904.3,8904.2,6617.2,1378.7,6788.8,1534.0,7868.2,6969.4,7002.4,6850.0,7477.9,8552.9,2546.4,272.4,1945.7,2326.7,4335.4,0,4577.8,283.2,2155.4,5739.3,8078.4,6267.2,7593.8,654.5,4567.0,613.8,2441.1,6795.3
Hempstead,7174.7,7661.9,5136.0,4708.5,1529.8,6983.9,4603.4,5932.9,2291.9,1332.5,5791.3,8036.4,4683.1,3592.0,3607.5,3001.3,1244.3,1964.2,5407.4,6326.9,4611.1,5932.0,4645.5,7554.1,6137.9,1863.7,7508.7,3755.8,2055.6,2927.1,3439.8,6776.0,4325.9,6499.8,9778.5,9631.0,2340.4,4577.8,0,9110.4,9172.7,613.4,7629.7,8242.9,9178.8,6134.8,7803.9,1202.9,9766.3,9601.3
Elmira,3811.4,1909.8,8540.8,2658.0,6906.6,3943.1,5529.0,2507.2,7224.6,8452.0,7550.9,3906.0,7023.2,2955.9,2984.2,4793.7,8134.5,3912.8,2105.4,303.3,1591.0,4660.5,420.6,5725.7,5369.9,7048.9,8235.2,8545.3,9335.8,6184.9,2325.2,843.9,6534.6,4409.9,8564.2,2227.4,2527.2,283.2,9110.4,0,4359.0,1948.2,3661.6,6350.5,5278.4,3189.6,462.5,5154.4,2746.1,9896.7
Mineola,2026.3,5488.6,7119.6,4056.8,5408.6,5264.4,1748.5,1419.6,2253.8,7137.8,5265.5,9851.3,3858.0,9822.0,4141.3,6483.0,2370.7,8124.9,803.1,8844.9,9879.6,5064.8,436.9,4117.2,6807.6,8435.2,9378.4,4304.0,6362.8,3383.8,2658.4,6510.2,9885.7,172.4,5375.8,5357.6,7487.4,2155.4,9172.7,4359.0,0,5261.5,6829.3,1976.6,2275.3,5882.1,2154.9,5417.8,8042.0,9510.1
Babylon,1677.0,7334.8,5055.7,8251.3,1678.8,7518.0,6860.5,1247.0,8381.7,9751.5,5539.1,9313.6,9650.8,2762.0,9649.2,9226.2,4162.4,4360.7,2044.5,6832.4,8066.5,3274.9,954.7,7187.3,1023.8,2913.3,1581.3,3823.1,1814.4,665.7,8705.0,9505.5,1328.5,7575.9,5395.8,7066.1,8020.2,5739.3,613.4,1948.2,5261.5,0,7902.8,4724.4,6725.6,8740.6,2477.4,2669.0,2651.0,5150.3
Stony Brook,39.2,4603.2,8421.9,8705.3,641.3,6687.5,9878.9,2270.5,7488.8,318.9,9735.4,2290.0,538.5,6986.8,4274.5,6473.0,9612.3,6648.7,1972.3,6423.2,2226.8,1620.8,3564.1,5311.9,5057.9,8228.7,3543.0,437.0,5959.5,9609.7,6793.1,7867.6,5391.4,3188.2,9367.2,1220.7,5019.1,8078.4,7629.7,3661.6,6829.3,7902.8,0,9288.0,586.0,6724.0,7121.2,5564.0,1780.1,9009.1
Herkimer,5421.2,5343.3,6093.0,9504.7,9837.2,4946.1,8143.0,9339.2,4894.3,5911.0,2633.1,9191.4,428.3,294.7,1163.5,89.7,372.5,6261.8,8397.8,4692.6,2177.0,9411.9,8190.8,7428.4,9234.7,5889.0,7073.4,3003.0,8335.4,4255.9,9282.8,3929.4,404.0,8600.0,2335.8,5301.3,515.3,6267.2,8242.9,6350.5,1976.6,4724.4,9288.0,0,6008.4,5252.9,8892.5,3778.2,9166.8,3795.9
Chautauqua,1981.1,4034.1,9884.8,5146.9,8634.8,8845.5,3076.5,3390.8,4624.6,9516.0,4345.3,165.2,6647.0,9947.7,7474.1,6381.7,3142.1,8380.0,7481.7,9671.5,8225.3,5057.2,288.3,5539.4,4566.1,9997.1,6559.4,7526.2,8219.1,9254.1,2329.7,1947.0,7950.3,8872.3,8370.0,2648.5,848.2,7593.8,9178.8,5278.4,2275.3,6725.6,586.0,6008.4,0,1484.2,282.8,7549.0,8696.8,1939.9
New York City,8897.6,1424.7,6143.9,2423.7,9130.5,1013.8,7075.1,5131.1,503.3,7152.4,4713.0,7253.2,7298.2,7662.1,2788.4,9828.0,1137.6,4810.0,3670.3,5162.2,1858.9,7716.9,6237.9,7569.8,5024.8,5328.3,4673.3,4965.7,2313.4,5645.5,2030.1,3103.7,3837.2,4681.9,1930.5,9396.1,9305.3,654.5,6134.8,3189.6,5882.1,8740.6,6724.0,5252.9,1484.2,0,4713.7,1203.6,2331.5,4724.0
Saratoga Springs,5683.9,8363.1,6749.1,7299.4,7328.3,3366.5,5405.3,517.2,9342.6,8234.8,3756.3,2468.0,5753.3,3427.1,5423.7,7642.7,6588.8,4974.8,3174.9,7367.5,8217.3,1179.0,1914.7,3707.6,6.7,7856.2,3671.8,9739.7,1094.3,6361.4,1509.0,3262.6,7221.2,7402.9,4140.1,8033.1,2350.0,4567.0,7803.9,462.5,2154.9,2477.4,7121.2,8892.5,282.8,4713.7,0,8276.2,4108.2,8759.4
Poughkeepsie,6525.2,4795.6,2923.4,9702.4,2575.1,8825.3,9394.6,5511.3,8799.9,3852.2,4959.6,1763.1,43.6,1402.7,507.1,9207.1,8563.0,8721.4,4093.1,182.4,2255.9,8600.1,406.4,1930.6,6544.2,3674.5,6313.2,9270.2,6707.8,9241.1,2644.1,9429.3,1582.6,8060.1,9079.6,3686.6,5744.3,613.8,1202.9,5154.4,5417.8,2669.0,5564.0,3778.2,7549.0,1203.6,8276.2,0,5297.7,1623.6
White Plains,3051.6,4709.4,4958.3,2446.1,977.3,1803.1,8093.0,482.5,8993.5,7010.4,3707.1,5457.7,293.6,8047.7,4157.4,5105.9,4406.2,5389.5,9689.2,385.1,2748.4,6553.5,756.7,6191.9,8965.6,1891.3,99.1,7721.8,6935.6,4835.4,7034.9,1570.0,8153.9,3840.2,6452.4,8033.0,5099.8,2441.1,9766.3,2746.1,8042.0,2651.0,1780.1,9166.8,8696.8,2331.5,4108.2,5297.7,0,5813.4
Syracuse,7311.5,7222.7,1520.9,1181.7,4007.1,7051.1,3196.2,4694.9,7994.4,5463.9,7731.4,4021.6,2735.9,8094.3,9757.8,6142.5,1248.3,5288.2,4432.4,6867.9,6007.4,6042.1,50.2,886.7,3971.1,3235.8,5918.8,4870.9,8164.8,485.4,392.1,7998.4,1802.5,4974.0,7618.6,9417.0,2249.6,6795.3,9601.3,9896.7,9510.1,5150.3,9009.1,3795.9,1939.9,4724.0,8759.4,1623.6,5813.4,0
