CSV,Rotterdam,Beacon,Seneca Falls,Forest Hills,Port Washington,Gloversville,Jamestown,Manhattan,Watervliet,Rye,Ossining,Geneva,Glens Falls,Schenectady,Olean,Middletown,Hammondsport,Lake Placid,Niagara Falls,Cheektowaga,Plattsburgh,Oswego,Amsterdam,Rochester,Johnstown,Ogdensburg,Eastchester,Stony Brook,Watkins Glen,Potsdam,Harlem,East Hampton,West Seneca,Clinton,Batavia,Mount Vernon,Southampton,Cooperstown,Buffalo,Albany,Mamaroneck,Dunkirk,Huntington,Hempstead,Tonawanda,Ithaca,Binghamton,Ilion,Brooklyn,Saranac Lake
Schenectady,5589.3,209.7,4968.0,5276.6,3631.9,8065.5,2355.5,2160.8,3324.1,5340.0,5557.8,7230.4,5918.3,0,7444.4,9247.5,6291.1,2850.4,8040.1,9249.4,3640.6,4279.2,3153.0,9238.6,7598.0,6614.3,5264.6,898.4,709.8,2148.1,4158.7,6542.4,430.3,4086.2,8254.2,9148.2,4026.9,9307.7,5266.0,1551.4,831.3,5103.0,5059.9,3650.1,475.8,1202.7,590.8,3154.3,4140.2,5810.1
Olean,6023.6,8302.1,9066.6,2397.0,6722.2,5302.2,4029.9,4454.1,3905.9,5387.0,1457.8,8491.8,6723.3,7444.4,0,3662.7,9123.6,6574.2,8673.3,2609.4,5246.1,6967.1,7724.0,7711.3,6095.5,953.0,8565.8,3362.9,7392.6,8322.3,1233.2,9552.8,31.8,5966.5,5403.5,3989.8,9311.9,5617.1,2468.7,1351.9,3248.2,8379.1,2668.3,9075.2,7259.3,7408.5,1603.7,7601.9,922.3,4014.2
Middletown,4756.4,7294.4,4124.1,822.4,8920.1,4239.7,6171.0,4235.5,5761.0,7236.7,8036.6,2521.1,8693.5,9247.5,3662.7,0,1446.8,3562.3,4057.2,7543.9,9770.0,1074.3,2527.2,6805.3,1871.1,3432.4,2706.9,8308.3,5803.2,1007.0,9120.5,6637.3,6941.7,5581.3,7402.5,9422.0,3000.0,8331.5,2950.5,5340.1,3296.5,9750.9,4345.1,8129.6,9549.3,7029.5,123.4,3550.3,7060.3,458.8
Hammondsport,8547.4,7305.0,5101.9,6017.0,3214.8,4496.7,4220.4,189.4,6526.1,6067.7,8383.3,4750.4,6642.2,6291.1,9123.6,1446.8,0,7540.9,3935.7,1742.6,6957.2,5888.8,4133.9,6724.2,4184.2,7380.2,5058.7,7556.9,145.8,4739.9,2834.1,9733.2,4175.3,9499.8,1363.0,7056.2,5062.1,3404.3,1035.0,7010.9,9122.1,2655.2,6618.8,2467.9,486.2,5212.0,3128.9,5845.1,8400.5,642.2
Lake Placid,449.3,4551.4,7388.5,352.0,1477.4,8858.0,2139.7,6580.7,8661.6,6292.6,1895.7,795.3,2967.5,2850.4,6574.2,3562.3,7540.9,0,5100.9,5933.4,2298.5,901.3,1192.2,4547.9,7470.1,5030.2,8771.5,3996.6,5687.3,7001.4,4417.6,9495.4,9600.8,8581.6,675.2,3358.5,5947.3,9394.4,3221.7,7955.0,5534.9,7439.4,372.8,212.9,4992.4,8346.4,973.4,2528.1,5009.0,4879.4
Niagara Falls,1700.1,5748.1,1683.0,8422.5,644.6,4184.9,7937.0,1844.5,4379.9,7720.5,3302.3,6491.4,9545.1,8040.1,8673.3,4057.2,3935.7,5100.9,0,9217.3,9742.1,2117.7,2461.5,1279.3,7986.0,6877.0,3110.7,9148.6,4118.3,3468.9,4313.9,624.7,2830.0,9946.2,9435.7,4058.3,502.3,6128.9,6169.4,485.2,8031.3,3206.2,2382.3,4354.9,4802.6,9058.5,2858.4,6831.8,924.8,3540.8
Cheektowaga,3979.6,3130.7,3214.5,497.2,7405.2,1950.3,453.8,4324.8,6922.0,1737.6,9267.6,9289.4,3775.3,9249.4,2609.4,7543.9,1742.6,5933.4,9217.3,0,3313.8,5085.1,6752.0,2365.3,7698.4,8250.9,3992.1,6391.5,9445.9,4619.5,1950.4,306.8,5113.8,2343.7,2694.0,4011.5,6532.4,4277.3,197.2,5073.2,1295.1,2311.9,1447.7,958.6,6467.1,5927.6,3719.3,9945.1,4058.2,7225.9
Plattsburgh,8960.4,8742.2,9514.3,3642.6,6046.7,3339.2,2277.5,8636.4,8294.0,1271.6,7180.8,1813.9,6925.9,3640.6,5246.1,9770.0,6957.2,2298.5,9742.1,3313.8,0,1556.8,7407.1,7302.1,9403.2,9641.2,3802.0,9518.2,7355.5,1147.1,4907.2,8047.7,3970.5,2644.6,2465.3,7600.6,8311.8,6818.3,1529.5,5869.6,6049.8,7761.8,4577.6,5761.2,2759.0,6657.8,2140.0,9989.2,8050.2,1938.0
Oswego,3244.2,9704.4,3243.2,3445.6,7413.7,9751.2,1147.2,7121.7,8080.9,1677.2,4278.2,8195.3,8500.7,4279.2,6967.1,1074.3,5888.8,901.3,2117.7,5085.1,1556.8,0,2827.2,1266.5,3583.5,4787.0,4196.0,965.6,4626.9,1444.9,5479.1,9478.5,4245.0,2041.7,2768.0,119.7,4312.7,9286.1,9430.5,5343.2,1484.0,3392.8,7390.3,5804.9,2460.9,8852.1,4642.2,8392.0,2606.9,7727.2
Amsterdam,1011.1,8064.9,3234.2,6686.5,800.3,788.3,1920.4,1970.7,5859.3,7682.0,1242.2,2093.0,3605.6,3153.0,7724.0,2527.2,4133.9,1192.2,2461.5,6752.0,7407.1,2827.2,0,9398.6,1066.1,1175.8,3802.1,6672.8,6018.5,7084.8,9010.4,9867.6,950.3,1356.1,2329.4,5297.9,8208.7,2729.0,8704.4,4628.3,1311.8,2711.5,5490.7,9967.3,4146.8,1520.2,4472.6,3225.7,2349.0,1460.7
Rochester,3326.6,818.5,6534.0,6092.6,4285.7,958.2,3503.3,1093.9,3492.9,2702.3,8621.2,302.9,4350.0,9238.6,7711.3,6805.3,6724.2,4547.9,1279.3,2365.3,7302.1,1266.5,9398.6,0,6118.2,2464.9,8636.1,4030.3,7581.2,3915.9,1086.5,7323.3,6705.7,3069.0,2772.2,3379.8,3562.1,4210.8,816.4,7713.3,9865.3,6526.7,6608.3,3063.4,5122.7,8771.7,5444.3,4980.7,3940.3,4711.0
Johnstown,3082.8,6097.2,5754.5,4174.7,9823.5,1398.0,919.2,1941.1,9478.2,5566.8,6819.1,9912.2,4380.1,7598.0,6095.5,1871.1,4184.2,7470.1,7986.0,7698.4,9403.2,3583.5,1066.1,6118.2,0,4642.6,9018.5,385.7,1702.5,3578.6,3500.4,3790.9,9733.8,8939.5,7011.7,1539.5,6636.8,4654.2,2673.3,6420.2,183.8,9085.7,9865.6,3546.9,4699.8,6803.7,7385.5,9936.7,5043.4,6942.4
Ogdensburg,5055.1,5129.2,8037.6,5593.7,2770.1,2445.6,5437.7,9064.4,6987.5,7690.9,8724.9,1114.9,979.2,6614.3,953.0,3432.4,7380.2,5030.2,6877.0,8250.9,9641.2,4787.0,1175.8,2464.9,4642.6,0,7617.8,5071.3,9624.2,5787.3,7019.7,8663.8,3113.8,5333.7,8406.7,8876.2,5992.5,6175.8,1235.7,733.2,5388.4,7155.5,945.9,3342.5,4145.2,6965.7,6526.4,8463.0,4747.2,6510.1
Eastchester,5762.3,8088.2,7690.6,5828.0,9022.1,8534.3,1017.2,3339.3,2880.0,1863.1,6614.0,2410.9,2715.7,5264.6,8565.8,2706.9,5058.7,8771.5,3110.7,3992.1,3802.0,4196.0,3802.1,8636.1,9018.5,7617.8,0,8424.1,4175.8,1410.9,6460.3,9807.6,239.8,5130.6,7676.3,6933.3,3509.0,2360.0,9412.4,7148.3,5619.0,1968.8,4901.9,1792.1,3280.0,4077.6,8774.3,1363.6,4772.1,1208.5
Stony Brook,2736.6,248.1,1850.8,8424.4,2902.7,4285.3,2981.1,5708.3,280.7,9504.9,3713.1,1744.7,6127.8,898.4,3362.9,8308.3,7556.9,3996.6,9148.6,6391.5,9518.2,965.6,6672.8,4030.3,385.7,5071.3,8424.1,0,9371.2,1977.1,551.9,9158.5,939.7,22.2,3243.8,5630.0,1248.5,9332.7,7063.3,3379.9,5476.2,5980.2,208.8,9875.7,8324.7,2608.3,371.4,270.3,9504.7,4141.9
Watkins Glen,1270.2,6562.4,7245.3,7048.7,3126.4,2295.8,6349.0,3036.7,6668.1,9699.4,4095.4,6614.1,8799.3,709.8,7392.6,5803.2,145.8,5687.3,4118.3,9445.9,7355.5,4626.9,6018.5,7581.2,1702.5,9624.2,4175.8,9371.2,0,3823.2,9049.3,745.6,3148.6,3821.0,8282.4,1137.5,324.5,3011.3,2485.9,4356.1,5244.4,3502.4,1758.2,8520.5,1820.6,7889.2,874.3,8604.6,6623.2,1161.2
Potsdam,8508.2,6537.1,9128.5,2421.3,2678.9,162.5,7711.8,8276.4,7969.6,8770.1,3083.5,3899.8,8468.8,2148.1,8322.3,1007.0,4739.9,7001.4,3468.9,4619.5,1147.1,1444.9,7084.8,3915.9,3578.6,5787.3,1410.9,1977.1,3823.2,0,1566.8,7170.2,1450.9,1955.3,3117.2,2360.7,4273.0,7206.9,5101.5,4826.5,9389.3,3310.2,2427.0,4802.1,299.8,4180.6,8036.4,9492.0,4971.8,7840.6
Harlem,3697.8,6895.9,9022.3,3437.4,9726.0,1538.9,9860.2,9548.4,8476.0,892.9,2372.7,5907.2,3186.6,4158.7,1233.2,9120.5,2834.1,4417.6,4313.9,1950.4,4907.2,5479.1,9010.4,1086.5,3500.4,7019.7,6460.3,551.9,9049.3,1566.8,0,9875.8,5955.7,6956.4,5651.9,7070.1,6761.6,8114.4,5614.6,2549.4,513.5,4307.5,2753.4,4067.6,1737.4,6798.6,7.9,9147.6,6597.4,3551.2
East Hampton,7021.7,2380.3,9297.2,360.2,8970.0,8310.7,8613.0,8851.0,6976.4,6836.9,5852.4,9454.0,5065.1,6542.4,9552.8,6637.3,9733.2,9495.4,624.7,306.8,8047.7,9478.5,9867.6,7323.3,3790.9,8663.8,9807.6,9158.5,745.6,7170.2,9875.8,0,5508.8,2356.3,3020.0,9408.3,254.4,5161.3,1446.9,1785.0,9891.9,2072.0,6689.0,3707.1,7991.3,9933.5,9845.7,1126.4,3533.9,9999.8
West Seneca,2843.2,3628.2,8490.1,9324.3,1364.0,7570.1,7931.3,7167.7,890.5,5386.3,4837.9,9865.0,3206.3,430.3,31.8,6941.7,4175.3,9600.8,2830.0,5113.8,3970.5,4245.0,950.3,6705.7,9733.8,3113.8,239.8,939.7,3148.6,1450.9,5955.7,5508.8,0,3139.1,8909.0,5626.4,2260.5,9198.0,8374.8,6663.6,6052.7,1716.1,2702.2,1442.5,4168.5,1362.6,8907.4,9536.6,4640.2,9916.9
Clinton,3617.2,3039.6,9344.6,7445.8,9283.6,9587.4,9770.2,4672.8,7418.6,7611.2,6763.8,2480.3,9749.6,4086.2,5966.5,5581.3,9499.8,8581.6,9946.2,2343.7,2644.6,2041.7,1356.1,3069.0,8939.5,5333.7,5130.6,22.2,3821.0,1955.3,6956.4,2356.3,3139.1,0,4919.6,6041.5,8664.2,6606.4,5630.3,8576.3,6849.9,965.2,7888.7,2792.3,8610.3,8230.5,2056.6,9460.9,6378.0,6289.5
Batavia,4941.0,6549.8,9794.4,5094.7,5572.2,3260.6,137.0,1034.8,6291.7,7034.4,8511.6,6972.0,9329.4,8254.2,5403.5,7402.5,1363.0,675.2,9435.7,2694.0,2465.3,2768.0,2329.4,2772.2,7011.7,8406.7,7676.3,3243.8,8282.4,3117.2,5651.9,3020.0,8909.0,4919.6,0,5508.0,1756.2,2430.4,5235.4,5452.0,4721.0,6683.7,3782.9,6552.6,2486.6,8680.2,6201.6,767.5,4469.5,8174.8
Mount Vernon,1055.8,8529.4,8108.5,6815.9,993.9,56.8,103.3,8535.3,2910.4,3473.9,6808.0,3046.6,7620.5,9148.2,3989.8,9422.0,7056.2,3358.5,4058.3,4011.5,7600.6,119.7,5297.9,3379.8,1539.5,8876.2,6933.3,5630.0,1137.5,2360.7,7070.1,9408.3,5626.4,6041.5,5508.0,0,9000.2,9281.9,9189.6,3110.5,3522.5,2093.4,6407.5,5036.1,2444.5,1025.0,7180.4,1598.0,9903.4,4315.5
Southampton,1846.4,18.3,6752.3,3603.9,786.5,6512.6,6505.8,2983.5,1165.8,3753.8,7141.7,5016.3,1007.3,4026.9,9311.9,3000.0,5062.1,5947.3,502.3,6532.4,8311.8,4312.7,8208.7,3562.1,6636.8,5992.5,3509.0,1248.5,324.5,4273.0,6761.6,254.4,2260.5,8664.2,1756.2,9000.2,0,1179.7,6268.1,3007.6,9910.3,8405.2,4917.7,8427.8,142.8,3379.4,2947.3,4500.5,9750.8,2264.7
Cooperstown,7977.7,9736.2,9684.6,9550.5,4437.2,9175.5,1214.8,1843.6,6150.0,7517.0,5804.2,3037.0,5744.3,9307.7,5617.1,8331.5,3404.3,9394.4,6128.9,4277.3,6818.3,9286.1,2729.0,4210.8,4654.2,6175.8,2360.0,9332.7,3011.3,7206.9,8114.4,5161.3,9198.0,6606.4,2430.4,9281.9,1179.7,0,766.1,9175.6,9149.2,489.5,3579.8,8013.6,9725.3,8055.7,9009.3,6739.8,761.3,95.4
Buffalo,8129.3,700.4,8021.4,6709.4,1389.8,5232.1,5326.9,8750.0,6756.5,2091.8,2367.9,7385.6,7842.1,5266.0,2468.7,2950.5,1035.0,3221.7,6169.4,197.2,1529.5,9430.5,8704.4,816.4,2673.3,1235.7,9412.4,7063.3,2485.9,5101.5,5614.6,1446.9,8374.8,5630.3,5235.4,9189.6,6268.1,766.1,0,629.9,3803.7,5877.4,8613.4,6326.6,9590.2,1713.7,4181.4,5035.6,2308.4,4052.3
Albany,301.3,3266.4,7679.9,2010.8,7365.4,8224.9,2958.7,2016.1,9967.9,6401.6,7078.5,3226.7,5149.0,1551.4,1351.9,5340.1,7010.9,7955.0,485.2,5073.2,5869.6,5343.2,4628.3,7713.3,6420.2,733.2,7148.3,3379.9,4356.1,4826.5,2549.4,1785.0,6663.6,8576.3,5452.0,3110.5,3007.6,9175.6,629.9,0,4982.3,1028.3,2095.8,9267.3,3336.1,9079.0,4105.2,3807.0,593.7,6560.1
Mamaroneck,6189.6,4136.7,6441.7,1485.0,4106.3,6231.0,6616.8,6160.3,4453.7,2159.4,6737.8,4386.8,2262.8,831.3,3248.2,3296.5,9122.1,5534.9,8031.3,1295.1,6049.8,1484.0,1311.8,9865.3,183.8,5388.4,5619.0,5476.2,5244.4,9389.3,513.5,9891.9,6052.7,6849.9,4721.0,3522.5,9910.3,9149.2,3803.7,4982.3,0,2357.1,2496.3,7605.4,9117.7,9449.4,5417.9,7971.8,4808.8,653.4
Dunkirk,6379.8,5441.6,1613.7,3443.2,2376.6,3469.0,2586.0,7785.4,5232.9,5313.8,8746.3,5217.5,7856.1,5103.0,8379.1,9750.9,2655.2,7439.4,3206.2,2311.9,7761.8,3392.8,2711.5,6526.7,9085.7,7155.5,1968.8,5980.2,3502.4,3310.2,4307.5,2072.0,1716.1,965.2,6683.7,2093.4,8405.2,489.5,5877.4,1028.3,2357.1,0,1165.5,2306.4,9240.4,2916.0,6409.5,495.1,5042.2,2353.6
Huntington,4512.3,2404.2,6747.2,3699.8,8349.5,5873.8,4683.5,624.2,1857.9,9464.2,9709.3,3907.8,1382.7,5059.9,2668.3,4345.1,6618.8,372.8,2382.3,1447.7,4577.6,7390.3,5490.7,6608.3,9865.6,945.9,4901.9,208.8,1758.2,2427.0,2753.4,6689.0,2702.2,7888.7,3782.9,6407.5,4917.7,3579.8,8613.4,2095.8,2496.3,1165.5,0,1676.2,2776.5,9931.1,8391.4,8260.4,7836.4,1101.3
Hempstead,8749.3,8787.8,7522.1,4406.5,7960.6,6793.9,3256.9,1855.9,2287.3,3741.6,6913.4,3954.8,8526.5,3650.1,9075.2,8129.6,2467.9,212.9,4354.9,958.6,5761.2,5804.9,9967.3,3063.4,3546.9,3342.5,1792.1,9875.7,8520.5,4802.1,4067.6,3707.1,1442.5,2792.3,6552.6,5036.1,8427.8,8013.6,6326.6,9267.3,7605.4,2306.4,1676.2,0,3862.8,8682.4,4451.3,7201.1,4204.9,2552.2
Tonawanda,4077.7,8341.0,723.4,6318.7,1726.4,905.7,45.8,1061.3,9536.7,722.9,7664.6,2303.9,8885.0,475.8,7259.3,9549.3,486.2,4992.4,4802.6,6467.1,2759.0,2460.9,4146.8,5122.7,4699.8,4145.2,3280.0,8324.7,1820.6,299.8,1737.4,7991.3,4168.5,8610.3,2486.6,2444.5,142.8,9725.3,9590.2,3336.1,9117.7,9240.4,2776.5,3862.8,0,9203.6,8155.6,1297.0,2411.3,9232.7
Ithaca,9964.8,9802.4,9440.9,2506.4,5660.0,362.8,8312.9,1924.6,7406.4,3797.7,4732.7,2520.1,6976.8,1202.7,7408.5,7029.5,5212.0,8346.4,9058.5,5927.6,6657.8,8852.1,1520.2,8771.7,6803.7,6965.7,4077.6,2608.3,7889.2,4180.6,6798.6,9933.5,1362.6,8230.5,8680.2,1025.0,3379.4,8055.7,1713.7,9079.0,9449.4,2916.0,9931.1,8682.4,9203.6,0,3218.0,5760.9,5963.8,2466.4
Binghamton,457.8,5100.6,8129.9,2809.5,3216.3,6999.2,1506.2,5856.6,987.5,527.9,5365.5,3802.5,466.7,590.8,1603.7,123.4,3128.9,973.4,2858.4,3719.3,2140.0,4642.2,4472.6,5444.3,7385.5,6526.4,8774.3,371.4,874.3,8036.4,7.9,9845.7,8907.4,2056.6,6201.6,7180.4,2947.3,9009.3,4181.4,4105.2,5417.9,6409.5,8391.4,4451.3,8155.6,3218.0,0,2686.5,1919.3,3506.9
Ilion,1060.6,9492.2,895.6,5598.4,7390.2,2435.9,5561.6,5522.7,6076.0,5883.3,7538.8,6102.0,2175.9,3154.3,7601.9,3550.3,5845.1,2528.1,6831.8,9945.1,9989.2,8392.0,3225.7,4980.7,9936.7,8463.0,1363.6,270.3,8604.6,9492.0,9147.6,1126.4,9536.6,9460.9,767.5,1598.0,4500.5,6739.8,5035.6,3807.0,7971.8,495.1,8260.4,7201.1,1297.0,5760.9,2686.5,0,7051.7,2973.2
Brooklyn,5702.0,5853.1,4546.4,3742.0,6843.6,3232.7,723.9,7185.5,7768.2,1555.3,2364.8,7175.2,3250.5,4140.2,922.3,7060.3,8400.5,5009.0,924.8,4058.2,8050.2,2606.9,2349.0,3940.3,5043.4,4747.2,4772.1,9504.7,6623.2,4971.8,6597.4,3533.9,4640.2,6378.0,4469.5,9903.4,9750.8,761.3,2308.4,593.7,4808.8,5042.2,7836.4,4204.9,2411.3,5963.8,1919.3,7051.7,0,2754.3
Saranac Lake,6103.5,3784.9,5229.2,9529.4,5565.9,8288.8,8998.0,5057.3,8073.0,4720.6,7045.0,8750.9,9557.4,5810.1,4014.2,458.8,642.2,4879.4,3540.8,7225.9,1938.0,7727.2,1460.7,4711.0,6942.4,6510.1,1208.5,4141.9,1161.2,7840.6,3551.2,9999.8,9916.9,6289.5,8174.8,4315.5,2264.7,95.4,4052.3,6560.1,653.4,2353.6,1101.3,2552.2,9232.7,2466.4,3506.9,2973.2,2754.3,0
