CSV,Queens,Bronx,Albany,Hempstead,Oneida,Lake Placid,Potsdam,Yonkers,Rensselaer,White Plains,Hudson,Ticonderoga,Huntington,Southampton,Great Neck,Stony Brook,Geneva,Ithaca,Auburn,Harlem,Flushing,Scarsdale,Forest Hills,Ossining,Crown Point,Cooperstown,Eastchester,Rome,Niagara Falls,Woodstock,Clinton,Palmyra,Nyack,Oneonta,Utica,New Windsor,Dunkirk,Seneca Falls,Mineola,West Seneca,North Hempstead,Watervliet,Glens Falls,Watertown,Rotterdam,East Aurora,Johnstown,Cortland,Lockport,Sag Harbor
Hudson,5231.9,7861.3,521.0,4012.1,6486.4,4654.1,4804.9,4110.4,4622.8,4441.4,0,5236.3,8184.7,3065.7,1807.0,494.5,2396.2,8400.8,2841.3,4164.0,9355.3,2960.2,3041.6,777.7,2372.5,7613.2,7744.6,3240.8,7138.4,7627.5,2876.7,9271.7,8122.2,2537.7,6846.1,556.0,8249.3,9684.8,3890.4,9575.3,9907.9,1680.8,2753.9,9122.6,3600.9,4436.6,1434.5,8204.7,2570.1,7685.8
Ticonderoga,8754.7,1803.7,8471.5,200.8,2866.9,9862.0,8386.6,9424.1,6878.1,6956.0,5236.3,0,4987.9,8959.2,8586.9,6834.3,5628.6,1555.1,2571.5,2077.4,4678.7,1029.1,6646.8,8931.8,9091.9,4617.9,8800.8,3833.8,2271.5,3804.2,1319.0,6288.0,5471.9,1562.5,5187.3,8482.9,5239.6,5541.7,4846.5,2171.5,3761.2,1777.9,2962.5,2699.1,6767.1,111.2,1963.7,8663.4,5263.3,1733.6
Huntington,7730.7,6878.3,3380.2,9208.5,9952.6,7325.9,1562.7,4129.0,6698.0,6521.5,8184.7,4987.9,0,3101.5,21.0,1508.7,900.9,2132.0,7569.8,536.5,5793.7,3758.7,2260.0,7551.8,1238.1,711.2,803.6,1643.1,5185.9,5878.2,7607.6,3993.7,2927.3,6044.2,7467.0,5984.2,2271.6,8253.6,5818.5,8971.0,4798.5,1741.9,9688.0,2611.1,1877.9,4120.2,3239.2,112.4,2511.4,4738.5
Southampton,5518.8,900.6,6268.5,3686.2,5018.8,2287.1,7891.7,7691.0,8503.9,6548.9,3065.7,8959.2,3101.5,0,5624.5,6132.8,7733.4,129.3,3184.4,4376.7,3592.7,273.3,7050.0,8930.5,1725.7,7538.6,4910.7,6292.6,5735.9,6446.7,2994.0,5102.6,9642.1,8625.3,800.6,7777.8,2909.2,5079.0,1950.5,3852.3,6984.7,6087.5,9736.2,9722.5,5691.8,2560.4,3556.4,6031.5,2846.4,9752.4
Great Neck,8299.3,5842.3,4679.6,747.2,9762.2,6499.1,4018.1,1602.3,2196.6,8712.2,1807.0,8586.9,21.0,5624.5,0,2256.1,48.0,9782.8,5060.5,6638.3,3205.9,4908.6,6476.9,2061.0,3509.1,7372.0,3875.5,6048.6,8555.4,8470.7,272.5,5171.0,6310.0,1100.8,5200.6,2195.7,9285.0,2402.1,155.4,2634.8,4028.6,3864.6,3315.9,8152.7,9304.5,3858.8,4926.5,1849.3,6118.5,650.6
Stony Brook,1793.6,6115.6,5572.0,7458.8,3175.6,5007.2,8248.8,4120.5,6159.8,2727.4,494.5,6834.3,1508.7,6132.8,2256.1,0,325.5,4046.3,2125.9,8675.2,4691.8,170.9,8133.5,5729.9,8675.6,1928.6,801.6,7634.0,1794.7,6882.2,2751.3,6969.7,6239.8,1096.7,3142.6,1099.1,1355.5,6721.5,2354.2,805.5,5097.8,8721.3,2788.3,9719.1,9747.9,2388.2,6319.1,1407.9,8388.6,1452.4
Geneva,1840.6,9450.4,8071.1,4968.5,6364.0,4448.1,2871.3,1750.9,7494.1,6673.6,2396.2,5628.6,900.9,7733.4,48.0,325.5,0,6954.0,9081.9,3139.5,4471.0,9386.1,7283.6,7693.5,2072.1,7129.2,4307.9,7088.2,8791.2,7875.5,3756.6,2016.0,7069.6,6717.5,9060.5,2978.7,4434.5,2993.7,9926.6,7211.1,3965.6,4891.8,5597.4,3005.2,7284.0,4310.6,2345.2,3760.4,6653.3,3573.2
Ithaca,2975.9,8700.9,3574.0,534.9,6535.0,6624.9,196.2,7603.9,9276.9,8632.1,8400.8,1555.1,2132.0,129.3,9782.8,4046.3,6954.0,0,2600.3,2201.0,6847.8,8831.2,8248.4,6329.2,7758.6,2475.3,4639.0,5348.3,8094.1,6146.3,267.7,6365.0,8627.6,7980.8,7656.1,1837.0,5338.7,2133.7,6587.2,405.1,9243.7,2121.7,6143.7,1673.2,9315.1,9611.6,2039.2,6536.6,7305.6,6493.8
Auburn,1590.5,6191.4,3513.7,1248.8,4208.4,8864.7,9417.3,2870.3,9783.8,9403.6,2841.3,2571.5,7569.8,3184.4,5060.5,2125.9,9081.9,2600.3,0,1200.1,6299.0,2076.7,9217.9,2392.2,8750.9,4540.0,1303.9,2514.9,812.3,3260.8,2682.8,1254.5,7893.6,7493.5,7279.6,4995.1,5824.6,9763.7,7290.0,2626.2,9143.6,5279.8,9720.6,1349.6,2356.4,3182.1,5963.8,4913.3,7370.3,1425.0
Harlem,9811.5,8563.6,1649.1,2442.6,4511.1,1322.6,7104.2,4950.4,2904.9,8493.7,4164.0,2077.4,536.5,4376.7,6638.3,8675.2,3139.5,2201.0,1200.1,0,914.8,3568.9,9214.2,2456.2,4786.7,9535.6,486.5,6943.1,4873.7,7913.6,7162.9,5604.1,4250.1,4153.7,375.3,6144.2,4169.3,3433.2,8409.0,6105.3,957.1,7884.3,9806.0,5412.4,3544.2,5814.4,378.6,7930.2,2929.7,4554.8
Flushing,4359.2,1953.5,9127.6,1671.3,5187.2,7323.0,4574.1,4810.3,4944.1,1991.3,9355.3,4678.7,5793.7,3592.7,3205.9,4691.8,4471.0,6847.8,6299.0,914.8,0,8398.5,2612.8,1004.7,1083.7,8056.2,8823.5,942.6,8823.6,2800.2,7383.8,6196.3,9614.4,6359.0,8271.7,3800.4,3408.4,8020.0,6201.7,6895.4,3052.4,9380.9,2245.9,530.6,4233.4,8331.6,5865.4,7234.9,5566.2,1870.8
Scarsdale,5789.9,8567.9,9193.4,3279.4,331.3,4001.4,3522.2,900.2,2511.3,9751.0,2960.2,1029.1,3758.7,273.3,4908.6,170.9,9386.1,8831.2,2076.7,3568.9,8398.5,0,5491.5,128.3,7504.7,3327.3,691.6,9747.3,3912.9,7014.8,3044.0,5043.3,584.1,6195.7,3841.8,9690.5,7154.5,7754.8,8131.8,8676.8,5539.8,2660.7,4587.0,2469.5,701.7,7530.4,5889.5,5212.2,9249.9,2398.8
Forest Hills,4313.4,7401.3,2167.1,769.2,1866.9,5300.7,2802.0,3365.4,4865.9,8011.0,3041.6,6646.8,2260.0,7050.0,6476.9,8133.5,7283.6,8248.4,9217.9,9214.2,2612.8,5491.5,0,9042.0,7852.4,3646.5,9037.9,4152.7,5705.8,6534.1,3920.6,6984.4,2819.9,575.6,8068.7,2815.5,6359.8,1222.5,7658.5,6799.1,3948.8,5356.1,3628.8,3480.1,306.4,3108.4,8359.2,3929.3,1905.1,6366.2
Ossining,2904.5,6552.6,8337.5,6301.6,8063.8,9455.5,440.1,9166.7,5664.1,3580.8,777.7,8931.8,7551.8,8930.5,2061.0,5729.9,7693.5,6329.2,2392.2,2456.2,1004.7,128.3,9042.0,0,9555.1,9092.6,1549.1,7098.8,5421.8,9359.3,2905.3,7044.7,375.7,8861.0,2764.9,628.0,7960.5,7934.9,1464.1,9689.7,121.6,3874.0,7569.0,2149.8,2678.7,3895.6,2988.1,8924.9,1925.3,3084.5
Crown Point,2437.7,2685.7,5672.4,6404.0,8819.7,5010.2,290.3,3992.4,2181.6,6196.5,2372.5,9091.9,1238.1,1725.7,3509.1,8675.6,2072.1,7758.6,8750.9,4786.7,1083.7,7504.7,7852.4,9555.1,0,534.5,5960.2,692.8,347.5,4244.4,1781.9,1379.9,2841.7,5849.6,4854.1,3488.0,3876.1,6982.5,2932.2,1268.1,587.4,4838.1,6205.7,5494.5,533.6,8871.9,6052.9,8087.9,6034.9,7580.1
Cooperstown,8735.7,7561.2,1612.3,4095.4,5988.0,3822.3,1696.9,2220.8,2579.4,3648.0,7613.2,4617.9,711.2,7538.6,7372.0,1928.6,7129.2,2475.3,4540.0,9535.6,8056.2,3327.3,3646.5,9092.6,534.5,0,3051.9,226.8,8291.6,8250.1,4266.3,8938.4,1422.5,4722.8,1296.2,5311.0,8568.5,8982.9,4058.2,6647.9,9349.0,4088.5,4705.8,9395.1,228.6,4871.3,7270.3,2562.6,2021.3,3229.9
Eastchester,6053.3,7094.4,1677.2,9851.0,3406.1,8722.9,8693.8,9909.8,9177.7,1089.8,7744.6,8800.8,803.6,4910.7,3875.5,801.6,4307.9,4639.0,1303.9,486.5,8823.5,691.6,9037.9,1549.1,5960.2,3051.9,0,7497.9,4268.2,4310.1,9686.6,6069.8,161.3,6235.7,9421.1,9019.7,9291.2,8037.1,7901.4,8863.4,5207.2,3538.2,4561.9,4238.8,7863.4,1197.9,6852.5,2927.5,8811.6,1201.9
Rome,1531.4,397.2,9146.1,6936.2,2222.9,7022.1,5056.6,2484.3,8462.5,9214.5,3240.8,3833.8,1643.1,6292.6,6048.6,7634.0,7088.2,5348.3,2514.9,6943.1,942.6,9747.3,4152.7,7098.8,692.8,226.8,7497.9,0,4942.5,7710.9,5342.1,2164.3,9831.7,4362.7,9296.2,3018.7,1554.2,9564.9,9157.1,6536.3,8371.9,7461.9,5377.9,3554.9,1212.2,8497.2,5181.6,6880.6,1032.6,9189.0
Niagara Falls,6270.3,9511.0,1245.2,4772.4,7360.3,7331.6,6348.4,1842.4,4578.5,1090.9,7138.4,2271.5,5185.9,5735.9,8555.4,1794.7,8791.2,8094.1,812.3,4873.7,8823.6,3912.9,5705.8,5421.8,347.5,8291.6,4268.2,4942.5,0,4220.6,2099.4,8879.2,892.2,4773.1,9329.5,8480.8,5828.6,2128.1,9772.1,4745.7,3312.2,967.0,8805.2,3990.7,1675.7,8200.4,9048.2,6356.1,9079.8,2505.7
Woodstock,3278.4,7874.9,1611.3,720.9,6778.8,6142.5,3060.1,5440.9,3627.9,7512.5,7627.5,3804.2,5878.2,6446.7,8470.7,6882.2,7875.5,6146.3,3260.8,7913.6,2800.2,7014.8,6534.1,9359.3,4244.4,8250.1,4310.1,7710.9,4220.6,0,3220.9,4751.3,2251.6,9808.4,5790.9,3632.5,5986.6,48.8,2136.1,8446.5,1730.4,6002.5,1352.2,2954.7,8.2,2318.7,2844.0,5188.7,7004.0,6480.3
Clinton,2219.1,1209.4,7559.1,7632.7,3264.8,9489.2,8101.9,6135.0,742.6,7392.3,2876.7,1319.0,7607.6,2994.0,272.5,2751.3,3756.6,267.7,2682.8,7162.9,7383.8,3044.0,3920.6,2905.3,1781.9,4266.3,9686.6,5342.1,2099.4,3220.9,0,7346.3,7322.9,7576.1,5833.0,1235.0,7565.2,1807.8,2400.8,8370.0,7330.9,9560.6,239.8,2319.9,5735.5,7083.9,9317.6,7019.3,2371.3,1384.9
Palmyra,9851.9,141.9,9242.6,1739.2,7981.5,5828.2,201.1,8659.4,6769.2,5393.0,9271.7,6288.0,3993.7,5102.6,5171.0,6969.7,2016.0,6365.0,1254.5,5604.1,6196.3,5043.3,6984.4,7044.7,1379.9,8938.4,6069.8,2164.3,8879.2,4751.3,7346.3,0,2664.5,4515.9,5456.3,2017.8,3645.4,4728.3,2281.1,8117.3,5016.7,5695.0,8001.2,2608.4,6837.4,2210.6,915.8,9646.9,8598.4,6056.3
Nyack,5029.7,9874.4,3096.4,4182.7,1348.3,530.9,7220.0,9142.0,3768.0,9959.2,8122.2,5471.9,2927.3,9642.1,6310.0,6239.8,7069.6,8627.6,7893.6,4250.1,9614.4,584.1,2819.9,375.7,2841.7,1422.5,161.3,9831.7,892.2,2251.6,7322.9,2664.5,0,9284.4,3738.7,598.7,4311.8,1903.4,2880.1,7243.6,5460.4,2601.3,7010.9,9962.4,9219.3,4260.7,8518.2,647.4,5879.4,9331.0
Oneonta,2461.2,676.8,9201.0,2374.5,1478.4,3996.3,6948.4,8229.0,5846.7,6419.8,2537.7,1562.5,6044.2,8625.3,1100.8,1096.7,6717.5,7980.8,7493.5,4153.7,6359.0,6195.7,575.6,8861.0,5849.6,4722.8,6235.7,4362.7,4773.1,9808.4,7576.1,4515.9,9284.4,0,5240.5,9654.1,2977.0,5347.7,2254.3,4776.8,4224.7,6496.1,4419.4,6105.7,5327.1,5623.1,6649.8,3303.8,8539.4,793.6
Utica,1970.9,5487.4,9305.6,2832.7,4532.7,5701.2,525.9,9419.0,6727.5,398.2,6846.1,5187.3,7467.0,800.6,5200.6,3142.6,9060.5,7656.1,7279.6,375.3,8271.7,3841.8,8068.7,2764.9,4854.1,1296.2,9421.1,9296.2,9329.5,5790.9,5833.0,5456.3,3738.7,5240.5,0,3610.0,5724.2,7243.7,3595.6,2631.8,9892.1,2976.8,5982.8,6228.2,5070.0,9273.8,4069.8,510.5,1840.9,8610.1
New Windsor,4035.5,1143.0,3774.4,8194.0,2998.5,4352.4,9246.9,9844.7,4557.1,5086.6,556.0,8482.9,5984.2,7777.8,2195.7,1099.1,2978.7,1837.0,4995.1,6144.2,3800.4,9690.5,2815.5,628.0,3488.0,5311.0,9019.7,3018.7,8480.8,3632.5,1235.0,2017.8,598.7,9654.1,3610.0,0,9666.4,7269.9,2059.8,3440.0,9890.8,9580.6,7377.2,3023.5,2589.7,3595.3,1374.9,752.6,9759.8,1012.2
Dunkirk,5124.3,40.2,2463.5,9065.6,266.2,6168.6,5409.4,1532.3,635.0,8805.8,8249.3,5239.6,2271.6,2909.2,9285.0,1355.5,4434.5,5338.7,5824.6,4169.3,3408.4,7154.5,6359.8,7960.5,3876.1,8568.5,9291.2,1554.2,5828.6,5986.6,7565.2,3645.4,4311.8,2977.0,5724.2,9666.4,0,5015.8,7333.8,8607.8,572.5,6530.4,27.5,6618.2,4094.0,7808.8,2092.9,2164.2,9654.6,8939.4
Seneca Falls,1769.8,5262.6,3309.9,6858.1,3798.6,2121.5,5235.9,6525.4,541.2,8180.0,9684.8,5541.7,8253.6,5079.0,2402.1,6721.5,2993.7,2133.7,9763.7,3433.2,8020.0,7754.8,1222.5,7934.9,6982.5,8982.9,8037.1,9564.9,2128.1,48.8,1807.8,4728.3,1903.4,5347.7,7243.7,7269.9,5015.8,0,269.4,3282.7,3745.7,2285.3,4775.1,3713.5,8203.3,609.8,8383.9,9009.9,2049.0,8661.2
Mineola,4915.5,124.9,4820.6,5039.9,2343.2,2545.4,29.3,3159.4,3699.4,9113.8,3890.4,4846.5,5818.5,1950.5,155.4,2354.2,9926.6,6587.2,7290.0,8409.0,6201.7,8131.8,7658.5,1464.1,2932.2,4058.2,7901.4,9157.1,9772.1,2136.1,2400.8,2281.1,2880.1,2254.3,3595.6,2059.8,7333.8,269.4,0,5102.5,4513.4,9960.2,581.1,2205.9,8329.2,226.3,5429.6,6629.6,3915.1,7544.4
West Seneca,4000.2,6978.8,6616.5,6036.4,1195.6,4512.6,5142.1,7262.6,4651.2,8455.6,9575.3,2171.5,8971.0,3852.3,2634.8,805.5,7211.1,405.1,2626.2,6105.3,6895.4,8676.8,6799.1,9689.7,1268.1,6647.9,8863.4,6536.3,4745.7,8446.5,8370.0,8117.3,7243.6,4776.8,2631.8,3440.0,8607.8,3282.7,5102.5,0,8499.0,7702.0,1871.0,4461.2,6994.6,699.7,7560.7,2321.2,8746.7,719.4
North Hempstead,5579.9,9553.9,5441.1,780.2,3395.2,9079.6,9689.9,797.3,5524.3,236.3,9907.9,3761.2,4798.5,6984.7,4028.6,5097.8,3965.6,9243.7,9143.6,957.1,3052.4,5539.8,3948.8,121.6,587.4,9349.0,5207.2,8371.9,3312.2,1730.4,7330.9,5016.7,5460.4,4224.7,9892.1,9890.8,572.5,3745.7,4513.4,8499.0,0,59.4,5828.1,1052.5,7408.6,1325.5,4506.7,1266.9,8574.1,1388.2
Watervliet,7819.8,5925.1,5382.4,5298.7,8010.3,6733.8,5860.6,3409.0,8391.5,2145.3,1680.8,1777.9,1741.9,6087.5,3864.6,8721.3,4891.8,2121.7,5279.8,7884.3,9380.9,2660.7,5356.1,3874.0,4838.1,4088.5,3538.2,7461.9,967.0,6002.5,9560.6,5695.0,2601.3,6496.1,2976.8,9580.6,6530.4,2285.3,9960.2,7702.0,59.4,0,6812.1,5922.4,2511.5,4171.2,531.3,2083.4,4063.9,5607.8
Glens Falls,5797.0,9418.9,3734.2,5246.3,5754.1,8188.7,6691.4,7687.7,4205.8,4493.5,2753.9,2962.5,9688.0,9736.2,3315.9,2788.3,5597.4,6143.7,9720.6,9806.0,2245.9,4587.0,3628.8,7569.0,6205.7,4705.8,4561.9,5377.9,8805.2,1352.2,239.8,8001.2,7010.9,4419.4,5982.8,7377.2,27.5,4775.1,581.1,1871.0,5828.1,6812.1,0,9556.4,3235.4,7529.7,8593.2,853.6,2641.2,2458.8
Watertown,25.1,4237.7,6269.8,9154.2,58.9,1616.6,1193.0,1325.2,365.5,6405.6,9122.6,2699.1,2611.1,9722.5,8152.7,9719.1,3005.2,1673.2,1349.6,5412.4,530.6,2469.5,3480.1,2149.8,5494.5,9395.1,4238.8,3554.9,3990.7,2954.7,2319.9,2608.4,9962.4,6105.7,6228.2,3023.5,6618.2,3713.5,2205.9,4461.2,1052.5,5922.4,9556.4,0,8564.7,9982.7,5764.7,9623.0,99.5,1025.0
Rotterdam,8303.9,8101.2,7496.2,6945.5,7730.5,5391.1,3369.3,2849.6,3284.9,5614.5,3600.9,6767.1,1877.9,5691.8,9304.5,9747.9,7284.0,9315.1,2356.4,3544.2,4233.4,701.7,306.4,2678.7,533.6,228.6,7863.4,1212.2,1675.7,8.2,5735.5,6837.4,9219.3,5327.1,5070.0,2589.7,4094.0,8203.3,8329.2,6994.6,7408.6,2511.5,3235.4,8564.7,0,968.8,918.3,2663.4,8168.3,2473.4
East Aurora,2906.1,2039.0,3379.1,3257.5,6223.4,9749.7,5154.2,6533.8,5050.3,1599.0,4436.6,111.2,4120.2,2560.4,3858.8,2388.2,4310.6,9611.6,3182.1,5814.4,8331.6,7530.4,3108.4,3895.6,8871.9,4871.3,1197.9,8497.2,8200.4,2318.7,7083.9,2210.6,4260.7,5623.1,9273.8,3595.3,7808.8,609.8,226.3,699.7,1325.5,4171.2,7529.7,9982.7,968.8,0,9622.5,1072.8,9191.2,7155.7
Johnstown,8669.5,9540.8,2309.6,1727.5,3213.5,8697.0,4681.5,8713.5,2469.0,5264.8,1434.5,1963.7,3239.2,3556.4,4926.5,6319.1,2345.2,2039.2,5963.8,378.6,5865.4,5889.5,8359.2,2988.1,6052.9,7270.3,6852.5,5181.6,9048.2,2844.0,9317.6,915.8,8518.2,6649.8,4069.8,1374.9,2092.9,8383.9,5429.6,7560.7,4506.7,531.3,8593.2,5764.7,918.3,9622.5,0,1639.2,1278.5,3068.5
Cortland,9815.3,3123.0,5571.1,7037.2,1998.6,9069.3,7133.6,6697.6,4478.0,2787.5,8204.7,8663.4,112.4,6031.5,1849.3,1407.9,3760.4,6536.6,4913.3,7930.2,7234.9,5212.2,3929.3,8924.9,8087.9,2562.6,2927.5,6880.6,6356.1,5188.7,7019.3,9646.9,647.4,3303.8,510.5,752.6,2164.2,9009.9,6629.6,2321.2,1266.9,2083.4,853.6,9623.0,2663.4,1072.8,1639.2,0,6166.1,3560.3
Lockport,3966.1,487.8,8821.5,4329.8,6981.9,1299.0,2350.9,4991.1,8955.4,5683.6,2570.1,5263.3,2511.4,2846.4,6118.5,8388.6,6653.3,7305.6,7370.3,2929.7,5566.2,9249.9,1905.1,1925.3,6034.9,2021.3,8811.6,1032.6,9079.8,7004.0,2371.3,8598.4,5879.4,8539.4,1840.9,9759.8,9654.6,2049.0,3915.1,8746.7,8574.1,4063.9,2641.2,99.5,8168.3,9191.2,1278.5,6166.1,0,2637.4
Sag Harbor,6069.2,7167.2,6762.5,283.5,8017.5,1320.5,142.5,3085.5,4068.4,2743.8,7685.8,1733.6,4738.5,9752.4,650.6,1452.4,3573.2,6493.8,1425.0,4554.8,1870.8,2398.8,6366.2,3084.5,7580.1,3229.9,1201.9,9189.0,2505.7,6480.3,1384.9,6056.3,9331.0,793.6,8610.1,1012.2,8939.4,8661.2,7544.4,719.4,1388.2,5607.8,2458.8,1025.0,2473.4,7155.7,3068.5,3560.3,2637.4,0
