CSV,Eastchester,Elmira,Watkins Glen,Lake Placid,Staten Island,Oneonta,Sag Harbor,Coney Island,Plattsburgh,Utica,Hyde Park,Stony Point,Peekskill,Ossining,Mamaroneck,Crown Point,Lackawanna,Geneva,Mineola,Watertown,Ogdensburg,Johnstown,Clinton,Hudson,Cortland,Ithaca,Kingston,Garden City,Hammondsport,Cooperstown,Newburgh,Schenectady,West Seneca,Dunkirk,Bronx,Chautauqua,Herkimer,Saranac Lake,Tarrytown,Brooklyn,Rome,Cohoes,Hempstead,Glens Falls,Babylon,Middletown,Ilion,Port Washington,Scarsdale
Mamaroneck,3750.8,3553.3,8042.4,2057.0,7074.6,80.9,1371.4,5928.2,9314.3,7744.5,685.4,561.2,6585.4,3434.8,0,4467.2,4926.9,4917.6,2021.9,7368.4,741.3,7392.4,243.7,1175.7,1315.6,8946.0,1313.1,408.7,7464.4,8207.4,755.0,1591.6,5512.5,5170.5,8270.4,3793.9,3576.7,9408.3,7977.5,1465.0,5450.5,4030.4,5502.4,2207.7,9142.8,6774.6,9586.9,1994.2,769.7
Crown Point,3724.7,3108.0,3188.7,3816.8,1831.5,9721.5,7000.8,7212.1,9202.6,8570.0,8072.5,2679.0,7429.9,9055.3,4467.2,0,7950.8,9339.4,9625.9,9448.8,8253.6,4682.3,3452.4,9073.4,5977.0,757.6,7278.2,8110.6,6615.1,2759.1,8279.6,8900.7,6782.8,3461.4,213.7,3717.0,8795.4,974.6,9.0,6932.9,4305.0,5012.8,7209.5,5388.0,9262.1,4705.7,5883.5,1249.3,4723.0
Lackawanna,3202.0,5754.2,8892.2,4386.5,8542.5,5135.8,2082.4,4579.7,3706.7,385.7,5944.0,7442.7,1429.4,1161.7,4926.9,7950.8,0,3877.1,3471.5,7034.0,6111.5,1838.7,7005.2,3211.3,2764.8,2970.3,9097.5,9595.5,1631.7,1534.6,7639.2,9676.2,4058.5,4769.5,6589.8,1294.3,2467.9,1199.4,7989.7,2593.8,633.7,2486.9,273.7,300.5,2971.6,6706.5,984.6,647.9,7191.3
Geneva,9998.4,3743.8,2495.6,3045.7,3543.0,5679.5,3891.0,4665.6,4427.6,8689.3,3610.9,1368.5,7168.4,5265.0,4917.6,9339.4,3877.1,0,2518.2,6935.4,5172.6,820.3,8208.1,2226.9,9286.6,7943.6,6442.2,4878.4,228.5,594.8,5191.8,5742.2,6021.1,6032.1,705.8,7136.2,3041.9,6889.5,1917.3,4793.7,4640.8,6697.1,844.2,6408.8,4402.9,9280.1,3128.0,2057.9,190.7
Mineola,7658.8,4282.4,4487.6,3700.8,6157.6,1426.9,2170.3,4443.3,1390.8,3509.0,547.7,2780.6,710.9,5342.9,2021.9,9625.9,3471.5,2518.2,0,6533.9,2653.5,4.0,7198.7,3749.7,6787.3,3833.4,9519.9,9379.2,8706.0,1279.1,1596.7,1669.8,2485.6,7120.5,5887.2,2795.7,1130.6,6763.1,8929.4,67.9,8220.6,4900.5,8840.1,8302.5,1237.7,3924.9,3078.2,2128.4,4316.4
Watertown,504.4,4469.0,2841.8,9239.9,2198.7,387.3,3732.7,4766.6,3932.8,4801.1,1560.3,3479.5,961.8,7412.7,7368.4,9448.8,7034.0,6935.4,6533.9,0,6094.9,1738.1,4647.1,1702.6,8132.9,2699.5,7311.4,1462.4,3640.5,7599.0,2888.1,7773.0,2252.8,8837.3,4856.5,2697.9,2017.3,9872.3,3934.1,9649.0,89.3,4353.4,79.2,1861.4,3572.8,4278.9,8727.4,3128.8,6427.4
Ogdensburg,7174.7,8345.9,56.0,2754.8,5273.6,664.1,7681.5,8135.5,1151.8,6826.5,4095.7,3648.0,2698.2,9455.4,741.3,8253.6,6111.5,5172.6,2653.5,6094.9,0,6749.4,3854.3,221.0,8992.8,3554.9,1070.1,6194.4,1872.7,2354.3,7458.6,8137.9,9573.5,5853.1,9141.6,3919.8,8971.0,1702.3,4199.5,6354.2,6823.0,7062.8,5053.4,7690.2,2926.3,3333.5,1610.1,6623.9,6558.2
Johnstown,9987.3,3156.9,4611.3,111.5,7449.5,4833.8,2407.2,8244.9,8984.0,9916.0,2522.9,375.6,4844.4,9720.5,7392.4,4682.3,1838.7,820.3,4.0,1738.1,6749.4,0,3592.0,1755.2,5657.3,8088.9,3683.0,5432.5,8461.2,8745.6,5230.0,9289.3,5135.2,6553.6,8887.0,8041.1,9053.1,4798.7,1007.3,668.2,990.5,168.0,7766.6,5531.0,4745.1,9550.4,5749.9,1995.9,5060.5
Clinton,6905.4,5008.1,5103.2,4308.2,7919.5,9793.5,2312.2,4039.6,1842.3,8143.7,7474.1,6119.0,687.5,3598.9,243.7,3452.4,7005.2,8208.1,7198.7,4647.1,3854.3,3592.0,0,9896.9,1047.0,3471.0,9846.9,520.4,6904.5,3187.5,837.6,1371.5,6704.9,1926.5,9153.1,3745.5,6088.2,3352.3,9672.4,1892.8,441.1,6787.9,3587.7,7821.8,7254.1,8252.2,1146.1,3404.8,7461.5
Hudson,7627.0,9744.3,3045.3,6902.0,2131.2,2606.7,3518.4,6807.1,7389.1,1429.3,6626.4,7537.7,5474.7,4445.6,1175.7,9073.4,3211.3,2226.9,3749.7,1702.6,221.0,1755.2,9896.9,0,2969.8,8961.7,8012.6,5434.7,8927.0,700.8,619.2,6294.0,6111.8,7272.3,1321.2,5219.0,2662.0,278.7,5253.8,2831.6,9477.0,7799.2,2753.8,1266.2,6598.7,6494.5,526.9,4321.1,8757.3
Cortland,2897.7,5476.0,5862.8,6035.6,5182.1,1079.8,631.3,5272.3,6851.3,9620.8,7778.4,4698.2,7043.0,6528.8,1315.6,5977.0,2764.8,9286.6,6787.3,8132.9,8992.8,5657.3,1047.0,2969.8,0,1333.1,6183.9,5036.7,2524.0,8813.0,1184.6,8433.0,908.2,6718.7,4936.9,8557.0,4692.4,1454.8,3341.0,7610.8,7673.4,5318.5,9949.7,5990.3,3974.8,9489.9,2913.1,1171.2,2757.5
Ithaca,1478.6,1542.2,6264.0,3351.9,2693.8,156.5,7969.2,8579.6,3097.8,1883.3,7966.9,5612.6,5533.0,7294.8,8946.0,757.6,2970.3,7943.6,3833.4,2699.5,3554.9,8088.9,3471.0,8961.7,1333.1,0,4870.5,1999.8,2418.1,4450.9,713.4,5876.1,4232.1,9167.7,6208.1,7897.8,2089.6,9161.2,390.5,6624.1,6941.1,7889.3,3672.2,31.4,5737.1,4211.5,9251.8,3086.5,565.9
Kingston,5511.5,1101.9,9734.7,6691.7,1135.1,8462.0,6080.5,6460.1,6950.1,6619.8,752.2,1419.6,8088.7,1508.8,1313.1,7278.2,9097.5,6442.2,9519.9,7311.4,1070.1,3683.0,9846.9,8012.6,6183.9,4870.5,0,1875.1,539.6,7380.6,8747.2,8336.7,1508.1,7673.1,7072.5,2221.2,7211.1,1060.2,1136.4,8925.6,7578.1,4268.1,1392.0,702.3,6941.3,1367.7,315.2,1945.0,1049.6
Garden City,9037.9,8127.9,8332.6,5798.1,7746.2,6137.7,1322.3,6582.8,2879.1,1587.5,804.3,5895.4,8262.5,3360.8,408.7,8110.6,9595.5,4878.4,9379.2,1462.4,6194.4,5432.5,520.4,5434.7,5036.7,1999.8,1875.1,0,4042.8,6562.7,8605.5,7060.4,3055.2,4443.0,236.4,3854.0,9622.5,982.5,6503.0,5282.5,656.7,2222.7,9775.7,3293.5,2760.5,4463.4,8685.7,5959.9,5928.9
Hammondsport,4429.7,359.3,7250.9,9190.7,1070.2,7904.7,4470.4,348.4,1983.3,1118.4,6914.5,2374.2,4568.5,8282.6,7464.4,6615.1,1631.7,228.5,8706.0,3640.5,1872.7,8461.2,6904.5,8927.0,2524.0,2418.1,539.6,4042.8,0,3183.5,9679.5,5742.0,1511.0,2180.5,9212.1,9549.3,3011.2,8241.3,3413.6,5356.6,3949.4,2899.3,331.2,4506.6,3936.4,2699.8,7136.8,9488.9,9083.2
Cooperstown,963.4,2524.2,1857.1,4197.9,6608.5,6215.4,8515.5,8754.8,837.8,7423.2,5002.5,3434.2,9149.7,5219.8,8207.4,2759.1,1534.6,594.8,1279.1,7599.0,2354.3,8745.6,3187.5,700.8,8813.0,4450.9,7380.6,6562.7,3183.5,0,3419.0,5771.2,2675.9,9449.2,609.0,5453.3,7376.6,815.5,5026.3,1743.9,9148.2,2981.1,4487.4,7753.9,4871.1,3297.9,3540.2,2085.2,5544.1
Newburgh,3339.6,9642.6,2107.0,9452.4,823.7,1259.4,6330.9,3216.4,2976.3,3039.1,7850.9,9863.5,669.6,522.7,755.0,8279.6,7639.2,5191.8,1596.7,2888.1,7458.6,5230.0,837.6,619.2,1184.6,713.4,8747.2,8605.5,9679.5,3419.0,0,5961.8,828.6,5046.5,7899.4,1434.7,2081.8,8942.4,6674.1,6624.5,158.2,6834.9,5419.9,7144.2,9943.5,4158.6,4323.3,8962.6,5711.9
Schenectady,7138.0,7666.2,8915.7,410.5,4156.0,7114.2,5723.5,3627.8,2500.3,594.6,275.7,1290.7,4205.5,1791.4,1591.6,8900.7,9676.2,5742.2,1669.8,7773.0,8137.9,9289.3,1371.5,6294.0,8433.0,5876.1,8336.7,7060.4,5742.0,5771.2,5961.8,0,6540.5,9911.5,1177.5,9453.1,2453.4,1316.3,7346.9,380.9,1280.9,3158.2,1114.6,6479.0,4803.2,2165.2,9658.7,4175.5,654.7
West Seneca,2823.4,5805.1,9031.6,8221.2,4178.6,6086.9,6599.6,6930.3,9058.3,4021.3,8626.8,1766.3,8061.9,5424.4,5512.5,6782.8,4058.5,6021.1,2485.6,2252.8,9573.5,5135.2,6704.9,6111.8,908.2,4232.1,1508.1,3055.2,1511.0,2675.9,828.6,6540.5,0,1454.0,5206.0,4440.4,6314.2,7973.5,9880.5,9648.1,5377.3,5723.4,2101.4,2547.6,851.4,9376.1,2394.3,120.5,3258.2
Dunkirk,9360.7,8835.7,3755.5,3751.8,2992.6,1409.4,8840.9,1288.4,3563.0,2266.0,3317.0,7818.1,2888.9,7955.8,5170.5,3461.4,4769.5,6032.1,7120.5,8837.3,5853.1,6553.6,1926.5,7272.3,6718.7,9167.7,7673.1,4443.0,2180.5,9449.2,5046.5,9911.5,1454.0,0,1867.9,3997.0,4514.9,3722.0,4777.7,9463.1,7264.4,7147.8,5931.4,9031.2,7922.4,2485.7,4115.8,3241.7,2296.1
Bronx,7784.9,1272.0,5709.8,117.7,7436.3,3946.5,9579.1,8151.0,7304.6,4690.0,9259.5,8877.4,201.7,2403.5,8270.4,213.7,6589.8,705.8,5887.2,4856.5,9141.6,8887.0,9153.1,1321.2,4936.9,6208.1,7072.5,236.4,9212.1,609.0,7899.4,1177.5,5206.0,1867.9,0,6688.4,3462.5,8946.2,2743.9,4291.5,6699.0,9225.5,8849.7,6120.0,2711.9,939.8,8466.2,8399.3,7704.0
Chautauqua,4805.0,6095.6,3913.0,2953.2,5141.9,3636.7,1645.4,1765.3,8891.0,1426.8,554.6,6053.9,5208.3,1965.9,3793.9,3717.0,1294.3,7136.2,2795.7,2697.9,3919.8,8041.1,3745.5,5219.0,8557.0,7897.8,2221.2,3854.0,9549.3,5453.3,1434.7,9453.1,4440.4,3997.0,6688.4,0,9187.4,2772.9,5848.4,547.5,8909.2,4336.7,6676.8,246.1,9593.6,1031.8,2205.3,8460.4,6438.5
Herkimer,1814.7,2822.4,1017.3,4599.8,1490.1,5455.6,7779.3,9852.3,4893.7,8133.3,2895.5,6677.2,8214.4,2840.6,3576.7,8795.4,2467.9,3041.9,1130.6,2017.3,8971.0,9053.1,6088.2,2662.0,4692.4,2089.6,7211.1,9622.5,3011.2,7376.6,2081.8,2453.4,6314.2,4514.9,3462.5,9187.4,0,766.3,6972.9,8066.6,3416.6,4118.1,4869.5,1438.1,2980.6,4587.2,5521.3,514.2,2332.5
Saranac Lake,8442.7,182.5,6882.9,7922.3,6695.5,8841.9,871.1,4295.8,8100.8,8108.6,6668.1,3258.3,290.6,7124.6,9408.3,974.6,1199.4,6889.5,6763.1,9872.3,1702.3,4798.7,3352.3,278.7,1454.8,9161.2,1060.2,982.5,8241.3,815.5,8942.4,1316.3,7973.5,3722.0,8946.2,2772.9,766.3,0,8200.3,5054.6,2860.5,3534.8,814.0,2671.8,9447.6,9277.7,3605.9,7306.6,3639.1
Tarrytown,6791.0,9942.0,2337.5,9686.2,3160.5,6627.2,1442.4,9384.0,3002.4,5020.4,7693.6,6150.6,2117.1,7402.1,7977.5,9.0,7989.7,1917.3,8929.4,3934.1,4199.5,1007.3,9672.4,5253.8,3341.0,390.5,1136.4,6503.0,3413.6,5026.3,6674.1,7346.9,9880.5,4777.7,2743.9,5848.4,6972.9,8200.3,0,8553.8,3357.7,711.0,9618.6,4576.0,9052.3,9897.4,3385.4,2508.4,6253.0
Brooklyn,2170.8,8016.3,2379.9,8466.3,10.5,6681.5,3947.3,3061.7,6576.2,9444.1,6837.8,5898.0,2238.4,3713.2,1465.0,6932.9,2593.8,4793.7,67.9,9649.0,6354.2,668.2,1892.8,2831.6,7610.8,6624.1,8925.6,5282.5,5356.6,1743.9,6624.5,380.9,9648.1,9463.1,4291.5,547.5,8066.6,5054.6,8553.8,0,7201.4,4295.0,9230.0,8107.6,6917.8,984.9,9438.1,5384.1,4383.4
Rome,6776.0,3208.5,405.8,2268.4,3451.8,2982.5,3133.1,4129.5,5752.0,4915.7,3748.7,3217.6,5226.8,6893.1,5450.5,4305.0,633.7,4640.8,8220.6,89.3,6823.0,990.5,441.1,9477.0,7673.4,6941.1,7578.1,656.7,3949.4,9148.2,158.2,1280.9,5377.3,7264.4,6699.0,8909.2,3416.6,2860.5,3357.7,7201.4,0,6501.3,9673.1,1488.0,9871.5,9251.3,9510.6,6115.3,7845.6
Cohoes,1109.7,9281.4,8912.6,2664.2,4644.8,2824.6,1847.5,5794.2,1996.4,4716.1,6938.3,9687.3,6233.6,2139.4,4030.4,5012.8,2486.9,6697.1,4900.5,4353.4,7062.8,168.0,6787.9,7799.2,5318.5,7889.3,4268.1,2222.7,2899.3,2981.1,6834.9,3158.2,5723.4,7147.8,9225.5,4336.7,4118.1,3534.8,711.0,4295.0,6501.3,0,4170.6,4046.2,3079.0,7855.2,7961.3,2643.0,5643.3
Hempstead,6949.5,8037.6,3485.6,7076.1,8177.6,7403.2,6216.5,5888.3,4860.0,9324.3,3229.3,3335.7,561.5,5684.5,5502.4,7209.5,273.7,844.2,8840.1,79.2,5053.4,7766.6,3587.7,2753.8,9949.7,3672.2,1392.0,9775.7,331.2,4487.4,5419.9,1114.6,2101.4,5931.4,8849.7,6676.8,4869.5,814.0,9618.6,9230.0,9673.1,4170.6,0,4564.1,6527.7,5427.1,5070.1,1312.5,350.4
Glens Falls,2173.7,1316.6,5694.7,6442.1,134.1,7042.9,8289.6,4163.1,9058.0,2740.1,4628.0,6717.8,1529.0,1084.5,2207.7,5388.0,300.5,6408.8,8302.5,1861.4,7690.2,5531.0,7821.8,1266.2,5990.3,31.4,702.3,3293.5,4506.6,7753.9,7144.2,6479.0,2547.6,9031.2,6120.0,246.1,1438.1,2671.8,4576.0,8107.6,1488.0,4046.2,4564.1,0,3291.6,9706.1,6381.2,5652.5,7290.7
Babylon,1686.5,1489.5,6076.5,2412.1,7683.3,5390.7,9389.8,9178.6,9290.8,8948.9,1842.2,4877.2,7060.1,4642.0,9142.8,9262.1,2971.6,4402.9,1237.7,3572.8,2926.3,4745.1,7254.1,6598.7,3974.8,5737.1,6941.3,2760.5,3936.4,4871.1,9943.5,4803.2,851.4,7922.4,2711.9,9593.6,2980.6,9447.6,9052.3,6917.8,9871.5,3079.0,6527.7,3291.6,0,5453.5,8148.9,1589.2,5636.9
Middletown,5418.0,4445.8,6864.6,7513.4,3152.3,6996.7,9684.5,9280.4,7791.0,3291.4,3737.5,8802.7,8224.8,1260.6,6774.6,4705.7,6706.5,9280.1,3924.9,4278.9,3333.5,9550.4,8252.2,6494.5,9489.9,4211.5,1367.7,4463.4,2699.8,3297.9,4158.6,2165.2,9376.1,2485.7,939.8,1031.8,4587.2,9277.7,9897.4,984.9,9251.3,7855.2,5427.1,9706.1,5453.5,0,7108.3,1545.8,8727.3
Ilion,8111.0,5528.1,6840.4,9786.1,4768.8,7159.8,4855.1,2505.9,871.6,1193.4,8394.0,3930.2,6681.9,7722.1,9586.9,5883.5,984.6,3128.0,3078.2,8727.4,1610.1,5749.9,1146.1,526.9,2913.1,9251.8,315.2,8685.7,7136.8,3540.2,4323.3,9658.7,2394.3,4115.8,8466.2,2205.3,5521.3,3605.9,3385.4,9438.1,9510.6,7961.3,5070.1,6381.2,8148.9,7108.3,0,6133.9,7226.1
Port Washington,3132.0,8463.1,3352.5,1310.3,907.6,9179.2,4142.3,294.7,1640.0,8840.6,2582.6,6199.4,3431.1,1753.2,1994.2,1249.3,647.9,2057.9,2128.4,3128.8,6623.9,1995.9,3404.8,4321.1,1171.2,3086.5,1945.0,5959.9,9488.9,2085.2,8962.6,4175.5,120.5,3241.7,8399.3,8460.4,514.2,7306.6,2508.4,5384.1,6115.3,2643.0,1312.5,5652.5,1589.2,1545.8,6133.9,0,4704.3
Scarsdale,1278.8,2797.4,9352.7,6425.4,6300.3,347.8,4558.5,8288.3,6205.8,5222.2,2638.8,1162.9,417.8,1523.6,769.7,4723.0,7191.3,190.7,4316.4,6427.4,6558.2,5060.5,7461.5,8757.3,2757.5,565.9,1049.6,5928.9,9083.2,5544.1,5711.9,654.7,3258.2,2296.1,7704.0,6438.5,2332.5,3639.1,6253.0,4383.4,7845.6,5643.3,350.4,7290.7,5636.9,8727.3,7226.1,4704.3,0
