CSV,Poughkeepsie,Lockport,Glens Falls,Potsdam,Mamaroneck,Flushing,Ossining,Newburgh,Harlem,Jamestown,Seneca Falls,Ogdensburg,Rochester,Rotterdam,Oyster Bay,Massena,Binghamton,New Paltz,North Hempstead,White Plains,Coney Island,Bronx,Olean,Manhattan,Rensselaer,Troy,Johnstown,Staten Island,Brooklyn,Woodstock,Saranac Lake,Yonkers,Chautauqua,Stony Brook,Plattsburgh,Kingston,Forest Hills,Batavia,Queens,Mount Vernon,Levittown,Babylon,Tonawanda,Hyde Park,Clinton,East Hampton,New Windsor,Southampton,Middletown,Corning
Ogdensburg,9578.8,2810.8,6209.5,380.2,7332.5,71.6,3533.5,7813.7,1175.4,2423.8,7838.5,0,5170.9,6531.6,4229.4,8351.2,2865.1,6953.1,6527.5,5034.5,4769.1,3128.4,6677.6,617.3,5029.2,1779.6,4766.9,869.8,3219.9,6246.4,9761.6,4725.7,4782.1,8039.0,3480.7,4648.5,7169.9,680.9,8980.9,3843.5,6618.2,6598.6,2562.9,9406.2,4346.9,159.4,3557.4,2390.1,1072.9,9809.0
Rochester,8375.3,6576.7,7659.2,4838.5,3716.2,8365.0,4201.2,2917.7,9179.7,1435.6,7678.0,5170.9,0,2241.2,55.7,8108.3,8208.2,3320.6,5471.9,743.5,9450.1,2142.8,7032.8,2569.6,683.3,6811.6,5623.7,5439.5,1075.8,4587.2,9175.8,284.8,9143.8,74.5,2670.0,912.7,2598.4,9321.1,8722.8,8464.4,3116.2,5849.8,4206.5,751.9,1333.3,814.8,9453.9,7957.0,5452.9,2673.8
Rotterdam,8580.4,4087.8,4578.7,3620.2,5576.6,7245.9,2844.6,9096.8,6019.1,5874.8,7138.6,6531.6,2241.2,0,9277.4,5011.7,7486.1,9368.8,343.1,4141.0,5690.4,9319.8,9336.9,5848.0,4804.9,865.9,6098.6,2477.7,7213.1,7070.8,8975.4,1740.9,1304.9,6220.3,8708.7,5077.2,3186.0,5523.1,263.9,9513.1,6847.1,1585.8,6716.8,7088.9,4628.7,3923.4,1892.2,1610.3,5517.1,5459.8
Oyster Bay,3968.0,8592.2,6264.3,458.6,9942.4,8724.5,3176.0,2255.3,2773.2,5782.6,2357.0,4229.4,55.7,9277.4,0,6852.8,9349.5,2949.4,5991.6,1308.8,445.0,1512.8,1368.9,2870.1,6594.3,1415.5,2041.4,7482.2,6652.4,7018.6,2270.1,6709.8,3710.5,2583.8,9577.0,7863.5,9591.5,1869.0,6801.5,4086.1,9700.7,3641.1,6526.3,2131.0,1554.5,6371.2,595.1,777.4,4735.9,40.2
Massena,4579.0,7511.2,4406.9,1092.3,6214.1,4775.2,5743.2,6116.7,7274.8,2428.7,8681.0,8351.2,8108.3,5011.7,6852.8,0,8030.5,2908.0,2598.2,6296.7,9815.0,7678.6,2565.7,4370.5,5876.5,1752.1,554.7,9955.7,7425.3,9388.3,1602.7,9683.6,7452.8,9585.0,1615.3,8145.0,6522.1,5389.9,8716.0,8418.4,6193.5,6531.8,8717.5,4868.7,3073.3,2636.6,3814.6,9504.0,7066.7,9385.9
Binghamton,3631.3,929.5,3108.2,2393.5,6520.6,2476.4,342.0,211.8,7947.5,9877.1,7612.6,2865.1,8208.2,7486.1,9349.5,8030.5,0,3543.3,4716.5,2427.5,4052.1,7440.4,1529.8,390.0,3580.7,8794.3,7415.9,5545.3,4032.9,8328.0,3220.7,1228.5,3409.0,8796.1,6190.3,3562.0,4999.8,915.0,4760.7,4745.1,8521.9,9234.0,2320.7,3070.5,3988.8,4595.3,7545.5,7229.8,1978.7,2669.9
New Paltz,4541.7,8997.0,4933.5,8397.2,8449.7,1756.1,9705.5,3857.0,2691.6,5788.8,9759.9,6953.1,3320.6,9368.8,2949.4,2908.0,3543.3,0,2608.0,5314.7,1230.3,5980.8,7649.7,1648.0,3325.9,6327.3,6963.7,1109.3,1501.7,9755.8,9051.8,9073.2,4569.4,9756.5,2476.3,4116.2,3670.5,2816.5,7001.1,8986.4,1397.2,6636.4,1722.8,7488.7,3947.2,5753.2,1752.5,5960.1,5316.0,5013.4
North Hempstead,7045.9,9103.3,1713.0,3002.3,5398.4,4485.3,2196.8,5100.8,4663.8,5620.5,9089.2,6527.5,5471.9,343.1,5991.6,2598.2,4716.5,2608.0,0,7141.3,8366.9,1654.0,2466.8,7818.7,6468.2,5241.8,5888.2,1339.3,5367.4,4978.8,3454.4,3781.7,1897.0,9578.0,6224.9,733.9,5595.1,351.5,3383.5,3651.3,5498.7,799.5,2555.4,4622.4,6735.1,4132.6,9847.8,4383.3,963.5,6804.0
White Plains,2966.8,8297.9,2903.0,9164.6,1890.7,6778.9,9181.2,6983.9,676.9,5547.6,6827.3,5034.5,743.5,4141.0,1308.8,6296.7,2427.5,5314.7,7141.3,0,551.4,8304.0,4953.1,3961.4,1335.0,2230.8,6348.8,5217.8,7627.6,353.5,8807.2,5094.0,6894.5,6454.4,2381.0,5946.7,7150.1,9578.9,7745.6,597.5,630.8,3770.1,154.7,3230.2,9538.3,2106.3,6277.8,7384.5,5124.1,1592.1
Coney Island,4840.3,8276.6,3883.3,7878.5,7185.5,1922.6,9116.5,1919.1,5204.5,9915.3,9945.3,4769.1,9450.1,5690.4,445.0,9815.0,4052.1,1230.3,8366.9,551.4,0,823.7,4206.2,9759.8,891.6,6361.6,2126.1,9828.8,3459.0,8292.5,1749.6,1174.5,8160.3,2898.6,2660.1,368.6,4891.9,8861.0,8065.6,7839.3,9525.4,542.2,9923.8,1851.2,3756.1,9008.3,939.2,6741.2,6162.6,3587.8
Bronx,9315.7,2282.7,5223.7,8239.1,1418.9,5627.0,8765.9,8152.4,2783.6,2643.3,9999.1,3128.4,2142.8,9319.8,1512.8,7678.6,7440.4,5980.8,1654.0,8304.0,823.7,0,414.6,5652.7,2413.6,7810.6,4615.5,192.8,9575.2,7643.2,2610.7,8191.3,8857.1,7274.3,1364.4,6793.0,3593.6,6202.4,3421.3,2246.9,4161.1,8759.2,4316.1,3437.9,2858.4,8906.2,7929.1,6629.2,1252.8,9361.4
Olean,3490.4,5525.9,1039.9,4618.5,9340.7,138.5,5239.1,5925.9,858.5,2772.9,8170.7,6677.6,7032.8,9336.9,1368.9,2565.7,1529.8,7649.7,2466.8,4953.1,4206.2,414.6,0,9976.0,6485.5,9539.2,6201.2,3062.8,1029.3,7421.0,5187.5,8693.0,8399.2,1423.0,2353.3,4989.3,439.9,8112.2,5915.0,867.6,2216.2,4765.3,6397.1,780.2,1391.3,3608.0,9651.6,6689.6,5388.3,6685.2
Manhattan,274.6,9941.2,5017.3,7322.1,9733.7,7516.8,6402.2,6581.2,7479.5,3523.5,7690.0,617.3,2569.6,5848.0,2870.1,4370.5,390.0,1648.0,7818.7,3961.4,9759.8,5652.7,9976.0,0,5810.5,9271.4,9566.5,863.6,3281.2,2633.0,2631.9,8193.8,5255.2,3361.3,4532.6,3672.7,7265.8,660.2,5684.5,3046.4,5017.9,8945.2,1866.8,3428.5,2920.2,2245.6,5439.9,1340.9,4591.2,2187.2
Rensselaer,4867.0,4352.7,1451.3,3029.5,5628.5,9085.4,3079.2,2099.3,7763.8,6207.5,3044.7,5029.2,683.3,4804.9,6594.3,5876.5,3580.7,3325.9,6468.2,1335.0,891.6,2413.6,6485.5,5810.5,0,931.3,5809.7,1114.0,5502.3,4667.5,6249.8,4747.4,8529.4,6286.3,8005.3,2335.8,4549.6,5981.4,6780.9,6216.6,2197.5,822.9,3785.7,2850.0,4488.8,1154.1,7161.6,2632.5,3203.4,4503.4
Troy,5281.0,5201.4,5494.7,2331.5,6468.9,389.5,9778.3,4597.8,9369.6,1078.2,8496.4,1779.6,6811.6,865.9,1415.5,1752.1,8794.3,6327.3,5241.8,2230.8,6361.6,7810.6,9539.2,9271.4,931.3,0,4264.4,9062.3,201.6,7892.5,9176.9,4380.6,2218.0,7171.3,5887.0,6071.4,8995.7,7959.3,4977.4,891.1,4933.2,2586.4,123.9,1379.5,7922.1,6452.9,2814.7,4210.6,2316.1,9547.1
Johnstown,5517.7,3769.6,5797.1,394.3,2555.8,7242.8,8380.4,6784.8,1974.1,1807.2,4350.8,4766.9,5623.7,6098.6,2041.4,554.7,7415.9,6963.7,5888.2,6348.8,2126.1,4615.5,6201.2,9566.5,5809.7,4264.4,0,1746.2,5466.8,3298.0,3720.8,9261.3,2915.0,2453.1,3375.5,6763.3,4129.0,3465.5,1848.0,4015.5,9188.3,5908.2,8477.0,1836.0,9832.2,8772.9,3798.1,4942.4,1823.7,7659.0
Staten Island,4358.8,622.6,1049.6,1390.2,9591.0,520.0,7804.0,4162.9,1987.5,5968.5,4404.5,869.8,5439.5,2477.7,7482.2,9955.7,5545.3,1109.3,1339.3,5217.8,9828.8,192.8,3062.8,863.6,1114.0,9062.3,1746.2,0,3103.7,5502.4,5080.0,679.2,9483.7,472.3,8150.4,5196.9,7990.5,644.6,1508.2,1459.2,7830.4,759.1,3674.9,2214.2,1841.3,9597.1,6318.7,5983.9,6159.4,4885.8
Brooklyn,7747.7,7762.4,9995.0,7746.8,1853.3,3893.8,9140.5,4508.6,8184.4,8532.0,2445.9,3219.9,1075.8,7213.1,6652.4,7425.3,4032.9,1501.7,5367.4,7627.6,3459.0,9575.2,1029.3,3281.2,5502.3,201.6,5466.8,3103.7,0,487.4,2872.8,3061.5,9419.3,8970.5,2042.7,6329.7,5837.2,6910.1,8020.6,268.6,4612.1,1455.9,2598.9,5761.6,1106.9,9024.6,8449.9,8970.1,1035.7,4346.3
Woodstock,6745.3,2333.0,2656.5,8710.2,3776.0,7153.7,9994.9,9566.2,4641.7,9095.7,5206.3,6246.4,4587.2,7070.8,7018.6,9388.3,8328.0,9755.8,4978.8,353.5,8292.5,7643.2,7421.0,2633.0,4667.5,7892.5,3298.0,5502.4,487.4,0,3215.4,9461.5,1389.7,9934.5,516.4,3534.7,229.3,5423.9,460.5,3841.4,7221.7,1472.7,7666.2,3212.5,2818.7,3476.6,1358.3,4304.3,991.4,7232.8
Saranac Lake,1963.4,4394.6,3108.9,6732.9,8419.4,2710.4,5668.2,7310.7,1485.1,774.3,9132.2,9761.6,9175.8,8975.4,2270.1,1602.7,3220.7,9051.8,3454.4,8807.2,1749.6,2610.7,5187.5,2631.9,6249.8,9176.9,3720.8,5080.0,2872.8,3215.4,0,3289.0,2739.0,4869.0,5292.7,6735.2,4402.4,269.7,9734.7,9426.2,591.0,643.5,9124.3,5589.1,3048.7,3265.1,8417.0,432.2,771.2,6013.6
Yonkers,9706.7,1950.5,7642.4,5598.7,4343.4,4770.9,178.1,6070.3,219.0,7567.5,5357.2,4725.7,284.8,1740.9,6709.8,9683.6,1228.5,9073.2,3781.7,5094.0,1174.5,8191.3,8693.0,8193.8,4747.4,4380.6,9261.3,679.2,3061.5,9461.5,3289.0,0,7007.7,8728.1,80.6,6077.8,8640.5,547.7,652.9,1699.2,7968.0,5782.7,197.1,3952.8,3260.0,1962.7,7956.8,4279.9,7856.3,3116.6
Chautauqua,5407.0,707.0,2533.5,3821.5,7557.1,7485.8,5483.5,1967.3,823.6,8691.4,8254.1,4782.1,9143.8,1304.9,3710.5,7452.8,3409.0,4569.4,1897.0,6894.5,8160.3,8857.1,8399.2,5255.2,8529.4,2218.0,2915.0,9483.7,9419.3,1389.7,2739.0,7007.7,0,9542.7,6024.0,9851.6,5304.5,2511.6,756.0,312.8,4801.0,4900.3,7003.6,4555.6,2863.6,7035.6,6253.7,6439.2,3151.9,8031.4
Stony Brook,5731.4,3304.5,3635.2,7300.4,5601.6,2988.3,2412.5,5107.4,7348.7,1763.9,8491.6,8039.0,74.5,6220.3,2583.8,9585.0,8796.1,9756.5,9578.0,6454.4,2898.6,7274.3,1423.0,3361.3,6286.3,7171.3,2453.1,472.3,8970.5,9934.5,4869.0,8728.1,9542.7,0,4396.4,1067.9,8345.8,9841.2,7773.6,1339.4,8286.4,4876.4,1598.6,8644.6,7595.0,4160.3,1061.3,363.2,5789.4,3127.1
Plattsburgh,9811.9,1287.5,2252.4,3382.2,8925.2,2806.2,4756.5,6747.2,3287.6,546.7,2934.3,3480.7,2670.0,8708.7,9577.0,1615.3,6190.3,2476.3,6224.9,2381.0,2660.1,1364.4,2353.3,4532.6,8005.3,5887.0,3375.5,8150.4,2042.7,516.4,5292.7,80.6,6024.0,4396.4,0,2403.6,9291.1,6279.9,8501.4,296.9,3031.4,496.2,8903.3,6099.0,2693.2,4754.1,9232.7,1523.5,352.4,25.6
Kingston,2133.8,3854.8,2409.2,3136.4,2454.1,917.6,7883.2,993.2,5052.6,747.0,6451.0,4648.5,912.7,5077.2,7863.5,8145.0,3562.0,4116.2,733.9,5946.7,368.6,6793.0,4989.3,3672.7,2335.8,6071.4,6763.3,5196.9,6329.7,3534.7,6735.2,6077.8,9851.6,1067.9,2403.6,0,9059.9,6382.4,4411.8,5452.4,7710.1,3535.8,836.1,9284.1,9584.4,8462.3,4861.7,9857.4,3229.0,5777.6
Forest Hills,46.2,4232.8,9452.1,9153.6,8617.0,2288.0,4247.4,4360.6,6633.4,3396.2,7631.7,7169.9,2598.4,3186.0,9591.5,6522.1,4999.8,3670.5,5595.1,7150.1,4891.9,3593.6,439.9,7265.8,4549.6,8995.7,4129.0,7990.5,5837.2,229.3,4402.4,8640.5,5304.5,8345.8,9291.1,9059.9,0,6583.3,5112.0,3216.2,3759.1,2376.6,9609.9,7998.4,326.8,7165.0,4784.2,6984.8,9066.4,3897.1
Batavia,7957.8,6188.2,816.3,9242.6,932.5,712.9,19.3,8217.4,8190.1,6172.1,7854.3,680.9,9321.1,5523.1,1869.0,5389.9,915.0,2816.5,351.5,9578.9,8861.0,6202.4,8112.2,660.2,5981.4,7959.3,3465.5,644.6,6910.1,5423.9,269.7,547.7,2511.6,9841.2,6279.9,6382.4,6583.3,0,5514.4,9347.8,4481.6,7795.8,4064.0,4949.8,2537.5,7975.0,8540.0,9520.5,4964.1,3512.6
Queens,723.2,8224.2,3912.0,6107.9,181.2,8624.5,8420.8,1520.9,6335.9,6583.2,4163.3,8980.9,8722.8,263.9,6801.5,8716.0,4760.7,7001.1,3383.5,7745.6,8065.6,3421.3,5915.0,5684.5,6780.9,4977.4,1848.0,1508.2,8020.6,460.5,9734.7,652.9,756.0,7773.6,8501.4,4411.8,5112.0,5514.4,0,1095.5,5541.3,193.7,9909.3,9805.4,9547.4,4867.1,4213.9,2806.7,692.2,9119.7
Mount Vernon,723.4,2931.5,2014.3,2758.0,7004.6,4073.7,3925.2,7007.3,2470.3,4581.2,1935.9,3843.5,8464.4,9513.1,4086.1,8418.4,4745.1,8986.4,3651.3,597.5,7839.3,2246.9,867.6,3046.4,6216.6,891.1,4015.5,1459.2,268.6,3841.4,9426.2,1699.2,312.8,1339.4,296.9,5452.4,3216.2,9347.8,1095.5,0,7860.0,9766.5,7587.3,3201.3,7348.4,4840.6,769.1,967.5,341.7,2604.7
Levittown,7791.9,7894.5,7422.0,8005.1,8420.1,9760.1,5624.7,3517.1,5496.2,2740.0,5696.4,6618.2,3116.2,6847.1,9700.7,6193.5,8521.9,1397.2,5498.7,630.8,9525.4,4161.1,2216.2,5017.9,2197.5,4933.2,9188.3,7830.4,4612.1,7221.7,591.0,7968.0,4801.0,8286.4,3031.4,7710.1,3759.1,4481.6,5541.3,7860.0,0,3064.7,8821.3,4816.3,8353.7,5424.4,2108.7,5543.5,9473.5,5020.9
Babylon,9317.3,6483.7,1513.2,7154.0,1400.5,7316.5,8564.7,3766.0,767.9,4408.5,3816.3,6598.6,5849.8,1585.8,3641.1,6531.8,9234.0,6636.4,799.5,3770.1,542.2,8759.2,4765.3,8945.2,822.9,2586.4,5908.2,759.1,1455.9,1472.7,643.5,5782.7,4900.3,4876.4,496.2,3535.8,2376.6,7795.8,193.7,9766.5,3064.7,0,557.6,7959.5,7132.9,8073.4,4147.0,4074.8,9999.6,1458.3
Tonawanda,462.0,3427.7,9125.2,2205.5,1650.9,6995.3,7619.3,5715.0,9087.8,7412.7,8012.5,2562.9,4206.5,6716.8,6526.3,8717.5,2320.7,1722.8,2555.4,154.7,9923.8,4316.1,6397.1,1866.8,3785.7,123.9,8477.0,3674.9,2598.9,7666.2,9124.3,197.1,7003.6,1598.6,8903.3,836.1,9609.9,4064.0,9909.3,7587.3,8821.3,557.6,0,2311.8,2742.7,7755.9,5413.4,6452.3,7893.7,330.6
Hyde Park,6530.1,1046.7,3468.3,1330.3,8563.7,3514.4,7795.6,91.8,1502.9,3936.4,9275.5,9406.2,751.9,7088.9,2131.0,4868.7,3070.5,7488.7,4622.4,3230.2,1851.2,3437.9,780.2,3428.5,2850.0,1379.5,1836.0,2214.2,5761.6,3212.5,5589.1,3952.8,4555.6,8644.6,6099.0,9284.1,7998.4,4949.8,9805.4,3201.3,4816.3,7959.5,2311.8,0,4749.3,9952.1,2477.8,7120.6,6349.5,7176.3
Clinton,7731.1,7643.5,7601.3,4750.3,1594.9,3933.4,8971.3,4122.6,343.7,8849.5,3237.7,4346.9,1333.3,4628.7,1554.5,3073.3,3988.8,3947.2,6735.1,9538.3,3756.1,2858.4,1391.3,2920.2,4488.8,7922.1,9832.2,1841.3,1106.9,2818.7,3048.7,3260.0,2863.6,7595.0,2693.2,9584.4,326.8,2537.5,9547.4,7348.4,8353.7,7132.9,2742.7,4749.3,0,690.6,1507.7,7845.6,2718.1,7022.8
East Hampton,2057.8,1002.5,9842.1,6571.2,205.4,806.3,2721.2,4059.8,8517.8,1579.8,7186.0,159.4,814.8,3923.4,6371.2,2636.6,4595.3,5753.2,4132.6,2106.3,9008.3,8906.2,3608.0,2245.6,1154.1,6452.9,8772.9,9597.1,9024.6,3476.6,3265.1,1962.7,7035.6,4160.3,4754.1,8462.3,7165.0,7975.0,4867.1,4840.6,5424.4,8073.4,7755.9,9952.1,690.6,0,1900.9,1327.2,6287.9,8085.5
New Windsor,5915.2,4073.8,223.8,6158.2,2311.9,3826.9,383.9,3570.4,6758.5,1052.7,4291.3,3557.4,9453.9,1892.2,595.1,3814.6,7545.5,1752.5,9847.8,6277.8,939.2,7929.1,9651.6,5439.9,7161.6,2814.7,3798.1,6318.7,8449.9,1358.3,8417.0,7956.8,6253.7,1061.3,9232.7,4861.7,4784.2,8540.0,4213.9,769.1,2108.7,4147.0,5413.4,2477.8,1507.7,1900.9,0,2523.6,650.7,7411.1
Southampton,6186.4,1180.6,6392.2,5399.3,2743.5,8305.1,513.0,832.3,1163.1,4396.5,8386.4,2390.1,7957.0,1610.3,777.4,9504.0,7229.8,5960.1,4383.3,7384.5,6741.2,6629.2,6689.6,1340.9,2632.5,4210.6,4942.4,5983.9,8970.1,4304.3,432.2,4279.9,6439.2,363.2,1523.5,9857.4,6984.8,9520.5,2806.7,967.5,5543.5,4074.8,6452.3,7120.6,7845.6,1327.2,2523.6,0,793.7,7058.9
Middletown,6153.4,5673.2,677.9,5594.3,9486.6,6855.3,8719.7,2890.6,9860.3,2909.3,4591.7,1072.9,5452.9,5517.1,4735.9,7066.7,1978.7,5316.0,963.5,5124.1,6162.6,1252.8,5388.3,4591.2,3203.4,2316.1,1823.7,6159.4,1035.7,991.4,771.2,7856.3,3151.9,5789.4,352.4,3229.0,9066.4,4964.1,692.2,341.7,9473.5,9999.6,7893.7,6349.5,2718.1,6287.9,650.7,793.7,0,8282.7
Corning,374.8,1737.8,2412.9,4392.6,2171.0,1062.3,1351.6,2646.8,1379.0,6582.1,7289.3,9809.0,2673.8,5459.8,40.2,9385.9,2669.9,5013.4,6804.0,1592.1,3587.8,9361.4,6685.2,2187.2,4503.4,9547.1,7659.0,4885.8,4346.3,7232.8,6013.6,3116.6,8031.4,3127.1,25.6,5777.6,3897.1,3512.6,9119.7,2604.7,5020.9,1458.3,330.6,7176.3,7022.8,8085.5,7411.1,7058.9,8282.7,0
