CSV,Middletown,New York City,Hammondsport,Poughkeepsie,Stony Point,Manhattan,New Windsor,Fredonia,Cohoes,Nyack,Hudson,Ticonderoga,Scarsdale,Woodstock,Stony Brook,Seneca Falls,Yonkers,Garden City,Coney Island,Newburgh,Rome,Palmyra,Syracuse,Rye,Binghamton,Hyde Park,Jamestown,Babylon,Ithaca,Watkins Glen,Forest Hills,Oyster Bay,Ogdensburg,Southampton,Auburn,Geneva,Lake Placid,East Hampton,Levittown,Sag Harbor,Tonawanda,West Seneca,Brooklyn,Staten Island,Oswego,Rotterdam,Potsdam,New Rochelle,Herkimer
Ticonderoga,1022.1,7603.8,6614.8,4006.5,5701.9,2176.5,3744.4,8375.1,6775.9,4432.1,4040.1,0,5654.2,7681.2,2596.5,163.2,2346.2,1655.7,2453.6,8258.9,507.3,4156.8,1352.3,9046.7,5979.0,9536.0,2567.8,5.9,1936.5,7847.9,9587.1,2719.8,9752.8,5923.7,9748.5,7470.6,6498.5,5492.7,6096.3,5884.9,7166.5,1685.8,2505.1,6009.5,3141.8,396.7,4869.8,3790.5,1167.0
Scarsdale,6.3,95.4,9670.7,4625.3,3422.2,6142.6,6434.2,7022.4,4720.7,8350.0,2520.1,5654.2,0,4919.4,5834.0,2479.2,8716.5,5995.9,5412.9,229.3,1754.6,6530.1,9756.4,5557.0,3699.2,5915.1,6778.5,3169.5,4700.9,8744.6,2321.6,3235.6,2155.8,7507.9,815.7,4938.7,595.1,6169.3,2742.5,5759.1,7599.6,1945.2,4830.2,6398.9,7281.2,9527.9,9511.2,9295.3,1781.1
Woodstock,4858.0,3990.0,357.4,4219.0,4018.9,6317.9,417.0,6782.1,2391.8,3922.1,8859.6,7681.2,4919.4,0,3507.2,1546.2,4378.3,6155.9,9877.5,9960.3,4406.8,2557.8,6557.5,8408.6,3935.0,4990.1,6304.5,6475.9,6893.5,8104.4,2342.3,9000.9,705.7,1615.9,2347.4,9209.8,1250.2,7922.5,6572.9,6762.2,7038.7,4737.2,2671.9,4593.5,3251.3,8498.7,6163.5,9757.5,7508.7
Stony Brook,5063.5,5164.6,5426.0,9649.4,1101.4,5829.6,5400.9,3571.4,4879.0,7669.7,3336.8,2596.5,5834.0,3507.2,0,2071.2,8390.9,6844.7,547.1,214.7,6569.3,1641.7,3006.0,5619.9,9729.3,2399.6,9767.8,1157.5,9069.4,2854.2,9395.6,6982.5,4524.1,9353.2,5916.4,1974.1,7165.4,1151.4,671.7,1067.6,9337.7,2437.5,951.4,7195.4,5250.5,2642.4,2984.9,7551.4,8269.8
Seneca Falls,3354.5,2704.9,4057.2,8961.1,5031.7,3812.4,9677.4,9516.5,1698.4,542.7,6271.2,163.2,2479.2,1546.2,2071.2,0,3467.6,318.8,8639.0,2922.1,6911.3,1947.2,4540.9,5638.2,6603.2,6845.8,4361.5,3484.9,8786.4,2297.7,1080.6,4137.9,6570.6,3363.4,208.1,9547.1,6958.9,6619.6,9776.9,2327.7,8534.9,8211.2,2196.5,177.6,7243.6,8843.3,6784.3,3442.8,7143.3
Yonkers,9063.6,7884.1,6144.3,3558.6,2752.5,96.9,4495.1,2960.4,2331.0,6911.6,4744.1,2346.2,8716.5,4378.3,8390.9,3467.6,0,4923.0,2416.8,9270.4,477.3,2937.1,3898.1,7608.9,1592.9,334.4,811.7,7297.0,4390.8,7350.3,8062.4,7077.5,2182.5,9752.9,6839.5,7575.4,3695.9,7642.5,874.6,1567.0,6797.1,3370.6,394.1,8076.3,4326.8,2051.8,7223.3,4461.7,4832.6
Garden City,6317.5,7775.6,2940.6,2777.5,5473.9,9112.5,4423.5,7407.2,1676.2,915.8,1121.1,1655.7,5995.9,6155.9,6844.7,318.8,4923.0,0,4722.7,6711.6,9464.3,8635.2,5789.5,3160.8,6050.9,9241.8,1433.5,5873.4,360.8,6910.3,7106.1,6684.8,8538.5,9255.8,3500.8,3991.0,1205.4,2620.5,2016.5,6430.3,5866.9,1720.1,6602.9,9727.9,58.5,3888.5,3383.8,3862.9,9947.8
Coney Island,777.2,6662.7,115.2,2559.5,5094.9,865.9,4779.2,9875.4,7478.3,7470.4,4259.9,2453.6,5412.9,9877.5,547.1,8639.0,2416.8,4722.7,0,3475.9,5065.4,7441.6,1283.5,8618.4,8331.9,9355.1,2886.7,3043.0,7152.7,6610.4,9957.2,3242.4,1048.6,5408.3,1181.3,8146.2,6312.8,8631.9,3187.2,2880.3,1455.5,3485.2,8613.6,2215.7,628.5,5622.6,5329.7,285.2,1327.9
Newburgh,7222.5,5157.8,4416.9,353.9,4822.6,3685.7,5987.6,417.8,4275.2,395.9,1175.7,8258.9,229.3,9960.3,214.7,2922.1,9270.4,6711.6,3475.9,0,246.2,9050.8,9045.2,5951.7,2445.1,6551.5,2085.7,3302.2,2139.4,4818.9,9625.7,4825.6,377.1,36.1,2447.7,417.5,700.6,6315.3,1448.6,923.9,8390.5,1550.1,9824.5,4355.6,6550.6,10.4,4306.7,5878.1,8578.5
Rome,11.0,7119.7,1213.0,5582.5,2813.8,555.6,4059.8,6370.7,8819.6,7979.5,8469.6,507.3,1754.6,4406.8,6569.3,6911.3,477.3,9464.3,5065.4,246.2,0,3813.4,988.8,7492.4,8291.3,821.2,2107.7,9086.3,4448.9,4856.0,9899.6,2725.5,1157.6,5179.0,7276.7,9421.2,8206.3,3173.2,6074.2,2351.5,4614.9,464.3,2435.8,8991.4,5535.3,2781.4,9088.1,3182.2,3869.5
Palmyra,9614.5,5414.2,1497.4,8155.7,785.6,1065.3,4046.7,5445.3,1970.8,2852.9,5186.1,4156.8,6530.1,2557.8,1641.7,1947.2,2937.1,8635.2,7441.6,9050.8,3813.4,0,7037.1,1519.8,6677.8,2639.1,3239.6,9501.8,5741.8,2684.2,3359.8,4252.7,3113.7,451.5,9660.7,5316.0,9819.9,1399.8,439.9,5348.4,6221.7,2852.7,2730.3,9292.6,3631.0,1265.4,6077.9,8155.1,9949.9
Syracuse,2117.2,5989.3,5340.6,679.3,8190.4,9222.4,9742.9,6044.9,2257.2,5064.5,565.4,1352.3,9756.4,6557.5,3006.0,4540.9,3898.1,5789.5,1283.5,9045.2,988.8,7037.1,0,8833.2,9217.9,6923.4,8111.6,8834.0,4869.1,2048.1,7341.3,4290.2,9151.7,1164.8,5546.3,6983.5,911.2,7322.8,9003.4,953.5,7977.6,5369.5,4378.5,8216.8,8490.0,7195.8,7291.5,2320.7,3640.2
Rye,9200.2,6078.9,8387.5,1249.8,1152.8,1067.0,2294.0,9111.5,5518.8,1516.9,8425.1,9046.7,5557.0,8408.6,5619.9,5638.2,7608.9,3160.8,8618.4,5951.7,7492.4,1519.8,8833.2,0,9402.1,646.2,4842.2,1703.9,6842.0,5336.0,3711.5,1703.5,9995.3,9914.2,2430.6,7356.3,7610.1,9015.0,8289.2,6856.2,6904.0,7313.5,4568.7,1725.2,6743.5,3291.2,594.0,7053.4,6678.8
Binghamton,6442.7,1700.3,1941.5,4819.9,4119.1,9619.2,3183.3,1390.2,9703.9,1727.0,2363.5,5979.0,3699.2,3935.0,9729.3,6603.2,1592.9,6050.9,8331.9,2445.1,8291.3,6677.8,9217.9,9402.1,0,6137.3,1272.1,4167.3,9432.0,7296.5,6186.5,5115.6,5262.6,8515.3,9410.3,6826.4,3100.4,8881.4,1145.8,5568.2,9606.3,3436.4,6529.4,3528.4,2327.8,2859.5,6769.0,7838.0,3812.8
Hyde Park,4671.1,251.4,6224.4,5172.7,3432.6,2513.0,1162.9,4209.4,6805.6,6152.2,731.2,9536.0,5915.1,4990.1,2399.6,6845.8,334.4,9241.8,9355.1,6551.5,821.2,2639.1,6923.4,646.2,6137.3,0,350.7,8938.3,3205.7,2114.8,2238.3,7550.0,8647.8,4049.6,7029.9,729.8,9460.0,3130.0,3526.0,9822.7,9120.9,2174.5,6196.4,9378.4,2159.1,3854.2,8725.4,8164.8,1327.7
Jamestown,2916.7,2251.8,3098.9,7214.5,9310.9,2192.8,7079.6,9401.2,8172.2,8454.6,7717.0,2567.8,6778.5,6304.5,9767.8,4361.5,811.7,1433.5,2886.7,2085.7,2107.7,3239.6,8111.6,4842.2,1272.1,350.7,0,1545.8,9646.5,1379.6,5439.8,177.2,6772.2,4614.8,5725.4,9694.8,1227.0,1664.4,4099.5,7697.6,3737.8,9500.9,4342.4,5765.7,1655.5,6838.1,6511.9,8652.7,8229.1
Babylon,6911.7,6723.6,8811.1,8365.2,1831.4,5582.4,5013.5,5686.7,4466.2,1193.0,6471.4,5.9,3169.5,6475.9,1157.5,3484.9,7297.0,5873.4,3043.0,3302.2,9086.3,9501.8,8834.0,1703.9,4167.3,8938.3,1545.8,0,1968.9,2719.9,287.2,7733.0,2956.5,2360.5,9669.1,2947.9,1395.8,598.5,3609.6,4328.2,6945.4,4634.4,2977.9,8897.6,4257.8,3600.5,9327.3,757.1,3417.7
Ithaca,2663.4,6918.0,8986.4,2886.6,7834.8,9950.7,2327.2,5134.6,8905.6,3111.0,1106.2,1936.5,4700.9,6893.5,9069.4,8786.4,4390.8,360.8,7152.7,2139.4,4448.9,5741.8,4869.1,6842.0,9432.0,3205.7,9646.5,1968.9,0,8952.9,3279.2,9069.8,158.7,1611.0,2827.3,1922.9,4078.9,4342.8,9697.0,5500.4,4965.8,2645.5,8382.6,739.7,6499.8,4066.6,3202.2,6846.9,3817.9
Watkins Glen,1509.7,4323.2,1939.0,7013.9,2489.2,8675.1,3751.3,304.5,1855.7,737.1,6139.4,7847.9,8744.6,8104.4,2854.2,2297.7,7350.3,6910.3,6610.4,4818.9,4856.0,2684.2,2048.1,5336.0,7296.5,2114.8,1379.6,2719.9,8952.9,0,2561.5,6056.7,8273.9,3393.8,8580.7,4346.4,3226.5,8418.8,1387.8,1946.8,216.7,1418.4,3724.3,1081.9,6833.5,3654.5,9453.5,2982.2,3995.5
Forest Hills,5787.9,9395.4,2854.5,1499.5,950.2,5686.9,6789.0,8950.6,5677.5,3249.4,4459.9,9587.1,2321.6,2342.3,9395.6,1080.6,8062.4,7106.1,9957.2,9625.7,9899.6,3359.8,7341.3,3711.5,6186.5,2238.3,5439.8,287.2,3279.2,2561.5,0,9208.6,5598.1,7282.7,3047.3,143.9,9139.4,2478.6,3745.6,2513.2,7235.3,6832.0,9685.0,3504.7,6310.0,7595.5,319.9,2381.9,1696.2
Oyster Bay,8689.4,9713.5,3664.2,2410.3,2985.2,3010.5,3578.5,5000.1,6784.8,2451.2,2087.7,2719.8,3235.6,9000.9,6982.5,4137.9,7077.5,6684.8,3242.4,4825.6,2725.5,4252.7,4290.2,1703.5,5115.6,7550.0,177.2,7733.0,9069.8,6056.7,9208.6,0,9935.6,3914.3,3551.5,4057.9,6602.7,7644.6,9817.0,509.4,5522.1,4267.5,1294.3,9748.9,9192.0,2805.2,7714.8,1064.9,170.4
Ogdensburg,7856.6,7970.0,3809.2,7939.9,3811.3,2591.9,2125.5,5485.5,1083.8,6173.7,4284.3,9752.8,2155.8,705.7,4524.1,6570.6,2182.5,8538.5,1048.6,377.1,1157.6,3113.7,9151.7,9995.3,5262.6,8647.8,6772.2,2956.5,158.7,8273.9,5598.1,9935.6,0,2393.7,2005.1,3717.3,4282.7,1544.8,3039.7,2976.8,3420.6,2100.4,3808.5,9281.7,5170.2,4791.3,1090.3,629.6,5774.5
Southampton,1481.7,3675.5,8595.2,417.6,3303.6,1604.8,7809.1,6213.1,8253.6,9068.6,5368.5,5923.7,7507.9,1615.9,9353.2,3363.4,9752.9,9255.8,5408.3,36.1,5179.0,451.5,1164.8,9914.2,8515.3,4049.6,4614.8,2360.5,1611.0,3393.8,7282.7,3914.3,2393.7,0,4937.9,8795.8,1199.1,3620.6,3677.2,4691.2,1073.1,657.4,6339.3,9980.4,6244.1,9685.2,7579.0,820.3,8726.4
Auburn,7915.9,3880.1,6281.7,9551.4,1635.5,4991.4,2605.1,261.1,6483.1,9649.3,305.9,9748.5,815.7,2347.4,5916.4,208.1,6839.5,3500.8,1181.3,2447.7,7276.7,9660.7,5546.3,2430.6,9410.3,7029.9,5725.4,9669.1,2827.3,8580.7,3047.3,3551.5,2005.1,4937.9,0,355.1,3901.0,9831.4,8358.6,7164.2,2544.9,1736.7,8132.4,105.8,7691.1,4567.2,9537.7,9852.2,1011.9
Geneva,3957.1,1143.6,8616.7,518.8,3695.6,8727.3,7155.6,1450.4,7505.0,6175.4,3813.3,7470.6,4938.7,9209.8,1974.1,9547.1,7575.4,3991.0,8146.2,417.5,9421.2,5316.0,6983.5,7356.3,6826.4,729.8,9694.8,2947.9,1922.9,4346.4,143.9,4057.9,3717.3,8795.8,355.1,0,3401.3,9891.2,7724.9,6298.5,4461.4,134.3,1519.6,4318.5,4166.4,9942.3,2799.9,2152.4,8046.8
Lake Placid,8377.7,1224.3,3507.6,4743.9,3959.6,1295.1,7861.4,9469.0,5926.9,1532.2,8382.5,6498.5,595.1,1250.2,7165.4,6958.9,3695.9,1205.4,6312.8,700.6,8206.3,9819.9,911.2,7610.1,3100.4,9460.0,1227.0,1395.8,4078.9,3226.5,9139.4,6602.7,4282.7,1199.1,3901.0,3401.3,0,2736.2,890.2,4452.6,7743.2,6138.4,9741.5,81.3,1773.4,5483.0,1516.5,2221.5,9120.4
East Hampton,1525.1,1505.0,185.1,8315.5,6976.6,6557.1,9903.4,2930.4,196.1,331.2,7538.9,5492.7,6169.3,7922.5,1151.4,6619.6,7642.5,2620.5,8631.9,6315.3,3173.2,1399.8,7322.8,9015.0,8881.4,3130.0,1664.4,598.5,4342.8,8418.8,2478.6,7644.6,1544.8,3620.6,9831.4,9891.2,2736.2,0,5466.2,4208.3,5308.8,8174.3,9224.4,9055.7,6830.9,2018.3,9522.0,195.6,1018.5
Levittown,4502.0,1795.7,3825.3,1102.5,5070.5,7140.1,2672.4,3283.7,5724.3,2255.3,2850.8,6096.3,2742.5,6572.9,671.7,9776.9,874.6,2016.5,3187.2,1448.6,6074.2,439.9,9003.4,8289.2,1145.8,3526.0,4099.5,3609.6,9697.0,1387.8,3745.6,9817.0,3039.7,3677.2,8358.6,7724.9,890.2,5466.2,0,1744.9,6122.4,4301.7,6023.1,6267.1,5658.1,8916.8,2278.8,7258.0,1971.0
Sag Harbor,8974.1,3623.2,9764.9,3532.8,7620.2,9212.9,5371.6,6967.8,6907.5,2169.4,354.9,5884.9,5759.1,6762.2,1067.6,2327.7,1567.0,6430.3,2880.3,923.9,2351.5,5348.4,953.5,6856.2,5568.2,9822.7,7697.6,4328.2,5500.4,1946.8,2513.2,509.4,2976.8,4691.2,7164.2,6298.5,4452.6,4208.3,1744.9,0,981.8,9572.7,202.4,1206.5,9968.9,961.9,9864.2,3382.3,3872.8
Tonawanda,2287.0,1288.3,4572.6,9377.9,9022.4,4856.2,296.9,7216.4,2169.6,4879.2,9349.9,7166.5,7599.6,7038.7,9337.7,8534.9,6797.1,5866.9,1455.5,8390.5,4614.9,6221.7,7977.6,6904.0,9606.3,9120.9,3737.8,6945.4,4965.8,216.7,7235.3,5522.1,3420.6,1073.1,2544.9,4461.4,7743.2,5308.8,6122.4,981.8,0,6760.3,2659.2,2901.4,8030.1,4425.4,1212.1,5692.0,6826.1
West Seneca,5683.1,7489.8,9389.1,3371.7,9364.2,3287.3,1998.1,8719.5,57.6,2390.7,1668.8,1685.8,1945.2,4737.2,2437.5,8211.2,3370.6,1720.1,3485.2,1550.1,464.3,2852.7,5369.5,7313.5,3436.4,2174.5,9500.9,4634.4,2645.5,1418.4,6832.0,4267.5,2100.4,657.4,1736.7,134.3,6138.4,8174.3,4301.7,9572.7,6760.3,0,9.9,1168.8,522.8,4607.2,2337.5,1347.2,6190.5
Brooklyn,4298.8,4093.3,9819.7,271.4,6503.5,4895.3,1036.6,3860.5,8086.8,1533.1,230.9,2505.1,4830.2,2671.9,951.4,2196.5,394.1,6602.9,8613.6,9824.5,2435.8,2730.3,4378.5,4568.7,6529.4,6196.4,4342.4,2977.9,8382.6,3724.3,9685.0,1294.3,3808.5,6339.3,8132.4,1519.6,9741.5,9224.4,6023.1,202.4,2659.2,9.9,0,9105.3,3235.3,4508.3,7416.8,519.2,3688.1
Staten Island,5091.9,6902.2,2757.3,8066.2,7372.8,5112.2,7060.1,5391.4,7504.6,6847.7,2389.7,6009.5,6398.9,4593.5,7195.4,177.6,8076.3,9727.9,2215.7,4355.6,8991.4,9292.6,8216.8,1725.2,3528.4,9378.4,5765.7,8897.6,739.7,1081.9,3504.7,9748.9,9281.7,9980.4,105.8,4318.5,81.3,9055.7,6267.1,1206.5,2901.4,1168.8,9105.3,0,6334.9,4188.3,3581.1,8718.4,6877.2
Oswego,1624.2,6400.5,3162.9,863.9,8525.1,1433.1,8361.1,3024.3,1076.0,5546.1,5682.3,3141.8,7281.2,3251.3,5250.5,7243.6,4326.8,58.5,628.5,6550.6,5535.3,3631.0,8490.0,6743.5,2327.8,2159.1,1655.5,4257.8,6499.8,6833.5,6310.0,9192.0,5170.2,6244.1,7691.1,4166.4,1773.4,6830.9,5658.1,9968.9,8030.1,522.8,3235.3,6334.9,0,7774.3,8431.7,5672.0,189.3
Rotterdam,9785.1,4803.4,6262.7,9419.6,4697.3,4429.4,6223.9,5738.1,1832.7,9461.2,3145.8,396.7,9527.9,8498.7,2642.4,8843.3,2051.8,3888.5,5622.6,10.4,2781.4,1265.4,7195.8,3291.2,2859.5,3854.2,6838.1,3600.5,4066.6,3654.5,7595.5,2805.2,4791.3,9685.2,4567.2,9942.3,5483.0,2018.3,8916.8,961.9,4425.4,4607.2,4508.3,4188.3,7774.3,0,8810.1,6205.2,6815.4
Potsdam,1558.6,2052.6,4816.0,8632.3,8490.8,8551.4,1709.1,709.4,1272.7,758.2,5248.6,4869.8,9511.2,6163.5,2984.9,6784.3,7223.3,3383.8,5329.7,4306.7,9088.1,6077.9,7291.5,594.0,6769.0,8725.4,6511.9,9327.3,3202.2,9453.5,319.9,7714.8,1090.3,7579.0,9537.7,2799.9,1516.5,9522.0,2278.8,9864.2,1212.1,2337.5,7416.8,3581.1,8431.7,8810.1,0,2339.4,6284.0
New Rochelle,8647.7,1555.0,1786.2,5666.1,7985.2,7013.5,6258.1,4051.2,1981.4,1278.7,1232.0,3790.5,9295.3,9757.5,7551.4,3442.8,4461.7,3862.9,285.2,5878.1,3182.2,8155.1,2320.7,7053.4,7838.0,8164.8,8652.7,757.1,6846.9,2982.2,2381.9,1064.9,629.6,820.3,9852.2,2152.4,2221.5,195.6,7258.0,3382.3,5692.0,1347.2,519.2,8718.4,5672.0,6205.2,2339.4,0,7725.5
Herkimer,3790.0,7706.8,8731.3,9913.4,8695.4,4748.8,3803.6,9616.3,9574.6,254.5,659.4,1167.0,1781.1,7508.7,8269.8,7143.3,4832.6,9947.8,1327.9,8578.5,3869.5,9949.9,3640.2,6678.8,3812.8,1327.7,8229.1,3417.7,3817.9,3995.5,1696.2,170.4,5774.5,8726.4,1011.9,8046.8,9120.4,1018.5,1971.0,3872.8,6826.1,6190.5,3688.1,6877.2,189.3,6815.4,6284.0,7725.5,0
