CSV,Levittown,Stony Brook,Binghamton,Peekskill,Garden City,Palmyra,Crown Point,Coney Island,Babylon,Scarsdale,Gloversville,Forest Hills,Oneonta,North Hempstead,Middletown,Rensselaer,Auburn,Woodstock,Dunkirk,Batavia,Ogdensburg,Watertown,Hammondsport,Albany,Rome,Rye,Lake Placid,Newburgh,Poughkeepsie,Cortland,Syracuse,Chautauqua,Glens Falls,Cohoes,Ticonderoga,Staten Island,White Plains,Oneida,Massena,Oyster Bay,Harlem,Niagara Falls,Rotterdam,Cooperstown,Hempstead,Potsdam,Utica,Bronx,Port Washington
Gloversville,1564.2,951.7,6089.5,2588.2,4861.8,6260.5,4379.6,9640.9,784.8,990.6,0,5204.4,2363.4,5468.5,3506.9,7842.5,6554.0,2228.9,9675.1,2364.6,1836.2,9561.8,5412.1,3122.6,2526.2,5685.1,6929.9,2034.7,862.5,9900.6,7448.8,9480.7,9562.8,4262.2,5215.9,5444.2,8432.9,3961.8,1597.9,4251.6,9456.2,764.5,3071.8,4091.6,6724.2,9325.4,6981.1,7678.5,5035.3
Forest Hills,1915.9,3051.6,8781.0,306.1,5738.6,9620.5,5014.4,7806.6,2109.8,7009.8,5204.4,0,6044.9,7350.2,9160.4,2036.5,2922.5,2402.3,8623.1,5945.2,7333.9,6304.4,2006.2,1141.4,6216.9,7397.4,2703.7,528.3,9589.8,8000.9,926.7,8715.7,9268.1,7954.8,7634.9,1339.7,6079.4,5697.0,8755.7,4317.5,9891.8,8671.5,965.0,7734.9,4098.0,50.1,9891.5,4686.2,9263.0
Oneonta,1262.3,3070.7,3027.0,1645.2,282.4,1584.0,5060.3,7945.8,9967.2,6084.9,2363.4,6044.9,0,9153.1,4178.7,7319.0,1797.7,4303.5,2223.5,3461.5,8266.2,9690.6,6938.3,5692.4,6299.9,8244.8,2903.0,5195.2,401.3,3846.0,6773.0,9842.2,3946.0,2070.0,6555.6,38.0,3568.2,8415.5,5244.3,1513.8,6212.4,5055.9,2539.9,9457.8,4265.3,7289.6,4292.5,2027.7,2517.8
North Hempstead,4084.4,4544.2,128.0,2833.5,5356.2,8128.7,7489.7,1149.1,6797.7,7461.3,5468.5,7350.2,9153.1,0,5180.5,4631.0,7450.5,1652.1,7587.7,3179.0,184.1,1628.0,1542.3,8815.4,1257.2,7259.2,6757.9,5163.6,9595.2,5847.2,9866.0,4638.5,3743.1,3949.3,4458.3,3514.9,1161.6,5478.3,2764.5,6684.4,3825.2,4787.8,3599.2,905.8,1226.0,8928.8,6583.0,2216.8,5988.7
Middletown,4149.4,5553.0,7700.3,3147.4,8291.0,7558.9,5730.9,5700.8,2571.4,3832.3,3506.9,9160.4,4178.7,5180.5,0,362.4,5671.0,8542.8,316.6,5988.6,3418.6,1645.4,3300.1,3026.4,1834.5,1603.5,9072.5,7504.5,4040.1,3317.9,7461.0,9423.7,9347.1,2238.3,6639.8,872.3,1395.5,7547.1,3837.6,4485.1,1665.5,6985.2,8454.1,9696.2,7361.0,9228.1,7089.6,8476.1,1314.9
Rensselaer,6364.1,3821.4,4065.5,63.2,8748.4,7995.1,9600.3,6183.6,2749.9,4846.3,7842.5,2036.5,7319.0,4631.0,362.4,0,7940.1,4073.8,7192.6,8327.3,6091.0,6983.4,4752.5,6862.0,8536.3,267.0,1359.9,2429.2,536.2,5575.5,806.3,1740.9,6116.0,5023.7,6465.8,7305.0,4983.2,1149.0,2873.7,4114.7,5006.6,6344.7,8213.8,3810.6,5347.1,7968.4,3795.9,6145.3,5429.6
Auburn,93.8,1824.1,7476.6,4826.2,5788.9,5548.6,5990.3,9524.6,1428.6,1915.3,6554.0,2922.5,1797.7,7450.5,5671.0,7940.1,0,4683.0,7924.1,4758.0,3841.7,3417.8,9055.6,4203.8,9744.5,696.6,1755.0,2664.5,1274.0,8630.3,7923.5,1032.7,8705.2,7126.8,2992.2,7787.1,1744.5,3891.1,2680.9,9232.7,8606.4,3549.5,7600.9,6271.0,5665.2,3910.0,3150.9,7602.5,3650.0
Woodstock,4249.4,754.5,8557.8,7825.9,9252.0,1474.7,7553.0,7167.2,5910.8,3702.0,2228.9,2402.3,4303.5,1652.1,8542.8,4073.8,4683.0,0,4161.9,8706.4,184.7,5795.0,7628.4,8237.6,7684.3,2515.4,5802.3,1700.4,3480.6,2967.8,4815.1,6707.8,8465.9,1842.1,7630.5,6824.8,9515.7,5788.3,8224.9,8078.7,9186.6,2039.7,4418.3,9336.5,6822.2,9000.2,2817.6,2198.1,4246.3
Dunkirk,2722.7,3781.8,3631.1,6243.5,2893.2,7718.0,792.9,9116.3,589.6,2678.9,9675.1,8623.1,2223.5,7587.7,316.6,7192.6,7924.1,4161.9,0,3645.0,7796.7,7174.3,3134.6,9222.1,6446.1,5382.8,150.1,411.5,4800.0,7114.1,6702.1,7883.0,8827.8,1502.6,2578.2,4874.7,5313.4,2656.4,2232.5,7082.5,4977.3,2603.2,4251.2,7186.0,2193.9,6285.0,7792.0,4911.7,1313.2
Batavia,5701.6,5580.0,304.0,1170.8,8932.4,6351.3,6852.1,84.4,8750.7,4989.7,2364.6,5945.2,3461.5,3179.0,5988.6,8327.3,4758.0,8706.4,3645.0,0,2759.7,3835.5,8787.3,7721.0,6002.9,1711.8,9799.7,7583.3,3562.3,932.2,978.7,9344.2,1787.9,1992.6,7051.7,5609.4,5973.9,1858.5,4732.6,9225.8,6160.6,6592.7,5393.8,8450.9,6591.7,761.2,1694.7,3400.9,8819.4
Ogdensburg,284.6,4238.7,314.2,449.7,4224.5,8421.4,7669.8,6924.1,2569.7,7616.3,1836.2,7333.9,8266.2,184.1,3418.6,6091.0,3841.7,184.7,7796.7,2759.7,0,6015.5,3139.8,4367.0,6261.5,5788.2,8024.6,6629.8,4771.8,2757.4,2298.8,1038.0,1220.2,2957.3,273.3,5772.4,4662.0,2471.8,5769.6,1636.0,8863.9,270.5,4868.0,2528.0,8889.8,3396.6,2114.5,6926.0,4497.4
Watertown,1285.2,2170.9,9654.0,6517.0,7119.4,9865.1,689.2,6055.5,384.1,6457.8,9561.8,6304.4,9690.6,1628.0,1645.4,6983.4,3417.8,5795.0,7174.3,3835.5,6015.5,0,4056.8,8341.9,3266.7,7232.8,9963.4,2966.3,9478.6,5572.8,9613.9,875.5,3673.0,2481.8,3977.5,4123.7,4019.4,7014.2,9396.7,4050.2,7253.3,6247.1,9607.2,7647.3,7447.6,8812.4,4343.2,9633.0,4131.9
Hammondsport,3932.9,6987.4,1413.0,2099.4,1107.6,5049.0,6346.8,5466.4,6508.6,9174.7,5412.1,2006.2,6938.3,1542.3,3300.1,4752.5,9055.6,7628.4,3134.6,8787.3,3139.8,4056.8,0,1916.5,6912.9,8460.2,7653.4,7035.8,6142.8,621.5,9158.6,7997.5,801.6,8658.3,73.9,9493.1,818.7,9865.3,5460.7,9210.4,1743.1,4414.5,4506.3,5265.9,4077.3,9726.1,8736.8,5623.0,5275.4
Albany,4579.0,8338.9,4676.2,3110.7,3824.4,7701.5,3512.0,1149.5,1425.3,6945.7,3122.6,1141.4,5692.4,8815.4,3026.4,6862.0,4203.8,8237.6,9222.1,7721.0,4367.0,8341.9,1916.5,0,1085.7,7229.1,1937.9,2220.5,5500.6,4628.7,3355.8,1959.0,3129.1,2014.6,1116.3,5990.7,2466.8,8257.2,7698.0,8041.3,3247.1,2626.1,2655.3,5075.4,344.7,2411.9,1134.7,1323.5,9016.8
Rome,3293.9,9297.1,8960.6,225.4,1595.1,5789.2,8677.4,2940.0,6117.9,5921.2,2526.2,6216.9,6299.9,1257.2,1834.5,8536.3,9744.5,7684.3,6446.1,6002.9,6261.5,3266.7,6912.9,1085.7,0,4635.9,8655.6,567.2,842.2,2037.3,4025.4,6019.0,3383.6,7032.3,7965.0,2536.3,9268.6,4538.3,6683.5,1782.3,8335.4,7706.6,8055.4,5131.4,6022.2,6036.5,7445.7,5355.7,2512.0
Rye,1746.8,8913.6,7251.0,7942.1,8145.3,21.9,4634.0,9904.8,5763.8,3833.0,5685.1,7397.4,8244.8,7259.2,1603.5,267.0,696.6,2515.4,5382.8,1711.8,5788.2,7232.8,8460.2,7229.1,4635.9,0,5161.1,1263.4,5606.0,6778.6,8220.4,7142.3,9184.0,6656.5,7460.9,2301.7,8125.6,3928.1,8774.0,473.2,9543.1,4566.2,9659.2,9473.1,5818.5,2996.4,1211.4,9047.4,6601.6
Lake Placid,9626.1,9970.7,6577.4,7461.9,9658.2,2407.9,8028.7,4571.9,8713.3,5244.6,6929.9,2703.7,2903.0,6757.9,9072.5,1359.9,1755.0,5802.3,150.1,9799.7,8024.6,9963.4,7653.4,1937.9,8655.6,5161.1,0,3375.7,6635.8,8482.5,4284.9,2721.7,1291.1,3824.0,9587.2,8426.5,5907.0,7301.5,3122.5,725.9,8684.1,6613.0,4107.7,1668.1,7714.6,849.4,9544.9,1034.2,1346.6
Newburgh,5475.3,141.8,9274.5,6192.5,3841.8,4485.9,468.1,9929.6,998.7,2144.7,2034.7,528.3,5195.2,5163.6,7504.5,2429.2,2664.5,1700.4,411.5,7583.3,6629.8,2966.3,7035.8,2220.5,567.2,1263.4,3375.7,0,2751.2,913.4,6214.2,8075.1,9664.1,1314.5,6546.5,6046.0,2469.1,3810.7,5432.7,3133.6,9503.7,3146.6,1741.1,4624.2,3649.7,4299.7,3105.6,4774.4,374.6
Poughkeepsie,7078.3,7025.7,9152.5,1287.5,6346.6,6802.4,9521.3,7046.6,3438.3,693.5,862.5,9589.8,401.3,9595.2,4040.1,536.2,1274.0,3480.6,4800.0,3562.3,4771.8,9478.6,6142.8,5500.6,842.2,5606.0,6635.8,2751.2,0,452.4,8772.6,447.7,3523.4,9225.2,1411.9,4411.6,5506.9,2193.8,7453.3,3086.3,835.6,2177.5,6390.0,4251.9,8494.1,2383.1,7203.2,3618.3,6332.9
Cortland,5635.3,5218.9,297.2,3775.3,9264.6,1595.2,4446.0,9512.3,8269.0,4451.8,9900.6,8000.9,3846.0,5847.2,3317.9,5575.5,8630.3,2967.8,7114.1,932.2,2757.4,5572.8,621.5,4628.7,2037.3,6778.6,8482.5,913.4,452.4,0,5157.6,9329.1,8258.1,4898.8,5349.3,823.7,7267.4,994.7,9053.1,133.4,6255.6,966.0,7797.1,9353.1,632.7,8915.0,6750.9,915.0,9119.7
Syracuse,2158.2,2371.3,5399.8,9424.7,296.5,1145.1,3498.1,1869.6,3861.8,5025.9,7448.8,926.7,6773.0,9866.0,7461.0,806.3,7923.5,4815.1,6702.1,978.7,2298.8,9613.9,9158.6,3355.8,4025.4,8220.4,4284.9,6214.2,8772.6,5157.6,0,3692.0,2780.1,9602.7,878.6,7367.5,1402.8,7564.2,5309.5,8213.4,1570.5,3092.9,7261.8,2341.1,3334.6,8789.5,3684.9,6396.3,6327.1
Chautauqua,1486.4,713.7,2937.3,1081.8,6610.7,1049.2,2093.2,6384.1,672.8,7061.8,9480.7,8715.7,9842.2,4638.5,9423.7,1740.9,1032.7,6707.8,7883.0,9344.2,1038.0,875.5,7997.5,1959.0,6019.0,7142.3,2721.7,8075.1,447.7,9329.1,3692.0,0,770.7,2808.7,8528.9,5291.1,3344.3,9781.3,2579.2,919.0,4617.7,1363.1,1737.4,5061.7,3979.2,3712.9,2487.8,3459.5,6047.7
Glens Falls,5840.2,1992.7,9991.0,9882.0,8889.3,2716.7,641.8,7582.3,5816.8,3536.4,9562.8,9268.1,3946.0,3743.1,9347.1,6116.0,8705.2,8465.9,8827.8,1787.9,1220.2,3673.0,801.6,3129.1,3383.6,9184.0,1291.1,9664.1,3523.4,8258.1,2780.1,770.7,0,3147.0,3085.3,3206.1,2782.5,4251.5,5080.1,372.6,7287.1,3630.7,4065.6,5640.9,6719.3,9308.7,3195.0,1531.8,6471.6
Cohoes,2270.0,9844.4,7709.2,3953.9,1826.6,3811.9,7501.1,5819.8,127.7,4893.8,4262.2,7954.8,2070.0,3949.3,2238.3,5023.7,7126.8,1842.1,1502.6,1992.6,2957.3,2481.8,8658.3,2014.6,7032.3,6656.5,3824.0,1314.5,9225.2,4898.8,9602.7,2808.7,3147.0,0,9989.0,8703.2,4965.6,7908.9,4971.3,1099.9,4083.3,7943.0,4575.7,4332.1,7513.3,2242.5,3167.2,7575.1,6482.8
Ticonderoga,4785.1,3499.4,2176.2,9975.5,2472.2,4586.6,6544.2,7004.9,6929.4,7891.8,5215.9,7634.9,6555.6,4458.3,6639.8,6465.8,2992.2,7630.5,2578.2,7051.7,273.3,3977.5,73.9,1116.3,7965.0,7460.9,9587.2,6546.5,1411.9,5349.3,878.6,8528.9,3085.3,9989.0,0,5452.6,7593.5,1130.1,7843.2,2090.1,5917.8,5763.7,3850.5,3618.2,3229.5,3154.4,3161.8,3073.9,5613.3
Staten Island,2516.8,2290.7,3340.5,8428.2,9435.0,5225.7,768.2,1828.5,6208.9,5646.2,5444.2,1339.7,38.0,3514.9,872.3,7305.0,7787.1,6824.8,4874.7,5609.4,5772.4,4123.7,9493.1,5990.7,2536.3,2301.7,8426.5,6046.0,4411.6,823.7,7367.5,5291.1,3206.1,8703.2,5452.6,0,8118.1,1872.6,7067.5,6202.8,1077.0,2155.1,1417.1,4588.8,7359.2,1535.1,312.6,3022.7,9145.7
White Plains,2349.2,3.8,3537.3,35.1,1868.4,3497.5,5541.0,2345.4,838.4,3560.6,8432.9,6079.4,3568.2,1161.6,1395.5,4983.2,1744.5,9515.7,5313.4,5973.9,4662.0,4019.4,818.7,2466.8,9268.6,8125.6,5907.0,2469.1,5506.9,7267.4,1402.8,3344.3,2782.5,4965.6,7593.5,8118.1,0,3849.3,984.9,2285.5,3546.4,7408.9,1549.5,49.4,1790.6,7985.9,7113.9,2964.0,6928.7
Oneida,1901.2,4139.4,7123.4,3655.2,2658.9,4710.2,1749.0,7585.8,6055.6,7365.0,3961.8,5697.0,8415.5,5478.3,7547.1,1149.0,3891.1,5788.3,2656.4,1858.5,2471.8,7014.2,9865.3,8257.2,4538.3,3928.1,7301.5,3810.7,2193.8,994.7,7564.2,9781.3,4251.5,7908.9,1130.1,1872.6,3849.3,0,4950.9,9826.2,9263.3,5089.6,3262.3,38.4,921.7,5075.8,6067.3,3251.0,977.0
Massena,523.4,6145.6,2105.3,7519.8,5912.1,2624.7,1759.0,1348.1,4147.1,4562.2,1597.9,8755.7,5244.3,2764.5,3837.6,2873.7,2680.9,8224.9,2232.5,4732.6,5769.6,9396.7,5460.7,7698.0,6683.5,8774.0,3122.5,5432.7,7453.3,9053.1,5309.5,2579.2,5080.1,4971.3,7843.2,7067.5,984.9,4950.9,0,8889.6,677.3,2784.8,9406.2,4999.1,3206.9,6807.1,3292.9,8926.9,1250.6
Oyster Bay,5254.7,2549.6,179.9,5278.6,6494.8,823.6,8645.4,4795.6,5778.1,1787.7,4251.6,4317.5,1513.8,6684.4,4485.1,4114.7,9232.7,8078.7,7082.5,9225.8,1636.0,4050.2,9210.4,8041.3,1782.3,473.2,725.9,3133.6,3086.3,133.4,8213.4,919.0,372.6,1099.9,2090.1,6202.8,2285.5,9826.2,8889.6,0,6971.8,7626.4,9517.3,847.8,1983.4,2490.7,9025.4,8831.5,3571.5
Harlem,8219.9,968.7,1163.7,8192.8,1005.1,4819.6,5533.7,3954.9,1178.9,1251.9,9456.2,9891.8,6212.4,3825.2,1665.5,5006.6,8606.4,9186.6,4977.3,6160.6,8863.9,7253.3,1743.1,3247.1,8335.4,9543.1,8684.1,9503.7,835.6,6255.6,1570.5,4617.7,7287.1,4083.3,5917.8,1077.0,3546.4,9263.3,677.3,6971.8,0,8547.5,2192.1,35.8,1771.0,578.8,1333.6,9175.7,9380.2
Niagara Falls,8520.3,4567.1,7252.6,2170.2,5444.9,4047.8,6797.3,4141.7,6543.6,4413.2,764.5,8671.5,5055.9,4787.8,6985.2,6344.7,3549.5,2039.7,2603.2,6592.7,270.5,6247.1,4414.5,2626.1,7706.6,4566.2,6613.0,3146.6,2177.5,966.0,3092.9,1363.1,3630.7,7943.0,5763.7,2155.1,7408.9,5089.6,2784.8,7626.4,8547.5,0,8954.3,3880.6,5958.5,4254.9,8879.3,5364.5,2137.1
Rotterdam,1427.0,9638.0,1328.9,2681.8,1530.8,4777.7,559.1,4831.1,6307.9,968.0,3071.8,965.0,2539.9,3599.2,8454.1,8213.8,7600.9,4418.3,4251.2,5393.8,4868.0,9607.2,4506.3,2655.3,8055.4,9659.2,4107.7,1741.1,6390.0,7797.1,7261.8,1737.4,4065.6,4575.7,3850.5,1417.1,1549.5,3262.3,9406.2,9517.3,2192.1,8954.3,0,2046.6,6045.7,5013.1,4393.7,7490.2,8613.9
Cooperstown,1461.9,9071.8,9938.5,5535.3,8495.9,480.5,695.5,8749.1,21.4,3598.3,4091.6,7734.9,9457.8,905.8,9696.2,3810.6,6271.0,9336.5,7186.0,8450.9,2528.0,7647.3,5265.9,5075.4,5131.4,9473.1,1668.1,4624.2,4251.9,9353.1,2341.1,5061.7,5640.9,4332.1,3618.2,4588.8,49.4,38.4,4999.1,847.8,35.8,3880.6,2046.6,0,7156.9,9093.5,5277.2,285.3,8166.4
Hempstead,6603.4,508.2,1298.0,8069.7,1034.5,2025.9,5951.3,7200.4,8055.3,8797.2,6724.2,4098.0,4265.3,1226.0,7361.0,5347.1,5665.2,6822.2,2193.9,6591.7,8889.8,7447.6,4077.3,344.7,6022.2,5818.5,7714.6,3649.7,8494.1,632.7,3334.6,3979.2,6719.3,7513.3,3229.5,7359.2,1790.6,921.7,3206.9,1983.4,1771.0,5958.5,6045.7,7156.9,0,8049.7,6834.3,5033.4,9440.7
Potsdam,1647.8,226.3,6038.6,3608.9,5239.4,4033.6,4680.1,7885.4,6821.7,348.6,9325.4,50.1,7289.6,8928.8,9228.1,7968.4,3910.0,9000.2,6285.0,761.2,3396.6,8812.4,9726.1,2411.9,6036.5,2996.4,849.4,4299.7,2383.1,8915.0,8789.5,3712.9,9308.7,2242.5,3154.4,1535.1,7985.9,5075.8,6807.1,2490.7,578.8,4254.9,5013.1,9093.5,8049.7,0,8612.6,2820.8,7192.3
Utica,3851.3,9988.7,4889.0,7569.3,8726.7,4782.9,9061.8,5682.4,7334.3,2069.8,6981.1,9891.5,4292.5,6583.0,7089.6,3795.9,3150.9,2817.6,7792.0,1694.7,2114.5,4343.2,8736.8,1134.7,7445.7,1211.4,9544.9,3105.6,7203.2,6750.9,3684.9,2487.8,3195.0,3167.2,3161.8,312.6,7113.9,6067.3,3292.9,9025.4,1333.6,8879.3,4393.7,5277.2,6834.3,8612.6,0,4393.2,2051.3
Bronx,3465.4,962.7,2835.8,4984.8,8355.0,7301.8,6280.2,5293.8,6014.1,6014.6,7678.5,4686.2,2027.7,2216.8,8476.1,6145.3,7602.5,2198.1,4911.7,3400.9,6926.0,9633.0,5623.0,1323.5,5355.7,9047.4,1034.2,4774.4,3618.3,915.0,6396.3,3459.5,1531.8,7575.1,3073.9,3022.7,2964.0,3251.0,8926.9,8831.5,9175.7,5364.5,7490.2,285.3,5033.4,2820.8,4393.2,0,1716.9
Port Washington,1936.3,6713.2,142.4,4424.5,5468.0,9842.8,9386.4,987.5,2624.0,8837.5,5035.3,9263.0,2517.8,5988.7,1314.9,5429.6,3650.0,4246.3,1313.2,8819.4,4497.4,4131.9,5275.4,9016.8,2512.0,6601.6,1346.6,374.6,6332.9,9119.7,6327.1,6047.7,6471.6,6482.8,5613.3,9145.7,6928.7,977.0,1250.6,3571.5,9380.2,2137.1,8613.9,8166.4,9440.7,7192.3,2051.3,1716.9,0
