CSV,Albany,Levittown,Mineola,New Rochelle,Binghamton,Tonawanda,Johnstown,Auburn,Scarsdale,Newburgh,Flushing,White Plains,Watertown,Cortland,Stony Point,Port Washington,Corning,Mamaroneck,Eastchester,Bedford,Beacon,Massena,Troy,Mount Vernon,Geneva,East Hampton,Kingston,Chautauqua,Gloversville,Rensselaer,Olean,Coney Island,Oneida,Ithaca,Rome,Crown Point,Staten Island,Amsterdam,Hudson,Lake Placid,Oyster Bay,New Paltz,Niagara Falls,Great Neck,Palmyra,Ilion,New York City,Woodstock,Herkimer
Flushing,9413.3,7246.2,9431.2,8830.9,5735.9,5411.4,764.3,741.2,944.8,5400.0,0,6596.2,7978.9,462.3,4429.9,8108.1,7664.5,2687.6,2899.6,7954.9,8393.8,4986.1,2067.6,3691.9,1504.5,3209.1,3385.9,1719.7,7097.6,4420.0,3204.9,8121.3,3261.5,5599.3,6197.4,2428.3,4353.1,1111.2,3536.4,4358.0,7350.7,4514.3,9464.1,3895.7,5826.5,9004.8,4065.2,8899.9,4188.9
White Plains,8087.6,395.4,8682.6,8327.8,1207.8,7437.2,9207.9,3149.0,3776.7,6311.2,6596.2,0,8268.6,8173.9,7488.4,3231.2,625.5,6777.1,4841.7,9782.9,5959.3,5906.0,382.8,6459.5,903.3,1250.1,8432.1,9253.8,3607.0,9352.0,3823.2,8142.3,7612.7,9782.8,2094.2,1303.9,6733.3,8371.6,953.1,2971.0,8134.3,3799.2,5200.9,2337.5,9566.9,6388.8,4846.6,963.1,1670.9
Watertown,4191.8,8292.2,9925.4,8591.0,9466.5,5340.8,2107.3,1520.6,9631.3,213.8,7978.9,8268.6,0,3404.2,7665.9,3506.8,4542.4,109.4,4009.1,2357.6,9565.6,5383.1,8656.3,7256.2,8174.9,4494.1,61.8,177.8,4802.0,4000.9,2408.5,3248.4,9037.3,8210.4,6103.8,7847.2,7021.5,6201.5,1250.0,7074.3,8485.0,7501.4,3985.2,3910.4,285.1,1847.7,9349.8,3131.9,6047.4
Cortland,9645.3,2752.9,8281.7,2650.1,5722.0,5523.2,1517.8,8835.9,4902.0,1492.6,462.3,8173.9,3404.2,0,7362.1,4350.5,8468.6,9240.9,6430.2,1429.2,7138.2,1982.8,1409.9,1498.6,9790.8,2545.6,7589.3,8878.4,3946.4,5669.5,8726.7,2787.8,4121.6,1249.7,6665.6,3522.0,7424.4,7512.3,5702.2,3430.0,1677.5,4653.4,6469.0,3995.9,4162.0,2595.3,4211.5,5595.3,5343.4
Stony Point,7800.8,533.1,9189.7,882.5,5951.1,3047.8,4250.1,8283.2,2046.4,760.0,4429.9,7488.4,7665.9,7362.1,0,1260.1,3669.1,2430.7,9244.5,9187.2,271.9,6333.9,1594.5,4835.6,4185.1,2734.3,2947.9,1119.4,5345.0,945.0,1461.5,9317.3,1001.5,5150.2,9624.1,9875.3,3676.8,7336.3,1339.9,9241.7,3402.8,9672.4,4380.3,9470.7,7465.7,7745.3,8254.4,7492.6,1687.7
Port Washington,7290.9,900.1,1609.1,8816.9,3258.9,3535.2,9041.8,7724.6,2885.3,303.7,8108.1,3231.2,3506.8,4350.5,1260.1,0,1202.0,358.5,6489.0,8822.7,1981.8,9752.4,8093.0,6542.9,6844.1,771.9,8050.4,4832.6,885.9,2208.2,1307.2,2211.4,5171.8,7770.2,6193.1,9197.3,3242.9,7952.0,4176.8,7001.2,2174.5,4476.5,8493.0,372.0,9948.1,7981.7,277.9,6090.4,3502.8
Corning,5260.2,7222.3,3195.9,363.0,4299.9,9055.8,3772.9,501.2,6984.2,4900.7,7664.5,625.5,4542.4,8468.6,3669.1,1202.0,0,9221.3,3461.9,9179.2,8659.6,2585.2,3752.5,2661.8,8682.3,5981.6,7067.4,3344.2,7859.4,8958.5,7760.2,6259.6,9781.4,9213.3,9293.8,5528.3,8375.2,8490.8,5677.7,5919.5,8182.8,510.4,362.2,8356.5,4583.4,9170.6,9778.1,9209.3,1562.0
Mamaroneck,733.6,1459.3,4479.7,3931.2,8279.8,6448.4,4377.6,1198.8,7819.0,8190.3,2687.6,6777.1,109.4,9240.9,2430.7,358.5,9221.3,0,1022.8,8777.6,2219.1,5337.5,9853.3,3839.6,8084.8,2178.3,9659.9,4129.0,4303.7,5132.7,7898.9,2401.2,9791.7,7244.7,7229.0,9693.6,826.1,2350.3,5387.1,9455.9,7276.5,9520.4,593.0,4688.0,8451.3,5035.1,9906.9,3883.0,6876.2
Eastchester,6829.8,6681.4,7117.4,7454.6,8781.5,6610.9,1626.2,6234.1,9037.0,1516.2,2899.6,4841.7,4009.1,6430.2,9244.5,6489.0,3461.9,1022.8,0,523.5,1491.8,5974.8,6043.9,2279.6,2852.7,929.1,8371.9,5318.8,9204.9,5857.0,9581.0,9749.4,4089.3,357.8,9915.6,4192.0,4859.9,6144.2,504.8,1953.1,798.0,6649.8,7103.6,3368.3,3289.5,1095.1,5969.9,9799.1,2661.7
Bedford,5435.9,3678.6,6857.0,1540.1,7924.0,2611.4,1600.2,738.4,7168.3,4241.4,7954.9,9782.9,2357.6,1429.2,9187.2,8822.7,9179.2,8777.6,523.5,0,1609.8,8585.3,1074.5,4851.9,7628.7,2744.5,3614.4,2114.4,6024.2,296.1,1697.7,9205.2,5007.3,6578.9,9665.0,6101.5,3324.2,2717.7,8116.2,1856.4,2759.3,3969.3,7581.6,307.5,7688.0,3618.8,8108.8,2409.8,578.5
Beacon,3306.2,5269.3,7754.5,7101.5,2885.6,6303.7,5271.8,2035.2,9957.8,6571.6,8393.8,5959.3,9565.6,7138.2,271.9,1981.8,8659.6,2219.1,1491.8,1609.8,0,2737.3,3566.3,5815.9,7695.0,2869.9,9713.2,3201.2,4683.6,969.4,255.5,5709.0,2965.0,7554.4,1631.1,5449.4,1599.2,4452.5,6829.5,1632.2,9346.4,3279.0,8012.2,8387.9,2022.0,1722.5,1550.3,3101.8,3742.3
Massena,1361.0,8588.7,6732.1,1740.6,4567.2,5773.3,199.9,8083.7,5145.4,3601.0,4986.1,5906.0,5383.1,1982.8,6333.9,9752.4,2585.2,5337.5,5974.8,8585.3,2737.3,0,2243.6,2955.5,8356.8,8165.3,3462.9,8534.3,1234.6,1252.8,9703.3,9129.3,3973.7,8895.1,3579.9,6336.5,4303.2,9376.2,8338.5,1257.7,5409.2,8726.5,4221.6,8336.8,3533.1,977.4,4159.2,8598.4,3786.1
Troy,1121.0,3597.7,4271.7,7530.2,9031.8,5657.7,5696.6,1962.5,5097.0,4637.6,2067.6,382.8,8656.3,1409.9,1594.5,8093.0,3752.5,9853.3,6043.9,1074.5,3566.3,2243.6,0,2562.8,9067.9,8653.8,812.3,8075.4,7465.1,8076.4,2747.0,26.5,2255.8,5188.7,9154.7,3335.7,4789.1,433.9,1299.1,1044.3,3399.8,7407.2,2764.0,8637.5,9475.9,4179.9,1151.6,2320.3,6665.5
Mount Vernon,5336.2,1265.1,6139.4,5724.8,9279.5,1321.9,6164.2,7465.2,1606.9,2952.7,3691.9,6459.5,7256.2,1498.6,4835.6,6542.9,2661.8,3839.6,2279.6,4851.9,5815.9,2955.5,2562.8,0,3345.1,378.4,1287.4,9916.4,1738.9,3793.9,516.1,5381.7,3722.2,4485.7,8701.6,4599.9,9520.6,2798.1,996.4,3359.6,1367.6,5705.4,1582.3,2309.3,7261.2,717.8,7924.2,4696.8,6499.6
Geneva,7879.6,4378.8,9480.6,1254.2,5251.0,7480.5,1570.0,3078.8,2083.5,9597.2,1504.5,903.3,8174.9,9790.8,4185.1,6844.1,8682.3,8084.8,2852.7,7628.7,7695.0,8356.8,9067.9,3345.1,0,3002.4,317.7,9810.0,2787.3,6733.2,6896.6,1923.6,6322.8,4653.5,195.2,3876.5,3062.1,8012.9,2382.6,7397.6,9857.4,7188.2,9776.8,4033.5,2969.4,3431.1,4664.3,8674.5,77.0
East Hampton,3898.5,7151.3,7191.2,4076.1,7817.0,871.1,879.7,3562.8,2482.3,1672.1,3209.1,1250.1,4494.1,2545.6,2734.3,771.9,5981.6,2178.3,929.1,2744.5,2869.9,8165.3,8653.8,378.4,3002.4,0,4097.7,8069.5,5967.4,8534.6,2427.0,1943.8,3778.2,9258.4,5021.0,529.1,8498.4,1041.2,6566.4,4005.0,1686.7,6729.6,1777.6,9204.3,5831.8,5438.8,5962.8,2322.1,339.5
Kingston,4408.1,3921.9,187.6,6224.6,9656.1,6839.0,3262.4,1601.2,4610.6,9569.0,3385.9,8432.1,61.8,7589.3,2947.9,8050.4,7067.4,9659.9,8371.9,3614.4,9713.2,3462.9,812.3,1287.4,317.7,4097.7,0,3683.0,9479.6,8068.6,139.9,3349.8,873.0,2111.3,2279.1,6425.4,3334.5,6003.9,5461.7,3844.6,7528.7,1512.4,4195.1,2984.0,9335.4,7507.4,9758.1,6027.5,3320.0
Chautauqua,909.0,7551.3,2669.6,1807.6,8034.9,6095.5,2359.5,9828.5,7104.0,266.0,1719.7,9253.8,177.8,8878.4,1119.4,4832.6,3344.2,4129.0,5318.8,2114.4,3201.2,8534.3,8075.4,9916.4,9810.0,8069.5,3683.0,0,7565.2,3816.7,3364.3,3922.5,2451.8,7044.1,4671.7,5666.4,1476.5,8606.6,3611.7,8617.0,1339.8,3056.4,543.6,8461.2,9087.1,8817.0,1212.1,1898.7,7764.9
Gloversville,3703.6,5239.0,9951.9,6642.2,3788.4,645.8,7549.3,5038.4,1074.0,5515.6,7097.6,3607.0,4802.0,3946.4,5345.0,885.9,7859.4,4303.7,9204.9,6024.2,4683.6,1234.6,7465.1,1738.9,2787.3,5967.4,9479.6,7565.2,0,5832.7,4184.6,2713.1,5884.5,7312.3,1470.7,1059.5,4383.0,9622.4,4235.2,1088.2,2597.3,891.4,4487.0,2380.4,1329.5,2922.4,9751.4,7801.5,5962.9
Rensselaer,9361.2,2039.4,253.4,6222.9,7670.0,9805.4,1071.3,3588.0,1914.9,7053.4,4420.0,9352.0,4000.9,5669.5,945.0,2208.2,8958.5,5132.7,5857.0,296.1,969.4,1252.8,8076.4,3793.9,6733.2,8534.6,8068.6,3816.7,5832.7,0,4892.7,3124.2,3631.1,9918.0,2664.5,8167.8,7845.9,3029.6,2330.1,9725.8,5359.4,1276.3,414.2,7540.6,7422.3,4807.5,8012.0,5910.8,870.5
Olean,9729.4,1124.9,3789.3,6822.5,5371.2,7633.6,9276.0,1575.3,6686.7,3554.1,3204.9,3823.2,2408.5,8726.7,1461.5,1307.2,7760.2,7898.9,9581.0,1697.7,255.5,9703.3,2747.0,516.1,6896.6,2427.0,139.9,3364.3,4184.6,4892.7,0,1976.9,7652.3,9462.8,6012.3,7886.8,394.1,1343.9,2889.4,306.3,531.0,9670.8,9700.3,7232.4,1866.8,2519.4,5519.3,9380.8,3145.4
Coney Island,4247.8,5808.1,2069.1,3256.2,3497.4,5674.9,1021.8,1847.2,1440.6,8358.3,8121.3,8142.3,3248.4,2787.8,9317.3,2211.4,6259.6,2401.2,9749.4,9205.2,5709.0,9129.3,26.5,5381.7,1923.6,1943.8,3349.8,3922.5,2713.1,3124.2,1976.9,0,9900.4,897.7,8953.7,9093.0,2586.8,3580.9,8007.9,8743.7,4305.0,9402.7,9161.2,8785.0,6166.0,5530.1,8780.5,112.6,8671.8
Oneida,7051.9,5113.7,8402.0,3762.4,5200.1,4343.5,8133.9,5805.2,8441.1,6813.1,3261.5,7612.7,9037.3,4121.6,1001.5,5171.8,9781.4,9791.7,4089.3,5007.3,2965.0,3973.7,2255.8,3722.2,6322.8,3778.2,873.0,2451.8,5884.5,3631.1,7652.3,9900.4,0,7477.9,3911.1,8541.7,8051.7,9723.9,3324.7,3038.9,6023.0,4323.8,5282.4,6704.3,4897.5,5289.3,5340.5,782.5,8114.9
Ithaca,9933.3,937.8,4546.0,2195.1,2174.1,1826.3,9100.0,8844.4,1198.3,6522.9,5599.3,9782.8,8210.4,1249.7,5150.2,7770.2,9213.3,7244.7,357.8,6578.9,7554.4,8895.1,5188.7,4485.7,4653.5,9258.4,2111.3,7044.1,7312.3,9918.0,9462.8,897.7,7477.9,0,7690.2,6636.0,3827.1,7331.2,9353.8,1720.6,7112.4,7157.8,5798.6,9995.2,7499.0,396.0,8435.5,2394.7,3771.4
Rome,5884.6,9563.9,426.8,2983.8,8270.0,3274.2,9360.2,4435.7,8483.7,6245.4,6197.4,2094.2,6103.8,6665.6,9624.1,6193.1,9293.8,7229.0,9915.6,9665.0,1631.1,3579.9,9154.7,8701.6,195.2,5021.0,2279.1,4671.7,1470.7,2664.5,6012.3,8953.7,3911.1,7690.2,0,7496.4,8186.6,9881.5,7488.7,4722.1,7673.2,1579.9,1674.1,960.1,477.0,1886.5,1983.6,7185.0,1573.9
Crown Point,2215.0,1348.7,8697.3,8703.1,6255.2,1319.3,1276.5,622.1,5450.4,6707.4,2428.3,1303.9,7847.2,3522.0,9875.3,9197.3,5528.3,9693.6,4192.0,6101.5,5449.4,6336.5,3335.7,4599.9,3876.5,529.1,6425.4,5666.4,1059.5,8167.8,7886.8,9093.0,8541.7,6636.0,7496.4,0,1667.7,7842.6,6361.3,5157.9,4802.7,5333.2,3209.9,5010.2,1786.7,3173.5,1601.3,9054.7,8150.1
Staten Island,2586.0,604.8,6840.8,8552.5,470.2,8283.0,1535.7,7942.8,1179.9,8997.8,4353.1,6733.3,7021.5,7424.4,3676.8,3242.9,8375.2,826.1,4859.9,3324.2,1599.2,4303.2,4789.1,9520.6,3062.1,8498.4,3334.5,1476.5,4383.0,7845.9,394.1,2586.8,8051.7,3827.1,8186.6,1667.7,0,3428.4,9181.6,9690.5,3615.9,9246.0,3625.9,5382.0,6834.9,6418.8,4102.7,9176.2,5451.9
Amsterdam,525.1,8645.4,8705.9,4382.4,2477.0,5369.7,7656.3,3691.3,5870.8,4356.2,1111.2,8371.6,6201.5,7512.3,7336.3,7952.0,8490.8,2350.3,6144.2,2717.7,4452.5,9376.2,433.9,2798.1,8012.9,1041.2,6003.9,8606.6,9622.4,3029.6,1343.9,3580.9,9723.9,7331.2,9881.5,7842.6,3428.4,0,5322.7,231.1,8273.7,9969.2,6562.3,7803.4,8363.4,7689.2,1850.2,4069.9,3254.7
Hudson,7139.2,3964.3,9220.3,1869.2,2629.0,1508.3,1424.1,1770.5,8020.1,290.0,3536.4,953.1,1250.0,5702.2,1339.9,4176.8,5677.7,5387.1,504.8,8116.2,6829.5,8338.5,1299.1,996.4,2382.6,6566.4,5461.7,3611.7,4235.2,2330.1,2889.4,8007.9,3324.7,9353.8,7488.7,6361.3,9181.6,5322.7,0,8795.4,9086.9,4612.5,1407.0,1460.0,8760.7,5395.3,9555.8,6446.8,5817.3
Lake Placid,4822.4,7527.3,3850.2,7598.2,6785.4,3116.8,6509.6,2906.0,5885.5,749.0,4358.0,2971.0,7074.3,3430.0,9241.7,7001.2,5919.5,9455.9,1953.1,1856.4,1632.2,1257.7,1044.3,3359.6,7397.6,4005.0,3844.6,8617.0,1088.2,9725.8,306.3,8743.7,3038.9,1720.6,4722.1,5157.9,9690.5,231.1,8795.4,0,2213.0,6762.0,6561.6,8093.2,4337.3,8189.1,6504.0,8895.8,2986.6
Oyster Bay,3584.7,2891.1,8612.7,9181.3,1671.4,2987.9,2134.4,5897.6,5250.4,645.4,7350.7,8134.3,8485.0,1677.5,3402.8,2174.5,8182.8,7276.5,798.0,2759.3,9346.4,5409.2,3399.8,1367.6,9857.4,1686.7,7528.7,1339.8,2597.3,5359.4,531.0,4305.0,6023.0,7112.4,7673.2,4802.7,3615.9,8273.7,9086.9,2213.0,0,8634.7,6279.8,2329.5,5876.7,9987.0,8114.4,8232.1,7848.7
New Paltz,2995.3,2587.0,7542.7,7071.7,5544.4,6257.9,8321.2,6567.4,1825.9,9278.1,4514.3,3799.2,7501.4,4653.4,9672.4,4476.5,510.4,9520.4,6649.8,3969.3,3279.0,8726.5,7407.2,5705.4,7188.2,6729.6,1512.4,3056.4,891.4,1276.3,9670.8,9402.7,4323.8,7157.8,1579.9,5333.2,9246.0,9969.2,4612.5,6762.0,8634.7,0,8535.0,8865.2,1707.2,2138.8,5167.8,770.3,4259.3
Niagara Falls,8965.8,8827.6,3871.0,7128.9,7325.2,9056.2,3891.7,7543.3,5105.7,4289.9,9464.1,5200.9,3985.2,6469.0,4380.3,8493.0,362.2,593.0,7103.6,7581.6,8012.2,4221.6,2764.0,1582.3,9776.8,1777.6,4195.1,543.6,4487.0,414.2,9700.3,9161.2,5282.4,5798.6,1674.1,3209.9,3625.9,6562.3,1407.0,6561.6,6279.8,8535.0,0,8033.3,5945.4,9550.7,2488.7,6681.0,4765.3
Great Neck,2114.0,3813.5,5360.8,5247.7,1356.7,9037.2,2836.1,8485.8,2704.7,1806.3,3895.7,2337.5,3910.4,3995.9,9470.7,372.0,8356.5,4688.0,3368.3,307.5,8387.9,8336.8,8637.5,2309.3,4033.5,9204.3,2984.0,8461.2,2380.4,7540.6,7232.4,8785.0,6704.3,9995.2,960.1,5010.2,5382.0,7803.4,1460.0,8093.2,2329.5,8865.2,8033.3,0,546.6,3274.7,6221.5,956.6,8372.8
Palmyra,6998.2,8796.5,7269.0,430.9,4297.9,8719.6,3907.6,292.3,1158.9,1515.5,5826.5,9566.9,285.1,4162.0,7465.7,9948.1,4583.4,8451.3,3289.5,7688.0,2022.0,3533.1,9475.9,7261.2,2969.4,5831.8,9335.4,9087.1,1329.5,7422.3,1866.8,6166.0,4897.5,7499.0,477.0,1786.7,6834.9,8363.4,8760.7,4337.3,5876.7,1707.2,5945.4,546.6,0,1665.7,2355.4,6486.3,6699.8
Ilion,8787.6,4512.5,3367.9,8217.1,6723.5,5193.8,17.4,9042.6,6645.3,6869.2,9004.8,6388.8,1847.7,2595.3,7745.3,7981.7,9170.6,5035.1,1095.1,3618.8,1722.5,977.4,4179.9,717.8,3431.1,5438.8,7507.4,8817.0,2922.4,4807.5,2519.4,5530.1,5289.3,396.0,1886.5,3173.5,6418.8,7689.2,5395.3,8189.1,9987.0,2138.8,9550.7,3274.7,1665.7,0,7503.0,3682.9,9225.2
New York City,4774.7,4713.7,8550.0,8374.8,9715.1,9026.0,3475.3,7679.1,6604.2,5731.7,4065.2,4846.6,9349.8,4211.5,8254.4,277.9,9778.1,9906.9,5969.9,8108.8,1550.3,4159.2,1151.6,7924.2,4664.3,5962.8,9758.1,1212.1,9751.4,8012.0,5519.3,8780.5,5340.5,8435.5,1983.6,1601.3,4102.7,1850.2,9555.8,6504.0,8114.4,5167.8,2488.7,6221.5,2355.4,7503.0,0,5216.4,9514.1
Woodstock,9097.0,2498.7,1239.4,8175.2,8935.3,6937.7,1931.4,7072.2,62.7,986.2,8899.9,963.1,3131.9,5595.3,7492.6,6090.4,9209.3,3883.0,9799.1,2409.8,3101.8,8598.4,2320.3,4696.8,8674.5,2322.1,6027.5,1898.7,7801.5,5910.8,9380.8,112.6,782.5,2394.7,7185.0,9054.7,9176.2,4069.9,6446.8,8895.8,8232.1,770.3,6681.0,956.6,6486.3,3682.9,5216.4,0,654.4
Herkimer,3671.3,7834.6,8658.3,4880.8,3260.0,6893.7,1371.9,304.2,5740.6,7623.3,4188.9,1670.9,6047.4,5343.4,1687.7,3502.8,1562.0,6876.2,2661.7,578.5,3742.3,3786.1,6665.5,6499.6,77.0,339.5,3320.0,7764.9,5962.9,870.5,3145.4,8671.8,8114.9,3771.4,1573.9,8150.1,5451.9,3254.7,5817.3,2986.6,7848.7,4259.3,4765.3,8372.8,6699.8,9225.2,9514.1,654.4,0
