CSV,Queens,Chautauqua,Niagara Falls,Oneida,Hempstead,Utica,Herkimer,Nyack,Flushing,Coney Island,Crown Point,Hammondsport,Hudson,Rotterdam,Lake Placid,Cooperstown,New Rochelle,Watervliet,Bedford,Albany,Staten Island,Ticonderoga,West Seneca,North Hempstead,Plattsburgh,Dunkirk,Cortland,East Aurora,Rome,Yonkers,Tarrytown,Clinton,Auburn,Mount Vernon,Mineola,Amsterdam,New Paltz,Cheektowaga,Rye,Saranac Lake,Tonawanda,Gloversville,Buffalo,Massena,Potsdam,Beacon,Corning,Port Washington,Ossining
Crown Point,7708.6,8234.5,7448.4,5419.8,6606.0,8526.5,7116.2,146.5,8567.8,4479.1,0,9452.8,8535.3,5240.7,438.6,6221.5,3285.0,3374.9,5100.5,4571.4,7015.3,8491.1,6.3,9818.0,8750.3,8830.9,8026.9,2322.9,9201.4,1150.7,2813.9,2989.9,5812.8,3724.1,7620.9,3018.3,9666.2,2219.5,1251.4,6491.1,1479.3,4660.8,5245.7,982.4,2169.1,6292.7,276.0,3717.5,7868.3
Hammondsport,4908.2,394.4,7634.3,3107.0,9031.1,310.9,5389.5,7049.5,8089.9,2717.1,9452.8,0,3057.4,4957.7,1442.9,8299.1,1083.6,9488.0,2415.8,1858.0,6638.3,6924.8,2219.1,7815.1,8358.0,5945.4,8246.4,6650.4,3089.7,1319.1,1504.3,5559.3,8843.2,3994.6,1433.4,6772.8,2636.7,5483.9,8302.7,3425.9,3398.6,8959.4,4261.5,5220.6,1050.9,9951.4,4.5,1388.0,9330.3
Hudson,6675.3,3254.3,1512.2,5368.3,1828.1,8841.0,1144.8,6851.8,7327.3,8220.2,8535.3,3057.4,0,2092.2,1732.1,6772.4,786.5,6590.7,4001.8,7954.6,367.1,566.1,4004.6,7494.3,985.4,3795.8,2990.0,5318.0,3688.9,7801.3,7336.1,8164.4,4703.1,6947.2,8767.7,5952.5,8461.2,4474.9,4719.0,7145.4,2181.0,8345.2,5191.8,3278.4,9242.3,1815.1,3469.4,7858.3,3592.3
Rotterdam,5213.3,8755.0,4452.5,2316.1,4945.2,1240.7,4381.6,6929.2,5075.0,276.9,5240.7,4957.7,2092.2,0,3220.6,746.2,4515.4,3273.7,7726.5,2865.0,755.6,8351.2,5721.3,2273.1,1706.4,8109.9,4398.3,5315.2,5239.5,4505.7,9786.4,9767.8,3497.2,5282.6,949.1,1276.3,2391.9,6797.1,8959.1,4871.6,7813.1,3721.0,3632.0,1631.6,9953.3,7436.4,1064.3,4228.8,1605.1
Lake Placid,6011.7,1580.2,6820.1,3541.5,9334.3,37.0,4245.3,5263.5,360.9,686.3,438.6,1442.9,1732.1,3220.6,0,3824.9,1514.5,4557.8,8583.2,3198.2,2381.5,416.7,9390.0,9946.8,170.1,1535.0,2061.6,8488.5,1276.2,4641.6,38.0,3219.6,607.8,4751.0,5887.4,4275.4,387.9,2236.6,3684.9,1020.8,2018.4,3355.1,2635.1,2423.4,4668.7,2608.2,5634.5,5788.6,9171.3
Cooperstown,8760.0,5456.6,732.8,9838.4,4342.8,639.9,9668.0,6617.1,1395.5,4692.6,6221.5,8299.1,6772.4,746.2,3824.9,0,4284.5,6749.2,6531.0,4510.3,4113.0,396.7,4626.2,6678.6,1601.3,3430.5,4151.3,1089.4,8009.5,2710.1,1142.4,9988.1,7547.1,4170.5,808.9,895.3,3601.2,3711.2,6050.2,8398.4,4129.9,4121.9,345.2,6929.7,9996.2,1504.1,5871.3,1056.7,3947.4
New Rochelle,2907.5,9418.7,8738.8,7704.0,684.6,4186.5,3017.5,2437.9,2855.0,7016.1,3285.0,1083.6,786.5,4515.4,1514.5,4284.5,0,7712.3,5925.0,3897.7,1771.2,9472.2,2553.1,8219.8,3636.4,895.8,1028.7,5252.6,9546.9,1962.4,5839.5,1505.5,7166.0,7863.1,1341.7,855.2,9769.4,462.0,5364.1,8245.9,2319.7,7165.7,572.1,9778.5,732.2,5719.0,801.8,7278.2,3462.1
Watervliet,5574.8,1858.5,4347.1,5643.0,68.0,5841.7,3850.2,5541.7,8622.5,9793.0,3374.9,9488.0,6590.7,3273.7,4557.8,6749.2,7712.3,0,6430.2,1257.6,3380.9,5799.4,9906.9,2282.2,8680.0,4752.0,9149.3,3246.7,9177.7,863.0,9442.1,3669.2,5910.8,3051.7,6487.7,4664.1,6414.7,172.3,3229.5,2204.8,2347.4,3498.2,7817.3,6013.5,9865.3,1484.1,3220.0,8790.4,5833.1
Bedford,7669.7,8709.4,5785.7,5988.8,8094.4,9869.7,3522.4,4047.8,7534.2,5949.8,5100.5,2415.8,4001.8,7726.5,8583.2,6531.0,5925.0,6430.2,0,3776.7,7280.4,5094.2,2270.2,1787.4,3270.2,8205.0,3170.5,8649.2,5377.9,5869.2,310.3,9944.4,8448.8,4487.3,2474.5,3306.1,9763.3,5771.6,1773.2,4151.6,6527.2,4134.5,3606.2,3230.7,4954.2,7686.5,4420.2,8756.9,7776.6
Albany,4048.9,6388.1,3752.5,8216.6,1090.2,443.7,7647.7,6529.8,6452.9,7567.3,4571.4,1858.0,7954.6,2865.0,3198.2,4510.3,3897.7,1257.6,3776.7,0,1816.1,9795.3,4530.2,4782.8,9219.0,1135.3,8601.3,8901.7,4983.8,7870.1,7857.3,1187.6,3697.5,9158.8,878.4,1471.2,8803.0,9258.4,845.4,8675.6,589.2,1678.0,2570.0,4624.4,5302.8,1698.1,6061.0,2541.5,9671.8
Staten Island,2860.5,5114.6,9387.4,8189.4,5744.5,8580.6,9539.7,8996.3,4987.6,4811.9,7015.3,6638.3,367.1,755.6,2381.5,4113.0,1771.2,3380.9,7280.4,1816.1,0,4732.6,5228.2,828.3,5037.8,1354.8,5033.1,5926.4,7334.3,7209.0,6326.8,817.2,1517.7,4505.0,1111.9,3145.9,1512.0,350.8,7007.5,6048.0,1845.9,3645.4,527.3,8773.1,6562.5,5199.9,3885.9,1526.6,586.6
Ticonderoga,3963.4,8860.6,4032.8,5705.8,2725.3,9959.5,7010.6,6557.6,2155.3,4970.1,8491.1,6924.8,566.1,8351.2,416.7,396.7,9472.2,5799.4,5094.2,9795.3,4732.6,0,4024.6,2664.8,8564.7,2645.8,3833.2,8906.5,6186.7,426.3,5760.5,6970.3,2343.0,646.7,9414.0,8830.2,1655.0,6661.8,4128.7,8263.0,7723.3,5043.6,5500.0,5282.3,2981.2,178.4,441.1,7747.1,6944.2
West Seneca,9896.6,1720.7,1763.2,2360.3,6123.7,4649.3,5396.4,355.8,8987.1,2793.1,6.3,2219.1,4004.6,5721.3,9390.0,4626.2,2553.1,9906.9,2270.2,4530.2,5228.2,4024.6,0,6603.4,9500.3,2939.4,4183.3,8906.0,6893.3,2549.9,9756.7,5783.6,8392.1,8271.2,6263.2,8706.7,4350.2,4543.8,1323.9,7228.1,8495.7,2442.6,5943.6,4356.4,8100.8,6.8,5274.1,9487.7,673.7
North Hempstead,5115.0,7964.2,5482.0,4015.5,4678.9,6695.6,1395.6,4215.9,2777.1,4181.9,9818.0,7815.1,7494.3,2273.1,9946.8,6678.6,8219.8,2282.2,1787.4,4782.8,828.3,2664.8,6603.4,0,3323.4,575.9,4643.5,806.3,2162.8,9401.8,3303.3,9031.5,7077.5,3906.4,6596.6,3666.0,2065.2,6644.1,1507.2,7045.5,9745.1,424.5,7572.6,3930.0,1122.1,7583.7,9393.6,7224.9,3837.6
Plattsburgh,6982.2,1007.4,9568.7,9048.8,4998.9,3318.9,455.4,4609.9,3931.0,2293.3,8750.3,8358.0,985.4,1706.4,170.1,1601.3,3636.4,8680.0,3270.2,9219.0,5037.8,8564.7,9500.3,3323.4,0,8884.1,6003.9,8739.5,5315.3,2641.8,2634.5,2507.8,5165.1,5379.7,2752.2,3388.6,5064.1,4242.8,4532.8,2389.0,4134.9,9860.8,5798.6,3345.4,5464.4,3396.6,1203.4,4974.6,6317.6
Dunkirk,2028.9,4542.6,5267.2,6587.1,3901.1,4401.1,6055.0,4949.1,5746.6,2289.6,8830.9,5945.4,3795.8,8109.9,1535.0,3430.5,895.8,4752.0,8205.0,1135.3,1354.8,2645.8,2939.4,575.9,8884.1,0,8989.7,5297.4,279.7,7764.6,9068.9,7960.6,8300.0,3984.8,5333.4,5583.3,1438.5,7629.8,5566.4,7630.7,3116.9,9392.9,2737.8,2265.3,5919.8,7204.6,4228.3,6554.7,3180.6
Cortland,4875.9,2983.7,7349.4,6465.3,2797.9,8596.7,6707.4,2622.2,9491.1,3388.8,8026.9,8246.4,2990.0,4398.3,2061.6,4151.3,1028.7,9149.3,3170.5,8601.3,5033.1,3833.2,4183.3,4643.5,6003.9,8989.7,0,5519.0,879.5,9535.4,88.7,4743.8,53.2,9811.9,7247.8,4530.6,2640.1,6694.3,3275.1,4921.8,4257.7,5034.2,8561.2,3212.4,5147.9,9572.3,9807.1,8060.9,2624.5
East Aurora,6114.3,6885.1,4181.0,4514.5,8778.3,9400.0,3638.3,9038.8,5611.3,6260.1,2322.9,6650.4,5318.0,5315.2,8488.5,1089.4,5252.6,3246.7,8649.2,8901.7,5926.4,8906.5,8906.0,806.3,8739.5,5297.4,5519.0,0,7166.5,6108.7,42.8,8741.8,6368.4,1354.1,5020.1,5416.1,743.1,1112.9,7042.3,7779.1,4304.2,1851.1,2148.1,6893.1,3202.4,889.4,4972.9,3664.0,5932.8
Rome,644.4,8722.1,8692.2,9966.8,8657.8,2658.6,1483.1,2951.7,9008.5,6959.2,9201.4,3089.7,3688.9,5239.5,1276.2,8009.5,9546.9,9177.7,5377.9,4983.8,7334.3,6186.7,6893.3,2162.8,5315.3,279.7,879.5,7166.5,0,5017.7,406.6,7898.1,3626.7,4723.3,2062.6,3981.4,1825.1,6034.2,5759.8,3946.4,2108.3,8336.7,3069.7,4999.6,2753.7,587.2,2893.4,7955.9,4832.6
Yonkers,6976.1,3127.7,6979.3,1343.9,5922.0,8101.6,6847.5,2854.8,5318.6,6482.0,1150.7,1319.1,7801.3,4505.7,4641.6,2710.1,1962.4,863.0,5869.2,7870.1,7209.0,426.3,2549.9,9401.8,2641.8,7764.6,9535.4,6108.7,5017.7,0,8655.2,8529.0,5173.6,4384.4,9596.0,8411.7,9920.1,751.4,6392.4,3929.6,6064.7,2810.4,9963.8,7933.8,9102.3,93.4,6607.1,6923.3,1096.8
Tarrytown,6879.6,6132.6,7486.6,1036.8,1200.3,8552.4,7970.6,7379.1,7402.6,3573.5,2813.9,1504.3,7336.1,9786.4,38.0,1142.4,5839.5,9442.1,310.3,7857.3,6326.8,5760.5,9756.7,3303.3,2634.5,9068.9,88.7,42.8,406.6,8655.2,0,3295.7,6386.1,466.5,9084.8,3400.0,2770.4,9895.3,8704.4,4491.7,99.3,4783.3,891.8,9823.4,8419.6,5399.3,5345.6,114.6,7995.8
Clinton,8507.8,7829.1,7775.6,7980.5,6005.4,3213.4,8105.6,6855.3,484.8,944.3,2989.9,5559.3,8164.4,9767.8,3219.6,9988.1,1505.5,3669.2,9944.4,1187.6,817.2,6970.3,5783.6,9031.5,2507.8,7960.6,4743.8,8741.8,7898.1,8529.0,3295.7,0,6449.3,6173.8,8824.5,8070.8,4413.3,4285.3,888.4,1916.0,9254.2,6290.0,2577.0,9354.7,3628.4,4874.1,542.0,8814.9,2867.5
Auburn,8370.7,1806.4,2131.5,4233.5,8326.9,3063.8,2298.3,1621.0,3592.8,6941.7,5812.8,8843.2,4703.1,3497.2,607.8,7547.1,7166.0,5910.8,8448.8,3697.5,1517.7,2343.0,8392.1,7077.5,5165.1,8300.0,53.2,6368.4,3626.7,5173.6,6386.1,6449.3,0,673.5,1469.8,9231.9,1317.0,9403.6,1339.7,2852.0,514.5,895.1,9909.5,3972.7,7104.5,6904.0,2932.6,3119.7,4156.1
Mount Vernon,3538.8,2123.1,947.5,6147.1,6007.2,9312.5,1731.8,503.4,5347.0,533.1,3724.1,3994.6,6947.2,5282.6,4751.0,4170.5,7863.1,3051.7,4487.3,9158.8,4505.0,646.7,8271.2,3906.4,5379.7,3984.8,9811.9,1354.1,4723.3,4384.4,466.5,6173.8,673.5,0,5083.6,3378.2,1703.3,6884.0,8836.8,8898.1,536.8,2380.1,1614.0,9408.2,433.3,5254.1,7092.9,9804.2,9788.0
Mineola,9070.8,1652.9,4971.5,9862.5,9356.9,2619.3,1045.8,7119.7,4908.5,4604.1,7620.9,1433.4,8767.7,949.1,5887.4,808.9,1341.7,6487.7,2474.5,878.4,1111.9,9414.0,6263.2,6596.6,2752.2,5333.4,7247.8,5020.1,2062.6,9596.0,9084.8,8824.5,1469.8,5083.6,0,308.8,8431.5,4372.8,300.7,5177.4,6012.3,3520.9,4904.9,5777.5,5310.1,4928.9,7704.1,2146.7,593.0
Amsterdam,5699.0,3172.6,4.0,239.1,6946.3,4469.3,3746.7,1208.2,9962.0,1786.5,3018.3,6772.8,5952.5,1276.3,4275.4,895.3,855.2,4664.1,3306.1,1471.2,3145.9,8830.2,8706.7,3666.0,3388.6,5583.3,4530.6,5416.1,3981.4,8411.7,3400.0,8070.8,9231.9,3378.2,308.8,0,2729.0,920.8,5578.9,590.2,3432.4,8338.3,9487.1,7275.6,8333.9,2031.5,8171.7,6912.9,9015.6
New Paltz,4715.2,2009.6,2437.5,6910.2,2157.9,8713.4,6075.1,4392.7,8038.7,2836.9,9666.2,2636.7,8461.2,2391.9,387.9,3601.2,9769.4,6414.7,9763.3,8803.0,1512.0,1655.0,4350.2,2065.2,5064.1,1438.5,2640.1,743.1,1825.1,9920.1,2770.4,4413.3,1317.0,1703.3,8431.5,2729.0,0,7279.7,2454.7,5166.4,5824.1,8661.4,5945.2,3289.9,6009.5,2738.8,6489.2,178.2,1146.9
Cheektowaga,2635.9,7384.9,7551.4,6542.0,7727.9,2235.6,7210.6,923.3,4958.4,6739.2,2219.5,5483.9,4474.9,6797.1,2236.6,3711.2,462.0,172.3,5771.6,9258.4,350.8,6661.8,4543.8,6644.1,4242.8,7629.8,6694.3,1112.9,6034.2,751.4,9895.3,4285.3,9403.6,6884.0,4372.8,920.8,7279.7,0,7517.4,9444.2,3119.6,253.0,3765.6,9642.5,5495.3,9806.7,5122.7,1282.1,7420.5
Rye,9433.1,7867.1,2430.4,2497.7,8891.4,3114.7,3137.6,3219.9,3312.8,9469.8,1251.4,8302.7,4719.0,8959.1,3684.9,6050.2,5364.1,3229.5,1773.2,845.4,7007.5,4128.7,1323.9,1507.2,4532.8,5566.4,3275.1,7042.3,5759.8,6392.4,8704.4,888.4,1339.7,8836.8,300.7,5578.9,2454.7,7517.4,0,4998.5,7391.0,3096.7,5130.2,7236.7,5221.0,3679.8,6321.3,4574.7,7587.9
Saranac Lake,6870.9,4836.0,2993.1,1944.3,3943.4,111.5,7159.1,1962.1,9155.1,2356.0,6491.1,3425.9,7145.4,4871.6,1020.8,8398.4,8245.9,2204.8,4151.6,8675.6,6048.0,8263.0,7228.1,7045.5,2389.0,7630.7,4921.8,7779.1,3946.4,3929.6,4491.7,1916.0,2852.0,8898.1,5177.4,590.2,5166.4,9444.2,4998.5,0,7901.3,1664.6,7628.3,2460.2,5828.9,3217.3,6562.6,5617.8,9168.9
Tonawanda,9853.4,7249.9,1401.9,5991.2,9355.3,1093.7,8943.2,3788.1,4329.0,3276.1,1479.3,3398.6,2181.0,7813.1,2018.4,4129.9,2319.7,2347.4,6527.2,589.2,1845.9,7723.3,8495.7,9745.1,4134.9,3116.9,4257.7,4304.2,2108.3,6064.7,99.3,9254.2,514.5,536.8,6012.3,3432.4,5824.1,3119.6,7391.0,7901.3,0,1421.8,6010.2,8103.4,6961.2,9270.1,6072.6,8837.0,1530.3
Gloversville,2581.7,1902.2,7991.0,4944.5,2108.2,3534.7,3626.0,7703.7,4558.5,1015.5,4660.8,8959.4,8345.2,3721.0,3355.1,4121.9,7165.7,3498.2,4134.5,1678.0,3645.4,5043.6,2442.6,424.5,9860.8,9392.9,5034.2,1851.1,8336.7,2810.4,4783.3,6290.0,895.1,2380.1,3520.9,8338.3,8661.4,253.0,3096.7,1664.6,1421.8,0,8418.5,5435.2,8279.2,1954.0,2229.4,1757.8,5667.6
Buffalo,4683.8,9685.0,5669.8,8173.1,3784.6,4289.7,555.1,6521.1,6276.2,4980.0,5245.7,4261.5,5191.8,3632.0,2635.1,345.2,572.1,7817.3,3606.2,2570.0,527.3,5500.0,5943.6,7572.6,5798.6,2737.8,8561.2,2148.1,3069.7,9963.8,891.8,2577.0,9909.5,1614.0,4904.9,9487.1,5945.2,3765.6,5130.2,7628.3,6010.2,8418.5,0,6928.9,1592.7,942.7,9769.1,6135.5,983.7
Massena,1775.1,1499.6,6037.7,9579.9,166.3,6101.8,5561.6,4263.2,152.0,7278.7,982.4,5220.6,3278.4,1631.6,2423.4,6929.7,9778.5,6013.5,3230.7,4624.4,8773.1,5282.3,4356.4,3930.0,3345.4,2265.3,3212.4,6893.1,4999.6,7933.8,9823.4,9354.7,3972.7,9408.2,5777.5,7275.6,3289.9,9642.5,7236.7,2460.2,8103.4,5435.2,6928.9,0,9990.9,8271.6,585.8,3770.9,9814.9
Potsdam,8702.7,2352.9,9018.5,1040.2,7040.7,4728.8,107.3,9733.0,7207.6,8468.8,2169.1,1050.9,9242.3,9953.3,4668.7,9996.2,732.2,9865.3,4954.2,5302.8,6562.5,2981.2,8100.8,1122.1,5464.4,5919.8,5147.9,3202.4,2753.7,9102.3,8419.6,3628.4,7104.5,433.3,5310.1,8333.9,6009.5,5495.3,5221.0,5828.9,6961.2,8279.2,1592.7,9990.9,0,2052.9,5140.2,7199.0,8788.6
Beacon,7198.3,4180.0,5202.9,7856.8,6098.2,7327.4,6778.0,2616.9,6577.1,9311.5,6292.7,9951.4,1815.1,7436.4,2608.2,1504.1,5719.0,1484.1,7686.5,1698.1,5199.9,178.4,6.8,7583.7,3396.6,7204.6,9572.3,889.4,587.2,93.4,5399.3,4874.1,6904.0,5254.1,4928.9,2031.5,2738.8,9806.7,3679.8,3217.3,9270.1,1954.0,942.7,8271.6,2052.9,0,2483.5,2262.5,1497.1
Corning,2572.6,828.7,5578.3,3554.1,4787.2,958.2,8756.4,7638.6,9490.1,2063.0,276.0,4.5,3469.4,1064.3,5634.5,5871.3,801.8,3220.0,4420.2,6061.0,3885.9,441.1,5274.1,9393.6,1203.4,4228.3,9807.1,4972.9,2893.4,6607.1,5345.6,542.0,2932.6,7092.9,7704.1,8171.7,6489.2,5122.7,6321.3,6562.6,6072.6,2229.4,9769.1,585.8,5140.2,2483.5,0,8564.1,3355.3
Port Washington,5782.6,1267.0,9630.0,5397.3,2032.5,5490.0,1059.2,1957.4,8162.6,9951.1,3717.5,1388.0,7858.3,4228.8,5788.6,1056.7,7278.2,8790.4,8756.9,2541.5,1526.6,7747.1,9487.7,7224.9,4974.6,6554.7,8060.9,3664.0,7955.9,6923.3,114.6,8814.9,3119.7,9804.2,2146.7,6912.9,178.2,1282.1,4574.7,5617.8,8837.0,1757.8,6135.5,3770.9,7199.0,2262.5,8564.1,0,2283.8
Ossining,1338.3,1110.3,5518.3,8217.1,5991.0,2347.1,3263.3,9097.7,1661.6,7653.9,7868.3,9330.3,3592.3,1605.1,9171.3,3947.4,3462.1,5833.1,7776.6,9671.8,586.6,6944.2,673.7,3837.6,6317.6,3180.6,2624.5,5932.8,4832.6,1096.8,7995.8,2867.5,4156.1,9788.0,593.0,9015.6,1146.9,7420.5,7587.9,9168.9,1530.3,5667.6,983.7,9814.9,8788.6,1497.1,3355.3,2283.8,0
