CSV,Massena,Port Washington,Queens,Auburn,Flushing,Hyde Park,Watkins Glen,Oneonta,Cortland,Poughkeepsie,Lackawanna,Oneida,Dunkirk,Ticonderoga,Stony Point,Oswego,Bedford,Gloversville,Herkimer,East Aurora,Yonkers,Hudson,Tarrytown,Garden City,Watervliet,Rensselaer,Binghamton,Babylon,Mamaroneck,Seneca Falls,White Plains,East Hampton,New York City,Woodstock,Elmira,Ogdensburg,Nyack,Peekskill,Eastchester,Huntington,Geneva,Johnstown,Rome,Albany,Glens Falls,Ithaca,Buffalo,Utica,Staten Island
Lackawanna,2292.9,9646.0,7434.9,5769.8,2536.0,5419.2,3552.1,1729.4,7019.9,2726.8,0,9922.4,9171.6,798.7,4583.6,8179.2,6154.3,5285.5,3741.1,795.7,2023.9,5335.3,5116.2,332.5,5100.9,8382.0,9352.6,880.3,2292.5,5676.2,5856.0,6137.5,8059.4,158.3,3346.5,6239.3,873.4,4983.1,6395.4,9961.6,5090.7,9768.9,8246.0,4790.4,6818.1,7964.6,7369.4,9043.7,1079.4
Oneida,6907.6,6369.8,3080.4,8352.4,9553.8,4559.2,8495.1,2520.3,3120.8,122.6,9922.4,0,1218.6,8546.0,8353.1,1087.2,6326.9,5314.9,3909.5,3626.9,2770.0,2339.1,9143.6,265.1,1478.7,1719.3,1792.8,9473.1,7263.5,5987.1,6167.0,4769.2,4311.4,2325.2,8963.8,6767.0,8865.5,6834.1,7739.7,7774.3,887.8,3417.2,5775.6,7933.7,2694.2,5074.0,566.0,2594.2,5881.5
Dunkirk,3062.0,5627.0,7221.3,8352.5,4064.9,2079.4,4712.5,4079.8,3421.8,3277.6,9171.6,1218.6,0,581.9,7956.8,5934.7,7096.1,6242.2,3563.5,8649.0,9850.8,8396.2,7611.8,6872.1,7257.6,7046.5,2619.8,4762.7,4797.4,6560.1,9574.2,7112.5,6524.9,2434.0,2438.2,1619.0,6458.5,9522.0,7520.5,8305.7,2688.3,4716.2,6425.0,2764.8,557.4,9248.3,5740.2,9584.1,9418.0
Ticonderoga,2710.5,790.3,6716.7,992.9,8314.0,463.4,2405.4,9720.0,9106.9,7404.0,798.7,8546.0,581.9,0,9808.5,1817.8,2175.5,5025.3,9707.9,434.2,6763.7,7491.1,6274.6,4390.9,7914.1,6822.9,808.0,3008.4,7836.0,902.4,7819.4,6000.8,2029.4,1405.9,4781.1,276.1,8023.2,8715.7,7616.7,7680.4,221.2,1107.4,9658.9,7432.7,46.5,5125.3,8006.3,4783.1,3392.9
Stony Point,4217.5,8223.9,6927.2,5267.9,9215.6,6083.6,7320.5,7262.0,2197.6,7476.0,4583.6,8353.1,7956.8,9808.5,0,2712.6,2836.2,7763.9,6559.4,1706.8,7536.1,5487.4,984.2,7195.1,292.1,7202.0,738.1,9123.9,3455.6,7163.8,3198.2,1618.1,1758.9,2283.5,4114.4,7624.6,1771.7,2386.1,8287.3,930.7,5824.9,3463.7,2326.8,1245.7,5097.5,1641.0,6883.0,1732.2,9955.2
Oswego,4026.7,2106.2,9729.7,8794.2,3930.1,1141.2,2974.3,825.7,576.5,1917.7,8179.2,1087.2,5934.7,1817.8,2712.6,0,9157.0,9900.9,8857.6,5411.2,9250.2,4037.0,1572.5,398.2,922.3,9036.3,4299.3,9509.3,9580.0,1542.5,1904.8,7656.3,9689.0,5853.4,5701.8,9174.5,5093.8,6119.6,7608.0,7845.9,6298.2,1409.3,4655.0,6634.7,3739.7,9032.3,882.4,3555.7,9487.8
Bedford,713.4,109.5,9368.2,1657.1,1469.9,4709.9,4970.5,3890.1,9470.7,4952.5,6154.3,6326.9,7096.1,2175.5,2836.2,9157.0,0,605.5,8073.7,3154.0,9297.6,976.1,7192.7,6887.7,6573.7,6005.4,7279.7,2588.2,5242.5,8373.9,6586.1,9142.1,1830.8,5739.0,5367.5,9769.4,9012.2,4932.4,9923.3,405.8,4149.8,9935.7,1920.8,3228.0,877.0,4653.3,6225.3,3199.6,4437.9
Gloversville,9000.3,3289.9,1882.1,9888.5,7297.8,7795.1,6058.4,2348.5,1002.7,5448.5,5285.5,5314.9,6242.2,5025.3,7763.9,9900.9,605.5,0,6090.4,6677.4,9444.6,999.5,9864.0,60.8,5342.4,8613.8,5294.0,3631.3,7328.2,5525.3,8211.7,9112.5,4876.8,5862.4,231.4,3816.8,7544.2,5994.0,1112.0,6519.7,78.7,5781.8,6854.3,2214.8,946.1,6634.9,9721.0,7039.9,3186.5
Herkimer,8565.3,7417.0,8822.2,6696.2,1086.1,1395.6,713.0,9885.6,2469.2,3638.2,3741.1,3909.5,3563.5,9707.9,6559.4,8857.6,8073.7,6090.4,0,8954.5,4980.7,1165.8,9027.0,943.6,6080.8,1015.5,7158.4,7115.7,3806.9,1037.0,8513.8,6830.0,9672.8,1695.0,4845.0,2357.4,1231.6,1450.5,7943.7,6848.9,4790.3,4528.7,9104.7,6743.3,1359.0,4649.0,4186.7,6006.8,8730.3
East Aurora,1038.5,4865.5,226.9,384.6,9403.1,6655.6,3881.2,2771.1,6788.6,716.2,795.7,3626.9,8649.0,434.2,1706.8,5411.2,3154.0,6677.4,8954.5,0,8578.6,9305.9,5100.4,8380.4,5114.5,5064.8,9310.8,912.5,1623.1,6405.8,7799.4,6378.2,5133.7,6302.9,1499.6,8049.0,5682.6,3547.8,7250.9,6332.9,5055.8,2660.1,8448.9,3234.6,2829.6,7336.9,9557.4,2585.4,336.4
Yonkers,8490.6,5907.2,2086.8,2234.7,8271.6,3159.6,4353.8,3278.1,2680.1,4151.0,2023.9,2770.0,9850.8,6763.7,7536.1,9250.2,9297.6,9444.6,4980.7,8578.6,0,8932.3,8160.2,3080.7,4627.4,5515.2,8994.0,4254.3,422.7,3007.1,4504.5,6155.3,4028.4,5906.0,3163.1,9367.1,2209.9,1861.2,839.7,2799.2,8218.0,1606.2,3665.5,4687.1,4842.9,5732.0,6769.0,9185.0,4624.4
Hudson,7917.0,3559.0,2605.0,2559.2,9240.2,3053.1,2722.5,3007.6,2878.7,7734.4,5335.3,2339.1,8396.2,7491.1,5487.4,4037.0,976.1,999.5,1165.8,9305.9,8932.3,0,9201.1,990.0,5571.5,770.7,2740.1,7596.8,8758.6,3949.9,6564.7,4409.3,9073.4,55.9,3900.0,3004.7,5498.4,7747.4,1061.3,8862.2,7008.8,5407.7,1648.3,1539.7,9039.6,6719.0,2848.8,4097.3,4202.5
Tarrytown,8104.0,4940.8,3872.2,6747.2,1444.9,1971.8,3570.0,7898.5,2248.8,9023.4,5116.2,9143.6,7611.8,6274.6,984.2,1572.5,7192.7,9864.0,9027.0,5100.4,8160.2,9201.1,0,7534.7,1590.1,2192.4,8010.1,1087.0,2383.7,8581.6,631.0,8188.7,2945.4,988.6,5733.7,198.9,5224.6,9359.9,1086.2,4788.1,7074.5,6508.7,546.1,1392.2,1178.6,9604.2,3344.3,6613.7,9144.4
Garden City,185.1,1908.5,3606.9,6163.6,7730.5,2012.3,9883.7,9925.9,6292.0,7768.2,332.5,265.1,6872.1,4390.9,7195.1,398.2,6887.7,60.8,943.6,8380.4,3080.7,990.0,7534.7,0,1053.9,667.7,5243.2,9874.5,4201.0,1901.1,3082.0,8682.1,64.0,6433.3,1735.2,2806.4,3095.0,9708.8,3786.3,4847.3,6790.4,3658.8,1407.1,7924.5,2035.3,7007.3,6315.0,5094.5,188.3
Watervliet,6278.0,3897.0,2034.7,4543.7,9989.7,4636.0,5601.0,5750.1,176.4,5735.5,5100.9,1478.7,7257.6,7914.1,292.1,922.3,6573.7,5342.4,6080.8,5114.5,4627.4,5571.5,1590.1,1053.9,0,2170.0,3647.6,1446.0,1570.3,3066.8,8597.0,4664.5,699.8,5207.3,2874.4,8452.5,9213.4,2797.9,9560.7,4721.9,7162.2,1636.9,7852.6,11.8,466.4,6684.6,6705.2,2381.1,7034.7
Rensselaer,2117.6,4363.4,8.4,1849.1,6811.4,3638.7,2945.7,7117.1,656.5,3879.4,8382.0,1719.3,7046.5,6822.9,7202.0,9036.3,6005.4,8613.8,1015.5,5064.8,5515.2,770.7,2192.4,667.7,2170.0,0,6142.9,3775.7,6724.9,2185.3,1736.3,9030.6,6825.4,3190.3,3194.2,857.3,8874.0,4771.6,9814.1,4363.7,2833.0,2236.7,6908.4,8723.3,5419.5,6808.8,9208.8,4424.9,5943.9
Binghamton,6036.8,6700.0,1110.0,1121.4,6571.0,3040.4,8181.4,6978.0,4237.0,1626.8,9352.6,1792.8,2619.8,808.0,738.1,4299.3,7279.7,5294.0,7158.4,9310.8,8994.0,2740.1,8010.1,5243.2,3647.6,6142.9,0,7770.6,482.5,8148.7,5876.8,7373.6,2518.3,5685.0,5566.4,9250.6,5419.3,553.4,8580.9,3806.1,9576.3,5963.7,989.0,7474.8,3867.7,1598.3,792.9,1226.4,143.3
Babylon,4634.3,4149.2,9135.2,6973.2,9118.3,5780.9,1467.0,9881.9,1593.5,507.5,880.3,9473.1,4762.7,3008.4,9123.9,9509.3,2588.2,3631.3,7115.7,912.5,4254.3,7596.8,1087.0,9874.5,1446.0,3775.7,7770.6,0,3959.2,9857.5,9845.8,590.2,9.0,2758.3,6809.8,4556.4,3033.9,2098.7,6619.2,4467.3,8081.2,1303.6,688.7,6326.8,6486.5,1059.6,4623.8,7328.4,7551.4
Mamaroneck,2434.8,6118.5,8136.2,2649.6,1281.0,4038.8,1031.1,3644.1,6568.9,6243.4,2292.5,7263.5,4797.4,7836.0,3455.6,9580.0,5242.5,7328.2,3806.9,1623.1,422.7,8758.6,2383.7,4201.0,1570.3,6724.9,482.5,3959.2,0,5374.0,9011.4,4793.1,8839.4,447.2,3597.9,9608.4,9219.7,596.4,6621.1,5996.5,3608.5,1455.8,2720.0,18.1,9224.3,7719.4,4269.9,7062.3,1449.2
Seneca Falls,2024.8,8424.1,2145.7,1980.8,76.9,8231.0,2403.0,4193.6,5910.1,9678.1,5676.2,5987.1,6560.1,902.4,7163.8,1542.5,8373.9,5525.3,1037.0,6405.8,3007.1,3949.9,8581.6,1901.1,3066.8,2185.3,8148.7,9857.5,5374.0,0,8151.1,1112.5,8689.0,4317.1,8188.2,1041.3,8661.5,4714.9,6889.7,9716.0,2195.0,4353.7,34.8,1911.3,410.3,3441.4,9704.6,7382.7,3940.2
White Plains,5823.3,6391.6,2678.6,9798.7,4194.7,1836.9,3488.6,1256.0,8005.1,6275.7,5856.0,6167.0,9574.2,7819.4,3198.2,1904.8,6586.1,8211.7,8513.8,7799.4,4504.5,6564.7,631.0,3082.0,8597.0,1736.3,5876.8,9845.8,9011.4,8151.1,0,461.1,7481.0,1386.6,3137.6,3460.1,8588.2,5847.2,1781.5,5223.1,8398.1,3162.4,9440.3,6115.5,556.5,7374.8,5302.9,2429.9,9905.6
East Hampton,5121.2,7201.4,8995.8,1522.5,4394.4,7497.7,19.7,4612.6,5328.4,7418.4,6137.5,4769.2,7112.5,6000.8,1618.1,7656.3,9142.1,9112.5,6830.0,6378.2,6155.3,4409.3,8188.7,8682.1,4664.5,9030.6,7373.6,590.2,4793.1,1112.5,461.1,0,8509.6,1655.0,636.1,2984.0,6110.6,1591.0,2140.6,9662.3,2762.9,5334.3,628.5,6706.2,8819.9,3710.7,4952.1,3234.4,1602.5
New York City,6910.9,7102.7,503.7,8050.3,947.8,6015.7,8873.2,5331.1,3834.9,289.0,8059.4,4311.4,6524.9,2029.4,1758.9,9689.0,1830.8,4876.8,9672.8,5133.7,4028.4,9073.4,2945.4,64.0,699.8,6825.4,2518.3,9.0,8839.4,8689.0,7481.0,8509.6,0,114.9,5508.7,263.4,942.4,3763.9,5669.2,5779.1,4376.6,5628.2,6575.8,5484.6,8770.4,6133.9,6860.0,1332.9,5621.7
Woodstock,7862.6,1565.8,9637.2,9007.4,6995.3,1755.4,6952.8,6700.5,9646.5,1417.9,158.3,2325.2,2434.0,1405.9,2283.5,5853.4,5739.0,5862.4,1695.0,6302.9,5906.0,55.9,988.6,6433.3,5207.3,3190.3,5685.0,2758.3,447.2,4317.1,1386.6,1655.0,114.9,0,1777.6,9880.9,1624.6,7085.0,3875.4,3195.2,3077.7,8203.5,4515.2,7222.3,2956.4,7513.1,201.0,23.9,8762.6
Elmira,9425.6,9547.0,8489.7,9170.7,5792.8,947.1,2113.0,2520.4,5993.4,4362.0,3346.5,8963.8,2438.2,4781.1,4114.4,5701.8,5367.5,231.4,4845.0,1499.6,3163.1,3900.0,5733.7,1735.2,2874.4,3194.2,5566.4,6809.8,3597.9,8188.2,3137.6,636.1,5508.7,1777.6,0,9678.6,5218.6,3303.6,6108.3,6561.7,9945.2,3060.8,1629.1,9711.8,245.3,2994.8,1627.6,1021.9,6229.5
Ogdensburg,6193.2,7652.1,285.2,9126.8,8344.9,4461.8,3822.9,5521.5,2059.8,1856.2,6239.3,6767.0,1619.0,276.1,7624.6,9174.5,9769.4,3816.8,2357.4,8049.0,9367.1,3004.7,198.9,2806.4,8452.5,857.3,9250.6,4556.4,9608.4,1041.3,3460.1,2984.0,263.4,9880.9,9678.6,0,218.4,4590.3,710.8,8034.1,7949.0,3046.2,8095.1,1339.8,72.0,8658.0,6153.1,631.6,3272.8
Nyack,4569.2,2145.9,5588.7,9069.5,9722.1,4527.2,1756.9,8198.2,7871.8,7903.2,873.4,8865.5,6458.5,8023.2,1771.7,5093.8,9012.2,7544.2,1231.6,5682.6,2209.9,5498.4,5224.6,3095.0,9213.4,8874.0,5419.3,3033.9,9219.7,8661.5,8588.2,6110.6,942.4,1624.6,5218.6,218.4,0,3997.8,8404.8,2159.9,2523.1,6210.8,9252.5,9688.8,5385.8,2798.5,7801.2,7634.6,2857.5
Peekskill,1006.5,6594.0,7696.4,794.5,2153.2,3340.8,7017.7,1506.1,2633.9,7323.9,4983.1,6834.1,9522.0,8715.7,2386.1,6119.6,4932.4,5994.0,1450.5,3547.8,1861.2,7747.4,9359.9,9708.8,2797.9,4771.6,553.4,2098.7,596.4,4714.9,5847.2,1591.0,3763.9,7085.0,3303.6,4590.3,3997.8,0,1226.1,9735.1,7103.2,6831.6,8611.9,785.9,2288.2,4402.4,1026.4,6936.6,3604.0
Eastchester,6161.0,6966.6,7604.4,5732.2,3805.3,9350.5,4121.4,3036.3,1581.1,8214.1,6395.4,7739.7,7520.5,7616.7,8287.3,7608.0,9923.3,1112.0,7943.7,7250.9,839.7,1061.3,1086.2,3786.3,9560.7,9814.1,8580.9,6619.2,6621.1,6889.7,1781.5,2140.6,5669.2,3875.4,6108.3,710.8,8404.8,1226.1,0,9284.8,9431.3,1579.9,5025.7,8863.1,9298.4,7830.8,7707.2,9065.6,2944.7
Huntington,8122.3,5698.1,6558.2,6117.2,2392.0,1578.9,7370.2,4101.6,3690.6,4746.3,9961.6,7774.3,8305.7,7680.4,930.7,7845.9,405.8,6519.7,6848.9,6332.9,2799.2,8862.2,4788.1,4847.3,4721.9,4363.7,3806.1,4467.3,5996.5,9716.0,5223.1,9662.3,5779.1,3195.2,6561.7,8034.1,2159.9,9735.1,9284.8,0,1538.1,9102.2,9401.8,7087.8,1562.8,9064.5,460.7,9103.2,384.0
Geneva,1470.6,6468.5,7218.0,6710.3,694.1,1932.5,2891.5,9587.4,8647.5,3760.4,5090.7,887.8,2688.3,221.2,5824.9,6298.2,4149.8,78.7,4790.3,5055.8,8218.0,7008.8,7074.5,6790.4,7162.2,2833.0,9576.3,8081.2,3608.5,2195.0,8398.1,2762.9,4376.6,3077.7,9945.2,7949.0,2523.1,7103.2,9431.3,1538.1,0,4907.2,484.9,851.0,5555.1,1109.6,7552.8,7605.4,2177.6
Johnstown,8127.0,8773.8,4222.3,2553.2,8917.4,3054.3,5325.1,6252.8,717.5,4142.6,9768.9,3417.2,4716.2,1107.4,3463.7,1409.3,9935.7,5781.8,4528.7,2660.1,1606.2,5407.7,6508.7,3658.8,1636.9,2236.7,5963.7,1303.6,1455.8,4353.7,3162.4,5334.3,5628.2,8203.5,3060.8,3046.2,6210.8,6831.6,1579.9,9102.2,4907.2,0,2888.9,3634.9,8382.3,1504.2,7982.2,1800.2,4825.0
Rome,3621.2,9782.3,205.9,7719.0,9945.3,4251.7,79.8,3166.0,5982.3,8941.9,8246.0,5775.6,6425.0,9658.9,2326.8,4655.0,1920.8,6854.3,9104.7,8448.9,3665.5,1648.3,546.1,1407.1,7852.6,6908.4,989.0,688.7,2720.0,34.8,9440.3,628.5,6575.8,4515.2,1629.1,8095.1,9252.5,8611.9,5025.7,9401.8,484.9,2888.9,0,1806.8,883.5,5193.5,1988.3,629.1,653.3
Albany,3092.3,457.6,1849.9,9405.2,892.6,5739.6,9762.3,1832.0,7288.6,4053.0,4790.4,7933.7,2764.8,7432.7,1245.7,6634.7,3228.0,2214.8,6743.3,3234.6,4687.1,1539.7,1392.2,7924.5,11.8,8723.3,7474.8,6326.8,18.1,1911.3,6115.5,6706.2,5484.6,7222.3,9711.8,1339.8,9688.8,785.9,8863.1,7087.8,851.0,3634.9,1806.8,0,1071.8,9254.1,9169.0,7047.1,3593.0
Glens Falls,6074.3,3317.3,7565.1,9832.2,423.4,4665.8,4446.6,5409.7,1342.4,1095.6,6818.1,2694.2,557.4,46.5,5097.5,3739.7,877.0,946.1,1359.0,2829.6,4842.9,9039.6,1178.6,2035.3,466.4,5419.5,3867.7,6486.5,9224.3,410.3,556.5,8819.9,8770.4,2956.4,245.3,72.0,5385.8,2288.2,9298.4,1562.8,5555.1,8382.3,883.5,1071.8,0,3388.3,8843.7,4307.7,5824.0
Ithaca,4154.6,1683.9,340.0,9299.6,8433.6,8012.2,2013.7,9719.4,8708.4,629.2,7964.6,5074.0,9248.3,5125.3,1641.0,9032.3,4653.3,6634.9,4649.0,7336.9,5732.0,6719.0,9604.2,7007.3,6684.6,6808.8,1598.3,1059.6,7719.4,3441.4,7374.8,3710.7,6133.9,7513.1,2994.8,8658.0,2798.5,4402.4,7830.8,9064.5,1109.6,1504.2,5193.5,9254.1,3388.3,0,5707.7,603.4,9794.2
Buffalo,8083.5,8642.2,3656.2,9370.4,7753.2,3469.1,217.3,9923.5,5724.8,6580.2,7369.4,566.0,5740.2,8006.3,6883.0,882.4,6225.3,9721.0,4186.7,9557.4,6769.0,2848.8,3344.3,6315.0,6705.2,9208.8,792.9,4623.8,4269.9,9704.6,5302.9,4952.1,6860.0,201.0,1627.6,6153.1,7801.2,1026.4,7707.2,460.7,7552.8,7982.2,1988.3,9169.0,8843.7,5707.7,0,9023.5,1367.5
Utica,8412.2,4001.2,7320.4,6522.7,3835.7,7808.5,444.6,3642.5,4809.4,3172.3,9043.7,2594.2,9584.1,4783.1,1732.2,3555.7,3199.6,7039.9,6006.8,2585.4,9185.0,4097.3,6613.7,5094.5,2381.1,4424.9,1226.4,7328.4,7062.3,7382.7,2429.9,3234.4,1332.9,23.9,1021.9,631.6,7634.6,6936.6,9065.6,9103.2,7605.4,1800.2,629.1,7047.1,4307.7,603.4,9023.5,0,1705.7
Staten Island,9696.2,4108.0,3236.2,7219.5,532.0,5274.8,4158.3,3237.2,8800.2,5356.4,1079.4,5881.5,9418.0,3392.9,9955.2,9487.8,4437.9,3186.5,8730.3,336.4,4624.4,4202.5,9144.4,188.3,7034.7,5943.9,143.3,7551.4,1449.2,3940.2,9905.6,1602.5,5621.7,8762.6,6229.5,3272.8,2857.5,3604.0,2944.7,384.0,2177.6,4825.0,653.3,3593.0,5824.0,9794.2,1367.5,1705.7,0
