CSV,Schenectady,Cohoes,Ossining,Oyster Bay,Binghamton,Port Washington,Southampton,Yonkers,Bedford,Tonawanda,Saratoga Springs,Plattsburgh,Amsterdam,Herkimer,Mount Vernon,White Plains,Levittown,Watkins Glen,Forest Hills,Crown Point,Poughkeepsie,Rome,Hammondsport,Eastchester,Auburn,Saranac Lake,Kingston,Geneva,Queens,Chautauqua,Oswego,Mineola,Bronx,Palmyra,Batavia,New Windsor,Cooperstown,Buffalo,Clinton,Flushing,Ogdensburg,Olean,New York City,Seneca Falls,New Paltz,Stony Brook,Syracuse,Elmira,Great Neck,East Aurora
Crown Point,7776.7,4936.1,7554.5,8989.7,5771.4,1112.6,3491.3,9462.3,7563.0,6718.6,7410.9,9268.4,255.9,4406.6,8392.4,1967.9,3598.3,4342.0,1308.5,0,9632.5,9391.2,4500.8,3294.4,699.2,2639.6,2426.3,5834.2,5047.4,4780.8,5763.2,7158.0,2789.0,4718.1,5422.8,2948.7,4552.8,1213.4,151.6,3649.7,787.6,5910.6,416.6,3401.5,3212.8,7471.1,2004.9,7293.6,1893.4,477.1
Poughkeepsie,5049.0,210.4,4734.7,3627.2,5298.4,6188.2,9860.3,8251.8,9897.3,9404.0,8660.0,9615.4,338.3,5955.6,7136.8,6467.5,3669.7,5194.5,4239.9,9632.5,0,8171.1,9577.3,1475.5,9510.6,2570.5,1038.6,7566.6,5158.5,854.5,1845.4,900.4,596.0,8673.7,1524.7,9345.6,7296.9,239.3,3532.4,678.4,479.9,1964.4,345.2,2263.9,5271.7,3215.2,6770.0,8890.4,5906.9,3310.6
Rome,9508.0,4467.2,2385.1,1748.3,7063.1,9203.8,5149.5,9911.4,5186.2,9093.6,6248.7,4949.4,4877.6,465.9,7101.4,1741.9,5731.5,9253.6,983.5,9391.2,8171.1,0,7306.1,1841.5,4085.4,8485.3,1622.5,3241.0,9306.8,2979.3,2825.4,4813.9,3768.0,5222.0,4285.8,2513.1,1154.5,9819.7,4197.0,7733.9,5680.7,5887.7,859.0,406.6,7557.9,2330.8,8804.1,7846.5,8339.5,3094.1
Hammondsport,2119.5,1679.3,3148.9,1029.3,3560.2,7587.1,7706.3,6584.2,8167.4,7282.5,8232.3,9559.7,3648.5,6321.6,146.3,6017.5,1985.7,3540.1,102.7,4500.8,9577.3,7306.1,0,9125.1,6271.4,89.5,3241.6,9519.1,9673.9,4067.3,196.0,4009.3,5501.2,50.4,7301.0,9211.2,6999.5,5937.2,130.6,1179.3,7297.4,4121.2,7061.4,5276.1,8229.0,2252.8,6247.5,4141.0,8200.0,5696.4
Eastchester,9451.8,9346.4,5156.8,1294.5,4341.9,6924.1,9395.6,4639.8,4662.8,2971.3,8683.2,1476.0,8249.6,6902.4,3031.7,7124.5,9404.7,7231.2,8477.9,3294.4,1475.5,1841.5,9125.1,0,7269.0,8979.8,5463.3,8239.5,3643.5,2815.6,3944.8,4722.5,8279.2,392.7,2260.1,8529.8,4259.3,1394.8,3928.1,5287.1,1275.0,6320.2,2974.6,5596.2,4538.9,1940.8,4488.2,3773.8,6468.3,5715.6
Auburn,3895.3,2710.4,6651.3,9922.2,6527.6,2377.8,9989.0,3282.3,2984.5,5251.9,9682.0,7006.4,4253.4,9762.6,2666.0,6896.8,7659.5,9251.8,1863.2,699.2,9510.6,4085.4,6271.4,7269.0,0,5685.2,7899.5,282.0,6492.7,4025.2,1339.6,7348.3,1538.6,1539.2,8759.1,1849.3,5539.2,3699.7,2931.2,3829.9,1872.9,1734.1,8554.3,2982.7,7561.1,9490.2,3034.9,9260.5,7462.8,5260.8
Saranac Lake,2088.3,6712.5,7797.4,2841.8,4560.9,3415.2,401.6,6588.7,8383.8,787.1,3743.7,9919.7,9184.5,8734.7,3795.5,2295.1,1548.5,8916.8,8154.9,2639.6,2570.5,8485.3,89.5,8979.8,5685.2,0,7403.0,9371.8,3862.4,9033.4,9304.0,6068.0,3479.1,4831.4,7942.3,3681.2,9253.7,1043.6,8703.0,2072.3,2799.3,5558.7,5556.7,4940.4,8059.2,3819.1,122.1,8634.6,8902.3,592.1
Kingston,3266.7,3359.0,8906.0,4315.5,2158.1,4445.5,6184.0,3669.8,4717.5,1766.7,8301.7,8464.1,8062.8,993.2,4629.4,7540.9,6712.0,9083.3,465.1,2426.3,1038.6,1622.5,3241.6,5463.3,7899.5,7403.0,0,696.5,5700.3,4834.4,3626.2,3318.9,193.0,4060.8,2544.9,4487.9,5101.3,9309.6,3383.1,8179.1,4465.1,6727.8,1846.8,9726.1,4629.0,4722.1,143.9,1668.0,1837.6,9299.4
Geneva,4543.1,3753.9,2630.0,5641.2,4560.1,3095.4,2058.3,6892.1,1324.2,7693.6,9610.2,9145.5,832.1,561.1,8948.7,4108.0,5540.4,6579.8,3058.4,5834.2,7566.6,3241.0,9519.1,8239.5,282.0,9371.8,696.5,0,4233.8,3844.2,4332.7,6178.8,2478.7,4909.7,3845.3,8360.5,5637.2,7630.9,9457.1,1184.5,9869.9,3428.9,9626.0,8573.7,1647.9,6897.7,9264.2,2955.6,5803.3,8612.8
Queens,9582.9,8586.5,9840.8,7066.7,9517.0,8888.5,1675.5,6365.7,4225.6,8863.8,461.9,2809.0,580.1,6192.3,8259.8,7504.9,3520.1,1688.3,8525.0,5047.4,5158.5,9306.8,9673.9,3643.5,6492.7,3862.4,5700.3,4233.8,0,7632.9,3785.3,8056.9,7310.3,2750.9,2736.0,5759.8,3983.9,6626.8,8716.3,5614.1,4374.6,8329.3,5387.5,2444.1,9050.6,8646.6,1117.8,643.7,9851.9,1317.6
Chautauqua,3108.8,1295.3,5667.0,9707.0,9647.2,2565.9,1403.1,9210.2,8293.9,5863.0,2979.7,1995.9,4859.2,166.9,597.4,5636.7,7169.7,410.1,6197.4,4780.8,854.5,2979.3,4067.3,2815.6,4025.2,9033.4,4834.4,3844.2,7632.9,0,3849.0,7896.4,1437.8,3065.1,8670.1,1153.6,7965.8,9773.7,7589.6,2530.7,8246.5,6946.3,9507.5,1896.0,3647.3,1758.5,9826.1,713.8,5548.2,8398.2
Oswego,7895.9,4966.6,7025.5,8702.3,1389.0,1358.0,4623.3,7677.9,4949.0,328.1,5209.0,5054.7,9975.7,4429.8,7110.6,3742.3,7405.0,2749.4,9444.6,5763.2,1845.4,2825.4,196.0,3944.8,1339.6,9304.0,3626.2,4332.7,3785.3,3849.0,0,4526.7,7479.2,8058.0,9587.1,4119.0,7955.4,2844.0,649.2,9015.4,7104.7,8318.8,8849.8,6693.5,1677.5,5010.4,1491.5,7589.7,6804.9,2736.7
Mineola,3410.8,9311.3,2798.7,3862.9,1775.0,687.9,2460.4,7284.3,375.3,6307.7,9055.7,7558.6,1946.6,4679.5,863.4,5472.5,8017.3,265.2,3521.8,7158.0,900.4,4813.9,4009.3,4722.5,7348.3,6068.0,3318.9,6178.8,8056.9,7896.4,4526.7,0,1275.8,2539.4,5382.8,3765.8,4547.4,9834.2,516.9,5892.2,4688.9,4798.1,2958.4,8983.5,4325.0,7659.2,7045.9,8084.6,5781.6,1578.2
Bronx,5542.3,5893.1,2506.8,7912.8,5027.2,256.6,3684.7,513.5,9046.6,8272.1,1983.7,9740.7,1384.4,2562.8,3841.1,2302.3,7314.0,2347.2,2437.1,2789.0,596.0,3768.0,5501.2,8279.2,1538.6,3479.1,193.0,2478.7,7310.3,1437.8,7479.2,1275.8,0,494.3,285.7,6392.4,6935.7,9476.4,6276.3,9777.6,9287.8,1840.4,7156.8,6568.6,6742.6,9163.7,4810.9,4626.0,9556.1,1651.1
Palmyra,915.7,1984.2,6336.3,497.7,8792.6,1201.9,4015.5,802.6,1746.7,6532.9,6352.4,1837.9,5989.1,8667.2,5422.9,2475.8,1898.3,4948.6,4743.2,4718.1,8673.7,5222.0,50.4,392.7,1539.2,4831.4,4060.8,4909.7,2750.9,3065.1,8058.0,2539.4,494.3,0,9892.3,5137.8,3082.6,9389.9,8800.0,12.9,1745.4,8958.7,8746.6,8173.2,6144.7,3926.3,8595.7,9788.3,9699.1,1388.9
Batavia,3923.6,3464.0,2.0,6828.6,4005.2,2544.6,7861.4,8566.5,2615.6,178.6,3273.6,5098.0,3559.5,3694.8,3755.7,4256.8,3028.7,4387.8,2330.9,5422.8,1524.7,4285.8,7301.0,2260.1,8759.1,7942.3,2544.9,3845.3,2736.0,8670.1,9587.1,5382.8,285.7,9892.3,0,8484.3,383.9,5666.7,159.0,3750.9,5822.8,8661.8,3476.2,9514.4,5338.7,2930.3,4721.4,3677.0,9940.8,186.5
New Windsor,2700.2,4634.8,2139.7,3627.4,4541.8,7103.7,2574.4,1920.0,8567.5,1009.8,8068.3,1780.3,8534.0,8952.9,7805.4,7279.3,2200.6,1469.8,566.3,2948.7,9345.6,2513.1,9211.2,8529.8,1849.3,3681.2,4487.9,8360.5,5759.8,1153.6,4119.0,3765.8,6392.4,5137.8,8484.3,0,6497.1,5367.7,2266.6,8292.8,5337.2,857.8,7812.0,7769.0,4628.8,1933.5,5387.6,3697.7,491.8,9091.3
Cooperstown,3131.6,7998.1,4635.6,4632.0,7050.6,7329.9,4826.8,4091.5,1005.6,8278.7,2173.2,6140.0,6113.3,4683.7,7308.9,4788.3,2162.8,1710.8,6757.3,4552.8,7296.9,1154.5,6999.5,4259.3,5539.2,9253.7,5101.3,5637.2,3983.9,7965.8,7955.4,4547.4,6935.7,3082.6,383.9,6497.1,0,2840.8,9781.4,5778.3,5811.4,5276.4,6065.9,4430.4,9837.3,2112.5,3884.4,2644.4,7123.7,2355.6
Buffalo,2599.9,4630.9,1691.1,7996.9,171.8,2503.6,471.7,8506.4,7133.4,9738.9,5186.1,6831.2,5935.9,5711.5,8571.6,1789.1,856.0,6374.6,7166.3,1213.4,239.3,9819.7,5937.2,1394.8,3699.7,1043.6,9309.6,7630.9,6626.8,9773.7,2844.0,9834.2,9476.4,9389.9,5666.7,5367.7,2840.8,0,7004.7,3009.9,9467.1,9157.2,2503.8,3463.7,1871.5,889.1,7228.2,6324.6,1576.0,4140.2
Clinton,8188.8,6875.4,7685.3,9488.1,233.6,1657.8,611.9,3006.3,3353.3,7898.7,2210.7,714.9,2479.5,6051.6,5860.9,9361.6,5972.1,9824.3,6915.8,151.6,3532.4,4197.0,130.6,3928.1,2931.2,8703.0,3383.1,9457.1,8716.3,7589.6,649.2,516.9,6276.3,8800.0,159.0,2266.6,9781.4,7004.7,0,6171.8,3018.8,549.2,8359.3,167.0,2026.2,2365.6,7076.3,4605.1,9642.4,1270.9
Flushing,1892.1,4379.1,1848.7,2348.6,3323.4,6868.0,8874.8,4917.4,5027.3,2865.7,8244.8,9383.8,6806.4,7823.5,55.8,5640.2,952.6,8033.4,6494.5,3649.7,678.4,7733.9,1179.3,5287.1,3829.9,2072.3,8179.1,1184.5,5614.1,2530.7,9015.4,5892.2,9777.6,12.9,3750.9,8292.8,5778.3,3009.9,6171.8,0,229.9,7996.6,7668.1,1095.7,9910.5,5411.2,8717.9,8751.7,2764.3,9440.2
Ogdensburg,97.8,2274.3,3740.0,9941.9,4278.7,5768.9,731.2,1323.3,8646.3,8035.6,7313.3,3281.2,4972.4,5707.3,2318.0,9380.8,9052.9,8550.6,7187.1,787.6,479.9,5680.7,7297.4,1275.0,1872.9,2799.3,4465.1,9869.9,4374.6,8246.5,7104.7,4688.9,9287.8,1745.4,5822.8,5337.2,5811.4,9467.1,3018.8,229.9,0,8374.7,93.6,6079.5,4757.2,6510.2,6707.3,181.1,7875.7,8583.2
Olean,4644.3,8105.5,8633.9,6519.0,5433.7,1863.8,9641.7,8864.7,7399.7,4177.7,9020.3,388.0,8425.3,8811.2,9789.6,4134.6,9748.3,6385.0,2299.1,5910.6,1964.4,5887.7,4121.2,6320.2,1734.1,5558.7,6727.8,3428.9,8329.3,6946.3,8318.8,4798.1,1840.4,8958.7,8661.8,857.8,5276.4,9157.2,549.2,7996.6,8374.7,0,2482.7,5641.6,4191.8,5466.5,501.8,5354.3,9393.7,5511.4
New York City,3904.1,8157.0,7153.5,5194.2,3624.1,8065.8,6219.3,5352.6,6525.3,9875.8,2172.2,4353.3,973.1,3538.0,5233.3,7722.1,3926.2,5816.5,9871.8,416.6,345.2,859.0,7061.4,2974.6,8554.3,5556.7,1846.8,9626.0,5387.5,9507.5,8849.8,2958.4,7156.8,8746.6,3476.2,7812.0,6065.9,2503.8,8359.3,7668.1,93.6,2482.7,0,2387.0,3019.0,4561.0,8694.0,2821.7,1276.1,8461.4
Seneca Falls,7447.1,9770.3,1850.6,9529.2,5503.4,2515.0,401.0,6517.1,3801.6,9364.3,5045.7,6293.5,9749.5,8122.3,6508.4,6660.1,5278.1,4544.6,4601.8,3401.5,2263.9,406.6,5276.1,5596.2,2982.7,4940.4,9726.1,8573.7,2444.1,1896.0,6693.5,8983.5,6568.6,8173.2,9514.4,7769.0,4430.4,3463.7,167.0,1095.7,6079.5,5641.6,2387.0,0,2042.8,9252.3,3102.6,1762.3,885.0,1626.5
New Paltz,3055.2,7253.9,3569.8,453.8,4526.2,7005.2,3591.6,2639.0,4499.5,4887.2,6573.4,3595.1,8894.2,1951.1,9062.9,490.8,8188.6,3974.1,7541.0,3212.8,5271.7,7557.9,8229.0,4538.9,7561.1,8059.2,4629.0,1647.9,9050.6,3647.3,1677.5,4325.0,6742.6,6144.7,5338.7,4628.8,9837.3,1871.5,2026.2,9910.5,4757.2,4191.8,3019.0,2042.8,0,8012.8,677.6,3237.1,7678.8,3024.7
Stony Brook,5186.0,355.1,6409.0,1382.3,9588.8,2412.3,1597.0,1171.4,6046.5,2136.3,7359.2,8531.1,6715.2,3127.6,2308.2,2470.7,5456.4,6520.1,1982.0,7471.1,3215.2,2330.8,2252.8,1940.8,9490.2,3819.1,4722.1,6897.7,8646.6,1758.5,5010.4,7659.2,9163.7,3926.3,2930.3,1933.5,2112.5,889.1,2365.6,5411.2,6510.2,5466.5,4561.0,9252.3,8012.8,0,2778.8,6944.4,8015.9,6122.4
Syracuse,900.7,688.8,2442.6,9697.2,1147.4,3395.0,1592.2,9074.7,9200.2,9430.3,9670.1,8200.6,8512.0,9712.5,6686.8,3366.1,9898.9,4767.5,7508.8,2004.9,6770.0,8804.1,6247.5,4488.2,3034.9,122.1,143.9,9264.2,1117.8,9826.1,1491.5,7045.9,4810.9,8595.7,4721.4,5387.6,3884.4,7228.2,7076.3,8717.9,6707.3,501.8,8694.0,3102.6,677.6,2778.8,0,1375.9,1387.2,2056.5
Elmira,671.4,3747.7,5826.3,1726.4,3801.1,2530.0,287.2,899.7,3889.7,7608.9,8885.6,6716.9,5233.1,3755.5,182.1,2234.7,1994.9,4277.7,8070.3,7293.6,8890.4,7846.5,4141.0,3773.8,9260.5,8634.6,1668.0,2955.6,643.7,713.8,7589.7,8084.6,4626.0,9788.3,3677.0,3697.7,2644.4,6324.6,4605.1,8751.7,181.1,5354.3,2821.7,1762.3,3237.1,6944.4,1375.9,0,3847.4,3291.3
Great Neck,6460.1,2395.1,9635.5,6121.3,936.1,9276.3,2086.6,8838.7,4997.3,2440.9,286.6,4602.6,1398.0,1397.4,4326.1,1975.4,1276.9,3909.5,8631.7,1893.4,5906.9,8339.5,8200.0,6468.3,7462.8,8902.3,1837.6,5803.3,9851.9,5548.2,6804.9,5781.6,9556.1,9699.1,9940.8,491.8,7123.7,1576.0,9642.4,2764.3,7875.7,9393.7,1276.1,885.0,7678.8,8015.9,1387.2,3847.4,0,5847.3
East Aurora,7244.3,1752.5,2041.7,7197.2,5269.0,2463.6,6660.0,5777.4,1035.6,5435.1,2111.1,6877.6,3615.3,7661.2,6571.4,6907.8,7681.1,4561.9,275.4,477.1,3310.6,3094.1,5696.4,5715.6,5260.8,592.1,9299.4,8612.8,1317.6,8398.2,2736.7,1578.2,1651.1,1388.9,186.5,9091.3,2355.6,4140.2,1270.9,9440.2,8583.2,5511.4,8461.4,1626.5,3024.7,6122.4,2056.5,3291.3,5847.3,0
