CSV,Kingston,East Hampton,East Aurora,West Seneca,Lake Placid,Rensselaer,Saranac Lake,Harlem,Watertown,Geneva,Cortland,Johnstown,Troy,Stony Brook,Rochester,Manhattan,Hyde Park,Elmira,Potsdam,Ilion,Palmyra,Tarrytown,Buffalo,Tonawanda,Glens Falls,Watkins Glen,Schenectady,Ossining,Garden City,New Windsor,Beacon,Crown Point,Bedford,Oyster Bay,Hempstead,Lockport,Mamaroneck,Hudson,Cheektowaga,New York City,Huntington,Scarsdale,Dunkirk,Poughkeepsie,Mineola,Lackawanna,Babylon,Sag Harbor,Ticonderoga,Peekskill
Cortland,4559.2,6855.1,3169.4,3413.6,7074.2,9017.2,8731.9,7108.9,1770.7,761.7,0,1545.9,5428.9,284.0,81.5,534.7,2835.8,5536.1,6256.3,1123.2,6391.2,6693.8,2430.8,7045.6,4653.9,2778.0,1037.2,4661.0,9292.3,5640.3,4415.3,1543.9,9473.7,5330.6,8870.6,146.7,723.2,5012.6,3637.2,9199.8,6283.9,3327.4,4769.5,6595.2,3932.5,1793.1,5020.2,4272.0,6306.3,7104.9
Johnstown,6521.8,4861.3,1958.8,1594.5,1597.9,2749.8,4632.0,2198.6,6135.9,4564.6,1545.9,0,4821.8,3405.9,5309.1,2140.8,8023.6,698.0,1111.8,3790.3,6976.5,3419.8,755.2,7191.9,5351.9,5689.0,1195.8,632.5,8176.7,7456.7,2681.7,252.7,1694.7,4078.3,2203.1,9398.4,4742.6,6619.8,2843.2,3731.1,1688.2,7566.8,1820.9,7814.2,1767.3,8006.6,3075.4,4285.4,1750.4,7893.5
Troy,7442.0,4562.7,5280.0,5274.4,139.5,5209.5,6723.6,3238.4,7617.2,7596.4,5428.9,4821.8,0,4493.5,3870.9,8094.2,6347.2,1077.4,578.2,7240.7,2299.7,6719.4,3581.7,2237.8,5609.1,6425.2,9191.4,7091.7,4296.8,835.0,6133.6,3887.8,3560.4,8840.7,7522.5,5782.3,178.9,7494.5,6073.9,4737.2,8697.1,6410.5,6115.8,1688.8,5580.8,7423.2,8334.3,4294.9,5746.8,4870.2
Stony Brook,281.2,7133.7,6205.7,1428.9,8439.6,238.3,4741.6,7412.6,7320.4,7968.2,284.0,3405.9,4493.5,0,7531.4,587.6,6447.2,9001.2,1341.6,9126.3,3231.2,4.7,3126.9,6335.6,2821.9,6851.9,1019.2,275.6,7757.8,126.8,9187.1,7012.1,9819.4,2310.3,5046.3,8712.4,8453.2,2107.1,440.1,9437.5,3964.6,5855.3,328.6,8190.1,4097.7,7453.1,2879.8,8881.5,4327.3,3259.1
Rochester,7030.5,9955.9,2510.9,4976.6,7965.2,269.5,7948.8,9555.7,7661.8,6581.8,81.5,5309.1,3870.9,7531.4,0,3738.9,2203.8,2299.2,4613.3,4277.0,3241.6,5524.3,9295.2,3206.6,6516.3,5683.1,7757.1,7247.5,6727.7,536.7,328.7,9159.0,6378.1,7850.5,8046.0,8861.5,5368.2,6996.2,4444.2,8650.3,2671.1,1263.5,7421.3,9164.9,1569.0,3587.9,800.6,1271.4,888.9,1268.7
Manhattan,2027.3,3306.5,795.3,4865.9,1724.0,4270.6,5764.6,4981.9,166.7,7460.4,534.7,2140.8,8094.2,587.6,3738.9,0,9550.6,3712.5,4292.9,3946.1,8089.9,8205.3,3390.0,42.9,1314.1,2407.9,6378.6,1524.1,9130.9,3417.8,8676.7,7094.2,6821.6,8835.3,8383.2,1109.4,8547.9,2035.1,5971.7,6611.5,8588.8,8557.9,4357.8,5755.2,8870.4,5312.1,6302.3,7827.0,7568.6,535.7
Hyde Park,5354.8,6458.1,1791.8,3849.7,9481.8,8032.7,4880.3,6991.0,939.7,520.4,2835.8,8023.6,6347.2,6447.2,2203.8,9550.6,0,1701.2,6323.0,4849.5,1722.9,7125.0,7970.0,2048.7,929.2,1932.0,5820.4,8012.0,481.1,3387.6,9848.7,1991.9,8640.0,5969.4,636.0,9766.2,9000.9,3615.1,130.7,8590.6,3597.2,4980.5,7524.5,6729.7,9897.1,5405.4,4277.2,1223.5,3964.0,1157.9
Elmira,5737.0,2129.6,4009.3,9035.0,6115.5,7191.5,392.9,9854.2,7746.2,1848.9,5536.1,698.0,1077.4,9001.2,2299.2,3712.5,1701.2,0,9495.9,7228.5,6913.5,855.9,5050.2,3750.0,5879.9,9301.7,6759.4,8991.1,7572.9,5342.7,8317.0,4948.7,8535.5,9879.9,1793.8,6549.4,9654.7,5140.9,8103.1,4437.5,2718.8,1556.5,6577.5,7873.4,4526.5,7309.6,5043.6,7231.7,4889.8,846.8
Potsdam,6772.2,2835.2,1036.2,8461.4,6228.5,6015.2,1324.3,7648.4,1358.1,5228.9,6256.3,1111.8,578.2,1341.6,4613.3,4292.9,6323.0,9495.9,0,3442.9,8608.0,2464.8,9677.7,9975.8,3019.9,1611.1,6265.0,8939.4,3239.5,9056.6,1582.1,2219.3,1999.4,5287.6,2545.9,9810.7,6735.7,8785.9,2172.4,5787.3,4112.6,3949.5,4642.0,642.3,5759.0,7517.9,6694.3,6248.6,7427.1,9043.0
Ilion,1244.1,7749.5,4420.1,7955.5,2213.8,3445.0,6810.1,1146.1,949.0,8273.9,1123.2,3790.3,7240.7,9126.3,4277.0,3946.1,4849.5,7228.5,3442.9,0,7418.1,1187.0,775.7,9497.4,5492.2,3547.4,9791.5,3404.7,2875.9,618.8,4599.3,6597.3,5587.5,9490.5,3548.0,6388.9,2268.9,7702.3,8947.4,1754.2,4517.6,641.1,573.4,9726.8,4045.0,6063.8,8326.6,6693.1,537.5,8234.1
Palmyra,1146.8,3330.5,7073.4,795.4,774.6,2379.7,8162.9,7917.5,65.8,4555.2,6391.2,6976.5,2299.7,3231.2,3241.6,8089.9,1722.9,6913.5,8608.0,7418.1,0,4094.0,3156.4,3653.4,9186.2,7382.4,690.4,8683.4,4090.7,8628.6,3681.0,3490.3,5415.4,8610.4,1810.5,898.3,8002.5,5888.9,527.2,7855.7,6804.2,9085.0,5978.7,8350.0,4479.3,4231.9,4499.0,5652.2,9180.0,2411.7
Tarrytown,3762.9,5157.8,8452.7,989.7,211.8,4104.2,6849.5,3790.2,5777.6,4313.4,6693.8,3419.8,6719.4,4.7,5524.3,8205.3,7125.0,855.9,2464.8,1187.0,4094.0,0,3019.3,236.6,6983.2,3029.1,2388.3,7249.6,4986.7,8194.5,8451.9,4179.5,8996.7,8271.9,9205.3,2047.1,7633.1,5738.2,104.9,672.8,201.8,9554.9,5054.4,9010.7,4624.4,8921.2,715.5,3679.8,2959.7,9929.1
Buffalo,5287.2,242.6,4905.4,9880.8,9435.8,5146.1,8983.5,8548.5,6786.8,7426.7,2430.8,755.2,3581.7,3126.9,9295.2,3390.0,7970.0,5050.2,9677.7,775.7,3156.4,3019.3,0,5021.1,7447.0,5992.6,4040.3,1519.4,525.1,5679.8,8829.3,1995.8,2794.6,6812.4,2044.8,966.9,4666.9,7708.3,3429.5,1298.9,3174.5,614.5,1941.4,6238.2,7455.5,4437.9,2970.6,7902.9,9519.4,5160.3
Tonawanda,7348.1,4152.0,543.8,6885.6,3992.7,8895.4,9409.2,8978.9,7020.2,6758.5,7045.6,7191.9,2237.8,6335.6,3206.6,42.9,2048.7,3750.0,9975.8,9497.4,3653.4,236.6,5021.1,0,2538.5,3102.4,6781.0,2808.9,1103.7,6333.2,2294.8,3037.4,7714.4,2042.6,1592.3,160.1,4815.9,237.0,1448.7,9354.6,9951.3,1314.4,6333.0,1773.7,9030.7,1053.3,6662.5,285.5,7281.8,9493.3
Glens Falls,4302.6,3594.5,3198.5,8949.3,8107.0,7131.7,5884.6,9914.7,3858.7,2114.6,4653.9,5351.9,5609.1,2821.9,6516.3,1314.1,929.2,5879.9,3019.9,5492.2,9186.2,6983.2,7447.0,2538.5,0,4647.6,950.6,4607.5,2264.1,1995.4,9249.5,4656.0,8579.0,4825.7,7696.5,2179.1,5816.5,9255.3,7016.1,7727.7,4744.3,4093.6,5532.5,9215.2,2256.9,4910.8,3595.0,6963.9,1852.3,3818.0
Watkins Glen,112.1,4807.6,5780.9,7858.0,587.7,2839.7,8676.6,4441.2,3199.7,5761.6,2778.0,5689.0,6425.2,6851.9,5683.1,2407.9,1932.0,9301.7,1611.1,3547.4,7382.4,3029.1,5992.6,3102.4,4647.6,0,3730.8,5604.0,1001.1,2769.9,1937.0,3143.3,7025.4,8426.1,3818.4,5949.1,1570.0,4498.9,313.1,9600.1,5592.8,6371.9,8355.3,4774.2,1591.9,3599.5,4537.5,2245.2,8360.7,1191.3
Schenectady,2730.1,9574.4,5170.0,8815.7,8989.3,5013.6,2434.0,5752.8,3098.7,6767.9,1037.2,1195.8,9191.4,1019.2,7757.1,6378.6,5820.4,6759.4,6265.0,9791.5,690.4,2388.3,4040.3,6781.0,950.6,3730.8,0,12.7,8968.0,3730.6,5481.5,9461.4,8078.7,9394.8,2225.6,8929.0,4668.9,5276.8,401.0,6465.9,4229.7,3402.7,9987.8,1217.1,5949.5,7024.3,4745.1,6156.9,8236.2,1043.3
Ossining,1368.1,3337.5,3850.9,4138.7,4563.8,2304.9,2672.3,3249.7,3607.4,6331.8,4661.0,632.5,7091.7,275.6,7247.5,1524.1,8012.0,8991.1,8939.4,3404.7,8683.4,7249.6,1519.4,2808.9,4607.5,5604.0,12.7,0,7814.9,4689.2,3022.2,2068.3,3638.9,8568.5,3211.2,7915.2,3740.1,9593.5,3336.7,2636.3,7196.0,3542.9,8756.0,1253.1,712.4,3683.3,201.4,5236.6,4532.7,1209.6
Garden City,2396.8,4357.7,479.0,5348.2,2342.5,244.8,8259.4,4591.3,1384.0,3227.1,9292.3,8176.7,4296.8,7757.8,6727.7,9130.9,481.1,7572.9,3239.5,2875.9,4090.7,4986.7,525.1,1103.7,2264.1,1001.1,8968.0,7814.9,0,9928.0,2956.3,3486.7,5339.8,5473.1,6772.5,7112.2,4238.8,3836.2,7374.6,2097.7,1206.6,6058.0,7679.2,5970.1,3808.6,8705.1,5065.9,5441.8,7453.4,7193.1
New Windsor,5543.2,4610.1,3753.3,9732.6,7643.8,9137.5,1322.9,9536.9,2152.8,5852.5,5640.3,7456.7,835.0,126.8,536.7,3417.8,3387.6,5342.7,9056.6,618.8,8628.6,8194.5,5679.8,6333.2,1995.4,2769.9,3730.6,4689.2,9928.0,0,9486.7,9489.9,3255.5,8923.7,6445.5,3567.5,4465.2,5932.8,3181.6,372.9,1819.2,7292.2,4727.9,5361.5,6585.9,8531.1,5118.7,5601.0,7614.4,1381.7
Beacon,2466.6,5625.2,6009.8,7035.3,1961.1,9656.7,1008.0,8474.6,8185.6,43.9,4415.3,2681.7,6133.6,9187.1,328.7,8676.7,9848.7,8317.0,1582.1,4599.3,3681.0,8451.9,8829.3,2294.8,9249.5,1937.0,5481.5,3022.2,2956.3,9486.7,0,1845.2,772.8,2767.2,7590.8,5295.5,2151.7,4510.2,5795.8,8469.8,3042.1,1400.3,4463.6,8325.3,486.3,7805.2,3647.5,3658.0,5640.0,2852.9
Crown Point,8179.0,3067.6,8087.1,7742.1,7884.1,3973.7,1698.6,5591.3,9303.7,6866.0,1543.9,252.7,3887.8,7012.1,9159.0,7094.2,1991.9,4948.7,2219.3,6597.3,3490.3,4179.5,1995.8,3037.4,4656.0,3143.3,9461.4,2068.3,3486.7,9489.9,1845.2,0,4023.8,9580.3,3978.7,6424.9,4801.2,4257.4,6368.1,399.7,4303.8,9170.3,3248.4,7809.8,2061.6,8886.4,8994.1,4891.3,3158.7,5333.8
Bedford,6999.0,3792.8,7442.2,8821.2,4437.3,994.4,4031.9,7163.6,8019.4,6365.9,9473.7,1694.7,3560.4,9819.4,6378.1,6821.6,8640.0,8535.5,1999.4,5587.5,5415.4,8996.7,2794.6,7714.4,8579.0,7025.4,8078.7,3638.9,5339.8,3255.5,772.8,4023.8,0,836.4,2752.2,6922.6,7345.7,3596.5,3990.7,7260.8,3368.6,8188.0,8406.6,9479.5,4900.3,2721.7,183.6,9574.3,9357.2,618.4
Oyster Bay,5354.9,5220.7,3890.6,1974.8,2330.8,1579.0,1863.1,8290.6,2016.5,1384.8,5330.6,4078.3,8840.7,2310.3,7850.5,8835.3,5969.4,9879.9,5287.6,9490.5,8610.4,8271.9,6812.4,2042.6,4825.7,8426.1,9394.8,8568.5,5473.1,8923.7,2767.2,9580.3,836.4,0,2320.8,6911.1,8459.1,7159.4,7739.9,9552.8,5175.4,7080.6,8956.8,9707.4,7463.2,2310.1,5941.3,6079.2,9308.2,9402.5
Hempstead,8665.3,9435.0,4337.8,8941.3,20.3,3831.6,9271.0,9558.7,8579.9,6541.2,8870.6,2203.1,7522.5,5046.3,8046.0,8383.2,636.0,1793.8,2545.9,3548.0,1810.5,9205.3,2044.8,1592.3,7696.5,3818.4,2225.6,3211.2,6772.5,6445.5,7590.8,3978.7,2752.2,2320.8,0,5050.6,3898.8,1410.2,962.0,9741.0,8151.8,3453.0,6936.7,3953.5,2022.6,1502.2,3489.8,2962.3,3735.1,254.7
Lockport,3639.9,2863.2,9601.5,459.2,8648.3,2906.5,4246.0,2759.6,8955.3,8251.9,146.7,9398.4,5782.3,8712.4,8861.5,1109.4,9766.2,6549.4,9810.7,6388.9,898.3,2047.1,966.9,160.1,2179.1,5949.1,8929.0,7915.2,7112.2,3567.5,5295.5,6424.9,6922.6,6911.1,5050.6,0,7998.5,6594.7,5812.4,3374.2,5982.7,6680.7,7508.5,8998.8,2385.4,2670.2,8992.1,9657.9,3960.6,8302.6
Mamaroneck,2513.3,1500.0,3034.2,1684.3,9655.0,3119.3,8678.6,9664.8,2498.1,5687.6,723.2,4742.6,178.9,8453.2,5368.2,8547.9,9000.9,9654.7,6735.7,2268.9,8002.5,7633.1,4666.9,4815.9,5816.5,1570.0,4668.9,3740.1,4238.8,4465.2,2151.7,4801.2,7345.7,8459.1,3898.8,7998.5,0,1835.4,2579.1,8385.1,5422.7,6342.7,8725.6,467.9,4053.5,2015.2,1658.4,1479.6,1179.2,1821.4
Hudson,6125.1,8396.2,7712.5,3057.6,794.9,4175.8,8382.9,4390.5,2048.0,3905.9,5012.6,6619.8,7494.5,2107.1,6996.2,2035.1,3615.1,5140.9,8785.9,7702.3,5888.9,5738.2,7708.3,237.0,9255.3,4498.9,5276.8,9593.5,3836.2,5932.8,4510.2,4257.4,3596.5,7159.4,1410.2,6594.7,1835.4,0,3437.1,2535.3,8504.1,1787.7,9936.1,9437.1,2348.9,6100.7,6087.2,5661.7,6869.4,1.3
Cheektowaga,8173.8,9456.9,5274.6,2392.5,2586.1,5284.1,5457.9,7139.0,8709.0,9771.8,3637.2,2843.2,6073.9,440.1,4444.2,5971.7,130.7,8103.1,2172.4,8947.4,527.2,104.9,3429.5,1448.7,7016.1,313.1,401.0,3336.7,7374.6,3181.6,5795.8,6368.1,3990.7,7739.9,962.0,5812.4,2579.1,3437.1,0,1668.0,4862.7,5184.0,6169.5,6173.2,4581.5,2723.0,8889.3,3198.3,9653.1,6960.9
New York City,7561.0,5171.8,4175.0,6126.7,1714.3,3533.8,7005.3,6233.6,6007.1,3233.7,9199.8,3731.1,4737.2,9437.5,8650.3,6611.5,8590.6,4437.5,5787.3,1754.2,7855.7,672.8,1298.9,9354.6,7727.7,9600.1,6465.9,2636.3,2097.7,372.9,8469.8,399.7,7260.8,9552.8,9741.0,3374.2,8385.1,2535.3,1668.0,0,2562.2,1700.9,5723.1,1304.5,2773.3,4347.8,634.1,3105.7,2466.9,5510.1
Huntington,108.1,7349.1,2302.7,3554.3,5325.9,5122.0,2936.5,6668.8,9873.9,6091.1,6283.9,1688.2,8697.1,3964.6,2671.1,8588.8,3597.2,2718.8,4112.6,4517.6,6804.2,201.8,3174.5,9951.3,4744.3,5592.8,4229.7,7196.0,1206.6,1819.2,3042.1,4303.8,3368.6,5175.4,8151.8,5982.7,5422.7,8504.1,4862.7,2562.2,0,6508.8,6386.0,3289.1,677.7,3194.1,363.4,7120.2,4229.0,788.4
Scarsdale,9214.9,7728.5,31.7,445.3,6628.0,5750.9,5996.6,182.3,1274.1,3022.4,3327.4,7566.8,6410.5,5855.3,1263.5,8557.9,4980.5,1556.5,3949.5,641.1,9085.0,9554.9,614.5,1314.4,4093.6,6371.9,3402.7,3542.9,6058.0,7292.2,1400.3,9170.3,8188.0,7080.6,3453.0,6680.7,6342.7,1787.7,5184.0,1700.9,6508.8,0,1929.3,2072.8,699.0,5107.8,9271.8,735.9,7084.6,4841.3
Dunkirk,9973.3,3977.7,6597.1,4083.6,1494.8,2178.2,789.1,9687.9,5742.7,4029.3,4769.5,1820.9,6115.8,328.6,7421.3,4357.8,7524.5,6577.5,4642.0,573.4,5978.7,5054.4,1941.4,6333.0,5532.5,8355.3,9987.8,8756.0,7679.2,4727.9,4463.6,3248.4,8406.6,8956.8,6936.7,7508.5,8725.6,9936.1,6169.5,5723.1,6386.0,1929.3,0,6117.3,5472.4,8151.3,7492.3,1328.5,5521.1,1076.8
Poughkeepsie,8223.4,7520.8,9785.5,5729.5,8479.4,1171.6,1209.2,1898.3,5738.5,524.3,6595.2,7814.2,1688.8,8190.1,9164.9,5755.2,6729.7,7873.4,642.3,9726.8,8350.0,9010.7,6238.2,1773.7,9215.2,4774.2,1217.1,1253.1,5970.1,5361.5,8325.3,7809.8,9479.5,9707.4,3953.5,8998.8,467.9,9437.1,6173.2,1304.5,3289.1,2072.8,6117.3,0,9869.9,1138.3,1858.2,7930.2,1069.3,2968.5
Mineola,4939.8,955.4,8801.9,565.7,1072.3,5298.9,7800.5,5936.9,2257.1,2745.6,3932.5,1767.3,5580.8,4097.7,1569.0,8870.4,9897.1,4526.5,5759.0,4045.0,4479.3,4624.4,7455.5,9030.7,2256.9,1591.9,5949.5,712.4,3808.6,6585.9,486.3,2061.6,4900.3,7463.2,2022.6,2385.4,4053.5,2348.9,4581.5,2773.3,677.7,699.0,5472.4,9869.9,0,9291.9,5762.1,3147.1,8472.1,1404.3
Lackawanna,813.1,810.1,8908.1,2325.9,2942.8,8135.8,6068.9,3051.9,2391.3,7152.2,1793.1,8006.6,7423.2,7453.1,3587.9,5312.1,5405.4,7309.6,7517.9,6063.8,4231.9,8921.2,4437.9,1053.3,4910.8,3599.5,7024.3,3683.3,8705.1,8531.1,7805.2,8886.4,2721.7,2310.1,1502.2,2670.2,2015.2,6100.7,2723.0,4347.8,3194.1,5107.8,8151.3,1138.3,9291.9,0,2220.0,7090.1,5944.0,3049.2
Babylon,2867.6,8670.1,4093.5,7487.6,2513.0,1588.2,3774.3,9578.1,1994.2,88.4,5020.2,3075.4,8334.3,2879.8,800.6,6302.3,4277.2,5043.6,6694.3,8326.6,4499.0,715.5,2970.6,6662.5,3595.0,4537.5,4745.1,201.4,5065.9,5118.7,3647.5,8994.1,183.6,5941.3,3489.8,8992.1,1658.4,6087.2,8889.3,634.1,363.4,9271.8,7492.3,1858.2,5762.1,2220.0,0,6437.1,2426.4,1367.1
Sag Harbor,4277.3,4189.3,1235.6,1857.1,2370.5,4031.1,4160.5,2262.2,90.3,4740.7,4272.0,4285.4,4294.9,8881.5,1271.4,7827.0,1223.5,7231.7,6248.6,6693.1,5652.2,3679.8,7902.9,285.5,6963.9,2245.2,6156.9,5236.6,5441.8,5601.0,3658.0,4891.3,9574.3,6079.2,2962.3,9657.9,1479.6,5661.7,3198.3,3105.7,7120.2,735.9,1328.5,7930.2,3147.1,7090.1,6437.1,0,8992.7,3076.3
Ticonderoga,4586.6,1078.0,5184.4,6398.3,2051.0,3354.1,5727.9,3684.2,6155.9,8723.1,6306.3,1750.4,5746.8,4327.3,888.9,7568.6,3964.0,4889.8,7427.1,537.5,9180.0,2959.7,9519.4,7281.8,1852.3,8360.7,8236.2,4532.7,7453.4,7614.4,5640.0,3158.7,9357.2,9308.2,3735.1,3960.6,1179.2,6869.4,9653.1,2466.9,4229.0,7084.6,5521.1,1069.3,8472.1,5944.0,2426.4,8992.7,0,9427.2
Peekskill,1231.1,7963.5,4704.7,9217.6,6750.4,5937.2,5933.6,2321.0,4410.1,9503.2,7104.9,7893.5,4870.2,3259.1,1268.7,535.7,1157.9,846.8,9043.0,8234.1,2411.7,9929.1,5160.3,9493.3,3818.0,1191.3,1043.3,1209.6,7193.1,1381.7,2852.9,5333.8,618.4,9402.5,254.7,8302.6,1821.4,1.3,6960.9,5510.1,788.4,4841.3,1076.8,2968.5,1404.3,3049.2,1367.1,3076.3,9427.2,0
