CSV,Johnstown,Cooperstown,Hudson,Buffalo,Olean,Rye,Troy,Binghamton,Eastchester,Seneca Falls,Lake Placid,Bronx,Ilion,Middletown,Syracuse,Fredonia,Rensselaer,Ogdensburg,Ticonderoga,White Plains,Newburgh,Woodstock,Coney Island,Oyster Bay,Watkins Glen,Tonawanda,Glens Falls,Elmira,North Hempstead,Clinton,Beacon,Ithaca,Auburn,Chautauqua,Stony Point,Flushing,Hyde Park,Nyack,Garden City,East Hampton,Niagara Falls,New Paltz,Rome,Manhattan,Schenectady,Staten Island,Dunkirk,Queens,Mount Vernon,East Aurora
Rensselaer,5964.5,7648.4,3136.5,7028.9,4160.1,651.5,1664.0,3132.1,512.4,5734.3,870.0,2345.6,5130.8,8431.2,982.3,3662.0,0,5724.7,2006.8,2419.3,3564.6,2138.9,3433.8,4123.5,8705.0,3213.3,555.2,9629.1,3759.8,6543.3,1565.8,1509.6,6779.9,8741.9,7243.1,1691.1,4561.9,9008.7,8482.9,974.0,8869.1,4761.9,5005.6,7488.9,3690.2,1803.3,8918.2,2127.5,6022.5,4407.6
Ogdensburg,2461.8,7753.4,4904.1,3761.2,5257.4,6600.9,3932.3,5638.2,8169.9,6548.3,8936.5,7978.5,9093.2,9025.5,1645.6,1986.5,5724.7,0,5182.4,523.1,3716.7,758.8,3221.5,2165.7,4625.2,5433.3,1491.7,6517.9,1817.8,5586.1,7870.8,3167.4,8467.1,3776.1,2278.5,2781.3,838.8,7477.1,3220.6,6262.9,9703.0,6961.1,9115.3,8576.8,7034.4,1259.6,6479.0,3319.5,831.9,7103.7
Ticonderoga,7436.5,7921.5,2607.8,2889.3,2132.0,2076.3,2549.8,1619.3,3520.2,2212.5,8255.1,1431.8,7643.9,8254.2,7536.0,8297.3,2006.8,5182.4,0,7750.9,8057.2,4478.7,8073.8,2936.1,1215.3,6771.0,870.6,2689.9,694.5,42.1,2154.0,1667.3,5671.4,2509.5,8811.6,4756.0,5577.5,8040.3,5322.2,3414.3,1868.2,8876.0,2362.4,1010.2,7283.5,6251.9,3765.7,4208.0,7814.6,9036.6
White Plains,9709.8,6686.9,2723.1,5921.5,8695.4,2870.6,729.9,6725.1,4115.7,2171.7,2081.6,9322.2,7427.4,8046.9,5676.0,5786.8,2419.3,523.1,7750.9,0,4350.3,5150.1,3824.3,2750.0,2335.4,2148.5,3391.7,4173.1,4380.1,2183.0,7942.6,7147.9,9752.2,1225.4,6861.5,799.9,2054.4,2432.2,7738.5,9145.0,7103.6,6281.4,5842.1,2750.3,8164.9,5895.5,500.5,4360.1,5343.3,6111.3
Newburgh,2079.4,7695.7,3315.5,4986.5,9681.5,725.7,3723.3,4557.5,6805.9,2179.6,9554.4,7613.3,1420.2,1614.1,4833.5,6824.3,3564.6,3716.7,8057.2,4350.3,0,4145.2,7417.7,8637.0,9580.9,9824.6,2278.1,2009.9,25.1,568.2,2161.7,1939.4,659.7,3993.8,8452.5,7224.1,9109.5,5477.5,7765.7,8198.9,4867.8,635.3,7100.5,7695.4,9349.7,9948.8,5345.4,881.6,9763.9,9865.9
Woodstock,1741.5,1264.7,6565.5,33.1,8579.1,6286.6,1621.4,5065.1,4023.0,9826.3,2658.3,3620.9,2099.9,4626.1,3975.5,5883.9,2138.9,758.8,4478.7,5150.1,4145.2,0,7702.0,5840.9,9809.9,2938.2,4615.2,1430.0,3217.7,3742.6,171.2,4444.2,1919.8,3174.6,23.4,4939.7,1009.9,2593.1,8242.1,4818.0,4054.9,8162.4,1186.9,3408.0,1692.7,1216.9,5444.4,870.2,6748.3,9645.7
Coney Island,8765.4,1046.4,2630.2,8134.1,8194.6,7517.9,4350.1,3103.5,2665.8,169.2,8123.6,839.4,7669.2,1687.6,8596.2,5976.4,3433.8,3221.5,8073.8,3824.3,7417.7,7702.0,0,3559.9,4830.3,7774.1,6350.7,8971.2,9025.3,3204.6,5551.7,6675.6,5657.7,4578.4,7624.7,9672.7,4506.5,4913.4,5550.4,9900.5,8920.7,676.2,7277.1,3367.9,9227.4,415.5,8634.5,5704.2,3498.1,9729.7
Oyster Bay,2727.9,8026.3,3950.6,958.5,8631.0,2709.4,866.5,1520.9,4494.7,8129.4,8264.2,9441.4,3969.1,6550.6,2263.4,9605.7,4123.5,2165.7,2936.1,2750.0,8637.0,5840.9,3559.9,0,4304.1,9701.0,1347.4,8938.8,6642.6,8905.1,8786.0,2564.3,6603.8,20.6,1118.2,9121.4,4962.7,5171.8,9655.7,4081.0,5643.6,2312.9,4231.6,1946.8,3703.8,9421.1,9699.6,1002.6,4738.4,1785.6
Watkins Glen,829.5,349.5,2008.0,3251.5,3761.0,6552.3,5911.1,4015.2,4061.2,7287.8,3285.9,1426.3,6608.7,1975.3,8718.5,2573.3,8705.0,4625.2,1215.3,2335.4,9580.9,9809.9,4830.3,4304.1,0,7522.6,2319.2,4581.2,8850.8,8966.2,4621.8,1157.0,3526.5,6323.5,2010.9,1503.9,8874.2,1065.7,3047.4,7295.6,542.6,9911.8,2668.4,5864.4,4505.2,3280.4,5459.5,8083.9,264.2,1893.3
Tonawanda,8298.8,7679.0,7812.0,8971.3,4251.4,8101.0,531.0,8359.5,6632.0,5783.4,2463.8,3032.9,2309.2,4577.3,3816.9,324.3,3213.3,5433.3,6771.0,2148.5,9824.6,2938.2,7774.1,9701.0,7522.6,0,3014.2,3405.6,9000.2,9450.0,8071.3,5749.4,8121.0,8822.1,9516.5,5184.8,830.0,4548.9,9790.7,6502.7,9362.6,3633.0,7908.4,1034.7,3148.2,9769.0,4101.1,250.1,7682.8,1967.2
Glens Falls,8051.0,6609.1,5378.1,5621.8,3267.6,4322.3,6927.1,6571.1,9371.4,9977.5,8413.3,4787.1,6804.7,5620.8,9221.4,5169.7,555.2,1491.7,870.6,3391.7,2278.1,4615.2,6350.7,1347.4,2319.2,3014.2,0,9361.7,8476.2,907.0,4982.5,8680.4,1731.0,8630.7,9392.5,3000.2,4906.7,389.4,5458.2,8638.3,7590.1,6792.3,8764.6,3529.4,7892.1,6092.4,9311.2,24.2,9453.9,2052.6
Elmira,3642.8,1716.5,1127.9,3702.5,7154.8,5378.8,2965.4,7354.2,3544.3,5200.9,2986.5,915.6,2536.6,6623.4,4763.7,2451.6,9629.1,6517.9,2689.9,4173.1,2009.9,1430.0,8971.2,8938.8,4581.2,3405.6,9361.7,0,9507.6,3879.4,5923.0,6475.7,9145.9,6225.0,985.0,5421.8,3313.3,2919.2,5774.5,9779.4,9846.8,7099.1,700.0,1404.5,8104.9,2284.5,3521.8,6734.6,1761.2,5630.8
North Hempstead,855.1,569.5,7293.6,6556.4,5505.0,358.7,309.5,5594.4,6882.5,4499.0,2777.7,4628.4,506.6,6662.2,2568.3,3665.9,3759.8,1817.8,694.5,4380.1,25.1,3217.7,9025.3,6642.6,8850.8,9000.2,8476.2,9507.6,0,9270.8,9530.5,7728.7,1497.3,7530.5,7318.5,6480.3,3378.6,9016.4,6569.1,3588.0,6126.2,9735.5,5806.7,2065.5,6125.3,6976.3,4526.7,8922.8,9849.6,1957.6
Clinton,9242.1,2206.6,355.4,3363.6,3376.2,4417.0,7797.1,2472.5,7106.0,9992.8,892.8,4457.2,3998.1,7492.8,1973.9,9198.0,6543.3,5586.1,42.1,2183.0,568.2,3742.6,3204.6,8905.1,8966.2,9450.0,907.0,3879.4,9270.8,0,9536.7,3578.6,2769.7,3982.3,2610.1,5026.2,6128.2,6492.4,2075.7,1446.1,115.7,6284.1,6628.7,8782.7,9450.2,402.4,9376.4,6186.1,7837.2,1020.0
Beacon,7831.4,2068.4,23.3,6659.7,4248.0,5339.4,1714.3,5613.7,2724.7,9417.6,5662.8,9595.7,5722.1,6313.5,7721.3,1996.0,1565.8,7870.8,2154.0,7942.6,2161.7,171.2,5551.7,8786.0,4621.8,8071.3,4982.5,5923.0,9530.5,9536.7,0,2141.3,6364.2,4788.7,6788.6,8621.5,4532.0,7983.8,2011.7,4707.8,3168.7,4112.3,4296.7,927.5,4738.6,5315.0,1213.3,2740.5,8862.4,1022.9
Ithaca,9952.8,4823.0,3174.0,9854.5,6877.1,5272.0,924.8,4272.5,9754.6,4037.9,694.8,5471.1,9555.1,3439.4,8104.1,67.9,1509.6,3167.4,1667.3,7147.9,1939.4,4444.2,6675.6,2564.3,1157.0,5749.4,8680.4,6475.7,7728.7,3578.6,2141.3,0,2814.1,7312.0,7031.9,5818.5,3000.1,417.1,5185.6,8274.5,6206.4,1666.7,207.7,2933.2,9623.1,6875.1,3118.0,670.7,5447.5,9422.1
Auburn,1105.7,6386.0,6712.0,4872.2,2188.6,7965.3,7697.2,5835.7,7510.1,1783.0,4658.1,354.9,17.4,1552.3,6213.5,6730.6,6779.9,8467.1,5671.4,9752.2,659.7,1919.8,5657.7,6603.8,3526.5,8121.0,1731.0,9145.9,1497.3,2769.7,6364.2,2814.1,0,7160.7,7564.0,5120.8,4.2,4311.8,24.5,2667.1,6927.7,2290.4,751.1,8687.1,3843.2,1605.6,7086.5,9630.6,9920.9,7212.1
Chautauqua,338.9,2281.2,747.9,2966.8,434.0,9989.0,3984.7,2257.1,1015.7,6568.5,8625.3,9712.4,4426.4,9438.9,4670.4,7803.5,8741.9,3776.1,2509.5,1225.4,3993.8,3174.6,4578.4,20.6,6323.5,8822.1,8630.7,6225.0,7530.5,3982.3,4788.7,7312.0,7160.7,0,6002.9,4473.5,1219.4,9114.6,6523.3,7472.3,7789.2,3593.6,3675.1,6667.8,2170.1,3392.7,202.7,2135.3,4398.4,2082.7
Stony Point,2827.3,7382.0,1440.5,4780.4,8081.8,9014.9,6763.2,2276.5,3755.4,1512.6,1113.8,7867.4,1333.9,762.9,3766.8,7593.8,7243.1,2278.5,8811.6,6861.5,8452.5,23.4,7624.7,1118.2,2010.9,9516.5,9392.5,985.0,7318.5,2610.1,6788.6,7031.9,7564.0,6002.9,0,3473.7,2566.4,7106.3,5474.0,4821.2,6707.9,3572.8,5086.4,9961.2,1538.8,1895.7,2134.0,4235.3,8344.2,5880.9
Flushing,2887.6,32.7,1795.3,950.9,770.1,1215.9,302.3,7612.8,8993.2,2318.5,6111.7,2603.0,580.0,4442.8,1088.4,2080.7,1691.1,2781.3,4756.0,799.9,7224.1,4939.7,9672.7,9121.4,1503.9,5184.8,3000.2,5421.8,6480.3,5026.2,8621.5,5818.5,5120.8,4473.5,3473.7,0,6871.6,998.0,8790.3,8851.1,3972.8,1093.6,1980.2,5773.7,5220.7,3667.2,2102.7,4355.1,7711.1,174.2
Hyde Park,8179.9,1617.0,1949.3,4370.4,295.4,1073.5,3924.2,3481.4,9735.4,8109.9,4296.6,9337.5,5416.8,6975.5,5921.8,7527.3,4561.9,838.8,5577.5,2054.4,9109.5,1009.9,4506.5,4962.7,8874.2,830.0,4906.7,3313.3,3378.6,6128.2,4532.0,3000.1,4.2,1219.4,2566.4,6871.6,0,1031.5,237.0,3202.8,6885.4,7329.9,7706.1,4363.0,3943.4,4331.6,5403.5,4121.3,7520.2,3034.4
Nyack,225.3,9437.5,6923.2,1522.9,9932.3,9295.9,1695.6,9479.2,2784.4,8547.9,1603.9,2102.6,988.2,8985.3,7711.8,6202.7,9008.7,7477.1,8040.3,2432.2,5477.5,2593.1,4913.4,5171.8,1065.7,4548.9,389.4,2919.2,9016.4,6492.4,7983.8,417.1,4311.8,9114.6,7106.3,998.0,1031.5,0,3480.4,7647.1,188.4,3689.0,3809.9,9455.4,4119.2,5652.4,5265.8,7474.2,9083.6,2085.8
Garden City,9540.8,3478.0,2822.7,5910.5,9425.1,4555.6,7004.9,7628.0,8665.5,7373.0,7530.4,4938.4,6324.8,6078.0,9584.5,8781.4,8482.9,3220.6,5322.2,7738.5,7765.7,8242.1,5550.4,9655.7,3047.4,9790.7,5458.2,5774.5,6569.1,2075.7,2011.7,5185.6,24.5,6523.3,5474.0,8790.3,237.0,3480.4,0,6946.1,8795.2,3540.6,3834.2,6833.5,8840.0,2749.5,8121.4,2224.8,5506.6,8837.3
East Hampton,8872.8,3028.1,7379.8,9273.7,1799.9,1784.5,8085.0,5759.2,6157.4,7748.2,6728.4,7742.9,9299.5,5858.7,4555.5,7153.7,974.0,6262.9,3414.3,9145.0,8198.9,4818.0,9900.5,4081.0,7295.6,6502.7,8638.3,9779.4,3588.0,1446.1,4707.8,8274.5,2667.1,7472.3,4821.2,8851.1,3202.8,7647.1,6946.1,0,6741.3,3361.4,2579.4,7217.1,4475.4,7113.5,9655.4,732.1,6265.8,5763.2
Niagara Falls,6808.8,9113.8,6874.0,1019.7,4042.9,4022.2,7594.7,7325.6,9039.2,996.4,2019.3,4837.8,8799.4,9708.7,4568.6,4152.4,8869.1,9703.0,1868.2,7103.6,4867.8,4054.9,8920.7,5643.6,542.6,9362.6,7590.1,9846.8,6126.2,115.7,3168.7,6206.4,6927.7,7789.2,6707.9,3972.8,6885.4,188.4,8795.2,6741.3,0,4905.8,4071.8,7296.7,9521.6,9822.6,6998.6,5914.5,9603.7,2248.1
New Paltz,6413.7,5856.1,9530.2,3676.5,614.6,5111.6,2856.8,5811.0,5895.3,5816.8,9122.3,7560.4,6755.6,4396.7,2908.0,8075.7,4761.9,6961.1,8876.0,6281.4,635.3,8162.4,676.2,2312.9,9911.8,3633.0,6792.3,7099.1,9735.5,6284.1,4112.3,1666.7,2290.4,3593.6,3572.8,1093.6,7329.9,3689.0,3540.6,3361.4,4905.8,0,8792.4,1851.9,5.8,3605.0,6974.3,2916.6,7375.6,6137.2
Rome,8560.3,678.5,6027.7,27.5,6236.2,2113.4,8425.2,7529.9,5481.1,5023.0,5146.0,5762.7,1233.5,5147.6,805.0,4130.9,5005.6,9115.3,2362.4,5842.1,7100.5,1186.9,7277.1,4231.6,2668.4,7908.4,8764.6,700.0,5806.7,6628.7,4296.7,207.7,751.1,3675.1,5086.4,1980.2,7706.1,3809.9,3834.2,2579.4,4071.8,8792.4,0,8542.0,9918.2,4905.4,7146.8,473.6,7897.0,1338.8
Manhattan,8309.8,2322.2,9093.6,257.8,8868.3,8229.3,4456.5,7418.5,9994.7,1713.6,4266.3,6888.7,5292.2,1978.2,4962.2,5058.7,7488.9,8576.8,1010.2,2750.3,7695.4,3408.0,3367.9,1946.8,5864.4,1034.7,3529.4,1404.5,2065.5,8782.7,927.5,2933.2,8687.1,6667.8,9961.2,5773.7,4363.0,9455.4,6833.5,7217.1,7296.7,1851.9,8542.0,0,1953.2,4233.3,1171.0,8996.5,543.1,6204.7
Schenectady,7.9,7044.5,9712.9,6385.1,7876.3,2360.1,6238.0,8293.3,300.1,2335.8,4563.0,3967.4,4034.1,2221.2,762.6,9735.7,3690.2,7034.4,7283.5,8164.9,9349.7,1692.7,9227.4,3703.8,4505.2,3148.2,7892.1,8104.9,6125.3,9450.2,4738.6,9623.1,3843.2,2170.1,1538.8,5220.7,3943.4,4119.2,8840.0,4475.4,9521.6,5.8,9918.2,1953.2,0,2253.9,1026.0,2845.0,9613.9,549.8
Staten Island,8931.4,5543.0,5780.1,3437.4,1537.7,4588.0,8749.1,616.6,8558.2,9377.4,6439.4,2027.4,3712.5,6624.9,281.2,4556.6,1803.3,1259.6,6251.9,5895.5,9948.8,1216.9,415.5,9421.1,3280.4,9769.0,6092.4,2284.5,6976.3,402.4,5315.0,6875.1,1605.6,3392.7,1895.7,3667.2,4331.6,5652.4,2749.5,7113.5,9822.6,3605.0,4905.4,4233.3,2253.9,0,8027.5,3951.8,8554.2,9164.1
Dunkirk,6328.6,7506.7,4014.0,3600.0,6597.3,5351.9,4782.2,1415.2,113.6,671.1,8235.4,3818.2,3644.8,7957.2,1057.1,5220.4,8918.2,6479.0,3765.7,500.5,5345.4,5444.4,8634.5,9699.6,5459.5,4101.1,9311.2,3521.8,4526.7,9376.4,1213.3,3118.0,7086.5,202.7,2134.0,2102.7,5403.5,5265.8,8121.4,9655.4,6998.6,6974.3,7146.8,1171.0,1026.0,8027.5,0,6529.5,2597.1,7634.8
Queens,7433.3,1797.6,9214.5,1518.6,6965.8,6049.4,8280.6,9645.6,4257.1,5745.1,7319.0,7302.2,7984.6,7579.9,9127.1,5047.7,2127.5,3319.5,4208.0,4360.1,881.6,870.2,5704.2,1002.6,8083.9,250.1,24.2,6734.6,8922.8,6186.1,2740.5,670.7,9630.6,2135.3,4235.3,4355.1,4121.3,7474.2,2224.8,732.1,5914.5,2916.6,473.6,8996.5,2845.0,3951.8,6529.5,0,8811.4,2795.7
Mount Vernon,3368.0,5941.1,1860.3,3842.3,6110.8,64.8,758.5,5499.9,8420.2,9122.5,5129.3,3519.4,5599.3,5226.2,5631.3,4129.0,6022.5,831.9,7814.6,5343.3,9763.9,6748.3,3498.1,4738.4,264.2,7682.8,9453.9,1761.2,9849.6,7837.2,8862.4,5447.5,9920.9,4398.4,8344.2,7711.1,7520.2,9083.6,5506.6,6265.8,9603.7,7375.6,7897.0,543.1,9613.9,8554.2,2597.1,8811.4,0,2964.6
East Aurora,8632.6,2683.8,7249.2,3987.1,9881.7,3013.5,948.1,256.1,2892.1,4390.2,4215.1,2347.0,9830.9,4343.7,9209.9,1214.8,4407.6,7103.7,9036.6,6111.3,9865.9,9645.7,9729.7,1785.6,1893.3,1967.2,2052.6,5630.8,1957.6,1020.0,1022.9,9422.1,7212.1,2082.7,5880.9,174.2,3034.4,2085.8,8837.3,5763.2,2248.1,6137.2,1338.8,6204.7,549.8,9164.1,7634.8,2795.7,2964.6,0
